C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
4503|GSC 09039-00019                                                                                          |Double or Multiple Star               |16 51 28.1334301272 -61 25 55.590024864|327.8714661851348 -10.8198761917680|    3.606 2.375    |10.693   |~              |    ~     ~    |    1| 1092.690   pc  | -72.6900    +72.6900    |ST-L    |2020AJ....160...83S
4504|IRAS 16501-6120                                                                                          |Long-Period Variable Candidate        |16 54 39.9380401344 -61 24 51.355463256|328.1253854811497 -11.1102418381848|  -2.516 -7.233    |10.78    |~              |    ~     ~    |    1| 1703       pc  | -75.4052    +75.4052    |paral   |2020yCat.1350....0G
4505|TYC 9039-45-1                                                                                            |Star                                  |16 53 57.9319828128 -61 40 04.445932836|327.8688518167102 -11.1993545162134|   9.867 -4.635    |10.61    |~              |    ~     ~    |    1|  323.887   pc  | -13.0184    +13.0184    |paral   |2020yCat.1350....0G
4506|TYC 9039-136-1                                                                                           |Star                                  |16 52 30.5632651248 -60 49 36.065275104|328.4344773455046 -10.5437962764449|  -2.404 -5.223    |10.79    |~              |    ~     ~    |    1|  931.099   pc  | -13.2643    +13.2643    |paral   |2020yCat.1350....0G
4507|TYC 9039-149-1                                                                                           |Star                                  |16 52 09.4033933416 -61 50 32.823654756|327.5944383676146 -11.1378277648972|   0.962 -7.287    |10.35    |~              |    ~     ~    |    1|  555.001   pc  |  -5.5753     +5.5753    |paral   |2020yCat.1350....0G
4508|TYC 9039-167-1                                                                                           |Star                                  |16 55 21.1200031728 -61 47 37.037696676|327.8694172414455 -11.4061261556961|  -3.473 -9.348    |10.78    |~              |    ~     ~    |    1|  489.476   pc  |  -3.7855     +3.7855    |paral   |2020yCat.1350....0G
4509|TYC 9039-197-1                                                                                           |Star                                  |16 53 49.6401543456 -61 30 08.089675164|327.9920319594684 -11.0848775376762|  8.640 -10.422    |10.767   |~              |    ~     ~    |    1|  845.676   pc  | -34.9800    +34.9800    |ST-L    |2020AJ....160...83S
4510|TYC 9039-358-1                                                                                           |Star                                  |16 54 31.6954208136 -60 54 14.661659484|328.5262209409831 -10.7851306298451| -16.135 -2.946    |10.40    |~              |    ~     ~    |    1| 1032.631   pc  | -13.1158    +13.1158    |paral   |2020yCat.1350....0G
4511|IRAS 16495-6102                                                                                          |Star                                  |16 54 08.8329789264 -61 08 00.361666752|328.3128510518175 -10.8891477175882| -3.053 -10.527    |10.97    |~              |    ~     ~    |    1| 1928.268   pc  | -95.1864    +95.1864    |paral   |2020yCat.1350....0G
4512|TYC 9039-466-1                                                                                           |Star                                  |16 52 19.4691692160 -61 02 27.059333964|328.2490838965804 -10.6585287926077|   0.380 -2.330    |10.83    |~              |    ~     ~    |    1|  781.922   pc  |  -8.1928     +8.1928    |paral   |2020yCat.1350....0G
4513|TYC 9039-785-1                                                                                           |Star                                  |16 56 10.2131033904 -60 56 04.530538464|328.6255066402185 -10.9618525532649| 13.869 -10.751    |10.69    |~              |    ~     ~    |    1|  268.528   pc  |  -0.8581     +0.8581    |paral   |2020yCat.1350....0G
4514|TYC 9039-1745-1                                                                                          |Star                                  |16 55 52.7090774712 -61 16 05.996908776|328.3336142099100 -11.1366479987673|  -1.405 -3.270    |10.94    |~              |    ~     ~    |    1|  803.213   pc  | -25.0964    +25.0964    |paral   |2020yCat.1350....0G
4515|TYC 9042-18-1                                                                                            |Star                                  |16 49 25.5542387952 -62 26 22.803858780|326.9151765182375 -11.2579847888634|  -0.485 -4.416    |10.755   |~              |    ~     ~    |    1|  974.156   pc  | -49.0900    +49.0900    |ST-L    |2020AJ....160...83S
4516|TYC 9042-45-1                                                                                            |Star                                  |16 49 01.1666563752 -62 47 00.979135080|326.6112284237079 -11.4359453189538| -8.245 -13.127    |10.498   |~              |    ~     ~    |    1| 1358.730   pc  |-102.8000   +102.8000    |ST-L    |2020AJ....160...83S
4517|TYC 9042-62-1                                                                                            |Star                                  |16 47 34.6433131752 -62 57 20.858585868|326.3692496969680 -11.4154494455281| -6.430 -16.927    |10.49    |~              |    ~     ~    |    1|  639.632   pc  |  -7.1597     +7.1597    |paral   |2020yCat.1350....0G
4518|TYC 9042-191-1                                                                                           |Star                                  |16 48 52.3718919240 -62 42 30.345249780|326.6604617609930 -11.3759126724207|  -1.767 -1.586    |10.99    |~              |    ~     ~    |    1| 1433.075   pc  | -30.1895    +30.1895    |paral   |2020yCat.1350....0G
4519|TYC 9042-335-1                                                                                           |Star                                  |16 49 10.0743613488 -62 35 23.093250504|326.7766113074142 -11.3283142942260|    1.400 1.827    |10.92    |~              |    ~     ~    |    1|  491.981   pc  |  -3.5097     +3.5097    |paral   |2020yCat.1350....0G
4520|TYC 9042-452-1                                                                                           |Star                                  |16 49 41.7029442504 -62 20 37.714158996|327.0114236472527 -11.2226353219018|   1.596 -3.090    |10.80    |~              |    ~     ~    |    1|  904.650   pc  | -30.5260    +30.5260    |paral   |2020yCat.1350....0G
4521|TYC 9042-481-1                                                                                           |Spectroscopic Binary                  |16 50 15.5823139416 -62 16 22.714896252|327.1095703316418 -11.2299223926818|   5.286 23.951    |10.50    |~              |    ~     ~    |    1|  251.105   pc  |  -0.9206     +0.9206    |paral   |2020yCat.1350....0G
4522|TYC 9042-512-1                                                                                           |Star                                  |16 49 03.6598885128 -62 41 52.049075892|326.6826730492967 -11.3861243277736|   -2.340 0.364    |10.41    |~              |    ~     ~    |    1|  208.899   pc  |  -0.6240     +0.6240    |paral   |2020yCat.1350....0G
4523|TYC 9042-565-1                                                                                           |Star                                  |16 46 26.1407826528 -63 00 13.494358656|326.2480097666169 -11.3448283648570|  -4.478 -4.770    |10.16    |~              |    ~     ~    |    1|  672.902   pc  |  -7.2448     +7.2448    |paral   |2020yCat.1350....0G
4524|TYC 9042-634-1                                                                                           |Star                                  |16 48 18.3003119400 -62 23 11.021489412|326.8748736621734 -11.1233920560586| -6.611 -12.763    |9.39     |~              |    ~     ~    |    1|  618.697   pc  |  -5.6270     +5.6270    |paral   |2020yCat.1350....0G
4525|TYC 9042-680-1                                                                                           |Star                                  |16 48 53.3230 -62 23 34.113            |326.9129200 -11.1801526            | -4.985 -19.411    |10.66    |~              |    ~     ~    |    0|                |                         |        |                   
4526|TYC 9042-697-1                                                                                           |Star                                  |16 51 18.3763365384 -62 10 01.360010316|327.2714004109005 -11.2599069270593| -6.617 -11.451    |10.93    |~              |    ~     ~    |    1|  931.359   pc  | -10.2357    +10.2357    |paral   |2020yCat.1350....0G
4527|TYC 9042-725-1                                                                                           |High Proper Motion Star               |16 47 34.3914353592 -62 33 32.120192736|326.6838851163500 -11.1658359909888| 50.025 -60.592    |10.12    |~              |    ~     ~    |    1|  103.272   pc  |  -0.1685     +0.1685    |paral   |2020yCat.1350....0G
4528|TYC 9042-760-1                                                                                           |Star                                  |16 46 32.8644766776 -63 10 19.769330964|326.1227963104315 -11.4608328909832|  -4.221 -8.602    |10.95    |~              |    ~     ~    |    1|  230.9576  pc  |  -9.6601     +9.6601    |paral   |2018yCat.1345....0G
4529|TYC 9042-797-1                                                                                           |Star                                  |16 50 51.6611357736 -62 32 11.613288228|326.9427682455838 -11.4480452470132|  3.991 -10.438    |10.83    |~              |    ~     ~    |    1|  498.753   pc  |  -3.9801     +3.9801    |paral   |2020yCat.1350....0G
4530|TYC 9042-827-1                                                                                           |Star                                  |16 49 48.7214445624 -62 15 29.981021580|327.0882305620100 -11.1800305857718| -7.804 -11.183    |10.73    |~              |    ~     ~    |    1|  600.384   pc  |  -6.7406     +6.7406    |paral   |2020yCat.1350....0G
4531|TYC 9042-975-1                                                                                           |Star                                  |16 46 38.9288611728 -62 25 18.667618392|326.7238579775163 -10.9965931204109|-11.435 -10.378    |10.558   |~              |    ~     ~    |    1|  821.140   pc  | -49.1300    +49.1300    |ST-L    |2020AJ....160...83S
4532|TYC 9042-1059-1                                                                                          |Star                                  |16 48 47.5974377688 -62 00 41.408808120|327.2089278754074 -10.9329267202156| -8.624 -16.923    |10.85    |~              |    ~     ~    |    0|                |                         |        |                   
4533|TYC 9042-1133-1                                                                                          |Star                                  |16 46 41.5049699136 -62 15 01.087393464|326.8625528737994 -10.8921356346734|   2.329 -5.693    |10.74    |~              |    ~     ~    |    1|  216.502   pc  |  -0.7547     +0.7547    |paral   |2020yCat.1350....0G
4534|TYC 9042-1157-1                                                                                          |Star                                  |16 47 48.0906487488 -62 01 56.703017532|327.1180141237061 -10.8554831959098|  -2.837 -5.329    |10.30    |~              |    ~     ~    |    1|  633.433   pc  |  -6.7809     +6.7809    |paral   |2020yCat.1350....0G
4535|TYC 9042-1453-1                                                                                          |High Proper Motion Star               |16 51 23.9104596864 -63 11 47.087064672|326.4515262107939 -11.9038173998849|  27.290 52.969    |10.99    |~              |    ~     ~    |    1|  171.945   pc  |  -0.4612     +0.4612    |paral   |2020yCat.1350....0G
4536|TYC 9042-1475-1                                                                                          |Star                                  |16 46 48.7470727920 -62 33 32.288425524|326.6276178913897 -11.0977663444156|  -0.862 -6.609    |10.370   |~              |    ~     ~    |    1| 1112.650   pc  | -70.5500    +70.5500    |ST-L    |2020AJ....160...83S
4537|TYC 9042-1488-1                                                                                          |Star                                  |16 50 14.6162846448 -62 20 56.215284900|327.0476941933223 -11.2756654573289|  -4.893 -7.123    |10.377   |~              |    ~     ~    |    1|  669.062   pc  | -25.1600    +25.1600    |ST-L    |2020AJ....160...83S
4538|TYC 9042-1521-1                                                                                          |High Proper Motion Star               |16 48 30.1356568992 -62 05 05.392269816|327.1289530455003 -10.9522825937544|-55.273 -50.473    |10.67    |~              |    ~     ~    |    1|  777.061   pc  |  -9.9631     +9.9631    |paral   |2020yCat.1350....0G
4539|TYC 9042-1548-1                                                                                          |Star                                  |16 45 58.7013766176 -62 09 32.830172532|326.8808819394326 -10.7700423126742| -5.717 -15.204    |10.75    |~              |    ~     ~    |    1|  505.229   pc  |  -3.7012     +3.7012    |paral   |2020yCat.1350....0G
4540|TYC 9042-2155-1                                                                                          |Pulsating Variable                    |16 49 25.9200835056 -63 34 52.695467796|326.0031941425849 -11.9688572886705| -13.021 -9.955    |10.44    |~              |    ~     ~    |    1|  512.295   pc  |  -6.0100     +6.0100    |paral   |2020yCat.1350....0G
4541|GSC 09042-02616                                                                                          |Double or Multiple Star               |16 49 46.034904 -63 22 22.18620        |326.193994720 -11.868805313        |     -9.2 -22.9    |10.804   |~              |    ~     ~    |    0|                |                         |        |                   
4542|TYC 9042-2698-1                                                                                          |Pulsating Variable                    |16 46 52.6592057328 -63 21 24.605726508|326.0001591846047 -11.6058970728099|  -0.826 -1.738    |10.62    |~              |    ~     ~    |    1|  661.113   pc  |  -7.5613     +7.5613    |paral   |2020yCat.1350....0G
4543|TYC 9042-2855-1                                                                                          |Star                                  |16 45 51.0585392376 -63 24 15.896157120|325.8884760757607 -11.5465767182393|  -2.051 -9.835    |10.13    |~              |    ~     ~    |    1|  194.152   pc  |  -0.6823     +0.6823    |paral   |2020yCat.1350....0G
4544|TYC 9042-2947-1                                                                                          |High Proper Motion Star               |16 50 49.0550053152 -63 28 32.544396840|326.1856972406959 -12.0247479257278|-94.167 -94.436    |10.44    |~              |    ~     ~    |    1|  110.877   pc  |  -0.1746     +0.1746    |paral   |2020yCat.1350....0G
4545|TYC 9042-2948-1                                                                                          |Star                                  |16 49 02.0663654328 -63 19 52.555472472|326.1750844677035 -11.7786028423299|   1.366 -1.055    |10.46    |~              |    ~     ~    |    1|  459.834   pc  |  -3.5312     +3.5312    |paral   |2020yCat.1350....0G
4546|TYC 9042-2962-1                                                                                          |Star                                  |16 46 23.7910870392 -63 27 14.697762300|325.8884062687012 -11.6252437419862| -4.366 -11.955    |10.85    |~              |    ~     ~    |    1|  357.015   pc  |  -2.0139     +2.0139    |paral   |2020yCat.1350....0G
4547|TYC 9042-2994-1                                                                                          |High Proper Motion Star               |16 45 40.0109119560 -63 21 30.140781840|325.9116000467939 -11.5014993818021|-39.844 -50.910    |10.495   |~              |    ~     ~    |    1|  528.058   pc  | -16.2900    +16.2900    |ST-L    |2020AJ....160...83S
4548|TYC 9042-3151-1                                                                                          |Star                                  |16 50 11.6685796584 -63 29 07.555343244|326.1339305881338 -11.9760809721070| -5.409 -11.121    |10.31    |~              |    ~     ~    |    1|  484.990   pc  |  -7.9503     +7.9503    |paral   |2020yCat.1350....0G
4549|TYC 9042-3170-1                                                                                          |Star                                  |16 45 47.9089239912 -63 21 33.176763648|325.9204493878794 -11.5134685942557|   -0.044 8.230    |10.94    |~              |    ~     ~    |    1|  551.572   pc  | -19.2800    +19.2800    |ST-L    |2020AJ....160...83S
4550|TYC 9043-62-1                                                                                            |Star                                  |16 53 07.6738582512 -62 34 02.265545316|327.0822766833949 -11.6727729402878|  -0.370 -3.332    |10.673   |~              |    ~     ~    |    1|  846.856   pc  | -38.9700    +38.9700    |ST-L    |2020AJ....160...83S
4551|TYC 9043-173-1                                                                                           |Star                                  |16 51 28.5582289656 -62 24 58.471884504|327.0840604773044 -11.4294665452268| -4.827 -15.062    |10.83    |~              |    ~     ~    |    1|  634.719   pc  |  -8.5811     +8.5811    |paral   |2020yCat.1350....0G
4552|TYC 9043-339-1                                                                                           |Star                                  |16 51 39.1519920456 -62 03 48.780146160|327.3798538483660 -11.2277317491341|  -2.123 -8.320    |10.96    |~              |    ~     ~    |    1|  955.292   pc  | -11.7723    +11.7723    |paral   |2020yCat.1350....0G
4553|TYC 9043-416-1                                                                                           |Star                                  |16 52 48.5978502480 -62 08 58.619310900|327.3957966986854 -11.3873811215813| -4.548 -19.348    |10.74    |~              |    ~     ~    |    1|  590.249   pc  |  -4.5988     +4.5988    |paral   |2020yCat.1350....0G
4554|HD 152273                                                                                                |Star                                  |16 56 16.7136893352 -61 38 26.187970632|328.0614311876533 -11.4005012558499| -3.727 -11.902    |6.77     |A0III(pSi)     |    ~     ~    |    1|  445.991   pc  |  -8.7718     +8.7718    |paral   |2020yCat.1350....0G
4555|CD-61 5677                                                                                               |Star                                  |16 56 21.0318891648 -61 46 19.555574484|327.9599274764431 -11.4869025650433|  2.798 -27.122    |9.20     |~              |    ~     ~    |    1|  210.225   pc  |  -0.7513     +0.7513    |paral   |2020yCat.1350....0G
4556|HD 152373                                                                                                |Star                                  |16 56 52.3432022952 -61 59 42.561268908|327.8164207082566 -11.6706689179933|   1.124 -8.093    |8.64     |B8V(n)         |    ~     ~    |    1|  605.547   pc  | -10.2306    +10.2306    |paral   |2020yCat.1350....0G
4557|HD 152671                                                                                                |High Proper Motion Star               |16 58 41.5176282816 -61 44 29.921894808|328.1549484725524 -11.6897745900493| 34.125 -76.961    |7.25     |F2/3V          |    ~     ~    |    1|   98.128   pc  |  -0.2003     +0.2003    |paral   |2020yCat.1350....0G
4558|CD-61 5681                                                                                               |Star                                  |16 57 39.9944150736 -62 09 37.379446704|327.7388050230695 -11.8443643086210| -2.908 -19.061    |9.81     |~              |    ~     ~    |    1|  243.986   pc  |  -0.9108     +0.9108    |paral   |2020yCat.1350....0G
4559|HD 152692                                                                                                |Star                                  |16 58 50.9468944488 -62 09 40.495623696|327.8225888991574 -11.9554489363365|  -1.851 -9.879    |9.13     |B9V            |    ~     ~    |    1|  441.891   pc  |  -4.7255     +4.7255    |paral   |2020yCat.1350....0G
4560|CD-62 1114                                                                                               |Star                                  |16 54 41.2775599752 -62 42 26.500585356|327.0806757986450 -11.9002580230425| -4.150 -13.308    |9.93     |~              |    ~     ~    |    1|  486.689   pc  |  -7.4613     +7.4613    |paral   |2020yCat.1350....0G
4561|CD-62 1115                                                                                               |Star                                  |16 55 20.9849732304 -63 03 23.656436172|326.8435473236261 -12.1720118297755| -4.188 -17.277    |9.67     |~              |    ~     ~    |    1|  385.371   pc  |  -2.5395     +2.5395    |paral   |2020yCat.1350....0G
4562|HD 152122                                                                                                |Star                                  |16 55 26.9778005856 -62 19 01.087900572|327.4520971793605 -11.7330402897002|   1.598 -8.732    |8.94     |K3/4III        |    ~     ~    |    1|  394.493   pc  |  -2.9569     +2.9569    |paral   |2020yCat.1350....0G
4563|CPD-62 5464                                                                                              |High Proper Motion Star               |16 55 54.7683822178 -62 28 11.693688482|327.3609781756345 -11.8683780429725|-220.069 -313.674  |9.41     |~              |    ~     ~    |    1|   36.468   pc  |  -0.0747     +0.0747    |ST-L    |2020AJ....160...83S
4564|HD 152259                                                                                                |Star                                  |16 56 24.3325384104 -62 32 38.645806704|327.3356914683326 -11.9584911281626|   7.685 13.929    |8.62     |F3IV/V         |    ~     ~    |    1|  228.024   pc  |  -0.9151     +0.9151    |paral   |2020yCat.1350....0G
4565|CD-62 1119                                                                                               |Long-Period Variable Candidate        |16 57 57.1277076744 -62 33 59.932941660|327.4267516152704 -12.1144858838248|   1.150 -3.966    |8.42     |M5III          |    ~     ~    |    1|  839.49    pc  | -17.4071    +17.4071    |paral   |2020yCat.1350....0G
4566|CD-63 1232                                                                                               |Star                                  |16 50 58.3960605840 -63 29 33.112042368|326.1831200924042 -12.0488027843372|  -4.817 -7.609    |9.74     |~              |    ~     ~    |    1|  583.533   pc  |  -8.9895     +8.9895    |paral   |2020yCat.1350....0G
4567|HD 151763                                                                                                |Star                                  |16 53 30.4526319744 -63 14 06.339268392|326.5692156487650 -12.1152375086174| 29.368 -37.018    |7.81     |A3III          |    ~     ~    |    1|  142.154   pc  |  -2.9726     +2.9726    |paral   |2020yCat.1350....0G
4568|HD 151917                                                                                                |Star                                  |16 54 33.2247589752 -63 27 20.220683112|326.4631374897508 -12.3425032177986|  0.652 -15.042    |7.45     |M1III          |    ~     ~    |    1|  270.739   pc  |  -1.4880     +1.4880    |paral   |2020yCat.1350....0G
4569|HD 152082                                                                                                |Star                                  |16 55 24.6888182136 -63 16 10.777698012|326.6742087835959 -12.3064319051483|  8.003 -14.188    |5.996    |A0III          |    ~     ~    |    1|  173.229   pc  |  -0.9663     +0.9663    |paral   |2020yCat.1350....0G
4570|[K77] 640                                                                                                |Star                                  |16 56 23.0 -61 46 48                   |327.9559 -11.4948                  |            ~ ~    |9.200    |~              |    ~     ~    |    0|                |                         |        |                   
4571|TYC 9043-3005-1                                                                                          |Spectroscopic Binary                  |16 51 51.2075308440 -63 32 26.938146624|326.2059548867808 -12.1558631976375|-22.757 -10.174    |10.10    |~              |    ~     ~    |    1|  718.711   pc  | -28.0700    +28.0700    |ST-L    |2020AJ....160...83S
4572|CPD-63 4023                                                                                              |Star                                  |16 52 08.5657644168 -63 24 09.556500780|326.3377969610274 -12.0965601861328| 16.187 -37.976    |9.64     |~              |    ~     ~    |    1|  418.316   pc  |  -9.9780     +9.9780    |ST-L    |2020AJ....160...83S
4573|TYC 9043-2177-1                                                                                          |Star                                  |16 53 16.0717116888 -63 21 34.603062912|326.4515042590512 -12.1698886728761|   3.752 10.789    |9.98     |~              |    ~     ~    |    1| 1082.134   pc  | -19.0875    +19.0875    |paral   |2020yCat.1350....0G
4574|CPD-63 4028                                                                                              |Star                                  |16 54 02.1759403680 -63 32 58.920467496|326.3507349767350 -12.3537565575058|    1.885 0.306    |9.80     |~              |    ~     ~    |    1|  697.204   pc  |  -8.4580     +8.4580    |paral   |2020yCat.1350....0G
4575|TYC 9043-504-1                                                                                           |Star                                  |16 54 18.3080821056 -63 04 15.772537272|326.7583733366320 -12.0867438668627|   6.503 -1.338    |10.18    |~              |    ~     ~    |    1|  712.657   pc  |  -8.3800     +8.3800    |paral   |2020yCat.1350....0G
4576|TYC 9043-2269-1                                                                                          |Star                                  |16 54 47.9341393728 -63 32 18.471996996|326.4126363116156 -12.4144654862132|  -0.443 -4.109    |10.16    |~              |    ~     ~    |    1| 1499.700   pc  | -31.4874    +31.4874    |paral   |2020yCat.1350....0G
4577|CPD-62 5462                                                                                              |Star                                  |16 55 31.2582913896 -63 05 10.716692784|326.8313142275789 -12.2054368780767| -2.003 -11.070    |9.50     |~              |    ~     ~    |    1|  931.099   pc  | -14.4780    +14.4780    |paral   |2020yCat.1350....0G
4578|TYC 9043-133-1                                                                                           |Star                                  |16 56 29.9323631040 -63 04 29.641426248|326.9089400458775 -12.2868384442896|   14.197 2.649    |10.04    |~              |    ~     ~    |    1|  680.411   pc  |  -7.0370     +7.0370    |paral   |2020yCat.1350....0G
4579|CPD-62 5467                                                                                              |Star                                  |16 56 38.9945038776 -62 13 39.157482936|327.6111000634899 -11.7901129584815|-14.758 -38.971    |10.10    |~              |    ~     ~    |    1|  297.592   pc  |  -1.3373     +1.3373    |paral   |2020yCat.1350....0G
4580|CD-61 5682                                                                                               |Star                                  |16 57 41.1806186424 -61 29 28.678607520|328.2860865994326 -11.4439098414334| -7.937 -10.584    |9.11     |~              |    ~     ~    |    1|  600.745   pc  |  -5.7382     +5.7382    |paral   |2020yCat.1350....0G
4581|CPD-62 5473                                                                                              |Star                                  |16 58 00.0597225936 -62 23 16.682958240|327.5765305689733 -12.0119933167062|-10.191 -25.101    |9.55     |~              |    ~     ~    |    1|  479.157   pc  |  -3.3291     +3.3291    |paral   |2020yCat.1350....0G
4582|CD-61 5683                                                                                               |Star                                  |16 58 00.8671095576 -61 47 42.578231784|328.0621642272415 -11.6577288381089|  2.623 -12.908    |10.27    |~              |    ~     ~    |    0|                |                         |        |                   
4583|CD-61 5688                                                                                               |Star                                  |16 58 33.9992869296 -61 51 18.305489052|328.0530952196960 -11.7458243532123|-11.657 -18.521    |9.80     |~              |    ~     ~    |    1|  453.700   pc  |  -3.1494     +3.1494    |paral   |2020yCat.1350....0G
4584|TYC 9039-2846-1                                                                                          |Star                                  |16 58 46.7499537144 -61 51 07.394629104|328.0708931208454 -11.7640907328445|  -5.909 -5.603    |10.57    |~              |    ~     ~    |    1|  827.267   pc  | -11.0184    +11.0184    |paral   |2020yCat.1350....0G
4585|CD-61 5692                                                                                               |Star                                  |16 58 52.7980116816 -61 18 04.583576124|328.5286464707796 -11.4440221933722| -4.585 -12.898    |10.20    |~              |    ~     ~    |    1| 1067.122   pc  | -15.6009    +15.6009    |paral   |2020yCat.1350....0G
4586|HD 152512                                                                                                |Star                                  |16 57 55.5723239352 -63 09 49.815306324|326.9351019443817 -12.4692830728948| -2.964 -12.422    |9.48     |B9III/IV       |    ~     ~    |    1|  464.662   pc  |  -7.5785     +7.5785    |paral   |2020yCat.1350....0G
4587|CPD-62 5475                                                                                              |Star                                  |16 59 46.3102359024 -62 33 53.126942724|327.5561390854228 -12.2816429303653|   6.999 -1.952    |9.73     |~              |    ~     ~    |    1|  431.258   pc  |  -5.9143     +5.9143    |paral   |2020yCat.1350....0G
4588|HD 152711                                                                                                |Star                                  |16 59 16.2220670952 -63 37 46.817002596|326.6430437023855 -12.8673398310448|   2.176 -4.467    |8.09     |K3/4III        |    ~     ~    |    0|                |                         |        |                   
4589|HD 152710                                                                                                |Double or Multiple Star               |16 59 14.8664748504 -63 23 37.271424912|326.8364382317617 -12.7254646115883|  -9.028 -9.421    |9.40     |A3/5V          |    ~     ~    |    1|  274.183   pc  |  -2.1125     +2.1125    |paral   |2020yCat.1350....0G
4590|HD 152730                                                                                                |High Proper Motion Star               |16 59 20.6617792224 -63 37 25.515216264|326.6529261975110 -12.8704576575928| 17.014 -96.208    |8.71     |K0/2(V)        |    ~     ~    |    1|  103.990   pc  |  -0.2552     +0.2552    |paral   |2020yCat.1350....0G
4591|HD 152759                                                                                                |Star                                  |16 59 35.1169963632 -63 38 54.849927804|326.6486381073798 -12.9067024975523|-10.409 -13.051    |9.77     |A2V            |    ~     ~    |    1|  309.157   pc  |  -2.2556     +2.2556    |paral   |2020yCat.1350....0G
4592|HD 152789                                                                                                |Star                                  |16 59 46.1625823032 -63 37 08.722542072|326.6854275714006 -12.9057649405316|  -3.013 -4.322    |9.23     |A7IV/V         |    ~     ~    |    1|  528.569   pc  |  -5.8671     +5.8671    |paral   |2020yCat.1350....0G
4593|V* V341 Ara                                                                                              |Cataclysmic Binary                    |16 57 41.5109503512 -63 12 38.437536060|326.8804639009322 -12.4760888284118|-48.226 -84.948    |10.573   |OB             |    ~     ~    |    1|  155.890   pc  |  -0.8335     +0.8335    |paral   |2020yCat.1350....0G
4594|TYC 9043-278-1                                                                                           |Star                                  |16 57 46.3361483376 -62 52 08.299134516|327.1663733530398 -12.2789664389706|  -0.120 -5.517    |10.31    |~              |    ~     ~    |    1| 1355.381   pc  | -35.8226    +35.8226    |paral   |2020yCat.1350....0G
4595|CPD-62 5472                                                                                              |Star                                  |16 58 05.9511628992 -63 00 32.675575212|327.0741732574782 -12.3925397944013|-13.184 -15.583    |9.49     |~              |    ~     ~    |    1|  326.883   pc  |  -1.6669     +1.6669    |paral   |2020yCat.1350....0G
4596|TYC 9047-505-1                                                                                           |Star                                  |16 59 31.6197408984 -63 46 29.022140316|326.5403223364892 -12.9760845268621|  -2.463 -9.861    |9.94     |~              |    ~     ~    |    1| 1114.206   pc  | -17.1321    +17.1321    |paral   |2020yCat.1350....0G
4597|TYC 9039-187-1                                                                                           |Star                                  |16 56 49.8030496320 -61 48 14.458880448|327.9689410459012 -11.5513414137491|   0.093 -3.437    |10.779   |~              |    ~     ~    |    1| 1272.427   pc  | -28.3337    +28.3337    |paral   |2020yCat.1350....0G
4598|TYC 9039-673-1                                                                                           |Star                                  |16 58 18.5107382664 -61 24 16.807695516|328.4023203821777 -11.4512283162256|   0.717 -5.655    |10.42    |~              |    ~     ~    |    1|  533.931   pc  |  -3.5065     +3.5065    |paral   |2020yCat.1350....0G
4599|TYC 9039-1657-1                                                                                          |Star                                  |16 57 31.4979546864 -61 38 21.099089832|328.1537907213997 -11.5176188605411|   1.227 -8.871    |10.85    |~              |    ~     ~    |    1| 1141.683   pc  | -25.6778    +25.6778    |paral   |2020yCat.1350....0G
4600|TYC 9039-2253-1                                                                                          |High Proper Motion Star               |16 59 49.0423606008 -61 32 41.852076144|328.3975402906042 -11.6795012215135|-71.072 -81.907    |10.604   |~              |    ~     ~    |    1|  257.361   pc  |  -3.7020     +3.7020    |ST-L    |2020AJ....160...83S
4601|TYC 9039-2569-1                                                                                          |Star                                  |16 58 21.8197994328 -61 26 33.640579932|328.3753433274570 -11.4793207104395| 17.695 -17.171    |10.36    |~              |    ~     ~    |    1|  857.854   pc  | -10.7443    +10.7443    |paral   |2020yCat.1350....0G
4602|TYC 9039-2937-1                                                                                          |Star                                  |16 59 47.6615965584 -61 18 25.773897456|328.5907820284056 -11.5355373555360| -6.294 -16.514    |10.50    |~              |    ~     ~    |    1|  752.131   pc  | -30.1200    +30.1200    |ST-L    |2020AJ....160...83S
4603|TYC 9043-10-1                                                                                            |Star                                  |16 58 29.2091639592 -62 31 34.811097852|327.4974941017580 -12.1397698173273|  -2.284 -6.748    |10.82    |~              |    ~     ~    |    1| 2139.495   pc  | -66.3729    +66.3729    |paral   |2020yCat.1350....0G
4604|TYC 9043-55-1                                                                                            |Star                                  |16 56 28.7674473336 -62 06 39.145605480|327.6938330233298 -11.7038191195687| -5.012 -16.600    |10.178   |~              |    ~     ~    |    1|  655.599   pc  | -25.0400    +25.0400    |ST-L    |2020AJ....160...83S
4605|TYC 9043-127-1                                                                                           |Star                                  |16 59 45.7707145752 -63 07 20.399222892|327.0956691679223 -12.6113536770593|  -6.713 -3.659    |10.98    |~              |    ~     ~    |    1|  926.269   pc  | -55.5109    +55.5109    |paral   |2020yCat.1350....0G
