C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
70  |HD 326147                                                                                                |Star                                  |16 51 57.7506138168 -41 27 45.465111720|343.4842276812195 +01.7322521295969|  -0.948 -1.948    |10.59    |A2             |    ~     ~    |    1| 1701.259   pc  | -65.4108    +65.4108    |paral   |2020yCat.1350....0G
71  |HD 326152                                                                                                |Star                                  |16 50 15.5852580528 -41 17 29.118413364|343.4125126308219 +02.0875094022482|  -0.858 -1.657    |10.39    |B5             |    ~     ~    |    1| 1581.028   pc  | -38.4946    +38.4946    |paral   |2020yCat.1350....0G
72  |HD 326153                                                                                                |Star                                  |16 50 12.1283569680 -41 20 32.887873428|343.3663153114748 +02.0631897836797|  -4.276 -9.170    |10.56    |A2             |    ~     ~    |    1|  361.546   pc  |  -5.5293     +5.5293    |paral   |2020yCat.1350....0G
73  |HD 326142                                                                                                |Star                                  |16 51 15.2081921184 -41 03 50.610694752|343.7070822646248 +02.0886276098746|  -2.142 -3.993    |9.48     |K7             |    ~     ~    |    1| 1597.444   pc  | -65.0716    +65.0716    |paral   |2020yCat.1350....0G
74  |HD 326161                                                                                                |Star                                  |16 49 33.1955852112 -41 33 34.722309600|343.1214846093780 +02.0175517011958|   0.203 -3.731    |10.75    |A0             |    ~     ~    |    1|  643.294   pc  |  -8.1938     +8.1938    |paral   |2020yCat.1350....0G
75  |HD 326162                                                                                                |Star                                  |16 49 45.7849859352 -41 37 01.477130592|343.1025204142879 +01.9506302850320|  -0.693 -1.172    |9.71     |F8             |    ~     ~    |    1|  322.175   pc  |  -1.7438     +1.7438    |paral   |2020yCat.1350....0G
76  |HD 326165                                                                                                |Star                                  |16 50 34.1308232064 -41 35 42.936592344|343.2156940453901 +01.8488020263833|  -0.842 -1.640    |10.96    |B3             |    ~     ~    |    0|                |                         |        |                   
77  |HD 326168                                                                                                |Star                                  |16 51 02.8352539944 -41 34 57.021713508|343.2826318060097 +01.7880696170243|  -2.316 -6.662    |10.80    |A7             |    ~     ~    |    1|  576.768   pc  |  -9.6472     +9.6472    |paral   |2020yCat.1350....0G
78  |HD 326172                                                                                                |Star                                  |16 52 06.0619223880 -41 53 30.517631700|343.1691275899118 +01.4395854813216|  -1.753 -1.502    |10.57    |A2             |    ~     ~    |    1|  741.510   pc  | -60.8669    +60.8669    |paral   |2020yCat.1350....0G
79  |HD 326180                                                                                                |Star                                  |16 48 29.5379688360 -41 47 28.961879532|342.8164346079890 +02.0205745888289|  -2.824 -5.522    |10.49    |K0             |    ~     ~    |    1| 1310.616   pc  | -35.0414    +35.0414    |paral   |2020yCat.1350....0G
