C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2552|CD-30 2643                                                            |Star                                  |05 49 45.9219893304 -30 30 13.389575292|235.6237180049261 -25.8056551902433|   4.516 17.626  |9.63     |G2               |    ~     ~    |    1|  647.710   pc  |  -6.1671     +6.1671  |paral   |2020yCat.1350....0G
2553|CD-30 2645                                                            |Star                                  |05 49 54.2468137128 -30 10 47.440045596|235.2913291659990 -25.6785738291635|  -16.396 4.101  |9.45     |F5               |    ~     ~    |    1|  289.939   pc  |  -0.9499     +0.9499  |paral   |2020yCat.1350....0G
2554|HD 39241                                                              |Star                                  |05 49 54.2058732744 -30 37 16.138080372|235.7580342537721 -25.8128675951056|  19.988 -7.917  |6.63     |K0III            |    ~     ~    |    1|  179.872   pc  |  -0.4918     +0.4918  |paral   |2020yCat.1350....0G
2555|HD 39267                                                              |Star                                  |05 50 11.1236762520 -30 50 07.910512116|236.0053949816779 -25.8197778353616|  -3.563 11.050  |8.39     |F2V              |    ~     ~    |    1|  145.594   pc  |  -0.3434     +0.3434  |paral   |2020yCat.1350....0G
2556|CD-30 2658                                                            |Star                                  |05 50 35.3714433168 -30 01 36.144504336|235.1801544056457 -25.4905002669569|  -6.928 10.374  |10.36    |G0               |    ~     ~    |    1|  206.126   pc  |  -0.5481     +0.5481  |paral   |2020yCat.1350....0G
2557|CD-28 2488                                                            |Double or Multiple Star               |05 49 43.56706 -28 19 13.5608          |233.32249104 -25.13431803          |  -11.15 -18.94  |10.3     |~                |    ~     ~    |    0|                |                       |        |                   
2558|TYC 6502-1479-1                                                       |Star                                  |05 49 43.6185909096 -28 19 19.179117408|233.3241913347401 -25.1346372506317|-12.853 -26.316  |10.93    |~                |    ~     ~    |    1|  370.151   pc  | -26.7995    +26.7995  |paral   |2020yCat.1350....0G
2559|CD-29 2508                                                            |Star                                  |05 48 47.4924425568 -29 06 23.364729072|234.0762564414261 -25.5769341302486|    1.532 0.999  |10.60    |~                |    ~     ~    |    1|  951.656   pc  | -12.9508    +12.9508  |paral   |2020yCat.1350....0G
2560|CD-28 2482                                                            |Star                                  |05 49 18.2308076016 -28 47 31.353215100|233.7844640729164 -25.3718833383563|   2.868 17.506  |10.02    |~                |    ~     ~    |    1|  893.256   pc  |  -9.0961     +9.0961  |paral   |2020yCat.1350....0G
2561|CPD-28 1008                                                           |Star                                  |05 49 44.0737216368 -28 06 38.484343152|233.1037201819824 -25.0654172298742|   4.882 17.228  |10.99    |~                |    ~     ~    |    1| 1170.686   pc  | -12.4716    +12.4716  |paral   |2020yCat.1350....0G
2562|CD-29 2522                                                            |Star                                  |05 49 47.8225532208 -29 51 59.467685148|234.9526485201232 -25.6045092095411|    1.773 8.423  |10.73    |~                |    ~     ~    |    1| 1905.851   pc  | -45.7666    +45.7666  |paral   |2020yCat.1350....0G
2563|CD-30 2644                                                            |Spectroscopic Binary                  |05 49 48.9972731352 -29 58 24.309846156|235.0669068998445 -25.6333442660573|    1.526 1.595  |10.19    |~                |    ~     ~    |    1|  677.874   pc  | -24.3083    +24.3083  |paral   |2020yCat.1350....0G
2564|CD-29 2529                                                            |Star                                  |05 50 17.7687135696 -29 35 50.568950112|234.7061867934453 -25.4182315061489|   2.375 -3.038  |10.35    |~                |    ~     ~    |    1| 1525.088   pc  | -24.6545    +24.6545  |paral   |2020yCat.1350....0G
2565|CD-29 2536                                                            |Star                                  |05 50 29.0084614368 -29 44 52.204055136|234.8785293214879 -25.4262277689684|   -2.669 4.222  |10.63    |~                |    ~     ~    |    1| 1928.640   pc  | -52.4471    +52.4471  |paral   |2020yCat.1350....0G
2566|CD-30 2649                                                            |Star                                  |05 49 56.8075918920 -30 40 12.587948940|235.8130676155212 -25.8187866336511| -10.295 23.072  |10.67    |~                |    ~     ~    |    1|  142.039   pc  |  -0.1876     +0.1876  |paral   |2020yCat.1350....0G
2567|CD-30 2650                                                            |Star                                  |05 50 09.1344278736 -30 31 58.132734564|235.6825567545574 -25.7350781266882|  8.037 -14.572  |9.97     |~                |    ~     ~    |    1| 1133.658   pc  | -14.0085    +14.0085  |paral   |2020yCat.1350....0G
2568|CPD-30 1047                                                           |Star                                  |05 49 49.3079766840 -30 37 26.451063552|235.7551714807186 -25.8304739675972|    5.352 4.418  |10.12    |~                |    ~     ~    |    1|  355.379   pc  |  -1.3008     +1.3008  |paral   |2020yCat.1350....0G
2569|CD-28 2506                                                            |Star                                  |05 51 07.4787352464 -28 11 04.828062012|233.2896395832521 -24.7990640275854| -3.062 -23.779  |9.90     |~                |    ~     ~    |    1| 1663.617   pc  | -30.4438    +30.4438  |paral   |2020yCat.1350....0G
2570|CD-28 2508                                                            |Star                                  |05 51 12.0614868960 -28 25 28.932458196|233.5460331732361 -24.8603073619627|    0.243 4.361  |9.44     |~                |    ~     ~    |    1| 1064.736   pc  | -15.6445    +15.6445  |paral   |2020yCat.1350....0G
2571|HD 39461                                                              |Star                                  |05 51 29.5904537016 -28 20 25.383247800|233.4807945043427 -24.7723730032013|   -7.539 2.432  |8.83     |A5V              |    ~     ~    |    1|  401.945   pc  |  -5.1376     +5.1376  |paral   |2020yCat.1350....0G
2572|V* TZ Col                                                             |RS CVn Variable                       |05 52 15.9879707160 -28 39 24.871828392|233.8709270829775 -24.7131063642289|  0.870 -33.933  |9.082    |G3V              |    ~     ~    |    1|   92.103   pc  |  -1.3607     +1.3607  |paral   |2020yCat.1350....0G
2573|HD 39636                                                              |Star                                  |05 52 36.7980338928 -28 11 31.056696060|233.4139076576461 -24.4910118324407|   0.101 37.406  |9.23     |G8IV/V           |    ~     ~    |    1|  402.674   pc  |  -5.9994     +5.9994  |paral   |2020yCat.1350....0G
2574|HD 39792                                                              |Spectroscopic Binary                  |05 53 35.4237115896 -28 20 42.668224440|233.6497395563054 -24.3372310039885|  -9.198 22.999  |9.08     |F0V              |    ~     ~    |    1|  220.061   pc  |  -0.6489     +0.6489  |paral   |2020yCat.1350....0G
2575|CD-28 2541                                                            |Star                                  |05 53 38.0362123848 -28 55 19.420386420|234.2528294150792 -24.5143005624845|   -5.147 0.809  |9.740    |~                |    ~     ~    |    1|  863.158   pc  | -39.9600    +39.9600  |ST-L    |2020AJ....160...83S
2576|CD-28 2555                                                            |Star                                  |05 55 07.3592138448 -28 42 03.945289320|234.1386980990969 -24.1343595997953| -8.397 -16.709  |9.05     |~                |    ~     ~    |    1|  436.910   pc  |  -2.3480     +2.3480  |paral   |2020yCat.1350....0G
2577|V* AB Col                                                             |Long-Period Variable                  |05 55 34.5239404104 -28 57 13.295878812|234.4357473459501 -24.1223298136225|  -7.361 -1.950  |9.50     |M3III            |    ~     ~    |    1|  674.036   pc  |  -7.0420     +7.0420  |paral   |2020yCat.1350....0G
2578|HD 40304                                                              |Star                                  |05 56 39.5873849208 -28 28 49.382112324|234.0308598056744 -23.7433936506975|  -9.418 -3.929  |8.78     |K4III            |    ~     ~    |    1|  631.512   pc  |  -6.4208     +6.4208  |paral   |2020yCat.1350....0G
2579|HD 40358                                                              |Star                                  |05 56 59.0258710920 -28 45 33.015605616|234.3440995576855 -23.7674823365418|  5.406 -31.328  |8.18     |G8III            |    ~     ~    |    1|  342.689   pc  |  -1.9847     +1.9847  |paral   |2020yCat.1350....0G
2580|HD 40404                                                              |High Proper Motion Star               |05 57 13.6657761216 -28 52 54.153928344|234.4897155219856 -23.7569641128610| 28.947 -84.505  |8.27     |G3V              |    ~     ~    |    1|   76.492   pc  |  -0.0989     +0.0989  |paral   |2020yCat.1350....0G
2581|HD 40403                                                              |High Proper Motion Star               |05 57 16.0624264920 -28 26 20.729443236|234.0362287999770 -23.6036320448921|  0.594 120.886  |8.90     |G3IV/V           |    ~     ~    |    1|  102.915   pc  |  -0.7340     +0.7340  |paral   |2020yCat.1350....0G
2582|CD-28 2599                                                            |Star                                  |05 57 32.2831226784 -28 14 49.475848848|233.8599374312908 -23.4840980453498|   -5.415 6.615  |9.51     |~                |    ~     ~    |    1|  612.445   pc  |  -4.5386     +4.5386  |paral   |2020yCat.1350....0G
2583|HD 40520                                                              |Star                                  |05 58 06.9464815296 -28 31 25.834384668|234.1904907671729 -23.4556198868827|   4.269 21.334  |9.15     |F0V              |    ~     ~    |    1|  199.112   pc  |  -0.5471     +0.5471  |paral   |2020yCat.1350....0G
2584|HD 40689                                                              |Double or Multiple Star               |05 59 11.758 -28 31 30.28              |234.277216 -23.232109              |       6.2 -0.2  |9.69     |F5V              |    ~     ~    |    0|                |                       |        |                   
2585|HD 39352                                                              |High Proper Motion Star               |05 50 45.2547248424 -29 06 39.166626672|234.2296414840511 -25.1712263134550| 14.810 164.838  |8.35     |G8IV             |    ~     ~    |    1|   50.203   pc  |  -0.0408     +0.0408  |paral   |2020yCat.1350....0G
2586|CD-29 2541                                                            |Star                                  |05 50 49.4742828672 -29 06 10.959078276|234.2267726359087 -25.1541788076370|   16.224 4.361  |8.62     |G:               |    ~     ~    |    1|  374.083   pc  |  -2.1271     +2.1271  |paral   |2020yCat.1350....0G
2587|CD-29 2542                                                            |Spectroscopic Binary                  |05 50 50.8059452256 -29 10 10.875294012|234.2983429831650 -25.1705659833126|    1.702 4.876  |9.68     |~                |    ~     ~    |    1|  681.570   pc  | -22.1585    +22.1585  |paral   |2020yCat.1350....0G
2588|HD 39470                                                              |Spectroscopic Binary                  |05 51 30.6658211904 -29 34 08.912693172|234.7675726313249 -25.1584470618018| -2.312 -10.735  |9.67     |F3V              |    ~     ~    |    1|  241.482   pc  |  -6.1929     +6.1929  |paral   |2020yCat.1350....0G
2589|CD-29 2548                                                            |Variable Star                         |05 51 44.0471706216 -28 59 00.509046360|234.1709643487221 -24.9277737423831| -31.498 -0.207  |9.59     |~                |    ~     ~    |    1|  117.682   pc  |  -1.8184     +1.8184  |paral   |2020yCat.1350....0G
2590|CD-29 2550                                                            |Star                                  |05 51 44.8200976032 -29 49 38.509188420|235.0563146936988 -25.1903272037773|   0.840 -2.561  |9.69     |~                |    ~     ~    |    1| 1198.179   pc  | -17.3712    +17.3712  |paral   |2020yCat.1350....0G
2591|HD 39543                                                              |Star                                  |05 51 59.5872880224 -29 26 57.929875008|234.6783551222273 -25.0213259236988| -1.393 -10.409  |6.444    |K3III            |    ~     ~    |    1|  301.632   pc  |  -1.5922     +1.5922  |paral   |2020yCat.1350....0G
2592|HD 39598                                                              |Double or Multiple Star               |05 52 22.8599352456 -29 18 53.329960044|234.5668112682662 -24.8987157768712|   -0.636 6.195  |9.90     |A4/7IV/V         |    ~     ~    |    1|  525.541   pc  |  -5.8001     +5.8001  |paral   |2020yCat.1350....0G
2593|HD 39620                                                              |Star                                  |05 52 27.7801924296 -29 06 53.154756576|234.3639291359451 -24.8183886293636|   -9.002 6.606  |9.17     |F5V              |    ~     ~    |    1|  191.088   pc  |  -0.4382     +0.4382  |paral   |2020yCat.1350....0G
2594|HD 39750                                                              |Star                                  |05 53 15.9391277016 -29 45 06.025533732|235.0906473218899 -24.8536873813197|   -0.519 3.279  |10.12    |A1/2V            |    ~     ~    |    1|  624.532   pc  |  -5.1485     +5.1485  |paral   |2020yCat.1350....0G
2595|CD-29 2587                                                            |Star                                  |05 53 39.7067982024 -29 13 02.900410140|234.5627293642516 -24.6029388292789|   4.343 13.522  |9.92     |~                |    ~     ~    |    1|  295.168   pc  |  -1.0629     +1.0629  |paral   |2020yCat.1350....0G
2596|HD 39819                                                              |Spectroscopic Binary                  |05 53 47.1288007344 -29 00 31.527101520|234.3547626855214 -24.5106790899274| 5.296 -109.317  |9.33     |K1III/IV         |    ~     ~    |    1|  169.788   pc  |  -3.3642     +3.3642  |paral   |2020yCat.1350....0G
2597|CD-29 2589                                                            |Star                                  |05 53 56.1219230256 -28 59 44.190722508|234.3526123011463 -24.4754214340634|  -0.113 -0.869  |9.833    |~                |    ~     ~    |    1|  715.449   pc  | -24.2800    +24.2800  |ST-L    |2020AJ....160...83S
2598|HD 39872                                                              |Star                                  |05 53 59.2550045520 -29 45 30.360738888|235.1520063598572 -24.7070824021694|   -5.812 7.652  |8.95     |K3III            |    ~     ~    |    1|  597.907   pc  |  -4.9692     +4.9692  |paral   |2020yCat.1350....0G
2599|HD 39890                                                              |Star                                  |05 54 08.5764943272 -29 06 08.277627960|234.4796220887147 -24.4666177880140|   8.538 41.803  |8.68     |F3/5V            |    ~     ~    |    1|  114.121   pc  |  -0.1706     +0.1706  |paral   |2020yCat.1350....0G
2600|HD 39891                                                              |Double or Multiple Star               |05 54 14.0112945864 -29 08 50.177021100|234.5333865157051 -24.4622658992026|-13.238 -18.623  |6.334    |F3V              |0.0000  0.0    |    1|   54.105   pc  |  -0.9171     +0.9171  |paral   |2020yCat.1350....0G
2601|HD 40027                                                              |Star                                  |05 55 05.6886342456 -29 04 56.409972024|234.5321067600039 -24.2632617006533|    8.481 8.623  |8.99     |G8/K0III         |    ~     ~    |    1|  647.165   pc  |  -5.4866     +5.4866  |paral   |2020yCat.1350....0G
2602|HD 40050                                                              |Star                                  |05 55 06.8902752360 -29 42 46.087653168|235.1894755204820 -24.4605018847238|  24.263 20.426  |8.82     |F6/7V            |    ~     ~    |    1|  186.171   pc  |  -0.6759     +0.6759  |paral   |2020yCat.1350....0G
2603|HD 40125                                                              |Star                                  |05 55 39.2373745368 -29 08 15.399489156|234.6325877920643 -24.1654200474484| -1.508 -37.114  |8.05     |F3IV/V           |    ~     ~    |    1|   99.350   pc  |  -0.2477     +0.2477  |paral   |2020yCat.1350....0G
2604|HD 40126                                                              |High Proper Motion Star               |05 55 36.5830186992 -29 55 00.600420144|235.4394036428622 -24.4233315635191|   4.313 58.612  |7.90     |F7V              |    ~     ~    |    1|   75.601   pc  |  -0.0909     +0.0909  |paral   |2020yCat.1350....0G
2605|HD 40127                                                              |Star                                  |05 55 38.1171273120 -29 58 00.790468140|235.4934793893827 -24.4339099945825|    2.233 2.595  |8.41     |G8/K0III         |    ~     ~    |    1|  312.393   pc  |  -1.6102     +1.6102  |paral   |2020yCat.1350....0G
2606|HD 40175                                                              |Star                                  |05 55 56.9088453168 -29 52 07.018923468|235.4147420237662 -24.3384118111643|    2.767 7.422  |9.48     |B8V              |    ~     ~    |    1|  919.709   pc  | -25.7143    +25.7143  |paral   |2020yCat.1350....0G
2607|HD 40480                                                              |Star                                  |05 57 46.7969241840 -29 10 59.344325976|234.8440342869976 -23.7409727948820|   1.370 -7.057  |8.94     |G8III            |    ~     ~    |    1|  443.203   pc  |  -2.1018     +2.1018  |paral   |2020yCat.1350....0G
2608|HD 40555                                                              |Star                                  |05 58 14.5993346256 -29 06 35.267713308|234.8042604671961 -23.6214298253422|  -7.780 -1.186  |7.76     |G8/K0III         |    ~     ~    |    1|  327.536   pc  |  -1.4912     +1.4912  |paral   |2020yCat.1350....0G
2609|CD-30 2660                                                            |Star                                  |05 50 42.0327483048 -30 53 29.583315492|236.1017041821504 -25.7312448320556|   11.291 5.360  |9.45     |K2               |    ~     ~    |    1|  473.238   pc  |  -2.3515     +2.3515  |paral   |2020yCat.1350....0G
2610|HD 39503                                                              |High Proper Motion Star               |05 51 43.8870179424 -30 27 57.020965848|235.7268166920022 -25.3906788485257|150.364 -84.995  |8.95     |G5IV/V           |    ~     ~    |    1|   64.417   pc  |  -0.0481     +0.0481  |paral   |2020yCat.1350....0G
2611|HD 39668                                                              |Star                                  |05 52 42.4819649184 -30 46 44.457482676|236.1278408435659 -25.2864894307979| 25.331 -19.005  |9.57     |G2V              |    ~     ~    |    1|  134.769   pc  |  -0.1943     +0.1943  |paral   |2020yCat.1350....0G
2612|HD 39735                                                              |Star                                  |05 53 01.2300315528 -30 34 17.302749276|235.9322484973294 -25.1589008996258|  -8.072 16.247  |7.88     |K5(III)          |    ~     ~    |    1|  645.953   pc  |  -6.7595     +6.7595  |paral   |2020yCat.1350....0G
2613|CD-30 2691                                                            |Star                                  |05 53 27.3573172176 -30 47 13.118254872|236.1905796125005 -25.1360044391575|   -9.567 9.194  |9.06     |K5               |    ~     ~    |    1| 1248.284   pc  | -20.7242    +20.7242  |paral   |2020yCat.1350....0G
2614|HD 39838                                                              |Double or Multiple Star               |05 53 44.796504 -30 40 31.69416        |236.094617696 -25.042292343        |     -15.5 11.0  |9.034    |A2/3IV           |    ~     ~    |    1|  308.322   pc  | +45.164      +3       |ST-L    |2017AJ....153...75K
2615|HD 39873                                                              |Spectroscopic Binary                  |05 53 58.7845444056 -29 59 44.461578444|235.3994209571675 -24.7832533968308| 19.163 -59.888  |8.80     |F5V              |    ~     ~    |    1|  161.059   pc  |  -0.6252     +0.6252  |paral   |2020yCat.1350....0G
2616|CD-30 2704                                                            |Star                                  |05 54 24.5517425232 -30 36 51.109060824|236.0788758140660 -24.8878229622681|   4.474 21.923  |10.05    |G2               |    ~     ~    |    1|  122.840   pc  |  -0.1690     +0.1690  |paral   |2020yCat.1350....0G
2617|HD 40028                                                              |Star                                  |05 54 59.5404483168 -30 18 20.835292284|235.7991150788873 -24.6724358842522|  -5.767 11.848  |7.80     |A0V              |    ~     ~    |    1|  206.386   pc  |  -0.9797     +0.9797  |paral   |2020yCat.1350....0G
2618|HD 40380                                                              |Star                                  |05 56 57.0684356016 -30 04 17.312083464|235.7013631638555 -24.1968830302635|   12.891 7.431  |8.72     |F0V              |    ~     ~    |    1|  366.824   pc  |  -1.9646     +1.9646  |paral   |2020yCat.1350....0G
2619|CD-30 2730                                                            |Star                                  |05 57 12.1172431344 -30 20 37.566387132|236.0033726588898 -24.2317217990621|   8.924 -7.318  |9.84     |F5               |    ~     ~    |    1|  194.262   pc  |  -0.4566     +0.4566  |paral   |2020yCat.1350....0G
2620|CD-30 2732                                                            |Star                                  |05 57 22.8042367728 -30 16 18.406422732|235.9418328643465 -24.1724797765088|  10.774 12.865  |10.24    |F8               |    ~     ~    |    1|  474.496   pc  | -21.8842    +21.8842  |paral   |2020yCat.1350....0G
2621|CD-30 2745                                                            |Star                                  |05 58 35.7217412712 -30 41 30.712624296|236.4691802547209 -24.0569255055671| -4.374 -15.612  |9.80     |K0               |    ~     ~    |    1|  812.348   pc  |  -8.7768     +8.7768  |paral   |2020yCat.1350....0G
2622|CD-30 2746                                                            |Star                                  |05 58 48.5383600560 -30 27 38.773354860|236.2451787123750 -23.9401274673605|    2.941 3.219  |10.14    |A5               |    ~     ~    |    1|  334.348   pc  |  -1.4980     +1.4980  |paral   |2020yCat.1350....0G
2623|V* UY Col                                                             |delta Sct Variable                    |05 59 41.4077545488 -30 39 53.686114884|236.5227728869962 -23.8251189670014|   -3.056 4.169  |9.55     |ApSrCrEu         |    ~     ~    |    1|  474.046   pc  |  -2.7865     +2.7865  |paral   |2020yCat.1350....0G
2624|CD-30 2755                                                            |Star                                  |05 59 47.3994222024 -30 17 28.701999600|236.1434132987246 -23.6855312796028|   1.155 -4.130  |9.48     |K5               |    ~     ~    |    1|  779.180   pc  | -19.5493    +19.5493  |paral   |2020yCat.1350....0G
2625|CD-30 2757                                                            |Star                                  |05 59 52.5938152512 -30 51 28.332434880|236.7367204972738 -23.8483327961692|  -3.220 -3.058  |10.28    |G0               |    ~     ~    |    1|  250.175   pc  |  -5.8832     +5.8832  |paral   |2020yCat.1350....0G
2626|CD-28 2549                                                            |Pulsating Variable                    |05 54 35.2963908000 -28 10 27.759046548|233.5512191334222 -24.0738219153939|  -5.541 -3.142  |10.25    |~                |    ~     ~    |    1|  298.507   pc  |  -1.1584     +1.1584  |paral   |2020yCat.1350....0G
2627|CD-28 2560                                                            |Star                                  |05 55 27.7269073152 -28 13 00.223002444|233.6640795942566 -23.9057964763463|  -17.120 8.919  |10.44    |~                |    ~     ~    |    1|  270.812   pc  |  -0.9167     +0.9167  |paral   |2020yCat.1350....0G
2628|CD-29 2619                                                            |Star                                  |05 56 03.6893316096 -29 53 22.465935672|235.4450853852297 -24.3218326487456|   12.257 7.391  |10.266   |~                |    ~     ~    |    1|  590.995   pc  | -17.6200    +17.6200  |ST-L    |2020AJ....160...83S
2629|CD-29 2543                                                            |Star                                  |05 50 55.9035090048 -29 55 19.035056604|235.0951368491938 -25.3876860164084|   -1.011 4.733  |10.05    |~                |    ~     ~    |    1| 1616.292   pc  | -31.0876    +31.0876  |paral   |2020yCat.1350....0G
2630|CD-29 2561                                                            |Star                                  |05 52 13.4902770792 -29 56 19.281341076|235.2088068573321 -25.1265288102379| -13.401 40.830  |10.51    |~                |    ~     ~    |    1|  252.290   pc  |  -7.5998     +7.5998  |paral   |2020yCat.1350....0G
2631|CD-29 2579                                                            |Star                                  |05 53 07.6575652392 -29 36 29.456474184|234.9301537011530 -24.8370204569339|  -16.756 9.792  |10.31    |~                |    ~     ~    |    1|  275.908   pc  |  -1.0353     +1.0353  |paral   |2020yCat.1350....0G
2632|CD-28 2537                                                            |Star                                  |05 53 25.8396211896 -28 33 58.906570464|233.8670311021565 -24.4420529291335|   -0.074 6.682  |10.13    |~                |    ~     ~    |    1|  620.309   pc  |  -4.0787     +4.0787  |paral   |2020yCat.1350....0G
2633|CD-28 2547                                                            |Star                                  |05 54 23.0507100744 -28 55 13.859234292|234.3091344129182 -24.3583324380214|   10.214 8.129  |10.145   |~                |    ~     ~    |    1|  654.123   pc  | -21.3200    +21.3200  |ST-L    |2020AJ....160...83S
2634|CD-29 2598                                                            |Star                                  |05 54 31.6380606936 -29 48 20.520093492|235.2419994064711 -24.6108565547959|  15.014 -4.616  |10.24    |~                |    ~     ~    |    1|  495.983   pc  |  -2.6322     +2.6322  |paral   |2020yCat.1350....0G
2635|CD-28 2550                                                            |Star                                  |05 54 36.4379229024 -28 55 05.713167828|234.3240315845234 -24.3113782764999|  21.468 37.514  |9.62     |~                |    ~     ~    |    1|  157.292   pc  |  -0.2820     +0.2820  |paral   |2020yCat.1350....0G
2636|CD-29 2600                                                            |Star                                  |05 54 43.5796974792 -29 12 22.556799000|234.6325789201131 -24.3792342591266|   -2.770 6.082  |10.54    |~                |    ~     ~    |    1| 1085.187   pc  | -18.9599    +18.9599  |paral   |2020yCat.1350....0G
2637|CD-28 2553                                                            |Star                                  |05 54 56.6657618664 -28 11 58.841354904|233.6055321070049 -24.0079515440466|    1.139 0.216  |10.291   |~                |    ~     ~    |    1| 1195.710   pc  | -69.9700    +69.9700  |ST-L    |2020AJ....160...83S
2638|CD-29 2609                                                            |Star                                  |05 55 21.8959761504 -29 25 34.392582840|234.9101992515591 -24.3177068164167|   -0.290 1.656  |10.897   |~                |    ~     ~    |    1| 1160.220   pc  | -63.1900    +63.1900  |ST-L    |2020AJ....160...83S
2639|CD-29 2616                                                            |High Proper Motion Star               |05 55 42.4340298480 -29 45 59.840201592|235.2903479271681 -24.3556450895743| 75.976 -17.208  |10.51    |~                |    ~     ~    |    1|  191.241   pc  |  -0.3840     +0.3840  |paral   |2020yCat.1350....0G
2640|CD-28 2566                                                            |Star                                  |05 55 54.2638990848 -28 51 35.316946368|234.3639968757400 -24.0238069053910|  5.446 -16.779  |10.217   |~                |    ~     ~    |    1|  581.146   pc  | -18.0400    +18.0400  |ST-L    |2020AJ....160...83S
2641|CD-29 2621                                                            |Star                                  |05 56 14.2832795232 -29 38 20.993479548|235.1980900897020 -24.2057786275311| -9.391 -15.108  |10.747   |~                |    ~     ~    |    1|  572.041   pc  | -16.6100    +16.6100  |ST-L    |2020AJ....160...83S
2642|CD-29 2626                                                            |Star                                  |05 56 37.1351988504 -29 32 57.449865408|235.1338132596127 -24.0985762875248|  -3.898 -1.577  |10.20    |~                |    ~     ~    |    1|  330.186   pc  |  -1.6135     +1.6135  |paral   |2020yCat.1350....0G
2643|CD-29 2627                                                            |Star                                  |05 56 38.0682330432 -29 41 42.886748868|235.2864998777816 -24.1420994075668| 27.608 -33.235  |9.887    |~                |    ~     ~    |    1|  202.059   pc  |  -2.1730     +2.1730  |ST-L    |2020AJ....160...83S
2644|CD-28 2583                                                            |Star                                  |05 56 47.6560348680 -28 35 15.133203924|234.1520334548249 -23.7506178347768|    2.441 6.040  |10.544   |~                |    ~     ~    |    1| 1708.770   pc  |-141.5000   +141.5000  |ST-L    |2020AJ....160...83S
2645|CD-29 2631                                                            |Star                                  |05 57 01.9345290624 -29 27 33.874155360|235.0722457975942 -23.9845374065776|   0.288 10.345  |10.318   |~                |    ~     ~    |    1|  789.077   pc  | -26.8900    +26.8900  |ST-L    |2020AJ....160...83S
2646|TYC 6503-222-1                                                        |Star                                  |05 57 02.9737937376 -28 33 37.293786216|234.1440595011457 -23.6887554068720|  -3.233 -1.022  |10.808   |~                |    ~     ~    |    1| 1497.210   pc  |-112.2000   +112.2000  |ST-L    |2020AJ....160...83S
2647|CD-29 2634                                                            |Star                                  |05 57 12.7567996008 -29 05 05.088812712|234.6983502039003 -23.8261782570574|    6.360 2.923  |10.49    |~                |    ~     ~    |    1|  315.467   pc  |  -5.3840     +5.3840  |paral   |2020yCat.1350....0G
2648|CD-28 2595                                                            |Star                                  |05 57 20.1555098136 -28 34 07.806609516|234.1753365282280 -23.6321464106091|  -1.850 -1.832  |10.72    |~                |    ~     ~    |    1|  341.122   pc  |  -3.0720     +3.0720  |paral   |2020yCat.1350....0G
2649|CD-28 2618                                                            |Star                                  |05 58 53.4624164160 -28 46 09.799287420|234.5042186280973 -23.3759778723658| -19.120 20.865  |10.28    |~                |    ~     ~    |    1|  226.316   pc  |  -0.6044     +0.6044  |paral   |2020yCat.1350....0G
2650|CD-28 2629                                                            |Star                                  |05 59 52.5524574432 -28 55 19.591920048|234.7385992379414 -23.2227052881808|   -0.275 0.517  |10.104   |~                |    ~     ~    |    1|  780.746   pc  | -25.1400    +25.1400  |ST-L    |2020AJ....160...83S
2651|CD-28 2628                                                            |Star                                  |05 59 53.8624481736 -28 15 54.998763012|234.0666912042563 -23.0001092843368|   -3.026 1.851  |10.185   |~                |    ~     ~    |    1| 1133.580   pc  | -64.3200    +64.3200  |ST-L    |2020AJ....160...83S
2652|CPD-30 1061                                                           |Star                                  |05 51 46.5317908584 -30 30 25.655149332|235.7735424496310 -25.3942838743761|   5.785 11.989  |9.63     |~                |    ~     ~    |    1|  690.846   pc  |  -5.0590     +5.0590  |paral   |2020yCat.1350....0G
2653|CD-30 2670                                                            |Star                                  |05 51 53.8944792840 -30 14 10.274412444|235.4972594820365 -25.2858472422566| 21.353 -13.080  |10.25    |~                |    ~     ~    |    1|  246.451   pc  |  -0.8078     +0.8078  |paral   |2020yCat.1350....0G
2654|CD-30 2686                                                            |Star                                  |05 53 02.8532951160 -30 32 09.992738184|235.8970580354419 -25.1424740419405|  10.644 -7.414  |10.12    |~                |    ~     ~    |    1|  723.537   pc  |  -6.7532     +6.7532  |paral   |2020yCat.1350....0G
2655|CD-30 2725                                                            |Star                                  |05 56 33.2968184952 -30 34 43.279340412|236.1999690203004 -24.4379733539826|   2.125 23.630  |10.75    |~                |    ~     ~    |    1|  578.704   pc  |  -4.2867     +4.2867  |paral   |2020yCat.1350....0G
2656|CD-30 2749                                                            |Star                                  |05 59 08.7466226592 -30 16 52.362433740|236.0843540124978 -23.8140642973909| -4.264 -13.195  |10.23    |~                |    ~     ~    |    1|  698.763   pc  |  -5.4198     +5.4198  |paral   |2020yCat.1350....0G
