C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
37  |HD 38591                                                              |Star                                  |05 46 47.7815527776 -03 15 52.756474968|208.3990114595190 -15.8591383413687|   -1.262 4.250  |8.89     |A3/5(II)         |    ~     ~    |    1|  358.064   pc  |  -2.6283     +2.6283  |paral   |2020yCat.1350....0G
38  |HD 38635                                                              |Star                                  |05 47 06.2216460288 -03 20 33.873399564|208.5077026062447 -15.8267613689910|   -2.752 0.955  |9.17     |A1III            |    ~     ~    |    1|  388.048   pc  |  -2.9062     +2.9062  |paral   |2020yCat.1350....0G
39  |HD 38785                                                              |Star                                  |05 48 11.7315655584 -03 11 25.153036836|208.4967317461415 -15.5146955060297|   0.873 -6.095  |9.19     |K0III            |    ~     ~    |    1|  416.927   pc  |  -2.8508     +2.8508  |paral   |2020yCat.1350....0G
40  |HD 294392                                                             |Star                                  |05 47 51.9376115472 -03 33 20.827197972|208.7949869900678 -15.7552125704442|  -8.959 -1.359  |10.92    |F2               |    ~     ~    |    1|  419.147   pc  |  -3.1974     +3.1974  |paral   |2020yCat.1350....0G
41  |HD 294372                                                             |High Proper Motion Star               |05 47 03.1790897208 -03 35 05.948624292|208.7256104411457 -15.9488948062462|   50.902 2.088  |9.67     |K2               |    ~     ~    |    1|  166.622   pc  |  -0.3637     +0.3637  |paral   |2020yCat.1350....0G
42  |HD 38367                                                              |Star                                  |05 45 04.5299164992 -04 23 16.248087564|209.2359928755836 -16.7538571612296|  8.197 -17.488  |9.68     |G5V              |    ~     ~    |    1|   93.751   pc  |  -0.1266     +0.1266  |paral   |2020yCat.1350....0G
43  |HD 294377                                                             |Star                                  |05 45 15.9123835656 -04 13 36.193518012|209.1086358754076 -16.6384566815537|   18.091 7.774  |8.45     |F2               |    ~     ~    |    1|  148.520   pc  |  -1.1316     +1.1316  |paral   |2020yCat.1350....0G
44  |HD 38495                                                              |High Proper Motion Star               |05 46 02.8681650024 -04 16 06.545708616|209.2400440111250 -16.4837061428065|  8.879 -68.731  |6.31     |K0III            |    ~     ~    |    1|  111.552   pc  |  -0.3733     +0.3733  |paral   |2020yCat.1350....0G
45  |HD 38507                                                              |Star                                  |05 46 12.5985643656 -04 01 00.896722176|209.0257383966842 -16.3331731942393| 18.112 -13.900  |7.67     |K0III            |    ~     ~    |    1|  219.920   pc  |  -1.2623     +1.2623  |paral   |2020yCat.1350....0G
46  |HD 38531                                                              |Star                                  |05 46 25.5112461264 -04 00 26.625296592|209.0423950085746 -16.2810614606671|  -0.361 -5.236  |8.14     |B9II/III         |    ~     ~    |    1|  451.937   pc  |  -6.1070     +6.1070  |paral   |2020yCat.1350....0G
