C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
48  |HD 175698                                                                                                |Horizontal Branch Star         |18 54 27.5940250056 +45 21 30.538063404|075.1489552027955 +18.4329380921472|   0.193 21.355    |8.37     |G5             |    ~     ~    
49  |BD+45 2796                                                                                               |High Proper Motion Star        |18 56 21.2642726544 +45 30 53.234154468|075.4252861119351 +18.1759262329388|  22.359 59.001    |9.29     |G0.5IV         |    ~     ~    
50  |HD 176071                                                                                                |Eruptive Variable              |18 56 22.1268370056 +45 30 25.361404632|075.4185842334015 +18.1708525159282|  25.089 58.369    |8.33     |F8IV           |    ~     ~    
51  |BD+45 2798                                                                                               |Horizontal Branch Star         |18 56 41.9330644680 +45 32 27.875326452|075.4734785012289 +18.1286607335421|  1.223 -24.201    |9.17     |K0             |    ~     ~    
52  |HD 176209                                                                                                |Star                           |18 57 03.0447782784 +45 51 21.424197672|075.8064577398401 +18.1816731415337|   1.327 19.117    |7.37     |A0             |    ~     ~    
53  |BD+45 2799B                                                                                              |Star                           |18 57 01.6386547776 +45 50 55.935652776|075.7979724422452 +18.1830115728599|  -6.592 -2.823    |9.8      |~              |    ~     ~    
54  |BD+45 2800                                                                                               |Horizontal Branch Star         |18 57 05.5188207936 +45 43 28.973638020|075.6797946601189 +18.1288644056074|    4.932 7.824    |9.21     |G8III          |    ~     ~    
55  |HD 176300                                                                                                |Star                           |18 57 23.4347791560 +45 49 52.230064008|075.8039210824969 +18.1175579913695|-14.477 -17.485    |8.07     |K5             |    ~     ~    
56  |BD+45 2805                                                                                               |Horizontal Branch Star         |18 57 59.7627618144 +45 53 29.673022200|075.9024565016476 +18.0401915471046|  -5.442 -3.075    |10.01    |K3III          |    ~     ~    
57  |HD 176773                                                                                                |Spectroscopic Binary           |18 59 43.4633598360 +45 57 37.676540196|076.0822973719841 +17.7836874647476|-31.370 -26.580    |9.62     |F8V            |    ~     ~    
58  |HD 175055                                                                                                |Star                           |18 51 29.5432894344 +45 08 01.381888932|074.7369281438473 +18.8463636546503|  -0.104 -0.460    |7.23     |B9             |    ~     ~    
59  |BD+44 3004                                                                                               |Star                           |18 51 41.7807863352 +44 46 48.476951400|074.3989054952816 +18.6917878687313|  -4.773 -4.264    |9.65     |K2             |    ~     ~    
60  |BD+44 3005                                                                                               |Star                           |18 51 51.6452227248 +44 23 19.896857268|074.0218040723366 +18.5298339406812|  -1.672 -2.260    |10.02    |A2             |    ~     ~    
61  |BD+44 3007                                                                                               |Star                           |18 52 32.7816866688 +44 24 54.765245592|074.0925072428204 +18.4240346343082|  -2.223 -3.270    |8.78     |M0             |    ~     ~    
62  |HD 175289                                                                                                |High Proper Motion Star        |18 52 36.1604006928 +45 08 23.345639700|074.8135941405290 +18.6644126873132|  61.683 61.673    |9.50     |F6IV           |    ~     ~    
63  |HD 175657                                                                                                |Star                           |18 54 16.4415124944 +44 20 16.951984836|074.1297577509771 +18.1077928047044|  -9.376 -0.197    |9.15     |A2             |    ~     ~    
64  |BD+44 3013                                                                                               |Star                           |18 54 19.5821899104 +44 23 58.873593804|074.1939432572409 +18.1206795655069|    4.592 7.615    |10.01    |K0             |    ~     ~    
65  |BD+44 3014                                                                                               |Double or Multiple Star        |18 54 51.223848 +44 36 56.33028        |074.441433725 +18.108484757        |    -38.7 -21.2    |9.49     |G6V            |    ~     ~    
66  |HD 176173                                                                                                |Rotating Variable              |18 56 54.3391910856 +45 06 26.037214740|075.0600275540395 +17.9416175372469|   2.829 -0.183    |9.89     |F5             |    ~     ~    
67  |HD 176390                                                                                                |delta Sct Variable             |18 57 58.9262456376 +44 59 17.093002560|075.0141059287852 +17.7215346933011| -6.183 -24.036    |8.10     |A3             |    ~     ~    
68  |Cl* Melotte 25 EGG 54                                                                                    |Spectroscopic Binary           |18 56 15.1388118528 +46 22 56.272119492|076.2754568717962 +18.4947196609547|    4.981 9.226    |10.50    |~              |    ~     ~    
69  |IRAS 18519+4446                                                                                          |Star                           |18 53 24.5084986512 +44 50 07.451792052|074.5639867302812 +18.4257353898402|  -4.855 -0.140    |9.35     |~              |    ~     ~    
70  |BD+45 2773                                                                                               |Star                           |18 47 40.5155217648 +45 24 39.368356488|074.7757870203161 +19.5719626243357|   7.338 -0.305    |9.947    |A5             |    ~     ~    
71  |HD 174367                                                                                                |Star                           |18 48 01.3497357384 +45 44 02.049168516|075.1207879983918 +19.6205771873730|  7.575 -11.881    |8.02     |K2             |    ~     ~    
72  |BD+44 2989                                                                                               |Horizontal Branch Star         |18 46 41.6451025656 +44 41 06.457223760|073.9880625694867 +19.4964854493489| -7.436 -27.329    |9.450    |G5V:           |    ~     ~    
73  |BD+44 2999                                                                                               |Star                           |18 50 45.6749673888 +44 23 16.487711016|073.9496660046986 +18.7139873987470|  27.915 21.316    |9.44     |F8IV           |    ~     ~    
74  |HD 176003                                                                                                |Spectroscopic Binary           |18 55 57.1542918557 +44 13 42.161193655|074.1335955842911 +17.7880072660928|  16.091 28.689    |6.96     |A2             |    ~     ~    
75  |HD 175901                                                                                                |Star                           |18 55 30.8701960440 +44 10 35.286256956|074.0533125503505 +17.8429300575614|   1.788 17.752    |8.62     |G              |    ~     ~    
76  |BD+46 2566                                                                                               |Star                           |18 51 26.0 +46 47 36                   |076.3881 +19.4129                  |            ~ ~    |9.5      |~              |    ~     ~    
77  |TYC 3130-749-1                                                                                           |Star                           |18 45 59.1458019216 +44 46 22.804552344|074.0322005329533 +19.6441990553944|  15.497 18.895    |10.01    |~              |    ~     ~    
78  |TYC 3130-2100-1                                                                                          |Star                           |18 49 10.5679618224 +44 43 17.586013800|074.1801667487009 +19.0927995858280|  19.448 -8.646    |10.63    |G1V            |    ~     ~    
79  |TYC 3130-2201-1                                                                                          |Horizontal Branch Star         |18 49 00.9366713088 +44 28 20.933013864|073.9218546074707 +19.0358251267964|   3.959 -6.032    |10.40    |~              |    ~     ~    
80  |TYC 3130-2373-1                                                                                          |Star                           |18 49 42.6550062288 +44 39 40.980943944|074.1541431023414 +18.9830335395478|   0.269 -3.623    |10.55    |K2III          |    ~     ~    
81  |TYC 3130-2730-1                                                                                          |Eruptive Variable              |18 48 59.4559128432 +44 57 37.650083832|074.4067564634085 +19.2038649048177|   6.079 -6.615    |9.99     |~              |    ~     ~    
82  |2MASS J18472454+4448353                                                                                  |Red Giant Branch star          |18 47 24.5644373952 +44 48 35.269597044|074.1573940810292 +19.4178592481907|  0.646 -20.932    |9.880    |G8.5IIIb       |    ~     ~    
83  |TYC 3131-206-1                                                                                           |Red Giant Branch star          |18 50 15.3751933656 +44 31 57.120200940|074.0607958544114 +18.8480201869277| -6.364 -10.499    |10.89    |~              |    ~     ~    
84  |LSPM J1850+4430                                                                                          |High Proper Motion Star        |18 50 40.6721054832 +44 30 53.863077384|074.0703867203279 +18.7713804056062|-118.178 -94.291   |10.81    |G3V            |    ~     ~    
85  |TYC 3131-254-1                                                                                           |Red Giant Branch star          |18 51 11.3003209392 +44 26 31.773324876|074.0310425439357 +18.6609133026655|-44.822 -18.530    |10.37    |~              |    ~     ~    
86  |TYC 3131-332-1                                                                                           |Rotating Variable              |18 52 14.7995101176 +44 15 03.959454924|073.9106744888353 +18.4174399491488|    1.255 4.854    |10.77    |A7III          |    ~     ~    
87  |TYC 3131-756-1                                                                                           |Red Giant Branch star          |18 55 27.3229166544 +44 59 06.738184212|074.8449545152066 +18.1383200968438|    6.929 9.980    |10.49    |~              |    ~     ~    
88  |TYC 3131-901-1                                                                                           |High Proper Motion Star        |18 53 43.3833110064 +44 58 40.855698696|074.7253350036720 +18.4229085527954|-20.888 -47.961    |10.92    |F8V            |    ~     ~    
89  |TYC 3131-919-1                                                                                           |Rotating Variable              |18 56 27.2291994576 +44 57 14.295576132|074.8796513249296 +17.9620453798872|    2.161 7.788    |10.53    |A9V            |    ~     ~    
90  |TYC 3131-933-1                                                                                           |Star                           |18 54 10.1676715200 +44 20 37.948100928|074.1285975190056 +18.1273461879729| -9.902 -40.124    |10.48    |~              |    ~     ~    
91  |TYC 3131-955-1                                                                                           |Horizontal Branch Star         |18 54 35.4528864480 +44 42 46.477014696|074.5200364894936 +18.1863655023172|    4.117 2.341    |10.75    |~              |    ~     ~    
92  |TYC 3131-1053-1                                                                                          |Horizontal Branch Star         |18 56 06.8646803904 +44 22 30.975757464|074.2885983984260 +17.8132157803425| -9.279 -14.514    |10.27    |~              |    ~     ~    
93  |TYC 3131-1163-1                                                                                          |Spectroscopic Binary           |18 53 58.5540385608 +44 51 14.292948744|074.6191325957286 +18.3378590549401|   5.381 -3.410    |10.99    |~              |    ~     ~    
94  |BD+44 3020                                                                                               |High Proper Motion Star        |18 56 14.3076037320 +44 31 05.389610412|074.4371623159920 +17.8433181639840| -60.396 48.657    |9.77     |G8V            |    ~     ~    
95  |TYC 3131-1215-1                                                                                          |Rotating Variable              |18 56 16.4131501392 +44 43 43.976385084|074.6464941990306 +17.9122464687251|   6.799 18.216    |10.32    |~              |    ~     ~    
96  |KOI-981                                                                                                  |Red Giant Branch star          |18 54 56.7319913520 +44 42 47.986868124|074.5436975016570 +18.1275045198751| -3.638 -25.722    |10.87    |G5V:           |    ~     ~    
97  |TYC 3131-1463-1                                                                                          |Horizontal Branch Star         |18 55 35.2316928504 +44 40 21.405662688|074.5458274619884 +18.0064334091445|  -7.118 -7.973    |9.65     |~              |    ~     ~    
98  |TYC 3131-1523-1                                                                                          |Horizontal Branch Star         |18 56 35.9497510680 +44 50 33.857329164|074.7798979886600 +17.8985819412233|   -2.703 0.611    |10.09    |G8III          |    ~     ~    
99  |TYC 3131-1633-1                                                                                          |delta Sct Variable             |18 56 07.3968459000 +44 47 24.835723800|074.6968765923019 +17.9589126355921|   3.571 -1.703    |10.78    |A5IV           |    ~     ~    
100 |TYC 3131-1639-1                                                                                          |Horizontal Branch Star         |18 57 06.5258916504 +44 34 15.023031132|074.5468665200279 +17.7171911891068|  -5.664 -1.923    |10.46    |~              |    ~     ~    
101 |TYC 3131-1663-1                                                                                          |Star                           |18 53 52.3097776896 +44 18 18.172956060|074.0706909370293 +18.1635826145885|  0.369 -11.742    |10.28    |~              |    ~     ~    
