C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
2797|HD 230223                                                                                                |Star                           |18 57 43.1942938800 +11 27 20.653033536|043.8514905534907 +03.8220222374844|  -2.380 -0.718    |10.85    |~              |    ~     ~    
2798|HD 230241                                                                                                |Star                           |18 57 57.6055138008 +12 54 08.285089752|045.1717184796700 +04.4237015235739|  11.528 -1.204    |9.67     |~              |    ~     ~    
2799|HD 230258                                                                                                |High Proper Motion Star        |18 58 03.3140115456 +13 00 41.094247320|045.2798690897604 +04.4522772852302| 47.211 -64.969    |10.51    |~              |    ~     ~    
2800|HD 230262                                                                                                |Star                           |18 58 13.9518131784 +12 46 25.018901760|045.0866508665952 +04.3063339233323|    5.628 0.711    |10.12    |~              |    ~     ~    
2801|HD 230322                                                                                                |Star                           |18 59 31.9370572224 +12 54 49.820805756|045.3557036461062 +04.0871801312252|   0.240 -3.307    |10.58    |~              |    ~     ~    
2802|HD 230257                                                                                                |Star                           |18 58 02.1268564392 +13 04 47.351660160|045.3389134098637 +04.4874537805486|  -1.720 -6.670    |9.82     |~              |    ~     ~    
2803|TYC 1047-2020-1                                                                                          |Star                           |18 56 31.2298018248 +11 46 29.445246588|044.0036677135696 +04.2282894501713| 17.937 -28.108    |10.48    |~              |    ~     ~    
2804|TYC 1047-2121-1                                                                                          |Star                           |18 59 30.0935026680 +11 35 39.720614712|044.1735438493530 +03.4958382983391|    7.079 8.593    |10.79    |~              |    ~     ~    
2805|HD 230214                                                                                                |Star                           |18 57 34.3474 +11 37 59.097            |043.9936087 +03.9344974            |  -0.710 -4.273    |10.99    |~              |    ~     ~    
2806|HD 230137                                                                                                |Star                           |18 56 17.4415527408 +12 20 31.765468812|044.4859857737037 +04.5344365279690| -12.068 -6.142    |10.35    |~              |    ~     ~    
2807|HD 230222                                                                                                |Star                           |18 57 39.0381227112 +11 39 04.923107712|044.0186355971866 +03.9257007939633| -1.210 -10.371    |10.76    |~              |    ~     ~    
2808|HD 230149                                                                                                |Star                           |18 56 27.3192119592 +12 14 02.006645712|044.4072502075085 +04.4497163647306|   6.531 -1.931    |10.12    |~              |    ~     ~    
2809|HD 230333                                                                                                |Star                           |18 59 43.2455780160 +11 57 42.602932080|044.5260273419840 +03.6147642232572|   -3.272 0.422    |10.51    |~              |    ~     ~    
2810|HD 230183                                                                                                |Star                           |18 57 02.9077971120 +13 30 05.971552848|045.6081390845503 +04.8919484876338|  -0.548 -6.466    |10.82    |~              |    ~     ~    
2811|HD 230156                                                                                                |Star                           |18 56 32.8905052584 +13 26 11.456389860|045.4948143741106 +04.9712604933838|  -2.571 -4.409    |10.51    |~              |    ~     ~    
2812|HD 230284                                                                                                |Star                           |18 58 34.4810441880 +13 20 11.816498796|045.6281873864675 +04.4862597578756|   0.281 -1.431    |10.53    |~              |    ~     ~    
2813|HD 230155                                                                                                |Star                           |18 56 28.0122334896 +13 36 04.578721668|045.6336183397608 +05.0629992359275|   1.267 -3.152    |10.75    |~              |    ~     ~    
2814|HD 230157                                                                                                |Star                           |18 56 27.5304229776 +13 14 13.827907896|045.3063102190662 +04.9009863511430|    1.110 1.372    |10.89    |~              |    ~     ~    
2815|HD 230306                                                                                                |Star                           |18 59 12.2459415672 +13 13 06.905281044|045.5919680472378 +04.2963090224358|  -0.024 -8.344    |10.91    |~              |    ~     ~    
2816|HD 230318                                                                                                |Star                           |18 59 27.8624767320 +11 09 34.345354248|043.7812808823771 +03.3065538814207|  -1.460 -4.436    |10.80    |~              |    ~     ~    
2817|HD 173881                                                                                                |Star                           |18 47 05.6737299336 +16 31 33.351119580|047.2627328139759 +08.3878419244176|   13.690 3.107    |7.60     |K5             |    ~     ~    
2818|HD 173609                                                                                                |Star                           |18 45 41.4907655880 +15 43 31.485729144|046.3861356330472 +08.3408502353264|   19.914 6.606    |6.68     |A2             |    ~     ~    
2819|HD 229432                                                                                                |Star                           |18 46 15.1521031224 +15 45 44.287818912|046.4793630933848 +08.2356199844481|   1.343 -0.373    |9.42     |A0             |    ~     ~    
2820|HD 229436                                                                                                |Star                           |18 46 19.0677775968 +15 54 40.139157672|046.6215372205031 +08.2866670838099|  -3.048 -5.766    |9.11     |M0             |    ~     ~    
2821|HD 229475                                                                                                |Star                           |18 47 02.5630623144 +15 23 55.889019096|046.2337594613365 +07.9052136042963| -1.356 -10.010    |9.650    |A2             |    ~     ~    
2822|HD 229476                                                                                                |Star                           |18 47 07.6728897624 +15 15 08.035098768|046.1099074941246 +07.8223360960887|   7.853 -0.800    |9.377    |K0             |    ~     ~    
2823|HD 229484                                                                                                |Star                           |18 47 10.2526470936 +15 30 35.443180764|046.3481220507906 +07.9262156524887|   3.240 -4.520    |9.537    |F0             |    ~     ~    
2824|HD 229372                                                                                                |Star                           |18 45 07.5725993712 +14 30 52.622146260|045.2264553948284 +07.9325270666179|  -5.665 -4.565    |10.51    |K2             |    ~     ~    
2825|HD 229393                                                                                                |High Proper Motion Star        |18 45 34.4104076232 +14 25 00.888669552|045.1859415450051 +07.7923139670657|-11.905 -76.508    |8.965    |G0             |    ~     ~    
2826|HD 229452                                                                                                |Star                           |18 46 38.6596408176 +14 16 35.920981920|045.1741736098806 +07.4976870714573| -4.808 -15.727    |10.06    |K0             |    ~     ~    
2827|HD 229457                                                                                                |Star                           |18 46 45.8696916120 +14 11 22.463695572|045.1083248749119 +07.4331383339499|   2.576 -5.596    |9.86     |A2             |    ~     ~    
2828|HD 229486                                                                                                |Star                           |18 47 04.0653112656 +14 38 04.357816116|045.5437901165135 +07.5634842789117| -5.267 -10.322    |9.67     |K1             |    ~     ~    
2829|HD 229485                                                                                                |Star                           |18 47 07.5824809680 +14 46 37.030895544|045.6790599641691 +07.6135089959890|  -8.509 -1.209    |10.51    |B              |    ~     ~    
2830|IRAS 18440+1524                                                                                          |Star                           |18 46 17.7551248056 +15 28 09.373490904|046.2178888027223 +08.0978245163446|  -1.961 -6.198    |10.74    |~              |    ~     ~    
2831|HD 229442                                                                                                |Star                           |18 46 23.4889394664 +16 20 34.702796472|047.0219050675689 +08.4595520515472|  -9.278 -9.106    |9.85     |M0             |    ~     ~    
2832|HD 229382                                                                                                |Variable Star                  |18 45 23.9545013688 +13 52 37.138810872|044.6780309284965 +07.5924170410942|   9.741 -9.625    |9.373    |F8             |    ~     ~    
2833|HD 229530                                                                                                |Star                           |18 47 58.5251800176 +16 16 28.195936284|047.1277268185900 +08.0878518727306|  10.172 -3.902    |8.598    |G5             |    ~     ~    
2834|HD 174224                                                                                                |High Proper Motion Star        |18 48 54.8885915616 +16 15 24.390637668|047.2115221894787 +07.8774845248536| -31.393 59.270    |8.02     |G0             |    ~     ~    
2835|CCDM J18489+1615BC                                                                                       |Double or Multiple Star        |18 48 55.0 +16 15 17                   |047.2099 +07.8762                  |            ~ ~    |10.1     |A4             |    ~     ~    
2836|HD 229604                                                                                                |Variable Star                  |18 49 10.8283183704 +16 19 16.278567960|047.2982044154606 +07.8485035373452|  13.653 -9.069    |8.44     |K0             |    ~     ~    
2837|HD 229611                                                                                                |Spectroscopic Binary           |18 49 21.3403450176 +16 15 08.726691420|047.2545017061510 +07.7805219960775|   0.490 -7.046    |9.526    |A5             |    ~     ~    
2838|HD 229745                                                                                                |Star                           |18 51 18.1043109912 +16 24 55.763071272|047.6095813527117 +07.4331096384009|  23.701 38.724    |9.78     |G5             |    ~     ~    
2839|HD 230043                                                                                                |Star                           |18 55 04.1297339760 +16 17 00.025535868|047.8933204764644 +06.5643138321875|   7.805 -0.367    |9.83     |K7             |    ~     ~    
2840|HD 175721                                                                                                |Star                           |18 56 00.0 +16 22 00                   |048.0685 +06.4013                  |            ~ ~    |9.8      |G              |    ~     ~    
2841|HD 229662                                                                                                |Star                           |18 50 08.5683207000 +16 07 09.779670588|047.2178600171547 +07.5522770105210|-35.815 -12.256    |9.30     |K0             |    ~     ~    
2842|HD 229825                                                                                                |Variable Star                  |18 52 21.6190462440 +16 04 49.620257940|047.4197146091132 +07.0571715569439|-13.795 -40.879    |8.745    |G5             |    ~     ~    
2843|HD 175722                                                                                                |Star                           |18 56 08.8482640392 +16 06 14.168557116|047.8476767293485 +06.2525611621970|   0.699 -5.331    |10.21    |G              |    ~     ~    
2844|HD 229632A                                                                                               |Star                           |18 49 40.2230657424 +16 28 29.971188840|047.4897752870810 +07.8105233115067|   1.742 -1.050    |10.79    |~              |    ~     ~    
2845|HD 229491                                                                                                |Eclipsing Binary               |18 47 16.4613238152 +15 36 11.167504956|046.4437666382556 +07.9447734201172|    0.633 1.969    |9.97     |F8             |    ~     ~    
2846|HD 229498                                                                                                |Star                           |18 47 20.8819016424 +15 39 07.115470632|046.4959679652272 +07.9502933643335|  -0.127 -5.291    |10.18    |A2             |    ~     ~    
2847|HD 229505                                                                                                |Star                           |18 47 28.6096 +15 36 59.842            |046.4776449 +07.9069113            |      1.0 -18.8    |9.27     |F5             |    ~     ~    
2848|HD 173922                                                                                                |Star                           |18 47 29.2898637504 +15 30 45.788404896|046.3846240205135 +07.8588143212925|    0.210 1.350    |7.32     |B9             |    ~     ~    
2849|HD 174001                                                                                                |Star                           |18 47 48.8170139736 +15 34 10.026413832|046.4708393672936 +07.8133343415462|   8.669 -4.917    |8.61     |F0             |    ~     ~    
2850|HD 174105                                                                                                |Be Star                        |18 48 22.6510316976 +15 23 38.893304004|046.3722834999477 +07.6141989940938|  -1.489 -3.446    |6.93     |B6IV-Ve        |    ~     ~    
2851|AG+15 1927                                                                                               |Long-Period Variable Candidate |18 48 38.3211622224 +15 49 38.947306836|046.7928646575219 +07.7484262459842| 20.466 -16.889    |8.611    |M5             |    ~     ~    
2852|HD 229569                                                                                                |Star                           |18 48 42.9710540112 +15 13 09.531925644|046.2502797741598 +07.4638555136937|  -1.200 -3.493    |9.435    |A2             |    ~     ~    
2853|HD 229606                                                                                                |Star                           |18 49 13.0945323456 +15 18 59.670071136|046.3921667167000 +07.3980839434403|   1.679 -6.777    |9.013    |A2             |    ~     ~    
2854|HD 229605                                                                                                |Star                           |18 49 13.1134163424 +15 36 33.118534620|046.6570889766204 +07.5270384411974|  37.305 12.823    |8.965    |F8             |    ~     ~    
2855|HD 174391                                                                                                |Star                           |18 49 42.4730375448 +15 56 04.365342960|047.0040302844385 +07.5646830096410|   1.160 -5.979    |6.676    |B3V            |    ~     ~    
2856|HD 229687                                                                                                |Star                           |18 50 34.4412891384 +15 56 06.732316176|047.0971968277934 +07.3780812215726|   1.996 -8.253    |9.27     |K0             |    ~     ~    
2857|HD 229691                                                                                                |Star                           |18 50 39.9516817128 +15 30 02.417979708|046.7140127704139 +07.1663521546185|   1.138 -5.736    |10.37    |B9             |    ~     ~    
2858|BD+15 3591                                                                                               |Star                           |18 51 06.5299939560 +15 59 53.069770140|047.2112820431172 +07.2904838360454|   1.097 -2.993    |10.85    |F0             |    ~     ~    
2859|BD+15 3592                                                                                               |Star                           |18 51 07.4668931184 +15 58 15.718209852|047.1884924619137 +07.2751756701925|   2.171 -9.961    |9.58     |G5             |    ~     ~    
2860|HD 229746                                                                                                |Pulsating Variable             |18 51 21.9796361352 +16 00 03.094226928|047.2413509272807 +07.2361957439677|   1.180 -3.263    |9.643    |B8             |    ~     ~    
2861|HD 229765                                                                                                |Star                           |18 51 36.3450731016 +15 21 09.385415424|046.6812373652540 +06.8977068346043|  -1.340 -0.982    |9.31     |G5             |    ~     ~    
2862|HD 229817                                                                                                |Star                           |18 52 12.9134055696 +16 03 19.667617776|047.3815948274643 +07.0773753447327|  -3.721 -6.411    |8.789    |K0             |    ~     ~    
2863|HD 229894                                                                                                |Star                           |18 53 12.6663226440 +15 16 49.295476884|046.7890298949129 +06.5187706199681|  -1.768 -3.695    |10.09    |A2             |    ~     ~    
2864|HD 229919                                                                                                |Star                           |18 53 33.7753964952 +15 15 55.971004716|046.8136530137172 +06.4361871965418|    5.145 1.387    |9.524    |K8             |    ~     ~    
2865|HD 175243                                                                                                |Star                           |18 53 57.0292248216 +15 15 35.592308532|046.8504116653590 +06.3499613631524|   1.941 -4.688    |8.54     |A0             |    ~     ~    
2866|HD 175428                                                                                                |Star                           |18 54 48.2601619608 +15 20 33.628797600|047.0172570456731 +06.2025095415848| -0.745 -10.918    |7.08     |B9V            |    ~     ~    
2867|HD 175591                                                                                                |High Proper Motion Star        |18 55 33.4438079856 +15 50 39.630100560|047.5503098999623 +06.2638000647753|-45.472 -58.417    |8.37     |G5             |    ~     ~    
2868|HD 230091                                                                                                |Star                           |18 55 40.0108669920 +15 29 14.749945152|047.2408201893978 +06.0810345562583|    6.712 2.914    |9.97     |A2             |    ~     ~    
2869|HD 175702                                                                                                |Star                           |18 56 05.8034400600 +15 21 56.357045748|047.1777832723246 +05.9339577271515|-23.371 -25.536    |7.67     |G0             |    ~     ~    
2870|HD 229507                                                                                                |Star                           |18 47 30.5382764640 +14 52 13.043475300|045.8046895439543 +07.5716232239186|    0.029 0.567    |9.407    |A4             |    ~     ~    
2871|HD 174263                                                                                                |Star                           |18 49 11.0491465920 +14 39 29.147754960|045.7929883834599 +07.1145783766959| -1.344 -14.896    |7.11     |A0             |    ~     ~    
2872|HD 229613                                                                                                |Star                           |18 49 19.5196946616 +14 15 48.786503616|045.4517966094405 +06.9092573941387|  -2.057 -3.999    |9.515    |K2             |    ~     ~    
2873|HD 229643                                                                                                |Star                           |18 49 49.7529517944 +14 48 36.123369804|045.9998275698708 +07.0419378431007|   -9.465 2.022    |8.782    |F5             |    ~     ~    
2874|HD 229670                                                                                                |Star                           |18 50 11.4010643064 +14 19 15.712075164|045.5972333646422 +06.7469812085669|   -5.646 0.114    |8.907    |M0             |    ~     ~    
2875|HD 229710                                                                                                |Double or Multiple Star        |18 51 01.3074123156 +15 01 11.407704032|046.3178664406446 +06.8765485135399|    1.175 6.126    |9.090    |A3             |0.0017  0.0    
2876|HD 229726                                                                                                |Star                           |18 51 05.8708274016 +14 24 17.304601860|045.7710883410957 +06.5871681393739|  -10.727 6.465    |9.24     |F5             |    ~     ~    
2877|HD 229724                                                                                                |Star                           |18 51 08.6996070576 +14 58 47.211864816|046.2949859270952 +06.8321251517046|  -3.539 -8.279    |10.32    |A3             |    ~     ~    
2878|HD 174697                                                                                                |Star                           |18 51 11.6581481376 +14 33 08.582374836|045.9146334709739 +06.6317991747732|  -1.457 -7.656    |8.41     |A2             |    ~     ~    
2879|HD 229733                                                                                                |Star                           |18 51 15.3158930832 +14 59 14.936904888|046.3138298265602 +06.8116699553847|  -2.238 -0.980    |10.38    |K2             |    ~     ~    
2880|HD 229767                                                                                                |Star                           |18 51 33.7380295728 +14 33 03.492316872|045.9531799106805 +06.5513917838393|   0.076 -0.970    |10.44    |B8             |    ~     ~    
2881|BD+14 3679                                                                                               |Star                           |18 52 18.4607359629 +14 37 02.074037118|046.0936238298592 +06.4193240773604|  -1.418 -3.515    |9.44     |A0             |    ~     ~    
2882|HD 174897                                                                                                |Star                           |18 52 18.6350911944 +14 32 07.783979820|046.0202694813877 +06.3823224408049| 10.545 -25.726    |6.52     |K0             |    ~     ~    
2883|HD 229850                                                                                                |Star                           |18 52 34.4264971848 +14 32 14.908872480|046.0505769213129 +06.3261690953175|  -0.874 -4.973    |9.96     |A0             |    ~     ~    
2884|HD 229849                                                                                                |Star                           |18 52 41.8812371832 +15 01 48.715584276|046.5080911311561 +06.5184681487210|   -0.292 2.235    |9.506    |K1             |    ~     ~    
2885|HD 229906                                                                                                |Star                           |18 53 16.0515612312 +14 26 51.065121768|046.0448244351613 +06.1357582569731|  -4.232 -1.513    |9.07     |K0             |    ~     ~    
2886|HD 229907                                                                                                |Star                           |18 53 21.8414326608 +14 22 06.367095444|045.9841185315121 +06.0795750317964|    5.664 3.970    |9.59     |A0             |    ~     ~    
2887|HD 229920                                                                                                |Star                           |18 53 34.2170111040 +15 01 22.732700736|046.5958765242586 +06.3266389552377|   0.831 -2.614    |10.39    |A2             |    ~     ~    
2888|HD 229942                                                                                                |Star                           |18 53 41.7095788176 +14 12 15.793563204|045.8725115257668 +05.9345648076818|  -1.489 -3.079    |9.450    |B9             |    ~     ~    
2889|HD 175292                                                                                                |Star                           |18 54 07.6129694352 +15 00 22.677659748|046.6410861727875 +06.1988819805647|-20.477 -28.702    |7.24     |F4V            |    ~     ~    
2890|HD 229986                                                                                                |Star                           |18 54 30.0244975536 +14 46 59.712589920|046.4808044098006 +06.0186208632477| 14.053 -15.290    |10.00    |K0             |    ~     ~    
2891|HD 230035                                                                                                |Star                           |18 55 06.6604463637 +14 53 54.998277458|046.6508378674042 +05.9381054888110|    2.784 7.717    |9.93     |A2             |    ~     ~    
2892|HD 175592                                                                                                |High Proper Motion Star        |18 55 30.4087929240 +14 23 05.767867608|046.2320902352555 +05.6227368121512| 49.774 -23.701    |6.61     |F0IV-V         |    ~     ~    
2893|HD 230103                                                                                                |Star                           |18 55 44.2498683936 +14 19 07.497509412|046.1977767089216 +05.5431381539345|   9.256 10.397    |9.554    |F5             |    ~     ~    
2894|HD 230110                                                                                                |Star                           |18 55 46.4433286032 +14 38 22.589533428|046.4900246032017 +05.6789190210674|   1.714 -8.930    |9.717    |A3             |    ~     ~    
2895|HD 175723                                                                                                |Star                           |18 56 07.2766362888 +14 25 00.905463300|046.3277912870341 +05.5040417105922|  -0.429 -9.468    |8.94     |A0             |    ~     ~    
2896|BD+13 3758                                                                                               |Star                           |18 48 25.7418649368 +14 05 34.940299956|045.2008422143860 +07.0285073373819|    0.043 1.502    |9.99     |G5             |    ~     ~    
2897|HD 174531                                                                                                |Star                           |18 50 18.7608846576 +14 08 02.227967412|045.4417306091682 +06.6373025739210|   -0.768 9.570    |8.80     |A              |    ~     ~    
2898|V* NN Her                                                                                                |Long-Period Variable           |18 52 09.6423751080 +14 06 50.470327188|045.6243204282444 +06.2271606856408|    3.449 0.925    |10.05    |M5             |    ~     ~    
2899|V* AP Her                                                                                                |Type II Cepheid Variable       |18 50 27.7290127008 +15 56 24.669429612|047.0897429086666 +07.4044138008170|  -2.191 -7.073    |10.87    |F2Ib/II        |    ~     ~    
2900|BD+15 3579                                                                                               |Long-Period Variable Candidate |18 49 12.9850914792 +15 54 20.612886552|046.9254417214371 +07.6580807349116|  -1.077 -4.374    |10.36    |M5:            |    ~     ~    
2901|HD 229553                                                                                                |Star                           |18 48 28.2395423472 +14 00 49.385009448|045.1336915545611 +06.9843303132847|-11.448 -26.400    |9.95     |F5             |    ~     ~    
2902|HD 229645                                                                                                |Star                           |18 49 47.5537068696 +14 02 06.052714800|045.2960979750827 +06.7063862514418|  14.297 -5.299    |9.143    |G5             |    ~     ~    
2903|HD 229663                                                                                                |Star                           |18 50 11.1346327752 +13 55 15.393166464|045.2358303085138 +06.5703004352073|-15.140 -15.029    |8.642    |K0             |    ~     ~    
2904|HD 174853                                                                                                |Eclipsing Binary               |18 52 01.9228914360 +13 57 56.322536400|045.4767208042489 +06.1889802811444|  -3.642 -9.480    |6.20     |B8Vnn          |    ~     ~    
2905|HD 174934                                                                                                |Double or Multiple Star        |18 52 35.0348 +14 00 12.186            |045.5707290 +06.0859712            |   -2.40 -10.20    |8.36     |K2             |    ~     ~    
2906|HD 229863                                                                                                |Star                           |18 52 44.6721301272 +14 02 03.804987336|045.6161120108081 +06.0649326165920|  -8.255 -7.325    |9.501    |K0             |    ~     ~    
2907|HD 230072                                                                                                |Double or Multiple Star        |18 55 30.8495303640 +13 50 20.561682372|045.7426286644142 +05.3765092804627|  11.890 -4.556    |9.94     |F0             |    ~     ~    
2908|HD 229587                                                                                                |Star                           |18 48 54.9689199480 +13 56 06.466207596|045.1109682511063 +06.8526193996948|  2.585 -12.682    |9.347    |~              |    ~     ~    
2909|IRAS 18534+1359                                                                                          |Long-Period Variable Candidate |18 55 43.8832686000 +14 03 36.730317852|045.9649249738726 +05.4285777750094|    2.442 3.793    |10.60    |~              |    ~     ~    
2910|HD 229387                                                                                                |Star                           |18 45 22.3042500096 +14 49 25.680376272|045.5332608738431 +08.0150006934286|   1.218 -0.598    |10.78    |~              |    ~     ~    
2911|HD 229405                                                                                                |Star                           |18 45 43.8572001048 +14 58 04.742645880|045.7025591962620 +08.0003336259381|    1.173 2.302    |10.53    |~              |    ~     ~    
2912|HD 229417                                                                                                |Star                           |18 45 55.4177721408 +14 35 47.537881908|045.3863814308514 +07.7952474290763| -2.544 -16.959    |10.19    |~              |    ~     ~    
2913|HD 229371                                                                                                |Star                           |18 45 13.6912602792 +14 42 27.226775196|045.4124143405926 +07.9951348159323|   14.203 3.512    |10.84    |~              |    ~     ~    
2914|HD 229406                                                                                                |Star                           |18 45 49.4293871064 +14 40 33.595243104|045.4476962199846 +07.8518772972218| -3.717 -16.832    |10.50    |~              |    ~     ~    
2915|HD 229399                                                                                                |Star                           |18 45 43.2702642696 +14 43 13.536899256|045.4769638381004 +07.8937047736523|   1.033 -5.370    |10.91    |~              |    ~     ~    
2916|TYC 1038-4-1                                                                                             |Star                           |18 50 18.1859412360 +13 56 39.283015668|045.2695987718776 +06.5551093304720|  -8.997 -1.658    |10.61    |~              |    ~     ~    
2917|HD 229644                                                                                                |Star                           |18 49 44.5683855744 +14 03 02.466751680|045.3048448569962 +06.7241547547157|  -2.929 -7.505    |10.98    |~              |    ~     ~    
2918|HD 229795                                                                                                |Star                           |18 51 53.3963752056 +14 04 27.025074876|045.5590122904024 +06.2681911328216|  6.066 -10.586    |10.39    |~              |    ~     ~    
2919|HD 229837                                                                                                |Spectroscopic Binary           |18 52 25.0169382120 +13 50 48.108150240|045.4115289174891 +06.0523364485851|  -1.216 -2.537    |10.56    |~              |    ~     ~    
2920|HD 229669                                                                                                |Star                           |18 50 16.9619318400 +14 34 14.906230680|045.8327035447918 +06.8376507475520|   1.934 -5.132    |9.88     |~              |    ~     ~    
2921|TYC 1038-182-1                                                                                           |Star                           |18 47 46.4633602992 +14 00 59.082615972|045.0607970853166 +07.1369617425354|  2.986 -13.023    |10.47    |~              |    ~     ~    
2922|TYC 1038-282-1                                                                                           |Star                           |18 47 47.4973324200 +13 58 27.565647888|045.0246225692767 +07.1145916789316|   1.712 11.833    |10.55    |~              |    ~     ~    
2923|HD 229634                                                                                                |Star                           |18 49 37.7886789024 +13 47 34.532209824|045.0600464159535 +06.6342868769207|    6.716 0.231    |9.663    |~              |    ~     ~    
2924|HD 229748                                                                                                |High Proper Motion Star        |18 51 21.7344431664 +14 15 55.945049292|045.6741696121417 +06.4679016753931|  36.661 52.937    |10.15    |~              |    ~     ~    
2925|HD 229803                                                                                                |High Proper Motion Star        |18 52 02.6922172248 +13 49 53.705813916|045.3574155829503 +06.1264354382256|112.822 -74.086    |9.91     |~              |    ~     ~    
2926|TYC 1038-538-1                                                                                           |Star                           |18 48 33.7185686808 +14 22 01.732341504|045.4628999736454 +07.1209252633257| -4.534 -12.256    |10.94    |~              |    ~     ~    
2927|HD 229721                                                                                                |Star                           |18 50 59.7823790280 +13 44 20.996716308|045.1600898402716 +06.3131672823812|  -0.433 -4.160    |10.14    |~              |    ~     ~    
2928|HD 229487                                                                                                |Star                           |18 47 09.5189221440 +14 13 23.751198516|045.1813323034913 +07.3622978438033|   2.612 -4.462    |10.50    |~              |    ~     ~    
2929|TYC 1038-682-1                                                                                           |Star                           |18 49 44.5883265672 +14 01 52.442425092|045.2873296982372 +06.7154498428679|   1.235 -4.291    |10.56    |~              |    ~     ~    
2930|HD 229488                                                                                                |Star                           |18 47 10.3005000480 +13 54 41.828441472|044.9008862023265 +07.2217637751742|  -1.563 -4.266    |10.70    |~              |    ~     ~    
2931|HD 229579                                                                                                |Star                           |18 48 53.8748161368 +14 02 34.428768360|045.2062946583854 +06.9043551994069|  -2.609 -4.214    |10.67    |~              |    ~     ~    
2932|HD 229811                                                                                                |Star                           |18 52 03.4754575056 +14 30 33.832983096|045.9693743559215 +06.4254726841726|   5.194 -3.051    |10.11    |~              |    ~     ~    
2933|HD 229802                                                                                                |Star                           |18 51 59.4541935840 +14 14 18.238747920|045.7179135295336 +06.3194066565295|   1.946 -4.053    |10.37    |~              |    ~     ~    
2934|HD 229705                                                                                                |Star                           |18 50 51.1546830720 +13 44 52.520541000|045.1523385678924 +06.3483339812983| 37.362 -12.486    |10.40    |~              |    ~     ~    
2935|TYC 1038-1032-1                                                                                          |Star                           |18 49 56.7607370400 +14 12 31.639333104|045.4695279253650 +06.7501632954454| 17.006 -17.554    |10.67    |~              |    ~     ~    
2936|HD 229420                                                                                                |Star                           |18 46 01.2138809040 +14 23 38.023691352|045.2131386087051 +07.6850559673590|   0.721 -2.691    |10.13    |~              |    ~     ~    
2937|HD 229508                                                                                                |Star                           |18 47 28.0006476912 +14 22 52.366966788|045.3574509881491 +07.3650851614609| -9.426 -21.734    |10.71    |~              |    ~     ~    
2938|HD 229573                                                                                                |Star                           |18 48 44.3347049376 +13 49 16.993945992|044.9890759393666 +06.8407416529142|    7.920 3.548    |10.05    |~              |    ~     ~    
2939|HD 229489                                                                                                |Star                           |18 47 05.0145242184 +13 53 43.289219580|044.8766560642878 +07.2337511908913|   1.852 -4.723    |9.80     |~              |    ~     ~    
2940|HD 229735                                                                                                |Star                           |18 51 18.3970939824 +14 09 17.406762696|045.5683510186526 +06.4307394451051|    3.091 6.409    |10.46    |~              |    ~     ~    
2941|HD 229836                                                                                                |Star                           |18 52 26.1445121276 +14 10 49.951131620|045.7141099776930 +06.1971135612808|  18.119 -7.428    |10.17    |~              |    ~     ~    
2942|HD 229548                                                                                                |Star                           |18 48 18.1435107072 +14 36 09.425492352|045.6477964594271 +07.2813770854396|   1.059 -2.473    |10.93    |~              |    ~     ~    
2943|HD 229719                                                                                                |Star                           |18 50 59.7886938960 +14 37 50.613663000|045.9639180278750 +06.7094647921347|  -0.261 -8.212    |10.44    |~              |    ~     ~    
2944|HD 229536                                                                                                |Star                           |18 48 09.0263865696 +14 32 48.741395964|045.5810046374506 +07.2897361134365|    3.133 3.810    |9.83     |~              |    ~     ~    
2945|HD 229593                                                                                                |Star                           |18 49 03.2537569320 +14 20 08.158801740|045.4875623841157 +07.0000519535112|   6.793 -2.863    |10.50    |~              |    ~     ~    
2946|HD 229681                                                                                                |Star                           |18 50 26.6398746360 +13 56 39.073464960|045.2848398078438 +06.5244587781899|-10.081 -22.209    |10.13    |M3             |    ~     ~    
2947|HD 229586                                                                                                |Star                           |18 48 55.8584796408 +14 11 15.894019572|045.3406865283813 +06.9613479527247| -5.478 -19.284    |10.26    |~              |    ~     ~    
2948|TYC 1038-1691-1                                                                                          |Star                           |18 48 49.7441973264 +14 46 45.132792240|045.8642197943024 +07.2451301710660|  -9.206 -5.623    |10.89    |~              |    ~     ~    
2949|HD 229438                                                                                                |Star                           |18 46 24.5761218384 +14 40 44.258239524|045.5132839591908 +07.7259596761018|    2.992 1.361    |10.35    |~              |    ~     ~    
2950|HD 229885                                                                                                |Star                           |18 53 07.9031837976 +14 01 42.369216744|045.6528930744208 +05.9782366052548|   2.751 -4.168    |10.82    |~              |    ~     ~    
2951|HD 229453                                                                                                |Star                           |18 46 37.9302197232 +13 49 43.774514112|044.7676732281491 +07.3026258152360|-16.414 -35.050    |9.413    |~              |    ~     ~    
2952|HD 229585                                                                                                |Star                           |18 48 56.1423843144 +14 19 45.471337320|045.4690625188067 +07.0230029423314| -14.971 -8.512    |10.21    |~              |    ~     ~    
