C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:21:12

dec >=0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2365

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
34  |TYC 4638-479-1                                                                                           |Star                              |14 31 38.5733393256 +85 40 22.202249844|120.7951826380138 +31.0320880690208|  -16.047 3.273   |10.85    |~                 |    ~     ~    |    1|  861.475   pc  |  -7.4956     +7.4956  |paral   |2020yCat.1350....0G
35  |HD 128864                                                                                                |Star                              |14 30 53.4043689936 +80 33 57.446757000|118.0695793180870 +35.6037101497971|  -24.517 3.155   |8.67     |F2                |    ~     ~    |    1|  255.304   pc  |  -0.9516     +0.9516  |paral   |2020yCat.1350....0G
36  |BD+81 484                                                                                                |Star                              |14 32 09.1129916352 +80 40 12.664417980|118.0728095592706 +35.4875177706542|   6.755 -2.341   |10.02    |K0                |    ~     ~    |    1|  736.920   pc  |  -6.5709     +6.5709  |paral   |2020yCat.1350....0G
37  |BD+81 485                                                                                                |High Proper Motion Star           |14 34 37.5733802736 +80 42 30.929438160|117.9865463338106 +35.4065720406793| -57.522 52.107   |9.00     |F2                |    ~     ~    |    1|  125.083   pc  |  -0.1940     +0.1940  |paral   |2020yCat.1350....0G
38  |BD+81 486                                                                                                |Star                              |14 35 13.6400443872 +80 37 14.979583092|117.9088961853696 +35.4721036280038|  -25.019 7.536   |10.04    |F2                |    ~     ~    |    1|  245.761   pc  |  -0.7610     +0.7610  |paral   |2020yCat.1350....0G
39  |BD+81 487                                                                                                |Star                              |14 35 45.2425755888 +80 47 22.229247588|117.9850680299027 +35.3138330570883|  -16.198 6.491   |10.11    |F2                |    ~     ~    |    1|  264.040   pc  |  -0.6972     +0.6972  |paral   |2020yCat.1350....0G
40  |BD+81 489                                                                                                |Star                              |14 41 35.3188063032 +81 10 49.673397108|117.9759996299713 +34.8610582706140|    2.230 4.409   |9.16     |K0                |    ~     ~    |    1| 1034.019   pc  | -16.3587    +16.3587  |paral   |2020yCat.1350....0G
41  |BD+81 490                                                                                                |Star                              |14 42 23.7442645248 +81 02 03.172996824|117.8533332741371 +34.9717134489345| -23.463 13.994   |10.35    |F8                |    ~     ~    |    1|  352.038   pc  |  -1.6607     +1.6607  |paral   |2020yCat.1350....0G
42  |BD+81 491                                                                                                |Star                              |14 44 31.9350220464 +80 32 38.129347068|117.4568799381242 +35.3493879714611|   -9.891 5.421   |10.26    |K2                |    ~     ~    |    1|  356.761   pc  |  -1.5019     +1.5019  |paral   |2020yCat.1350....0G
43  |BD+80 444                                                                                                |Star                              |14 31 59.9481546408 +80 20 51.453482496|117.8949178792319 +35.7759246782616| -12.278 14.975   |9.37     |F0                |    ~     ~    |    1|  288.525   pc  |  -1.0323     +1.0323  |paral   |2020yCat.1350....0G
44  |BD+80 445                                                                                                |Star                              |14 32 17.7446686368 +80 20 26.952412812|117.8774446940837 +35.7761396690561|   2.434 -3.271   |8.87     |K5                |    ~     ~    |    1| 1325.205   pc  | -29.6793    +29.6793  |paral   |2020yCat.1350....0G
45  |HD 129205                                                                                                |Star                              |14 33 09.1150205616 +80 04 54.328450944|117.6875802021757 +35.9877352454206| -6.624 -30.407   |8.99     |G5                |    ~     ~    |    1|  118.773   pc  |  -0.1933     +0.1933  |paral   |2020yCat.1350....0G
46  |BD+80 449                                                                                                |Star                              |14 33 44.0242356768 +79 51 22.942211184|117.5277601275826 +36.1741671419757| -2.420 -20.377   |10.00    |K2                |    ~     ~    |    1|  703.928   pc  |  -5.7975     +5.7975  |paral   |2020yCat.1350....0G
47  |HD 129970                                                                                                |Star                              |14 37 04.1892944424 +80 18 05.063364936|117.6370276303805 +35.7149642222190|  -21.758 9.370   |9.44     |F5                |    ~     ~    |    1|  224.856   pc  |  -0.6269     +0.6269  |paral   |2020yCat.1350....0G
48  |HD 130235                                                                                                |Star                              |14 38 55.8352290600 +79 47 14.676216072|117.2378565709064 +36.1225852649582|    0.608 0.018   |7.280    |K0                |    ~     ~    |    1|  521.458   pc  |  -4.2691     +4.2691  |paral   |2020yCat.1350....0G
