C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:50:27

dec >=0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2377

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+82 312                                                                                                |Star                               |10 43 28.1677432776 +82 14 39.523563600|127.8572687282774 +33.6194873018146| 43.396 -20.608   |10.28    |F8               |    ~     ~    |    1|  231.326   pc  |  -0.6635     +0.6635  |paral   |2020yCat.1350....0G
34  |TYC 4632-243-1                                                                                           |Star                               |10 31 45.8649345528 +83 29 40.780446000|127.3367321258497 +32.3932175326471|   4.057 -0.586   |10.86    |~                |    ~     ~    |    1| 1848.771   pc  | -44.7752    +44.7752  |paral   |2020yCat.1350....0G
35  |TYC 4632-1747-1                                                                                          |Star                               |10 35 40.4684127432 +82 44 24.979837848|127.7615263193314 +33.0678211842452| -9.571 -14.640   |10.66    |~                |    ~     ~    |    1|  598.587   pc  |  -4.3713     +4.3713  |paral   |2020yCat.1350....0G
36  |TYC 4632-1765-1                                                                                          |Star                               |10 38 00.6027151848 +82 45 07.440632028|127.6821046979781 +33.1016786429481|    2.106 2.030   |10.77    |~                |    ~     ~    |    1| 1003.311   pc  | -10.4690    +10.4690  |paral   |2020yCat.1350....0G
37  |BD+82 304                                                                                                |Star                               |10 32 15.4894664304 +81 58 54.251992128|128.4161119117394 +33.6055623188781|   8.420 11.974   |9.20     |K2               |    ~     ~    |    1|  509.165   pc  |  -3.4480     +3.4480  |paral   |2020yCat.1350....0G
38  |HD 90713                                                                                                 |Star                               |10 34 54.4150058904 +82 01 31.159464348|128.2963645251774 +33.6265618925459|  18.197 23.886   |7.92     |A5               |    ~     ~    |    1|  111.277   pc  |  -0.2514     +0.2514  |paral   |2020yCat.1350....0G
39  |BD+82 303                                                                                                |Star                               |10 30 42.8552280456 +81 40 18.215717268|128.6968375038109 +33.8167128739527|   4.259 -3.610   |10.01    |K2               |    ~     ~    |    1|  457.792   pc  |  -2.1796     +2.1796  |paral   |2020yCat.1350....0G
40  |BD+82 306                                                                                                |Star                               |10 33 04.0013585448 +81 21 21.740165748|128.8478474602434 +34.1192075696436| -11.517 -6.237   |10.30    |K2               |    ~     ~    |    1|  972.384   pc  | -11.0627    +11.0627  |paral   |2020yCat.1350....0G
41  |BD+81 339                                                                                                |Star                               |10 31 02.4668365920 +81 00 28.449474804|129.1808787921101 +34.3459506091719| -14.940 -8.380   |9.83     |F0               |    ~     ~    |    1|  460.320   pc  |  -4.9372     +4.9372  |paral   |2020yCat.1350....0G
42  |BD+81 342                                                                                                |Spectroscopic Binary               |10 34 37.6024964808 +81 06 38.116540512|128.9713264054283 +34.3501998483997|   6.333 -1.539   |10.30    |F5               |    ~     ~    |    1|  136.431   pc  |  -0.4021     +0.4021  |paral   |2020yCat.1350....0G
