C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+81 205                                                                                                |Star                           |06 14 16.8211928976 +81 51 37.551869496|131.8401896340179 +25.5342012979673|  -12.325 4.514   |10.20    |A5                |    ~     ~    |    1|  244.182   pc  |  -0.7394     +0.7394  |paral   |2020yCat.1350....0G
34  |BD+81 206                                                                                                |Star                           |06 14 25.4158471560 +81 42 33.470054820|132.0044947765401 +25.5045028566086| -2.412 -10.811   |10.51    |F5                |    ~     ~    |    1|  243.072   pc  |  -0.9867     +0.9867  |paral   |2020yCat.1350....0G
35  |TYC 4537-530-1                                                                                           |Star                           |06 08 15.7799226024 +82 23 00.416069196|131.2229366595390 +25.4592923466788|  9.517 -28.925   |10.49    |~                 |    ~     ~    |    1|  194.303   pc  |  -0.4493     +0.4493  |paral   |2020yCat.1350....0G
36  |TYC 4537-545-1                                                                                           |Star                           |06 06 10.8305782536 +82 06 40.048200108|131.4945479585896 +25.3218788062709| -3.329 -45.488   |10.56    |~                 |    ~     ~    |    1|  125.720   pc  |  -0.2102     +0.2102  |paral   |2020yCat.1350....0G
37  |TYC 4537-847-1                                                                                           |Star                           |06 04 08.6051006568 +81 48 45.379011564|131.7917780580680 +25.1738568401436|    0.674 7.422   |10.77    |~                 |    ~     ~    |    1|  927.644   pc  |  -9.5518     +9.5518  |paral   |2020yCat.1350....0G
38  |TYC 4537-868-1                                                                                           |Star                           |06 13 48.8862944328 +82 10 06.575537028|131.5036674394177 +25.5889773954748|  -1.523 -4.089   |10.62    |~                 |    ~     ~    |    1|  664.452   pc  | -21.5892    +21.5892  |paral   |2020yCat.1350....0G
39  |TYC 4537-941-1                                                                                           |Star                           |06 07 08.6670412680 +81 53 46.293762120|131.7337824381931 +25.2984952355641|   -0.089 7.057   |10.24    |~                 |    ~     ~    |    1| 1252.976   pc  | -15.8565    +15.8565  |paral   |2020yCat.1350....0G
40  |TYC 4537-964-1                                                                                           |High Proper Motion Star        |06 08 41.5493698680 +82 16 25.518161352|131.3445410050855 +25.4458095755630| -0.225 -58.455   |10.80    |~                 |    ~     ~    |    1|  216.025   pc  |  -0.7840     +0.7840  |paral   |2020yCat.1350....0G
41  |TYC 4618-54-1                                                                                            |Star                           |06 13 00.2933848656 +83 47 16.194927048|129.7451443398453 +25.9273894744486|    0.447 5.073   |10.94    |~                 |    ~     ~    |    1|  510.178   pc  |  -3.4878     +3.4878  |paral   |2020yCat.1350....0G
42  |TYC 4618-312-1                                                                                           |Star                           |06 06 05.1225208632 +84 10 42.367360404|129.2761247059252 +25.8416041266355|  11.922 -7.059   |10.70    |~                 |    ~     ~    |    1|  564.653   pc  |  -3.3477     +3.3477  |paral   |2020yCat.1350....0G
