C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
2268|TYC 1368-1036-1                                                                                          |Star                           |07 35 44.2220550072 +19 41 10.130310060|199.6960040687582 +18.3349700124513| -0.310 -18.477   |10.47    |~                 |    ~     ~    
2269|TYC 1368-1085-1                                                                                          |Star                           |07 31 53.1137636064 +19 46 17.861823732|199.2388782291863 +17.5351145227698|  -5.458 -5.974   |10.32    |~                 |    ~     ~    
2270|TYC 1368-1146-1                                                                                          |Star                           |07 31 04.5934094472 +19 44 36.810981420|199.1871295502064 +17.3492327974563|-13.428 -14.905   |10.38    |~                 |    ~     ~    
2271|TYC 1368-1169-1                                                                                          |Star                           |07 33 55.7985451296 +20 05 31.245005688|199.1277515290711 +18.1029138455538|  -7.045 -8.600   |9.87     |~                 |    ~     ~    
2272|TYC 1368-1429-1                                                                                          |High Proper Motion Star        |07 30 06.0865020864 +19 58 48.421901172|198.8646278866930 +17.2321484956490| -73.049 17.616   |9.90     |~                 |    ~     ~    
2273|TYC 1368-1448-1                                                                                          |Star                           |07 30 16.9861590144 +19 51 18.620932176|199.0024567182762 +17.2219612032950|-30.276 -12.991   |10.51    |~                 |    ~     ~    
2274|TYC 1368-1600-1                                                                                          |Star                           |07 30 18.0964590408 +19 49 27.075585252|199.0340504417853 +17.2136973779899|  -2.552 -1.841   |10.8     |~                 |    ~     ~    
2275|TYC 1368-1637-1                                                                                          |Star                           |07 30 05.3657233680 +18 57 53.451676836|199.8377764154089 +16.8259594359836|  5.117 -14.372   |9.82     |~                 |    ~     ~    
2276|TYC 1368-1677-1                                                                                          |Star                           |07 30 04.3616311704 +19 25 15.510767700|199.3989264483666 +17.0042356954490|   40.170 4.841   |10.10    |~                 |    ~     ~    
2277|TYC 1368-1696-1                                                                                          |Star                           |07 30 30.1030640040 +19 08 11.697683568|199.7138646657417 +16.9838488999687|  -3.664 -1.826   |10.28    |~                 |    ~     ~    
2278|TYC 1368-1752-1                                                                                          |Star                           |07 34 57.1631195016 +19 00 42.516296424|200.2716375606406 +17.8994864298232|-14.835 -39.844   |10.55    |~                 |    ~     ~    
2279|TYC 1368-1798-1                                                                                          |High Proper Motion Star        |07 34 02.5840049088 +19 14 27.512975292|199.9612603725307 +17.7927390674152|-45.825 -16.644   |10.46    |~                 |    ~     ~    
2280|TYC 1368-1885-1                                                                                          |Star                           |07 34 52.4675744400 +19 36 38.494234656|199.6852263626431 +18.1185604265835|  -1.501 -1.796   |9.70     |~                 |    ~     ~    
2281|TYC 1368-1903-1                                                                                          |Star                           |07 34 03.7340239080 +18 45 15.497281872|200.4321575413925 +17.6040092787771| -11.436 -6.253   |10.47    |~                 |    ~     ~    
2282|TYC 1368-1957-1                                                                                          |Star                           |07 34 57.9751625232 +18 50 25.685179008|200.4382812068030 +17.8345844461679| -0.599 -13.840   |10.90    |~                 |    ~     ~    
2283|TYC 1368-1990-1                                                                                          |Star                           |07 34 19.4695148232 +19 10 24.222145224|200.0540452219960 +17.8270577653564| -8.970 -22.520   |10.28    |~                 |    ~     ~    
2284|TYC 1368-2072-1                                                                                          |Star                           |07 35 17.3177906424 +19 03 09.224759268|200.2652770552417 +17.9885171231791|   4.455 15.995   |10.79    |~                 |    ~     ~    
2285|TYC 1369-3-1                                                                                             |Star                           |07 38 26.0682127584 +19 12 08.330180436|200.4282178141386 +18.7305543866377|   1.433 -7.891   |9.88     |~                 |    ~     ~    
2286|TYC 1369-5-1                                                                                             |Star                           |07 36 14.4886508016 +19 26 36.804358392|199.9801987459972 +18.3491929718306|  -1.410 -0.916   |10.18    |~                 |    ~     ~    
2287|TYC 1369-154-1                                                                                           |Star                           |07 39 38.8124406384 +19 57 07.089482196|199.8154946310781 +19.2854750960336|-16.175 -34.502   |9.77     |~                 |    ~     ~    
2288|TYC 1369-205-1                                                                                           |Star                           |07 36 07.6095888456 +19 11 02.181216228|200.2204180788452 +18.2222743578815|  -4.774 -2.882   |10.78    |~                 |    ~     ~    
2289|TYC 1369-237-1                                                                                           |Star                           |07 37 43.9494117840 +19 28 17.600778228|200.0982095058876 +18.6835421519247|  2.152 -14.301   |10.17    |~                 |    ~     ~    
2290|TYC 1369-300-1                                                                                           |Star                           |07 39 13.7656104792 +20 21 56.168896284|199.3710766519874 +19.3547711712303| -4.654 -22.416   |9.91     |~                 |    ~     ~    
2291|TYC 1369-347-1                                                                                           |Star                           |07 38 17.9788157304 +19 16 55.096032432|200.3376643457126 +18.7324679212459|  -10.264 8.054   |10.68    |~                 |    ~     ~    
2292|TYC 1369-466-1                                                                                           |Star                           |07 39 49.1823855600 +19 48 17.580531096|199.9758281421380 +19.2659837564722| -32.409 -1.950   |10.46    |~                 |    ~     ~    
2293|TYC 1369-550-1                                                                                           |High Proper Motion Star        |07 39 29.6100764136 +20 24 25.812923796|199.3556555170765 +19.4278865211980|  8.502 -92.946   |10.44    |~                 |    ~     ~    
2294|TYC 1369-557-1                                                                                           |Star                           |07 40 40.8199253256 +20 24 08.586474120|199.4737138889127 +19.6827998233148|  7.875 -28.994   |10.32    |~                 |    ~     ~    
2295|TYC 1369-570-1                                                                                           |Horizontal Branch Star         |07 39 41.2384701888 +20 25 31.933758252|199.3561926980455 +19.4768658571572|  -0.519 -6.962   |10.91    |~                 |    ~     ~    
2296|TYC 1369-602-1                                                                                           |Star                           |07 38 46.9255290624 +20 26 03.253246116|199.2611771647422 +19.2844721708765|  -0.740 -8.485   |10.40    |~                 |    ~     ~    
2297|TYC 1369-678-1                                                                                           |Star                           |07 41 14.5937357160 +20 28 30.252502524|199.4560691902372 +19.8324519118205| -15.045 -9.977   |10.86    |~                 |    ~     ~    
2298|TYC 1369-720-1                                                                                           |Star                           |07 37 47.8817079984 +20 34 04.788605712|199.0364595523808 +19.1233589915661|  -3.324 -2.924   |10.68    |~                 |    ~     ~    
2299|TYC 1369-724-1                                                                                           |High Proper Motion Star        |07 36 56.1125159808 +20 33 18.472832208|198.9665957176161 +18.9320669296768|-94.658 -60.877   |10.41    |G2V               |    ~     ~    
2300|TYC 1369-778-1                                                                                           |Star                           |07 37 31.9331024184 +19 12 58.420847520|200.3265717247095 +18.5400616244297|   0.596 -2.182   |10.02    |~                 |    ~     ~    
2301|TYC 1369-890-1                                                                                           |Star                           |07 39 14.1973474704 +19 22 47.753228028|200.3336706793909 +18.9742107665061|   1.333 -6.924   |10.56    |~                 |    ~     ~    
2302|TYC 1369-919-1                                                                                           |Star                           |07 36 04.9649118768 +19 59 53.260365156|199.4267705598038 +18.5316982081755|  2.211 -15.898   |10.39    |~                 |    ~     ~    
2303|TYC 1369-943-1                                                                                           |Star                           |07 38 13.5431437104 +19 59 24.735431040|199.6412420335084 +18.9924447728251| -10.697 -9.836   |9.64     |~                 |    ~     ~    
2304|TYC 1369-949-1                                                                                           |High Proper Motion Star        |07 37 50.5892169048 +19 59 02.255114472|199.6104422576107 +18.9071864927932|-29.792 -67.325   |10.89    |~                 |    ~     ~    
2305|TYC 1369-974-1                                                                                           |Star                           |07 40 13.6478812224 +19 04 21.845987436|200.7294314453806 +19.0695420675597|  -7.713 -2.035   |9.99     |~                 |    ~     ~    
2306|TYC 1369-1082-1                                                                                          |Star                           |07 36 36.4192023072 +19 11 35.697051348|200.2583886439625 +18.3301615651125|  -5.409 -2.634   |10.93    |~                 |    ~     ~    
2307|TYC 1369-1095-1                                                                                          |Star                           |07 39 15.8834963328 +20 00 30.206463264|199.7235850601671 +19.2245131804024|  -6.982 -3.127   |10.82    |~                 |    ~     ~    
2308|TYC 1369-1164-1                                                                                          |Star                           |07 37 13.6401189072 +19 05 52.764349704|200.4113950652490 +18.4274012424999|   2.622 -9.756   |9.90     |~                 |    ~     ~    
2309|TYC 1369-1181-1                                                                                          |Star                           |07 36 01.8387545448 +20 05 00.788726544|199.3387593543364 +18.5537091841672| -33.508 -0.006   |10.25    |~                 |    ~     ~    
2310|TYC 1369-1208-1                                                                                          |High Proper Motion Star        |07 41 12.1124411424 +18 58 18.445327176|200.9230783661327 +19.2420713534420|-15.723 -52.134   |10.51    |~                 |    ~     ~    
2311|TYC 1369-1228-1                                                                                          |Star                           |07 40 20.7835619760 +19 18 18.647258292|200.5145190788488 +19.1861225324521|   8.105 -1.863   |10.46    |~                 |    ~     ~    
2312|TYC 1369-1334-1                                                                                          |Spectroscopic Binary           |07 37 35.9774188152 +19 16 15.585162744|200.2800131439921 +18.5761796595169|   2.174 -1.390   |9.59     |~                 |    ~     ~    
2313|TYC 1369-1614-1                                                                                          |Star                           |07 37 35.4806902944 +19 14 52.479269916|200.3016070856792 +18.5653293038660|  -1.666 -7.526   |10.80    |~                 |    ~     ~    
2314|TYC 1369-1709-1                                                                                          |Star                           |07 38 32.3770887816 +19 48 15.071110848|199.8528325617691 +18.9882169580569|  -2.612 -7.731   |10.30    |~                 |    ~     ~    
2315|TYC 1369-1782-1                                                                                          |Star                           |07 36 18.7626261024 +20 28 55.770162492|198.9781515238399 +18.7694356497462|   -5.162 1.494   |10.01    |~                 |    ~     ~    
2316|TYC 1369-1935-1                                                                                          |Star                           |07 39 02.9093848176 +20 22 21.704565432|199.3468286851726 +19.3183697770733|   -7.959 0.456   |10.23    |F8V               |    ~     ~    
2317|TYC 1369-2025-1                                                                                          |Star                           |07 40 12.8068106280 +20 06 46.078143264|199.7127237632408 +19.4703421915698|  -2.921 -1.815   |10.76    |~                 |    ~     ~    
2318|GSC 01369-02067                                                                                          |Double or Multiple Star        |07 41 04.7185528392 +20 15 58.430835720|199.6453222479730 +19.7167596954867|-41.835 -13.834   |10.159   |~                 |    ~     ~    
2319|TYC 1369-2109-1                                                                                          |Star                           |07 37 17.6316042672 +19 35 09.386083752|199.9444459988157 +18.6331271450491|  2.012 -26.684   |10.34    |~                 |    ~     ~    
2320|TYC 1372-75-1                                                                                            |Star                           |07 34 22.9324672896 +20 40 46.931282220|198.6012561636015 +18.4294820147424| 25.919 -10.249   |10.67    |F9V               |    ~     ~    
2321|TYC 1372-80-1                                                                                            |Star                           |07 33 29.4206000760 +20 44 00.327579972|198.4637913756899 +18.2581352589802|   -9.877 3.389   |10.61    |~                 |    ~     ~    
2322|2MASS J07330878+2043338                                                                                  |Red Giant Branch star          |07 33 08.7906403824 +20 43 33.860333424|198.4380241336542 +18.1812061725453|   0.931 -1.707   |10.51    |~                 |    ~     ~    
2323|TYC 1372-1335-1                                                                                          |Star                           |07 31 27.6990266016 +20 49 37.167671748|198.1789972138537 +17.8577755187288|  -3.704 -4.366   |10.90    |~                 |    ~     ~    
2324|TYC 1372-1581-1                                                                                          |Star                           |07 31 06.0857191440 +20 48 41.123647692|198.1595524704446 +17.7741982876888|  -0.862 -3.188   |9.59     |~                 |    ~     ~    
2325|TYC 1372-1769-1                                                                                          |Star                           |07 32 11.7859801800 +20 50 06.774871380|198.2413483737524 +18.0190997734872|-29.006 -24.946   |10.31    |~                 |    ~     ~    
2326|IRAS 07272+2045                                                                                          |Star                           |07 30 16.2736184352 +20 39 19.548507132|198.2305258200276 +17.5345356291215|  -4.066 -9.559   |8.69     |~                 |    ~     ~    
2327|2MASS J07344391+2045236                                                                                  |Red Giant Branch star          |07 34 43.9098271104 +20 45 23.686013160|198.5599462899869 +18.5346417032320|   2.696 -0.947   |10.25    |~                 |    ~     ~    
2328|HD 59722                                                                                                 |Star                           |07 32 00.7456784928 +18 05 11.585317596|200.8694910752521 +16.8913849788515|  6.949 -10.176   |9.16     |G                 |    ~     ~    
2329|BD+18 1655                                                                                               |High Proper Motion Star        |07 32 49.0678716072 +17 57 55.310172156|201.0659760330771 +17.0179551832241|-37.365 -76.205   |9.56     |G3IV              |    ~     ~    
2330|HD 59801                                                                                                 |Star                           |07 32 21.4253379096 +17 53 01.064988024|201.0980961623110 +16.8847416367771|   7.723 11.964   |8.31     |K0                |    ~     ~    
2331|HD 59399                                                                                                 |Star                           |07 30 25.8747851160 +16 57 08.929335888|201.7914684800133 +16.0872289867244|  -7.821 -4.799   |9.27     |A                 |    ~     ~    
2332|BD+17 1595                                                                                               |High Proper Motion Star        |07 31 32.0770867944 +17 21 25.575594552|201.5181571753920 +16.4926527586264|-20.537 -93.761   |9.27     |G0                |    ~     ~    
2333|HD 59686                                                                                                 |High Proper Motion Star        |07 31 48.4045109592 +17 05 09.764723724|201.8039658244362 +16.4419325106304| 39.385 -75.752   |5.442    |K2III             |    ~     ~    
2334|BD+16 1492                                                                                               |Star                           |07 30 29.4443747616 +16 22 02.720831628|202.3527521729735 +15.8606971569248|  9.921 -46.052   |9.75     |G0                |    ~     ~    
2335|BD+16 1493                                                                                               |Star                           |07 30 31.5208802112 +16 02 23.632609164|202.6665645715206 +15.7335695604062|    1.662 4.093   |9.02     |K0                |    ~     ~    
2336|HD 59561                                                                                                 |Star                           |07 31 04.1407164792 +16 37 02.215661592|202.1747936226200 +16.0895530229632|   3.284 -9.029   |8.42     |K0                |    ~     ~    
2337|HD 59601A                                                                                                |Star                           |07 31 21.0211530240 +16 18 38.671582104|202.4945338482196 +16.0254870408594| 16.915 -21.158   |9.34     |~                 |    ~     ~    
2338|HD 59601B                                                                                                |Star                           |07 31 21.4358144472 +16 18 47.510487648|202.4929119905653 +16.0280065629333| 17.889 -21.494   |9.41     |~                 |    ~     ~    
2339|BD+16 1499                                                                                               |Star                           |07 31 39.0794131992 +16 18 18.615685644|202.5306446649494 +16.0890628383253| 12.176 -17.121   |9.92     |G0                |    ~     ~    
2340|HD 59763                                                                                                 |Star                           |07 32 04.2323393064 +16 13 04.326799800|202.6564762340340 +16.1450171332875|  0.603 -34.573   |8.81     |F2                |    ~     ~    
2341|HD 59926                                                                                                 |Spectroscopic Binary           |07 32 50.6118591240 +16 20 42.358249824|202.6147319779433 +16.3663565959882| -17.114 -1.051   |7.68     |~                 |    ~     ~    
2342|BD+16 1500                                                                                               |Star                           |07 31 38.9839594272 +15 51 16.827033348|202.9577071948556 +15.9035477730228|  -13.409 5.241   |8.99     |K0                |    ~     ~    
2343|BD+15 1593                                                                                               |Star                           |07 32 42.8341086120 +15 40 23.168270928|203.2395342124574 +16.0620353615126| -13.242 -5.822   |9.07     |K2                |    ~     ~    
2344|2RE J0731+155                                                                                            |Star                           |07 31 21.21 +15 56 18.9                |202.84771 +15.87320                |            ~ ~   |9.7      |K5e               |    ~     ~    
2345|BD+18 1685                                                                                               |Star                           |07 36 57.3592896192 +18 03 00.728356536|201.3973877764258 +17.9535189870951|  -5.447 -1.344   |9.73     |A0                |    ~     ~    
2346|BD+18 1696                                                                                               |Star                           |07 38 41.0607930600 +17 59 08.467993644|201.6317673940666 +18.3047825328741|-15.102 -15.166   |9.73     |F5                |    ~     ~    
2347|HD 60385                                                                                                 |Star                           |07 34 56.9230041960 +17 42 02.214773316|201.5330842620547 +17.3759486227995|  -4.054 -3.610   |9.86     |A                 |    ~     ~    
2348|HD 60457                                                                                                 |Star                           |07 35 15.4657095384 +17 51 18.444440088|201.4156745101186 +17.5053274667075|-15.499 -32.435   |9.23     |F5                |    ~     ~    
2349|BD+18 1692B                                                                                              |Star                           |07 38 12.4119456360 +17 51 16.822236960|201.7107024528517 +18.1484388778776| -4.432 -13.003   |9.66     |G5                |    ~     ~    
2350|HD 61079                                                                                                 |Star                           |07 38 11.9696620848 +17 50 28.510246140|201.7229186648510 +18.1414810749146|  14.991 -3.116   |9.24     |K2                |    ~     ~    
2351|* f Gem                                                                                                  |Double or Multiple Star        |07 39 28.5933680280 +17 40 28.278616584|202.0115326279568 +18.3538887667919|   5.374 -1.199   |5.05     |K5.5III           |    ~     ~    
2352|HD 59948                                                                                                 |High Proper Motion Star        |07 33 01.6885740144 +17 03 23.532939540|201.9558323467142 +16.6966610072321| 5.451 -103.534   |9.05     |G                 |    ~     ~    
2353|BD+17 1599                                                                                               |Star                           |07 33 02.6482323120 +17 16 44.904439524|201.7449539694840 +16.7904045732649|   18.001 6.785   |10.16    |K0                |    ~     ~    
2354|HD 59978                                                                                                 |Star                           |07 33 05.6081524752 +17 28 05.633669676|201.5692551805130 +16.8776575639906|   0.727 -3.215   |9.12     |K                 |    ~     ~    
2355|HD 59996                                                                                                 |Double or Multiple Star        |07 33 10.770 +17 08 44.28              |201.886118 +16.765862              |    -33.0 -20.0   |9.0      |F8                |    ~     ~    
2356|HD 60080                                                                                                 |High Proper Motion Star        |07 33 36.7497132744 +17 35 30.453076320|201.5032740149745 +17.0407325225038| -2.773 -54.020   |9.08     |G5                |    ~     ~    
2357|HD 60301                                                                                                 |Star                           |07 34 29.1753983016 +16 57 14.771742048|202.2013875907117 +16.9737319725770|  -3.474 -4.138   |7.77     |G5                |    ~     ~    
2358|HD 60300                                                                                                 |Star                           |07 34 29.7623718504 +17 24 12.894264576|201.7723469037882 +17.1576176002084|  -5.354 -0.115   |9.29     |A                 |    ~     ~    
2359|BD+17 1612                                                                                               |Star                           |07 34 45.6696278448 +17 11 36.798577476|202.0001678612840 +17.1307214692188|   0.491 -6.242   |9.71     |M0                |    ~     ~    
2360|HD 60473                                                                                                 |Double or Multiple Star        |07 35 14.8973543952 +17 21 16.265042136|201.8951176083426 +17.3020791734344| -9.403 -20.469   |8.99     |F8                |0.0083  0.0    
2361|BD+17 1616                                                                                               |Star                           |07 35 16.3647423456 +16 58 53.065523928|202.2549533251332 +17.1567375782650| -7.847 -11.197   |10.10    |F8                |    ~     ~    
2362|HD 60487                                                                                                 |Star                           |07 35 24.4692274272 +17 22 59.395270872|201.8837173494189 +17.3484592840370|  -7.826 -8.973   |7.88     |G5                |    ~     ~    
2363|BD+17 1618                                                                                               |Star                           |07 35 27.8496238344 +17 17 50.160781392|201.9717505753060 +17.3261509111103|  7.375 -21.686   |9.32     |K5                |    ~     ~    
2364|BD+17 1619                                                                                               |Double or Multiple Star        |07 35 53.7591227232 +17 08 56.024833992|202.1575548940402 +17.3606667059263|       0.0 -0.4   |10.02    |A2                |    ~     ~    
2365|BD+17 1620a                                                                                              |Star                           |07 36 12.6651750384 +16 54 10.575396432|202.4251479542994 +17.3302130544814|   0.729 -2.805   |9.80     |K2                |    ~     ~    
2366|HD 61061                                                                                                 |Star                           |07 38 05.6835695760 +17 04 32.219814720|202.4499621158902 +17.8119614756183|  -8.373 -6.731   |8.33     |F5                |    ~     ~    
2367|BD+17 1629                                                                                               |Star                           |07 38 47.7391194384 +17 10 36.068191752|202.4234226624467 +18.0059216110179|  6.090 -21.987   |10.29    |K0                |    ~     ~    
2368|BD+17 1631                                                                                               |Star                           |07 39 37.6914309576 +17 26 00.114165384|202.2596592561389 +18.2907983463795|    9.472 4.651   |8.96     |K0                |    ~     ~    
2369|V* V346 Gem                                                                                              |Long-Period Variable           |07 41 05.8462545000 +16 52 24.006218340|202.9483496810352 +18.3881481557679|    0.160 8.226   |8.43     |K5                |    ~     ~    
2370|HD 59997                                                                                                 |Star                           |07 33 06.5536718832 +15 58 56.820112572|202.9866634291398 +16.2759327303583|  -6.822 -2.075   |7.88     |A0                |    ~     ~    
2371|BD+16 1509                                                                                               |Star                           |07 33 15.6248057112 +16 13 00.807825864|202.7793404452014 +16.4051644480571|  -3.161 -1.644   |9.92     |A5                |    ~     ~    
2372|BD+16 1513                                                                                               |Star                           |07 34 20.2801592112 +16 34 49.827940068|202.5430744678147 +16.7895346382952|  -4.547 -5.129   |10.30    |A5                |    ~     ~    
2373|BD+16 1522                                                                                               |High Proper Motion Star        |07 36 17.7687641544 +16 07 13.568454444|203.1822681285296 +17.0310277286707| 1.339 -106.129   |9.88     |G5                |    ~     ~    
2374|HD 60716                                                                                                 |Star                           |07 36 30.9346762512 +16 04 33.476454912|203.2472234953004 +17.0610103029050|   -2.223 0.359   |8.25     |G5                |    ~     ~    
2375|BD+16 1529                                                                                               |Star                           |07 38 23.5604455848 +16 34 47.947357380|202.9563293695632 +17.6772647643297|  -2.136 -3.391   |9.46     |A5                |    ~     ~    
2376|BD+16 1531                                                                                               |Emission-line Star             |07 38 55.3008981072 +16 05 47.168205396|203.4741511146596 +17.5972429812885|  4.214 -13.038   |8.80     |M0                |    ~     ~    
2377|HD 61253                                                                                                 |Star                           |07 39 03.3286900800 +16 10 32.499665220|203.4118478428761 +17.6587951156292|   -5.723 5.629   |9.43     |A                 |    ~     ~    
2378|BD+16 1536                                                                                               |Star                           |07 39 45.4921619760 +16 39 33.960562560|203.0187504581687 +18.0086094723890|  -12.499 1.822   |9.88     |G5                |    ~     ~    
2379|HD 61398                                                                                                 |Star                           |07 39 43.6769354040 +16 01 37.128889812|203.6233522095404 +17.7460164306257|  -0.193 -4.604   |8.58     |K0                |    ~     ~    
2380|BD+16 1540                                                                                               |Star                           |07 41 10.1447950848 +16 03 25.836487668|203.7419735139906 +18.0747453625298| -10.139 -4.776   |9.70     |K0                |    ~     ~    
2381|V* TX Gem                                                                                                |Eclipsing Binary               |07 36 00.8875998576 +16 54 29.242157976|202.4002891951830 +17.2893697177657|   -5.382 0.687   |10.47    |A2V               |    ~     ~    
2382|* 68 Gem                                                                                                 |Double or Multiple Star        |07 33 36.4815791 +15 49 35.978923      |203.1859693036 +16.3213012566      |  -28.64 -12.86   |5.263    |A1Vp              |    ~     ~    
2383|HD 60547                                                                                                 |High Proper Motion Star        |07 35 34.1673484800 +15 45 42.655473576|203.4495927716712 +16.7249862757340|-74.389 -57.767   |8.46     |F8                |    ~     ~    
2384|BD+16 1526                                                                                               |Star                           |07 37 10.5479398584 +15 44 01.862179188|203.6417007287594 +17.0661425287122|  -4.760 -9.117   |9.87     |F0                |    ~     ~    
2385|BD+16 1527                                                                                               |High Proper Motion Star        |07 37 52.5474827976 +15 44 08.304127116|203.7120614010916 +17.2205928811340|-28.521 -44.666   |9.52     |K0                |    ~     ~    
2386|* 67 Gem                                                                                                 |Star                           |07 33 24.6293977872 +15 38 20.872894128|203.3436596165668 +16.2008427000376| -14.838 -6.929   |6.63     |K0                |    ~     ~    
2387|HD 60354                                                                                                 |Star                           |07 34 40.3821687120 +15 39 14.708036340|203.4597427123210 +16.4840296688053|  -4.691 -6.146   |8.06     |K0                |    ~     ~    
2388|BD+15 1608                                                                                               |Star                           |07 35 53.9229316944 +15 34 41.373041052|203.6584615627194 +16.7219142941223|-12.630 -31.096   |9.48     |K0                |    ~     ~    
2389|HD 60677                                                                                                 |Star                           |07 36 17.3166500328 +15 35 32.019860724|203.6853029523965 +16.8133076270264| -12.519 -6.605   |9.20     |A3                |    ~     ~    
2390|HD 61456                                                                                                 |Star                           |07 40 00.7939940472 +15 36 46.224925236|204.0497271265660 +17.6401067980032|   0.829 -1.169   |9.51     |A                 |    ~     ~    
2391|BD+15 1622                                                                                               |Star                           |07 40 23.3372425848 +15 31 20.724694572|204.1751069940283 +17.6858201267899|   -2.483 1.889   |9.92     |A5                |    ~     ~    
2392|IRAS 07323+1619                                                                                          |Star                           |07 35 15.5589942648 +16 12 47.729883420|202.9875001005686 +16.8416069811539|    1.718 3.270   |9.50     |~                 |    ~     ~    
2393|IRAS 07333+1559                                                                                          |Star                           |07 36 14.1659330832 +15 52 26.927071248|203.4111533512942 +16.9172593650018|   3.735 -2.247   |9.83     |~                 |    ~     ~    
2394|HD 60848                                                                                                 |Be Star                        |07 37 05.7325392528 +16 54 15.300327852|202.5134966347476 +17.5242603797964|  -1.076 -1.876   |6.87     |O8:V:pe           |    ~     ~    
2395|TYC 1360-123-1                                                                                           |Star                           |07 35 37.2218569296 +16 22 47.116564536|202.8655040654520 +16.9885886095334| -9.217 -34.006   |10.65    |~                 |    ~     ~    
2396|TYC 1360-194-1                                                                                           |Star                           |07 34 39.8603976360 +16 29 32.681308200|202.6603949726235 +16.8250938833033| -2.146 -15.700   |10.93    |~                 |    ~     ~    
2397|TYC 1360-394-1                                                                                           |Star                           |07 34 49.4136448656 +15 47 19.870411812|203.3470766690947 +16.5723929304183| -14.310 -6.328   |10.80    |~                 |    ~     ~    
2398|TYC 1360-410-1                                                                                           |Star                           |07 34 59.7519656400 +15 59 52.692979452|203.1657055463953 +16.6958701473231|  -3.055 -5.451   |9.83     |~                 |    ~     ~    
2399|TYC 1360-458-1                                                                                           |Star                           |07 33 22.7543844960 +15 36 13.415004000|203.3740282093495 +16.1794051189770|  -9.782 -7.753   |9.81     |~                 |    ~     ~    
2400|TYC 1360-535-1                                                                                           |Star                           |07 34 08.9369171040 +16 44 10.809437964|202.3751355661722 +16.8115680582448|   -6.438 2.343   |10.63    |~                 |    ~     ~    
2401|TYC 1360-543-1                                                                                           |Star                           |07 33 29.1843672576 +16 51 53.612915256|202.1851471248760 +16.7189529743975|  -0.274 -3.630   |10.79    |~                 |    ~     ~    
2402|TYC 1360-570-1                                                                                           |Star                           |07 33 25.3400963280 +16 50 15.567279000|202.2046198056666 +16.6938751298479|   0.147 -1.579   |10.33    |~                 |    ~     ~    
2403|TYC 1360-636-1                                                                                           |Star                           |07 34 37.8701718792 +16 17 21.298855272|202.8507633595818 +16.7349917786725|   4.133 -1.855   |10.19    |~                 |    ~     ~    
2404|TYC 1360-704-1                                                                                           |Star                           |07 32 49.0015932936 +16 13 59.536036920|202.7183711231233 +16.3146737199106|   1.750 -1.358   |9.92     |~                 |    ~     ~    
2405|TYC 1360-725-1                                                                                           |Star                           |07 34 49.3928497392 +15 34 37.161787404|203.5485374573250 +16.4853024713789|-15.381 -12.442   |10.89    |~                 |    ~     ~    
2406|TYC 1360-726-1                                                                                           |Star                           |07 33 21.5484466992 +16 23 16.943272872|202.6265977472983 +16.4967822999431|  20.824 17.841   |10.39    |~                 |    ~     ~    
2407|TYC 1360-734-1                                                                                           |Star                           |07 33 06.1285128240 +16 14 33.919876464|202.7385303506745 +16.3810920016068|    0.224 0.016   |10.78    |~                 |    ~     ~    
2408|TYC 1360-765-1                                                                                           |Star                           |07 33 11.2719898896 +16 14 51.787344624|202.7425897706275 +16.4018962515569|  13.364 -7.626   |10.24    |~                 |    ~     ~    
2409|TYC 1360-766-1                                                                                           |High Proper Motion Star        |07 33 20.2358534568 +16 40 03.207920376|202.3581408639773 +16.6060407955871|23.665 -107.183   |10.94    |~                 |    ~     ~    
2410|TYC 1360-817-1                                                                                           |Star                           |07 32 00.6749786184 +16 34 03.344971764|202.3181367143266 +16.2752432342754|   2.172 -5.846   |10.94    |~                 |    ~     ~    
2411|TYC 1360-818-1                                                                                           |Star                           |07 33 06.1562724696 +16 16 05.702888604|202.7143314492581 +16.3916295737693|  0.066 -10.900   |10.60    |~                 |    ~     ~    
2412|TYC 1360-877-1                                                                                           |Star                           |07 33 34.1495672184 +16 19 41.861447976|202.7049434674528 +16.5183471783362|  -3.842 -5.327   |10.50    |~                 |    ~     ~    
2413|TYC 1360-889-1                                                                                           |Star                           |07 31 34.6622173032 +16 16 51.086966232|202.5461805435080 +16.0629788624626|  -0.589 -7.516   |10.93    |~                 |    ~     ~    
2414|TYC 1360-898-1                                                                                           |High Proper Motion Star        |07 31 17.1576177144 +16 35 38.956726896|202.2188937134297 +16.1275160165670|-85.069 -98.187   |10.53    |~                 |    ~     ~    
2415|TYC 1360-940-1                                                                                           |Star                           |07 33 14.0412974520 +16 17 43.591733160|202.7019192685019 +16.4315315013612|   6.764 -4.098   |10.04    |~                 |    ~     ~    
2416|TYC 1360-957-1                                                                                           |High Proper Motion Star        |07 31 22.0632137112 +15 55 59.900611188|202.8541704646765 +15.8741466652505|-15.638 -98.859   |10.17    |~                 |    ~     ~    
