C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
74  |TYC 4535-563-1                                                                                           |Star                           |07 32 18.0581423088 +80 11 30.721736256|133.9229101955044 +28.4380129239684| 20.723 -15.951   |10.63    |~                 |    ~     ~    
75  |BD+77 285                                                                                                |Star                           |07 30 07.2613034328 +77 37 03.367778160|136.8525939921651 +28.5180889009772|  6.671 -10.023   |10.37    |F5                |    ~     ~    
76  |HD 57644                                                                                                 |Star                           |07 31 12.0763376712 +76 57 16.688700900|137.6026837158911 +28.6132943610394|   -6.615 1.273   |7.30     |G5                |    ~     ~    
77  |BD+77 287                                                                                                |Star                           |07 31 53.0701757328 +77 02 45.310360416|137.4964285147662 +28.6466244954317|-13.076 -13.678   |9.61     |K2                |    ~     ~    
78  |BD+77 288                                                                                                |Star                           |07 32 36.9884645448 +77 37 46.016203080|136.8299430601069 +28.6508455669980|  -4.003 -2.990   |9.11     |K0                |    ~     ~    
79  |HD 57972                                                                                                 |Star                           |07 32 42.8563287120 +77 03 38.349967428|137.4765466912969 +28.6921526362401| 22.813 -17.061   |9.07     |G5                |    ~     ~    
80  |HD 58777                                                                                                 |Star                           |07 36 02.1689007360 +76 50 00.363180624|137.7209504136070 +28.8944621613399|  -7.671 30.534   |7.72     |K2                |    ~     ~    
81  |BD+77 291                                                                                                |Star                           |07 36 29.4917125416 +76 42 15.022263564|137.8660446863214 +28.9299011005423|  0.251 -10.234   |10.06    |K0                |    ~     ~    
82  |BD+76 277                                                                                                |High Proper Motion Star        |07 32 29.5879202784 +76 08 43.342926648|138.5193223858815 +28.7305245915686| 21.219 -48.115   |9.67     |G0                |    ~     ~    
83  |BD+76 278                                                                                                |Star                           |07 32 44.4845951328 +76 07 01.876449252|138.5505513455744 +28.7468331085566| -7.956 -22.717   |9.15     |K0                |    ~     ~    
84  |BD+76 272a                                                                                               |Star                           |07 33 47.0788792584 +76 24 20.998912320|138.2178475746830 +28.7926715061614|  -2.093 -1.584   |10.40    |K0                |    ~     ~    
85  |BD+77 292                                                                                                |Star                           |07 40 48.9948395616 +77 32 03.651196596|136.8964428685513 +29.0980318842678|-16.879 -12.552   |10.18    |K0                |    ~     ~    
86  |HD 57557                                                                                                 |Star                           |07 30 04.9190327784 +75 52 31.077667956|138.8342198696040 +28.5970058661784|   1.988 -0.549   |9.78     |A                 |    ~     ~    
87  |TYC 4531-552-1                                                                                           |Star                           |07 32 09.1867783224 +77 39 36.999592776|136.7967234159480 +28.6241114964438| -8.514 -36.367   |10.73    |~                 |    ~     ~    
88  |TYC 4531-595-1                                                                                           |Star                           |07 34 42.5052919488 +77 42 05.176047672|136.7390880977583 +28.7572087395306| 20.750 -40.755   |10.39    |~                 |    ~     ~    
89  |TYC 4531-708-1                                                                                           |Star                           |07 42 19.2328367160 +77 22 38.121186000|137.0657834943475 +29.1953586703445|    0.801 3.684   |10.77    |~                 |    ~     ~    
90  |GSC 04531-01566                                                                                          |Double or Multiple Star        |07 41 16.6702538760 +77 22 52.522315788|137.0679255704926 +29.1382919369099|    2.340 5.568   |10.742   |~                 |    ~     ~    
91  |HD 58357                                                                                                 |High Proper Motion Star        |07 33 36.3810210744 +76 01 11.717290740|138.6582020748660 +28.8039974883869|  -91.729 2.183   |9.09     |G                 |    ~     ~    
92  |HD 60404                                                                                                 |Star                           |07 43 05.1198454272 +76 45 36.573247980|137.7641679956117 +29.3018321671494|   5.219 24.952   |8.07     |F0                |    ~     ~    
93  |BD+76 281                                                                                                |Star                           |07 37 04.1426805024 +75 58 25.257902088|138.6961417871006 +29.0159237405062| -16.633 -4.811   |9.79     |F5                |    ~     ~    
94  |BD+76 282                                                                                                |Star                           |07 37 44.5252357656 +76 22 02.708330340|138.2437208684519 +29.0275911003412|  2.138 -22.495   |9.35     |K2                |    ~     ~    
95  |TYC 4527-320-1                                                                                           |Star                           |07 39 13.6033377840 +76 40 27.374630016|137.8858746173394 +29.0892063975571|  1.372 -16.314   |10.39    |F8                |    ~     ~    
96  |BD+76 285                                                                                                |Star                           |07 40 09.3892424016 +76 17 25.280755368|138.3185100797668 +29.1759822230276|  -26.536 4.317   |9.83     |F5                |    ~     ~    
97  |TYC 4527-1238-1                                                                                          |Star                           |07 40 41.9038325568 +76 43 18.951336912|137.8229735093092 +29.1693207010344|  -4.444 13.246   |10.52    |K0                |    ~     ~    
98  |BD+76 287                                                                                                |Star                           |07 42 41.3646633312 +76 33 57.112644564|137.9884687425137 +29.2986303458825|-20.330 -17.947   |10.11    |K0                |    ~     ~    
99  |HD 60315                                                                                                 |Star                           |07 42 20.0729799600 +76 16 17.728980852|138.3266501110582 +29.3062821815378|  26.568 -5.982   |8.94     |K0                |    ~     ~    
100 |HD 60544                                                                                                 |Star                           |07 43 37.0496560944 +76 24 10.966696092|138.1680897061017 +29.3688416599160| -12.274 -9.147   |9.60     |A2                |    ~     ~    
101 |BD+76 279                                                                                                |Star                           |07 32 31.9196590008 +75 47 22.939620216|138.9243332868319 +28.7504640679119|  14.971 -4.124   |9.91     |K0                |    ~     ~    
102 |BD+75 302                                                                                                |Star                           |07 30 33.5135753184 +75 12 48.875592600|139.5863626142554 +28.6506132313066|  -7.034 16.487   |9.52     |F5                |    ~     ~    
103 |BD+75 303                                                                                                |Star                           |07 30 57.1426747296 +75 31 21.854051076|139.2332477470038 +28.6642555621329|  -2.914 -4.388   |10.24    |K2                |    ~     ~    
104 |HD 58070                                                                                                 |Double or Multiple Star        |07 32 01.91842 +75 20 00.5196          |139.44575266 +28.73966938          |   -0.80 -12.22   |8.30     |A2                |    ~     ~    
105 |BD+75 306                                                                                                |Star                           |07 33 08.4536354544 +75 42 27.033435036|139.0159108361556 +28.7918994533644|   3.690 -0.406   |10.12    |A2                |    ~     ~    
106 |BD+75 307                                                                                                |Star                           |07 34 05.3090868552 +75 27 22.367673036|139.2989920917835 +28.8634877880671|   3.659 -3.543   |10.21    |G5                |    ~     ~    
107 |BD+75 308                                                                                                |Star                           |07 34 17.3234810160 +75 23 48.836617368|139.3658962452693 +28.8791157592067|  -2.711 -0.770   |10.39    |G5                |    ~     ~    
108 |BD+76 283                                                                                                |Star                           |07 37 26.8315083600 +75 49 45.393552948|138.8590896413919 +29.0488650130833|  3.702 -41.856   |10.50    |F0                |    ~     ~    
109 |TYC 4527-1983-1                                                                                          |Star                           |07 40 03.1254333888 +76 06 02.477982456|138.5355795501038 +29.1857110444009|-23.318 -23.949   |10.79    |~                 |    ~     ~    
110 |TYC 4527-438-1                                                                                           |Star                           |07 42 30.5020469736 +76 05 04.156383804|138.5391827281396 +29.3341572856788|   -0.571 3.947   |10.24    |A5                |    ~     ~    
111 |BD+76 290                                                                                                |High Proper Motion Star        |07 43 28.1960456808 +75 57 47.440434096|138.6714503144866 +29.4034394935539|-47.253 -95.848   |9.14     |K0                |    ~     ~    
112 |HD 60843                                                                                                 |Star                           |07 44 46.1607350568 +76 04 33.159683748|138.5337234871146 +29.4703234139348|  -3.489 -9.164   |7.97     |K0                |    ~     ~    
113 |V* Y Cam                                                                                                 |Eclipsing Binary               |07 41 11.0049122280 +76 04 26.089274892|138.5595111980373 +29.2557488184970|   3.474 -5.992   |10.60    |A9IV+K1IV         |    ~     ~    
114 |HD 58984                                                                                                 |Star                           |07 35 51.6805878648 +75 06 27.341625672|139.6898800963928 +28.9945287094585|  -1.220 -2.207   |9.27     |G5                |    ~     ~    
115 |HD 59641                                                                                                 |High Proper Motion Star        |07 39 02.4847787736 +75 47 10.408946028|138.9001421233904 +29.1494389357464|-34.061 -127.348  |7.76     |F5                |    ~     ~    
116 |AG+75 354                                                                                                |Long-Period Variable Candidate |07 43 41.7745885320 +75 52 32.050138080|138.7700374917005 +29.4255668550948|  -3.071 -4.179   |8.64     |M1                |    ~     ~    
117 |BD+75 310                                                                                                |Star                           |07 38 21.2759673408 +75 18 41.402603592|139.4458036606708 +29.1407639001003|  17.720 -5.158   |10.36    |A5                |    ~     ~    
118 |BD+75 311                                                                                                |Star                           |07 39 19.4353693872 +75 13 19.882264692|139.5429286196072 +29.2084614121693| -6.709 -11.424   |10.54    |G5                |    ~     ~    
119 |HD 60405                                                                                                 |High Proper Motion Star        |07 42 14.8233449136 +75 33 51.142986972|139.1353048601990 +29.3651087065742|-40.834 -80.957   |7.26     |G5                |    ~     ~    
120 |TYC 4527-2058-1                                                                                          |Star                           |07 44 43.2728799624 +75 27 45.513451332|139.2351299654466 +29.5285080024580|  -7.281 -0.487   |10.83    |F8                |    ~     ~    
121 |TYC 4373-296-1                                                                                           |Star                           |07 43 53.8681456800 +74 41 15.829509372|140.1276486667526 +29.5462488086510|-15.409 -25.388   |10.77    |~                 |    ~     ~    
122 |GSC 04373-01068                                                                                          |Double or Multiple Star        |07 41 32.449992 +74 48 43.60428        |139.999695193 +29.381685269        |      -2.2 11.4   |10.813   |~                 |    ~     ~    
123 |TYC 4527-53-1                                                                                            |Spectroscopic Binary           |07 44 25.0256217768 +75 59 57.982496244|138.6235419792032 +29.4569555270459|   6.354 -1.817   |10.86    |~                 |    ~     ~    
124 |TYC 4527-1619-1                                                                                          |Star                           |07 36 33.8632282488 +75 35 26.703873024|139.1354076345513 +29.0102766757258|   -6.265 1.662   |10.77    |~                 |    ~     ~    
125 |TYC 4527-1739-1                                                                                          |Star                           |07 34 36.7581882624 +75 07 42.573802728|139.6708760889919 +28.9133600279885|-15.099 -17.363   |10.84    |~                 |    ~     ~    
126 |TYC 4531-917-1                                                                                           |Star                           |07 43 47.7008356392 +77 11 52.543200300|137.2601544343363 +29.2952344999317|  4.347 -32.500   |10.41    |~                 |    ~     ~    
127 |TYC 4531-1976-1                                                                                          |Star                           |07 44 47.1400490064 +77 13 24.724531092|137.2239427568583 +29.3468535170542|  -3.992 -1.063   |10.71    |~                 |    ~     ~    
128 |HD 58381                                                                                                 |Star                           |07 31 38.7758636904 +71 49 15.108588696|143.4527400974327 +28.7957427961718|-16.185 -34.421   |8.26     |G5                |    ~     ~    
129 |HD 57810                                                                                                 |Star                           |07 30 37.5492178200 +74 47 55.623459264|140.0586650707492 +28.6682859486743| -13.967 -8.004   |7.79     |G5                |    ~     ~    
130 |BD+74 325                                                                                                |Spectroscopic Binary           |07 32 25.9823091960 +74 40 19.048518012|140.1986690496948 +28.7914181141165|  0.525 -13.836   |9.59     |F5                |    ~     ~    
131 |HD 58358                                                                                                 |Star                           |07 32 42.0773134656 +74 19 33.242547108|140.5926187519262 +28.8216585627369|-14.447 -34.905   |9.06     |G0                |    ~     ~    
132 |HD 58710                                                                                                 |Star                           |07 34 10.9406397240 +74 21 34.815987144|140.5497669588080 +28.9202369272831|  -1.315 23.449   |8.04     |F2                |    ~     ~    
133 |BD+74 328                                                                                                |Star                           |07 34 23.2807495896 +74 31 25.860359208|140.3616917196356 +28.9270644815134|  0.284 -11.742   |9.36     |G5                |    ~     ~    
134 |HD 60770                                                                                                 |High Proper Motion Star        |07 43 33.0108345888 +74 22 21.221145840|140.4908959133109 +29.5493669468870| 30.904 -40.464   |9.23     |G5                |    ~     ~    
