C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
2118|CD-39 1941                                                                                                                                  |Star                                  |05 23 38.3845432584 -39 08 15.264063060|243.7725716631594 -33.0819866223149|  10.356 -6.263   |10.304   |~                |    ~     ~          |    1|  692.521   pc  | -19.6200    +19.6200    |ST-L    |2020AJ....160...83S
2119|CD-39 1962                                                                                                                                  |Star                                  |05 25 13.2574835808 -39 41 21.828249744|244.4827839849820 -32.8750358368359|  -3.687 -6.294   |10.519   |~                |    ~     ~          |    1|  819.582   pc  | -30.9700    +30.9700    |ST-L    |2020AJ....160...83S
2120|CD-39 1968                                                                                                                                  |Star                                  |05 25 36.6889905648 -39 06 13.386701844|243.8121105199571 -32.6995012455265|  -7.202 -9.917   |10.790   |~                |    ~     ~          |    1|  893.643   pc  | -40.2800    +40.2800    |ST-L    |2020AJ....160...83S
2121|CD-39 1969                                                                                                                                  |Star                                  |05 25 37.5089717592 -39 24 07.801743780|244.1619488865396 -32.7490872106275|   7.582 -9.443   |10.644   |~                |    ~     ~          |    1|  235.429   pc  |  -2.7220     +2.7220    |ST-L    |2020AJ....160...83S
2122|TYC 7588-948-1                                                                                                                              |Star                                  |05 19 57.7693531248 -39 46 01.565233644|244.3779383796089 -33.8852094385309|  11.157 13.106   |10.77    |~                |    ~     ~          |    1|  729.448   pc  |  -5.6402     +5.6402    |paral   |2020yCat.1350....0G
2123|TYC 7588-1032-1                                                                                                                             |Star                                  |05 19 04.5115970544 -39 30 30.691885356|244.0378870037410 -34.0136372847299| 20.318 -25.101   |10.87    |~                |    ~     ~          |    1|  362.858   pc  |  -7.6630     +7.6630    |paral   |2020yCat.1350....0G
2124|CD-40 1804                                                                                                                                  |Star                                  |05 16 14.7923 -39 58 31.271            |244.4976509 -34.6214243            | -8.685 -23.920   |10.81    |~                |    ~     ~          |    1|  301.365   pc  |  -4.5980     +4.5980    |ST-L    |2020AJ....160...83S
2125|TYC 7588-1960-1                                                                                                                             |High Proper Motion Star               |05 16 02.4123049992 -39 31 33.166401960|243.9503852287773 -34.5947376008658|  55.258 20.066   |10.62    |~                |    ~     ~          |    1|  203.824   pc  |  -0.5775     +0.5775    |paral   |2020yCat.1350....0G
2126|TYC 7588-2527-1                                                                                                                             |Star                                  |05 17 38.6107906680 -39 14 11.711658084|243.6611386421117 -34.2443900576901|  -9.927 -1.718   |10.94    |~                |    ~     ~          |    1|  301.605   pc  |  -0.9006     +0.9006    |paral   |2020yCat.1350....0G
2127|TYC 7591-1800-1                                                                                                                             |Star                                  |05 18 29.5118487912 -40 30 16.020830952|245.2073529764708 -34.2735353226158|   -5.367 0.098   |10.38    |~                |    ~     ~          |    1|  812.414   pc  |  -6.7322     +6.7322    |paral   |2020yCat.1350....0G
2128|TYC 7595-592-1                                                                                                                              |Spectroscopic Binary                  |05 24 02.8140210792 -39 19 27.784454484|244.0082692986247 -33.0362363171215|   7.205 22.639   |10.835   |~                |    ~     ~          |    1|  314.574   pc  |  -5.5830     +5.5830    |ST-L    |2020AJ....160...83S
2129|TYC 7595-1284-1                                                                                                                             |Star                                  |05 20 29.7122912688 -39 01 47.350699032|243.5223181281916 -33.6653384461271|   0.486 -2.603   |10.923   |~                |    ~     ~          |    1|  898.033   pc  | -44.4200    +44.4200    |ST-L    |2020AJ....160...83S
2130|TYC 7599-109-1                                                                                                                              |Spectroscopic Binary                  |05 23 43.6491788472 -40 41 45.888810900|245.6135303954214 -33.3193694587333|    9.905 3.971   |10.92    |~                |    ~     ~          |    1|  468.551   pc  | -10.0000    +10.0000    |ST-L    |2020AJ....160...83S
2131|TYC 7599-134-1                                                                                                                              |Star                                  |05 23 08.3333199696 -39 59 58.476957180|244.7692739244203 -33.3203736219417|   6.607 -7.626   |10.87    |~                |    ~     ~          |    1|  505.306   pc  |  -3.4470     +3.4470    |paral   |2020yCat.1350....0G
2132|TYC 7599-187-1                                                                                                                              |Star                                  |05 23 16.8691986120 -40 27 45.536789268|245.3217485371540 -33.3668765199787|   15.497 4.582   |10.931   |~                |    ~     ~          |    1|  352.294   pc  |  -5.9410     +5.9410    |ST-L    |2020AJ....160...83S
2133|TYC 7599-340-1                                                                                                                              |Star                                  |05 23 10.3417729848 -39 23 41.612540748|244.0571415232175 -33.2147634532016|  20.116 45.334   |10.53    |~                |    ~     ~          |    1|  179.772   pc  |  -1.5230     +1.5230    |ST-L    |2020AJ....160...83S
2134|TYC 7599-370-1                                                                                                                              |Spectroscopic Binary                  |05 20 38.1829036272 -39 23 23.169604524|243.9544332856560 -33.6972015768202|   16.876 4.350   |10.64    |~                |    ~     ~          |    1|  293.100   pc  |  -6.9585     +6.9585    |paral   |2020yCat.1350....0G
2135|TYC 7599-912-1                                                                                                                              |Star                                  |05 20 26.6550171000 -39 53 49.486310988|244.5498482827052 -33.8141250373690|  0.116 -10.291   |10.69    |~                |    ~     ~          |    1|  215.466   pc  |  -0.5293     +0.5293    |paral   |2020yCat.1350....0G
2136|TYC 7599-1126-1                                                                                                                             |Star                                  |05 23 45.4329854136 -39 35 04.683288444|244.3031824878647 -33.1352372344667|  -7.632 -0.872   |10.78    |~                |    ~     ~          |    1|  492.514   pc  |  -2.5712     +2.5712    |paral   |2020yCat.1350....0G
2137|GEN# -0.04001814                                                                                                                            |Star                                  |05 16 56.0 -40 36 00                   |245.2714 -34.5801                  |            ~ ~   |10.890   |~                |    ~     ~          |    0|                |                         |        |                   
2138|HD 34407                                                                                                                                    |Star                                  |05 15 05.8843741632 -42 24 13.594823568|247.3998737177498 -35.1473387146266|  -1.147 -5.533   |9.53     |K1III            |    ~     ~          |    1|  792.129   pc  | -30.8300    +30.8300    |ST-L    |2020AJ....160...83S
2139|HD 34420                                                                                                                                    |Star                                  |05 15 12.6998029752 -42 36 55.928660904|247.6600968198213 -35.1500642220704|   7.110 11.741   |9.07     |K0III            |    ~     ~          |    1|  461.178   pc  |  -9.4310     +9.4310    |ST-L    |2020AJ....160...83S
2140|HD 34505                                                                                                                                    |Spectroscopic Binary                  |05 15 49.5586613256 -42 50 56.602916232|247.9589174485547 -35.0634785389345|   15.969 3.944   |8.67     |F8V              |    ~     ~          |    1|  121.217   pc  |  -0.8166     +0.8166    |ST-L    |2020AJ....160...83S
2141|HD 34421                                                                                                                                    |Star                                  |05 15 05.4965657856 -43 43 08.568451560|249.0008908119621 -35.2856113150147| 12.141 -16.494   |8.72     |K0/1III+(G)      |    ~     ~          |    1|  575.440   pc  |  -4.4372     +4.4372    |paral   |2020yCat.1350....0G
2142|HD 273332B                                                                                                                                  |Star                                  |05 16 16.1374574232 -43 56 20.886115416|249.2940139812437 -35.0955041100208|   4.609 -7.533   |10.3     |~                |    ~     ~          |    1|  250.056   pc  |  -1.2693     +1.2693    |paral   |2020yCat.1350....0G
2143|HD 273217                                                                                                                                   |Star                                  |05 15 03.2443360152 -41 57 08.535083328|246.8504726210938 -35.1035587585772|   5.118 13.997   |10.882   |G5               |    ~     ~          |    1|  705.285   pc  | -24.0800    +24.0800    |ST-L    |2020AJ....160...83S
2144|HD 273216                                                                                                                                   |High Proper Motion Star               |05 15 03.2962457016 -41 54 13.956810264|246.7916359933784 -35.0976817971638|-47.039 -37.263   |10.44    |K0               |    ~     ~          |    1|   99.962   pc  |  -0.4856     +0.4856    |ST-L    |2020AJ....160...83S
2145|HD 273263                                                                                                                                   |Star                                  |05 15 08.0038434336 -43 52 51.161363292|249.1991328751175 -35.2935230076414|   1.055 -3.177   |10.320   |K5               |    ~     ~          |    1|  704.193   pc  | -24.5900    +24.5900    |ST-L    |2020AJ....160...83S
2146|HD 273265                                                                                                                                   |Star                                  |05 15 29.6669551248 -44 01 43.493635596|249.3869197641954 -35.2427219957252|    8.891 0.290   |10.62    |K2               |    ~     ~          |    1|  720.929   pc  |  -5.8730     +5.8730    |paral   |2020yCat.1350....0G
2147|HD 273331                                                                                                                                   |Star                                  |05 16 05.4472085280 -43 50 13.345660356|249.1659942047432 -35.1175324212430|  14.284 -1.430   |10.01    |K0               |    ~     ~          |    1| 1025.431   pc  | -11.4614    +11.4614    |paral   |2020yCat.1350....0G
2148|HD 273313                                                                                                                                   |Star                                  |05 16 20.6027932176 -42 50 19.473296604|247.9590885034151 -34.9680785015133|  -0.093 -2.960   |9.90     |K7               |    ~     ~          |    1| 1148.237   pc  | -17.0080    +17.0080    |paral   |2020yCat.1350....0G
2149|HD 273215                                                                                                                                   |Star                                  |05 15 11.5565604552 -41 52 28.067580156|246.7596571840050 -35.0687535200322|   -3.078 2.606   |10.925   |A5               |    ~     ~          |    1|  553.458   pc  | -16.0000    +16.0000    |ST-L    |2020AJ....160...83S
2150|HD 273222                                                                                                                                   |Star                                  |05 15 22.1768606424 -42 12 27.154961100|247.1685329545582 -35.0751282822640|  29.203 15.206   |10.97    |G5               |    ~     ~          |    1|  172.885   pc  |  -0.3318     +0.3318    |paral   |2020yCat.1350....0G
2151|HD 273233                                                                                                                                   |Star                                  |05 15 15.1062153216 -42 58 33.463755228|248.0993911520767 -35.1816204572658|  13.122 -4.765   |10.676   |G5               |    ~     ~          |    1|  284.926   pc  |  -6.3530     +6.3530    |ST-L    |2020AJ....160...83S
2152|HD 273293                                                                                                                                   |Star                                  |05 15 41.6986659408 -42 19 48.282346848|247.3256815313277 -35.0294321650250| 25.103 -24.837   |10.99    |K0               |    ~     ~          |    1|  216.146   pc  |  -2.0190     +2.0190    |ST-L    |2020AJ....160...83S
2153|HD 273560                                                                                                                                   |Spectroscopic Binary                  |05 15 01.5705405360 -44 15 07.118072964|249.6498534598061 -35.3468106864907| 28.272 -11.180   |10.33    |K0               |    ~     ~          |    1|  508.569   pc  |  -5.0694     +5.0694    |paral   |2020yCat.1350....0G
2154|HD 34727                                                                                                                                    |Star                                  |05 17 32.3184332424 -41 50 46.023312408|246.7903904721385 -34.6317469536605|   -1.400 8.652   |10.04    |A5V              |    ~     ~          |    1|  369.467   pc  |  -3.7812     +3.7812    |paral   |2020yCat.1350....0G
2155|HD 34599                                                                                                                                    |High Proper Motion Star               |05 16 35.0696160120 -42 30 51.845658588|247.5720928182736 -34.8875202238053|  14.992 92.245   |8.28     |G3V              |    ~     ~          |    1|   50.176   pc  |  -0.0380     +0.0380    |paral   |2020yCat.1350....0G
2156|HD 34646                                                                                                                                    |Star                                  |05 17 00.6917154744 -42 13 11.156571012|247.2268865064141 -34.7746494725221|  15.836 20.970   |9.66     |F5V              |    ~     ~          |    1|  221.750   pc  |  -2.4400     +2.4400    |ST-L    |2020AJ....160...83S
2157|HD 273306                                                                                                                                   |High Proper Motion Star               |05 17 23.2442826336 -42 41 29.770286712|247.8072028263444 -34.7611104655897|  18.983 59.406   |10.02    |G0               |    ~     ~          |    1|  181.799   pc  |  -1.7560     +1.7560    |ST-L    |2020AJ....160...83S
2158|HD 273303                                                                                                                                   |Star                                  |05 17 37.2011093760 -42 24 45.385207560|247.4761738344769 -34.6859533823758|   0.286 -0.539   |9.92     |K0               |    ~     ~          |    1|  660.808   pc  | -27.2480    +27.2480    |paral   |2020yCat.1350....0G
2159|HD 34999                                                                                                                                    |High Proper Motion Star               |05 19 33.8537400240 -42 09 18.148959468|247.2196898078096 -34.2974210387582|-17.205 -49.775   |9.45     |G2V              |    ~     ~          |    1|   90.932   pc  |  -0.3998     +0.3998    |ST-L    |2020AJ....160...83S
2160|HD 274041                                                                                                                                   |Star                                  |05 20 13.8385471920 -42 49 43.696508952|248.0472185195555 -34.2590524319785|   1.781 11.259   |10.212   |F0               |    ~     ~          |    1|  575.303   pc  | -17.7200    +17.7200    |ST-L    |2020AJ....160...83S
2161|HD 35138                                                                                                                                    |High Proper Motion Star               |05 20 32.7769679160 -42 44 13.056966996|247.9455045001293 -34.1903755846266|-47.617 -24.596   |8.76     |F5V              |    ~     ~          |    1|   77.674   pc  |  -0.0869     +0.0869    |paral   |2020yCat.1350....0G
2162|HD 274027                                                                                                                                   |Star                                  |05 21 39.8721512688 -42 22 44.470388460|247.5483041032868 -33.9408571351315|  18.569 22.428   |9.90     |K0               |    ~     ~          |    1|  337.061   pc  |  -5.6360     +5.6360    |ST-L    |2020AJ....160...83S
2163|HD 274113                                                                                                                                   |Star                                  |05 22 19.8942605136 -42 49 22.514175552|248.0977245838407 -33.8760691921960|  24.219 43.409   |10.077   |F8               |    ~     ~          |    1|  182.287   pc  |  -1.6430     +1.6430    |ST-L    |2020AJ....160...83S
2164|HD 274105                                                                                                                                   |Star                                  |05 22 48.5196609312 -42 17 03.512764176|247.4688923404164 -33.7187535920895| 40.614 -20.263   |9.76     |G0               |    ~     ~          |    1|  189.100   pc  |  -1.6950     +1.6950    |ST-L    |2020AJ....160...83S
2165|HD 35471                                                                                                                                    |High Proper Motion Star               |05 22 53.5990257816 -42 19 13.915003872|247.5145670054567 -33.7080943279470|-43.905 199.790   |8.68     |G5V              |    ~     ~          |    1|   66.800   pc  |  -0.2868     +0.2868    |ST-L    |2020AJ....160...83S
2166|HD 274102                                                                                                                                   |Star                                  |05 24 03.5348000808 -42 27 15.359780304|247.7084802508050 -33.5128314788663|  -4.365 -0.452   |9.70     |K0               |    ~     ~          |    1|  618.314   pc  |  -4.5495     +4.5495    |paral   |2020yCat.1350....0G
2167|HD 35725                                                                                                                                    |Star                                  |05 24 42.3711070608 -42 39 06.046833636|247.9622696547715 -33.4214009535436|  16.802 30.658   |9.63     |F5V              |    ~     ~          |    1|  275.359   pc  |  -3.5150     +3.5150    |ST-L    |2020AJ....160...83S
2168|HD 35739                                                                                                                                    |Spectroscopic Binary                  |05 24 48.5354224152 -42 26 23.694201528|247.7140715817873 -33.3738091111897|   10.675 6.956   |8.25     |K1III            |    ~     ~          |    1|  575.209   pc  | -12.2089    +12.2089    |paral   |2020yCat.1350....0G
2169|HD 274175                                                                                                                                   |High Proper Motion Star               |05 25 34.7901861000 -42 37 18.524737596|247.9530484708779 -33.2581521421932|-1.130 -114.099   |10.28    |F8               |    ~     ~          |    1|  198.094   pc  |  -2.0130     +2.0130    |ST-L    |2020AJ....160...83S
2170|HD 273329                                                                                                                                   |Star                                  |05 17 25.5559075488 -43 44 51.725458248|249.0868839460142 -34.8688652273230|   5.701 -3.052   |9.77     |G5               |    ~     ~          |    1|  613.271   pc  |  -4.3628     +4.3628    |paral   |2020yCat.1350....0G
2171|HD 34781                                                                                                                                    |High Proper Motion Star               |05 17 44.9886086712 -43 36 12.637395720|248.9195608688714 -34.7956709662421|-31.322 116.146   |7.64     |F5/6V            |    ~     ~          |    1|   84.762   pc  |  -0.1810     +0.1810    |paral   |2020yCat.1350....0G
2172|HD 34829                                                                                                                                    |Star                                  |05 18 03.8486036832 -43 48 16.327421136|249.1701796851733 -34.7601196770312|    1.314 4.807   |8.78     |F2/3V            |    ~     ~          |    1|  301.114   pc  |  -9.8377     +9.8377    |paral   |2020yCat.1350....0G
2173|HD 34837                                                                                                                                    |Star                                  |05 18 14.4663416904 -43 05 53.621363976|248.3202425280107 -34.6519744324972| -1.135 -10.540   |8.97     |A4V              |    ~     ~          |    1|  308.463   pc  |  -5.7250     +5.7250    |ST-L    |2020AJ....160...83S
2174|HD 34961                                                                                                                                    |Star                                  |05 19 08.0512557600 -43 35 29.269920912|248.9375946715478 -34.5451782621422|  4.580 -14.606   |8.92     |K1/2III          |    ~     ~          |    1|  682.175   pc  |  -6.6547     +6.6547    |paral   |2020yCat.1350....0G
2175|HD 274067                                                                                                                                   |High Proper Motion Star               |05 19 25.7891 -43 44 00.108            |249.1158557 -34.5074250            |      32.7 57.6   |10.29    |K0               |    ~     ~          |    1|  156.182   pc  |  -1.2290     +1.2290    |ST-L    |2020AJ....160...83S
2176|V* WW Pic                                                                                                                                   |Mira Variable                         |05 20 36.9438101256 -43 32 02.237354988|248.9045357538145 -34.2720557051876|  17.769 41.478   |6.609    |M3/4III          |    ~     ~          |    1|  373.399   pc  |  -3.6530     +3.6530    |paral   |2020yCat.1350....0G
2177|HD 274064                                                                                                                                   |Star                                  |05 20 44.2637161344 -43 46 56.205931080|249.2061429933188 -34.2780426544633|   -5.758 4.003   |10.10    |F5               |    ~     ~          |    1|  281.136   pc  |  -0.8773     +0.8773    |paral   |2020yCat.1350....0G
2178|HD 35210                                                                                                                                    |Star                                  |05 20 57.5236853328 -43 29 16.913961816|248.8579591788396 -34.2050199352358|   5.829 12.722   |8.67     |K3III            |    ~     ~          |    1|  561.073   pc  |  -4.5961     +4.5961    |paral   |2020yCat.1350....0G
2179|HD 35631                                                                                                                                    |Star                                  |05 23 58.7602533840 -43 42 14.360845248|249.1942906150815 -33.6874430244224|  -8.199 15.796   |9.854    |A9V              |    ~     ~          |    1|  234.621   pc  |  -2.8260     +2.8260    |ST-L    |2020AJ....160...83S
2180|HD 35678                                                                                                                                    |Star                                  |05 24 16.1429146176 -43 36 31.775916276|249.0884906103457 -33.6238340199724|   15.215 1.269   |7.63     |M1III            |    ~     ~          |    1|  410.021   pc  |  -2.4377     +2.4377    |paral   |2020yCat.1350....0G
2181|CD-43 1834                                                                                                                                  |Long-Period Variable Candidate        |05 24 59.9172731496 -43 08 48.945112440|248.5589516965476 -33.4339225860880|  -2.676 -8.597   |8.46     |M3/4II/III       |    ~     ~          |    1|  776.458   pc  | -10.1888    +10.1888    |paral   |2020yCat.1350....0G
2182|HD 35903                                                                                                                                    |Star                                  |05 25 50.2509911496 -43 03 43.529991876|248.4824062077556 -33.2709646104793| -5.530 -17.628   |8.23     |A3V              |    ~     ~          |    1|  214.740   pc  |  -0.8254     +0.8254    |paral   |2020yCat.1350....0G
2183|HD 274359                                                                                                                                   |High Proper Motion Star               |05 22 26.3136101760 -43 56 44.721212712|249.4440618450148 -33.9918126920194| -44.988 45.357   |10.11    |G5               |    ~     ~          |    1|  117.212   pc  |  -0.6995     +0.6995    |ST-L    |2020AJ....160...83S
2184|HD 35288                                                                                                                                    |Star                                  |05 21 29.8618104480 -44 22 24.443922612|249.9349889700337 -34.2066230010545| -20.784 11.757   |7.77     |A2IV             |    ~     ~          |    1|  137.078   pc  |  -0.3457     +0.3457    |paral   |2020yCat.1350....0G
2185|HD 35374                                                                                                                                    |Star                                  |05 22 08.6161101168 -44 12 44.498861100|249.7565926702008 -34.0742986793412|    1.500 0.171   |9.76     |A9V              |    ~     ~          |    1|  384.784   pc  |  -7.6620     +7.6620    |ST-L    |2020AJ....160...83S
2186|HD 274446                                                                                                                                   |Star                                  |05 24 28.3115420760 -44 22 45.874127640|250.0128605022349 -33.6790788544708|-32.612 -26.773   |9.934    |F5               |    ~     ~          |    1|  204.072   pc  |  -2.2570     +2.2570    |ST-L    |2020AJ....160...83S
2187|HD 35765                                                                                                                                    |Star                                  |05 24 55.5765375096 -44 13 32.477293632|249.8408215171626 -33.5804835303570|   -2.807 6.966   |6.084    |K1III            |    ~     ~          |    1|  148.441   pc  |  -0.6478     +0.6478    |paral   |2020yCat.1350....0G
2188|HD 35797                                                                                                                                    |Double or Multiple Star               |05 25 03.3778305914 -44 29 13.430203998|250.1556858652524 -33.5877903732418| -9.539 -17.617   |8.90     |G0V              |    ~     ~          |    1|   98.3623  pc  |  -3.2673     +3.2673    |paral   |2018yCat.1345....0G
2189|HD 35843                                                                                                                                    |High Proper Motion Star               |05 25 23.7977745336 -44 25 50.916713052|250.0970728242230 -33.5209585723820|-43.937 -110.240  |9.769    |G5V              |    ~     ~          |    1|   69.635   pc  |  -0.2427     +0.2427    |ST-L    |2020AJ....160...83S
2190|HD 35917                                                                                                                                    |Star                                  |05 25 54.0763461648 -44 09 07.474320000|249.7782012996694 -33.3981675812002|  11.155 14.387   |9.738    |F5V              |    ~     ~          |    1|  175.675   pc  |  -1.4040     +1.4040    |ST-L    |2020AJ....160...83S
2191|HD 274360                                                                                                                                   |Star                                  |05 21 58.0139697768 -43 57 53.266441932|249.4553009835225 -34.0783068924422|   5.526 -7.502   |10.82    |K2               |    ~     ~          |    1|  914.069   pc  | -31.2400    +31.2400    |ST-L    |2020AJ....160...83S
2192|HD 273632                                                                                                                                   |Star                                  |05 17 59.1809960424 -44 09 01.284600240|249.5873548863337 -34.8090602939810|  12.157 -0.845   |9.95     |K5               |    ~     ~          |    1| 1297.522   pc  | -20.7078    +20.7078    |paral   |2020yCat.1350....0G
2193|HD 273310                                                                                                                                   |Star                                  |05 18 18.2949169056 -42 57 33.328664856|248.1540272560216 -34.6246456791666|  -5.001 -6.959   |10.873   |F0               |    ~     ~          |    1|  646.442   pc  | -20.9500    +20.9500    |ST-L    |2020AJ....160...83S
2194|HD 273309                                                                                                                                   |Star                                  |05 18 33.9115529640 -42 51 37.359663732|248.0413721611241 -34.5659199027106|  23.458 30.984   |9.56     |G5               |    ~     ~          |    1| 1496.558   pc  | -28.2200    +28.2200    |paral   |2020yCat.1350....0G
2195|HD 273323                                                                                                                                   |Star                                  |05 18 37.5457946040 -43 30 58.318686360|248.8345531970153 -34.6285692805915|    6.129 0.072   |10.98    |K2               |    ~     ~          |    1| 1306.506   pc  | -18.7765    +18.7765    |paral   |2020yCat.1350....0G
2196|HD 273634                                                                                                                                   |Star                                  |05 18 37.6728676968 -44 15 20.428092756|249.7288129346935 -34.7051174617742|    2.208 0.686   |10.76    |K5               |    ~     ~          |    1| 1643.655   pc  | -30.2580    +30.2580    |paral   |2020yCat.1350....0G
2197|HD 274037                                                                                                                                   |Spectroscopic Binary                  |05 19 37.3199562048 -42 38 26.050667964|247.8046310932464 -34.3471755692429|   34.925 1.171   |10.835   |G5               |    ~     ~          |    1|  117.300   pc  |  -0.6522     +0.6522    |ST-L    |2020AJ....160...83S
2198|HD 274056                                                                                                                                   |Star                                  |05 21 13.2462128952 -43 23 15.777489984|248.7442020139972 -34.1461248252609|   -2.052 1.345   |10.808   |K2               |    ~     ~          |    1|  951.610   pc  | -33.6900    +33.6900    |ST-L    |2020AJ....160...83S
2199|HD 274106                                                                                                                                   |Spectroscopic Binary                  |05 22 22.2923027208 -42 14 48.017883084|247.4110238261719 -33.7938668585366|  -5.137 -3.111   |10.298   |K5               |    ~     ~          |    1| 1330.710   pc  | -84.3400    +84.3400    |ST-L    |2020AJ....160...83S
2200|HD 274112                                                                                                                                   |Star                                  |05 22 22.9529082456 -42 47 34.257107256|248.0632284767560 -33.8629803161890|    7.667 3.858   |10.367   |K0               |    ~     ~          |    1|  725.317   pc  | -23.4200    +23.4200    |ST-L    |2020AJ....160...83S
2201|HD 274125                                                                                                                                   |Star                                  |05 22 45.0452941032 -43 32 06.322264296|248.9603750640381 -33.8878769099603| -29.124 10.983   |10.30    |G5               |    ~     ~          |    1|  137.600   pc  |  -0.9926     +0.9926    |ST-L    |2020AJ....160...83S
2202|HD 274444                                                                                                                                   |Star                                  |05 23 10.8744277920 -44 12 51.683469156|249.7839680025088 -33.8897474990299|    8.077 4.794   |10.534   |K2               |    ~     ~          |    1|  828.791   pc  | -33.7700    +33.7700    |ST-L    |2020AJ....160...83S
2203|HD 274435                                                                                                                                   |Star                                  |05 24 35.3397959016 -44 03 26.716639500|249.6316351174081 -33.6207011722021|-21.287 -18.220   |10.70    |F5               |    ~     ~          |    1|  314.276   pc  |  -5.4340     +5.4340    |ST-L    |2020AJ....160...83S
2204|HD 274449                                                                                                                                   |Star                                  |05 25 38.9051387136 -44 26 07.217522268|250.1087656195085 -33.4768471524176|  14.409 11.123   |10.20    |F5               |    ~     ~          |    1|  360.978   pc  |  -8.3810     +8.3810    |ST-L    |2020AJ....160...83S
2205|HD 274208                                                                                                                                   |Star                                  |05 25 53.9228139024 -43 52 23.656997280|249.4467300496478 -33.3644096905066|  -0.247 -8.229   |10.254   |K5               |    ~     ~          |    1| 2143.750   pc  |-191.5000   +191.5000    |ST-L    |2020AJ....160...83S
2206|HD 273283                                                                                                                                   |Star                                  |05 18 24.7754350584 -41 49 54.123616920|246.7980589141764 -34.4683917896560|    3.678 8.062   |10.685   |K7               |    ~     ~          |    1|  865.888   pc  | -28.0800    +28.0800    |ST-L    |2020AJ....160...83S
2207|HD 273286                                                                                                                                   |Star                                  |05 17 05.2554407904 -41 59 18.091051476|246.9493845522093 -34.7326379269595|    3.139 2.631   |10.672   |M0               |    ~     ~          |    1| 2767.050   pc  |-299.1000   +299.1000    |ST-L    |2020AJ....160...83S
2208|HD 273287                                                                                                                                   |Star                                  |05 17 27.7333649328 -42 07 48.754692228|247.1309771984106 -34.6809502336858|   -0.345 3.498   |10.24    |K7               |    ~     ~          |    1| 2358.491   pc  | -73.4247    +73.4247    |paral   |2020yCat.1350....0G
2209|HD 273288                                                                                                                                   |Star                                  |05 16 59.1336100920 -42 06 18.839787840|247.0877654307351 -34.7656602625614| -0.385 -13.199   |10.980   |F8               |    ~     ~          |    1|  358.488   pc  |  -6.7090     +6.7090    |ST-L    |2020AJ....160...83S
2210|HD 273318                                                                                                                                   |High Proper Motion Star               |05 17 32.5526001360 -43 17 39.716949372|248.5403542917519 -34.8001363643122| 25.468 -48.007   |10.29    |G0               |    ~     ~          |    1|  146.492   pc  |  -1.0258     +1.0258    |paral   |2020yCat.1350....0G
2211|HD 273319                                                                                                                                   |Spectroscopic Binary                  |05 17 26.0307663072 -43 22 24.296316420|248.6334924121265 -34.8282848854222|  -2.981 24.682   |10.795   |A3               |    ~     ~          |    1|  445.329   pc  | -10.7600    +10.7600    |ST-L    |2020AJ....160...83S
2212|HD 273325                                                                                                                                   |Star                                  |05 17 07.2468222312 -43 31 21.063487620|248.8068877064928 -34.9005256750451|   6.009 -9.211   |10.46    |K0               |    ~     ~          |    1|  485.861   pc  |  -3.1868     +3.1868    |paral   |2020yCat.1350....0G
2213|HD 273326                                                                                                                                   |High Proper Motion Star               |05 17 04.7049252600 -43 33 19.868351472|248.8459374765413 -34.9115924975519| -0.484 -64.293   |10.41    |G0               |    ~     ~          |    1|  201.373   pc  |  -0.5150     +0.5150    |paral   |2020yCat.1350....0G
2214|HD 273333                                                                                                                                   |Star                                  |05 16 44.5925808288 -43 56 26.007641376|249.3059079609639 -35.0106757086086|   -3.055 8.604   |10.92    |G0               |    ~     ~          |    0|                |                         |        |                   
2215|HD 274018                                                                                                                                   |Star                                  |05 19 00.9208206576 -41 45 47.700252612|246.7333422354742 -34.3482215057149| -2.569 -10.167   |10.588   |G5               |    ~     ~          |    1|  267.796   pc  |  -3.7170     +3.7170    |ST-L    |2020AJ....160...83S
2216|HD 274020                                                                                                                                   |Star                                  |05 18 55.2759858192 -41 54 05.512187556|246.8967143504295 -34.3834744695692|   -1.077 5.601   |10.983   |M0               |    ~     ~          |    1| 2724.670   pc  |-353.6000   +353.6000    |ST-L    |2020AJ....160...83S
2217|HD 274032                                                                                                                                   |Star                                  |05 20 18.8484151152 -42 30 00.968589792|247.6551455687231 -34.2034248628867|    3.170 9.855   |9.28     |M0               |    ~     ~          |    1| 1077.470   pc  | -14.1635    +14.1635    |paral   |2020yCat.1350....0G
2218|HD 274035                                                                                                                                   |Spectroscopic Binary                  |05 19 47.7119447712 -42 34 56.318445660|247.7393228323028 -34.3084350098974|  17.369 11.849   |10.867   |G                |    ~     ~          |    1|  468.767   pc  | -10.8100    +10.8100    |ST-L    |2020AJ....160...83S
