C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
38  |HD 290177                                                                                                                                   |Star                                  |05 16 04.5966738312 -01 36 33.157444068|203.0523214240185 -21.8628890776091|   1.481 -3.757   |10.76    |K7               |    ~     ~          |    1| 1223.092   pc  | -31.4150    +31.4150    |paral   |2020yCat.1350....0G
39  |HD 290172                                                                                                                                   |T Tauri Star                          |05 16 45.4533291672 -01 51 22.356369756|203.3737453748025 -21.8319585682962|   1.595 -0.652   |10.79    |F7Ve             |    ~     ~          |    1|  371.181   pc  |  -2.2182     +2.2182    |paral   |2020yCat.1350....0G
40  |HD 293930                                                                                                                                   |Star                                  |05 15 25.7868906120 -02 40 36.982350300|203.9821507720750 -22.5147341915648| 10.966 -15.150   |9.95     |F8               |    ~     ~          |    1|  126.608   pc  |  -0.2581     +0.2581    |paral   |2020yCat.1350....0G
41  |HD 290184                                                                                                                                   |Star                                  |05 15 58.6027773192 -02 14 05.375578452|203.6319960728602 -22.1842104794538| -15.394 -2.306   |10.08    |K0               |    ~     ~          |    1|  480.261   pc  |  -9.4106     +9.4106    |paral   |2020yCat.1350....0G
42  |HD 293931                                                                                                                                   |Spectroscopic Binary                  |05 16 00.6313321560 -02 39 57.249667188|204.0461175514111 -22.3818446729786|   -0.687 4.016   |10.82    |F5               |    ~     ~          |    1|  288.842   pc  |  -3.8294     +3.8294    |paral   |2020yCat.1350....0G
43  |HD 293932                                                                                                                                   |Star                                  |05 16 26.9574524472 -02 41 43.807602372|204.1304764985229 -22.2994191499523|  -1.475 -1.651   |9.91     |A3               |    ~     ~          |    1|  352.510   pc  |  -2.4480     +2.4480    |paral   |2020yCat.1350....0G
44  |HD 34430                                                                                                                                    |Star                                  |05 17 09.8296857960 -02 34 47.653150512|204.1119466359323 -22.0874963758910|   -3.451 2.257   |9.06     |B9IV             |    ~     ~          |    1|  384.098   pc  |  -3.1572     +3.1572    |paral   |2020yCat.1350....0G
45  |HD 34429                                                                                                                                    |Star                                  |05 17 11.6707040664 -01 57 45.114069636|203.5305480526280 -21.7868939607907|   12.754 0.792   |8.29     |A9IV             |    ~     ~          |    1|  218.469   pc  |  -1.2744     +1.2744    |paral   |2020yCat.1350....0G
46  |HD 293929                                                                                                                                   |Star                                  |05 15 33.3100 -02 38 07.826            |203.9587783 -22.4675030            |  -2.460 10.739   |9.50     |K0               |    ~     ~          |    0|                |                         |        |                   
47  |HD 290146                                                                                                                                   |Star                                  |05 15 58.2223173216 -00 31 49.430606628|202.0225380179876 -21.3649082414173|  -10.283 5.461   |9.48     |K0               |    ~     ~          |    1|  638.855   pc  |  -5.9588     +5.9588    |paral   |2020yCat.1350....0G
48  |HD 293925                                                                                                                                   |Star                                  |05 17 28.2331983840 -02 24 37.608208272|203.9902948224212 -21.9396296330141|  26.026 -2.699   |10.37    |K0               |    ~     ~          |    1|  401.703   pc  |  -2.2591     +2.2591    |paral   |2020yCat.1350....0G
49  |HD 290180                                                                                                                                   |Star                                  |05 15 53.9622834456 -01 59 10.350749796|203.3862271171903 -22.0824457418025|   -1.510 4.535   |10.31    |K5               |    ~     ~          |    1|  760.630   pc  |  -8.6784     +8.6784    |paral   |2020yCat.1350....0G
50  |HD 290252                                                                                                                                   |Star                                  |05 17 18.9439796280 -02 09 02.572536672|203.7242573694985 -21.8500610697589|   2.303 -6.894   |10.43    |F5               |    ~     ~          |    1|  291.384   pc  |  -1.3500     +1.3500    |paral   |2020yCat.1350....0G
51  |HD 290253                                                                                                                                   |Star                                  |05 17 15.7291120368 -02 13 02.979589404|203.7806547180896 -21.8936438383760|  -0.434 20.477   |10.29    |G0               |    ~     ~          |    1|  219.207   pc  |  -0.9370     +0.9370    |paral   |2020yCat.1350....0G
52  |HD 34480                                                                                                                                    |Star                                  |05 17 43.7890785336 -00 22 12.366742620|202.1014352491492 -20.9025824117355|  -5.382 -4.568   |9.03     |A0V              |    ~     ~          |    1|  275.308   pc  |  -1.9252     +1.9252    |paral   |2020yCat.1350....0G
53  |HD 34502                                                                                                                                    |Star                                  |05 17 55.0736243400 -00 17 02.049461628|202.0452498143795 -20.8196093482831|   0.952 -0.531   |9.08     |A0V              |    ~     ~          |    1|  323.311   pc  |  -2.9164     +2.9164    |paral   |2020yCat.1350....0G
54  |HD 34511                                                                                                                                    |Star                                  |05 18 00.9831630144 -00 02 15.698645736|201.8280410645051 -20.6783052049949|   1.247 -0.148   |7.35     |B7Ib/II          |    ~     ~          |    1|  354.711   pc  |  -5.5109     +5.5109    |paral   |2020yCat.1350....0G
55  |HD 290225                                                                                                                                   |Spectroscopic Binary                  |05 18 14.6375934336 -00 44 46.195265796|202.5203435670537 -20.9723565687364|  -0.820 -0.683   |10.41    |G5               |    ~     ~          |    1|  882.301   pc  | -13.8565    +13.8565    |paral   |2020yCat.1350....0G
56  |HD 290207                                                                                                                                   |Star                                  |05 19 11.8792828608 -00 11 45.894628140|202.1293406167087 -20.4972203782345|   6.732 -5.534   |10.5     |K5               |    ~     ~          |    1|  673.491   pc  |  -6.0781     +6.0781    |paral   |2020yCat.1350....0G
57  |HD 290219                                                                                                                                   |Star                                  |05 19 17.3553531912 -00 37 06.657238272|202.5359208431638 -20.6819036019292|  3.069 -11.846   |9.75     |K5               |    ~     ~          |    1|  792.959   pc  | -11.9469    +11.9469    |paral   |2020yCat.1350....0G
58  |HD 290216                                                                                                                                   |Star                                  |05 19 33.2015903040 -00 35 50.177578308|202.5501457310678 -20.6138369001010|  -4.467 -4.322   |9.06     |K0               |    ~     ~          |    1|  339.501   pc  |  -2.1093     +2.1093    |paral   |2020yCat.1350....0G
59  |HD 290217                                                                                                                                   |Star                                  |05 19 52.3466298768 -00 29 21.012500796|202.4902687315746 -20.4917492929279|  -0.796 -4.643   |10.33    |K0               |    ~     ~          |    1|  736.269   pc  | -10.7334    +10.7334    |paral   |2020yCat.1350....0G
60  |HD 290212                                                                                                                                   |Star                                  |05 19 53.8976623584 -00 17 46.143088908|202.3133604828808 -20.3926565496502|  -2.577 -0.394   |10.6     |F2               |    ~     ~          |    1|  970.120   pc  | -19.3873    +19.3873    |paral   |2020yCat.1350....0G
61  |HD 290210                                                                                                                                   |High Proper Motion Star               |05 20 08.1943795248 -00 09 22.535160552|202.2136796440701 -20.2727340570972| -59.649 -2.436   |10.7     |F8               |    ~     ~          |    1|  259.781   pc  |  -1.0460     +1.0460    |paral   |2020yCat.1350....0G
62  |HD 290209                                                                                                                                   |Star                                  |05 20 22.9826583984 -00 06 05.998916484|202.1946609840097 -20.1923678479683|   -0.308 6.385   |10.5     |K2               |    ~     ~          |    1| 1031.566   pc  | -16.6004    +16.6004    |paral   |2020yCat.1350....0G
63  |HD 290214                                                                                                                                   |Star                                  |05 20 23.8650133584 -00 36 56.620241640|202.6762591857275 -20.4379147937678|   3.751 -5.742   |10.8     |K0               |    ~     ~          |    1| 1412.629   pc  | -31.1301    +31.1301    |paral   |2020yCat.1350....0G
64  |HD 290215                                                                                                                                   |High Proper Motion Star               |05 20 33.3653459952 -00 42 04.578904728|202.7766048691608 -20.4445065389687| 50.207 -37.612   |10.43    |K0               |    ~     ~          |    1|  302.682   pc  |  -1.5850     +1.5850    |paral   |2020yCat.1350....0G
65  |HD 290295                                                                                                                                   |Double or Multiple Star               |05 20 50.3238976800 -00 18 32.985903060|202.4468736535798 -20.1932510007094|  -1.761 -5.900   |10.141   |G0               |    ~     ~          |    1|  720.150   pc  |  -8.6609     +8.6609    |paral   |2020yCat.1350....0G
66  |HD 290302                                                                                                                                   |Star                                  |05 21 20.5716258552 -00 36 28.390745016|202.7904695478954 -20.2271706937485| -6.859 -10.006   |9.45     |F0               |    ~     ~          |    1|  340.298   pc  |  -2.0265     +2.0265    |paral   |2020yCat.1350....0G
67  |HD 290292                                                                                                                                   |Star                                  |05 21 26.2357380192 -00 10 22.833831360|202.3971245121463 -19.9964149125144|   11.307 2.704   |10.4     |G0               |    ~     ~          |    1|  260.777   pc  |  -1.1153     +1.1153    |paral   |2020yCat.1350....0G
68  |HD 290301                                                                                                                                   |Star                                  |05 21 24.0661068096 -00 33 18.312159636|202.7486601256291 -20.1889564205276|  2.896 -13.200   |10.5     |F5               |    ~     ~          |    1|  305.941   pc  |  -1.6380     +1.6380    |paral   |2020yCat.1350....0G
69  |HD 290291                                                                                                                                   |Star                                  |05 21 29.4045631080 -00 11 43.468578924|202.4247825800506 -19.9957039880037|  8.202 -15.019   |9.84     |K7               |    ~     ~          |    1|  834.307   pc  | -14.4782    +14.4782    |paral   |2020yCat.1350....0G
70  |HD 35007                                                                                                                                    |Spectroscopic Binary                  |05 21 31.8439978656 -00 24 59.374321704|202.6360245555662 -20.0936887742599|   -0.734 1.751   |5.68     |B5II/III         |    ~     ~          |    1|  301.859   pc  | -24.8482    +24.8482    |paral   |2020yCat.1350....0G
71  |HD 290303                                                                                                                                   |Spectroscopic Binary                  |05 21 29.3748905160 -00 40 09.591444480|202.8666835974687 -20.2246404006249|  10.650 -3.217   |10.9     |F5               |    ~     ~          |    1|  407.067   pc  |  -2.5187     +2.5187    |paral   |2020yCat.1350....0G
72  |* o Ori                                                                                                                                     |Spectroscopic Binary                  |05 21 45.7473567408 -00 22 56.880734196|202.6340851428857 -20.0265303942128|   -0.077 1.563   |4.74     |B2IV             |    ~     ~          |    1|  349.809   pc  | -19.3462    +19.3462    |paral   |2020yCat.1350....0G
73  |HD 35299                                                                                                                                    |Star                                  |05 23 42.3086240496 -00 09 35.347024692|202.6760683405692 -19.4937238662447|   1.939 -1.024   |5.700    |B2III            |    ~     ~          |    1|  360.594   pc  | -11.8976    +11.8976    |paral   |2020yCat.1350....0G
74  |HD 35455                                                                                                                                    |Star                                  |05 24 45.1746191112 -00 50 09.782098512|203.4388853649764 -19.5891792888414| -10.817 -8.579   |8.26     |K0III            |    ~     ~          |    1|  288.925   pc  |  -1.9868     +1.9868    |paral   |2020yCat.1350....0G
75  |HD 35548                                                                                                                                    |Spectroscopic Binary                  |05 25 31.0806774 -00 32 38.208969      |203.2642476108 -19.2813095132      |    -1.45 -3.67   |6.57     |B9III            |0.0050  0.0          |    0|                |                         |        |                   
76  |HD 290370                                                                                                                                   |Pulsating Variable                    |05 26 02.2205371032 -00 45 33.803864208|203.5304368097622 -19.2706521281874|  6.320 -13.082   |8.97     |F0               |    ~     ~          |    1|  254.913   pc  |  -1.4361     +1.4361    |paral   |2020yCat.1350....0G
77  |HD 290171                                                                                                                                   |Star                                  |05 17 31.3800333720 -01 48 20.733726744|203.4245535716974 -21.6398659142797|   -5.995 1.410   |10.12    |G0               |    ~     ~          |    1|  124.805   pc  |  -0.2103     +0.2103    |paral   |2020yCat.1350....0G
78  |HD 290170                                                                                                                                   |Star                                  |05 17 41.9195940528 -01 40 54.775245612|203.3301671564403 -21.5420402945964|    6.998 1.134   |10.98    |G5               |    ~     ~          |    1|  113.776   pc  |  -0.1773     +0.1773    |paral   |2020yCat.1350....0G
79  |HD 290249                                                                                                                                   |Star                                  |05 18 14.4993465672 -01 48 09.253985328|203.5138530959361 -21.4806185291704|    7.078 3.631   |10.72    |G0               |    ~     ~          |    1|  172.721   pc  |  -0.7249     +0.7249    |paral   |2020yCat.1350....0G
80  |HD 290235                                                                                                                                   |Star                                  |05 18 28.8716290032 -01 04 30.812882340|202.8597841259372 -21.0791725907826|   2.114 -0.584   |10.03    |A0               |    ~     ~          |    1|  376.138   pc  |  -4.7537     +4.7537    |paral   |2020yCat.1350....0G
81  |HD 34595                                                                                                                                    |Star                                  |05 18 29.9744312568 -01 08 17.664196200|202.9213538502042 -21.1054787413968|   1.488 -0.784   |9.31     |A0V              |    ~     ~          |    1|  351.778   pc  |  -3.6506     +3.6506    |paral   |2020yCat.1350....0G
82  |HD 290237                                                                                                                                   |Star                                  |05 18 32.2128956208 -01 15 56.753349624|203.0460360507779 -21.1586237854673|   3.188 -2.881   |9.81     |A0               |    ~     ~          |    1|  460.723   pc  |  -7.3232     +7.3232    |paral   |2020yCat.1350....0G
83  |HD 34672                                                                                                                                    |Star                                  |05 19 07.4693453520 -01 05 55.666932288|202.9648170572392 -20.9495681637205|   3.770 -2.937   |8.49     |B9V              |    ~     ~          |    1|  432.844   pc  | -11.3911    +11.3911    |paral   |2020yCat.1350....0G
84  |HD 290260                                                                                                                                   |Star                                  |05 19 05.4640429008 -01 49 46.999593408|203.6483337818890 -21.3071046375571|  -2.714 -0.043   |10.14    |A2               |    ~     ~          |    1|  439.252   pc  |  -3.2800     +3.2800    |paral   |2020yCat.1350....0G
85  |HD 290233                                                                                                                                   |Double or Multiple Star               |05 19 35.370720 -01 06 52.93620        |203.039572965 -20.855300824        |     -8.6 -24.0   |10.204   |G0               |    ~     ~          |    0|                |                         |        |                   
86  |HD 34748                                                                                                                                    |Star                                  |05 19 35.2864358400 -01 24 42.880569876|203.3185582083962 -20.9982297898724|   -0.950 2.989   |6.35     |B3V              |    ~     ~          |    1|  362.726   pc  | -13.5649    +13.5649    |paral   |2020yCat.1350....0G
87  |HD 34747                                                                                                                                    |Star                                  |05 19 38.7736693468 -01 06 30.589883274|203.0410391880556 -20.8398858864127|   1.767 -0.496   |8.59     |B9V              |    ~     ~          |    1|  340.067   pc  |  -4.3829     +4.3829    |paral   |2020yCat.1350....0G
88  |HD 290240                                                                                                                                   |Star                                  |05 19 40.1046012888 -01 21 22.349237580|203.2764987292069 -20.9539202708392|   1.259 -0.444   |9.17     |A0               |    ~     ~          |    1|  365.885   pc  |  -3.9358     +3.9358    |paral   |2020yCat.1350....0G
89  |HD 34764                                                                                                                                    |Star                                  |05 19 40.4845807464 -01 30 59.211636588|203.4279767154092 -21.0292743664923| -0.417 -11.201   |7.32     |K0III            |    ~     ~          |    1|  285.478   pc  |  -1.7766     +1.7766    |paral   |2020yCat.1350....0G
90  |HD 290231                                                                                                                                   |Double or Multiple Star               |05 19 49.303 -01 04 02.49              |203.025003 -20.781647              |       4.5 11.0   |9.7      |G5               |    ~     ~          |    0|                |                         |        |                   
91  |HD 290245                                                                                                                                   |Star                                  |05 19 57.4147075488 -01 34 59.860849440|203.5269935380878 -20.9993154697584|   4.842 -2.675   |10.39    |F8               |    ~     ~          |    1|  331.126   pc  |  -1.7653     +1.7653    |paral   |2020yCat.1350....0G
92  |HD 290230                                                                                                                                   |Star                                  |05 20 01.0406917776 -01 00 10.096070652|202.9896196953274 -20.7077319579477|   1.547 -0.456   |9.98     |A0               |    ~     ~          |    1|  368.664   pc  |  -2.9221     +2.9221    |paral   |2020yCat.1350....0G
