C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3395|TYC 8724-1219-1                                                                                          |Star                                  |16 36 04.4826333216 -59 16 47.066097612|328.3012311453336 -07.9789284569255|-38.066 -24.674   |10.38    |~                 |    ~     ~    |    1|  419.868   pc  |  -7.0163     +7.0163  |paral   |2020yCat.1350....0G
3396|TYC 8724-1237-1                                                                                          |Star                                  |16 30 58.0965581256 -59 14 44.363300460|327.8840848325146 -07.4729530313119|  -3.838 -0.060   |10.85    |~                 |    ~     ~    |    1|  968.711   pc  | -13.5130    +13.5130  |paral   |2020yCat.1350....0G
3397|TYC 8724-1273-1                                                                                          |Star                                  |16 33 46.1894560560 -59 21 19.882688616|328.0459027209267 -07.8108946786441|  -1.196 -3.561   |10.63    |~                 |    ~     ~    |    1|  916.758   pc  | -14.2035    +14.2035  |paral   |2020yCat.1350....0G
3398|TYC 8724-1324-1                                                                                          |Star                                  |16 33 54.3332266680 -58 39 07.221793500|328.5835192095248 -07.3512837436218|  -2.415 -4.524   |10.58    |~                 |    ~     ~    |    1| 1333.867   pc  | -31.8477    +31.8477  |paral   |2020yCat.1350....0G
3399|TYC 8724-1386-1                                                                                          |Star                                  |16 39 03.1674450552 -58 56 19.665698676|328.8147957334840 -08.0398861253232|  -0.392 -6.923   |10.77    |~                 |    ~     ~    |    1|  800.705   pc  |  -9.2322     +9.2322  |paral   |2020yCat.1350....0G
3400|TYC 8724-1397-1                                                                                          |Star                                  |16 30 15.9644561424 -59 54 19.244737728|327.3347249253390 -07.8559221829773| -4.230 -29.336   |10.68    |~                 |    ~     ~    |    1|  316.686   pc  |  -1.6548     +1.6548  |paral   |2020yCat.1350....0G
3401|TYC 8724-1405-1                                                                                          |Star                                  |16 38 13.1457593520 -59 54 13.334479092|328.0103032953405 -08.5954296710499| -6.410 -16.273   |10.57    |~                 |    ~     ~    |    1|  337.166   pc  |  -2.0008     +2.0008  |paral   |2020yCat.1350....0G
3402|TYC 8724-1412-1                                                                                          |Star                                  |16 34 28.8622904448 -59 18 03.448550340|328.1481536634346 -07.8415964788500|  -7.857 -3.480   |10.96    |~                 |    ~     ~    |    1| 1514.005   pc  | -34.3831    +34.3831  |paral   |2020yCat.1350....0G
3403|TYC 8724-1419-1                                                                                          |Star                                  |16 36 01.640832 -58 40 24.85200        |328.753542846 -07.570713898        |     -9.9 -12.1   |10.660   |~                 |    ~     ~    |    0|                |                       |        |                   
3404|TYC 8724-1523-1                                                                                          |Star                                  |16 35 43.8322175184 -59 57 57.748523400|327.7544035344546 -08.4031364486115|  -4.124 -5.021   |10.85    |~                 |    ~     ~    |    1|  569.963   pc  |  -5.5226     +5.5226  |paral   |2020yCat.1350....0G
3405|TYC 8724-1531-1                                                                                          |Star                                  |16 38 37.8264798840 -59 24 39.636243252|328.4196862560812 -08.3099946848207|   0.216 -6.982   |10.90    |~                 |    ~     ~    |    1|  651.551   pc  |  -7.4715     +7.4715  |paral   |2020yCat.1350....0G
3406|TYC 8724-1533-1                                                                                          |Star                                  |16 36 30.6869296584 -59 23 56.110416468|328.2486999520802 -08.0997515126594| -5.734 -14.786   |10.68    |~                 |    ~     ~    |    1|  695.362   pc  |  -7.6397     +7.6397  |paral   |2020yCat.1350....0G
3407|TYC 8724-1574-1                                                                                          |Star                                  |16 36 18.7904241816 -59 54 08.481401424|327.8515334224512 -08.4153278538557|  -1.978 -2.070   |10.43    |~                 |    ~     ~    |    1|  624.220   pc  |  -8.7282     +8.7282  |paral   |2020yCat.1350....0G
3408|TYC 8724-1580-1                                                                                          |Star                                  |16 32 07.7023193160 -58 40 56.129893824|328.4039502071015 -07.2010650844487|  -4.510 -6.370   |10.56    |~                 |    ~     ~    |    1|  981.836   pc  | -15.7132    +15.7132  |paral   |2020yCat.1350....0G
3409|TYC 8724-1604-1                                                                                          |Star                                  |16 32 44.7391569576 -58 52 33.127758876|328.3145373757424 -07.3908483826018| -0.751 -10.607   |10.85    |~                 |    ~     ~    |    1| 1266.464   pc  | -24.5401    +24.5401  |paral   |2020yCat.1350....0G
3410|TYC 8724-1692-1                                                                                          |Star                                  |16 39 27.6476130528 -59 58 38.744576580|328.0574506237070 -08.7610813661515|  -9.119 -3.160   |10.96    |~                 |    ~     ~    |    1|  592.522   pc  |  -6.5301     +6.5301  |paral   |2020yCat.1350....0G
3411|TYC 8725-138-1                                                                                           |Star                                  |16 40 36.4578647880 -58 48 50.258464056|329.0430867915352 -08.1096249285584|  -2.032 -6.750   |10.09    |~                 |    ~     ~    |    1|  716.332   pc  | -44.2833    +44.2833  |paral   |2020yCat.1350....0G
3412|TYC 8725-144-1                                                                                           |Star                                  |16 41 13.2631571256 -58 41 56.544031536|329.1834582188957 -08.0947622350085|  -0.620 -0.635   |10.84    |~                 |    ~     ~    |    1| 1219.066   pc  | -28.9794    +28.9794  |paral   |2020yCat.1350....0G
3413|TYC 8725-261-1                                                                                           |Star                                  |16 43 43.1844333816 -58 29 06.448825896|329.5613468884220 -08.2033882289586| -9.305 -42.388   |10.29    |~                 |    ~     ~    |    1|  346.765   pc  |  -1.7075     +1.7075  |paral   |2020yCat.1350....0G
3414|TYC 8725-303-1                                                                                           |Star                                  |16 40 56.3442404496 -58 53 10.379111568|329.0161404139635 -08.1892898328570|  4.765 -25.431   |10.70    |~                 |    ~     ~    |    1|  287.819   pc  |  -7.0745     +7.0745  |paral   |2020yCat.1350....0G
3415|TYC 8725-312-1                                                                                           |Star                                  |16 40 15.2745988224 -58 58 29.864735076|328.8899636206235 -08.1805101203848|  -4.347 -9.302   |10.37    |~                 |    ~     ~    |    1|  672.631   pc  |  -6.8770     +6.8770  |paral   |2020yCat.1350....0G
3416|TYC 8725-401-1                                                                                           |Star                                  |16 42 40.0626579840 -58 19 48.009857412|329.5905695021514 -07.9979381683681|  -6.554 -1.556   |10.52    |~                 |    ~     ~    |    1|  687.900   pc  |  -7.9025     +7.9025  |paral   |2020yCat.1350....0G
3417|TYC 8725-420-1                                                                                           |Star                                  |16 40 07.8737212392 -58 58 42.117432564|328.8768493861287 -08.1707292235737|  0.610 -10.438   |10.56    |~                 |    ~     ~    |    1| 1132.118   pc  | -19.8662    +19.8662  |paral   |2020yCat.1350....0G
3418|TYC 8725-547-1                                                                                           |Star                                  |16 40 54.8946213768 -58 14 42.005460768|329.5041220310021 -07.7678288887186|   0.503 -6.986   |10.66    |~                 |    ~     ~    |    1|  441.092   pc  |  -3.1908     +3.1908  |paral   |2020yCat.1350....0G
3419|TYC 8725-556-1                                                                                           |Star                                  |16 40 33.5400808632 -59 07 54.378736752|328.7960075443464 -08.3127022445239|   11.720 3.379   |10.30    |~                 |    ~     ~    |    1|  330.480   pc  |  -3.8444     +3.8444  |paral   |2020yCat.1350....0G
3420|TYC 8725-574-1                                                                                           |Star                                  |16 41 08.8596386184 -59 21 57.346827048|328.6663446697912 -08.5225587010416|  -2.815 -5.328   |10.97    |~                 |    ~     ~    |    1|  833.125   pc  | -16.7972    +16.7972  |paral   |2020yCat.1350....0G
3421|TYC 8725-696-1                                                                                           |Star                                  |16 40 20.1761228184 -59 11 31.908342912|328.7309435392314 -08.3306262688414| -1.643 -13.124   |10.74    |~                 |    ~     ~    |    1|  364.020   pc  |  -1.9347     +1.9347  |paral   |2020yCat.1350....0G
3422|TYC 8725-793-1                                                                                           |Star                                  |16 42 13.8992923248 -58 55 28.213847904|329.0966238261720 -08.3408627782886|  -0.267 -7.528   |10.62    |~                 |    ~     ~    |    1|  775.014   pc  |  -8.4090     +8.4090  |paral   |2020yCat.1350....0G
3423|TYC 8725-1050-1                                                                                          |Star                                  |16 43 19.3831260494 -58 20 27.963086627|329.6383531998313 -08.0706101915268|      -3.6 -9.2   |10.64    |~                 |    ~     ~    |    0|                |                       |        |                   
3424|TYC 8725-1235-1                                                                                          |Star                                  |16 41 13.4365609368 -59 12 18.096864732|328.7961330571509 -08.4250634111243| -8.100 -17.615   |10.81    |~                 |    ~     ~    |    1|  280.245   pc  |  -1.0524     +1.0524  |paral   |2020yCat.1350....0G
3425|TYC 8725-1421-1                                                                                          |Star                                  |16 40 59.8973949552 -59 00 15.398560656|328.9308251926557 -08.2721584319347|  -2.957 -6.556   |10.33    |~                 |    ~     ~    |    1| 1224.740   pc  | -47.9996    +47.9996  |paral   |2020yCat.1350....0G
3426|TYC 9037-1712-1                                                                                          |Star                                  |16 32 29.7171376560 -60 00 52.381143900|327.4442592361959 -08.1351963212688|    4.252 6.332   |10.77    |~                 |    ~     ~    |    1|  837.100   pc  |  -9.3198     +9.3198  |paral   |2020yCat.1350....0G
3427|TYC 9038-78-1                                                                                            |Star                                  |16 34 30.8680119840 -60 06 52.489110168|327.5401730389337 -08.3890705394002|   0.158 -5.756   |10.96    |~                 |    ~     ~    |    1| 1742.768   pc  | -45.5586    +45.5586  |paral   |2020yCat.1350....0G
3428|TYC 9038-466-1                                                                                           |Spectroscopic Binary                  |16 35 08.0972331840 -60 04 03.165684744|327.6277693813837 -08.4152531382987|  26.730 -0.531   |10.57    |~                 |    ~     ~    |    1|  188.041   pc  |  -1.0997     +1.0997  |paral   |2020yCat.1350....0G
3429|TYC 9038-1094-1                                                                                          |Star                                  |16 38 49.5538845840 -60 06 51.825845124|327.9002502735970 -08.7911494172515|    7.633 3.321   |9.98     |~                 |    ~     ~    |    1|  605.107   pc  |  -6.4443     +6.4443  |paral   |2020yCat.1350....0G
3430|HD 150251                                                                                                |Star                                  |16 43 17.6817254568 -59 12 27.440792964|328.9680824822337 -08.6283622554771|-12.588 -17.317   |8.47     |A1V               |    ~     ~    |    1|  267.094   pc  |  -2.6681     +2.6681  |paral   |2020yCat.1350....0G
3431|CD-58 6512                                                                                               |Star                                  |16 44 38.3069271336 -58 44 34.647625716|329.4401240113011 -08.4610686903645|  -1.105 -3.396   |10.35    |~                 |    ~     ~    |    1|  870.853   pc  | -27.0743    +27.0743  |paral   |2020yCat.1350....0G
3432|HD 150506                                                                                                |Star                                  |16 44 51.7030785696 -58 28 59.595087036|329.6600400946855 -08.3162427556469|  -2.753 -8.174   |9.43     |B8V               |    ~     ~    |    1|  620.309   pc  | -10.4276    +10.4276  |paral   |2020yCat.1350....0G
3433|HD 150523                                                                                                |Star                                  |16 44 55.6666789608 -58 26 02.479411644|329.7037288299046 -08.2912175083005|  -2.370 -5.657   |9.42     |B9II              |    ~     ~    |    1| 1220.852   pc  | -49.7820    +49.7820  |paral   |2020yCat.1350....0G
3434|HD 149952                                                                                                |Star                                  |16 41 32.1491056680 -59 56 35.549378340|328.2552180734659 -08.9355022479071|   5.939 -3.346   |8.94     |A3IV              |    ~     ~    |    1|  541.682   pc  |  -5.4870     +5.4870  |paral   |2020yCat.1350....0G
3435|HD 150008                                                                                                |Star                                  |16 41 48.3956930832 -59 20 02.894416476|328.7460302719813 -08.5656135954110|  -1.533 -5.718   |9.98     |B8/9III           |    ~     ~    |    1|  788.084   pc  | -17.0175    +17.0175  |paral   |2020yCat.1350....0G
3436|HD 150359                                                                                                |Star                                  |16 44 04.7181720648 -59 28 27.669522864|328.8270771736341 -08.8767780276740| -9.767 -18.014   |8.30     |A0IV              |    ~     ~    |    1|  304.999   pc  |  -2.7163     +2.7163  |paral   |2020yCat.1350....0G
3437|V* YY Ara                                                                                                |Post-AGB Star                         |16 41 20.4538475904 -59 52 30.677867616|328.2914482314640 -08.8727133553731| -23.287 -2.480   |10.26    |K0:-Me            |    ~     ~    |    1| 2489.420   pc  |-114.0287   +114.0287  |paral   |2020yCat.1350....0G
3438|HD 149646                                                                                                |Star                                  |16 39 34.3111556400 -60 13 15.703653612|327.8803564571829 -08.9311159297342|  -0.402 -3.713   |8.70     |A0IV              |    ~     ~    |    1|  816.127   pc  | -13.1214    +13.1214  |paral   |2020yCat.1350....0G
3439|CD-59 6262                                                                                               |alpha2 CVn Variable                   |16 43 16.1375519760 -59 59 50.212405320|328.3556578172721 -09.1357592160138|  -2.354 -6.689   |9.86     |~                 |    ~     ~    |    1|  608.680   pc  |  -9.2623     +9.2623  |paral   |2020yCat.1350....0G
3440|CD-59 6268                                                                                               |Star                                  |16 44 12.4505885304 -59 39 25.031294496|328.6962062435122 -09.0067621272543|-11.730 -14.740   |9.19     |~                 |    ~     ~    |    1|  399.441   pc  |  -3.0794     +3.0794  |paral   |2020yCat.1350....0G
3441|TYC 8725-1608-1                                                                                          |Star                                  |16 44 33.5020243944 -59 08 40.058248308|329.1224845803097 -08.7113996290199| -8.140 -16.141   |9.87     |~                 |    ~     ~    |    1|  785.916   pc  | -11.4886    +11.4886  |paral   |2020yCat.1350....0G
3442|CD-59 6274                                                                                               |Star                                  |16 44 59.1397273128 -59 26 49.894076904|328.9230824152118 -08.9476145209051|    6.938 4.401   |9.77     |~                 |    ~     ~    |    1|  636.537   pc  |  -6.3208     +6.3208  |paral   |2020yCat.1350....0G
3443|CD-60 6359                                                                                               |Star                                  |16 38 36.9266754792 -60 16 38.821396332|327.7584699466354 -08.8785741739047| -3.247 -18.479   |9.85     |~                 |    ~     ~    |    1|  231.932   pc  |  -1.0436     +1.0436  |paral   |2020yCat.1350....0G
3444|HD 150252                                                                                                |Star                                  |16 43 21.2907075360 -60 20 12.071908608|328.0997644186142 -09.3627403570535|  -1.964 -2.377   |9.35     |B7III             |    ~     ~    |    1|  834.934   pc  | -23.0745    +23.0745  |paral   |2020yCat.1350....0G
3445|HD 150426                                                                                                |Star                                  |16 44 32.9834757672 -60 26 35.138063076|328.1132597593865 -09.5442060431983|   6.899 -0.150   |8.60     |K0III             |    ~     ~    |    1|  347.174   pc  |  -2.8325     +2.8325  |paral   |2020yCat.1350....0G
3446|TYC 8725-127-1                                                                                           |Star                                  |16 43 28.5661599960 -59 05 09.912170580|329.0770942905780 -08.5675847593326|   1.008 -4.393   |10.99    |~                 |    ~     ~    |    1|  683.854   pc  | -10.8029    +10.8029  |paral   |2020yCat.1350....0G
3447|TYC 8725-283-1                                                                                           |Star                                  |16 44 36.6917786160 -59 40 22.318060116|328.7170498629419 -09.0560755892142|-13.564 -21.625   |10.77    |~                 |    ~     ~    |    1|  250.088   pc  |  -1.0883     +1.0883  |paral   |2020yCat.1350....0G
3448|TYC 8725-349-1                                                                                           |Star                                  |16 42 39.0585623208 -59 50 01.704929136|328.4313417510143 -08.9710312203646| -8.370 -23.030   |10.50    |~                 |    ~     ~    |    1|  203.782   pc  |  -0.6146     +0.6146  |paral   |2020yCat.1350....0G
3449|TYC 8725-774-1                                                                                           |Star                                  |16 44 03.2297750904 -58 39 52.304274288|329.4513181477267 -08.3524750454518|  -4.726 -4.484   |10.44    |~                 |    ~     ~    |    1| 1518.372   pc  | -34.5818    +34.5818  |paral   |2020yCat.1350....0G
3450|TYC 8725-875-1                                                                                           |Star                                  |16 44 34.8842796816 -59 33 43.098125508|328.8006498286853 -08.9819481386415| -4.402 -11.103   |10.75    |~                 |    ~     ~    |    1|  313.647   pc  |  -2.5381     +2.5381  |paral   |2020yCat.1350....0G
3451|TYC 8725-1038-1                                                                                          |Star                                  |16 44 05.0507649600 -58 59 42.931626000|329.1982974481428 -08.5687250714380|  -6.006 -2.616   |10.94    |~                 |    ~     ~    |    1|  987.557   pc  | -13.1661    +13.1661  |paral   |2020yCat.1350....0G
3452|TYC 8725-1147-1                                                                                          |Star                                  |16 42 10.6635701544 -59 10 24.579822936|328.9006768078746 -08.4972987959687|   -2.457 8.973   |10.78    |~                 |    ~     ~    |    1|  936.505   pc  | -12.4540    +12.4540  |paral   |2020yCat.1350....0G
3453|TYC 8725-1220-1                                                                                          |Spectroscopic Binary                  |16 40 50.7737226816 -59 58 15.118995900|328.1771053524090 -08.8879698602469|-17.485 -12.139   |10.96    |~                 |    ~     ~    |    1|  728.332   pc  | -11.7764    +11.7764  |paral   |2020yCat.1350....0G
3454|TYC 8725-1367-1                                                                                          |Star                                  |16 43 17.5462694712 -59 49 59.051912700|328.4846330634801 -09.0320576152613|  -0.550 -2.719   |10.11    |~                 |    ~     ~    |    0|                |                       |        |                   
3455|TYC 8725-1391-1                                                                                          |Star                                  |16 42 45.9719264520 -58 58 35.278054608|329.1018598906131 -08.4270260777745|  -3.703 -5.724   |10.42    |~                 |    ~     ~    |    1|  660.371   pc  |  -7.8060     +7.8060  |paral   |2020yCat.1350....0G
3456|TYC 8725-1560-1                                                                                          |Star                                  |16 44 20.3831556408 -58 38 22.556720076|329.4948089881797 -08.3648259247343| -11.681 -0.385   |10.68    |~                 |    ~     ~    |    1|  617.551   pc  |  -6.0638     +6.0638  |paral   |2020yCat.1350....0G
3457|TYC 8725-1576-1                                                                                          |Star                                  |16 42 03.5118100728 -59 28 41.501618184|328.6563229873642 -08.6835699730423| -7.726 -22.926   |10.43    |~                 |    ~     ~    |    1|  715.871   pc  |  -7.5333     +7.5333  |paral   |2020yCat.1350....0G
3458|TYC 8725-1650-1                                                                                          |Star                                  |16 44 29.0371490928 -59 25 36.553524240|328.8974437993081 -08.8856377586848|  -1.315 -4.475   |10.18    |~                 |    ~     ~    |    1| 1722.950   pc  | -45.4189    +45.4189  |paral   |2020yCat.1350....0G
3459|TYC 8725-1740-1                                                                                          |Star                                  |16 42 49.4618474400 -59 23 51.842236056|328.7821411922920 -08.7055403542445| -5.002 -15.939   |10.16    |~                 |    ~     ~    |    1|  819.336   pc  | -65.2515    +65.2515  |paral   |2020yCat.1350....0G
3460|TYC 8725-1956-1                                                                                          |Star                                  |16 41 55.8653837424 -59 27 05.980664196|328.6661006088100 -08.6540298034438|  -1.595 -3.659   |10.54    |~                 |    ~     ~    |    1|  791.640   pc  | -15.1033    +15.1033  |paral   |2020yCat.1350....0G
3461|TYC 8725-1961-1                                                                                          |Star                                  |16 44 14.3234927568 -59 47 15.528233652|328.5974079422554 -09.0938064827717|   1.908 -0.995   |10.92    |~                 |    ~     ~    |    1|  990.786   pc  | -16.0992    +16.0992  |paral   |2020yCat.1350....0G
3462|TYC 8725-1980-1                                                                                          |Star                                  |16 44 58.9551743832 -59 02 40.834727628|329.2352441585276 -08.6890318463397|  -1.704 -2.736   |10.92    |~                 |    ~     ~    |    1|  951.475   pc  | -18.9209    +18.9209  |paral   |2020yCat.1350....0G
3463|TYC 9038-119-1                                                                                           |Star                                  |16 44 22.9830949176 -60 00 07.834286304|328.4426553158407 -09.2454977393047| -10.371 -6.448   |10.22    |~                 |    ~     ~    |    1|  207.125   pc  |  -0.6006     +0.6006  |paral   |2020yCat.1350....0G
3464|TYC 9038-137-1                                                                                           |Star                                  |16 44 37.3316075160 -60 18 39.561868692|328.2218998993968 -09.4664179668347| -8.263 -12.764   |10.88    |~                 |    ~     ~    |    1| 1120.574   pc  | -35.1592    +35.1592  |paral   |2020yCat.1350....0G
3465|TYC 9038-286-1                                                                                           |Star                                  |16 42 03.5781205656 -60 04 33.272886144|328.1960256883886 -09.0714300761383|  -1.245 -9.796   |10.83    |~                 |    ~     ~    |    1| 1135.074   pc  | -17.7798    +17.7798  |paral   |2020yCat.1350....0G
3466|TYC 9038-391-1                                                                                           |Star                                  |16 40 07.5392728104 -60 12 53.311336056|327.9306496045509 -08.9790712263456|   5.056 10.112   |10.52    |~                 |    ~     ~    |    1|  295.613   pc  |  -1.2059     +1.2059  |paral   |2020yCat.1350....0G
3467|TYC 9038-566-1                                                                                           |Star                                  |16 40 50.8266910128 -60 06 42.718108356|328.0689055429247 -08.9799268411346|  -5.350 -7.480   |9.51     |~                 |    ~     ~    |    1|  482.067   pc  |  -3.1372     +3.1372  |paral   |2020yCat.1350....0G
3468|TYC 9038-602-1                                                                                           |Star                                  |16 42 27.5587932384 -60 08 00.998520792|328.1841663350688 -09.1467462875280|  -8.257 -8.172   |10.65    |~                 |    ~     ~    |    1|  638.488   pc  |  -7.4195     +7.4195  |paral   |2020yCat.1350....0G
3469|TYC 9038-851-1                                                                                           |Star                                  |16 43 39.6184257192 -60 10 46.757778024|328.2462295552570 -09.2905907612785|    3.499 5.411   |10.94    |~                 |    ~     ~    |    1|  485.013   pc  |  -3.6462     +3.6462  |paral   |2020yCat.1350....0G
3470|TYC 9038-1028-1                                                                                          |Star                                  |16 41 32.9527188408 -60 21 26.787548196|327.9373694746727 -09.2058262314069|  -5.427 -2.377   |9.76     |~                 |    ~     ~    |    1|  986.680   pc  | -14.7004    +14.7004  |paral   |2020yCat.1350....0G
3471|TYC 9038-1178-1                                                                                          |Star                                  |16 42 51.1361951616 -60 16 43.712920416|328.1039013919144 -09.2778491160108|  -0.649 -9.681   |10.34    |~                 |    ~     ~    |    1| 1044.277   pc  | -14.9401    +14.9401  |paral   |2020yCat.1350....0G
3472|TYC 9038-1557-1                                                                                          |Star                                  |16 43 57.4992942744 -60 08 57.052754340|328.2940337709566 -09.2993623321009| -5.519 -13.481   |10.45    |~                 |    ~     ~    |    1|  417.136   pc  |  -2.5230     +2.5230  |paral   |2020yCat.1350....0G
3473|TYC 9038-1647-1                                                                                          |Star                                  |16 44 40.0116191064 -60 13 00.315207876|328.2988276509096 -09.4102734241488| -7.224 -14.401   |10.75    |~                 |    ~     ~    |    1|  483.699   pc  | -15.7926    +15.7926  |paral   |2020yCat.1350....0G
3474|HD 148411                                                                                                |Star                                  |16 30 42.6553362024 -55 09 50.608122876|330.8646132377474 -04.6661283451399| -8.345 -17.207   |9.41     |A9V               |    ~     ~    |    1|  548.456   pc  |  -5.2641     +5.2641  |paral   |2020yCat.1350....0G
3475|HD 148549                                                                                                |Double or Multiple Star               |16 31 45.6501314350 -55 03 55.486112514|331.0397452722000 -04.7085610039869|    6.197 0.349   |8.844    |B5/6III           |0.0050  0.0    |    0|                |                       |        |                   
3476|HD 148721                                                                                                |Star                                  |16 32 57.6397155072 -54 52 12.228988620|331.3009475486475 -04.7021048268214|  -4.266 -5.866   |9.45     |B5II/III          |    ~     ~    |    1|  661.726   pc  |  -8.9328     +8.9328  |paral   |2020yCat.1350....0G
3477|HD 148309                                                                                                |Star                                  |16 30 06.9174550560 -55 30 45.636107868|330.5513561439773 -04.8429087185515|  -3.247 -7.746   |9.07     |G6III             |    ~     ~    |    1|  696.136   pc  | -10.7098    +10.7098  |paral   |2020yCat.1350....0G
3478|HD 148473                                                                                                |Star                                  |16 31 23.2013254152 -55 56 23.361591228|330.3609207667554 -05.2654109409049|  -0.606 -6.204   |7.96     |B8II              |    ~     ~    |    1|  614.553   pc  | -10.8393    +10.8393  |paral   |2020yCat.1350....0G
3479|HD 148541                                                                                                |Star                                  |16 31 44.6864924976 -55 39 49.987609632|330.5982318601097 -05.1143569368469|  -0.459 -3.529   |9.48     |B5III             |    ~     ~    |    1|  815.727   pc  | -21.4262    +21.4262  |paral   |2020yCat.1350....0G
3480|HD 149115                                                                                                |alpha2 CVn Variable                   |16 35 31.8790610088 -54 49 25.312868544|331.5859195811631 -04.9438288393588|   1.088 -6.871   |9.60     |ApSi              |    ~     ~    |    1|  702.889   pc  | -11.3632    +11.3632  |paral   |2020yCat.1350....0G
3481|HD 149233                                                                                                |Star                                  |16 36 21.5561014344 -54 52 29.538929352|331.6280435139041 -05.0665441489583|  -4.171 -5.992   |9.29     |B5III             |    ~     ~    |    1|  629.604   pc  |  -8.4037     +8.4037  |paral   |2020yCat.1350....0G
3482|HD 148310                                                                                                |Star                                  |16 30 16.6217367360 -56 35 04.331508288|329.7819196360038 -05.5927526341314| -2.735 -17.329   |9.63     |G8III             |    ~     ~    |    1|  508.285   pc  |  -3.6170     +3.6170  |paral   |2020yCat.1350....0G
3483|HD 148422                                                                                                |Star                                  |16 30 59.8917961848 -56 29 43.228963104|329.9155951624762 -05.6045010983696|  -2.818 -5.457   |8.65     |B1Ia              |    ~     ~    |    0|                |                       |        |                   
3484|IRAS 16286-5543                                                                                          |Star                                  |16 32 43.0875118056 -55 49 53.847168060|330.5680515056362 -05.3288115064331| -6.119 -15.107   |9.38     |~                 |    ~     ~    |    1|  764.643   pc  | -12.8629    +12.8629  |paral   |2020yCat.1350....0G
3485|CD-54 6819                                                                                               |Star                                  |16 32 33.9025284864 -55 16 21.145761372|330.9656909840935 -04.9336008277385|  -3.688 -7.715   |10.15    |~                 |    ~     ~    |    1|  545.048   pc  | -22.2511    +22.2511  |paral   |2020yCat.1350....0G
3486|TYC 8716-1171-1                                                                                          |Emission-line Star                    |16 34 07.5488053152 -54 26 53.380974264|331.7269386269350 -04.5405498233532|  -2.524 -4.884   |10.60    |~                 |    ~     ~    |    1| 1508.751   pc  | -40.5187    +40.5187  |paral   |2020yCat.1350....0G
3487|CD-54 6799                                                                                               |Star                                  |16 30 17.3205919248 -55 14 04.842794004|330.7715803796617 -04.6705009455420|    0.382 4.658   |9.47     |~                 |    ~     ~    |    1|  991.375   pc  | -16.2166    +16.2166  |paral   |2020yCat.1350....0G
3488|CD-54 6826                                                                                               |Star                                  |16 33 49.6797493344 -55 13 22.212730200|331.1247593272222 -05.0323503672009|  -0.410 -1.911   |9.07     |~                 |    ~     ~    |    1| 1546.790   pc  | -48.8082    +48.8082  |paral   |2020yCat.1350....0G
3489|TYC 8712-1465-1                                                                                          |Star                                  |16 30 20.2788028728 -54 15 00.477905652|331.4958822585961 -04.0013428359250|  -1.683 -3.225   |10.81    |~                 |    ~     ~    |    1|  721.501   pc  |  -8.0687     +8.0687  |paral   |2020yCat.1350....0G
3490|TYC 8712-1961-1                                                                                          |Star                                  |16 30 27.6689319744 -54 21 36.882833472|331.4277994015358 -04.0898602966046|   1.519 -7.109   |10.92    |~                 |    ~     ~    |    1| 1270.164   pc  | -52.9168    +52.9168  |paral   |2020yCat.1350....0G
3491|TYC 8712-2075-1                                                                                          |Star                                  |16 31 30.9813302496 -54 16 36.071291028|331.5943958677668 -04.1450573995389|   2.262 -2.852   |10.19    |~                 |    ~     ~    |    1|  924.898   pc  | -13.4304    +13.4304  |paral   |2020yCat.1350....0G
3492|TYC 8712-2407-1                                                                                          |Star                                  |16 30 47.1743957448 -54 14 13.996005252|331.5502605352198 -04.0402324186340|  -4.296 -7.219   |10.62    |~                 |    ~     ~    |    1|  760.746   pc  |  -9.0282     +9.0282  |paral   |2020yCat.1350....0G
3493|TYC 8712-2450-1                                                                                          |Star                                  |16 30 43.6210845048 -54 17 53.566980252|331.4997344064448 -04.0756537495845|  -1.070 -5.887   |10.89    |~                 |    ~     ~    |    1|  755.744   pc  | -11.1945    +11.1945  |paral   |2020yCat.1350....0G
3494|TYC 8712-2479-1                                                                                          |Star                                  |16 33 06.1497235272 -54 16 29.451837396|331.7536791795714 -04.3135107324462|  -0.056 -0.878   |10.81    |~                 |    ~     ~    |    1|  758.035   pc  | -20.4564    +20.4564  |paral   |2020yCat.1350....0G
3495|TYC 8716-20-1                                                                                            |Star                                  |16 34 54.6259413000 -54 54 53.094191076|331.4579896008854 -04.9389508499395|  -1.135 -2.639   |10.76    |~                 |    ~     ~    |    1|  899.685   pc  | -16.9981    +16.9981  |paral   |2020yCat.1350....0G
3496|TYC 8716-26-1                                                                                            |Star                                  |16 33 50.1885512400 -54 32 55.095183600|331.6241714032509 -04.5775041453976| -8.411 -17.809   |10.83    |~                 |    ~     ~    |    1|  559.441   pc  |  -5.0702     +5.0702  |paral   |2020yCat.1350....0G
