C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |CD-39 10456                                                                                              |Star                                  |16 31 03.2377719384 -40 16 07.393494504|341.7739295262550 +05.4915993934495| -1.363 -11.957   |10.60    |~                 |    ~     ~    |    1|  405.877   pc  | -13.7225    +13.7225  |paral   |2020yCat.1350....0G
33  |HD 325650                                                                                                |Star                                  |16 30 30.9199394760 -40 39 21.433060620|341.4194303375064 +05.3021581858496|   1.180 -0.745   |10.66    |A2                |    ~     ~    |    1| 1010.816   pc  | -18.5958    +18.5958  |paral   |2020yCat.1350....0G
34  |HD 325664                                                                                                |Star                                  |16 30 38.7682356096 -41 55 11.291213064|340.5106534526437 +04.4201201360492| -1.823 -13.886   |10.65    |A3                |    ~     ~    |    1|  260.200   pc  |  -1.1307     +1.1307  |paral   |2020yCat.1350....0G
35  |HD 325662                                                                                                |Star                                  |16 30 52.9191452424 -41 08 05.606006640|341.1157908929842 +04.9243788718931|  -4.271 -3.727   |10.69    |A0                |    ~     ~    |    1|  551.298   pc  |  -4.6805     +4.6805  |paral   |2020yCat.1350....0G
36  |HD 325652                                                                                                |Star                                  |16 31 48.8476120920 -40 40 29.631613260|341.5741597655470 +05.1090910627542|   0.061 -1.534   |9.94     |K0                |    ~     ~    |    1|  764.584   pc  |  -9.9380     +9.9380  |paral   |2020yCat.1350....0G
37  |HD 325659                                                                                                |Star                                  |16 32 45.7577646192 -41 20 43.741887288|341.2025761318784 +04.5220632542146|-24.033 -21.979   |10.49    |K0                |    ~     ~    |    1|  318.796   pc  |  -1.6667     +1.6667  |paral   |2020yCat.1350....0G
38  |HD 325654                                                                                                |Star                                  |16 33 09.6010506504 -40 53 40.970642820|341.5858365623764 +04.7728032214135|  -4.743 -4.312   |10.36    |K5                |    ~     ~    |    1|  785.669   pc  | -11.3579    +11.3579  |paral   |2020yCat.1350....0G
39  |HD 325728                                                                                                |Star                                  |16 33 15.7327575072 -42 19 48.144115776|340.5408662928653 +03.7855496264906| 12.727 -11.912   |10.46    |G0                |    ~     ~    |    1|  158.609   pc  |  -2.4880     +2.4880  |paral   |2020yCat.1350....0G
40  |HD 325657                                                                                                |Star                                  |16 33 18.2430644112 -41 07 18.642935280|341.4367012976205 +04.5989238383131|  -0.971 -4.089   |10.59    |M0                |    ~     ~    |    1|  835.701   pc  | -10.7553    +10.7553  |paral   |2020yCat.1350....0G
41  |HD 149275                                                                                                |Star                                  |16 35 28.7301419520 -40 13 04.719739764|342.3853269965980 +04.9043894725362|   0.049 -1.191   |8.98     |K3(III)           |    ~     ~    |    1|  550.085   pc  |  -6.4755     +6.4755  |paral   |2020yCat.1350....0G
42  |HD 148972                                                                                                |Emission-line Star                    |16 33 28.9907289792 -40 32 46.884074928|341.8847191335313 +04.9636296205211|  -4.094 -3.864   |9.38     |B8II              |    ~     ~    |    1|  557.942   pc  |  -5.6345     +5.6345  |paral   |2020yCat.1350....0G
43  |HD 148985                                                                                                |Star                                  |16 33 36.5695868136 -40 46 13.205484372|341.7354555334467 +04.7944502488331|    7.226 2.087   |7.69     |F2IV/V            |    ~     ~    |    1|   70.594   pc  |  -0.1380     +0.1380  |paral   |2020yCat.1350....0G
44  |HD 325691                                                                                                |Star                                  |16 34 14.9012510616 -40 41 05.437855176|341.8807696980762 +04.7630077922883|   -0.903 0.816   |10.58    |B3                |    ~     ~    |    1| 2237.136   pc  |-103.5989   +103.5989  |paral   |2020yCat.1350....0G
45  |HD 149093                                                                                                |Star                                  |16 34 21.9680650872 -41 15 35.315795124|341.4703219654127 +04.3584354328444|  -0.870 -3.191   |10.15    |A2/3V             |    ~     ~    |    1|  517.331   pc  | -35.5414    +35.5414  |paral   |2020yCat.1350....0G
46  |HD 149153                                                                                                |Star                                  |16 34 40.6843782744 -40 20 51.405141372|342.1859356760546 +04.9301409692400| -3.654 -46.492   |9.24     |G1V               |    ~     ~    |    1|   88.620   pc  |  -0.1233     +0.1233  |paral   |2020yCat.1350....0G
47  |HD 321817                                                                                                |High Proper Motion Star               |16 35 01.3767542400 -40 26 31.202680956|342.1602898601276 +04.8180344463244|-55.105 -52.133   |10.58    |K5                |    ~     ~    |    1|   74.698   pc  |  -0.0893     +0.0893  |paral   |2020yCat.1350....0G
48  |HD 149293                                                                                                |Star                                  |16 35 37.5447505056 -40 33 12.053329632|342.1549256885536 +04.6583405075960|  -7.620 -3.013   |9.80     |G8                |    ~     ~    |    1|  443.400   pc  |  -2.5558     +2.5558  |paral   |2020yCat.1350....0G
49  |HD 149339                                                                                                |Star                                  |16 35 48.5646802008 -41 12 03.207256992|341.6972805510614 +04.1975505370347| -1.419 -11.404   |9.05     |B8II              |    ~     ~    |    1|  519.400   pc  | -14.9995    +14.9995  |paral   |2020yCat.1350....0G
50  |HD 149354                                                                                                |Star                                  |16 35 55.3612597152 -40 19 58.517696460|342.3568927823550 +04.7644737098201|-12.289 -21.001   |9.89     |F3/5V             |    ~     ~    |    1|  171.127   pc  |  -0.5125     +0.5125  |paral   |2020yCat.1350....0G
51  |HD 325692                                                                                                |Star                                  |16 36 03.4227575424 -40 37 50.328444936|342.1526051589069 +04.5457626505186| -3.505 -12.539   |9.98     |K0                |    ~     ~    |    1|  377.216   pc  |  -1.8498     +1.8498  |paral   |2020yCat.1350....0G
52  |HD 149425                                                                                                |Star                                  |16 36 28.6730639112 -40 18 10.916595000|342.4503360922481 +04.7059834458404|-12.044 -20.890   |7.10     |B9V               |    ~     ~    |    1|  184.413   pc  |  -1.0134     +1.0134  |paral   |2020yCat.1350....0G
53  |HD 149492                                                                                                |Star                                  |16 37 03.0268182624 -40 41 52.612197000|342.2290560148711 +04.3608077001998|-15.442 -16.707   |9.75     |F0V               |    ~     ~    |    1|  205.791   pc  |  -0.6056     +0.6056  |paral   |2020yCat.1350....0G
54  |HD 149516                                                                                                |Star                                  |16 37 10.9802686656 -41 05 51.837412020|341.9478166824685 +04.0748220485689|  -5.446 -7.799   |10.66    |A7/9              |    ~     ~    |    1|  305.567   pc  |  -1.3912     +1.3912  |paral   |2020yCat.1350....0G
55  |HD 149607                                                                                                |Star                                  |16 37 39.9923656080 -41 10 41.986347744|341.9486962978928 +03.9532345712165|   4.147 -6.625   |9.51     |A2V               |    ~     ~    |    1|  432.189   pc  |  -8.2560     +8.2560  |paral   |2020yCat.1350....0G
56  |HD 149606                                                                                                |High Proper Motion Star               |16 37 36.1132890770 -40 53 17.005865467|342.1571657805125 +04.1561249151701|-377.951 -384.226 |8.94     |K2.5V             |    ~     ~    |    1|   35.3155  pc  |  -0.0172     +0.0172  |paral   |2020yCat.1350....0G
57  |HD 149622                                                                                                |Star                                  |16 37 45.4903005552 -41 02 49.955765496|342.0581074480548 +04.0279166478447|  -1.238 -5.969   |9.95     |B9.5V             |    ~     ~    |    1|  499.750   pc  |  -3.5215     +3.5215  |paral   |2020yCat.1350....0G
58  |HD 149739                                                                                                |Star                                  |16 38 33.9256147824 -41 07 59.007442476|342.0955839012804 +03.8573086773273|    4.384 1.479   |10.41    |A9V               |    ~     ~    |    1|  549.451   pc  |  -4.4681     +4.4681  |paral   |2020yCat.1350....0G
59  |HD 149874                                                                                                |Star                                  |16 39 08.0131135584 -40 26 58.787116440|342.6790343359555 +04.2313015317194| -7.813 -11.733   |10.37    |A7/9(V)           |    ~     ~    |    1|  265.365   pc  |  -1.2253     +1.2253  |paral   |2020yCat.1350....0G
60  |HD 149875                                                                                                |Star                                  |16 39 14.9140736184 -40 52 00.608374164|342.3808038395198 +03.9380119261953|-20.783 -14.396   |10.00    |F5V               |    ~     ~    |    1|  157.821   pc  |  -0.4060     +0.4060  |paral   |2020yCat.1350....0G
61  |HD 149896                                                                                                |Double or Multiple Star               |16 39 20.608 -40 26 15.58              |342.714615 +04.209392              |    -21.7 -24.0   |9.4      |F2V               |    ~     ~    |    0|                |                       |        |                   
62  |HD 150093                                                                                                |Be Star                               |16 40 42.4583060880 -41 07 37.077818340|342.3682633447288 +03.5594562394079|  -4.088 -8.530   |7.93     |B3/5II/III        |    ~     ~    |    1|  379.363   pc  |  -4.1448     +4.1448  |paral   |2020yCat.1350....0G
