C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
3282|TYC 6508-2811-1                                                       |Star                                  |06 36 00.8268196656 -24 11 35.403046476|233.2374994942311 -13.9729197818963|   -1.873 5.814   |10.83    |~                 |    ~     ~    |    1|  631.912   pc  | -20.4049    +20.4049    |paral   |2020yCat.1350....0G
3283|TYC 6512-240-1                                                        |Star                                  |06 35 10.2273937560 -24 34 20.456046516|233.5158919068672 -14.3012088862806|   -2.970 0.824   |10.55    |~                 |    ~     ~    |    1|  861.920   pc  |  -9.2120     +9.2120    |paral   |2020yCat.1350....0G
3284|TYC 6512-524-1                                                        |Star                                  |06 38 20.3291645688 -24 27 43.304281020|233.7112061870541 -13.5972142415043|   -0.978 5.531   |10.77    |~                 |    ~     ~    |    1|  495.417   pc  |  -3.3870     +3.3870    |paral   |2020yCat.1350....0G
3285|TYC 6512-662-1                                                        |Star                                  |06 37 48.5243759496 -24 44 49.744196880|233.9294395343455 -13.8227389483548|    0.983 8.578   |10.78    |~                 |    ~     ~    |    1|  465.962   pc  |  -4.9938     +4.9938    |paral   |2020yCat.1350....0G
3286|TYC 6512-856-1                                                        |Star                                  |06 41 30.8455920984 -24 23 44.063692908|233.9514691517840 -12.9101227278801|   -4.202 5.931   |10.11    |~                 |    ~     ~    |    1|  252.551   pc  |  -1.2055     +1.2055    |paral   |2020yCat.1350....0G
3287|TYC 6512-1062-1                                                       |Star                                  |06 34 34.8552639024 -24 32 42.005496516|233.4346031884372 -14.4130837200409|  -0.056 -1.165   |10.96    |~                 |    ~     ~    |    1| 1022.390   pc  | -15.8883    +15.8883    |paral   |2020yCat.1350....0G
3288|TYC 6512-1094-1                                                       |Star                                  |06 33 57.3481171800 -24 30 54.757907568|233.3476895671100 -14.5314851419375|   -2.911 7.133   |10.718   |~                 |    ~     ~    |    1| 1147.450   pc  | -73.1900    +73.1900    |ST-L    |2020AJ....160...83S
3289|TYC 6512-1102-1                                                       |Star                                  |06 38 00.0750725424 -24 56 08.312202996|234.1252145810125 -13.8588217004068|    0.461 0.382   |10.84    |~                 |    ~     ~    |    1| 1091.227   pc  | -13.6939    +13.6939    |paral   |2020yCat.1350....0G
3290|TYC 6512-1226-1                                                       |High Proper Motion Star               |06 41 39.259632 -24 29 13.77132        |234.050599425 -12.918525462        |      7.3 183.6   |10.893   |~                 |    ~     ~    |    1|  136.248   pc  | -71.226     +71.226     |ST-L    |2017AJ....153...75K
3291|TYC 6512-1236-1                                                       |Star                                  |06 36 00.7151415576 -24 39 45.666198036|233.6804221725277 -14.1622799211626|  -5.498 -8.634   |10.54    |~                 |    ~     ~    |    1|  939.144   pc  | -11.9069    +11.9069    |paral   |2020yCat.1350....0G
3292|TYC 6512-1433-1                                                       |Star                                  |06 40 33.3305532408 -24 51 00.860385744|234.2862670452890 -13.2946384237581|   0.212 22.389   |10.99    |~                 |    ~     ~    |    1|  370.989   pc  |  -5.2163     +5.2163    |paral   |2020yCat.1350....0G
3293|TYC 6512-1470-1                                                       |Star                                  |06 41 45.4935430920 -24 56 26.824633476|234.4853604980474 -13.0824820888364|  -1.468 -0.325   |10.94    |~                 |    ~     ~    |    1|  646.037   pc  |  -6.3022     +6.3022    |paral   |2020yCat.1350....0G
3294|TYC 6512-1691-1                                                       |Star                                  |06 39 56.1326762160 -24 51 28.950584508|234.2348368583286 -13.4263029086641|   -2.643 8.888   |10.627   |~                 |    ~     ~    |    1| 1692.810   pc  |-134.6000   +134.6000    |ST-L    |2020AJ....160...83S
3295|TYC 6512-1868-1                                                       |Star                                  |06 40 13.4421918024 -24 51 53.607473280|234.2685985895509 -13.3692894546107|   4.510 19.102   |9.906    |~                 |    ~     ~    |    1|  986.310   pc  | -48.4600    +48.4600    |ST-L    |2020AJ....160...83S
3296|TYC 6512-2150-1                                                       |Star                                  |06 37 34.2762941208 -24 48 37.029691080|233.9665472526257 -13.8975279444328|    0.285 5.681   |10.32    |~                 |    ~     ~    |    1|  884.877   pc  |  -9.3178     +9.3178    |paral   |2020yCat.1350....0G
3297|TYC 6521-14-1                                                         |Star                                  |06 44 00.0552409896 -23 03 46.795640112|232.9501594435774 -11.8409535734735|   -0.116 4.773   |10.83    |~                 |    ~     ~    |    1| 1102.171   pc  | -13.9700    +13.9700    |paral   |2020yCat.1350....0G
3298|TYC 6521-76-1                                                         |Star                                  |06 44 30.4309514928 -23 00 08.867601612|232.9436446823612 -11.7098410214041|  -3.751 15.184   |10.79    |~                 |    ~     ~    |    1|  133.069   pc  |  -0.1930     +0.1930    |paral   |2020yCat.1350....0G
3299|TYC 6521-161-1                                                        |Spectroscopic Binary                  |06 42 46.2985436232 -22 56 43.443773700|232.7204474952920 -12.0491443433670|    1.165 9.752   |9.799    |~                 |    ~     ~    |    1| 2398.700   pc  |-355.1000   +355.1000    |ST-L    |2020AJ....160...83S
3300|TYC 6521-599-1                                                        |Star                                  |06 43 20.0356543824 -23 09 51.526426572|232.9790078998922 -12.0225798461725|    1.979 0.700   |10.86    |~                 |    ~     ~    |    1|  339.006   pc  |  -1.8158     +1.8158    |paral   |2020yCat.1350....0G
3301|TYC 6521-709-1                                                        |Spectroscopic Binary                  |06 44 03.2574974472 -22 38 13.948535220|232.5602788060916 -11.6518973867825|  9.184 -64.779   |10.72    |~                 |    ~     ~    |    1|  258.465   pc  |  -4.1819     +4.1819    |paral   |2020yCat.1350....0G
3302|TYC 6521-734-1                                                        |Star                                  |06 42 20.4493133136 -22 32 45.658785156|232.3069122612339 -11.9731910135922|  -3.237 -6.255   |10.628   |~                 |    ~     ~    |    1| 1231.780   pc  | -83.1000    +83.1000    |ST-L    |2020AJ....160...83S
3303|TYC 6521-954-1                                                        |Star                                  |06 43 52.3493176344 -22 45 56.640193992|232.6616008331561 -11.7437273900861|   -6.958 2.423   |10.96    |~                 |    ~     ~    |    1|  280.222   pc  |  -2.0495     +2.0495    |paral   |2020yCat.1350....0G
3304|GSC 06521-01179                                                       |Double or Multiple Star               |06 44 56.4282319680 -22 34 40.392876936|232.5927839766075 -11.4413418970153| -4.474 -15.421   |10.833   |~                 |    ~     ~    |    1|  239.441   pc  |  -1.0664     +1.0664    |paral   |2020yCat.1350....0G
3305|TYC 6521-1551-1                                                       |Star                                  |06 43 57.9579427344 -23 49 12.378302148|233.6506500977411 -12.1631443967935|   -7.310 2.811   |10.81    |~                 |    ~     ~    |    1|  337.621   pc  |  -5.4828     +5.4828    |paral   |2020yCat.1350....0G
3306|TYC 6521-1614-1                                                       |Star                                  |06 43 49.5119988576 -23 12 11.634464448|233.0632201758890 -11.9361221389256|   -4.351 4.772   |10.881   |~                 |    ~     ~    |    1| 1357.260   pc  |-107.8000   +107.8000    |ST-L    |2020AJ....160...83S
3307|TYC 6521-1679-1                                                       |Star                                  |06 42 00.7446975672 -23 34 17.167240668|233.2294925144477 -12.4673350253317|   -6.519 9.441   |10.89    |~                 |    ~     ~    |    1|  344.721   pc  |  -1.7825     +1.7825    |paral   |2020yCat.1350....0G
3308|GSC 06521-01915                                                       |Double or Multiple Star               |06 44 10.9820909208 -23 45 10.608464412|233.6092299678666 -12.0900951687577|  -6.747 -0.649   |10.910   |~                 |    ~     ~    |    1|  492.271   pc  |  -5.9129     +5.9129    |paral   |2020yCat.1350....0G
3309|TYC 6521-1980-1                                                       |Star                                  |06 42 59.6975606952 -23 14 51.781271460|233.0234788987454 -12.1280850238370|   0.674 -0.363   |10.473   |~                 |    ~     ~    |    1| 1433.540   pc  |-111.1000   +111.1000    |ST-L    |2020AJ....160...83S
3310|TYC 6521-2059-1                                                       |Star                                  |06 44 19.6030253832 -23 38 08.279322432|233.5140920592581 -12.0114331077108|  -3.356 -2.826   |10.72    |~                 |    ~     ~    |    1|  461.915   pc  |  -6.1023     +6.1023    |paral   |2020yCat.1350....0G
3311|TYC 6521-2147-1                                                       |Star                                  |06 44 27.0318571680 -23 46 07.536354744|233.6499366254966 -12.0409877465748|   -0.721 0.219   |10.78    |~                 |    ~     ~    |    1| 1205.546   pc  | -24.2708    +24.2708    |paral   |2020yCat.1350....0G
3312|TYC 6521-2415-1                                                       |Red Giant Branch star                 |06 42 09.1958026488 -24 15 26.060725224|233.8833734338872 -12.7205751329015| -29.133 16.290   |10.742   |~                 |    ~     ~    |    1|  455.640   pc  | -10.7900    +10.7900    |ST-L    |2020AJ....160...83S
3313|TYC 6521-2453-1                                                       |Star                                  |06 44 06.7170315384 -23 48 05.521727268|233.6475346558703 -12.1250590643663|   -4.781 9.946   |10.45    |~                 |    ~     ~    |    1|  811.096   pc  |  -8.6182     +8.6182    |paral   |2020yCat.1350....0G
3314|TYC 6521-2529-1                                                       |Star                                  |06 44 40.6215754920 -23 52 35.167861776|233.7720870731807 -12.0386095620161|    4.085 2.656   |10.14    |~                 |    ~     ~    |    1|  644.122   pc  |  -5.6426     +5.6426    |paral   |2020yCat.1350....0G
3315|TYC 6521-2700-1                                                       |Star                                  |06 43 34.8552239712 -23 50 19.029514524|233.6305493272360 -12.2509540652316|    1.580 1.865   |10.717   |~                 |    ~     ~    |    1|  976.083   pc  | -46.7500    +46.7500    |ST-L    |2020AJ....160...83S
3316|TYC 6521-2741-1                                                       |Star                                  |06 43 08.3563005936 -23 24 46.161796320|233.1911936798978 -12.1664857123474|-14.659 -26.741   |10.82    |~                 |    ~     ~    |    1|  431.202   pc  |  -2.2498     +2.2498    |paral   |2020yCat.1350....0G
3317|TYC 6521-2937-1                                                       |Star                                  |06 44 35.1421919808 -24 11 35.373844716|234.0579745742688 -12.1889975570427|   -1.550 2.455   |10.70    |~                 |    ~     ~    |    1| 1054.185   pc  | -16.8919    +16.8919    |paral   |2020yCat.1350....0G
3318|TYC 6521-3062-1                                                       |Star                                  |06 43 47.6154699072 -24 05 39.265534356|233.8892757721473 -12.3125343901491|   -3.465 4.599   |10.695   |~                 |    ~     ~    |    1|  996.739   pc  | -49.9100    +49.9100    |ST-L    |2020AJ....160...83S
3319|TYC 6521-3183-1                                                       |Star                                  |06 42 39.0116081784 -24 16 34.726745676|233.9489381263215 -12.6251874971501|   0.939 -1.282   |9.82     |~                 |    ~     ~    |    1| 1411.831   pc  | -22.9226    +22.9226    |paral   |2020yCat.1350....0G
3320|TYC 6521-3403-1                                                       |Spectroscopic Binary                  |06 43 40.8120418656 -23 54 31.796209296|233.7055671278723 -12.2593733652835|    7.132 3.729   |10.98    |~                 |    ~     ~    |    1|  252.851   pc  |  -1.8860     +1.8860    |paral   |2020yCat.1350....0G
3321|TYC 6521-3502-1                                                       |Star                                  |06 42 56.0771977848 -24 11 41.475448536|233.9002498445903 -12.5325506481674|  -3.692 12.057   |10.50    |~                 |    ~     ~    |    1|  437.905   pc  |  -2.7230     +2.7230    |paral   |2020yCat.1350....0G
3322|TYC 6525-180-1                                                        |Star                                  |06 44 07.2073555080 -24 22 31.655406828|234.1828916896754 -12.3610174700733|   -1.543 2.541   |10.60    |~                 |    ~     ~    |    1|  955.749   pc  | -38.4565    +38.4565    |paral   |2020yCat.1350....0G
3323|TYC 6525-188-1                                                        |Red Giant Branch star                 |06 43 09.5736868560 -24 22 52.002229728|234.0957500195047 -12.5625972925281|   -1.992 4.809   |10.684   |~                 |    ~     ~    |    1| 1248.750   pc  | -77.9500    +77.9500    |ST-L    |2020AJ....160...83S
3324|TYC 6525-228-1                                                        |Star                                  |06 43 04.8419669616 -24 25 57.380182608|234.1362552975384 -12.6001621826377|  -7.269 12.569   |10.452   |~                 |    ~     ~    |    1| 1199.390   pc  | -66.0200    +66.0200    |ST-L    |2020AJ....160...83S
3325|TYC 6525-742-1                                                        |Star                                  |06 43 18.4321570968 -24 41 39.441491196|234.4023985071693 -12.6608685933724|  -4.205 -5.988   |10.50    |~                 |    ~     ~    |    1|  599.161   pc  | -14.2162    +14.2162    |paral   |2020yCat.1350....0G
3326|TYC 6525-902-1                                                        |Star                                  |06 42 59.4234880224 -24 38 12.119877492|234.3182643737602 -12.7028177063167|   -6.218 7.879   |10.590   |~                 |    ~     ~    |    1|  953.103   pc  | -48.2600    +48.2600    |ST-L    |2020AJ....160...83S
3327|TYC 6525-1084-1                                                       |Star                                  |06 43 30.9644269680 -24 46 41.472981948|234.5007659533642 -12.6521247728978|   -0.902 4.466   |10.64    |~                 |    ~     ~    |    1|  564.079   pc  |  -5.2182     +5.2182    |paral   |2020yCat.1350....0G
3328|CD-25 3362                                                            |Star                                  |06 33 56.0897397528 -25 29 51.751046472|234.2778628094496 -14.9265007132011|  5.781 -10.558   |9.93     |~                 |    ~     ~    |    1|  172.673   pc  |  -0.3966     +0.3966    |paral   |2020yCat.1350....0G
3329|HD 46752                                                              |Star                                  |06 34 05.1975682968 -26 01 41.588922144|234.7964896523111 -15.1045183603897|    9.033 8.699   |8.03     |A5IV/V            |    ~     ~    |    1|  135.015   pc  |  -0.4247     +0.4247    |paral   |2020yCat.1350....0G
3330|HD 46811                                                              |Star                                  |06 34 21.2285393568 -25 50 14.013301668|234.6392804478545 -14.9739958217703|  10.666 18.343   |9.33     |A8V               |    ~     ~    |    1|  476.417   pc  |  -3.9039     +3.9039    |paral   |2020yCat.1350....0G
3331|HD 46810                                                              |Star                                  |06 34 23.5850691984 -25 31 53.795687664|234.3524323056711 -14.8449816336392|   0.266 -1.455   |9.24     |K5(III)           |    ~     ~    |    1|  636.542   pc  | -21.2400    +21.2400    |ST-L    |2020AJ....160...83S
3332|HD 46994                                                              |beta Cep Variable                     |06 35 13.1195643288 -25 50 24.781865712|234.7217607662114 -14.7964494518183|   -2.596 3.431   |7.86     |B2/3V             |    ~     ~    |    1|  870.474   pc  | -29.2482    +29.2482    |paral   |2020yCat.1350....0G
3333|HD 47024                                                              |High Proper Motion Star               |06 35 28.4999375736 -25 51 26.665131132|234.7617166980528 -14.7503083552360|  -5.187 82.223   |9.23     |F0V               |    ~     ~    |    1|  194.273   pc  |  -1.4833     +1.4833    |paral   |2020yCat.1350....0G
3334|CD-25 3391                                                            |Star                                  |06 35 34.8806670168 -25 29 46.778462700|234.4290077973328 -14.5849153691389|    4.514 1.233   |10.137   |~                 |    ~     ~    |    1|  443.146   pc  | -10.0000    +10.0000    |ST-L    |2020AJ....160...83S
3335|CD-25 3384                                                            |Star                                  |06 35 19.5718550064 -26 02 45.418964784|234.9270993749495 -14.8556707931948|  -1.819 37.857   |9.64     |~                 |    ~     ~    |    1|  100.013   pc  |  -0.1340     +0.1340    |paral   |2020yCat.1350....0G
3336|HD 47041                                                              |Double or Multiple Star               |06 35 37.72098 -26 02 29.5138          |234.95070987 -14.79152436          |    -4.92 -4.29   |8.14     |F7V               |    ~     ~    |    0|                |                         |        |                   
3337|HD 46772                                                              |Star                                  |06 34 07.7032691424 -26 50 27.526975584|235.5752562623609 -15.4146844284435| 24.603 -20.719   |9.30     |K1/2III           |    ~     ~    |    1|  582.852   pc  | -15.5590    +15.5590    |paral   |2020yCat.1350....0G
3338|CD-26 3142                                                            |Star                                  |06 34 25.1555242248 -26 22 29.095604832|235.1569433468871 -15.1722242633512|   -1.222 0.625   |10.28    |~                 |    ~     ~    |    1|  878.503   pc  | -17.2104    +17.2104    |paral   |2020yCat.1350....0G
3339|CD-26 3147                                                            |Star                                  |06 34 45.6348444720 -26 32 46.612360608|235.3514745415830 -15.1693463315218|  -46.569 4.470   |9.96     |~                 |    ~     ~    |    1|   80.266   pc  |  -0.0818     +0.0818    |paral   |2020yCat.1350....0G
3340|HD 47042                                                              |Star                                  |06 35 29.9311591176 -26 51 43.309083348|235.7193998829423 -15.1416535705802| -17.767 19.508   |9.37     |G8/K0IV           |    ~     ~    |    1|  517.063   pc  |  -3.0211     +3.0211    |paral   |2020yCat.1350....0G
3341|HD 46812                                                              |Star                                  |06 34 14.9323785096 -27 19 32.734469748|236.0494025164196 -15.5788954970864|  -3.323 -6.666   |8.84     |K0III             |    ~     ~    |    1|  450.329   pc  |  -3.3259     +3.3259    |paral   |2020yCat.1350....0G
3342|HD 46934                                                              |Star                                  |06 34 54.0202393920 -27 09 01.915512192|235.9404882408782 -15.3772621934361|  -5.349 -6.757   |9.74     |F3V               |    ~     ~    |    1|  237.417   pc  |  -0.7215     +0.7215    |paral   |2020yCat.1350....0G
3343|HD 46959                                                              |Star                                  |06 35 00.6964930824 -27 17 14.064096912|236.0810526388995 -15.4078349309306|  -6.755 -4.133   |8.90     |A5V               |    ~     ~    |    1|  245.875   pc  |  -0.9431     +0.9431    |paral   |2020yCat.1350....0G
3344|HD 46995                                                              |Star                                  |06 35 10.4963395536 -27 44 59.432160012|236.5378454861953 -15.5545289375803|   -0.806 6.084   |10.06    |B9IV/V            |    ~     ~    |    1|  681.942   pc  | -11.5331    +11.5331    |paral   |2020yCat.1350....0G
3345|CPD-27 1361                                                           |High Proper Motion Star               |06 33 48.5598721344 -27 15 03.319207272|235.9384032600926 -15.6397941577247| -11.570 91.644   |10.41    |~                 |    ~     ~    |    1|  116.197   pc  |  -0.2012     +0.2012    |paral   |2020yCat.1350....0G
3346|CD-27 3098                                                            |Star                                  |06 33 53.2926117336 -27 21 19.642177476|236.0455113140518 -15.6642348524589|   -5.223 3.815   |10.612   |~                 |    ~     ~    |    1|  958.986   pc  | -35.1400    +35.1400    |ST-L    |2020AJ....160...83S
3347|CD-27 3102                                                            |Star                                  |06 34 11.3540977704 -27 37 18.822505080|236.3274901037474 -15.7060208394959|  -2.048 -1.223   |10.56    |~                 |    ~     ~    |    1|  731.101   pc  |  -7.4831     +7.4831    |paral   |2020yCat.1350....0G
3348|CD-25 3371                                                            |Star                                  |06 34 34.7227942488 -25 19 52.344178824|234.1793662361216 -14.7270117900294|   -2.275 8.293   |10.28    |~                 |    ~     ~    |    1|  209.109   pc  |  -0.8177     +0.8177    |paral   |2020yCat.1350....0G
3349|CD-26 3150                                                            |Star                                  |06 34 55.2666881352 -26 10 21.253225296|235.0103221975295 -14.9892209252109|    1.141 5.882   |10.168   |~                 |    ~     ~    |    1|  779.029   pc  | -35.9500    +35.9500    |ST-L    |2020AJ....160...83S
3350|CD-26 3152                                                            |Star                                  |06 34 55.8862996560 -26 50 34.111285008|235.6496561637239 -15.2505406882900|   -2.009 1.563   |10.55    |~                 |    ~     ~    |    1| 1440.300   pc  | -34.8510    +34.8510    |paral   |2020yCat.1350....0G
3351|CD-26 3160                                                            |Star                                  |06 35 09.9661433304 -26 24 22.903944372|235.2551888739108 -15.0308881661785|  -0.897 -1.868   |10.19    |~                 |    ~     ~    |    1|  766.107   pc  |  -8.6277     +8.6277    |paral   |2020yCat.1350....0G
3352|CD-25 3382                                                            |Star                                  |06 35 20.2009215888 -25 33 08.221573548|234.4593855588265 -14.6578105877725|  -0.914 -6.430   |10.37    |~                 |    ~     ~    |    1|  796.432   pc  |  -6.7236     +6.7236    |paral   |2020yCat.1350....0G
3353|CD-26 3161                                                            |Star                                  |06 35 21.8850537528 -26 24 40.606103988|235.2780092221682 -14.9919423266019|    5.774 1.240   |10.62    |~                 |    ~     ~    |    1| 1013.788   pc  | -13.4637    +13.4637    |paral   |2020yCat.1350....0G
3354|CD-25 3386                                                            |Star                                  |06 35 27.3864591960 -25 16 28.764421284|234.2073266112604 -14.5225112338175|   -3.407 0.637   |10.29    |~                 |    ~     ~    |    1| 1172.058   pc  | -15.5230    +15.5230    |paral   |2020yCat.1350....0G
3355|CD-26 3163                                                            |Star                                  |06 35 33.4172085720 -26 08 22.245750888|235.0372011107883 -14.8450804264100|    1.327 7.149   |10.36    |~                 |    ~     ~    |    1|  959.325   pc  | -12.6082    +12.6082    |paral   |2020yCat.1350....0G
3356|HD 48148                                                              |Star                                  |06 40 55.4508294624 -25 06 00.637643952|234.5558170882305 -13.3199699833593| -15.575 17.635   |9.08     |F5V               |    ~     ~    |    1|  247.494   pc  |  -5.6904     +5.6904    |paral   |2020yCat.1350....0G
3357|CD-24 4348                                                            |Star                                  |06 42 47.5633496040 -25 03 02.634096636|234.6866667698069 -12.9134907177521|   -4.475 6.717   |9.929    |~                 |    ~     ~    |    1|  698.424   pc  | -22.6100    +22.6100    |ST-L    |2020AJ....160...83S
3358|HD 48742                                                              |Star                                  |06 43 46.3343466840 -25 00 56.633961420|234.7472059537296 -12.6967675932323| -12.900 -7.634   |10.04    |G6V               |    ~     ~    |    1|   91.203   pc  |  -1.2700     +1.2700    |ST-L    |2020AJ....160...83S
3359|CD-24 4387                                                            |Star                                  |06 44 57.7474293072 -25 02 16.217999880|234.8815077321494 -12.4601231900270|  -0.820 -4.471   |9.92     |~                 |    ~     ~    |    1|  657.760   pc  | -20.9400    +20.9400    |ST-L    |2020AJ....160...83S
3360|HD 47264                                                              |Star                                  |06 36 40.2864147912 -25 13 02.511780276|234.2664184884656 -14.2477631062908|   -1.707 9.258   |9.37     |A3III             |    ~     ~    |    1|  650.322   pc  | -10.7844    +10.7844    |paral   |2020yCat.1350....0G
3361|HD 47281                                                              |Star                                  |06 36 47.6783693856 -25 43 53.396265108|234.7643501749626 -14.4276972724420|   -7.861 7.874   |8.91     |A3V               |    ~     ~    |    1|  251.433   pc  |  -1.0747     +1.0747    |paral   |2020yCat.1350....0G
3362|HD 47348                                                              |Star                                  |06 37 03.9668419800 -26 01 01.659356544|235.0600277400912 -14.4854559331008|  -0.084 -2.031   |8.12     |K3III             |    ~     ~    |    1| 1025.326   pc  | -17.3463    +17.3463    |paral   |2020yCat.1350....0G
3363|CD-25 3416                                                            |High Proper Motion Star               |06 37 14.6317376664 -25 21 39.798513720|234.4557034816493 -14.1867603830056|-72.381 -142.810  |9.63     |G5                |    ~     ~    |    1|   66.824   pc  |  -0.0576     +0.0576    |paral   |2020yCat.1350....0G
3364|HD 47424                                                              |Star                                  |06 37 30.4698942024 -25 09 17.114412132|234.2855421437460 -14.0493190955210|  -2.024 -3.159   |8.44     |A0V               |    ~     ~    |    1|  245.598   pc  |  -1.1822     +1.1822    |paral   |2020yCat.1350....0G
3365|HD 47498                                                              |High Proper Motion Star               |06 37 53.4022528224 -25 47 28.810984092|234.9226140644458 -14.2254743566879|-19.636 -49.695   |9.68     |G1/2V             |    ~     ~    |    1|  151.996   pc  |  -0.2957     +0.2957    |paral   |2020yCat.1350....0G
3366|HD 47642                                                              |Star                                  |06 38 37.8550532160 -25 54 02.362274280|235.0947528655019 -14.1164728023109|   -7.478 2.091   |9.45     |F0IV/V            |    ~     ~    |    1|  651.211   pc  |  -9.0752     +9.0752    |paral   |2020yCat.1350....0G
3367|HD 47764                                                              |Spectroscopic Binary                  |06 39 10.8386306328 -25 59 39.404792328|235.2342447476372 -14.0407752384620|  -9.330 27.188   |9.09     |F6V               |    ~     ~    |    1|  186.979   pc  |  -0.5559     +0.5559    |paral   |2020yCat.1350....0G
3368|HD 47996                                                              |Star                                  |06 40 09.2685182760 -25 37 33.163330836|234.9776763225203 -13.6919081643492|   6.528 -6.008   |9.603    |K0III             |    ~     ~    |    1|  500.702   pc  | -10.4700    +10.4700    |ST-L    |2020AJ....160...83S
3369|HD 47995                                                              |Star                                  |06 40 12.4849598784 -25 29 32.082225612|234.8568975445646 -13.6268688642660| 26.282 -25.300   |9.45     |G2/3V             |    ~     ~    |    1|  123.609   pc  |  -0.1956     +0.1956    |paral   |2020yCat.1350....0G
3370|HD 48185                                                              |Star                                  |06 41 02.7167425416 -25 55 02.230005360|235.3353644079844 -13.6260897430163|   -2.294 2.948   |8.45     |A1V               |    ~     ~    |    1|  431.667   pc  |  -4.5466     +4.5466    |paral   |2020yCat.1350....0G
3371|CD-25 3481                                                            |Star                                  |06 41 07.8869329464 -25 35 06.900129600|235.0310841534297 -13.4740355366150|   -2.902 6.500   |9.92     |~                 |    ~     ~    |    1|  969.368   pc  | -10.5244    +10.5244    |paral   |2020yCat.1350....0G
3372|HD 48221                                                              |Star                                  |06 41 15.6674112936 -25 14 44.600955576|234.7243140485228 -13.3094855889810|  -2.922 -4.242   |9.37     |G8III             |    ~     ~    |    1| 1045.369   pc  | -29.8333    +29.8333    |paral   |2020yCat.1350....0G
3373|HD 48316                                                              |Star                                  |06 41 43.6867413744 -25 56 04.177265640|235.4154058162967 -13.4926260014875|   -5.596 2.371   |9.75     |A2V               |    ~     ~    |    1|  411.506   pc  |  -2.5570     +2.5570    |paral   |2020yCat.1350....0G
3374|HD 48337                                                              |Star                                  |06 41 55.2586345248 -25 07 42.873047328|234.6768375059494 -13.1254437555035|  -10.149 1.831   |10.09    |F3IV/V            |    ~     ~    |    1|  275.012   pc  |  -1.6563     +1.6563    |paral   |2020yCat.1350....0G
3375|HD 48428                                                              |Star                                  |06 42 19.1153042952 -25 58 59.637289692|235.5165003342377 -13.3910203867332|   -4.171 1.315   |9.56     |A9V               |    ~     ~    |    1|  254.582   pc  |  -0.9333     +0.9333    |paral   |2020yCat.1350....0G
3376|HD 48460                                                              |Star                                  |06 42 26.1622979904 -25 41 11.480030556|235.2488762753530 -13.2464042524935| -9.732 -18.322   |8.11     |A0III/IV          |    ~     ~    |    1|  223.629   pc  |  -1.1202     +1.1202    |paral   |2020yCat.1350....0G
3377|HD 48461                                                              |High Proper Motion Star               |06 42 30.0730136616 -25 49 54.960413736|235.3915105098379 -13.2920887517353| -15.596 48.739   |9.46     |F5V               |    ~     ~    |    1|  196.410   pc  |  -0.4282     +0.4282    |paral   |2020yCat.1350....0G
3378|HD 48522                                                              |Star                                  |06 42 50.0791128576 -25 38 19.613479380|235.2416298847934 -13.1449268274643|  -4.240 -4.376   |8.97     |F2III/IV          |    ~     ~    |    1|  217.047   pc  |  -4.5366     +4.5366    |paral   |2020yCat.1350....0G
3379|HD 48577                                                              |Star                                  |06 43 01.5856799208 -25 53 41.957927952|235.5000331137995 -13.2097650805575|   -8.709 5.402   |9.89     |A3/5III/IV        |    ~     ~    |    1|  312.823   pc  |  -5.5388     +5.5388    |paral   |2020yCat.1350....0G
3380|HD 48601                                                              |Star                                  |06 43 09.5079273600 -25 51 47.287459872|235.4825575866406 -13.1696758026360| -6.207 -11.074   |9.10     |F8/G0V            |    ~     ~    |    1|  125.832   pc  |  -0.2328     +0.2328    |paral   |2020yCat.1350....0G
3381|CD-25 3531                                                            |Star                                  |06 43 17.7132643824 -25 15 36.057184164|234.9303111117481 -12.8953809181010|   -1.971 1.966   |9.90     |~                 |    ~     ~    |    1| 1115.822   pc  | -18.4269    +18.4269    |paral   |2020yCat.1350....0G
3382|CD-25 3538                                                            |Double or Multiple Star               |06 43 27.4514953824 -26 01 00.156662040|235.6547293717972 -13.1707579128749|   7.693 15.261   |10.095   |~                 |    ~     ~    |    1|  271.299   pc  |  -3.9930     +3.9930    |ST-L    |2020AJ....160...83S
3383|HD 48759                                                              |Star                                  |06 43 50.8061980296 -25 46 19.485737724|235.4620188390499 -12.9911118836670|   0.267 -7.267   |8.14     |F2IV              |    ~     ~    |    1|  201.747   pc  |  -0.8344     +0.8344    |paral   |2020yCat.1350....0G
3384|HD 48758                                                              |Star                                  |06 43 53.5298615232 -25 32 05.818817148|235.2442492456099 -12.8848626831138|  -46.693 8.964   |6.72     |G8III             |    ~     ~    |    1|  119.753   pc  |  -0.2237     +0.2237    |paral   |2020yCat.1350....0G
