C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
53  |HD 291808                                                             |Star                                  |06 32 10.6276213296 -00 25 41.707834176|211.1141963806373 -04.4801429414225|  -2.882 -4.684   |10.09    |G5                |    ~     ~    |    1|  621.272   pc  |  -5.3651     +5.3651    |paral   |2020yCat.1350....0G
54  |HD 291831                                                             |Star                                  |06 33 19.1707477368 -01 21 07.421654592|212.0695654169935 -04.6475264112176|  -1.976 -5.256   |9.54     |B3                |    ~     ~    |    1|  608.569   pc  |  -7.2590     +7.2590    |paral   |2020yCat.1350....0G
55  |HD 291837                                                             |Star                                  |06 33 39.2582182704 -01 32 25.002913092|212.2759141956190 -04.6587913883320| -8.644 -14.344   |9.74     |G0                |    ~     ~    |    1|  146.955   pc  |  -3.0860     +3.0860    |paral   |2020yCat.1350....0G
56  |HD 291838                                                             |Star                                  |06 32 43.5928960248 -01 40 26.898840408|212.2895490351653 -04.9261622297429|  -5.960 -1.610   |10.53    |A0                |    ~     ~    |    1|  447.447   pc  |  -4.3846     +4.3846    |paral   |2020yCat.1350....0G
57  |HD 291840                                                             |Star                                  |06 32 13.7689088760 -01 56 45.584541996|212.4757923757271 -05.1605008425054|   -0.066 0.559   |10.29    |G0                |    ~     ~    |    1|  312.676   pc  |  -5.6313     +5.6313    |paral   |2020yCat.1350....0G
58  |HD 291843                                                             |Star                                  |06 33 22.1501366664 -02 02 59.447816304|212.6986894508978 -04.9541764100811| 26.198 -17.458   |10.30    |F8                |    ~     ~    |    1|  266.361   pc  |  -2.5258     +2.5258    |paral   |2020yCat.1350....0G
59  |HD 291847                                                             |Star                                  |06 32 37.5013358352 -02 16 41.186397828|212.8179133323629 -05.2235474073760|  -1.345 -4.581   |10.36    |A3                |    ~     ~    |    1|  464.102   pc  |  -8.3141     +8.3141    |paral   |2020yCat.1350....0G
60  |HD 291848                                                             |Star                                  |06 33 04.1481338088 -02 15 58.055747328|212.8578404383580 -05.1192870135180| -12.493 -7.771   |10.39    |F8                |    ~     ~    |    1|  156.179   pc  |  -3.4515     +3.4515    |paral   |2020yCat.1350....0G
61  |HD 295108                                                             |Star                                  |06 30 40.9683568344 -02 34 54.119875836|212.8681370083833 -05.7936419215493|  -4.544 -0.343   |10.51    |A2                |    ~     ~    |    1|  784.068   pc  | -14.0166    +14.0166    |paral   |2020yCat.1350....0G
62  |HD 295109                                                             |High Proper Motion Star               |06 30 04.0428861096 -02 39 20.620396980|212.8642664648607 -05.9641927915886|  89.546 31.626   |9.58     |G5                |    ~     ~    |    1|  132.531   pc  |  -0.2933     +0.2933    |paral   |2020yCat.1350....0G
63  |HD 45913                                                              |Star                                  |06 30 19.2476048688 -00 01 41.601057600|210.5444310318808 -04.7100217944983|   -4.859 0.938   |7.78     |K2III             |    ~     ~    |    1|  582.445   pc  |  -6.0046     +6.0046    |paral   |2020yCat.1350....0G
64  |HD 46472                                                              |Star                                  |06 33 35.2027544400 -00 02 14.273046636|210.9269500420566 -03.9880495088602| 10.356 -10.086   |8.66     |K3III             |    ~     ~    |    1|  628.615   pc  | -11.0249    +11.0249    |paral   |2020yCat.1350....0G
65  |TYC 4798-1197-1                                                       |Star                                  |06 33 38.5139000160 -01 06 36.895779324|211.8904979889682 -04.4655829083752| -16.520 -2.254   |10.41    |~                 |    ~     ~    |    1|  363.108   pc  |  -2.0173     +2.0173    |paral   |2020yCat.1350....0G
66  |TYC 4802-578-1                                                        |Star                                  |06 31 46.0830129576 -02 45 06.075257292|213.1440258796795 -05.6293698188596| -2.259 -16.104   |10.68    |~                 |    ~     ~    |    1|  410.374   pc  |  -3.0987     +3.0987    |paral   |2020yCat.1350....0G
67  |IRAS 06280-0031                                                       |Star                                  |06 30 32.8392326016 -00 33 48.065568048|211.0480265222747 -04.9042974224792|  -2.107 -4.077   |10.5     |M2/3              |    ~     ~    |    1| 1149.557   pc  | -26.4296    +26.4296    |paral   |2020yCat.1350....0G
