C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |TYC 3206-398-1                                                                                           |Star                               |22 00 40.6563860544 +41 15 19.744460964|091.6466226742784 -11.0173204902346|  -8.493 -1.806   |10.89    |~                   |    ~     ~    |    1|  932.227   pc  | -41.5405    +41.5405  |paral   |2020yCat.1350....0G
33  |TYC 3206-412-1                                                                                           |Star                               |22 04 06.3021543840 +41 18 04.967701092|092.1952523611955 -11.3738507294914|    6.738 7.884   |10.95    |~                   |    ~     ~    |    1|  457.708   pc  |  -2.7025     +2.7025  |paral   |2020yCat.1350....0G
34  |TYC 3206-434-1                                                                                           |Star                               |22 03 12.0963181776 +41 41 01.344139656|092.2944443673076 -10.9672496063789| -2.141 -20.127   |10.65    |~                   |    ~     ~    |    1|  582.072   pc  |  -4.0318     +4.0318  |paral   |2020yCat.1350....0G
35  |TYC 3206-436-1                                                                                           |High Proper Motion Star            |22 06 07.3699890912 +41 30 23.736358800|092.6294462919090 -11.4380692229193|-50.143 -21.044   |10.84    |~                   |    ~     ~    |    1|  241.721   pc  |  -0.5784     +0.5784  |paral   |2020yCat.1350....0G
36  |GSC 03206-00694                                                                                          |Double or Multiple Star            |22 05 09.226248 +41 31 24.30804        |092.491860033 -11.315606289        |       6.1 -2.2   |10.547   |~                   |    ~     ~    |    0|                |                       |        |                   
37  |TYC 3206-720-1                                                                                           |Star                               |22 05 05.2200735576 +41 28 33.342519108|092.4525062592665 -11.3459823004883|   4.486 10.577   |10.06    |~                   |    ~     ~    |    1|  753.977   pc  |  -7.2197     +7.2197  |paral   |2020yCat.1350....0G
38  |TYC 3206-766-1                                                                                           |Star                               |22 01 18.9249053592 +41 25 53.570772516|091.8529756355724 -10.9517977672044|   -0.337 0.967   |10.41    |~                   |    ~     ~    |    1|  701.459   pc  |  -5.1665     +5.1665  |paral   |2020yCat.1350....0G
39  |TYC 3206-832-1                                                                                           |Star                               |22 01 00.4456980768 +41 51 49.256132508|092.0762697892677 -10.5750622050457| -5.967 -12.188   |10.23    |~                   |    ~     ~    |    1|  411.692   pc  |  -3.7796     +3.7796  |paral   |2020yCat.1350....0G
40  |TYC 3206-862-1                                                                                           |Star                               |22 01 23.1966733680 +41 54 43.805966760|092.1632302419439 -10.5799451678814|-12.755 -17.131   |10.96    |~                   |    ~     ~    |    1|  607.312   pc  |  -4.0940     +4.0940  |paral   |2020yCat.1350....0G
41  |TYC 3206-893-1                                                                                           |Star                               |22 01 01.4742547848 +42 13 32.443520268|092.3043158258717 -10.2908931462105|-16.283 -16.491   |10.70    |~                   |    ~     ~    |    1|  300.987   pc  |  -2.2195     +2.2195  |paral   |2020yCat.1350....0G
42  |TYC 3206-972-1                                                                                           |Star                               |22 04 35.9449400736 +41 27 06.028240608|092.3632307355381 -11.3101890689744|    5.483 4.963   |10.77    |~                   |    ~     ~    |    1|  783.208   pc  |  -6.8089     +6.8089  |paral   |2020yCat.1350....0G
43  |TYC 3206-1052-1                                                                                          |Star                               |22 03 31.1757514392 +41 30 01.133781228|092.2291601107080 -11.1490799062067|   4.329 -4.157   |10.53    |~                   |    ~     ~    |    1|  467.443   pc  |  -3.2994     +3.2994  |paral   |2020yCat.1350....0G
44  |TYC 3206-1242-1                                                                                          |Star                               |22 01 20.9724798576 +41 40 30.383421420|092.0100219612001 -10.7631887221123|  -0.258 -0.801   |10.92    |~                   |    ~     ~    |    1| 1819.174   pc  | -43.3531    +43.3531  |paral   |2020yCat.1350....0G
45  |TYC 3206-1288-1                                                                                          |High Proper Motion Star            |22 04 36.6135779592 +41 44 01.712686632|092.5385365069756 -11.0865123420421|  45.343 22.014   |10.42    |~                   |    ~     ~    |    1|  140.199   pc  |  -0.2300     +0.2300  |paral   |2020yCat.1350....0G
46  |TYC 3206-1356-1                                                                                          |Star                               |22 03 54.5184943800 +41 43 17.692687488|092.4247450986823 -11.0171441426711| -8.133 -17.540   |10.01    |~                   |    ~     ~    |    1|  154.024   pc  |  -0.2871     +0.2871  |paral   |2020yCat.1350....0G
47  |TYC 3206-1375-1                                                                                          |Star                               |22 01 39.7990879776 +42 25 25.827879900|092.5223650205630 -10.2062367080162|   26.082 2.668   |10.98    |~                   |    ~     ~    |    1|  371.789   pc  |  -3.5939     +3.5939  |paral   |2020yCat.1350....0G
48  |TYC 3206-1376-1                                                                                          |Star                               |22 05 24.7761955944 +41 38 11.856835176|092.6008027278840 -11.2543610474448| -13.062 -7.867   |10.54    |~                   |    ~     ~    |    1|  742.060   pc  |  -9.4162     +9.4162  |paral   |2020yCat.1350....0G
49  |TYC 3206-1436-1                                                                                          |Star                               |22 01 27.5216442456 +41 20 54.808370664|091.8228173653579 -11.0338524373416|  -1.961 -5.785   |10.75    |~                   |    ~     ~    |    1|  737.790   pc  |  -9.7980     +9.7980  |paral   |2020yCat.1350....0G
50  |TYC 3206-1500-1                                                                                          |Star                               |22 04 24.8622845088 +41 31 43.060647828|092.3825222064126 -11.2279675705783|  -5.924 -4.948   |10.07    |~                   |    ~     ~    |    1| 2466.700   pc  | -70.5814    +70.5814  |paral   |2020yCat.1350....0G
51  |TYC 3206-1533-1                                                                                          |Star                               |22 00 34.4272081584 +42 33 57.624801336|092.4492986574404 -09.9709240647101|   2.907 -4.259   |10.42    |~                   |    ~     ~    |    1|  392.542   pc  |  -1.8953     +1.8953  |paral   |2020yCat.1350....0G
52  |TYC 3206-1541-1                                                                                          |Star                               |22 01 51.7157773848 +42 11 20.841579888|092.4063612968584 -10.4146003200677|  14.568 21.162   |10.96    |~                   |    ~     ~    |    1|  216.666   pc  |  -0.6103     +0.6103  |paral   |2020yCat.1350....0G
53  |TYC 3206-1559-1                                                                                          |Spectroscopic Binary               |22 00 04.0197573288 +42 37 33.420118548|092.4118787352572 -09.8663613543683|-37.864 -19.770   |10.16    |~                   |    ~     ~    |    1|  245.092   pc  |  -2.1025     +2.1025  |paral   |2020yCat.1350....0G
54  |TYC 3206-1605-1                                                                                          |Star                               |22 01 43.8553746120 +42 10 31.746596412|092.3783515238817 -10.4105922650831|   7.612 -4.501   |9.84     |~                   |    ~     ~    |    1|  282.247   pc  |  -0.9161     +0.9161  |paral   |2020yCat.1350....0G
55  |TYC 3206-1732-1                                                                                          |Star                               |22 02 13.8807704592 +42 07 19.996216716|092.4200715221678 -10.5093705746788|  38.422 16.839   |10.54    |~                   |    ~     ~    |    1|  289.352   pc  |  -1.1470     +1.1470  |paral   |2020yCat.1350....0G
56  |TYC 3206-1876-1                                                                                          |Star                               |22 03 12.2467783344 +42 01 48.842315184|092.5089813158298 -10.6921492370252| -20.087 -6.282   |10.48    |~                   |    ~     ~    |    1|  284.067   pc  |  -1.6058     +1.6058  |paral   |2020yCat.1350....0G
57  |TYC 3206-1878-1                                                                                          |Star                               |22 03 46.0439264760 +42 13 47.498515176|092.7165794443048 -10.5965917611387|   2.837 -4.741   |10.16    |~                   |    ~     ~    |    0|                |                       |        |                   
58  |TYC 3206-2031-1                                                                                          |Star                               |22 03 15.0251101320 +42 00 05.607485316|092.4982337930913 -10.7201632175049| 34.663 -11.558   |9.57     |~                   |    ~     ~    |    1|  235.156   pc  |  -0.6359     +0.6359  |paral   |2020yCat.1350....0G
59  |BD+43 4129                                                                                               |Star                               |22 06 04.9876427400 +43 51 31.430826900|094.0536286144281 -09.5481540373146|  -1.179 -9.949   |10.07    |A0                  |    ~     ~    |    1|  490.485   pc  |  -3.5846     +3.5846  |paral   |2020yCat.1350....0G
60  |HD 210222                                                                                                |Star                               |22 07 53.4182261064 +44 12 22.304440260|094.5277631450715 -09.4611951866151|   20.495 4.728   |7.38     |K5                  |    ~     ~    |    1|  444.721   pc  |  -4.0742     +4.0742  |paral   |2020yCat.1350....0G
61  |BD+43 4139                                                                                               |Star                               |22 09 26.6319597216 +44 12 27.527757624|094.7568970183803 -09.6238418256284|  -1.959 -7.268   |10.98    |G                   |    ~     ~    |    1|  723.432   pc  |  -6.9083     +6.9083  |paral   |2020yCat.1350....0G
62  |HD 209246                                                                                                |Double or Multiple Star            |22 00 55.66897 +43 38 06.4740          |093.16440782 -09.16472325          |    8.21 -14.34   |7.70     |A5                  |    ~     ~    |    0|                |                       |        |                   
63  |BD+42 4281                                                                                               |Star                               |22 02 57.8102391960 +43 33 24.032401632|093.4126653445394 -09.4510461701048| -18.035 -2.669   |9.26     |K2                  |    ~     ~    |    1|  803.536   pc  | -10.5890    +10.5890  |paral   |2020yCat.1350....0G
64  |BD+42 4282                                                                                               |High Proper Motion Star            |22 03 00.5017204824 +43 28 06.561921144|093.3651285412320 -09.5261768785491| 60.157 -31.101   |9.21     |K0                  |    ~     ~    |    1|  225.627   pc  |  -0.6363     +0.6363  |paral   |2020yCat.1350....0G
65  |BD+42 4294                                                                                               |Double or Multiple Star            |22 05 18.9096 +43 07 32.618            |093.4957096 -10.0525750            |    3.00 -11.50   |9.45     |F0                  |    ~     ~    |    0|                |                       |        |                   
66  |BD+42 4298                                                                                               |Spectroscopic Binary               |22 05 54.1011743928 +43 33 53.596060164|093.8491211656186 -09.7644228660540|  18.238 34.187   |8.59     |K0                  |    ~     ~    |    1|  169.538   pc  |  -6.2085     +6.2085  |paral   |2020yCat.1350....0G
67  |BD+42 4299                                                                                               |Double or Multiple Star            |22 06 03.0239368872 +43 23 38.596192260|093.7675875297927 -09.9175837255582|    3.266 2.586   |10.02    |A2                  |0.0050  0.0    |    0|                |                       |        |                   
68  |HD 210208                                                                                                |Pulsating Variable                 |22 07 48.9731085384 +42 57 11.715048000|093.7641875657369 -10.4634231182020|   11.464 1.437   |7.90     |B9                  |    ~     ~    |    1|  493.364   pc  |  -6.5477     +6.5477  |paral   |2020yCat.1350....0G
69  |BD+42 4304                                                                                               |Star                               |22 08 12.6698227824 +43 21 38.779833600|094.0683265189610 -10.1775433350691|  -3.212 -9.235   |7.97     |M0                  |    ~     ~    |    1|  578.871   pc  |  -5.7971     +5.7971  |paral   |2020yCat.1350....0G
70  |BD+42 4305                                                                                               |Star                               |22 08 54.6835959504 +42 47 56.956677216|093.8361236783357 -10.7063304747804|  14.426 -0.085   |9.14     |K0                  |    ~     ~    |    1|  482.532   pc  |  -2.5612     +2.5612  |paral   |2020yCat.1350....0G
