C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:18:19

dec< 0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
13  |CD-43 143                                                                                                |Variable Star                       |00 33 46.2235691112 -42 36 07.597447092|314.8838648629489 -74.1136858553574|-17.640 -45.576   |10.19    |~                 |    ~     ~    |    1|  181.218   pc  |  -1.8130     +1.8130  |ST-L    |2020AJ....160...83S
14  |HD 3136                                                                                                  |High Proper Motion Star             |00 34 19.4809593360 -42 25 52.472100756|314.6759094535314 -74.3045416661670|  87.386 17.261   |6.88     |A5IV              |    ~     ~    |    1|  157.332   pc  |  -0.6461     +0.6461  |paral   |2020yCat.1350....0G
15  |CD-44 146                                                                                                |Star                                |00 35 43.1516644176 -43 27 25.629336828|312.9388469221759 -73.3644008227956|   -3.800 7.092   |9.90     |G5                |    ~     ~    |    1|  303.905   pc  |  -1.3484     +1.3484  |paral   |2020yCat.1350....0G
16  |HD 3111                                                                                                  |Star                                |00 34 02.9686410120 -44 04 42.658520808|313.4781398913942 -72.6919212114404| -3.741 -26.982   |8.69     |K2III             |    ~     ~    |    1|  346.452   pc  |  -2.2085     +2.2085  |paral   |2020yCat.1350....0G
17  |HD 3235                                                                                                  |High Proper Motion Star             |00 35 16.9562440008 -43 59 18.574778976|312.8152432101006 -72.8284076978727|  82.540 17.200   |9.905    |F6V               |    ~     ~    |    1|  136.803   pc  |  -1.0790     +1.0790  |ST-L    |2020AJ....160...83S
18  |CD-44 137                                                                                                |Star                                |00 33 47.6710895928 -43 31 39.397565424|314.0666323635468 -73.2171473430725| 31.431 -12.730   |10.499   |~                 |    ~     ~    |    1|  558.432   pc  | -16.7400    +16.7400  |ST-L    |2020AJ....160...83S
19  |CD-42 177                                                                                                |Star                                |00 34 46.8634611048 -41 55 37.144354476|314.8341608701350 -74.8140998226354| 16.421 -14.606   |10.27    |~                 |    ~     ~    |    1|  475.150   pc  |  -2.9576     +2.9576  |paral   |2020yCat.1350....0G
20  |CD-42 181                                                                                                |High Proper Motion Star             |00 35 21.6106553976 -41 53 00.895974540|314.4746064985712 -74.8823812818562|-98.073 -124.518  |10.36    |~                 |    ~     ~    |    1|   68.245   pc  |  -0.0796     +0.0796  |paral   |2020yCat.1350....0G
21  |CD-42 186                                                                                                |Star                                |00 35 59.5261598688 -41 59 45.443115636|313.9371503535382 -74.8006108223571| 34.499 -24.273   |10.23    |~                 |    ~     ~    |    1|  290.318   pc  |  -5.4026     +5.4026  |paral   |2020yCat.1350....0G
22  |CD-42 169                                                                                                |High Proper Motion Star             |00 33 47.9087045664 -41 59 47.678467056|315.4393400718948 -74.7005513334044|-13.088 -48.712   |10.19    |~                 |    ~     ~    |    1|  168.554   pc  |  -1.3097     +1.3097  |paral   |2020yCat.1350....0G
23  |CD-43 151                                                                                                |Spectroscopic Binary                |00 35 24.9426589368 -43 07 36.923250684|313.3815738740137 -73.6747331517290| 15.922 -12.620   |9.79     |~                 |    ~     ~    |    1| 1106.807   pc  | -14.0877    +14.0877  |paral   |2020yCat.1350....0G
24  |HD 3666                                                                                                  |Star                                |00 39 04.1025396120 -41 53 57.959436228|311.8647773554958 -75.0135813392440|    8.721 7.644   |7.79     |K1/2III           |    ~     ~    |    1|  573.263   pc  |  -7.0327     +7.0327  |paral   |2020yCat.1350....0G
25  |HD 3946                                                                                                  |High Proper Motion Star             |00 41 40.6805209176 -42 00 57.752533656|309.9418807857742 -74.9791038202864|-44.637 -23.269   |8.79     |G8IV              |    ~     ~    |    1|  183.972   pc  |  -0.5957     +0.5957  |paral   |2020yCat.1350....0G
26  |HD 3374                                                                                                  |High Proper Motion Star             |00 36 18.2667463920 -43 14 24.544608432|312.7336647313306 -73.5989051841397|-117.999 -36.010  |8.83     |F8V               |    ~     ~    |    1|   74.867   pc  |  -0.0824     +0.0824  |paral   |2020yCat.1350....0G
27  |HD 3646                                                                                                  |Star                                |00 38 53.1015383520 -43 17 44.501272080|311.0611556395745 -73.6338622287359| -23.637 -9.137   |7.665    |G8/K0III          |    ~     ~    |    1|  213.730   pc  |  -0.8908     +0.8908  |paral   |2020yCat.1350....0G
28  |CD-43 169                                                                                                |Star                                |00 39 04.3270234992 -42 50 52.251922248|311.2203369017777 -74.0808253615891|   -4.205 1.015   |9.67     |K0                |    ~     ~    |    1|  583.771   pc  |  -4.9414     +4.9414  |paral   |2020yCat.1350....0G
29  |HD 3667                                                                                                  |Spectroscopic Binary                |00 39 08.2779295224 -42 39 07.231129308|311.3028036651701 -74.2757447561055|  35.859 -2.978   |8.78     |K1/2III           |    ~     ~    |    1|  365.671   pc  |  -5.6695     +5.6695  |paral   |2020yCat.1350....0G
30  |HD 3851                                                                                                  |Star                                |00 40 48.2030413272 -43 04 41.213453052|309.9516411901511 -73.9048887260108|   0.274 -7.781   |9.42     |G0V               |    ~     ~    |    1|   90.017   pc  |  -3.2923     +3.2923  |paral   |2020yCat.1350....0G
31  |CD-43 188                                                                                                |High Proper Motion Star             |00 41 55.0508145432 -43 02 54.598597152|309.2388300789380 -73.9629721819572| 101.717 -1.925   |10.473   |G0                |    ~     ~    |    1|  148.764   pc  |  -1.2770     +1.2770  |ST-L    |2020AJ....160...83S
32  |HD 3979                                                                                                  |Star                                |00 41 57.5231962992 -43 07 29.355520944|309.1751851989951 -73.8883329782783|  42.871 -2.759   |7.060    |G8II/III          |    ~     ~    |    1|  136.374   pc  |  -0.4277     +0.4277  |paral   |2020yCat.1350....0G
33  |CD-43 193                                                                                                |Star                                |00 42 46.0452684456 -43 06 13.887771408|308.6566561642356 -73.9278850207444|  -13.087 1.966   |10.275   |F8                |    ~     ~    |    1|  135.007   pc  |  -1.0930     +1.0930  |ST-L    |2020AJ....160...83S
34  |CD-43 194                                                                                                |High Proper Motion Star             |00 42 47.9810343888 -42 24 23.641449480|308.9540469803486 -74.6205289155275|-63.671 -30.851   |9.95     |~                 |    ~     ~    |    1|   74.318   pc  |  -0.2923     +0.2923  |ST-L    |2020AJ....160...83S
35  |HD 4114                                                                                                  |Star                                |00 43 10.9022462736 -43 12 59.725908252|308.3384907028211 -73.8248835308731|   13.285 6.408   |8.61     |K0II              |    ~     ~    |    1|  513.532   pc  |  -6.2764     +6.2764  |paral   |2020yCat.1350....0G
36  |CD-43 197                                                                                                |High Proper Motion Star             |00 43 22.1005298280 -43 08 54.937188780|308.2447811627123 -73.8963159878070| 62.423 -77.469   |9.58     |~                 |    ~     ~    |    1|  132.749   pc  |  -1.0920     +1.0920  |ST-L    |2020AJ....160...83S
37  |HD 4262                                                                                                  |Star                                |00 44 36.4394783208 -42 35 54.863225988|307.6305875566541 -74.4673057395929|  21.116 13.453   |8.29     |F2V               |    ~     ~    |    1|  109.037   pc  |  -0.4184     +0.4184  |paral   |2018yCat.1345....0G
38  |HD 4293                                                                                                  |High Proper Motion Star             |00 44 57.0525679464 -42 40 35.612164128|307.3682715695933 -74.3957695270390|-89.585 -95.897   |5.926    |F0V               |    ~     ~    |    1|   67.111   pc  |  -0.1666     +0.1666  |paral   |2020yCat.1350....0G
39  |CD-44 153                                                                                                |High Proper Motion Star             |00 36 49.5707058216 -43 34 36.904828188|312.1686120689033 -73.2883146834853| 165.996 -1.496   |10.38    |~                 |    ~     ~    |    1|  195.795   pc  |  -1.8690     +1.8690  |ST-L    |2020AJ....160...83S
40  |HD 3967                                                                                                  |Spectroscopic Binary                |00 41 52.9597614744 -43 36 15.856497180|309.0002337013688 -73.4110841805376|  47.643 17.650   |8.78     |G8III/IV          |    ~     ~    |    1|  256.990   pc  |  -4.6891     +4.6891  |paral   |2020yCat.1350....0G
41  |CD-44 176                                                                                                |Star                                |00 42 37.2350726112 -43 31 09.267002904|308.5717917813865 -73.5123242928685|  -3.602 11.741   |10.00    |G0                |    ~     ~    |    1|  120.494   pc  |  -0.2338     +0.2338  |paral   |2020yCat.1350....0G
42  |CD-44 186                                                                                                |Spectroscopic Binary                |00 44 21.7504927680 -43 31 40.641284388|307.4616086383455 -73.5380131083486| 131.002 26.779   |10.205   |G5                |    ~     ~    |    1|  166.733   pc  |  -1.5620     +1.5620  |ST-L    |2020AJ....160...83S
43  |CD-44 160                                                                                                |Star                                |00 38 19.5300935880 -44 06 18.687532896|310.9221816431282 -72.8190599039402|  15.414 -4.961   |9.68     |K5                |    ~     ~    |    1|  557.507   pc  |  -4.8798     +4.8798  |paral   |2020yCat.1350....0G
44  |HD 3609                                                                                                  |Star                                |00 38 36.6958141344 -44 00 29.151193968|310.8065681639249 -72.9235096715549|  -6.783 -0.947   |9.32     |G8III             |    ~     ~    |    1|  434.329   pc  |  -2.6787     +2.6787  |paral   |2020yCat.1350....0G
45  |CD-44 164                                                                                                |Spectroscopic Binary                |00 39 16.9728549240 -43 52 15.842584704|310.4766633897541 -73.0786810448481| 30.162 -71.966   |10.00    |G0                |    ~     ~    |    1|  150.148   pc  |  -1.0370     +1.0370  |paral   |2020yCat.1350....0G
46  |CD-44 182                                                                                                |Spectroscopic Binary                |00 43 11.7484788168 -43 56 53.338931556|308.0402856403008 -73.0982591330983|  78.558 -1.262   |10.32    |G5                |    ~     ~    |    1|  193.484   pc  |  -2.1080     +2.1080  |ST-L    |2020AJ....160...83S
47  |HD 4138                                                                                                  |Star                                |00 43 23.8790093112 -44 07 23.909476440|307.8517716673044 -72.9280602259551| -5.879 -19.188   |8.05     |K4III             |    ~     ~    |    1|  618.162   pc  |  -7.3750     +7.3750  |paral   |2020yCat.1350....0G
48  |CD-44 188                                                                                                |Star                                |00 44 34.3010311848 -43 48 44.427864708|307.2355108849653 -73.2584906526675|   18.777 9.169   |10.85    |~                 |    ~     ~    |    1|  417.875   pc  | -23.4800    +23.4800  |ST-L    |2020AJ....160...83S
49  |CD-45 183                                                                                                |Star                                |00 36 09.0687878904 -44 23 03.339334824|312.0325290012918 -72.4728736192562|  -4.725 -0.651   |10.229   |~                 |    ~     ~    |    1|  281.721   pc  |  -4.1620     +4.1620  |ST-L    |2020AJ....160...83S
50  |CD-44 150                                                                                                |Star                                |00 36 30.6746962008 -44 01 01.108894512|312.0625876579118 -72.8456793850133|  8.987 -29.265   |10.965   |~                 |    ~     ~    |    1|  230.484   pc  |  -3.0500     +3.0500  |ST-L    |2020AJ....160...83S
51  |CD-43 157                                                                                                |Star                                |00 37 03.0141473208 -42 45 48.238387092|312.6068069809901 -74.0935152946188| 34.781 -26.549   |10.93    |~                 |    ~     ~    |    1|  361.764   pc  | -10.4100    +10.4100  |ST-L    |2020AJ....160...83S
52  |CD-43 160                                                                                                |High Proper Motion Star             |00 37 28.3674745944 -43 08 16.525313484|312.0646657199725 -73.7418127686114| 89.127 -58.463   |10.48    |~                 |    ~     ~    |    1|  201.059   pc  |  -2.1620     +2.1620  |ST-L    |2020AJ....160...83S
53  |CD-43 161                                                                                                |Star                                |00 37 28.9402020696 -43 05 00.947559624|312.0962243652112 -73.7954472889688|  14.530 -4.529   |10.74    |~                 |    ~     ~    |    1|  335.255   pc  |  -7.9127     +7.9127  |paral   |2020yCat.1350....0G
54  |CD-44 158                                                                                                |Star                                |00 37 41.8526244960 -43 54 53.948887884|311.4148387803006 -72.9862385951477|  -0.404 -6.833   |10.94    |~                 |    ~     ~    |    1|  406.256   pc  |  -7.2950     +7.2950  |paral   |2020yCat.1350....0G
55  |CD-44 159                                                                                                |Star                                |00 37 55.0379622552 -43 57 53.589610908|311.2512610103158 -72.9443023425401| 21.555 -12.634   |9.74     |~                 |    ~     ~    |    1|  676.453   pc  |  -6.8181     +6.8181  |paral   |2020yCat.1350....0G
56  |CD-43 163                                                                                                |Rotating Variable                   |00 38 12.2014098024 -43 00 25.064801532|311.6835723220764 -73.8956717075860|  21.500 15.396   |10.46    |~                 |    ~     ~    |    1|   96.300   pc  |  -0.1465     +0.1465  |paral   |2020yCat.1350....0G
57  |CD-44 162                                                                                                |High Proper Motion Star             |00 38 29.2634181144 -44 14 22.260828228|310.7481912774155 -72.6916662645237|  74.120 18.039   |10.87    |~                 |    ~     ~    |    1|  149.501   pc  |  -0.3822     +0.3822  |paral   |2020yCat.1350....0G
58  |CD-44 168                                                                                                |Star                                |00 39 40.7312568840 -43 59 22.357267656|310.1710425123630 -72.9730461180409|     -3.7 -21.8   |10.97    |~                 |    ~     ~    |    0|                |                       |        |                   
59  |CD-44 169                                                                                                |Star                                |00 39 43.7931537960 -43 35 31.775743896|310.3555548423926 -73.3669307318446|   9.654 -6.041   |10.60    |~                 |    ~     ~    |    1| 1593.625   pc  | -39.6184    +39.6184  |paral   |2020yCat.1350....0G
60  |CD-43 187                                                                                                |Star                                |00 41 28.2920483016 -42 22 22.300113036|309.8874289498506 -74.6205256259440|   1.952 -7.740   |10.29    |~                 |    ~     ~    |    1|  487.900   pc  | -14.0300    +14.0300  |ST-L    |2020AJ....160...83S
61  |CD-43 189                                                                                                |Star                                |00 41 56.8832239728 -43 19 02.313941268|309.0911043891069 -73.6972705442181|-29.394 -36.987   |10.17    |~                 |    ~     ~    |    1|  288.328   pc  |  -4.8620     +4.8620  |ST-L    |2020AJ....160...83S
62  |CD-44 175                                                                                                |Star                                |00 42 20.5187774232 -43 22 35.470013952|308.8114324358791 -73.6477409976149| 13.795 -14.893   |10.98    |~                 |    ~     ~    |    1|  288.276   pc  |  -1.7701     +1.7701  |paral   |2020yCat.1350....0G
63  |CD-43 200                                                                                                |Star                                |00 43 47.5784773680 -43 06 00.318256956|307.9859639150978 -73.9530619626749|   24.702 8.396   |10.718   |~                 |    ~     ~    |    1|  726.241   pc  | -30.3200    +30.3200  |ST-L    |2020AJ....160...83S
64  |CD-43 202                                                                                                |Star                                |00 44 14.2662110112 -42 27 48.772673604|307.9362200768684 -74.5946713550528|   21.027 6.629   |10.86    |~                 |    ~     ~    |    0|                |                       |        |                   
65  |CD-44 187                                                                                                |Star                                |00 44 20.5608322896 -44 14 23.774565516|307.2397940683202 -72.8289193091733| -11.898 -6.921   |10.476   |~                 |    ~     ~    |    1|  311.404   pc  |  -5.4430     +5.4430  |ST-L    |2020AJ....160...83S
66  |CD-43 205                                                                                                |Star                                |00 44 45.4321462584 -42 26 22.057968156|307.5862289684296 -74.6283642062533|  48.534 -6.495   |10.644   |~                 |    ~     ~    |    1|  255.829   pc  |  -3.3230     +3.3230  |ST-L    |2020AJ....160...83S
67  |CD-43 174                                                                                                |High Proper Motion Star             |00 39 25.8240244656 -42 55 47.057165580|310.9338647349184 -74.0114510119041|  44.013 -8.379   |10.45    |~                 |    ~     ~    |    1|  133.064   pc  |  -2.2469     +2.2469  |paral   |2020yCat.1350....0G
68  |CD-43 175                                                                                                |Star                                |00 39 40.2834242304 -42 55 51.812665356|310.7751470880284 -74.0175393663477| -4.922 -30.827   |10.35    |~                 |    ~     ~    |    1|  319.326   pc  |  -1.5907     +1.5907  |paral   |2020yCat.1350....0G
69  |CD-43 177                                                                                                |Star                                |00 40 00.5737509264 -42 55 17.350469868|310.5589058522240 -74.0371103917708| 35.939 -24.688   |10.992   |~                 |    ~     ~    |    1| 1199.970   pc  | -64.0100    +64.0100  |ST-L    |2020AJ....160...83S
70  |CD-43 180                                                                                                |Star                                |00 40 12.9381858240 -43 11 45.521075508|310.2678256990544 -73.7720615238123|   2.876 -4.399   |10.38    |~                 |    ~     ~    |    1|  680.226   pc  |  -8.8377     +8.8377  |paral   |2020yCat.1350....0G
71  |CD-45 170                                                                                                |High Proper Motion Star             |00 34 18.6919412952 -44 36 01.218981096|312.9426329874710 -72.1935198293200|34.578 -128.055   |10.148   |G5                |    ~     ~    |    1|   77.565   pc  |  -0.3044     +0.3044  |ST-L    |2020AJ....160...83S
72  |HD 3157                                                                                                  |Star                                |00 34 30.5689033224 -44 38 14.742055104|312.8040873700313 -72.1649081513852| 26.649 -22.715   |9.13     |G5IV/V            |    ~     ~    |    1|  478.560   pc  |  -3.0460     +3.0460  |paral   |2020yCat.1350....0G
73  |HD 3486                                                                                                  |Star                                |00 37 28.6119695472 -44 24 28.195769448|311.2450576812287 -72.4943780772118| -12.799 -3.830   |9.07     |K2III             |    ~     ~    |    1|  737.790   pc  |  -8.4916     +8.4916  |paral   |2020yCat.1350....0G
74  |CPD-43 69                                                                                                |Star                                |00 39 24.1205198976 -42 55 07.257798480|310.9592705236027 -74.0214657336922|   49.553 3.858   |10.70    |~                 |    ~     ~    |    1|  240.396   pc  |  -1.0865     +1.0865  |paral   |2020yCat.1350....0G
75  |CD-44 143                                                                                                |Star                                |00 35 06.0 -43 25 18                   |313.3491 -73.3746                  |            ~ ~   |7.75     |~                 |    ~     ~    |    0|                |                       |        |                   
76  |TYC 7531-237-1                                                                                           |Star                                |00 35 32.1280923720 -43 08 46.988498652|313.2905467407699 -73.6605604530950|-21.350 -14.022   |10.87    |~                 |    ~     ~    |    1|  224.160   pc  |  -0.7135     +0.7135  |paral   |2020yCat.1350....0G
77  |TYC 7535-678-1                                                                                           |Star                                |00 41 06.4989934320 -41 58 48.928020312|310.3666769821101 -74.9985450531657|   23.126 0.943   |10.670   |~                 |    ~     ~    |    1|  873.584   pc  | -31.7200    +31.7200  |ST-L    |2020AJ....160...83S
78  |TYC 7535-769-1                                                                                           |High Proper Motion Star             |00 40 37.1484205776 -41 51 34.398874512|310.7893989807044 -75.1032286544825|  87.216 31.124   |10.911   |~                 |    ~     ~    |    1|   85.042   pc  |  -0.4133     +0.4133  |ST-L    |2020AJ....160...83S
79  |TYC 7538-240-1                                                                                           |Star                                |00 42 38.9754493632 -44 11 44.264436684|308.2777674752829 -72.8412879779008| -5.402 -11.837   |10.780   |~                 |    ~     ~    |    1| 1100.070   pc  | -68.4400    +68.4400  |ST-L    |2020AJ....160...83S
80  |HD 2765                                                                                                  |Star                                |00 30 57.7517194992 -41 48 55.671694380|317.5531695684349 -74.7264121940571|  20.636 -3.148   |9.12     |K5/M0(III)        |    ~     ~    |    1|  771.486   pc  | -11.2491    +11.2491  |paral   |2020yCat.1350....0G
81  |HD 2800                                                                                                  |High Proper Motion Star             |00 31 12.0458703264 -41 52 54.443387028|317.3175089228497 -74.6764000661055|-226.065 -76.418  |9.28     |K0V               |    ~     ~    |    1|   62.899   pc  |  -0.0910     +0.0910  |paral   |2020yCat.1350....0G
82  |HD 2723                                                                                                  |High Proper Motion Star             |00 30 29.3084418360 -39 31 06.751213428|320.9850363811648 -76.8662674492048| 54.910 -75.875   |6.61     |K1III             |    ~     ~    |    1|  144.061   pc  |  -0.5085     +0.5085  |paral   |2020yCat.1350....0G
83  |HD 2970                                                                                                  |Spectroscopic Binary                |00 32 44.8333588704 -39 19 33.568183992|319.4524885974220 -77.1965626032051| -3.905 -19.773   |8.51     |G3/5II            |    ~     ~    |    1|   89.585   pc  |  -1.9614     +1.9614  |paral   |2020yCat.1350....0G
84  |HD 3013                                                                                                  |Star                                |00 33 07.3299575784 -39 45 34.929355716|318.5322355753525 -76.8086146030113|-10.492 -28.009   |7.64     |K5III             |    ~     ~    |    1|  385.698   pc  |  -3.3174     +3.3174  |paral   |2020yCat.1350....0G
85  |CD-40 121                                                                                                |Star                                |00 33 44.8084020744 -40 04 18.468603012|317.6262417529301 -76.5475168339775| -5.411 -19.680   |9.45     |K0                |    ~     ~    |    1|  408.413   pc  |  -2.5354     +2.5354  |paral   |2020yCat.1350....0G
86  |V* BB Phe                                                                                                |delta Sct Variable                  |00 30 27.8252358240 -40 56 22.504091136|318.9691326968437 -75.5288698751837|  -3.316 16.734   |6.172    |F0/2III           |    ~     ~    |    1|  134.479   pc  |  -0.4630     +0.4630  |paral   |2020yCat.1350....0G
87  |CD-41 126                                                                                                |High Proper Motion Star             |00 32 01.9710618720 -41 00 49.805031780|317.7496514483545 -75.5512386533792|  77.139 -5.219   |10.161   |G0                |    ~     ~    |    1|  247.995   pc  |  -3.2450     +3.2450  |ST-L    |2020AJ....160...83S
88  |HD 3033                                                                                                  |Double or Multiple Star             |00 33 23.8480299528 -40 43 43.654243368|317.0901929940060 -75.8996117086386|32.949 -101.561   |9.15     |G3V               |0.0050  0.0    |    1|  122.139   pc  |  -0.8160     +0.8160  |paral   |2020yCat.1350....0G
89  |HD 2749                                                                                                  |High Proper Motion Star             |00 30 49.0984593816 -41 23 24.920279520|318.1528425529018 -75.1229062516070| 51.865 -46.046   |9.08     |G2/3V             |    ~     ~    |    1|   80.066   pc  |  -0.1083     +0.1083  |paral   |2020yCat.1350....0G
90  |CD-41 127                                                                                                |High Proper Motion Star             |00 32 22.6101447888 -41 19 04.811283804|317.1461671293920 -75.2799096666108| 48.014 -47.736   |9.81     |F8                |    ~     ~    |    1|  121.066   pc  |  -0.8073     +0.8073  |ST-L    |2020AJ....160...83S
91  |CD-42 161                                                                                                |Star                                |00 32 26.0012134008 -41 38 39.826042836|316.7409783384218 -74.9703513016749|  43.165 12.753   |9.35     |~                 |    ~     ~    |    1|  404.842   pc  |  -2.4257     +2.4257  |paral   |2020yCat.1350....0G
92  |CD-40 99                                                                                                 |High Proper Motion Star             |00 30 11.7358000752 -39 22 37.254527832|321.4441415420299 -76.9777789878461| 97.616 -19.468   |10.38    |~                 |    ~     ~    |    1|  157.418   pc  |  -2.2750     +2.2750  |ST-L    |2020AJ....160...83S
93  |CD-40 102                                                                                                |High Proper Motion Star             |00 30 22.3449449736 -39 57 19.743750720|320.4069267660024 -76.4495860270330|-27.820 -87.205   |10.365   |~                 |    ~     ~    |    1|  163.180   pc  |  -1.5750     +1.5750  |ST-L    |2020AJ....160...83S
94  |CD-40 108                                                                                                |Star                                |00 31 36.9255110352 -39 48 40.602619620|319.6541685601801 -76.6664699363860|  18.937 -2.507   |10.23    |~                 |    ~     ~    |    1|  704.985   pc  | -24.2200    +24.2200  |ST-L    |2020AJ....160...83S
95  |CD-40 112                                                                                                |Spectroscopic Binary                |00 32 04.6701010056 -39 42 48.080371428|319.4300802591702 -76.7882851503449|  19.701 -2.461   |10.942   |~                 |    ~     ~    |    1|  739.228   pc  | -43.9700    +43.9700  |ST-L    |2020AJ....160...83S
96  |CD-39 123                                                                                                |Star                                |00 32 36.8454846240 -39 08 19.342413852|319.8441157497745 -77.3648053115891|   7.124 25.621   |10.147   |~                 |    ~     ~    |    1|  146.128   pc  |  -1.2010     +1.2010  |ST-L    |2020AJ....160...83S
97  |CD-39 127                                                                                                |Star                                |00 33 22.4886545880 -39 08 57.689654352|319.1900963278417 -77.4030548045572|   2.411 -0.250   |10.32    |~                 |    ~     ~    |    1|  906.208   pc  | -13.7142    +13.7142  |paral   |2020yCat.1350....0G
98  |CPD-42 41                                                                                                |Star                                |00 30 38.3590331136 -41 19 49.209208500|318.3504870747340 -75.1692878126627|   8.241 -9.275   |10.751   |~                 |    ~     ~    |    1|  299.209   pc  |  -5.2120     +5.2120  |ST-L    |2020AJ....160...83S
99  |CD-41 122                                                                                                |Star                                |00 31 25.0833073512 -40 48 24.881726088|318.4519039978438 -75.7123037412615|    6.945 3.632   |10.751   |~                 |    ~     ~    |    1|  563.418   pc  | -18.0600    +18.0600  |ST-L    |2020AJ....160...83S
100 |CD-41 129                                                                                                |Star                                |00 32 56.0079818520 -40 52 40.839593844|317.2570685529391 -75.7313737139535| -2.619 -22.457   |10.09    |~                 |    ~     ~    |    1|  254.628   pc  |  -0.9985     +0.9985  |paral   |2020yCat.1350....0G
101 |CD-40 106                                                                                                |Star                                |00 31 07.1475812088 -40 07 25.665070764|319.5916792518827 -76.3401314300117|   0.301 -5.206   |10.468   |~                 |    ~     ~    |    1| 1566.300   pc  |-130.1000   +130.1000  |ST-L    |2020AJ....160...83S
