C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
5354|HD 52293                                                                                                                                    |Star                                  |06 59 34.0287663480 -26 47 58.843089960|237.9185159341485 -10.2194591059009|  -7.445 -4.360   |9.28     |K3/4(III)            |    ~     ~    
5355|CD-26 3697                                                                                                                                  |Star                                  |06 59 48.8871526032 -26 20 26.246897124|237.5213991378786 -09.9725955097177|   -3.292 6.042   |10.09    |~                    |    ~     ~    
5356|HD 52020                                                                                                                                    |Star                                  |06 58 30.5998517976 -27 17 41.701746120|238.2718661121461 -10.6436086898540|   -5.235 4.806   |10.39    |A1V                  |    ~     ~    
5357|CD-26 3666                                                                                                                                  |Star                                  |06 58 53.6842888752 -26 47 03.016471092|237.8390658604459 -10.3484792302883|   -2.379 1.234   |10.563   |~                    |    ~     ~    
5358|CD-25 3875                                                                                                                                  |Star                                  |06 58 57.9066622152 -25 33 17.233797996|236.7178340895571 -09.8072036001933|    1.490 3.832   |9.75     |~                    |    ~     ~    
5359|CD-25 3887                                                                                                                                  |Star                                  |06 59 41.8191721944 -26 06 09.217651572|237.2916438988586 -09.8941376197627|    2.618 4.582   |9.839    |~                    |    ~     ~    
5360|HD 51763                                                                                                                                    |Star                                  |06 57 42.8204145096 -24 40 37.655183748|235.7903236646407 -09.6850947069469|   -2.401 3.204   |9.64     |A1V                  |    ~     ~    
5361|HD 51733                                                                                                                                    |Double or Multiple Star               |06 57 33.9110232 -24 37 50.995377      |235.7331980376 -09.6956103973      |   -90.29 92.20   |5.47     |F3V                  |0.0050  0.0    
5362|HD 52135                                                                                                                                    |Star                                  |06 59 07.0959675672 -24 41 38.798463696|235.9454993771659 -09.4046149126175|   -2.863 3.676   |10.51    |B5/8(V)              |    ~     ~    
5363|CD-24 4678                                                                                                                                  |Star                                  |06 58 51.0281277072 -24 41 15.715264452|235.9129772751513 -09.4566910547419| -3.650 -11.370   |9.809    |~                    |    ~     ~    
5364|CD-25 3848                                                                                                                                  |Star                                  |06 57 57.1567695960 -25 52 47.164451088|236.9165104886384 -10.1526498176784|   -0.944 8.998   |10.18    |~                    |    ~     ~    
5365|TYC 6526-465-1                                                                                                                              |Star                                  |06 57 30.6814367880 -25 29 13.600557744|236.5128291385413 -10.0743633498476|  -8.175 12.377   |10.521   |~                    |    ~     ~    
5366|TYC 6526-576-1                                                                                                                              |Star                                  |06 58 28.4866692648 -25 06 15.309210780|236.2568114616987 -09.7132671444617|  -2.828 34.747   |10.45    |~                    |    ~     ~    
5367|TYC 6526-666-1                                                                                                                              |Star                                  |06 56 19.9394803176 -24 48 53.292754224|235.7797864757251 -10.0274515890879|   -7.868 1.891   |10.473   |~                    |    ~     ~    
5368|TYC 6526-747-1                                                                                                                              |Star                                  |06 58 20.8754925240 -26 03 34.986289032|237.1203644303418 -10.1493809898441|    3.641 5.828   |10.56    |~                    |    ~     ~    
5369|TYC 6526-1094-1                                                                                                                             |Star                                  |06 58 26.4150296232 -24 52 33.108030048|236.0443271892410 -09.6219076544482|   2.811 -3.300   |10.853   |~                    |    ~     ~    
5370|TYC 6526-1185-1                                                                                                                             |Star                                  |06 57 03.8398049232 -25 59 57.399594216|236.9395930220077 -10.3843308170542|   -5.624 1.842   |10.64    |~                    |    ~     ~    
5371|TYC 6526-1278-1                                                                                                                             |Star                                  |06 57 50.0535050040 -24 49 05.725659684|235.9315068310116 -09.7211575193960|   -4.666 5.345   |10.38    |~                    |    ~     ~    
5372|TYC 6526-1369-1                                                                                                                             |Star                                  |06 56 48.9823594680 -25 51 32.393192796|236.7864598911098 -10.3748745394326|   -1.949 0.054   |10.13    |~                    |    ~     ~    
5373|TYC 6526-1386-1                                                                                                                             |Star                                  |06 56 15.0627736968 -24 51 10.402761492|235.8067171439383 -10.0604274667803|   -1.597 4.221   |10.750   |~                    |    ~     ~    
5374|TYC 6526-1419-1                                                                                                                             |Star                                  |06 58 00.6808084536 -25 30 19.968327000|236.5788604178545 -09.9803355109794|   1.878 -8.300   |10.84    |~                    |    ~     ~    
5375|TYC 6526-1430-1                                                                                                                             |Star                                  |06 56 24.6759673608 -24 55 15.554559936|235.8850184046890 -10.0567527546401|    0.635 3.728   |10.18    |~                    |    ~     ~    
5376|HD 51430                                                                                                                                    |High Proper Motion Star               |06 56 15.692544 -26 03 22.21416        |236.913896571 -10.571666820        |   -43.0 -103.6   |10.167   |G8/K0V               |    ~     ~    
5377|TYC 6526-1691-1                                                                                                                             |Star                                  |06 57 54.4747817040 -25 27 56.744041176|236.5322027006332 -09.9843529010747|  -2.841 -1.791   |10.67    |~                    |    ~     ~    
5378|TYC 6526-1854-1                                                                                                                             |Star                                  |06 56 58.6973731968 -24 53 54.343967532|235.9202858925724 -09.9309256688704|   -3.846 4.770   |10.749   |~                    |    ~     ~    
5379|TYC 6526-2157-1                                                                                                                             |Star                                  |06 56 34.5673 -25 49 18.354            |236.7287897 -10.4079023            |  -1.432 -0.276   |10.66    |~                    |    ~     ~    
5380|TYC 6527-124-1                                                                                                                              |Star                                  |06 59 51.6697237344 -24 49 31.401068664|236.1394306223657 -09.3094206744268|   -2.315 8.160   |10.377   |~                    |    ~     ~    
5381|TYC 6527-701-1                                                                                                                              |Star                                  |06 59 25.2007676640 -26 11 14.403440400|237.3422453290206 -09.9866907361940| 37.919 -28.011   |10.90    |~                    |    ~     ~    
5382|TYC 6527-1514-1                                                                                                                             |Star                                  |06 59 41.4663 -24 53 02.382            |236.1760327 -09.3695735            |    -3.80 35.00   |10.72    |~                    |    ~     ~    
5383|TYC 6527-2285-1                                                                                                                             |Star                                  |06 59 38.9731441296 -25 46 45.192616644|236.9907703052210 -09.7646154356685|   1.908 -1.450   |10.726   |~                    |    ~     ~    
5384|TYC 6527-2669-1                                                                                                                             |Star                                  |06 58 41.5791407712 -25 50 32.194464684|236.9546066121694 -09.9860968066332|   -3.451 4.260   |10.94    |~                    |    ~     ~    
5385|TYC 6527-2927-1                                                                                                                             |Star                                  |06 59 55.8260878056 -25 55 27.177558924|237.1511705020002 -09.7700395389902|   -1.779 2.085   |10.767   |~                    |    ~     ~    
5386|2MASS J06585718-2551599                                                                                                                     |Long-Period Variable                  |06 58 57.1809999312 -25 51 59.915724156|237.0024512227840 -09.9437230918358|   -5.699 0.937   |10.618   |~                    |    ~     ~    
5387|TYC 6527-3124-1                                                                                                                             |Star                                  |06 58 41.2064373312 -25 56 17.618289612|237.0420081884804 -10.0285255901813|  -6.771 12.326   |10.430   |~                    |    ~     ~    
5388|TYC 6530-1376-1                                                                                                                             |Star                                  |06 56 28.2785939352 -26 56 17.086790328|237.7470803272468 -10.9031325494930|   -3.766 7.979   |10.78    |~                    |    ~     ~    
5389|TYC 6530-1692-1                                                                                                                             |Star                                  |06 58 15.5309918088 -27 17 33.736253496|238.2457012285545 -10.6931770506784|  -4.611 -3.925   |10.48    |~                    |    ~     ~    
5390|TYC 6530-1933-1                                                                                                                             |Star                                  |06 56 50.4882748176 -26 57 23.088886380|237.7995475506131 -10.8361530122259|   -0.706 3.825   |10.573   |~                    |    ~     ~    
5391|TYC 6530-2412-1                                                                                                                             |Star                                  |06 57 01.0681952568 -26 46 43.645238508|237.6527487456606 -10.7252452956677|   -8.272 8.797   |10.946   |~                    |    ~     ~    
5392|TYC 6530-2713-1                                                                                                                             |Star                                  |06 56 55.4284992288 -26 37 14.200933800|237.4979194029781 -10.6771233014409|   0.773 -1.512   |10.778   |~                    |    ~     ~    
5393|TYC 6530-2741-1                                                                                                                             |Star                                  |06 58 20.8554312648 -26 37 32.699073540|237.6403972365622 -10.3913614467344|    5.869 2.728   |10.80    |~                    |    ~     ~    
5394|TYC 6530-2748-1                                                                                                                             |Star                                  |06 58 15.1500813240 -26 38 48.115576536|237.6504462052666 -10.4195165437026|   2.432 -9.275   |10.696   |~                    |    ~     ~    
5395|TYC 6530-2913-1                                                                                                                             |Star                                  |06 57 21.9597262272 -26 29 07.745268156|237.4162439817059 -10.5301787014717|  -3.686 -8.986   |10.85    |~                    |    ~     ~    
5396|TYC 6531-673-1                                                                                                                              |High Proper Motion Star               |06 59 49.1138220456 -27 16 35.767803648|238.3810262947315 -10.3727838891179| -46.662 52.418   |10.93    |~                    |    ~     ~    
5397|TYC 6531-799-1                                                                                                                              |Star                                  |06 58 59.9903804256 -27 00 57.456951444|238.0623407638343 -10.4262234856600|   -1.825 3.188   |10.93    |~                    |    ~     ~    
5398|TYC 6531-2600-1                                                                                                                             |Star                                  |06 58 50.3448055200 -26 35 55.435803972|237.6632518204676 -10.2804895533267|  -0.493 -7.776   |10.839   |~                    |    ~     ~    
5399|TYC 6531-2850-1                                                                                                                             |Star                                  |06 59 09.4357252584 -26 23 33.326505888|237.5049028524587 -10.1279281509470|   -2.895 4.764   |9.63     |~                    |    ~     ~    
5400|GSC 06531-02864                                                                                                                             |Double or Multiple Star               |06 59 28.0986968088 -26 24 39.821438772|237.5521803116869 -10.0729181547921|    0.443 0.572   |10.745   |~                    |    ~     ~    
5401|TYC 6531-3145-1                                                                                                                             |Star                                  |06 59 11.4071657304 -26 22 57.779835456|237.4990430082290 -10.1170484801615|-20.644 -29.703   |10.67    |~                    |    ~     ~    
5402|TYC 6531-3357-1                                                                                                                             |Spectroscopic Binary                  |06 59 05.6402739120 -26 47 30.074600580|237.8652841163011 -10.3114818203381|  -3.064 -5.366   |10.732   |~                    |    ~     ~    
5403|TYC 6531-3414-1                                                                                                                             |Star                                  |06 58 38.8441032264 -26 35 30.183676512|237.6381960577181 -10.3162322179909|   -1.786 5.140   |10.425   |~                    |    ~     ~    
5404|TYC 6531-3474-1                                                                                                                             |Star                                  |06 59 16.8237512904 -26 30 30.862984932|237.6233607825929 -10.1527110443858|   5.971 14.867   |10.97    |~                    |    ~     ~    
5405|HD 51482                                                                                                                                    |Star                                  |06 56 22.9305532992 -28 02 18.262119624|238.7556360395069 -11.3847223425876|   -2.860 3.720   |9.99     |B9V                  |    ~     ~    
5406|HD 51520                                                                                                                                    |Star                                  |06 56 33.4621893216 -27 45 41.023876068|238.5159237954782 -11.2331089202024|  1.076 -11.068   |10.55    |A0V                  |    ~     ~    
5407|HD 51735                                                                                                                                    |Star                                  |06 57 20.1790394424 -27 50 10.103002620|238.6589665793216 -11.1084397788066|   -0.877 1.011   |10.11    |A0IV                 |    ~     ~    
5408|HD 51823                                                                                                                                    |Star                                  |06 57 42.6355923552 -27 32 15.039088116|238.4188954418633 -10.9071653700948|   -8.810 6.685   |6.23     |B2/3V                |    ~     ~    
5409|HD 51926                                                                                                                                    |Star                                  |06 58 03.0912902328 -28 00 28.016382276|238.8854745687867 -11.0376765321897|   -1.947 4.178   |10.89    |B9V                  |    ~     ~    
5410|HD 51459                                                                                                                                    |Star                                  |06 56 16.0282653672 -28 39 05.371116372|239.3130149425783 -11.6644453798816|   -2.935 4.727   |10.33    |B9.5IV               |    ~     ~    
5411|HD 51551                                                                                                                                    |Star                                  |06 56 30.9780231360 -28 54 48.929047776|239.5794983138298 -11.7242852565793| -11.472 16.338   |9.74     |K1III                |    ~     ~    
5412|HD 51633                                                                                                                                    |Double or Multiple Star               |06 56 55.04381 -28 41 48.1670          |239.41584521 -11.55380216          |    22.84 65.27   |9.02     |G1V                  |    ~     ~    
5413|HD 51736                                                                                                                                    |Star                                  |06 57 21.3820732296 -28 20 31.295699808|239.1286374474771 -11.3174658335664|  -1.219 -0.012   |10.49    |B9.5/A0IV            |    ~     ~    
5414|HD 51766                                                                                                                                    |Star                                  |06 57 28.3535672088 -28 09 50.275875060|238.9749076326343 -11.2193333709742|   -2.344 4.364   |10.68    |B9/A0IV/V            |    ~     ~    
5415|HD 51793                                                                                                                                    |Star                                  |06 57 31.8021081312 -28 23 47.992560180|239.1955741446677 -11.3057779378979|   0.583 18.428   |9.28     |G8/K0III             |    ~     ~    
5416|CD-28 3645                                                                                                                                  |Star                                  |06 57 36.9107655672 -28 37 05.098929744|239.4085095009072 -11.3818619984885|    3.394 9.168   |10.42    |~                    |    ~     ~    
5417|HD 51856                                                                                                                                    |Star                                  |06 57 43.8683930496 -29 01 32.001017556|239.7967807903021 -11.5297520929253|   -7.088 9.157   |9.39     |K2/3(III)            |    ~     ~    
5418|HD 51879                                                                                                                                    |Star                                  |06 57 49.4762564352 -29 03 45.806006988|239.8399593101246 -11.5267796049021|  -4.136 -5.772   |10.23    |A2/3II/III           |    ~     ~    
5419|HD 51483                                                                                                                                    |Star                                  |06 56 16.3651118040 -29 14 00.854106900|239.8540132419518 -11.9059979617780|   -9.793 8.213   |10.20    |F0V                  |    ~     ~    
5420|HD 51484                                                                                                                                    |Star                                  |06 56 16.8978803784 -29 34 37.306856028|240.1741929639988 -12.0469491751317|  14.058 -7.117   |8.42     |K5III                |    ~     ~    
5421|HD 51522                                                                                                                                    |Star                                  |06 56 23.4786042288 -29 42 42.862744620|240.3097960914949 -12.0812225268957|   -4.533 6.279   |10.07    |A1/2V                |    ~     ~    
5422|HD 51577                                                                                                                                    |High Proper Motion Star               |06 56 34.2260147952 -29 16 32.270059596|239.9207106572231 -11.8644659080037|  4.384 -50.058   |10.34    |G8III                |    ~     ~    
5423|HD 51578                                                                                                                                    |Double or Multiple Star               |06 56 35.684904 -29 24 49.79520        |240.051383052 -11.917166737        |       -9.1 5.5   |9.718    |F2/3V                |    ~     ~    
5424|HD 51590                                                                                                                                    |Star                                  |06 56 40.0525838880 -29 44 14.959839444|240.3590438614542 -12.0372730451064|  5.237 -11.443   |8.92     |K1III                |    ~     ~    
5425|CD-29 3686                                                                                                                                  |Star                                  |06 57 03.7896272352 -29 28 53.601494592|240.1576892773205 -11.8526414538595|   4.132 -8.175   |9.62     |~                    |    ~     ~    
5426|HD 51737                                                                                                                                    |Star                                  |06 57 13.6407692520 -29 29 38.639661576|240.1845207682366 -11.8253747835648|   -8.243 5.264   |8.46     |G8III                |    ~     ~    
5427|HD 51857                                                                                                                                    |Star                                  |06 57 41.6553577704 -29 46 51.079156392|240.4940844389309 -11.8526710651521|   -1.980 5.279   |10.25    |B9V                  |    ~     ~    
5428|HD 51946                                                                                                                                    |Star                                  |06 58 03.3875552424 -29 18 31.898686860|240.0897204131815 -11.5839344438222|  -12.666 6.807   |9.42     |K1III/IV             |    ~     ~    
5429|HD 51794                                                                                                                                    |Star                                  |06 57 25.2132088056 -30 05 25.351245420|240.7565331414145 -12.0354228463638|   -3.919 5.292   |10.03    |A5IV/V               |    ~     ~    
5430|CD-27 3440                                                                                                                                  |Star                                  |06 56 42.5918502216 -27 50 12.494722668|238.6001036276444 -11.2343179034122|   -1.378 0.126   |10.033   |~                    |    ~     ~    
5431|CD-28 3654                                                                                                                                  |Star                                  |06 58 01.9175741736 -28 48 01.142855388|239.6163598738211 -11.3754870279670|   0.582 -8.906   |10.147   |~                    |    ~     ~    
5432|HD 52055                                                                                                                                    |Star                                  |06 58 37.2557749104 -28 03 55.881419220|238.9928967233429 -10.9482277368680| 23.173 -19.055   |8.91     |K1IV                 |    ~     ~    
5433|HD 52218                                                                                                                                    |Star                                  |06 59 07.4522577552 -27 52 19.660073592|238.8624983602747 -10.7656092949651|   -5.511 2.784   |9.12     |K4III                |    ~     ~    
5434|HD 52276                                                                                                                                    |Star                                  |06 59 19.1432022216 -27 57 33.799475844|238.9615216516523 -10.7636830436149|   -5.497 5.988   |10.49    |A2/3II/III           |    ~     ~    
5435|HD 52294                                                                                                                                    |Star                                  |06 59 30.2168644176 -28 03 59.131306656|239.0777736616160 -10.7722476329736|  -2.174 -1.698   |10.31    |A2III                |    ~     ~    
5436|HD 52317                                                                                                                                    |Double or Multiple Star               |06 59 35.1702334632 -27 53 31.115172660|238.9249268870859 -10.6816282995928| -14.218 -5.746   |7.58     |A3V                  |    ~     ~    
5437|HD 52394                                                                                                                                    |High Proper Motion Star               |06 59 54.4678125048 -27 40 18.710746572|238.7531095497357 -10.5235514594382|-34.098 -79.530   |9.35     |G0V                  |    ~     ~    
5438|CD-28 3661                                                                                                                                  |Pulsating Variable                    |06 58 24.1967085384 -29 04 29.820060696|239.9054118235956 -11.4171283416604|   2.848 -6.836   |9.55     |~                    |    ~     ~    
5439|HD 52219                                                                                                                                    |Star                                  |06 59 04.8256860024 -28 57 43.459613208|239.8644886171011 -11.2353432385125|   -5.866 9.361   |7.23     |F0V                  |    ~     ~    
5440|HD 52356                                                                                                                                    |Be Star                               |06 59 44.5494477408 -28 23 58.976259576|239.4077640705526 -10.8660232654828|   -3.234 3.816   |7.208    |B3V(n)               |    ~     ~    
5441|HD 52357                                                                                                                                    |Double or Multiple Star               |06 59 40.4420818392 -28 55 48.846570240|239.8909180435138 -11.1041732237337| -4.378 -14.389   |9.857    |G2V                  |    ~     ~    
5442|HD 51988                                                                                                                                    |High Proper Motion Star               |06 58 20.4302562936 -29 38 45.064897188|240.4286090614946 -11.6688052907292| -16.644 50.716   |9.90     |G5/6V                |    ~     ~    
5443|HD 52022                                                                                                                                    |Star                                  |06 58 25.4166851352 -29 38 07.271840976|240.4265850179948 -11.6480117191635|  -2.997 -1.338   |10.64    |A2/3III              |    ~     ~    
5444|HD 52090                                                                                                                                    |Star                                  |06 58 35.8950291240 -29 36 54.296003592|240.4240065504130 -11.6050591163108|   0.333 -2.588   |10.65    |B9.5V                |    ~     ~    
5445|HD 52395                                                                                                                                    |High Proper Motion Star               |06 59 43.3958528352 -29 42 28.126635552|240.6145459479301 -11.4221079308011|-0.454 -124.318   |7.80     |F7V                  |    ~     ~    
5446|NAME Adhara                        * eps CMa                                                                                                |Star                                  |06 58 37.54876 -28 58 19.5102          |239.83106158 -11.32975253          |      3.24 1.33   |1.50     |B1.5II               |    ~     ~    
5447|CD-28 3662                                                                                                                                  |Star                                  |06 58 30.3864872616 -29 06 13.623950664|239.9417645132594 -11.4087861216739|   -3.037 7.012   |10.270   |~                    |    ~     ~    
5448|CD-28 3667                                                                                                                                  |Star                                  |06 58 40.1382858288 -29 07 39.514596420|239.9790653828205 -11.3865976822400|   -4.272 8.008   |10.38    |~                    |    ~     ~    
5449|2MASS J06591068-2904589                                                                                                                     |Star                                  |06 59 10.6853434392 -29 04 58.912863420|239.9855091191576 -11.2669424807232|   9.307 -8.942   |9.9      |~                    |    ~     ~    
5450|CD-27 3484                                                                                                                                  |Star                                  |06 59 19.3426363824 -27 38 40.422303528|238.6718218901549 -10.6292141771811|    4.462 2.243   |10.464   |~                    |    ~     ~    
5451|HD 51791                                                                                                                                    |Star                                  |06 57 37.6663780968 -27 23 08.436146136|238.2709005208894 -10.8595266046680|   -1.882 0.426   |10.57    |A0III/IV             |    ~     ~    
5452|HD 52355                                                                                                                                    |Star                                  |06 59 51.5100419424 -27 18 49.355636400|238.4189891513886 -10.3806122747311| -0.763 -20.263   |9.60     |F2/3V                |    ~     ~    
5453|TYC 6530-785-1                                                                                                                              |Star                                  |06 56 45.9350261352 -27 45 42.923848140|238.5361485804060 -11.1916167524601|   -1.466 0.503   |10.473   |~                    |    ~     ~    
5454|TYC 6530-803-1                                                                                                                              |Star                                  |06 57 53.2111906008 -28 02 57.559789788|238.9082070470872 -11.0881574582987| -17.841 17.829   |10.573   |~                    |    ~     ~    
5455|TYC 6530-909-1                                                                                                                              |Star                                  |06 56 36.7575935952 -27 40 17.992051284|238.4381659560945 -11.1843073469143|   -6.107 6.661   |10.85    |~                    |    ~     ~    
5456|TYC 6530-1800-1                                                                                                                             |Star                                  |06 57 25.6292506656 -27 29 07.756866996|238.3438077702134 -10.9421002097857|  -6.497 11.094   |10.95    |~                    |    ~     ~    
5457|TYC 6530-1941-1                                                                                                                             |Star                                  |06 57 48.3875183688 -27 28 24.320046432|238.3689361216978 -10.8607726808758|   -3.773 4.060   |10.886   |~                    |    ~     ~    
5458|TYC 6530-2023-1                                                                                                                             |Star                                  |06 56 27.7875135744 -27 28 23.597245812|238.2405013300218 -11.1307445194742|  2.898 -16.219   |10.054   |~                    |    ~     ~    
5459|TYC 6530-2058-1                                                                                                                             |Star                                  |06 56 21.8598977424 -27 32 44.485674972|238.2980834096231 -11.1811434259249|   -3.328 0.814   |10.93    |~                    |    ~     ~    
5460|TYC 6530-2167-1                                                                                                                             |Spectroscopic Binary                  |06 57 19.4381422896 -27 23 43.909767240|238.2509241211472 -10.9247947276061|   -4.948 8.286   |9.96     |~                    |    ~     ~    
5461|TYC 6531-860-1                                                                                                                              |Star                                  |06 59 51.0282060480 -27 38 43.918423620|238.7233793098962 -10.5238104853740|  -6.999 -0.738   |10.98    |~                    |    ~     ~    
5462|TYC 6531-1116-1                                                                                                                             |Star                                  |06 59 20.6994334728 -27 35 12.441449004|238.6207994896341 -10.6000972433002|   -3.002 2.955   |10.70    |~                    |    ~     ~    
5463|TYC 6531-1414-1                                                                                                                             |Star                                  |06 59 00.4879911576 -27 28 41.484230940|238.4884839755771 -10.6214666900807|   3.100 -2.954   |10.782   |~                    |    ~     ~    
5464|TYC 6531-1517-1                                                                                                                             |Star                                  |06 59 46.4110588056 -27 45 58.035875436|238.8269737497893 -10.5905941342611|  -2.506 10.407   |10.621   |~                    |    ~     ~    
5465|TYC 6531-1835-1                                                                                                                             |Star                                  |06 58 36.7918572240 -27 42 22.872130596|238.6608720435134 -10.7976033605109|  -8.263 -3.257   |10.82    |~                    |    ~     ~    
5466|TYC 6531-2333-1                                                                                                                             |Star                                  |06 58 41.2002133056 -27 59 50.272327248|238.9362003197123 -10.9062027461598|   -3.472 3.995   |10.73    |~                    |    ~     ~    
5467|TYC 6534-443-1                                                                                                                              |Star                                  |06 56 57.4563752328 -28 09 18.522028692|238.9180589874165 -11.3185895553966|  -5.981 11.138   |10.449   |~                    |    ~     ~    
5468|TYC 6534-552-1                                                                                                                              |Star                                  |06 58 26.2031972832 -28 34 56.691153336|239.4528791181502 -11.2032677437912|   -4.710 8.956   |10.550   |~                    |    ~     ~    
5469|TYC 6534-741-1                                                                                                                              |Star                                  |06 57 27.6084034992 -29 20 19.436619192|240.0619268932547 -11.7144928765237|  -7.397 29.240   |10.514   |~                    |    ~     ~    
5470|TYC 6534-1003-1                                                                                                                             |Spectroscopic Binary                  |06 57 22.7164030488 -29 35 48.382123092|240.2939170075868 -11.8382756910287|   -6.065 7.177   |10.73    |~                    |    ~     ~    
5471|TYC 6534-1035-1                                                                                                                             |Spectroscopic Binary                  |06 58 00.6721733520 -29 38 07.150816500|240.3882994008732 -11.7294075847274| 41.804 -20.407   |10.67    |~                    |    ~     ~    
5472|TYC 6534-1819-1                                                                                                                             |Star                                  |06 58 25.5278228856 -29 56 37.834817604|240.7129758142206 -11.7765663070599|   -4.796 7.918   |10.75    |~                    |    ~     ~    
5473|TYC 6534-1881-1                                                                                                                             |Star                                  |06 57 14.9990074968 -29 28 02.240728716|240.1617519869882 -11.8097341215970|  -1.805 -1.848   |10.22    |~                    |    ~     ~    
5474|TYC 6534-1955-1                                                                                                                             |Star                                  |06 58 36.0271941672 -29 51 42.013953972|240.6528997681822 -11.7077851941923|  -0.629 -0.688   |10.81    |~                    |    ~     ~    
5475|TYC 6534-2425-1                                                                                                                             |Star                                  |06 56 58.1631136848 -29 42 21.157165152|240.3574795434212 -11.9645298355252|   -1.004 0.452   |10.572   |~                    |    ~     ~    
5476|TYC 6535-142-1                                                                                                                              |Star                                  |06 59 16.0002992328 -28 24 48.371206860|239.3752780649049 -10.9666145395593|   -3.425 3.408   |10.86    |~                    |    ~     ~    
5477|TYC 6535-162-1                                                                                                                              |Star                                  |06 59 15.2768772816 -28 09 48.421263456|239.1435092275086 -10.8631290113140|   -0.022 3.467   |10.90    |~                    |    ~     ~    
5478|TYC 6535-166-1                                                                                                                              |Star                                  |06 59 14.9186632776 -28 18 54.383227596|239.2828339429550 -10.9285774711455|  -0.970 -0.184   |10.67    |~                    |    ~     ~    
5479|TYC 6535-167-1                                                                                                                              |Star                                  |06 58 47.1146044488 -29 33 42.284276316|240.3919556171204 -11.5458013973728|   0.836 -1.449   |10.953   |~                    |    ~     ~    
5480|TYC 6535-405-1                                                                                                                              |Star                                  |06 59 17.6081791248 -28 11 35.055612060|239.1745225194324 -10.8679303442728|   -3.647 8.655   |10.497   |~                    |    ~     ~    
5481|TYC 6535-605-1                                                                                                                              |Star                                  |06 59 24.4396178640 -29 30 24.710768928|240.3990875016793 -11.3999500029553|  -2.103 10.272   |10.60    |~                    |    ~     ~    
5482|TYC 6535-1084-1                                                                                                                             |Star                                  |06 59 38.8656620160 -28 18 50.796647100|239.3198255060449 -10.8485929354565|   -6.562 8.716   |10.55    |~                    |    ~     ~    
5483|TYC 6535-1213-1                                                                                                                             |Star                                  |06 59 34.4863729704 -29 32 19.033262376|240.4441027682636 -11.3802526899210|   -0.158 0.258   |10.92    |~                    |    ~     ~    
5484|TYC 6535-1410-1                                                                                                                             |Star                                  |06 58 50.4227462832 -28 28 48.290714112|239.3964427480977 -11.0797101493801|   5.533 -0.886   |10.72    |~                    |    ~     ~    
5485|TYC 6535-1471-1                                                                                                                             |Star                                  |06 58 53.0553752040 -29 52 01.195338540|240.6841185073316 -11.6541237998008|   7.980 18.391   |10.46    |~                    |    ~     ~    
5486|TYC 6535-1563-1                                                                                                                             |Star                                  |06 59 50.3797425456 -29 56 45.157388136|240.8458028462374 -11.4992016092598|  -1.157 -0.040   |10.57    |~                    |    ~     ~    
5487|TYC 6535-1584-1                                                                                                                             |Star                                  |06 59 27.1406166624 -28 20 14.550105480|239.3227166738431 -10.8974048158471|    0.306 2.165   |10.76    |~                    |    ~     ~    
5488|TYC 6535-1804-1                                                                                                                             |Star                                  |06 58 39.6719463360 -28 33 14.243284152|239.4477606276116 -11.1465769249609|   16.401 1.022   |10.7     |~                    |    ~     ~    
5489|GSC 06535-03003                                                                                                                             |Double or Multiple Star               |06 59 54.6630676896 -29 13 46.188360912|240.1896938243302 -11.1835882407407|   -8.999 1.624   |10.604   |~                    |    ~     ~    
5490|TYC 6535-3188-1                                                                                                                             |Star                                  |06 59 14.7057020808 -29 17 51.508481784|240.1903070429296 -11.3440203522178|    1.389 4.555   |10.822   |~                    |    ~     ~    
