C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
43  |HD 295404                                                                                                                                   |Star                                  |06 45 01.6447873248 -02 40 21.286911612|214.5817296937652 -02.6437288296009| -10.232 -7.529   |10.13    |K0                   |    ~     ~    
44  |HD 292348                                                                                                                                   |Star                                  |06 45 25.1921214984 -02 02 13.614901872|214.0599873134287 -02.2672841542140|   0.296 -3.206   |10.21    |F8                   |    ~     ~    
45  |HD 295410                                                                                                                                   |Star                                  |06 45 31.3801087992 -02 29 38.931011124|214.4790282641034 -02.4523375235497|  -1.367 -1.244   |9.94     |A2                   |    ~     ~    
46  |HD 292339                                                                                                                                   |Star                                  |06 47 07.9000733952 -00 58 27.747034284|213.3083858185010 -01.4023489108421|  -1.897 -2.358   |9.95     |K0                   |    ~     ~    
47  |HD 292350                                                                                                                                   |Star                                  |06 46 06.3404073744 -02 01 03.163417032|214.1206115529399 -02.1058166460240|  -6.148 -2.469   |10.39    |A3                   |    ~     ~    
48  |HD 295408                                                                                                                                   |High Proper Motion Star               |06 46 04.2221083296 -02 34 34.974039468|214.6145763038555 -02.3680126625021| 84.370 -27.554   |10.12    |G5                   |    ~     ~    
49  |HD 292365                                                                                                                                   |Star                                  |06 46 13.4950660536 -02 17 50.802356508|214.3835764813605 -02.2067058965738|       0.3 -0.2   |10.095   |G0                   |    ~     ~    
50  |HD 292364                                                                                                                                   |Star                                  |06 46 31.1587784544 -02 12 46.471507884|214.3417503439493 -02.1027451502031|   -0.487 0.166   |10.32    |B8                   |    ~     ~    
51  |HD 295414                                                                                                                                   |Star                                  |06 46 43.4962246440 -02 38 40.765351416|214.7498635158395 -02.2535056574853|  -1.043 -4.338   |10.11    |B5                   |    ~     ~    
52  |HD 295412                                                                                                                                   |Star                                  |06 46 54.6073222968 -02 26 44.824896204|214.5937096865386 -02.1218210055623|  -1.700 -0.059   |10.62    |B8                   |    ~     ~    
53  |HD 292368                                                                                                                                   |Star                                  |06 46 58.0472972304 -02 19 58.706497956|214.4997178203626 -02.0577225805093|    2.717 2.517   |10.52    |F8V                  |    ~     ~    
54  |HD 292369                                                                                                                                   |Star                                  |06 47 13.4166478008 -02 14 19.898283408|214.4450171261032 -01.9579062406418|  -5.047 -5.577   |10.47    |B8                   |    ~     ~    
55  |TYC 4804-1547-1                                                                                                                             |Star                                  |06 45 22.2940732968 -01 57 56.562246828|213.9908644794176 -02.2455232976165|   0.708 -1.472   |10.71    |K5                   |    ~     ~    
56  |2MASS J06453200-0120362                                                                                                                     |Red Giant Branch star                 |06 45 32.0031638640 -01 20 36.238616376|213.4548955029907 -01.9261080454082|    3.337 0.425   |10.768   |G9IIIb               |    ~     ~    
57  |HD 292347                                                                                                                                   |Star                                  |06 45 40.7721642192 -01 49 58.744914168|213.9076677575866 -02.1165812155817|  -1.524 -1.253   |10.52    |A2                   |    ~     ~    
58  |TYC 4800-2152-1                                                                                                                             |Star                                  |06 46 00.7251687600 -01 32 03.697908648|213.6795170666843 -01.9065961812616|  -1.222 -2.344   |10.99    |G9III                |    ~     ~    
59  |TYC 4800-314-1                                                                                                                              |Star                                  |06 46 03.2237198232 -01 43 11.722434564|213.8495522180774 -01.9818491928802|  -1.664 -2.401   |10.23    |G0V                  |    ~     ~    
60  |HD 292353                                                                                                                                   |Star                                  |06 46 18.5193982704 -01 53 35.310873768|214.0328871191983 -02.0040193769658|   -2.073 6.426   |9.96     |F2                   |    ~     ~    
61  |TYC 4804-1185-1                                                                                                                             |Star                                  |06 46 24.3130711104 -01 55 24.587948496|214.0709217034121 -01.9963609738519|   -5.213 0.583   |10.99    |F5IV                 |    ~     ~    
62  |HD 292341                                                                                                                                   |Star                                  |06 46 41.6827133736 -01 27 52.311011580|213.6950755044493 -01.7229170102302|  1.880 -23.216   |10.46    |K0                   |    ~     ~    
63  |HD 292359                                                                                                                                   |Star                                  |06 47 04.5555929448 -01 56 57.300936432|214.1702171935637 -01.8588897119039|   7.180 -1.963   |10.197   |G0V                  |    ~     ~    
64  |HD 292343                                                                                                                                   |Star                                  |06 47 11.3519114568 -01 33 55.897602372|213.8413440952407 -01.6589169685956|  -0.961 -3.780   |10.78    |A5                   |    ~     ~    
65  |TYC 4804-1613-1                                                                                                                             |Star                                  |06 47 22.9267708728 -01 58 11.858297052|214.2235208439995 -01.8002120871663|    3.672 8.124   |10.55    |G8                   |    ~     ~    
66  |HD 292212                                                                                                                                   |Star                                  |06 45 03.8772240168 -00 31 57.294676524|212.6793986340206 -01.6608720625487|   -1.050 0.680   |10.9     |B8                   |    ~     ~    
67  |HD 292337                                                                                                                                   |Star                                  |06 45 45.5881005984 -01 01 08.133333708|213.1917153951869 -01.7278846614958|  -2.979 -3.079   |10.73    |A2                   |    ~     ~    
68  |HD 292335                                                                                                                                   |Star                                  |06 46 02.0311124952 -00 50 45.034971792|213.0688241098985 -01.5880247766837|   -2.256 2.415   |10.29    |G5                   |    ~     ~    
69  |HD 292325                                                                                                                                   |Star                                  |06 46 31.0012902912 -00 31 38.341483644|212.8402669185948 -01.3353925727222|  -3.804 -4.330   |10.8     |F8                   |    ~     ~    
70  |HD 292326                                                                                                                                   |Star                                  |06 46 38.3112847392 -00 37 25.420833300|212.9399883679510 -01.3522384702204|   3.054 -4.381   |9.77     |K2                   |    ~     ~    
71  |HD 292327                                                                                                                                   |Star                                  |06 46 51.2548027296 -00 37 48.372606156|212.9702557097358 -01.3071466983184|    3.663 1.960   |9.95     |F5                   |    ~     ~    
