C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3156|BD+24 4807                                                                                                                                  |Star                               |23 37 55.4416975519 +25 09 53.171463545|102.5992456128716 -34.7877214037809| -30.954 -2.555   |10.66    |G5                     |    ~     ~    |    1|  194.6510  pc  | -11.6471    +11.6471  |paral   |2018yCat.1345....0G
3157|BD+23 4775                                                                                                                                  |High Proper Motion Star            |23 38 03.0133931640 +24 38 59.392949784|102.4167336019570 -35.2813283845241| 66.519 -82.279   |9.91     |G5                     |    ~     ~    |    1|   66.032   pc  |  -0.0807     +0.0807  |paral   |2020yCat.1350....0G
3158|BD+23 4778                                                                                                                                  |Star                               |23 38 36.4692600672 +24 28 50.341585872|102.4918021180501 -35.4836894682983|  12.443 -8.748   |9.49     |F5                     |    ~     ~    |    1|  148.309   pc  |  -0.4223     +0.4223  |paral   |2020yCat.1350....0G
3159|BD+23 4779                                                                                                                                  |Star                               |23 38 48.6967435896 +24 40 55.787221560|102.6294570656297 -35.3100155105456|   1.152 -5.390   |8.94     |K0                     |    ~     ~    |    1|  601.974   pc  |  -7.4649     +7.4649  |paral   |2020yCat.1350....0G
3160|BD+23 4780                                                                                                                                  |Star                               |23 39 27.4210008144 +24 43 42.663387648|102.8177163588221 -35.3160005555106|-25.368 -21.522   |8.53     |K0                     |    ~     ~    |    1|  327.901   pc  |  -2.5805     +2.5805  |paral   |2020yCat.1350....0G
3161|BD+23 4782                                                                                                                                  |High Proper Motion Star            |23 39 42.4248190176 +24 18 17.802016092|102.7079787817731 -35.7339390516981|   92.484 6.910   |9.93     |F5                     |    ~     ~    |    1|  159.589   pc  |  -0.8481     +0.8481  |paral   |2020yCat.1350....0G
3162|BD+23 4783                                                                                                                                  |Red Giant Branch star Candidate    |23 39 44.5773791448 +23 58 53.771893968|102.5825271714609 -36.0410006128800|   13.284 3.450   |9.57     |K0                     |    ~     ~    |    1|  562.525   pc  |  -5.2212     +5.2212  |paral   |2020yCat.1350....0G
3163|HD 222242                                                                                                                                   |Star                               |23 38 43.4031342552 +23 32 14.039525652|102.1225638201225 -36.3788700278287| -15.083 -5.464   |8.99     |K                      |    ~     ~    |    1|  418.060   pc  |  -2.8838     +2.8838  |paral   |2020yCat.1350....0G
3164|HD 222249                                                                                                                                   |High Proper Motion Star            |23 38 49.5007524408 +23 18 29.974196340|102.0515118923303 -36.6017577529553| 31.213 -41.055   |7.14     |F5IV                   |    ~     ~    |    1|   97.934   pc  |  -0.1937     +0.1937  |paral   |2020yCat.1350....0G
3165|BD+22 4881                                                                                                                                  |Star                               |23 39 12.9485949072 +22 54 31.646774484|101.9844761403648 -37.0077410576610|  -5.095 -8.974   |10.85    |K0                     |    ~     ~    |    1| 1075.731   pc  | -23.3754    +23.3754  |paral   |2020yCat.1350....0G
3166|BD+22 4883                                                                                                                                  |Star                               |23 39 16.4613514560 +23 15 06.233664492|102.1479434430204 -36.6904419761167| -14.183 -2.926   |9.59     |A5                     |    ~     ~    |    1|  239.607   pc  |  -1.0104     +1.0104  |paral   |2020yCat.1350....0G
3167|BD+22 4885                                                                                                                                  |Eclipsing Binary                   |23 39 29.9390715216 +23 47 38.756892048|102.4387579881484 -36.1984192247180|  46.155 11.514   |9.888    |F8                     |    ~     ~    |    1|  178.888   pc  |  -0.7168     +0.7168  |paral   |2020yCat.1350....0G
3168|TYC 2251-20-1                                                                                                                               |Star                               |23 39 15.3561255768 +23 40 22.831690404|102.3226861493593 -36.2932554763848|  -8.245 -5.524   |10.56    |~                      |    ~     ~    |    1|  776.337   pc  | -19.4069    +19.4069  |paral   |2020yCat.1350....0G
3169|HD 222600                                                                                                                                   |Star                               |23 41 55.8199477320 +25 14 32.736394176|103.6726539518620 -35.0163948789347|   3.690 -1.549   |9.28     |A0                     |    ~     ~    |    1|  625.430   pc  |  -9.3488     +9.3488  |paral   |2020yCat.1350....0G
3170|BD+24 4816                                                                                                                                  |Star                               |23 42 12.0563098872 +24 58 35.320169424|103.6379806882690 -35.2878312696072| -9.628 -26.350   |10.55    |F8                     |    ~     ~    |    1|  312.363   pc  |  -1.5123     +1.5123  |paral   |2020yCat.1350....0G
3171|HD 222797                                                                                                                                   |Star                               |23 43 33.854 +25 05 47.31              |104.043429 -35.273406              |      24.3 -8.0   |7.78     |G9III                  |    ~     ~    |    0|                |                       |        |                   
3172|HD 222417                                                                                                                                   |Star                               |23 40 17.7123129504 +24 35 25.258150104|102.9809707552427 -35.5100470101225|-20.854 -20.727   |8.21     |K0                     |    ~     ~    |    1|  329.565   pc  |  -9.6231     +9.6231  |paral   |2020yCat.1350....0G
3173|HD 222440                                                                                                                                   |High Proper Motion Star            |23 40 31.1230103040 +24 41 41.622808164|103.0825501725068 -35.4284061531578|  54.748 29.872   |7.89     |F5                     |    ~     ~    |    1|  102.256   pc  |  -0.8250     +0.8250  |paral   |2020yCat.1350....0G
3174|HD 222601                                                                                                                                   |Star                               |23 41 55.7370583224 +24 47 33.541685268|103.4931183117084 -35.4415908452065| 10.893 -15.113   |8.53     |K0                     |    ~     ~    |    1|  318.624   pc  |  -2.4974     +2.4974  |paral   |2020yCat.1350....0G
3175|HD 222623                                                                                                                                   |High Proper Motion Star            |23 42 06.6125724288 +24 43 50.030378868|103.5160334713175 -35.5136997298863| -64.494 60.739   |8.55     |F5                     |    ~     ~    |    1|   76.213   pc  |  -0.1191     +0.1191  |paral   |2020yCat.1350....0G
3176|BD+23 4796                                                                                                                                  |Star                               |23 42 14.2818164136 +24 46 37.749509544|103.5683558023675 -35.4790878049407| 20.677 -12.634   |8.64     |M0                     |    ~     ~    |    1|  562.936   pc  |  -6.6865     +6.6865  |paral   |2020yCat.1350....0G
3177|HD 222772                                                                                                                                   |Star                               |23 43 23.8687667880 +24 26 58.625686428|103.7451493857899 -35.8742324794644|  7.338 -16.780   |9.22     |A2                     |    ~     ~    |    1|  588.893   pc  | -14.2186    +14.2186  |paral   |2020yCat.1350....0G
3178|BD+23 4786                                                                                                                                  |Star                               |23 40 34.0987986480 +23 54 51.438978720|102.7741807344846 -36.1679466389192|-23.949 -11.090   |9.55     |F2                     |    ~     ~    |    1|  292.757   pc  |  -1.7998     +1.7998  |paral   |2020yCat.1350....0G
3179|BD+23 4788                                                                                                                                  |Star                               |23 40 57.2179781712 +23 57 46.696515768|102.8971195020889 -36.1515272300069|    2.875 4.065   |10.23    |M0                     |    ~     ~    |    1| 1619.958   pc  | -46.1870    +46.1870  |paral   |2020yCat.1350....0G
3180|BD+23 4789                                                                                                                                  |Star                               |23 41 00.4897855008 +23 57 34.974115632|102.9103196950073 -36.1587522455490| -8.316 -22.397   |10.50    |G0                     |    ~     ~    |    1|  841.326   pc  | -11.1837    +11.1837  |paral   |2020yCat.1350....0G
3181|HD 222572                                                                                                                                   |High Proper Motion Star            |23 41 34.0377123456 +24 13 25.731139152|103.1675898716775 -35.9519377066890| 52.203 -16.262   |7.60     |A2                     |    ~     ~    |    1|  209.069   pc  |  -4.5808     +4.5808  |paral   |2020yCat.1350....0G
3182|HD 222624                                                                                                                                   |High Proper Motion Star            |23 42 09.2359438512 +23 59 34.844411616|103.2299802720994 -36.2139442850906|   66.061 8.067   |8.46     |G0                     |    ~     ~    |    1|  120.807   pc  |  -0.3211     +0.3211  |paral   |2020yCat.1350....0G
3183|HD 222633                                                                                                                                   |High Proper Motion Star            |23 42 15.1341548520 +24 13 17.837288400|103.3489581149999 -36.0053151698980| 71.804 -30.028   |8.52     |F5                     |    ~     ~    |    1|   89.933   pc  |  -0.2273     +0.2273  |paral   |2020yCat.1350....0G
3184|BD+22 4889                                                                                                                                  |Star                               |23 40 43.4525369496 +23 18 04.802638644|102.5595987222026 -36.7571890622444| -12.805 21.443   |10.42    |G0                     |    ~     ~    |    1|  190.669   pc  |  -0.8580     +0.8580  |paral   |2020yCat.1350....0G
3185|BD+22 4893                                                                                                                                  |Star                               |23 43 23.1926292552 +23 06 07.959334320|103.1989647811314 -37.1481326699003| -22.863 -7.715   |9.28     |K5                     |    ~     ~    |    1|  724.113   pc  | -11.9025    +11.9025  |paral   |2020yCat.1350....0G
3186|BD+22 4894                                                                                                                                  |Star                               |23 43 42.4758530160 +23 23 07.027796400|103.4017878689492 -36.9044903471504|  18.009 -6.791   |9.69     |M0                     |    ~     ~    |    1|  516.716   pc  |  -4.4321     +4.4321  |paral   |2020yCat.1350....0G
3187|BD+22 4895                                                                                                                                  |Star                               |23 43 51.2440 +23 40 27.798            |103.5580314 -36.6417372            |   5.374 -5.666   |10.59    |F8                     |    ~     ~    |    0|                |                       |        |                   
3188|BD+21 4971                                                                                                                                  |Star                               |23 40 49.5457515000 +22 47 56.424000804|102.3744310417159 -37.2378225537256|   11.962 2.349   |9.94     |K0                     |    ~     ~    |    1| 1095.530   pc  | -16.3225    +16.3225  |paral   |2020yCat.1350....0G
3189|BD+21 4972                                                                                                                                  |Spectroscopic Binary               |23 41 02.6173441008 +22 47 30.583098348|102.4307319035919 -37.2615756240558|  13.393 -8.105   |10.49    |F8                     |    ~     ~    |    1|  350.300   pc  |  -2.7610     +2.7610  |paral   |2020yCat.1350....0G
3190|TYC 2250-999-1                                                                                                                              |Star                               |23 37 38.3663960976 +23 57 15.296160312|102.0132373338243 -35.9017608740220|   9.838 -2.407   |10.58    |~                      |    ~     ~    |    1|  862.515   pc  | -15.4738    +15.4738  |paral   |2020yCat.1350....0G
3191|TYC 2251-56-1                                                                                                                               |Star                               |23 44 48.4652071848 +24 51 41.522709312|104.2804660626424 -35.5853424050453| -3.900 -14.546   |10.38    |~                      |    ~     ~    |    1|  852.515   pc  | -13.1547    +13.1547  |paral   |2020yCat.1350....0G
3192|TYC 2251-80-1                                                                                                                               |Star                               |23 38 48.0811830288 +24 46 21.630016884|102.6644314352682 -35.2240945460948|   2.119 -6.714   |10.06    |~                      |    ~     ~    |    1| 1376.462   pc  | -28.4197    +28.4197  |paral   |2020yCat.1350....0G
3193|TYC 2251-99-1                                                                                                                               |Star                               |23 38 25.4579019288 +23 48 18.603805248|102.1574605300521 -36.1037584851971|  -6.788 -9.969   |9.50     |~                      |    ~     ~    |    1|  923.276   pc  | -16.0258    +16.0258  |paral   |2020yCat.1350....0G
3194|TYC 2251-110-1                                                                                                                              |Star                               |23 43 15.5030172504 +24 08 22.734938328|103.5844902287616 -36.1574349843554|   27.741 3.514   |10.22    |~                      |    ~     ~    |    1|  715.154   pc  |  -9.5129     +9.5129  |paral   |2020yCat.1350....0G
3195|TYC 2251-130-1                                                                                                                              |Star                               |23 37 54.7433702088 +24 03 47.653075980|102.1320279997452 -35.8211659099861|  -8.054 -7.810   |10.15    |~                      |    ~     ~    |    1|  617.780   pc  |  -6.3736     +6.3736  |paral   |2020yCat.1350....0G
3196|TYC 2251-151-1                                                                                                                              |Star                               |23 38 02.6841322176 +24 54 23.341430412|102.5228794566405 -35.0397885763448|  42.626 20.807   |10.80    |~                      |    ~     ~    |    1|  230.936   pc  |  -1.1306     +1.1306  |paral   |2020yCat.1350....0G
3197|TYC 2251-164-1                                                                                                                              |Star                               |23 44 50.6030316264 +24 38 30.291634572|104.2049403552216 -35.7965505951273|  -2.402 -4.875   |10.35    |~                      |    ~     ~    |    1| 1163.332   pc  | -17.0521    +17.0521  |paral   |2020yCat.1350....0G
3198|BD+23 4773                                                                                                                                  |High Proper Motion Star            |23 37 45.1964909712 +23 55 45.436981116|102.0326412238089 -35.9342051133912|-76.575 -94.383   |9.87     |~                      |    ~     ~    |    1|  110.196   pc  |  -0.1967     +0.1967  |paral   |2020yCat.1350....0G
3199|TYC 2251-204-1                                                                                                                              |High Proper Motion Star            |23 42 31.6278043752 +24 56 49.049549952|103.7119893480049 -35.3396970339892| 94.043 -20.067   |10.86    |~                      |    ~     ~    |    1|  172.533   pc  |  -0.4763     +0.4763  |paral   |2020yCat.1350....0G
3200|TYC 2251-273-1                                                                                                                              |Star                               |23 39 59.1033082944 +23 20 59.626549284|102.3809874457823 -36.6540072769094|  1.500 -11.591   |10.30    |~                      |    ~     ~    |    1|  757.289   pc  |  -9.8066     +9.8066  |paral   |2020yCat.1350....0G
3201|TYC 2251-293-1                                                                                                                              |Star                               |23 41 43.9126320072 +23 02 36.487047984|102.7241834309272 -37.0778374570863|-45.655 -16.977   |10.44    |~                      |    ~     ~    |    1|  194.224   pc  |  -0.5432     +0.5432  |paral   |2020yCat.1350....0G
3202|TYC 2251-321-1                                                                                                                              |Star                               |23 38 50.9706602184 +24 49 13.574009892|102.6968491564532 -35.1828753187544|   10.950 8.476   |10.13    |~                      |    ~     ~    |    1|  761.383   pc  |  -8.7535     +8.7535  |paral   |2020yCat.1350....0G
3203|TYC 2251-339-1                                                                                                                              |Star                               |23 42 45.0412406016 +24 44 49.789055220|103.6916836086724 -35.5451630655582|  8.874 -13.359   |10.25    |~                      |    ~     ~    |    1|  119.299   pc  |  -0.4156     +0.4156  |paral   |2020yCat.1350....0G
3204|TYC 2251-563-1                                                                                                                              |Star                               |23 43 58.6687234656 +24 03 55.216930212|103.7475406811522 -36.2806111598040| -2.218 -13.194   |10.81    |~                      |    ~     ~    |    1|  836.820   pc  | -23.0388    +23.0388  |paral   |2020yCat.1350....0G
3205|TYC 2251-620-1                                                                                                                              |Star                               |23 38 42.3311432496 +23 44 55.620177684|102.2081949439608 -36.1788577233613|  13.050 -6.746   |10.72    |~                      |    ~     ~    |    1|  719.476   pc  |  -7.7647     +7.7647  |paral   |2020yCat.1350....0G
3206|TYC 2251-623-1                                                                                                                              |Star                               |23 39 36.7129756800 +24 15 32.441697108|102.6636961282115 -35.7698414012205| -1.463 -17.420   |10.75    |~                      |    ~     ~    |    1|  493.364   pc  |  -3.7972     +3.7972  |paral   |2020yCat.1350....0G
3207|TYC 2251-658-1                                                                                                                              |Star                               |23 43 29.4826308720 +23 25 06.767157720|103.3565308366442 -36.8569044308211| -6.106 -21.041   |10.85    |~                      |    ~     ~    |    1|  373.818   pc  |  -2.1520     +2.1520  |paral   |2020yCat.1350....0G
3208|TYC 2251-666-1                                                                                                                              |Star                               |23 42 03.1967363472 +24 51 22.052135664|103.5512250955381 -35.3907734872094|  -1.028 -4.370   |10.62    |~                      |    ~     ~    |    1|  897.908   pc  | -11.6098    +11.6098  |paral   |2020yCat.1350....0G
3209|TYC 2251-826-1                                                                                                                              |Star                               |23 41 18.7357109520 +23 49 52.616920692|102.9385421733350 -36.3030022233654| 34.894 -11.528   |10.94    |~                      |    ~     ~    |    1|  365.698   pc  |  -5.8308     +5.8308  |paral   |2020yCat.1350....0G
3210|TYC 2251-938-1                                                                                                                              |Star                               |23 40 37.0280281728 +22 41 20.987611728|102.2706777972124 -37.3247953294937|  -6.483 -4.621   |10.62    |~                      |    ~     ~    |    1|  838.364   pc  | -11.4565    +11.4565  |paral   |2020yCat.1350....0G
3211|TYC 2251-1078-1                                                                                                                             |Star                               |23 43 50.8293105960 +23 59 30.449076720|103.6832014625965 -36.3407042056012|    7.723 5.303   |10.68    |~                      |    ~     ~    |    1|  766.166   pc  |  -9.1574     +9.1574  |paral   |2020yCat.1350....0G
3212|TYC 2251-1183-1                                                                                                                             |Star                               |23 44 36.7375425648 +23 32 01.216806648|103.7069389577719 -36.8307645175508|   44.984 0.685   |10.63    |~                      |    ~     ~    |    1|  281.025   pc  |  -2.4008     +2.4008  |paral   |2020yCat.1350....0G
3213|TYC 2251-1223-1                                                                                                                             |Star                               |23 41 38.2299939552 +23 40 06.668229936|102.9584649492142 -36.4812219916947|  4.114 -25.379   |10.56    |~                      |    ~     ~    |    1|  282.670   pc  |  -1.9576     +1.9576  |paral   |2020yCat.1350....0G
3214|TYC 2251-1227-1                                                                                                                             |Star                               |23 39 34.7884985304 +24 57 34.832371788|102.9449606838173 -35.1076690709986|   3.729 -4.831   |10.43    |~                      |    ~     ~    |    1|  773.395   pc  |  -8.7328     +8.7328  |paral   |2020yCat.1350....0G
3215|TYC 2251-1250-1                                                                                                                             |High Proper Motion Star            |23 40 40.7432972280 +24 46 04.128323916|103.1543913373316 -35.3717195897587| 75.032 -40.074   |10.21    |~                      |    ~     ~    |    1|  120.674   pc  |  -0.2752     +0.2752  |paral   |2020yCat.1350....0G
3216|TYC 2251-1276-1                                                                                                                             |High Proper Motion Star            |23 43 18.7252085784 +23 20 27.209667156|103.2762897518923 -36.9169385104046| 75.143 -12.802   |10.54    |~                      |    ~     ~    |    1|  158.275   pc  |  -0.4735     +0.4735  |paral   |2020yCat.1350....0G
3217|TYC 2251-1277-1                                                                                                                             |Star                               |23 37 58.8737382336 +23 14 08.260437012|101.7937009828238 -36.6026216181225|  -4.263 -4.227   |10.55    |~                      |    ~     ~    |    1| 1006.847   pc  | -14.1924    +14.1924  |paral   |2020yCat.1350....0G
3218|TYC 2251-1309-1                                                                                                                             |Star                               |23 38 51.8349594168 +24 35 56.704111548|102.6085385385076 -35.3921874078008|   -5.709 0.883   |10.79    |~                      |    ~     ~    |    1|  990.001   pc  | -18.5239    +18.5239  |paral   |2020yCat.1350....0G
3219|TYC 2251-1353-1                                                                                                                             |Spectroscopic Binary               |23 44 58.0570223400 +24 07 03.653880384|104.0339063015777 -36.3028349246895|-12.795 -18.843   |9.73     |~                      |    ~     ~    |    1|  306.937   pc  | -12.3698    +12.3698  |paral   |2020yCat.1350....0G
3220|TYC 2251-1368-1                                                                                                                             |Star                               |23 40 49.6354661256 +24 11 42.019856124|102.9591771964259 -35.9231554054804|  19.466 11.014   |10.51    |~                      |    ~     ~    |    1|  329.359   pc  | -19.6019    +19.6019  |paral   |2020yCat.1350....0G
3221|TYC 2251-1416-1                                                                                                                             |Star                               |23 38 33.0870083736 +24 14 45.200493060|102.3782053963012 -35.6998944753512| 41.555 -20.272   |10.16    |~                      |    ~     ~    |    1|  329.891   pc  |  -1.5454     +1.5454  |paral   |2020yCat.1350....0G
3222|TYC 2251-1449-1                                                                                                                             |Star                               |23 40 20.1982676424 +22 31 53.167604232|102.1263424818265 -37.4509577422623| -11.112 -6.320   |10.79    |~                      |    ~     ~    |    1|  884.956   pc  | -13.0002    +13.0002  |paral   |2020yCat.1350....0G
3223|TYC 2251-1469-1                                                                                                                             |Star                               |23 38 02.3143196592 +23 10 22.000760652|101.7817295774266 -36.6661151944666|  19.662 -2.433   |10.60    |~                      |    ~     ~    |    1|  956.663   pc  | -12.3553    +12.3553  |paral   |2020yCat.1350....0G
3224|TYC 2251-1530-1                                                                                                                             |Star                               |23 39 50.1759244992 +23 41 51.795418776|102.4881323383393 -36.3152977859867| 19.536 -16.156   |10.91    |~                      |    ~     ~    |    1|  717.566   pc  |  -7.3116     +7.3116  |paral   |2020yCat.1350....0G
3225|TYC 2251-1544-1                                                                                                                             |Star                               |23 40 13.2667318848 +22 42 21.759197472|102.1699839176916 -37.2777645830099|   16.546 0.842   |10.25    |~                      |    ~     ~    |    1|  462.877   pc  |  -3.8352     +3.8352  |paral   |2020yCat.1350....0G
3226|TYC 2251-1570-1                                                                                                                             |Star                               |23 38 58.2854470872 +22 45 22.548146436|101.8520772001000 -37.1313337847545|-28.888 -35.128   |10.78    |~                      |    ~     ~    |    1|  275.642   pc  |  -1.4664     +1.4664  |paral   |2020yCat.1350....0G
3227|TYC 2254-264-1                                                                                                                              |Star                               |23 44 31.1972592696 +25 02 33.016088004|104.2741852753031 -35.3930415799527|-10.572 -11.581   |10.03    |~                      |    ~     ~    |    1|  259.646   pc  |  -1.8742     +1.8742  |paral   |2020yCat.1350....0G
3228|TYC 2254-290-1                                                                                                                              |Star                               |23 44 14.7317966712 +25 14 11.427502416|104.2767044740885 -35.1893498223010|  11.126 -7.465   |10.54    |~                      |    ~     ~    |    1|  537.866   pc  |  -4.6867     +4.6867  |paral   |2020yCat.1350....0G
3229|TYC 2254-540-1                                                                                                                              |Star                               |23 44 45.2205046176 +25 03 46.046997504|104.3436457440726 -35.3903857570906|  10.518 -9.741   |9.55     |~                      |    ~     ~    |    1|  197.609   pc  |  -0.6834     +0.6834  |paral   |2020yCat.1350....0G
3230|TYC 2254-700-1                                                                                                                              |Star                               |23 43 25.0171171224 +25 13 13.159362972|104.0529968021442 -35.1453918448765|  14.321 14.353   |9.96     |~                      |    ~     ~    |    1|  309.924   pc  | -11.6128    +11.6128  |paral   |2020yCat.1350....0G
3231|TYC 2254-1094-1                                                                                                                             |Star                               |23 44 28.9149520440 +25 03 27.265032216|104.2699634103406 -35.3760282859923|-19.476 -10.056   |10.50    |~                      |    ~     ~    |    1|  335.345   pc  |  -2.9014     +2.9014  |paral   |2020yCat.1350....0G
3232|TYC 2254-1573-1                                                                                                                             |High Proper Motion Star            |23 42 36.9940088808 +25 13 07.251127536|103.8426868009728 -35.0890151725991| 100.383 21.025   |10.18    |~                      |    ~     ~    |    1|   96.820   pc  |  -0.2025     +0.2025  |paral   |2020yCat.1350....0G
3233|TYC 2254-2853-1                                                                                                                             |Star                               |23 38 37.6608963888 +25 02 59.194916016|102.7340849992425 -34.9500739713449|   12.209 1.462   |10.95    |~                      |    ~     ~    |    1|  445.673   pc  |  -3.4561     +3.4561  |paral   |2020yCat.1350....0G
3234|BD+24 4785                                                                                                                                  |Star                               |23 30 24.5055633504 +25 09 54.562191264|100.6723752203408 -34.1799795426830|-13.113 -14.698   |10.34    |K2                     |    ~     ~    |    1|  717.412   pc  |  -7.7717     +7.7717  |paral   |2020yCat.1350....0G
3235|HD 221729                                                                                                                                   |Star                               |23 34 29.1239717808 +25 15 27.420850188|101.7528682593033 -34.4295554230546| 10.061 -11.439   |8.45     |F2                     |    ~     ~    |    1|  238.869   pc  |  -1.1982     +1.1982  |paral   |2020yCat.1350....0G
3236|HD 221811                                                                                                                                   |Star                               |23 35 14.2681285368 +25 17 08.079574416|101.9577839154443 -34.4636068123708|  32.123 -5.981   |8.76     |F5                     |    ~     ~    |    1|  311.983   pc  | -12.9162    +12.9162  |paral   |2020yCat.1350....0G
3237|BD+24 4799                                                                                                                                  |Star                               |23 35 40.5511747104 +25 14 49.397473572|102.0538551124435 -34.5344823958585|   24.725 5.258   |9.66     |F5                     |    ~     ~    |    1|  301.005   pc  |  -2.7362     +2.7362  |paral   |2020yCat.1350....0G
3238|BD+27 4571                                                                                                                                  |Star                               |23 33 18.5998135536 +27 56 49.014291804|102.5923178609584 -31.8204421948304| -22.309 17.478   |9.27     |G0                     |    ~     ~    |    1|  136.616   pc  |  -0.7578     +0.7578  |paral   |2020yCat.1350....0G
3239|HD 221713                                                                                                                                   |Star                               |23 34 27.9294782136 +27 58 07.131974304|102.8828506280315 -31.8888481483050|   48.513 8.096   |8.36     |F5                     |    ~     ~    |    1|   97.698   pc  |  -0.2281     +0.2281  |paral   |2020yCat.1350....0G
3240|HD 221904                                                                                                                                   |Star                               |23 35 55.5384506880 +27 51 53.763440400|103.1982383619024 -32.0968186114358|   0.541 -0.052   |7.36     |B9                     |    ~     ~    |    1|  396.825   pc  |  -5.6532     +5.6532  |paral   |2020yCat.1350....0G
3241|BD+26 4644a                                                                                                                                 |Star                               |23 31 48.5837678376 +27 22 19.168193820|101.9856261615858 -32.2404412990083|  19.646 -9.375   |10.94    |F8                     |    ~     ~    |    1|  351.111   pc  |  -1.9601     +1.9601  |paral   |2020yCat.1350....0G
3242|BD+26 4648                                                                                                                                  |Star                               |23 32 56.6768005080 +27 03 26.577579780|102.1320013883256 -32.6243382695198|    1.261 0.822   |10.83    |K0                     |    ~     ~    |    1|  992.359   pc  | -27.4753    +27.4753  |paral   |2020yCat.1350....0G
3243|BD+26 4651                                                                                                                                  |Star                               |23 33 48.3631461144 +27 29 17.790192708|102.5242397668173 -32.2885280526147|  34.832 -6.556   |10.57    |K0                     |    ~     ~    |    1|  567.537   pc  |  -5.7333     +5.7333  |paral   |2020yCat.1350....0G
3244|BD+26 4652                                                                                                                                  |Double or Multiple Star            |23 34 32.712288 +27 02 49.46928        |102.524094456 -32.759311095        |    -51.9 -75.9   |10.13    |G0                     |    ~     ~    |    0|                |                       |        |                   
3245|BD+26 4653                                                                                                                                  |High Proper Motion Star            |23 35 04.4354680032 +27 04 54.261393096|102.6696719751693 -32.7676849577355| 55.353 -59.648   |10.20    |G0                     |    ~     ~    |    1|  192.127   pc  |  -0.6054     +0.6054  |paral   |2020yCat.1350....0G
3246|TYC 2253-918-1                                                                                                                              |Star                               |23 35 20.5758733608 +26 44 28.412755044|102.5962217591024 -33.1078992122986|    0.955 0.591   |10.60    |F0                     |    ~     ~    |    1|  419.974   pc  |  -3.5276     +3.5276  |paral   |2020yCat.1350....0G
3247|V* LM Peg                                                                                                                                   |Long-Period Variable               |23 36 07.6904596128 +27 41 11.696687340|103.1764095693773 -32.2797805949650|   0.135 -8.872   |9.13     |M2                     |    ~     ~    |    1| 1104.73    pc  | -35.2703    +35.2703  |paral   |2020yCat.1350....0G
3248|BD+26 4663                                                                                                                                  |Star                               |23 36 53.4778607712 +26 54 29.937853620|103.0519094954850 -33.0693739074706|   4.190 -2.666   |9.10     |A5                     |    ~     ~    |    1|  307.475   pc  |  -1.7301     +1.7301  |paral   |2020yCat.1350....0G
3249|BD+25 4951                                                                                                                                  |Star                               |23 31 12.2551274472 +26 28 29.168684436|101.4513731436808 -33.0283565559838|-20.387 -20.754   |8.90     |G0                     |    ~     ~    |    1|   71.118   pc  |  -0.0865     +0.0865  |paral   |2020yCat.1350....0G
3250|HD 221469                                                                                                                                   |High Proper Motion Star            |23 32 16.2491091696 +26 33 06.062721768|101.7498989232237 -33.0429748737547|  4.231 -74.248   |8.25     |F8IV-V                 |    ~     ~    |    1|   93.214   pc  |  -2.3086     +2.3086  |paral   |2020yCat.1350....0G
3251|BD+25 4956                                                                                                                                  |Star                               |23 32 19.9479066192 +26 32 02.642482932|101.7576951206205 -33.0643697080924|  2.176 -14.821   |9.52     |A2                     |    ~     ~    |    1|  333.689   pc  |  -1.9486     +1.9486  |paral   |2020yCat.1350....0G
3252|HD 221478                                                                                                                                   |Star                               |23 32 26.7189332568 +26 31 04.667988900|101.7789084513978 -33.0884645929766|   8.272 -5.209   |7.95     |G8II-III               |    ~     ~    |    1|  426.876   pc  |  -8.5463     +8.5463  |paral   |2020yCat.1350....0G
3253|BD+25 4961                                                                                                                                  |Star                               |23 33 46.1910817920 +26 25 25.234110228|102.0696766076440 -33.2822096293439|   -6.678 4.004   |9.42     |A5                     |    ~     ~    |    1|  276.533   pc  |  -1.3612     +1.3612  |paral   |2020yCat.1350....0G
3254|HD 221714                                                                                                                                   |Star                               |23 34 26.4904088256 +26 42 54.227626272|102.3601559541084 -33.0623369577166| 11.199 -12.992   |8.69     |F0                     |    ~     ~    |    1|  224.245   pc  |  -2.5294     +2.5294  |paral   |2020yCat.1350....0G
3255|BD+25 4968                                                                                                                                  |Star                               |23 34 48.7707708504 +26 46 00.546871368|102.4744059494145 -33.0427951391270| 15.414 -29.840   |9.72     |K0                     |    ~     ~    |    1|  210.009   pc  |  -0.9174     +0.9174  |paral   |2020yCat.1350....0G
3256|BD+25 4952                                                                                                                                  |High Proper Motion Star            |23 31 36.8242645392 +26 00 51.514962372|101.3531157311426 -33.4906365604271|  81.340 -9.420   |9.96     |G5                     |    ~     ~    |    1|  175.472   pc  |  -0.6928     +0.6928  |paral   |2020yCat.1350....0G
