C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
55  |TYC 3637-571-1                                                                                                                              |Star                               |23 34 12.3521734560 +45 27 20.698800408|109.0170837419486 -15.3190543170619|   -0.854 3.363   |10.40    |~                      |    ~     ~    |    1|  872.981   pc  |  -9.5262     +9.5262  |paral   |2020yCat.1350....0G
56  |TYC 3637-599-1                                                                                                                              |Star                               |23 33 13.9215185208 +45 08 02.739640488|108.7454924682558 -15.5725569979874|  -3.430 -5.301   |10.32    |~                      |    ~     ~    |    1|  503.728   pc  |  -9.7944     +9.7944  |paral   |2020yCat.1350....0G
57  |TYC 3637-644-1                                                                                                                              |Star                               |23 36 13.6292024592 +45 17 12.037862508|109.3153771184252 -15.5872770196868|   40.385 3.593   |9.41     |~                      |    ~     ~    |    1|  473.194   pc  |  -3.0676     +3.0676  |paral   |2020yCat.1350....0G
58  |TYC 3637-666-1                                                                                                                              |Star                               |23 36 38.1967535496 +45 12 27.567744012|109.3624590856722 -15.6841401192099| -11.725 -5.054   |10.47    |~                      |    ~     ~    |    1|  972.763   pc  | -13.1531    +13.1531  |paral   |2020yCat.1350....0G
59  |TYC 3637-783-1                                                                                                                              |Star                               |23 35 58.1180952336 +45 07 11.776166832|109.2185648364370 -15.7328310430025|  2.195 -19.518   |9.87     |~                      |    ~     ~    |    1|  435.237   pc  |  -2.5952     +2.5952  |paral   |2020yCat.1350....0G
60  |TYC 3637-862-1                                                                                                                              |Star                               |23 36 19.4661825384 +45 36 42.225781572|109.4325640923520 -15.2820066726125|  -8.865 -2.331   |10.08    |~                      |    ~     ~    |    1|  545.822   pc  |  -3.7836     +3.7836  |paral   |2020yCat.1350....0G
61  |TYC 3637-887-1                                                                                                                              |Star                               |23 36 28.5888038856 +45 11 19.795273152|109.3286755968059 -15.6937484972833|-11.152 -32.225   |9.77     |~                      |    ~     ~    |    1|  213.393   pc  |  -0.7058     +0.7058  |paral   |2020yCat.1350....0G
62  |TYC 3637-898-1                                                                                                                              |Star                               |23 31 18.3712110288 +45 17 43.040868900|108.4635469402106 -15.3134054168833|   11.795 0.806   |10.67    |~                      |    ~     ~    |    1|  278.575   pc  |  -3.7948     +3.7948  |paral   |2020yCat.1350....0G
63  |TYC 3637-931-1                                                                                                                              |Star                               |23 36 48.2104524264 +45 01 37.633003392|109.3361140728645 -15.8652971353786|-16.567 -17.330   |10.66    |~                      |    ~     ~    |    1|  979.528   pc  | -13.3367    +13.3367  |paral   |2020yCat.1350....0G
64  |TYC 3637-935-1                                                                                                                              |Star                               |23 33 14.8815649824 +45 40 16.760836164|108.9202571884155 -15.0624483195356|  -4.772 -4.024   |10.64    |~                      |    ~     ~    |    1|  567.472   pc  |  -5.3134     +5.3134  |paral   |2020yCat.1350....0G
65  |TYC 3637-937-1                                                                                                                              |Star                               |23 30 14.8956913152 +45 31 50.755477332|108.3587135267527 -15.0311243772537|  -9.719 -9.307   |10.99    |~                      |    ~     ~    |    1|  301.042   pc  |  -1.2597     +1.2597  |paral   |2020yCat.1350....0G
66  |TYC 3637-1116-1                                                                                                                             |Star                               |23 34 04.2521641752 +46 10 53.370356844|109.2229244525676 -14.6206903920457|   5.664 -4.797   |10.88    |~                      |    ~     ~    |    1|  398.819   pc  |  -2.4336     +2.4336  |paral   |2020yCat.1350....0G
67  |NSVS 3564994                                                                                                                                |delta Sct Variable                 |23 30 37.2536089776 +46 24 04.282161264|108.7085646440594 -14.2266095193824|  -7.066 15.570   |10.61    |~                      |    ~     ~    |    1|  464.619   pc  |  -8.6780     +8.6780  |paral   |2020yCat.1350....0G
68  |TYC 3637-1335-1                                                                                                                             |Eclipsing Binary                   |23 32 41.3410855920 +46 47 57.519446028|109.1849144155153 -13.9596982493161|   3.637 -1.405   |10.15    |~                      |    ~     ~    |    1|  535.189   pc  |  -9.0797     +9.0797  |paral   |2020yCat.1350....0G
69  |TYC 3637-1381-1                                                                                                                             |High Proper Motion Star            |23 30 40.9290477072 +46 27 53.459577684|108.7397030591223 -14.1695763981966|   50.677 9.668   |10.00    |~                      |    ~     ~    |    1|  190.523   pc  |  -0.4755     +0.4755  |paral   |2020yCat.1350....0G
70  |GSC 03637-01430                                                                                                                             |Double or Multiple Star            |23 30 26.4583220448 +46 06 28.247342292|108.5819431887229 -14.4948832284143|   -4.255 4.366   |10.463   |~                      |    ~     ~    |    1|  671.592   pc  |  -5.6830     +5.6830  |paral   |2020yCat.1350....0G
71  |TYC 3637-1468-1                                                                                                                             |Star                               |23 34 04.7958816600 +46 13 47.883148644|109.2397250167188 -14.5749954319928| -3.549 -12.458   |10.43    |~                      |    ~     ~    |    1|  513.400   pc  |  -5.9569     +5.9569  |paral   |2020yCat.1350....0G
72  |TYC 3637-1498-1                                                                                                                             |Star                               |23 32 32.6660867616 +46 14 00.471819984|108.9797969331234 -14.4900459128416|  12.124 -1.838   |10.06    |~                      |    ~     ~    |    1|  600.745   pc  |  -9.5998     +9.5998  |paral   |2020yCat.1350....0G
73  |TYC 3637-1625-1                                                                                                                             |Star                               |23 32 38.5268918592 +46 32 56.820076044|109.0972718985432 -14.1951449366600| -3.276 -10.810   |9.73     |~                      |    ~     ~    |    1|  542.947   pc  |  -4.0092     +4.0092  |paral   |2020yCat.1350....0G
74  |TYC 3637-1629-1                                                                                                                             |High Proper Motion Star            |23 34 41.5219200432 +46 38 03.353098704|109.4700194101798 -14.2216919709333|   61.788 4.167   |10.30    |~                      |    ~     ~    |    1|  179.921   pc  |  -0.4920     +0.4920  |paral   |2020yCat.1350....0G
75  |TYC 3641-890-1                                                                                                                              |Star                               |23 30 30.3459327000 +47 34 01.668034956|109.0692496216979 -13.1144134231438|   23.964 2.494   |10.94    |~                      |    ~     ~    |    1|  359.984   pc  |  -2.2160     +2.2160  |paral   |2020yCat.1350....0G
76  |TYC 3641-917-1                                                                                                                              |Star                               |23 34 12.0176713632 +47 31 48.214867476|109.6664884641673 -13.3424610162762|    3.257 1.177   |10.96    |~                      |    ~     ~    |    1| 1193.033   pc  | -16.7953    +16.7953  |paral   |2020yCat.1350....0G
77  |TYC 3641-1127-1                                                                                                                             |Star                               |23 30 10.2143153880 +47 32 22.318068336|109.0051387080711 -13.1226631271660|  -12.817 2.867   |10.37    |~                      |    ~     ~    |    1|  188.150   pc  |  -0.8071     +0.8071  |paral   |2020yCat.1350....0G
78  |TYC 3641-1206-1                                                                                                                             |Star                               |23 33 50.4967288176 +47 07 26.417087796|109.4802229460938 -13.7109418582359|  -1.552 -4.588   |10.94    |~                      |    ~     ~    |    1| 1251.251   pc  | -34.4439    +34.4439  |paral   |2020yCat.1350....0G
79  |TYC 3641-1231-1                                                                                                                             |Star                               |23 33 50.7091183488 +47 14 48.329837664|109.5192392597745 -13.5941885700345|  11.401 11.381   |10.63    |~                      |    ~     ~    |    1|  292.287   pc  |  -1.3242     +1.3242  |paral   |2020yCat.1350....0G
80  |TYC 3641-1303-1                                                                                                                             |Star                               |23 33 41.8598161632 +47 08 01.238765136|109.4592507899322 -13.6942723553979| -1.966 -15.147   |10.73    |~                      |    ~     ~    |    1|  546.597   pc  | -11.2636    +11.2636  |paral   |2020yCat.1350....0G
81  |TYC 3641-1418-1                                                                                                                             |Star                               |23 34 01.1011366416 +47 05 35.420551008|109.5000678059189 -13.7494564913379|  11.814 -2.040   |10.68    |~                      |    ~     ~    |    1|  389.894   pc  |  -2.3563     +2.3563  |paral   |2020yCat.1350....0G
82  |TYC 3641-1445-1                                                                                                                             |Star                               |23 34 39.0006514632 +47 34 39.593006940|109.7555917684872 -13.3199570521199|  -8.756 -2.800   |10.99    |~                      |    ~     ~    |    1| 1036.162   pc  | -15.5677    +15.5677  |paral   |2020yCat.1350....0G
83  |TYC 3641-1460-1                                                                                                                             |Spectroscopic Binary               |23 33 21.6737091768 +46 59 27.097238328|109.3581646604834 -13.8127570459477|    7.124 4.310   |10.04    |~                      |    ~     ~    |    1|  494.486   pc  | -11.2722    +11.2722  |paral   |2020yCat.1350....0G
84  |TYC 3641-1471-1                                                                                                                             |Star                               |23 35 13.3806647256 +47 05 52.582891560|109.7028295526668 -13.8067106475506|  -7.902 -1.850   |10.74    |~                      |    ~     ~    |    1|  688.563   pc  | -11.5685    +11.5685  |paral   |2020yCat.1350....0G
85  |TYC 3641-1530-1                                                                                                                             |Star                               |23 34 19.0597682592 +46 57 48.145564800|109.5095950529452 -13.8886097349898|   1.122 -2.305   |10.64    |~                      |    ~     ~    |    1|  630.597   pc  | -10.2594    +10.2594  |paral   |2020yCat.1350....0G
86  |TYC 3641-1662-1                                                                                                                             |Star                               |23 35 40.9548166080 +46 54 38.656084644|109.7223102534437 -14.0087642834067|  -1.698 -2.465   |10.66    |~                      |    ~     ~    |    1| 1086.720   pc  | -16.0611    +16.0611  |paral   |2020yCat.1350....0G
87  |TYC 3641-1835-1                                                                                                                             |Star                               |23 34 57.8700967920 +46 54 01.309413060|109.5984968316595 -13.9819857640668| -18.604 -4.937   |10.67    |~                      |    ~     ~    |    1|  575.805   pc  |  -4.0118     +4.0118  |paral   |2020yCat.1350....0G
88  |BD+46 4110                                                                                                                                  |Star                               |23 39 00.5746742880 +47 33 34.754422788|110.4731193579762 -13.5523745592449|   28.093 5.102   |9.75     |F8                     |    ~     ~    |    1|  329.056   pc  |  -1.4942     +1.4942  |paral   |2020yCat.1350....0G
89  |BD+46 4111                                                                                                                                  |Star                               |23 39 11.6397868248 +47 27 10.314085752|110.4726107096565 -13.6636112334561|   4.542 -1.346   |9.96     |A0                     |    ~     ~    |    1|  477.350   pc  |  -7.2233     +7.2233  |paral   |2020yCat.1350....0G
90  |HD 222315                                                                                                                                   |Star                               |23 39 13.2864751440 +47 28 22.537689636|110.4830490576381 -13.6456914590194|  -0.131 -3.101   |9.66     |A                      |    ~     ~    |    1|  426.148   pc  |  -3.8863     +3.8863  |paral   |2020yCat.1350....0G
91  |HD 222354                                                                                                                                   |Star                               |23 39 33.4740083256 +47 27 03.653720964|110.5327908713044 -13.6828124659120|  -0.100 -2.689   |9.25     |A0                     |    ~     ~    |    1|  419.287   pc  |  -3.1117     +3.1117  |paral   |2020yCat.1350....0G
92  |BD+46 4115                                                                                                                                  |Star                               |23 39 37.8985919808 +47 01 58.014565860|110.4233624920969 -14.0875230565488|   5.371 -8.339   |9.73     |F0                     |    ~     ~    |    1|  459.876   pc  |  -3.1088     +3.1088  |paral   |2020yCat.1350....0G
93  |BD+46 4116                                                                                                                                  |Star                               |23 39 43.4218297728 +47 07 28.848576000|110.4656284382731 -14.0037989411362|    4.836 1.020   |9.64     |M0                     |    ~     ~    |    1| 1597.699   pc  | -53.6055    +53.6055  |paral   |2020yCat.1350....0G
94  |TYC 3642-1310-1                                                                                                                             |Star                               |23 39 42.2547176232 +47 08 53.189792376|110.4691758993304 -13.9803901588129|    2.369 3.458   |10.95    |F5                     |    ~     ~    |    1|  821.963   pc  | -10.2695    +10.2695  |paral   |2020yCat.1350....0G
95  |BD+46 4117                                                                                                                                  |Star                               |23 39 52.9829412960 +47 12 25.702813620|110.5163688504656 -13.9323245863418| -3.288 -14.296   |9.010    |K0                     |    ~     ~    |    1|  431.891   pc  |  -3.4135     +3.4135  |paral   |2020yCat.1350....0G
96  |BD+46 4118                                                                                                                                  |Star                               |23 39 53.5832488512 +47 33 14.208555168|110.6185355512208 -13.6000128059775|   1.279 17.310   |9.39     |F8                     |    ~     ~    |    1|  100.383   pc  |  -0.1199     +0.1199  |paral   |2020yCat.1350....0G
