C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1283|TYC 2520-1325-1                                                                                                                             |Star                                |11 06 08.5088130720 +33 15 26.571145752|191.3996414428094 +66.5069464805701| -35.250 -7.436    |10.88    |~                 |    ~     ~    |    1|  320.729   pc  |  -1.8207     +1.8207  |paral   |2020yCat.1350....0G
1284|TYC 2520-1486-1                                                                                                                             |Star                                |11 14 17.9329427544 +33 29 34.352260620|190.0853779022650 +68.1498556535117|  4.986 -14.707    |10.08    |~                 |    ~     ~    |    1| 1010.305   pc  | -17.5563    +17.5563  |paral   |2020yCat.1350....0G
1285|TYC 2520-1596-1                                                                                                                             |Star                                |11 12 20.8257964488 +33 38 15.739493352|189.9012182915875 +67.7238260198479|-26.090 -41.305    |10.99    |~                 |    ~     ~    |    1|  185.611   pc  |  -2.9559     +2.9559  |paral   |2020yCat.1350....0G
1286|TYC 2520-1658-1                                                                                                                             |Star                                |11 12 08.0488834464 +33 14 57.330925332|190.9314089222387 +67.7464599900391| -43.419 -1.775    |10.76    |~                 |    ~     ~    |    1|  297.787   pc  |  -1.3922     +1.3922  |paral   |2020yCat.1350....0G
1287|TYC 2521-1273-1                                                                                                                             |Spectroscopic Binary                |11 03 58.4959713432 +35 02 52.834829064|187.2283846296220 +65.7583433450122|  6.054 -19.427    |10.82    |~                 |    ~     ~    |    1|  342.630   pc  |  -1.9722     +1.9722  |paral   |2020yCat.1350....0G
1288|TYC 2521-1763-1                                                                                                                             |High Proper Motion Star             |11 05 24.0835294368 +34 39 11.890466712|188.0364727123268 +66.1229156727237|-85.364 -48.279    |10.76    |~                 |    ~     ~    |    1|  234.368   pc  |  -0.8734     +0.8734  |paral   |2020yCat.1350....0G
1289|TYC 2522-23-1                                                                                                                               |Star                                |11 07 12.4256439768 +35 00 55.315650960|186.9689397754471 +66.4123972985104|  -6.649 -0.448    |10.94    |~                 |    ~     ~    |    1| 1130.071   pc  | -27.8399    +27.8399  |paral   |2020yCat.1350....0G
1290|TYC 2522-151-1                                                                                                                              |Star                                |11 07 24.4602238224 +35 07 17.146837344|186.6879012103369 +66.4296009668673|  10.335 -6.141    |10.76    |~                 |    ~     ~    |    1|  284.738   pc  |  -1.4431     +1.4431  |paral   |2020yCat.1350....0G
1291|TYC 2522-175-1                                                                                                                              |Star                                |11 06 41.2070153088 +34 20 57.419540412|188.6543872726389 +66.4403847743105| -36.284 -3.074    |10.63    |~                 |    ~     ~    |    1|  923.617   pc  | -13.9050    +13.9050  |paral   |2020yCat.1350....0G
1292|TYC 2522-934-1                                                                                                                              |Star                                |11 13 48.0920533200 +33 54 28.306208088|189.0469206795935 +67.9699342064174|   10.093 5.477    |10.80    |~                 |    ~     ~    |    1|  673.038   pc  |  -8.6066     +8.6066  |paral   |2020yCat.1350....0G
1293|TYC 2522-1246-1                                                                                                                             |High Proper Motion Star             |11 10 59.2189142256 +34 03 11.549804508|188.9690332924833 +67.3693576303403|-49.511 -41.823    |10.86    |~                 |    ~     ~    |    1|  149.065   pc  |  -0.3844     +0.3844  |paral   |2020yCat.1350....0G
1294|TYC 2522-1762-1                                                                                                                             |Star                                |11 14 38.3226396192 +35 32 08.610465444|184.7373318660218 +67.7603663195356|-39.545 -23.748    |10.94    |~                 |    ~     ~    |    1|  308.356   pc  |  -1.2361     +1.2361  |paral   |2020yCat.1350....0G
1295|TYC 2522-1945-1                                                                                                                             |Star                                |11 08 59.8888947816 +35 43 05.272779504|185.0421605896596 +66.6057852719979|   0.952 -7.220    |10.76    |~                 |    ~     ~    |    1|  467.028   pc  |  -3.2281     +3.2281  |paral   |2020yCat.1350....0G
1296|TYC 2522-1956-1                                                                                                                             |Star                                |11 11 41.0054140248 +35 08 32.672169384|186.1295913987617 +67.2760780238927|-18.176 -16.371    |10.45    |~                 |    ~     ~    |    1|  676.087   pc  | -10.0561    +10.0561  |paral   |2020yCat.1350....0G
1297|TYC 2522-1997-1                                                                                                                             |Star                                |11 07 46.5322025760 +35 04 48.595969956|186.7476767173816 +66.5120302229149| -15.842 12.794    |10.73    |~                 |    ~     ~    |    1|  699.692   pc  |  -7.5394     +7.5394  |paral   |2020yCat.1350....0G
1298|TYC 2522-2057-1                                                                                                                             |Star                                |11 13 09.7919648400 +35 44 00.945026772|184.4468086642150 +67.4186521103117| 16.676 -25.503    |10.51    |~                 |    ~     ~    |    1|  241.861   pc  |  -1.0354     +1.0354  |paral   |2020yCat.1350....0G
1299|BD+36 2167                                                                                                                                  |Double or Multiple Star             |11 14 14.8167 +35 52 12.680            |183.9468696 +67.5928924            |-10.823 -22.171    |10.75    |~                 |    ~     ~    |    0|                |                       |        |                   
1300|HD 97371                                                                                                                                    |High Proper Motion Star             |11 12 44.2787534544 +35 49 48.474187896|184.2652099611095 +67.3096953611116| -61.055 -7.121    |7.205    |G9                |    ~     ~    |    1|  163.824   pc  |  -0.6012     +0.6012  |paral   |2020yCat.1350....0G
1301|HD 96046                                                                                                                                    |Star                                |11 05 02.3362873608 +32 51 08.479284552|192.4790566797240 +66.3309032459026| -4.502 -14.063    |9.52     |F8                |    ~     ~    |    1|  231.075   pc  |  -0.9771     +0.9771  |paral   |2020yCat.1350....0G
1302|BD+32 2101                                                                                                                                  |Star                                |11 04 29.3109 +31 59 17.378            |194.6490636 +66.3046149            |  -15.746 5.756    |10.78    |F8                |    ~     ~    |    0|                |                       |        |                   
1303|HD 96075                                                                                                                                    |Star                                |11 05 16.8827131488 +31 56 03.605324964|194.7470645938350 +66.4767690457795|    1.450 1.087    |8.64     |K0                |    ~     ~    |    1|  361.624   pc  |  -4.0670     +4.0670  |paral   |2020yCat.1350....0G
1304|HD 96179                                                                                                                                    |Star                                |11 05 49.7147159640 +32 09 17.359801848|194.1694089536258 +66.5722104248557|-13.178 -16.557    |9.47     |K                 |    ~     ~    |    1|  732.493   pc  | -10.4090    +10.4090  |paral   |2020yCat.1350....0G
1305|HD 95829                                                                                                                                    |High Proper Motion Star             |11 03 47.2975778160 +31 13 19.511987412|196.5728476774302 +66.2089221108578|-108.905 -5.207    |9.08     |F8                |    ~     ~    |    1|   90.825   pc  |  -0.1303     +0.1303  |paral   |2020yCat.1350....0G
1306|HD 95977                                                                                                                                    |Star                                |11 04 39.0495414600 +31 26 12.150185928|196.0130944326089 +66.3802319742306| -19.502 15.573    |7.200    |G5                |    ~     ~    |    1|  263.699   pc  |  -1.2934     +1.2934  |paral   |2020yCat.1350....0G
1307|V* VX LMi                                                                                                                                   |Long-Period Variable                |11 05 45.3256506552 +30 35 45.115594944|198.0921065919190 +66.6575510817697|  -4.967 -7.580    |8.66     |~                 |    ~     ~    |    1|  986.291   pc  | -23.1519    +23.1519  |paral   |2020yCat.1350....0G
1308|HD 96164                                                                                                                                    |Star                                |11 05 40.4542208928 +30 35 25.531738188|198.1072797073178 +66.6402680365049|-28.644 -23.650    |9.97     |G                 |    ~     ~    |    1|  140.871   pc  |  -2.5580     +2.5580  |paral   |2020yCat.1350....0G
1309|HD 96180                                                                                                                                    |High Proper Motion Star             |11 05 46.4244424680 +31 05 19.546487700|196.8492747701551 +66.6401786414966|-10.762 -67.807    |9.34     |G5                |    ~     ~    |    1|  102.431   pc  |  -2.5191     +2.5191  |paral   |2020yCat.1350....0G
1310|BD+31 2233                                                                                                                                  |High Proper Motion Star             |11 05 58.1945239968 +30 14 59.375016528|198.9630278808120 +66.7129441746895|-63.723 -51.631    |10.88    |G0                |    ~     ~    |    1|  218.804   pc  |  -0.7564     +0.7564  |paral   |2020yCat.1350....0G
1311|HD 96905                                                                                                                                    |High Proper Motion Star             |11 09 50.9090638752 +32 51 06.829740252|192.1479049955526 +67.3325569723329|-46.499 -65.887    |9.84     |G                 |    ~     ~    |    1|  134.499   pc  |  -0.2677     +0.2677  |paral   |2020yCat.1350....0G
1312|BD+33 2079                                                                                                                                  |Star                                |11 07 57.8515602048 +32 20 58.522608780|193.5594169030784 +67.0011708740757|  1.455 -41.914    |10.05    |F8                |    ~     ~    |    1|  146.761   pc  |  -2.0160     +2.0160  |paral   |2020yCat.1350....0G
1313|HD 96921                                                                                                                                    |High Proper Motion Star             |11 09 55.5725511768 +32 31 52.041592596|192.9684958789396 +67.3908723098091| -78.000 -1.203    |7.160    |K0                |    ~     ~    |    1|  132.326   pc  |  -0.6269     +0.6269  |paral   |2020yCat.1350....0G
1314|HD 97288                                                                                                                                    |Star                                |11 12 08.9808675960 +32 36 53.111268432|192.5903270557849 +67.8444021660364|-28.648 -18.515    |8.82     |G5                |    ~     ~    |    1|  205.740   pc  |  -0.7408     +0.7408  |paral   |2020yCat.1350....0G
1315|BD+33 2090                                                                                                                                  |Star                                |11 14 22.4630703672 +32 15 40.810681152|193.3629032364315 +68.3564693300782|  -2.382 -8.047    |10.72    |K0                |    ~     ~    |    1|  892.937   pc  | -12.2790    +12.2790  |paral   |2020yCat.1350....0G
1316|BD+32 2113                                                                                                                                  |Star                                |11 08 57.4679016936 +32 07 22.874567484|194.0804709394932 +67.2344788069942|  -13.234 3.895    |10.72    |F2                |    ~     ~    |    1|  506.586   pc  |  -5.9025     +5.9025  |paral   |2020yCat.1350....0G
1317|BD+32 2117                                                                                                                                  |Star                                |11 11 37.1465859864 +31 54 08.404232004|194.5004812046767 +67.8185982749496|  -8.338 -7.335    |10.26    |K2                |    ~     ~    |    1|  780.336   pc  |  -9.2556     +9.2556  |paral   |2020yCat.1350....0G
1318|BD+32 2109                                                                                                                                  |High Proper Motion Star             |11 06 49.3183170072 +31 27 43.478527716|195.8704784778536 +66.8405092537457| -77.601 31.921    |9.97     |G5                |    ~     ~    |    1|  155.077   pc  |  -0.3872     +0.3872  |paral   |2020yCat.1350....0G
1319|HD 97335                                                                                                                                    |Star                                |11 12 27.9599291928 +31 32 14.268313968|195.4203703312732 +68.0335070285403|  -14.746 5.743    |9.45     |K0                |    ~     ~    |    1|  683.667   pc  |  -7.8991     +7.8991  |paral   |2020yCat.1350....0G
1320|HD 97384                                                                                                                                    |Star                                |11 12 43.9552073568 +31 34 39.892906272|195.2985038656742 +68.0863103306776| -47.126 -4.891    |9.36     |G5                |    ~     ~    |    1|  198.456   pc  |  -0.5908     +0.5908  |paral   |2020yCat.1350....0G
1321|HD 96343                                                                                                                                    |Star                                |11 06 41.7388750248 +30 55 54.180200856|197.2208472761922 +66.8455027850097|   4.544 -1.091    |9.23     |F0                |    ~     ~    |    1|  303.776   pc  |  -2.3070     +2.3070  |paral   |2020yCat.1350....0G
1322|HD 97034                                                                                                                                    |Star                                |11 10 33.4799509392 +30 21 15.150243204|198.6233071438082 +67.7000076669084| -18.437 -0.263    |8.59     |A3V               |    ~     ~    |    1|  393.051   pc  |  -4.7274     +4.7274  |paral   |2020yCat.1350....0G
1323|BD+31 2238                                                                                                                                  |Double or Multiple Star             |11 10 41.8746348240 +31 09 32.765585868|196.5013527081055 +67.6876908410452|-95.437 -21.977    |9.88     |K5                |    ~     ~    |    1|   52.762   pc  |  -0.0671     +0.0671  |paral   |2020yCat.1350....0G
1324|HD 97100                                                                                                                                    |High Proper Motion Star             |11 10 55.5143575200 +30 29 31.638691176|198.2514651289882 +67.7737761792277|-62.199 -18.445    |9.01     |G0                |    ~     ~    |    1|  459.559   pc  |  -4.1183     +4.1183  |paral   |2020yCat.1350....0G
1325|BD+31 2244                                                                                                                                  |Star                                |11 12 31.4836785936 +30 53 03.031001016|197.1609966426128 +68.0965157901031|    2.597 3.732    |10.57    |K0                |    ~     ~    |    1|  744.546   pc  | -10.9761    +10.9761  |paral   |2020yCat.1350....0G
1326|BD+32 2110                                                                                                                                  |Star                                |11 06 59.0123664096 +31 14 43.161973692|196.4150339779801 +66.8894558647593|   2.536 -6.948    |10.53    |F0                |    ~     ~    |    1|  371.858   pc  |  -3.2219     +3.2219  |paral   |2020yCat.1350....0G
1327|TYC 2519-1202-1                                                                                                                             |Star                                |11 05 45.9926378040 +31 49 30.271100520|194.9986822690496 +66.5885975876185|-14.162 -21.997    |10.14    |~                 |    ~     ~    |    1|  699.643   pc  |  -9.8879     +9.8879  |paral   |2020yCat.1350....0G
1328|TYC 2519-1839-1                                                                                                                             |Spectroscopic Binary                |11 05 26.9653187352 +31 56 38.567219784|194.7151106782797 +66.5114515049722|-27.484 -19.149    |10.98    |~                 |    ~     ~    |    1|  202.372   pc  |  -0.8314     +0.8314  |paral   |2020yCat.1350....0G
1329|TYC 2520-135-1                                                                                                                              |Star                                |11 11 23.5216628208 +31 28 44.733471600|195.6284366270390 +67.8106382717808| -13.314 -5.472    |9.89     |~                 |    ~     ~    |    1| 1197.605   pc  | -36.5736    +36.5736  |paral   |2020yCat.1350....0G
1330|TYC 2520-229-1                                                                                                                              |High Proper Motion Star             |11 10 39.7149989832 +30 42 53.725073904|197.6708898918117 +67.7068094640980| -77.889 -3.764    |10.36    |~                 |    ~     ~    |    1|  122.306   pc  |  -0.7330     +0.7330  |paral   |2020yCat.1350....0G
1331|TYC 2520-391-1                                                                                                                              |Star                                |11 14 02.2074330816 +31 09 05.323852764|196.3791719355227 +68.4005948894083|-12.604 -18.650    |10.78    |~                 |    ~     ~    |    1|  829.738   pc  | -11.4285    +11.4285  |paral   |2020yCat.1350....0G
1332|TYC 2520-1096-1                                                                                                                             |Star                                |11 12 47.9083966176 +32 06 05.179717800|193.9003529598690 +68.0451436016730| -10.984 -6.059    |10.72    |~                 |    ~     ~    |    1|  251.870   pc  |  -0.9389     +0.9389  |paral   |2020yCat.1350....0G
1333|TYC 2520-1130-1                                                                                                                             |Star                                |11 14 11.1478816584 +32 10 55.151703912|193.5898649685227 +68.3269615423696|   2.397 -3.353    |10.87    |~                 |    ~     ~    |    1| 1491.869   pc  | -33.6077    +33.6077  |paral   |2020yCat.1350....0G
1334|TYC 2520-1357-1                                                                                                                             |High Proper Motion Star             |11 07 00.0529904640 +32 34 58.217831508|193.0280481356689 +66.7727350847511|-94.697 -35.689    |10.49    |~                 |    ~     ~    |    1|  181.051   pc  |  -0.6359     +0.6359  |paral   |2020yCat.1350....0G
1335|TYC 2520-1370-1                                                                                                                             |Star                                |11 06 27.2062100304 +32 43 14.100976740|192.7168085777290 +66.6419467685061|   -4.642 9.180    |10.47    |~                 |    ~     ~    |    1|  447.347   pc  |  -3.4821     +3.4821  |paral   |2020yCat.1350....0G
1336|TYC 2520-1586-1                                                                                                                             |Star                                |11 11 47.6662323048 +32 25 01.128884736|193.1357148380874 +67.7961151790086|   -6.933 2.705    |9.78     |~                 |    ~     ~    |    1|  104.440   pc  |  -0.1473     +0.1473  |paral   |2020yCat.1350....0G
1337|TYC 2520-1849-1                                                                                                                             |Spectroscopic Binary                |11 07 56.7488556456 +32 09 35.497748628|194.0434600808603 +67.0175896683205|-20.161 -52.700    |10.60    |~                 |    ~     ~    |    1|  212.454   pc  |  -2.6540     +2.6540  |paral   |2020yCat.1350....0G
1338|TYC 2520-1897-1                                                                                                                             |Star                                |11 11 13.8820866984 +32 40 06.134833164|192.5192334705784 +67.6456004943602|-18.960 -26.451    |10.74    |~                 |    ~     ~    |    1|  179.520   pc  |  -0.5060     +0.5060  |paral   |2020yCat.1350....0G
1339|TYC 2520-2089-1                                                                                                                             |High Proper Motion Star             |11 13 37.2404064288 +32 32 13.402890456|192.6824671289306 +68.1620177918799|-57.111 -14.061    |10.43    |~                 |    ~     ~    |    1|  267.144   pc  |  -1.4987     +1.4987  |paral   |2020yCat.1350....0G
1340|TYC 2520-2173-1                                                                                                                             |High Proper Motion Star             |11 08 08.4735609912 +32 26 19.576829184|193.3216916809089 +67.0282352888710| 40.686 -82.492    |10.91    |~                 |    ~     ~    |    1|  161.812   pc  |  -0.6179     +0.6179  |paral   |2020yCat.1350....0G
1341|TYC 2520-2310-1                                                                                                                             |Star                                |11 08 25.5058706160 +31 04 01.019242416|196.8231952934648 +67.2082044965507|  -11.665 7.411    |10.81    |~                 |    ~     ~    |    1|  330.327   pc  |  -1.6258     +1.6258  |paral   |2020yCat.1350....0G
1342|TYC 2520-2325-1                                                                                                                             |Star                                |11 06 08.5087653096 +31 47 13.421742432|195.0775977644300 +66.6711924389902| 40.894 -12.647    |10.66    |~                 |    ~     ~    |    1|  187.087   pc  |  -0.6685     +0.6685  |paral   |2020yCat.1350....0G
1343|TYC 2520-2353-1                                                                                                                             |Star                                |11 06 08.5575034560 +31 30 31.004360424|195.7789422899148 +66.6927322317517|-20.124 -12.435    |10.22    |~                 |    ~     ~    |    1|  251.572   pc  |  -1.5126     +1.5126  |paral   |2020yCat.1350....0G
1344|HD 96198                                                                                                                                    |High Proper Motion Star             |11 05 49.6633725456 +29 59 54.077281548|199.5998342972389 +66.6858480218947|-58.238 -35.476    |7.60     |K0                |    ~     ~    |    1|  223.060   pc  |  -1.0299     +1.0299  |paral   |2020yCat.1350....0G
1345|BD+29 2117                                                                                                                                  |Star                                |11 04 25.3202468808 +28 21 46.615452660|203.6833818224937 +66.3381146661740|-17.088 -19.672    |9.57     |K5                |    ~     ~    |    1|  688.326   pc  |  -8.9073     +8.9073  |paral   |2020yCat.1350....0G
1346|BD+29 2118                                                                                                                                  |Star                                |11 04 29.3298036192 +28 32 39.102342036|203.2342782480146 +66.3628274668208| -42.027 -5.378    |9.17     |K0                |    ~     ~    |    1|  268.399   pc  |  -1.1814     +1.1814  |paral   |2020yCat.1350....0G
1347|BD+29 2119                                                                                                                                  |Spectroscopic Binary                |11 04 31.3892932920 +28 59 56.346271980|202.1011898421635 +66.3897596678078| 14.909 -23.516    |10.78    |G0                |    ~     ~    |    1|  372.467   pc  | -16.7866    +16.7866  |paral   |2020yCat.1350....0G
1348|HD 95978                                                                                                                                    |High Proper Motion Star             |11 04 36.2267387280 +29 10 19.666725708|201.6702036096820 +66.4125730941482| 45.543 -26.557    |7.91     |K2III             |    ~     ~    |    1|  311.139   pc  |  -2.1104     +2.1104  |paral   |2020yCat.1350....0G
1349|BD+29 2121                                                                                                                                  |Star                                |11 05 14.8399602360 +28 31 46.632675216|203.2921498386324 +66.5284448992495|-21.757 -17.701    |10.24    |G5                |    ~     ~    |    1|  543.331   pc  |  -6.2584     +6.2584  |paral   |2020yCat.1350....0G
1350|HD 96128                                                                                                                                    |Star                                |11 05 28.6298430096 +28 58 38.106292044|202.1729992839338 +66.5975467688895| -0.339 -21.862    |8.93     |F5                |    ~     ~    |    1|  306.288   pc  |  -1.7824     +1.7824  |paral   |2020yCat.1350....0G
1351|BD+28 1963                                                                                                                                  |Spectroscopic Binary                |11 04 35.7367481616 +27 45 55.304680500|205.1752977349152 +66.3340040528486|   -0.343 0.025    |8.59     |K7                |    ~     ~    |    1|  845.094   pc  | -53.8495    +53.8495  |paral   |2020yCat.1350....0G
1352|BD+28 1966                                                                                                                                  |High Proper Motion Star             |11 05 35.3134932864 +28 01 15.479402232|204.5795255144839 +66.5723761982925|-70.180 -57.565    |9.63     |G0                |    ~     ~    |    1|   80.478   pc  |  -0.1347     +0.1347  |paral   |2020yCat.1350....0G
1353|BD+28 1967                                                                                                                                  |Red Giant Branch star Candidate     |11 06 12.4351278072 +28 03 01.332338940|204.5296367776140 +66.7106221550967|-23.455 -16.463    |9.88     |K2                |    ~     ~    |    1|  533.533   pc  |  -5.5223     +5.5223  |paral   |2020yCat.1350....0G
1354|NGC 3515                           NGC 3515                                                                                                 |Radio Galaxy                        |11 04 37.2453337752 +28 13 40.526632812|204.0261369427325 +66.3734630595684|            ~ ~    |     ~   |~                 |0.547 0.405    |    1|  167.49    Mpc | -17.34      +17.34    |T-F     |2020ApJ...902..145K
1355|NGC 3512                           NGC 3512                                                                                                 |Galaxy in Pair of Galaxies          |11 04 02.9540255952 +28 02 12.394037112|204.4792291575371 +66.2346921569422|   0.018 -0.055    |12.87    |~                 |1.030 0.886    |    1|   25.0000  Mpc |                       |redshift|2019A&A...631A..38L
1356|HD 97304                                                                                                                                    |Star                                |11 12 17.4505387056 +30 13 08.446754748|198.9478807014825 +68.0785465854125| -30.568 -4.401    |8.11     |K0                |    ~     ~    |    1|  180.362   pc  |  -2.8920     +2.8920  |paral   |2020yCat.1350....0G
1357|HD 97538                                                                                                                                    |Star                                |11 13 49.2472042632 +30 23 53.309960196|198.4296510545201 +68.4013728748783| -5.465 -34.417    |9.68     |G5                |    ~     ~    |    1|  599.772   pc  |  -6.0794     +6.0794  |paral   |2020yCat.1350....0G
1358|HD 96778                                                                                                                                    |Star                                |11 09 02.5545181176 +30 02 25.655860860|199.4672995414118 +67.3810987572805|-15.049 -15.754    |7.12     |G5                |    ~     ~    |    1|  166.102   pc  |  -4.3564     +4.3564  |paral   |2020yCat.1350....0G
1359|HD 97274                                                                                                                                    |High Proper Motion Star             |11 12 06.5573084040 +30 08 53.680426728|199.1405624567051 +68.0416059095448| 18.250 -74.547    |9.71     |G5                |    ~     ~    |    1|   90.592   pc  |  -0.1330     +0.1330  |paral   |2020yCat.1350....0G
1360|BD+30 2113                                                                                                                                  |High Proper Motion Star             |11 09 35.2766445504 +29 43 44.133096036|200.2754976950842 +67.5031898518725|-77.047 -28.678    |9.48     |K0                |    ~     ~    |    1|  294.014   pc  |  -1.5474     +1.5474  |paral   |2020yCat.1350....0G
1361|BD+30 2116                                                                                                                                  |Star                                |11 10 36.0734325072 +29 56 56.178153564|199.6907666347749 +67.7201917394326|  -2.808 10.589    |10.21    |G5                |    ~     ~    |    1|  865.276   pc  | -28.3759    +28.3759  |paral   |2020yCat.1350....0G
1362|HD 96476                                                                                                                                    |Star                                |11 07 24.2030637672 +29 30 34.867606104|200.8423479499904 +67.0283286168283| 20.974 -37.588    |9.57     |G                 |    ~     ~    |    1|  140.286   pc  |  -0.3346     +0.3346  |paral   |2020yCat.1350....0G
1363|BD+30 2108                                                                                                                                  |Star                                |11 07 39.5348913648 +29 19 08.384223828|201.3330256177573 +67.0818840875504|-20.446 -11.031    |10.63    |K0                |    ~     ~    |    1| 1665.556   pc  | -44.9401    +44.9401  |paral   |2020yCat.1350....0G
1364|HD 96657                                                                                                                                    |Star                                |11 08 30.4537378488 +29 18 51.638852988|201.3516284431330 +67.2667913876523| -17.548 34.461    |9.59     |G5                |    ~     ~    |    1|  154.350   pc  |  -0.4002     +0.4002  |paral   |2020yCat.1350....0G
1365|HD 96736                                                                                                                                    |Star                                |11 08 50.9199509472 +29 29 30.186675204|200.8936688674800 +67.3426871912274| -11.862 -3.959    |9.27     |F0                |    ~     ~    |    1|  298.436   pc  |  -1.5853     +1.5853  |paral   |2020yCat.1350....0G
1366|BD+30 2112                                                                                                                                  |Star                                |11 09 33.3664346856 +29 38 32.230224780|200.5019798434766 +67.4966815095082|  -7.730 -5.083    |10.57    |K0                |    ~     ~    |    1|  208.712   pc  |  -0.9191     +0.9191  |paral   |2020yCat.1350....0G
1367|BD+30 2115                                                                                                                                  |Star                                |11 10 36.5280483720 +29 26 28.008495096|201.0303258099151 +67.7255830654876|-23.157 -26.009    |10.21    |K0                |    ~     ~    |    1|  115.571   pc  |  -0.5142     +0.5142  |paral   |2020yCat.1350....0G
1368|HD 97385                                                                                                                                    |High Proper Motion Star             |11 12 52.3381446600 +29 32 17.292944328|200.7701960118217 +68.2180399784579|112.028 -73.710    |9.26     |G5                |    ~     ~    |    1|  104.803   pc  |  -0.4965     +0.4965  |paral   |2020yCat.1350....0G
1369|HD 97489                                                                                                                                    |High Proper Motion Star             |11 13 25.4395075320 +29 33 07.428008736|200.7304440314205 +68.3379341472571| 29.089 -44.860    |8.59     |F8                |    ~     ~    |    1|  151.761   pc  |  -0.5827     +0.5827  |paral   |2020yCat.1350....0G
1370|BD+29 2123                                                                                                                                  |Spectroscopic Binary                |11 06 54.1916562072 +28 23 44.373961752|203.6787608300796 +66.8848407647279|   7.854 -9.008    |9.300    |F2                |    ~     ~    |    1|  167.974   pc  |  -4.3649     +4.3649  |paral   |2020yCat.1350....0G
1371|BD+29 2125                                                                                                                                  |Star                                |11 08 30.2316198000 +28 16 41.502906444|204.0293661150495 +67.2300593968287|  -4.900 -0.795    |9.60     |F8                |    ~     ~    |    1|  280.552   pc  |  -1.3695     +1.3695  |paral   |2020yCat.1350....0G
1372|BD+29 2126                                                                                                                                  |Star                                |11 08 45.5973169104 +29 01 16.729582548|202.1132678633274 +67.3163197761162|-26.449 -11.593    |9.50     |G0                |    ~     ~    |    1|   72.301   pc  |  -0.0711     +0.0711  |paral   |2020yCat.1350....0G
1373|BD+29 2128                                                                                                                                  |Star                                |11 09 23.8816390944 +28 17 09.450643236|204.0375158659695 +67.4270439287717|   -8.048 3.166    |9.97     |F8                |    ~     ~    |    1|  212.599   pc  |  -0.8362     +0.8362  |paral   |2020yCat.1350....0G
1374|BD+29 2129                                                                                                                                  |High Proper Motion Star             |11 10 04.9212617088 +28 40 10.131332844|203.0539221859195 +67.5947823494594|118.183 -101.613   |10.94    |G5                |    ~     ~    |    1|  129.341   pc  |  -0.2309     +0.2309  |paral   |2020yCat.1350....0G
1375|BD+29 2130                                                                                                                                  |Star                                |11 10 12.7921139016 +28 55 26.802751152|202.3880748399487 +67.6315803975461| 15.850 -26.004    |9.68     |K0                |    ~     ~    |    1|  603.682   pc  |  -6.1225     +6.1225  |paral   |2020yCat.1350....0G
1376|BD+29 2133                                                                                                                                  |Spectroscopic Binary                |11 11 38.1762105984 +28 19 19.493516928|204.0099158889635 +67.9209166661860|-22.143 -18.512    |10.87    |G5                |    ~     ~    |    1|  167.839   pc  |  -2.7128     +2.7128  |paral   |2020yCat.1350....0G
1377|BD+29 2135                                                                                                                                  |Star                                |11 12 38.7757899980 +28 38 48.972372085|203.1666748777253 +68.1561578289486|   9.257 -0.473    |10.72    |G5                |    ~     ~    |    0|                |                       |        |                   
1378|BD+29 2138                                                                                                                                  |Star                                |11 14 03.9463341528 +28 57 36.858067344|202.3404719840928 +68.4750186746100|  2.830 -21.344    |10.40    |F8                |    ~     ~    |    1|  433.407   pc  | -12.0594    +12.0594  |paral   |2020yCat.1350....0G
1379|BD+28 1970                                                                                                                                  |Star                                |11 08 48.5194946424 +28 05 50.213612112|204.5068924307239 +67.2862996280063|  5.378 -12.701    |10.71    |F5                |    ~     ~    |    1|  336.496   pc  |  -2.2533     +2.2533  |paral   |2020yCat.1350....0G
1380|HD 96737                                                                                                                                    |Star                                |11 08 56.3581513944 +27 59 15.224972064|204.7954509288176 +67.3078867301883|   3.882 23.669    |8.41     |F8                |    ~     ~    |    1|   94.040   pc  |  -0.2122     +0.2122  |paral   |2020yCat.1350....0G
1381|BD+28 1972                                                                                                                                  |High Proper Motion Star             |11 09 50.9934735024 +27 51 39.907594188|205.1602584533756 +67.4997373891880|-143.353 -21.823   |9.91     |F5                |    ~     ~    |    1|  141.173   pc  |  -0.3508     +0.3508  |paral   |2020yCat.1350....0G
1382|BD+28 1976                                                                                                                                  |Star                                |11 12 17.4475425600 +28 08 04.851336912|204.5295753797379 +68.0549665985665|  1.161 -10.244    |10.28    |K0                |    ~     ~    |    1|  413.428   pc  |  -3.6577     +3.6577  |paral   |2020yCat.1350....0G
1383|TYC 1983-2148-1                                                                                                                             |Star                                |11 14 04.0846942800 +28 01 14.963344572|204.8972269723476 +68.4397874605625|-16.177 -21.060    |10.77    |G0                |    ~     ~    |    1|  193.177   pc  |  -0.6568     +0.6568  |paral   |2020yCat.1350....0G
