C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
41  |TYC 4632-446-1                                                                                                                              |Star                                |11 09 31.4044460760 +83 53 35.149600464|126.0461046166361 +32.6066443464597| -11.154 -3.096    |10.85    |~                 |    ~     ~    |    1|  340.925   pc  |  -1.3715     +1.3715  |paral   |2020yCat.1350....0G
42  |TYC 4632-1410-1                                                                                                                             |Star                                |11 02 13.1707522080 +82 31 15.633676596|127.0481595072762 +33.7135109865369|  -5.790 -3.974    |10.7     |~                 |    ~     ~    |    1|  906.043   pc  |  -9.1942     +9.1942  |paral   |2020yCat.1350....0G
43  |HD 94790                                                                                                                                    |Star                                |11 00 41.3880699480 +81 15 35.977477752|127.8631815351925 +34.7808440562906| -17.506 -1.833    |9.08     |A5                |    ~     ~    |    1|  330.447   pc  |  -1.6816     +1.6816  |paral   |2020yCat.1350....0G
44  |BD+82 327                                                                                                                                   |Star                                |11 13 31.6404251904 +81 23 17.576046456|127.2702985437293 +34.8989621308304|  3.267 -13.579    |10.62    |G5                |    ~     ~    |    1|  139.643   pc  |  -2.6988     +2.6988  |paral   |2020yCat.1350....0G
45  |BD+81 358                                                                                                                                   |Star                                |11 04 42.7960966728 +81 03 11.066695200|127.8245192206128 +35.0372020051265|-33.765 -24.169    |10.40    |F8                |    ~     ~    |    1|  211.851   pc  |  -0.5924     +0.5924  |paral   |2020yCat.1350....0G
46  |HD 96178                                                                                                                                    |High Proper Motion Star             |11 08 45.9127203192 +80 26 21.485146020|128.0115895797173 +35.6535943788037| -62.544 18.378    |8.94     |F5                |    ~     ~    |    1|  155.683   pc  |  -0.3127     +0.3127  |paral   |2020yCat.1350....0G
47  |HD 96589                                                                                                                                    |Star                                |11 11 00.3984904176 +80 56 55.943831616|127.6203005492294 +35.2458379896390| -21.908 -6.929    |7.72     |G0                |    ~     ~    |    1|  339.225   pc  |  -2.2554     +2.2554  |paral   |2020yCat.1350....0G
48  |BD+81 363                                                                                                                                   |Star                                |11 13 11.8099721208 +80 31 01.169154372|127.7674242777384 +35.6700213084745| -11.776 38.279    |10.38    |F8                |    ~     ~    |    1|  293.505   pc  |  -1.3266     +1.3266  |paral   |2020yCat.1350....0G
49  |BD+81 364                                                                                                                                   |Star                                |11 14 58.6241275344 +80 43 12.848942460|127.5750557823426 +35.5213522872685|  -7.949 10.936    |9.56     |K0                |    ~     ~    |    1|  423.316   pc  |  -2.2937     +2.2937  |paral   |2020yCat.1350....0G
50  |HD 97002                                                                                                                                    |Star                                |11 12 46.9582595304 +78 54 23.623494876|128.7088838659153 +37.0910752297864|   9.898 17.679    |8.42     |G5                |    ~     ~    |    1|  325.129   pc  |  -2.1248     +2.1248  |paral   |2020yCat.1350....0G
51  |BD+79 354                                                                                                                                   |Star                                |11 13 37.7022714864 +78 34 21.828248400|128.8578329241513 +37.4058611048998|   4.147 -9.624    |10.30    |K2                |    ~     ~    |    1|  518.054   pc  |  -3.0327     +3.0327  |paral   |2020yCat.1350....0G
52  |TYC 4552-550-1                                                                                                                              |Star                                |11 07 44.6828854248 +79 15 45.913407984|128.7595395217608 +36.6643523037783|  -4.968 -8.881    |10.97    |~                 |    ~     ~    |    1|  374.897   pc  |  -6.6339     +6.6339  |paral   |2020yCat.1350....0G
53  |TYC 4552-556-1                                                                                                                              |Star                                |11 06 30.9973735776 +79 26 42.249662592|128.7106382514460 +36.4775007653766|  22.378 -0.589    |10.82    |~                 |    ~     ~    |    1|  297.009   pc  |  -1.0498     +1.0498  |paral   |2020yCat.1350....0G
54  |TYC 4552-811-1                                                                                                                              |Star                                |11 05 20.9569469928 +79 05 32.046233496|128.9861112880188 +36.7577818631413|-34.512 -14.725    |10.77    |~                 |    ~     ~    |    1|  240.981   pc  |  -4.8432     +4.8432  |paral   |2020yCat.1350....0G
55  |TYC 4552-1022-1                                                                                                                             |Star                                |11 01 55.4010259296 +79 36 19.033548336|128.8362474140142 +36.2345670329085|-13.708 -10.994    |10.90    |~                 |    ~     ~    |    1|  961.631   pc  | -11.7441    +11.7441  |paral   |2020yCat.1350....0G
56  |TYC 4552-1337-1                                                                                                                             |Star                                |11 08 50.6502514248 +78 33 06.501064752|129.1330378277608 +37.3118390902384|-29.050 -10.342    |10.79    |~                 |    ~     ~    |    1|  194.594   pc  |  -0.4203     +0.4203  |paral   |2020yCat.1350....0G
57  |TYC 4552-1363-1                                                                                                                             |Spectroscopic Binary                |11 02 07.5047022576 +79 00 41.403218652|129.2019309221350 +36.7505551513523| -1.382 -12.311    |10.91    |~                 |    ~     ~    |    1| 1213.887   pc  | -64.2455    +64.2455  |paral   |2020yCat.1350....0G
58  |TYC 4552-1428-1                                                                                                                             |Star                                |11 08 26.4026899728 +79 27 49.405059468|128.6036599193568 +36.5038805331930|   13.530 5.441    |10.50    |~                 |    ~     ~    |    1|  355.417   pc  |  -1.6674     +1.6674  |paral   |2020yCat.1350....0G
59  |TYC 4552-1529-1                                                                                                                             |Star                                |11 06 16.7430493824 +79 18 53.600678136|128.8019064285498 +36.5856139113318| -2.597 -46.175    |10.83    |~                 |    ~     ~    |    1|  163.303   pc  |  -0.3440     +0.3440  |paral   |2020yCat.1350....0G
60  |TYC 4552-1637-1                                                                                                                             |Star                                |11 08 52.6015262208 +78 57 30.983673960|128.8847606258629 +36.9564345663698|   11.041 0.975    |10.99    |~                 |    ~     ~    |    1| 1001.502   pc  | -11.5346    +11.5346  |paral   |2020yCat.1350....0G
61  |TYC 4555-100-1                                                                                                                              |High Proper Motion Star             |11 08 01.9457619768 +80 00 55.874029428|128.2946802961231 +36.0112001375919|-64.879 -29.514    |10.79    |~                 |    ~     ~    |    1|  259.727   pc  |  -2.9749     +2.9749  |paral   |2020yCat.1350....0G
62  |TYC 4555-1070-1                                                                                                                             |High Proper Motion Star             |11 02 47.3223601224 +80 54 43.551629244|127.9895499260792 +35.1227681095410| -122.156 9.103    |10.92    |~                 |    ~     ~    |    1|   75.740   pc  |  -0.0660     +0.0660  |paral   |2020yCat.1350....0G
63  |TYC 4555-1175-1                                                                                                                             |Star                                |11 09 39.1860567744 +80 58 33.272520744|127.6625032692151 +35.1971791894092| -19.857 25.082    |10.76    |~                 |    ~     ~    |    1|  284.884   pc  |  -0.9171     +0.9171  |paral   |2020yCat.1350....0G
64  |BD+79 347                                                                                                                                   |Star                                |11 00 38.6782105127 +78 37 50.547063556|129.5236774309501 +37.0402829419757| -47.320 -0.371    |10.42    |G0                |    ~     ~    |    0|                |                       |        |                   
65  |HD 95033                                                                                                                                    |Star                                |11 01 31.0700991360 +78 53 02.348520756|129.3146219017348 +36.8452347933139| 40.931 -11.269    |7.52     |G5                |    ~     ~    |    1|  301.395   pc  |  -1.7986     +1.7986  |paral   |2020yCat.1350....0G
66  |BD+79 349                                                                                                                                   |Rotating Variable                   |11 02 00.4041242088 +78 38 47.259026880|129.4414754636236 +37.0613570274852| 26.657 -19.089    |10.00    |K2                |    ~     ~    |    1|  166.753   pc  |  -0.3615     +0.3615  |paral   |2020yCat.1350....0G
67  |BD+79 350                                                                                                                                   |Star                                |11 05 29.7010915272 +78 22 54.289173972|129.4215935438301 +37.3775428286675|  -9.531 -0.141    |10.62    |G5                |    ~     ~    |    1|  440.684   pc  |  -4.0782     +4.0782  |paral   |2020yCat.1350....0G
68  |BD+78 374                                                                                                                                   |High Proper Motion Star             |11 08 06.4478359920 +78 09 55.140869592|129.4111010470932 +37.6312955516093| -15.342 99.270    |10.21    |K0                |    ~     ~    |    1|   74.647   pc  |  -0.0619     +0.0619  |paral   |2020yCat.1350....0G
69  |BD+79 353                                                                                                                                   |High Proper Motion Star             |11 13 12.9146991480 +78 18 19.736440524|129.0377458964441 +37.6327689890107|-49.790 -19.600    |10.27    |K0                |    ~     ~    |    1|  437.522   pc  |  -2.3737     +2.3737  |paral   |2020yCat.1350....0G
70  |HD 96572                                                                                                                                    |Variable Star                       |11 10 01.5874375632 +77 47 12.504754824|129.5337766040187 +38.0105910797790| 41.467 -17.843    |7.03     |M0                |    ~     ~    |    1|  350.963   pc  |  -9.1150     +9.1150  |paral   |2020yCat.1350....0G
71  |BD+78 377                                                                                                                                   |High Proper Motion Star             |11 12 19.9204817568 +78 05 33.555462684|129.2144721244056 +37.7994753295759|-45.090 -28.099    |10.39    |F5                |    ~     ~    |    1|  327.000   pc  |  -1.5291     +1.5291  |paral   |2020yCat.1350....0G
72  |HD 97332                                                                                                                                    |Star                                |11 14 23.0283340632 +77 43 57.895184604|129.3080580856649 +38.1677496328246| -17.441 -8.632    |8.94     |G0                |    ~     ~    |    1|  112.750   pc  |  -0.1653     +0.1653  |paral   |2020yCat.1350....0G
73  |BD+77 425                                                                                                                                   |Star                                |11 12 36.1586333280 +77 12 11.695931244|129.7346572530491 +38.5894903710259| -14.354 -3.055    |10.03    |G5                |    ~     ~    |    1|  123.141   pc  |  -0.1895     +0.1895  |paral   |2020yCat.1350....0G
74  |TYC 4552-1690-1                                                                                                                             |Star                                |11 10 04.1575356768 +77 41 02.006879100|129.5944927226034 +38.1017572092303| -12.167 -1.803    |10.92    |~                 |    ~     ~    |    1| 1092.419   pc  | -12.8885    +12.8885  |paral   |2020yCat.1350....0G
75  |TYC 4552-1711-1                                                                                                                             |Star                                |11 12 57.2311321008 +77 36 58.001791788|129.4633967056669 +38.2350257212825|  -1.729 -9.419    |10.10    |~                 |    ~     ~    |    1|  641.026   pc  | -11.0536    +11.0536  |paral   |2020yCat.1350....0G
76  |TYC 4552-1794-1                                                                                                                             |Star                                |11 10 55.0474755360 +78 04 54.883990272|129.3022077379472 +37.7742462896051|   -3.209 3.739    |10.78    |~                 |    ~     ~    |    1|  262.653   pc  |  -0.7796     +0.7796  |paral   |2020yCat.1350....0G
77  |BD+78 369                                                                                                                                   |Star                                |11 02 04.2692879184 +77 55 20.506162332|129.9067536815329 +37.6839412541904|  1.552 -25.737    |9.37     |K5                |    ~     ~    |    1|  438.924   pc  |  -2.6394     +2.6394  |paral   |2020yCat.1350....0G
78  |HD 94937                                                                                                                                    |High Proper Motion Star             |11 00 10.0925910288 +77 41 31.602881652|130.1669918865551 +37.8280823032313|-112.455 -22.725   |7.89     |F7V               |    ~     ~    |    1|   73.786   pc  |  -0.2450     +0.2450  |paral   |2020yCat.1350....0G
