C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2803|CD-68 2118                                                            |Spectroscopic Binary                  |19 51 05.1274781088 -67 41 37.368569652|328.1485209010107 -30.5832199671368|   15.890 5.860   |10.635   |~              |    ~     ~    
2804|HD 185694                                                             |Star                                  |19 45 24.0868126008 -68 09 12.581701884|327.6385079763866 -30.0330156291203|  6.489 -25.471   |9.58     |G8/K1(III)     |    ~     ~    
2805|CD-67 2363                                                            |Star                                  |19 45 51.5152394976 -67 08 17.068168464|328.8103816278022 -30.0992255995527|   4.882 -2.715   |9.78     |~              |    ~     ~    
2806|CD-68 2110                                                            |Star                                  |19 45 33.3637308048 -68 10 32.248405200|327.6125049778581 -30.0467891401850|   7.748 -7.689   |10.55    |~              |    ~     ~    
2807|CD-67 2362                                                            |Spectroscopic Binary                  |19 45 33.4403031432 -66 52 15.452918040|329.1196016348852 -30.0741481623450|  -3.225 -2.818   |9.99     |~              |    ~     ~    
2808|TYC 9097-690-1                                                        |Star                                  |19 46 06.2688498744 -66 20 36.915160452|329.7283541124039 -30.1351618758592|  7.975 -15.210   |10.449   |~              |    ~     ~    
2809|TYC 9097-487-1                                                        |Star                                  |19 46 44.6926703400 -67 13 42.667383144|328.7037862276058 -30.1832800054060| 19.408 -28.017   |10.865   |~              |    ~     ~    
2810|TYC 9097-1566-1                                                       |Star                                  |19 46 57.8099507400 -66 36 43.231485564|329.4164757466051 -30.2170408936765| 17.185 -17.439   |10.544   |~              |    ~     ~    
2811|CPD-68 3309                                                           |Star                                  |19 48 17.8928431440 -67 57 08.150088204|327.8612942278159 -30.3098839423695|  -0.874 -2.614   |10.92    |~              |    ~     ~    
2812|CPD-68 3311                                                           |High Proper Motion Star               |19 49 52.8958692240 -67 48 37.931123304|328.0187498615154 -30.4643265238004|65.074 -137.534   |10.796   |~              |    ~     ~    
2813|CPD-68 3316                                                           |Star                                  |19 52 18.0465411888 -67 46 43.560506100|328.0433594853398 -30.6941165102692| 17.403 -15.215   |10.900   |~              |    ~     ~    
2814|TYC 9097-1642-1                                                       |Star                                  |19 46 22.6826358432 -66 48 33.469622928|329.1894185399210 -30.1557976005554| -22.356 36.090   |10.745   |~              |    ~     ~    
2815|HD 185750                                                             |Spectroscopic Binary                  |19 45 04.0642040640 -65 28 02.303027508|330.7416168106532 -30.0334277353470|   30.891 4.376   |9.12     |G2V            |    ~     ~    
2816|HD 186138                                                             |High Proper Motion Star               |19 47 03.6900423648 -65 16 32.852718660|330.9627885099675 -30.2413628374715| 51.212 -16.940   |9.00     |G0V            |    ~     ~    
2817|HD 186218                                                             |High Proper Motion Star               |19 47 26.0170455360 -65 34 44.057295120|330.6115824619527 -30.2781048284363|-25.167 -53.984   |9.59     |G2/5wF5/6V     |    ~     ~    
2818|HD 186583                                                             |Star                                  |19 49 38.2677464832 -65 38 45.241384704|330.5303794591925 -30.5047141064327|   4.845 -2.852   |8.90     |F0IV           |    ~     ~    
2819|HD 186501                                                             |Star                                  |19 49 10.2158417520 -65 49 28.205457492|330.3241868907461 -30.4534464190168| -8.796 -35.530   |8.61     |K0III          |    ~     ~    
2820|V* BO Pav                                                             |Spectroscopic Binary                  |19 50 16.9952664000 -65 46 58.991190744|330.3696200097134 -30.5683016565101|  -1.626 -7.925   |9.423    |G8IV           |    ~     ~    
2821|HD 185974                                                             |Star                                  |19 46 12.4674816984 -65 52 51.565342728|330.2631546619612 -30.1497909247183|  20.029 -6.283   |9.74     |G8III          |    ~     ~    
2822|HD 186530                                                             |Star                                  |19 49 28.3289519856 -65 58 44.746452552|330.1441615911628 -30.4812360325095| -3.697 -33.206   |7.38     |K3III          |    ~     ~    
2823|HD 186633                                                             |Star                                  |19 50 13.9862937312 -66 34 47.693577468|329.4447295706243 -30.5423912258868|  2.613 -17.155   |8.08     |B9V            |    ~     ~    
2824|HD 186838                                                             |Double or Multiple Star               |19 51 14.4657 -66 09 06.181            |329.9384574 -30.6562115            |     19.0 -30.6   |9.801    |G5/K0+F        |    ~     ~    
2825|CD-67 2371                                                            |High Proper Motion Star               |19 51 13.3735960584 -66 48 48.520786680|329.1697713009253 -30.6324332668357|     -46.9 26.3   |9.77     |~              |    ~     ~    
2826|HD 187395                                                             |Star                                  |19 54 26.7640593120 -67 06 37.341844344|328.8081512010028 -30.9342038213194|  2.941 -13.101   |8.40     |K3(III)        |    ~     ~    
2827|HD 187443                                                             |Star                                  |19 54 36.9993349128 -67 16 36.330099060|328.6134090614824 -30.9417356194836|  -7.288 -3.452   |9.27     |K2/4           |    ~     ~    
2828|HD 187455                                                             |Variable Star                         |19 54 42.4322497248 -67 02 03.882160428|328.8950310585636 -30.9636161730292|   6.291 -2.616   |10.09    |A0V            |    ~     ~    
2829|HD 188163                                                             |Star                                  |19 58 33.1137592776 -67 18 26.100419256|328.5497546753002 -31.3188222914034| 10.816 -16.824   |8.73     |A9V            |    ~     ~    
2830|CD-65 2604                                                            |Star                                  |19 45 49.4459022072 -65 27 41.656159764|330.7482776848337 -30.1119468743536| 27.456 -22.807   |10.332   |~              |    ~     ~    
2831|TYC 9097-1641-1                                                       |Star                                  |19 52 29.1031066152 -66 26 51.507447540|329.5895289921764 -30.7711274979497| -8.489 -16.213   |10.65    |~              |    ~     ~    
2832|TYC 9097-1604-1                                                       |Star                                  |19 55 06.5950947096 -67 00 46.749595644|328.9175249749508 -31.0040099510033|   2.606 -4.896   |10.72    |~              |    ~     ~    
2833|HD 187913                                                             |Star                                  |19 56 32.2019944728 -64 45 13.096279728|331.5465047626214 -31.2522358673581| -4.006 -14.847   |9.848    |G5/8III/IV     |    ~     ~    
2834|CD-65 2617                                                            |Star                                  |19 51 14.0531802744 -64 56 22.257813732|331.3474378367301 -30.6840176066460|  10.011 26.869   |10.085   |~              |    ~     ~    
2835|TYC 9093-435-1                                                        |Star                                  |19 51 28.6477736808 -64 58 14.127299832|331.3107697327273 -30.7092007436524|  -3.668 10.647   |10.381   |~              |    ~     ~    
2836|CD-65 2619                                                            |Star                                  |19 51 30.8250370728 -64 55 26.678020908|331.3647800375877 -30.7138955447016|  9.055 -38.364   |10.695   |~              |    ~     ~    
2837|HD 186773                                                             |Star                                  |19 50 51.0226778040 -65 37 55.839742176|330.5433333518637 -30.6300118964544|    6.811 7.076   |9.00     |K4/5III        |    ~     ~    
2838|V* NZ Pav                                                             |delta Sct Variable                    |19 51 01.2364970424 -65 36 18.317829852|330.5743387257462 -30.6482003852951|100.527 -158.483  |6.022    |F0II/III       |    ~     ~    
2839|HD 187454                                                             |Star                                  |19 54 19.7730024744 -65 17 27.310653816|330.9287219041382 -31.0006705431926| 15.807 -27.798   |9.05     |K0III          |    ~     ~    
2840|HD 187634                                                             |Star                                  |19 55 07.6245687480 -65 05 15.200905380|331.1626549656955 -31.0911533949807|   4.343 -8.069   |9.56     |A9V            |    ~     ~    
2841|HD 187861                                                             |Spectroscopic Binary                  |19 56 26.9442832128 -65 22 08.014212084|330.8279303519954 -31.2187253208543|-26.593 -65.636   |9.18     |CEMP-rs        |    ~     ~    
2842|HD 187892                                                             |Star                                  |19 56 41.8486765464 -65 31 56.154770544|330.6357358514529 -31.2373302099141|    7.938 6.877   |8.58     |G8III          |    ~     ~    
2843|HD 188184                                                             |High Proper Motion Star               |19 58 12.3941672616 -65 13 01.829016444|330.9956047115791 -31.4090522706424| 34.592 -97.009   |8.38     |F3V            |    ~     ~    
2844|CD-65 2632                                                            |Star                                  |19 59 44.5165694328 -65 00 31.533525756|331.2302587082870 -31.5807931802425|   13.416 1.293   |10.227   |~              |    ~     ~    
2845|HD 187115                                                             |Spectroscopic Binary                  |19 52 42.4328581128 -65 42 37.248942600|330.4464285034383 -30.8190725453964| 28.309 -32.393   |8.83     |K0III          |    ~     ~    
2846|CD-66 2347                                                            |Star                                  |19 52 56.2202295912 -66 09 08.182235304|329.9311848993648 -30.8275170093280| 11.061 -31.725   |10.16    |~              |    ~     ~    
2847|HD 187672                                                             |Star                                  |19 55 43.9209514776 -66 33 31.705352460|329.4430786830191 -31.0894304977301| 30.688 -33.756   |9.65     |F6/7           |    ~     ~    
2848|HD 188052                                                             |Spectroscopic Binary                  |19 57 44.9255821320 -66 24 18.590631804|329.6093700027391 -31.2988296170679|-10.810 -37.058   |10.17    |G2/5           |    ~     ~    
2849|HD 188340                                                             |Spectroscopic Binary                  |19 59 11.2756129416 -66 36 45.923480820|329.3561935630901 -31.4289351369387|25.962 -135.856   |9.47     |F8/G2(V)       |    ~     ~    
2850|CD-65 2618                                                            |Star                                  |19 51 32.3534693904 -65 19 17.885995068|330.9024021687081 -30.7085034164678| -9.796 -14.997   |10.649   |~              |    ~     ~    
2851|CD-66 2345                                                            |Star                                  |19 51 52.7197270488 -65 48 13.093502724|330.3408609891873 -30.7312650836581| -26.803 -5.734   |9.884    |~              |    ~     ~    
2852|CD-65 2621                                                            |Star                                  |19 53 25.8262754136 -65 15 03.078934704|330.9788410860525 -30.9079364597960|   8.106 -0.166   |10.313   |~              |    ~     ~    
2853|CD-65 2622                                                            |High Proper Motion Star               |19 53 39.1859617680 -65 09 31.634928216|331.0853216448352 -30.9339582430935|83.249 -131.466   |10.42    |~              |    ~     ~    
2854|CD-65 2623                                                            |Star                                  |19 54 02.2298624832 -65 33 48.576027492|330.6121848720906 -30.9610032158897|  5.008 -14.177   |9.93     |~              |    ~     ~    
2855|TYC 9097-432-1                                                        |Star                                  |19 57 51.1447802328 -66 21 53.549948952|329.6557292792709 -31.3115583785732|   7.395 -2.286   |10.614   |~              |    ~     ~    
2856|TYC 9097-732-1                                                        |Star                                  |19 58 31.6433569680 -66 21 03.713152860|329.6671538088251 -31.3799372316350| 11.216 -11.659   |10.604   |~              |    ~     ~    
2857|TYC 9093-35-1                                                         |Spectroscopic Binary                  |19 53 27.1410821208 -64 48 54.978214536|331.4862979312018 -30.9220048466526| -93.973 56.759   |10.86    |~              |    ~     ~    
2858|TYC 9093-181-1                                                        |Star                                  |19 52 35.6524030320 -65 05 09.294207324|331.1736584355243 -30.8245762671731|   3.606 -3.709   |10.631   |~              |    ~     ~    
2859|TYC 9093-333-1                                                        |Star                                  |19 59 59.2993883520 -65 10 06.455209188|331.0414217816163 -31.5981954355961| 11.002 -12.285   |10.358   |~              |    ~     ~    
2860|TYC 9093-535-1                                                        |Star                                  |19 55 48.4180133088 -64 49 00.889267476|331.4757708033558 -31.1723339286506|   6.679 -4.934   |10.927   |~              |    ~     ~    
2861|TYC 9093-861-1                                                        |Star                                  |19 54 52.8571832208 -65 17 54.120744060|330.9177249380969 -31.0579954851212|   9.718 -9.736   |10.32    |~              |    ~     ~    
2862|TYC 9093-949-1                                                        |Star                                  |19 53 12.8640295608 -65 02 27.101782392|331.2242079751563 -30.8910602553067|  -8.111 -0.145   |10.832   |~              |    ~     ~    
2863|TYC 9093-1001-1                                                       |High Proper Motion Star               |19 53 06.5822076096 -65 05 43.489156812|331.1610016860836 -30.8785988711189| 19.760 -43.721   |10.675   |~              |    ~     ~    
2864|TYC 9093-1029-1                                                       |Star                                  |19 49 30.3209037240 -65 05 43.548196632|331.1694335569618 -30.4992154257998|  7.157 -34.929   |10.39    |~              |    ~     ~    
2865|TYC 9093-1297-1                                                       |Star                                  |19 55 36.4227466920 -65 33 22.459361112|330.6134391366672 -31.1235429337439| 10.456 -13.259   |10.105   |~              |    ~     ~    
2866|TYC 9093-1509-1                                                       |Star                                  |19 51 47.8404039240 -65 07 42.667386744|331.1263071200148 -30.7397720387463| -21.839 -5.268   |10.925   |~              |    ~     ~    
2867|TYC 9093-1738-1                                                       |Star                                  |19 55 25.5047010696 -64 46 01.102827936|331.5356688310799 -31.1333482746702|   9.863 -2.937   |10.47    |~              |    ~     ~    
2868|TYC 9097-52-1                                                         |Star                                  |19 55 12.4211648640 -66 04 42.569283792|330.0061997659828 -31.0601169528398| 15.195 -21.464   |10.093   |~              |    ~     ~    
2869|TYC 9097-59-1                                                         |Star                                  |19 59 30.4959824616 -67 08 46.921503912|328.7298109967376 -31.4228132777778|-16.502 -21.610   |10.91    |~              |    ~     ~    
2870|TYC 9097-60-1                                                         |Spectroscopic Binary                  |19 57 09.3907118928 -66 01 55.991193204|330.0489503857222 -31.2599375481453|-37.601 -14.983   |10.777   |~              |    ~     ~    
2871|TYC 9097-162-1                                                        |Star                                  |19 46 02.2688752920 -65 38 21.061920480|330.5428722130246 -30.1336297975858|   1.404 -0.432   |10.462   |~              |    ~     ~    
2872|TYC 9097-286-1                                                        |Star                                  |19 55 39.6050838744 -65 56 52.132173612|330.1562010657682 -31.1120274990054|  -1.667 -9.116   |10.491   |~              |    ~     ~    
2873|TYC 9097-510-1                                                        |Star                                  |19 57 45.8970876456 -65 47 50.312842692|330.3196826505583 -31.3342317738543|    8.091 2.318   |10.864   |~              |    ~     ~    
2874|TYC 9097-519-1                                                        |Spectroscopic Binary                  |19 56 56.0764575840 -67 15 41.902306992|328.6153944022296 -31.1661534692370|  18.804 14.170   |10.686   |~              |    ~     ~    
2875|TYC 9097-608-1                                                        |Star                                  |19 49 16.1373192864 -65 44 23.488372428|330.4221566511482 -30.4650806995814| -5.810 -13.131   |10.69    |~              |    ~     ~    
2876|TYC 9097-645-1                                                        |Star                                  |19 58 47.0128753992 -67 10 39.684304992|328.6991815470493 -31.3504087290309|  7.826 -13.493   |10.557   |~              |    ~     ~    
2877|TYC 9097-745-1                                                        |Star                                  |19 57 24.8391204192 -67 16 38.016561036|328.5936665788228 -31.2113405337465|  2.429 -12.409   |10.748   |~              |    ~     ~    
2878|TYC 9097-766-1                                                        |Star                                  |19 46 50.3826020112 -65 39 01.672726392|330.5293066727504 -30.2162413847307|   4.480 34.073   |10.74    |~              |    ~     ~    
2879|TYC 9097-1011-1                                                       |Star                                  |19 59 42.5666574720 -65 55 19.646556348|330.1603751591667 -31.5256113711993| 13.471 -23.879   |10.624   |~              |    ~     ~    
2880|TYC 9097-1176-1                                                       |Star                                  |19 47 10.2814669152 -66 09 37.833478452|329.9386085961020 -30.2448282849821| -1.669 -23.942   |10.546   |~              |    ~     ~    
2881|TYC 9097-1280-1                                                       |Star                                  |19 51 49.5090278952 -66 22 00.501186000|329.6862923870747 -30.7080628311663|  -1.878 -9.551   |10.90    |~              |    ~     ~    
2882|TYC 9097-1346-1                                                       |Pulsating Variable                    |19 51 05.3969830224 -66 51 42.117309468|329.1143266315393 -30.6176065811394|  -2.625 -4.341   |10.88    |~              |    ~     ~    
2883|HD 185869                                                             |High Proper Motion Star               |19 45 31.2455576760 -65 01 42.767785632|331.2487123325359 -30.0794605539338|  9.850 -51.223   |9.36     |F5V            |    ~     ~    
2884|TYC 9093-327-1                                                        |Star                                  |19 45 04.2214001136 -64 58 51.455457372|331.3033823730606 -30.0316157685917|  8.704 -19.126   |10.78    |~              |    ~     ~    
2885|HD 186093                                                             |Star                                  |19 46 11.0830644000 -62 10 12.839113488|334.5533498381518 -30.1028427057785|  37.720 -0.070   |10.01    |G2V            |    ~     ~    
2886|CPD-62 6105                                                           |Star                                  |19 47 33.7192562400 -62 07 11.692849080|334.6168263180953 -30.2622241829617|   5.736 -3.634   |10.66    |~              |    ~     ~    
2887|TYC 9089-764-1                                                        |Star                                  |19 45 51.5826295800 -62 12 26.200455732|334.5091900926366 -30.0661094842173|   1.744 -4.305   |10.745   |~              |    ~     ~    
2888|HD 186251                                                             |High Proper Motion Star               |19 47 05.8141738776 -62 27 13.344343092|334.2290042119463 -30.2165954329391|  8.258 -57.074   |6.70     |M2III          |    ~     ~    
2889|HD 186566                                                             |High Proper Motion Star               |19 48 50.8560716328 -62 13 56.465866884|334.4905836604909 -30.4147884816222|  6.234 -68.026   |8.88     |G0IV/V         |    ~     ~    
2890|HD 186565                                                             |Rotating Variable                     |19 48 53.4058243728 -62 07 52.663273860|334.6078609273781 -30.4176825439536| -18.968 -3.915   |9.494    |K2III          |    ~     ~    
2891|HD 186725                                                             |Star                                  |19 49 55.8838985784 -62 34 00.573695436|334.1048816719092 -30.5457138891852| -3.147 -11.056   |7.79     |F5V            |    ~     ~    
2892|HD 186785                                                             |Star                                  |19 50 18.0607727880 -62 21 58.381396668|334.3384754954648 -30.5858793199891| 10.990 -36.606   |8.55     |A9IV/V         |    ~     ~    
2893|HD 185953                                                             |Star                                  |19 45 36.2129566296 -63 02 30.503082048|333.5443693413320 -30.0599987639307|   6.463 -2.830   |8.90     |G6III          |    ~     ~    
2894|HD 186115                                                             |Spectroscopic Binary                  |19 46 29.9366474688 -63 14 20.354617860|333.3189919953940 -30.1653512736264| 21.121 -54.954   |9.964    |G3III/IV       |    ~     ~    
2895|HD 186114                                                             |Star                                  |19 46 25.1735750304 -62 43 55.725657600|333.9048031742808 -30.1454446868542| -10.145 20.279   |8.51     |K1III          |    ~     ~    
2896|HD 186323                                                             |Star                                  |19 47 36.2670589416 -63 15 09.962194104|333.3054302907297 -30.2899767895147|  1.667 -26.819   |8.92     |F3V            |    ~     ~    
2897|HD 187394                                                             |Star                                  |19 53 43.9161634464 -63 34 22.172482704|332.9340873250679 -30.9758043304006| 14.847 -24.534   |7.56     |A9III          |    ~     ~    
2898|HD 187787                                                             |Star                                  |19 55 34.2615202920 -63 00 51.355564740|333.5829626616055 -31.1899738193401| -7.515 -22.339   |8.13     |M3III          |    ~     ~    
2899|HD 187955                                                             |Spectroscopic Binary                  |19 56 28.6750079088 -63 01 41.742452820|333.5646659673451 -31.2925912079072|   3.664 -9.485   |9.27     |F2V            |    ~     ~    
2900|HD 187997                                                             |Variable Star                         |19 56 50.0753991768 -63 28 25.012787340|333.0425416598314 -31.3233903711446| 23.283 -35.962   |7.96     |M0III          |    ~     ~    
2901|HD 188034                                                             |Star                                  |19 56 57.9750697752 -63 08 12.346911780|333.4364260300575 -31.3457429830087| 16.825 -29.594   |9.74     |G1V            |    ~     ~    
2902|HD 186137                                                             |Star                                  |19 46 47.3221966344 -63 46 24.987275400|332.7011584618686 -30.2059477177907|-28.546 -11.292   |9.95     |G2IV/V         |    ~     ~    
2903|HD 186252                                                             |Star                                  |19 47 27.3501253632 -64 16 04.733062464|332.1296198038004 -30.2831568009480| 17.852 -37.252   |9.95     |F5IV           |    ~     ~    
2904|HD 186811                                                             |Star                                  |19 50 42.3854862672 -63 57 08.864773704|332.4955762894114 -30.6380491563706|   -0.804 8.111   |8.04     |K0III          |    ~     ~    
2905|HD 186812                                                             |High Proper Motion Star               |19 50 53.5839537258 -64 20 57.177632630|332.0342480235147 -30.6554718884004|29.514 -107.950   |8.31     |F6V            |    ~     ~    
2906|HD 187543                                                             |Double or Multiple Star               |19 54 29.7196 -64 07 34.593            |332.2867267 -31.0503472            |     -7.4 -23.9   |9.21     |F3V            |    ~     ~    
2907|HD 187724                                                             |Star                                  |19 55 38.8893251592 -64 24 35.030742264|331.9520476215935 -31.1682223047779|   9.707 -7.818   |10.33    |F0V            |    ~     ~    
2908|HD 187789                                                             |Spectroscopic Binary                  |19 55 52.2070399464 -64 14 04.988077584|332.1557232207102 -31.1972864641069|   14.310 2.082   |9.32     |K2III          |    ~     ~    
2909|HD 187788                                                             |Star                                  |19 55 49.9170388824 -63 59 02.603334372|332.4487915752175 -31.1998531408205| 26.807 -12.979   |8.86     |K0III          |    ~     ~    
2910|HD 187809                                                             |Star                                  |19 56 04.1318107632 -64 30 57.593020032|331.8262608944687 -31.2102888043129|  4.077 -45.584   |10.26    |G5III/IV       |    ~     ~    
2911|HD 187912                                                             |Spectroscopic Binary                  |19 56 33.8298614184 -64 09 58.925813256|332.2330439834919 -31.2747344780957| 35.433 -63.387   |9.84     |G2IV/V         |    ~     ~    
2912|HD 188456                                                             |Star                                  |19 59 15.8051564760 -63 52 00.640500024|332.5720615172838 -31.5804349903141|   0.735 10.103   |9.19     |B9.5V          |    ~     ~    
2913|HD 186617                                                             |Star                                  |19 49 39.0296817600 -64 52 38.433110952|331.4223510424711 -30.5169893562806|  9.336 -27.222   |8.79     |K1III          |    ~     ~    
2914|HD 186632                                                             |Double or Multiple Star               |19 49 49.07253 -64 54 22.4019          |331.38860342 -30.53443265          |    2.30 105.44   |8.92     |F7V            |    ~     ~    
2915|CPD-63 4546                                                           |Star                                  |19 49 49.3068102000 -63 41 18.177521748|332.8025563643040 -30.5409638914083|  6.995 -15.508   |9.966    |~              |    ~     ~    
2916|CPD-64 4006                                                           |Star                                  |19 51 12.8037344376 -64 34 46.066799388|331.7661045460291 -30.6873190593896|   8.317 -7.009   |10.48    |~              |    ~     ~    
2917|CPD-63 4547                                                           |Spectroscopic Binary                  |19 53 14.5463562552 -62 55 59.667216852|333.6803888625831 -30.9262065453076|  14.311 -4.334   |10.758   |~              |    ~     ~    
2918|CPD-62 6117                                                           |High Proper Motion Star               |19 55 23.8376117616 -62 34 09.424533360|334.1033237967911 -31.1752327634840| -81.682 -3.500   |10.76    |~              |    ~     ~    
2919|CPD-63 4550                                                           |Star                                  |19 56 08.2036285104 -63 07 17.165162424|333.4564717389670 -31.2523227881383|  -9.911 10.122   |10.07    |~              |    ~     ~    
2920|L 160-108                                                             |Double or Multiple Star               |19 49 20.99222 -62 59 21.8748          |333.61351690 -30.48399911          | -27.20 -500.83   |10.76    |~              |0.0067  0.0    
2921|TYC 9089-1534-1                                                       |Star                                  |19 45 09.3895591536 -63 27 34.436132100|333.0605812391198 -30.0193112787663|  2.777 -12.547   |10.42    |~              |    ~     ~    
2922|TYC 9093-698-1                                                        |Star                                  |19 45 22.8436896360 -64 17 06.150410232|332.1076575094923 -30.0581478237414| 12.425 -12.900   |10.472   |~              |    ~     ~    
2923|TYC 9089-833-1                                                        |Star                                  |19 45 43.7376538464 -63 32 55.046621904|332.9592012835562 -30.0849452875735|   6.640 -3.837   |10.20    |~              |    ~     ~    
2924|TYC 9093-324-1                                                        |Star                                  |19 45 47.0145765144 -63 49 25.856382612|332.6412753439499 -30.0957107427529| -28.823 -1.821   |10.54    |~              |    ~     ~    
2925|TYC 9093-962-1                                                        |Star                                  |19 47 07.1881552296 -64 24 08.929057968|331.9737057622454 -30.2473852234902| -18.416 17.122   |10.633   |~              |    ~     ~    
2926|TYC 9089-627-1                                                        |Star                                  |19 47 48.1650946392 -63 37 24.706739388|332.8763332933450 -30.3166186900906|   9.469 -7.235   |10.57    |~              |    ~     ~    
2927|TYC 9089-820-1                                                        |Star                                  |19 48 09.2070323280 -62 30 27.391444416|334.1697310715697 -30.3398023703841|  -2.210 -9.111   |9.97     |~              |    ~     ~    
2928|CD-65 2609                                                            |Double or Multiple Star               |19 48 15.243672 -65 02 22.31700        |331.235669983 -30.367866047        |     18.0 -77.7   |10.154   |~              |    ~     ~    
2929|TYC 9089-1132-1                                                       |Star                                  |19 48 32.6012433600 -62 26 13.729837812|334.2523917091374 -30.3834752694887|  1.537 -12.383   |10.16    |~              |    ~     ~    
2930|TYC 9089-1593-1                                                       |Star                                  |19 48 51.1188934464 -62 47 54.623139468|333.8341537791087 -30.4249567728044| 26.591 -28.875   |10.63    |~              |    ~     ~    
2931|TYC 9089-630-1                                                        |Star                                  |19 49 07.6893363768 -62 24 56.380295520|334.2787181098879 -30.4507511216389| 10.140 -11.397   |10.89    |~              |    ~     ~    
2932|CPD-62 6110                                                           |Star                                  |19 49 58.0022 -62 31 13.391            |334.1588605 -30.5492006            |   -17.10 -4.10   |10.39    |~              |    ~     ~    
2933|TYC 9093-654-1                                                        |Star                                  |19 50 09.4100472744 -64 11 46.431666240|332.2127085326988 -30.5767303271045|   10.883 3.857   |9.997    |~              |    ~     ~    
2934|TYC 9089-423-1                                                        |Chemically Peculiar Star              |19 51 01.8069573696 -63 31 11.150387868|332.9984332569350 -30.6753030051484|   2.697 -6.569   |10.489   |CEMP           |    ~     ~    
2935|TYC 9089-410-1                                                        |Star                                  |19 51 28.3728909384 -62 15 14.533849872|334.4706621738274 -30.7207361325352|   13.537 6.940   |10.376   |~              |    ~     ~    
2936|TYC 9089-1475-1                                                       |Star                                  |19 51 42.2762640264 -63 22 36.536288340|333.1645002839196 -30.7510082079983|  10.687 -6.450   |9.81     |~              |    ~     ~    
2937|TYC 9089-1087-1                                                       |Star                                  |19 53 08.9871857136 -63 14 57.427390608|333.3120651904380 -30.9139127657661| -0.493 -20.093   |10.793   |~              |    ~     ~    
2938|TYC 9089-1370-1                                                       |Star                                  |19 53 36.8978179080 -63 12 28.806652440|333.3597142164477 -30.9666195903046|    3.727 1.403   |9.99     |~              |    ~     ~    
2939|TYC 9089-340-1                                                        |Star                                  |19 54 00.3468715296 -62 41 18.840610032|333.9652883268884 -31.0144954836663|  2.109 -11.015   |10.253   |~              |    ~     ~    
2940|TYC 9089-364-1                                                        |Star                                  |19 54 50.3433314304 -62 31 10.850633400|334.1618401452894 -31.1112595851664|   0.982 31.753   |10.63    |~              |    ~     ~    
2941|TYC 9089-373-1                                                        |Star                                  |19 55 36.7248243168 -62 38 35.294296776|334.0167210429034 -31.1992274090684|   3.100 -6.469   |9.90     |~              |    ~     ~    
2942|TYC 9093-400-1                                                        |Star                                  |19 55 59.7840878976 -64 08 53.221594488|332.2564839444356 -31.2134549271000|  9.860 -11.160   |10.14    |~              |    ~     ~    
2943|TYC 9089-1336-1                                                       |Star                                  |19 57 28.7755925064 -63 23 02.614570584|333.1452916088451 -31.3977175037426| 22.787 -27.620   |10.856   |~              |    ~     ~    
2944|IRAS 19423-6403                                                       |Star                                  |19 46 47.6178953184 -63 56 09.731665032|332.5132273833369 -30.2083398126703|  3.373 -18.833   |9.82     |~              |    ~     ~    
2945|CPD-62 6113                                                           |Star                                  |19 50 23.1139443816 -62 34 58.623320784|334.0868473020443 -30.5981522398324|  0.507 -14.226   |9.48     |~              |    ~     ~    
2946|TYC 9089-444-1                                                        |Star                                  |19 52 30.1541373792 -62 18 07.188982020|334.4158759755392 -30.8408370587587|  13.266 -0.758   |10.769   |~              |    ~     ~    
2947|TYC 9089-610-1                                                        |Star                                  |19 47 38.1484682736 -63 02 39.432623532|333.5469063038665 -30.2903174220411|   0.882 -6.656   |10.69    |~              |    ~     ~    
2948|IRAS 19492-6343                                                       |Long-Period Variable                  |19 53 46.7216692200 -63 35 47.467129668|332.9063756545808 -30.9806943822790|  -7.653 -4.726   |10.29    |~              |    ~     ~    
2949|2MASS J19470513-6221443                                               |Long-Period Variable                  |19 47 05.1409275024 -62 21 44.241299136|334.3347234632537 -30.2130182102840| -7.850 -18.191   |10.82    |~              |    ~     ~    
2950|TYC 9089-771-1                                                        |Star                                  |19 52 34.4330223120 -63 34 46.588435824|332.9277791113277 -30.8469042863164|  -9.043 -3.533   |10.859   |~              |    ~     ~    
2951|TYC 9089-812-1                                                        |Star                                  |19 48 01.7580827616 -62 59 58.893788796|333.5993735780991 -30.3342334908473|    1.925 4.855   |10.94    |~              |    ~     ~    
2952|TYC 9089-882-1                                                        |Star                                  |19 55 03.0167200656 -62 58 41.872753380|333.6258875431330 -31.1313346337540|    1.320 0.546   |10.47    |~              |    ~     ~    
2953|TYC 9089-895-1                                                        |Star                                  |19 50 38.8176613512 -63 10 26.242006044|333.4003716671151 -30.6320562508490|  -3.462 -2.321   |10.916   |~              |    ~     ~    
2954|TYC 9089-956-1                                                        |Star                                  |19 45 11.3995981680 -62 39 42.140520000|333.9817829711717 -30.0025989745425|  6.597 -15.315   |10.79    |~              |    ~     ~    
