C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
68  |TYC 7938-973-1                                                        |Star                                  |19 51 07.8065533632 -41 12 11.856069288|358.5250734558746 -28.2168268727831|  1.699 -11.154   |10.892   |~              |    ~     ~    
69  |TYC 7938-1313-1                                                       |Star                                  |19 51 56.2034770296 -41 12 51.470821548|358.5502559809252 -28.3673073883626|   3.499 -7.562   |10.713   |~              |    ~     ~    
70  |TYC 7938-1879-1                                                       |Star                                  |19 52 01.3360195728 -41 02 34.855889928|358.7442367265209 -28.3459323510376|  -12.891 0.320   |10.310   |~              |    ~     ~    
71  |TYC 7938-2044-1                                                       |High Proper Motion Star               |19 50 59.1129902448 -40 51 10.462133376|358.9059968728315 -28.1131752838962| 68.805 -53.103   |10.709   |~              |    ~     ~    
72  |TYC 7942-481-1                                                        |Star                                  |19 51 37.0853202432 -41 26 39.106968540|358.2804857282599 -28.3583889878466|  10.964 -3.504   |10.40    |~              |    ~     ~    
73  |HD 187859                                                             |Star                                  |19 53 43.6621450128 -38 35 12.361561008|001.5438877722172 -28.1092621040106|  18.027 -7.733   |9.17     |G2V            |    ~     ~    
74  |HD 187629                                                             |Star                                  |19 52 32.3278682424 -39 27 45.286289172|000.5174005310648 -28.0884276024083|  7.012 -10.221   |9.22     |K3III          |    ~     ~    
75  |HD 187670                                                             |Star                                  |19 52 44.8477522272 -39 05 39.688804788|000.9339492645471 -28.0424682525510|    9.202 6.014   |9.86     |F6V            |    ~     ~    
76  |HD 187684                                                             |Star                                  |19 52 51.9140709024 -39 34 44.741728308|000.4051575412289 -28.1764124222185|    4.656 6.790   |8.80     |F2/3V          |    ~     ~    
77  |HD 187701                                                             |Star                                  |19 52 56.0561106768 -39 12 08.921267856|000.8242927424966 -28.1028009067802|  -1.649 -9.488   |9.74     |G0V            |    ~     ~    
78  |HD 187761                                                             |Star                                  |19 53 15.6498796968 -39 24 34.979104116|000.6120456308301 -28.2119852177355|  4.270 -15.991   |9.59     |ApSrEu         |    ~     ~    
79  |HD 187804                                                             |Star                                  |19 53 24.3285860712 -38 54 06.253385688|001.1800255141245 -28.1219187052794|   -5.688 6.039   |9.49     |K0III          |    ~     ~    
80  |HD 188049                                                             |Star                                  |19 54 48.2577582144 -39 24 17.755663896|000.6943058031749 -28.5012432809503|  -5.899 11.315   |8.50     |G6V            |    ~     ~    
81  |HD 188182                                                             |Star                                  |19 55 30.2309733408 -39 20 37.362155532|000.7968392440628 -28.6192033305695| 26.763 -11.933   |9.90     |F3/5V          |    ~     ~    
82  |HD 187743                                                             |Star                                  |19 53 11.2395087048 -40 16 44.368846500|359.6464778301018 -28.3939473713470| -28.264 -5.882   |9.50     |F3V            |    ~     ~    
83  |HD 187762                                                             |Chemically Peculiar Star              |19 53 20.6416674024 -40 22 20.128065132|359.5505438621357 -28.4436647191047|  0.928 -36.542   |8.95     |G8II/III       |    ~     ~    
84  |HD 187888                                                             |Star                                  |19 54 00.3634758648 -40 18 09.315399816|359.6594155813091 -28.5514369504562|   8.558 -9.307   |9.92     |A1V            |    ~     ~    
85  |CD-40 13548                                                           |High Proper Motion Star               |19 55 17.4005055528 -39 58 15.597517008|000.0893064220967 -28.7181892569496|-86.000 -105.530  |10.54    |G0             |    ~     ~    
86  |HD 188159                                                             |Star                                  |19 55 33.6606271104 -40 34 57.924159348|359.4203693774471 -28.9008352543437|   -2.940 7.250   |8.87     |K1III          |    ~     ~    
87  |HD 187805                                                             |Star                                  |19 53 33.6054856848 -40 43 22.964732616|359.1711990676174 -28.5602944852165|   20.843 5.494   |9.30     |F8/G0V         |    ~     ~    
88  |HD 187830                                                             |Star                                  |19 53 42.4937571552 -41 06 47.497317804|358.7439464242201 -28.6713156801717|  11.248 -3.556   |9.30     |A8/9V          |    ~     ~    
89  |HD 187954                                                             |Star                                  |19 54 18.8419078152 -40 48 47.287197072|359.1059463674603 -28.7190841849654| 19.698 -39.167   |9.32     |F5V            |    ~     ~    
90  |CD-39 13505                                                           |Star                                  |19 53 53.0316711240 -39 21 19.777726476|000.7032064854976 -28.3168032301715|   0.599 -8.711   |10.56    |~              |    ~     ~    
91  |TYC 7938-407-1                                                        |Star                                  |19 54 43.1910204768 -39 26 49.863912648|000.6432833400798 -28.4948761495136|  1.885 -10.015   |10.98    |~              |    ~     ~    
92  |CD-39 13515                                                           |Star                                  |19 55 29.8864262088 -39 00 31.505623452|001.1681351748504 -28.5424542150012|    0.278 2.663   |10.52    |~              |    ~     ~    
93  |CD-40 13524                                                           |Star                                  |19 52 40.1994638400 -40 21 05.933850228|359.5411336877043 -28.3138863568175|-21.953 -25.089   |10.560   |~              |    ~     ~    
94  |CD-40 13526                                                           |Star                                  |19 52 58.4526656640 -40 13 25.727779344|359.6973720219451 -28.3420568175991|   6.580 -3.629   |9.91     |~              |    ~     ~    
95  |HD 189056                                                             |Double or Multiple Star               |19 59 36.9714 -38 12 49.286            |002.2601560 -29.1460323            |    21.30 -1.20   |10.08    |F2/3V          |    ~     ~    
96  |TYC 7934-884-1                                                        |Star                                  |19 57 10.0131601848 -38 24 30.981798756|001.9185044754569 -28.7224356625559|   6.087 -4.285   |10.33    |~              |    ~     ~    
