C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:17:40

Vmag< 11&dec >=0&rah >=17.5&rah< 17.75
--------------------------------------

Number of objects : 4781

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
27  |BD+61 1694                                                            |Star                           |17 41 52.8796911720 +61 16 08.000007600|090.2451927962480 +31.8503793210901|    0.014 7.861   |9.70     |K0             |    ~     ~    
28  |BD+61 1696                                                            |Star                           |17 42 39.0621993864 +61 19 38.321875488|090.3122573953674 +31.7570787098072| -4.091 -17.395   |9.69     |K2             |    ~     ~    
29  |BD+61 1698                                                            |Star                           |17 43 16.5226420800 +61 32 48.964467732|090.5691708478395 +31.6793422530011|    6.716 3.440   |9.76     |K0             |    ~     ~    
30  |HD 161400                                                             |Star                           |17 41 34.7416931880 +60 20 27.802804776|089.1532061506951 +31.8984491410637|  -5.769 16.416   |8.46     |K0             |    ~     ~    
31  |BD+60 1778                                                            |Star                           |17 43 43.1374164796 +60 16 35.443818592|089.0762900337079 +31.6336682209722|   -3.465 5.126   |9.29     |K0             |    ~     ~    
32  |BD+60 1779                                                            |Spectroscopic Binary           |17 44 06.6962828064 +60 31 53.451514452|089.3757472938564 +31.5853335001901|   9.531 -7.423   |9.70     |K0             |    ~     ~    
33  |BD+60 1780                                                            |Star                           |17 44 26.7862015872 +60 34 25.552398900|089.4253511223597 +31.5441957169526|  0.438 -40.016   |8.58     |K0             |    ~     ~    
34  |HD 161990                                                             |High Proper Motion Star        |17 44 45.8100573744 +60 18 47.245874256|089.1197128778588 +31.5043752641839| -23.409 99.874   |8.34     |F8             |    ~     ~    
35  |BD+60 1782                                                            |Star                           |17 44 53.0334066384 +60 45 37.913399784|089.6444749897621 +31.4907321703190| -15.094 26.732   |10.06    |K0             |    ~     ~    
36  |HD 238745                                                             |High Proper Motion Star        |17 43 22.2304510920 +59 50 58.762634172|088.5746865001042 +31.6759314794263|  49.316 66.292   |9.59     |G0             |    ~     ~    
37  |HD 238749                                                             |Star                           |17 44 55.7881458000 +59 50 57.248850804|088.5758958090827 +31.4801357391066|  15.227 -1.360   |8.60     |K5             |    ~     ~    
38  |TYC 4199-1433-1                                                       |Star                           |17 40 29.9046008472 +61 01 25.230980136|089.9598020619303 +32.0215726780641| -7.386 -11.634   |10.69    |~              |    ~     ~    
39  |BD+61 1689                                                            |Star                           |17 39 19.1209513800 +61 42 22.793650704|090.7694576267739 +32.1456716729599|   0.515 33.843   |10.11    |F8             |    ~     ~    
40  |BD+61 1690                                                            |Star                           |17 39 30.5837243472 +61 42 15.400030968|090.7662094204358 +32.1231064346004|  0.096 -11.692   |9.29     |K0             |    ~     ~    
41  |BD+60 1771                                                            |Star                           |17 40 25.7151148944 +60 08 32.093564388|088.9203285287857 +32.0429319491769|   7.213 -6.645   |10.12    |K0             |    ~     ~    
42  |BD+60 1772                                                            |Star                           |17 40 28.8385550760 +60 04 27.105723228|088.8399797431936 +32.0370831150215| 25.670 -15.785   |10.54    |G              |    ~     ~    
43  |BD+60 1774                                                            |Star                           |17 40 35.1792277560 +59 58 06.626694612|088.7151897817309 +32.0247393750020| 10.011 -19.299   |9.14     |K5             |    ~     ~    
44  |IRAS 17397+6047                                                       |Star                           |17 40 22.5298310832 +60 46 26.874533640|089.6658115301710 +32.0410211227616|   -1.708 9.100   |9.00     |~              |    ~     ~    
45  |TYC 3901-127-1                                                        |Star                           |17 43 58.5176154192 +59 31 08.024915388|088.1868659121502 +31.5971710172292|   1.894 -5.652   |9.77     |~              |    ~     ~    
46  |TYC 3901-189-1                                                        |Star                           |17 44 19.6593860640 +59 30 22.718630808|088.1726734208180 +31.5523422216623|   8.067 10.562   |10.03    |~              |    ~     ~    
47  |TYC 3901-333-1                                                        |Star                           |17 42 57.3853429368 +59 14 18.858950196|087.8560342961908 +31.7241320396496| -10.177 -8.091   |10.82    |~              |    ~     ~    
48  |TYC 3901-727-1                                                        |Star                           |17 43 45.8919199968 +59 30 40.004157564|088.1774150083992 +31.6237804882418|  -1.386 14.519   |10.28    |~              |    ~     ~    
49  |TYC 3901-879-1                                                        |Star                           |17 42 46.2930052152 +59 26 32.786221164|088.0955150051047 +31.7493428014406|  -4.047 14.875   |10.42    |~              |    ~     ~    
50  |TYC 3901-1091-1                                                       |Star                           |17 41 48.1168142592 +59 15 23.741701848|087.8759804260829 +31.8718380161269|-20.983 -27.158   |9.88     |~              |    ~     ~    
51  |TYC 4199-560-1                                                        |Star                           |17 42 00.4023768408 +61 28 46.616469672|090.4929023558194 +31.8316910209901| 10.345 -26.203   |10.10    |~              |    ~     ~    
52  |TYC 4199-751-1                                                        |Star                           |17 41 05.2139111568 +61 21 36.757866924|090.3548221617580 +31.9439997366995| -0.334 -16.678   |10.32    |~              |    ~     ~    
53  |TYC 4199-1132-1                                                       |Star                           |17 41 59.1424875168 +60 27 14.014941516|089.2856319791036 +31.8473857499114|  -4.843 -2.151   |10.80    |~              |    ~     ~    
54  |TYC 4199-1158-1                                                       |High Proper Motion Star        |17 42 50.6014200000 +60 28 05.301185664|089.3016784754831 +31.7415971186811|-41.956 -86.047   |10.24    |~              |    ~     ~    
55  |TYC 4199-1272-1                                                       |Star                           |17 40 41.4702154176 +60 28 29.225639208|089.3121032747646 +32.0067119518835|   6.334 -9.306   |10.96    |~              |    ~     ~    
56  |TYC 4199-1341-1                                                       |High Proper Motion Star        |17 40 40.6501259832 +60 56 20.215063896|089.8594278592252 +32.0014142587684|  2.663 -76.114   |9.87     |~              |    ~     ~    
57  |TYC 4199-1511-1                                                       |Star                           |17 41 35.1587933136 +60 17 50.686922976|089.1017938407372 +31.8979103153045|   9.489 10.824   |10.80    |~              |    ~     ~    
58  |TYC 4200-1212-1                                                       |Star                           |17 43 04.1002408440 +60 46 47.455891392|089.6679707094884 +31.7123099632123|  -1.474 15.824   |9.89     |~              |    ~     ~    
59  |TYC 4200-1220-1                                                       |Star                           |17 43 50.3502916440 +60 48 10.221872184|089.6943909035370 +31.6181481895234|  -6.571 -4.625   |10.97    |~              |    ~     ~    
60  |TYC 4200-1366-1                                                       |Star                           |17 43 38.1669138864 +61 13 21.861519348|090.1877246485880 +31.6399569489740|    2.176 3.734   |10.90    |~              |    ~     ~    
61  |TYC 4200-1500-1                                                       |Star                           |17 44 52.1882019192 +61 23 45.932331336|090.3898077234050 +31.4905324750738|-15.076 -20.759   |10.67    |~              |    ~     ~    
62  |BD+60 1770                                                            |Double or Multiple Star        |17 40 15.394104 +60 25 19.44804        |089.250745684 +32.060979800        |        6.2 2.4   |10.630   |~              |    ~     ~    
63  |BD+64 1210                                                            |Star                           |17 38 29.9006884152 +64 29 57.507780192|094.0689490779082 +32.1039934307805|   8.236 -9.956   |10.37    |~              |    ~     ~    
64  |HD 161237                                                             |High Proper Motion Star        |17 39 41.3220123144 +64 32 11.066507052|094.1031426634390 +31.9738847309854|-103.055 -86.493  |8.37     |G5V            |    ~     ~    
65  |BD+64 1215                                                            |High Proper Motion Star        |17 41 41.5410558384 +64 06 24.926622228|093.5842524424900 +31.7804700301277|-128.277 -32.796  |9.81     |K0             |    ~     ~    
66  |BD+64 1216                                                            |Star                           |17 43 07.4526466536 +64 30 35.893068948|094.0487811205798 +31.6063937706040|    7.318 8.553   |9.48     |A2             |    ~     ~    
67  |HD 162050                                                             |Star                           |17 44 29.1603891000 +64 36 31.442402916|094.1569156345057 +31.4559023161379|    4.132 5.766   |9.06     |A0             |    ~     ~    
68  |TYC 4203-258-1                                                        |Star                           |17 40 22.4049820776 +63 04 17.433075540|092.3739482367385 +31.9735721039567|    7.591 3.782   |10.81    |G              |    ~     ~    
69  |BD+63 1367                                                            |Star                           |17 38 38.3802823176 +63 19 36.393622428|092.6856280793626 +32.1568447181637|   3.122 10.644   |10.07    |A0             |    ~     ~    
70  |BD+63 1368                                                            |High Proper Motion Star        |17 38 34.6774191240 +63 37 32.411886384|093.0385963894246 +32.1477728298879| 17.135 -52.140   |9.86     |F8             |    ~     ~    
71  |BD+63 1370                                                            |High Proper Motion Star        |17 40 09.3773488368 +63 23 22.528794444|092.7498439269923 +31.9839563816957|  -0.644 51.196   |8.62     |K0             |    ~     ~    
72  |BD+63 1372                                                            |Star                           |17 41 05.7070089600 +63 38 41.371631592|093.0445998120687 +31.8677068548522|  -2.274 -4.091   |9.47     |K              |    ~     ~    
73  |BD+63 1373                                                            |Star                           |17 44 06.6082349640 +63 27 03.030466320|092.8016273999700 +31.5396350363806|  -4.434 10.006   |10.60    |K              |    ~     ~    
74  |BD+62 1564                                                            |High Proper Motion Star        |17 39 28.4355193368 +62 13 44.768095572|091.3856806353363 +32.1097913800170|-100.515 -101.444 |10.54    |~              |    ~     ~    
75  |BD+62 1566                                                            |Star                           |17 41 58.7310841968 +62 23 03.541551828|091.5574594286689 +31.8138998348340|  -0.813 11.939   |10.06    |K2             |    ~     ~    
76  |HD 161673                                                             |Star                           |17 42 43.5691520304 +62 10 33.898837368|091.3099766885934 +31.7323694280768|  -8.855 11.721   |9.21     |A2             |    ~     ~    
77  |BD+62 1569                                                            |Star                           |17 43 12.7324820880 +62 45 37.348448868|091.9948130267490 +31.6614490174907|  1.873 -21.030   |9.12     |K2             |    ~     ~    
78  |BD+63 1364                                                            |Star                           |17 37 15.3603364224 +63 51 32.213842596|093.3240382523075 +32.2799573458103|    0.192 1.011   |9.13     |K0             |    ~     ~    
79  |TYC 4203-129-1                                                        |Star                           |17 37 41.4624739224 +63 22 16.791315996|092.7449662501148 +32.2606747550445|   6.971 -3.260   |10.35    |~              |    ~     ~    
80  |TYC 4203-358-1                                                        |Star                           |17 37 50.0927803608 +63 24 55.340878536|092.7958983112147 +32.2421367192243|  -0.202 -4.194   |9.79     |~              |    ~     ~    
81  |TYC 4203-1102-1                                                       |Star                           |17 39 42.3014994336 +61 59 57.888312864|091.1135978796045 +32.0907365730948|   0.807 -3.927   |10.10    |~              |    ~     ~    
82  |TYC 4204-1082-1                                                       |Star                           |17 44 47.5209901416 +63 22 28.261427808|092.7094989925663 +31.4656326473449|  1.508 -26.634   |10.43    |~              |    ~     ~    
83  |TYC 4204-1116-1                                                       |Star                           |17 44 04.8357792576 +63 22 34.893277428|092.7143948452609 +31.5452489398624| -28.359 34.713   |10.67    |~              |    ~     ~    
84  |TYC 4204-1559-1                                                       |Star                           |17 43 20.6999291328 +62 14 10.338820152|091.3787383937785 +31.6589118838223|   2.293 -3.567   |9.91     |~              |    ~     ~    
85  |TYC 4204-1727-1                                                       |Star                           |17 44 24.3874301688 +62 18 27.756590904|091.4598247114933 +31.5340637781567|   -1.406 3.482   |10.41    |~              |    ~     ~    
86  |TYC 4204-1732-1                                                       |Star                           |17 43 36.0184089744 +62 00 54.669984768|091.1184760768341 +31.6334161209859|   -7.884 6.271   |10.87    |~              |    ~     ~    
87  |TYC 4207-429-1                                                        |Star                           |17 38 34.9607187768 +64 34 30.606895848|094.1576087805576 +32.0900000824530| 15.578 -12.790   |10.40    |~              |    ~     ~    
88  |TYC 4207-976-1                                                        |Star                           |17 41 42.0886815768 +63 47 43.466997768|093.2181048840551 +31.7938858708960|   -0.560 3.348   |10.46    |~              |    ~     ~    
89  |TYC 4207-1207-1                                                       |Star                           |17 41 32.1615649848 +63 54 25.793478504|093.3504412594381 +31.8070095168136|  -2.409 -7.782   |10.83    |~              |    ~     ~    
90  |TYC 4207-1261-1                                                       |High Proper Motion Star        |17 40 22.4049455760 +64 27 57.735977256|094.0152510685589 +31.9044641177973|  27.109 50.744   |10.34    |~              |    ~     ~    
91  |TYC 4207-1266-1                                                       |High Proper Motion Star        |17 37 35.1330046584 +64 21 07.398390780|093.9030720798686 +32.2120077016398|   8.484 55.810   |10.60    |~              |    ~     ~    
92  |TYC 4208-429-1                                                        |Star                           |17 44 15.0262819152 +63 52 14.298088836|093.2932258567281 +31.5100911135136|-13.270 -13.114   |10.43    |~              |    ~     ~    
93  |TYC 4208-1333-1                                                       |Star                           |17 44 25.0110379152 +63 49 10.534173096|093.2326469605985 +31.4935343612260|-10.176 -23.278   |10.85    |~              |    ~     ~    
94  |BD+67 1020                                                            |Star                           |17 33 14.8605839472 +67 18 20.992827276|097.4310089361815 +32.3824151670802|  -6.876 14.247   |8.99     |K0             |    ~     ~    
95  |HD 160198                                                             |High Proper Motion Star        |17 33 18.0696418848 +67 12 13.389124932|097.3101977923017 +32.3891589780279|  -5.818 50.986   |7.65     |F2             |    ~     ~    
96  |BD+67 1022                                                            |Star                           |17 33 54.7132117920 +67 09 22.960348020|097.2465156490170 +32.3357342437394|   8.587 -6.415   |9.54     |F5             |    ~     ~    
97  |BD+67 1024                                                            |Star                           |17 34 21.3317433576 +67 12 37.813378428|097.3044549332078 +32.2869331323553|   -8.416 6.113   |9.87     |K0             |    ~     ~    
98  |BD+67 1025                                                            |Star                           |17 34 41.8346018952 +66 55 22.173146256|096.9619007194089 +32.2852360379904|  -3.570 -7.433   |8.85     |M0             |    ~     ~    
99  |HD 160862                                                             |Double or Multiple Star        |17 37 04.64147 +67 07 09.3185          |097.16442052 +32.03393908          |   12.87 -15.90   |8.02     |A2             |    ~     ~    
100 |HD 161617                                                             |Star                           |17 41 23.3477769600 +67 09 07.176193812|097.1581527095288 +31.6138646954742|  -5.445 19.227   |6.64     |K5             |    ~     ~    
101 |BD+67 1035                                                            |Star                           |17 44 56.6466661704 +67 23 58.089087816|097.4167930594233 +31.2527469862085|-10.851 -46.676   |8.58     |K2             |    ~     ~    
102 |HD 160289                                                             |Star                           |17 34 02.5069433520 +66 33 30.108296304|096.5411166596067 +32.3882883415021|   3.096 -1.498   |8.16     |K5             |    ~     ~    
103 |BD+66 1035                                                            |Star                           |17 35 31.3145551872 +66 09 54.431989308|096.0604338624285 +32.2801444809454|   5.511 33.220   |9.47     |F5             |    ~     ~    
104 |BD+66 1036                                                            |Star                           |17 35 47.9697528552 +66 45 32.681886480|096.7560621530161 +32.1944262732755|  5.817 -25.017   |9.18     |F8             |    ~     ~    
105 |BD+66 1037                                                            |Star                           |17 37 24.1662062280 +66 50 03.485651568|096.8262367268797 +32.0299138114742|   4.803 -1.402   |9.08     |K2             |    ~     ~    
106 |BD+66 1040                                                            |Star                           |17 40 00.7799444808 +66 47 02.821173036|096.7403603190302 +31.7784417781182| -5.645 -11.663   |10.07    |K0             |    ~     ~    
107 |BD+66 1041                                                            |Star                           |17 42 43.7203159536 +66 44 33.049136508|096.6671535668273 +31.5146390967791|   -3.626 1.406   |9.51     |K2             |    ~     ~    
108 |BD+66 1042                                                            |Star                           |17 43 01.8681590160 +66 06 42.727934520|095.9266496739994 +31.5274065055083|-22.611 -42.379   |9.66     |F8V            |    ~     ~    
109 |BD+66 1043                                                            |Star                           |17 43 20.3655316872 +66 02 33.927476208|095.8434297345192 +31.5005778129225|  -5.911 40.381   |10.00    |F8             |    ~     ~    
110 |BD+66 1046                                                            |Star                           |17 44 18.5203844088 +66 34 54.885977472|096.4668794076420 +31.3694408356952|  6.919 -23.958   |9.68     |K2             |    ~     ~    
111 |BD+66 1047                                                            |Double or Multiple Star        |17 44 55.6676 +66 27 52.739            |096.3253663 +31.3151746            |       15.9 6.8   |9.12     |F2             |    ~     ~    
112 |BD+65 1199                                                            |Star                           |17 37 09.9780795528 +65 36 09.794541636|095.3806526760787 +32.1627767563629|  -8.694 -0.505   |9.69     |K              |    ~     ~    
113 |BD+65 1201                                                            |Star                           |17 38 14.8913008128 +65 24 27.209451744|095.1404787584568 +32.0664313322774| -18.103 15.331   |9.41     |G0             |    ~     ~    
114 |BD+65 1202                                                            |Star                           |17 39 21.6669429024 +65 19 51.875348232|095.0405115213763 +31.9563844711737|   0.331 -5.950   |9.80     |K2             |    ~     ~    
115 |V* MS Dra                                                             |BY Dra Variable                |17 39 55.6940144688 +65 00 05.889381804|094.6484488467034 +31.9192554461473|-21.716 106.891   |8.40     |K0V            |    ~     ~    
116 |BD+65 1204                                                            |Star                           |17 39 49.5972754704 +65 28 13.434768192|095.2002434292982 +31.8982565030684|   4.088 -7.787   |9.35     |F5             |    ~     ~    
117 |BD+65 1205                                                            |Star                           |17 40 02.1751733424 +65 19 59.949900120|095.0374040189026 +31.8859549489725| -4.149 -15.961   |8.65     |K0             |    ~     ~    
118 |HD 161500                                                             |Star                           |17 41 10.3261071360 +65 13 10.255667304|094.8946594156775 +31.7748332935927|  -1.002 26.300   |8.46     |K1IIIbCN1.5Ca1 |    ~     ~    
119 |BD+65 1207                                                            |Star                           |17 41 29.6187760512 +65 41 25.542837996|095.4447610022390 +31.7113990881887|   9.394 -7.286   |10.03    |K0             |    ~     ~    
120 |BD+65 1208                                                            |Star                           |17 41 35.9522001144 +65 55 26.426590572|095.7178282145991 +31.6849915065402|  -2.917 -0.177   |8.54     |K4III          |    ~     ~    
121 |BD+65 1210                                                            |Star                           |17 41 59.9757537168 +65 29 52.518442596|095.2150629639274 +31.6715166888428|  -8.001 38.318   |9.67     |F2             |    ~     ~    
122 |BD+65 1211B                                                           |Star                           |17 42 25.1900708760 +65 01 01.866062532|094.6481996798230 +31.6556413442389|  -1.495 11.716   |9.93     |K2             |    ~     ~    
123 |BD+65 1211A                                                           |Star                           |17 42 24.5262011208 +65 00 58.961628432|094.6473286253335 +31.6568521427207|  -1.393 11.976   |9.82     |K2             |    ~     ~    
124 |HD 161052                                                             |Star                           |17 38 39.0518378640 +64 50 40.334019540|094.4742268283914 +32.0647392032931|   11.018 5.608   |8.13     |K0             |    ~     ~    
125 |BD+64 1213                                                            |Star                           |17 38 43.4498162376 +64 45 40.900684824|094.3756817436338 +32.0625726780402|  -4.607 17.776   |10.09    |F0             |    ~     ~    
126 |TYC 4207-56-1                                                         |Star                           |17 42 28.2897617640 +64 44 42.335368764|094.3286449860831 +31.6646696512442|  -1.798 -5.242   |10.76    |~              |    ~     ~    
127 |TYC 4207-67-1                                                         |Star                           |17 42 34.8514069344 +64 49 07.815233928|094.4144529280947 +31.6492082195954|  14.833 26.688   |10.75    |~              |    ~     ~    
128 |TYC 4207-309-1                                                        |Star                           |17 38 05.7433459992 +64 56 13.563942720|094.5880672712727 +32.1170318752162|  1.136 -22.442   |10.37    |~              |    ~     ~    
129 |TYC 4207-430-1                                                        |Star                           |17 35 58.6540630320 +65 26 43.652647572|095.2076175218322 +32.2986681432491|  -8.747 -8.827   |10.95    |~              |    ~     ~    
130 |TYC 4207-675-1                                                        |Star                           |17 38 42.1351766256 +65 21 00.081842904|095.0686252170583 +32.0235655729772| -2.760 -10.727   |10.20    |~              |    ~     ~    
131 |TYC 4207-987-1                                                        |Star                           |17 39 41.5427491752 +64 40 03.712451124|094.2575866412519 +31.9654393990255|  -5.777 14.360   |10.91    |~              |    ~     ~    
132 |TYC 4207-1059-1                                                       |Star                           |17 39 44.8792789632 +64 38 53.084495004|094.2340724643471 +31.9607130388362|      -3.5 34.8   |10.735   |~              |    ~     ~    
133 |TYC 4208-304-1                                                        |Star                           |17 44 48.5365615416 +65 28 39.318815784|095.1721202990652 +31.3817213863354|  15.048 10.410   |9.83     |~              |    ~     ~    
134 |TYC 4208-348-1                                                        |Star                           |17 44 02.8026916008 +64 45 47.596342176|094.3403000557735 +31.4960279286072|  -15.454 2.366   |10.41    |~              |    ~     ~    
135 |TYC 4208-614-1                                                        |Star                           |17 43 06.4220504280 +65 28 39.887121792|095.1834049593278 +31.5580520205729|  1.387 -13.873   |10.39    |~              |    ~     ~    
136 |IRAS 17442+6538                                                       |Star                           |17 44 19.6470964176 +65 37 22.777216320|095.3452797721307 +31.4239253990956|  -5.356 -3.807   |10.06    |~              |    ~     ~    
137 |TYC 4208-1244-1                                                       |Star                           |17 44 10.3251154560 +65 34 35.834238264|095.2920199979757 +31.4424397905302|   -6.968 2.516   |10.64    |~              |    ~     ~    
138 |TYC 4208-1699-1                                                       |Star                           |17 44 24.3959321448 +64 49 28.083216720|094.4100064580181 +31.4549792948174|   -0.263 0.865   |10.31    |~              |    ~     ~    
139 |TYC 4211-171-1                                                        |Star                           |17 41 52.7016014832 +67 17 19.131910044|097.3134976032417 +31.5555128891274|    6.253 1.479   |10.67    |~              |    ~     ~    
140 |TYC 4211-189-1                                                        |Star                           |17 40 56.6225241024 +67 15 47.874639672|097.2926474511190 +31.6475698997026|   0.160 -5.643   |10.37    |~              |    ~     ~    
141 |TYC 4211-209-1                                                        |Star                           |17 39 32.8002893904 +66 45 15.717805056|096.7100439023737 +31.8267720207195|   1.023 -6.211   |10.59    |~              |    ~     ~    
142 |TYC 4211-384-1                                                        |Star                           |17 35 28.0212008880 +66 24 11.481564204|096.3413100067401 +32.2626354109236|   22.368 2.784   |10.91    |~              |    ~     ~    
143 |TYC 4211-796-1                                                        |Star                           |17 34 36.6203103384 +66 47 00.405121812|096.7990181553332 +32.3085401111378|   -6.992 2.397   |10.21    |~              |    ~     ~    
144 |TYC 4211-836-1                                                        |Star                           |17 36 43.8989485848 +67 21 06.912547704|097.4414734556091 +32.0436683260194|   -1.275 1.327   |9.98     |~              |    ~     ~    
145 |TYC 4211-1008-1                                                       |Star                           |17 35 10.7201791176 +66 47 00.751078176|096.7922065181925 +32.2528268998862|   3.460 -9.882   |10.94    |~              |    ~     ~    
146 |TYC 4211-1124-1                                                       |Star                           |17 39 55.1500051416 +65 37 37.486617888|095.3835105176722 +31.8776040617988|  -7.296 28.945   |10.65    |~              |    ~     ~    
147 |TYC 4212-572-1                                                        |Star                           |17 43 53.9257785000 +66 31 49.660531536|096.4098108160114 +31.4134443889913|   5.694 -4.108   |10.53    |~              |    ~     ~    
148 |TYC 4212-609-1                                                        |Star                           |17 44 10.3705431408 +67 22 44.333379228|097.3990771170249 +31.3281534437665| -38.907 -9.119   |10.31    |~              |    ~     ~    
149 |TYC 4212-686-1                                                        |Star                           |17 42 55.4036118840 +65 57 07.590389184|095.7403950312663 +31.5484673389179|   5.178 14.687   |10.63    |~              |    ~     ~    
150 |TYC 4212-884-1                                                        |Star                           |17 42 54.4195295472 +65 42 07.166104344|095.4475482916857 +31.5655353515236| -6.165 -12.367   |10.64    |~              |    ~     ~    
151 |BD+70 942                                                             |High Proper Motion Star        |17 34 59.4416213232 +70 08 08.140234488|100.7205711940083 +31.8614216044094| -4.990 118.223   |10.26    |G0             |    ~     ~    
152 |BD+70 943                                                             |Star                           |17 35 27.3068373960 +70 05 14.750340504|100.6579596848418 +31.8290028278687|   3.527 -5.478   |9.78     |K5             |    ~     ~    
