C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3074|HD 212911                                                                                                |Star                                  |22 27 43.9457323776 +00 02 38.167979316|065.1621294369056 -46.0823321307407|-15.354 -43.261   |10.30    |G5                 |    ~     ~    |    1|  281.373   pc  |  -1.3063     +1.3063  |paral   |2020yCat.1350....0G
3075|HD 212944                                                                                                |High Proper Motion Star               |22 27 53.7547000512 +00 14 00.720550608|065.4062829225403 -45.9880498242898|  1.096 -91.745   |9.69     |G5V                |    ~     ~    |    1|   88.728   pc  |  -0.1267     +0.1267  |paral   |2020yCat.1350....0G
3076|HD 213161                                                                                                |High Proper Motion Star               |22 29 33.9685201056 +00 00 29.995616196|065.5611641309234 -46.4502028592903|  51.683 -8.728   |10.25    |G0                 |    ~     ~    |    1|  183.076   pc  |  -0.5497     +0.5497  |paral   |2020yCat.1350....0G
3077|HD 213212                                                                                                |Star                                  |22 29 48.2581414464 +00 10 28.107892740|065.7988256893763 -46.3846016040909|-26.588 -24.531   |9.96     |F8/G0              |    ~     ~    |    1|  307.437   pc  |  -9.6597     +9.6597  |paral   |2020yCat.1350....0G
3078|TYC 560-243-1                                                                                            |Star                                  |22 21 39.0146261880 +00 13 24.881378988|063.9421186047530 -44.8127388389293| -16.387 11.504   |10.86    |~                  |    ~     ~    |    1|  141.034   pc  |  -0.4833     +0.4833  |paral   |2020yCat.1350....0G
3079|TYC 560-529-1                                                                                            |High Proper Motion Star               |22 22 46.1187212496 +00 07 41.447568792|064.0951351537798 -45.0876009072573|  55.845 12.485   |10.80    |~                  |    ~     ~    |    1|  153.796   pc  |  -0.4470     +0.4470  |paral   |2020yCat.1350....0G
3080|TYC 560-583-1                                                                                            |Star                                  |22 24 11.3132702640 +00 04 05.986267500|064.3578521372917 -45.3964250484363| 36.603 -27.557   |10.91    |~                  |    ~     ~    |    1|  257.321   pc  |  -2.8141     +2.8141  |paral   |2020yCat.1350....0G
3081|TYC 560-1091-1                                                                                           |Star                                  |22 21 05.7664690056 +02 28 16.557820392|066.1724410988553 -43.2315967756245|-12.268 -29.846   |10.20    |F5                 |    ~     ~    |    1|  341.215   pc  |  -2.3635     +2.3635  |paral   |2020yCat.1350....0G
3082|BD+01 4601                                                                                               |Star                                  |22 19 34.5991097592 +01 59 53.430768960|065.3407465953640 -43.2612506337681| -12.388 -8.911   |10.08    |K0                 |    ~     ~    |    1|  695.894   pc  |  -7.8936     +7.8936  |paral   |2020yCat.1350....0G
3083|BD+01 4602                                                                                               |Star                                  |22 20 03.3716354064 +01 43 38.675169336|065.1689540294311 -43.5297445478688| -7.853 -11.249   |9.44     |K0                 |    ~     ~    |    1|  289.662   pc  |  -3.6834     +3.6834  |paral   |2020yCat.1350....0G
3084|BD+01 4603                                                                                               |Star                                  |22 20 34.5228061800 +02 02 14.738382564|065.6079243162195 -43.4226450020372| -3.414 -11.901   |9.38     |K0                 |    ~     ~    |    1|  339.743   pc  |  -3.9245     +3.9245  |paral   |2020yCat.1350....0G
3085|BD+00 4851                                                                                               |Star                                  |22 19 35.1702133632 +01 26 10.469807484|064.7592097528329 -43.6320896149323|-13.806 -17.479   |10.05    |G                  |    ~     ~    |    1|  536.308   pc  |  -8.2836     +8.2836  |paral   |2020yCat.1350....0G
3086|BD+00 4853                                                                                               |Star                                  |22 19 40.4953738128 +01 24 45.181424268|064.7544940824381 -43.6643640811929| 10.756 -33.125   |10.15    |G0                 |    ~     ~    |    1|  209.947   pc  |  -0.8727     +0.8727  |paral   |2020yCat.1350....0G
3087|BD+00 4855                                                                                               |Star                                  |22 20 18.2412000720 +01 34 02.079476184|065.0584957390149 -43.6817021730098|-16.265 -10.330   |9.70     |K0                 |    ~     ~    |    1|  554.970   pc  |  -6.9298     +6.9298  |paral   |2020yCat.1350....0G
3088|BD+00 4856                                                                                               |Star                                  |22 20 37.1546362944 +01 42 22.672743048|065.2749073696708 -43.6495474490712|   4.734 -8.506   |10.36    |K0                 |    ~     ~    |    1|  660.633   pc  | -29.7649    +29.7649  |paral   |2020yCat.1350....0G
3089|BD+00 4858                                                                                               |Star                                  |22 21 14.2385086176 +01 13 07.931753976|064.9061493636434 -44.0863193996248|-11.635 -11.681   |9.63     |F0                 |    ~     ~    |    1|  289.603   pc  |  -1.7026     +1.7026  |paral   |2020yCat.1350....0G
3090|BD-00 4338                                                                                               |Star                                  |22 19 13.5377333904 +00 31 05.745309132|063.7091247240431 -44.1595801136767|  8.769 -25.290   |9.80     |G5                 |    ~     ~    |    1|   91.206   pc  |  -0.2030     +0.2030  |paral   |2020yCat.1350....0G
3091|HD 211926                                                                                                |Star                                  |22 20 40.7565361152 +00 32 47.699826000|064.0673228833002 -44.4186447934363|   30.366 8.680   |8.37     |B8V                |    ~     ~    |    1|  430.422   pc  |  -9.1150     +9.1150  |paral   |2020yCat.1350....0G
3092|HD 211977                                                                                                |Star                                  |22 21 00.4415647632 +00 40 18.958219896|064.2753396907164 -44.3997360593451|-11.721 -18.701   |8.97     |A2/3V              |    ~     ~    |    1|  257.374   pc  | -15.8052    +15.8052  |paral   |2020yCat.1350....0G
3093|BD-00 4335                                                                                               |Star                                  |22 18 50.5742205480 +00 33 23.799504528|063.6641328266680 -44.0616967434233|  -2.727 -9.807   |10.45    |~                  |    ~     ~    |    1|  742.060   pc  | -19.8786    +19.8786  |paral   |2020yCat.1350....0G
3094|TYC 559-1774-1                                                                                           |Star                                  |22 19 08.5072583568 +00 36 58.801587012|063.7947168609430 -44.0803227027651|-12.809 -18.114   |10.88    |~                  |    ~     ~    |    1|  643.666   pc  | -10.0676    +10.0676  |paral   |2020yCat.1350....0G
3095|BD-00 4345                                                                                               |High Proper Motion Star               |22 20 58.6616920824 +00 37 37.308050076|064.2208000802950 -44.4232609561932|-80.646 -111.612  |10.79    |~                  |    ~     ~    |    1|  242.154   pc  |  -1.1845     +1.1845  |paral   |2020yCat.1350....0G
3096|HD 212570                                                                                                |Star                                  |22 25 20.1803996544 +02 23 36.337556256|067.0753548963694 -44.0688332098652| 17.665 -38.441   |9.33     |F2V                |    ~     ~    |    1|  242.207   pc  |  -1.1616     +1.1616  |paral   |2020yCat.1350....0G
3097|HD 212653                                                                                                |Star                                  |22 25 55.1529146304 +02 29 12.693547320|067.3083004899705 -44.1127914568970|   15.653 6.594   |9.13     |K2V                |    ~     ~    |    1|  551.785   pc  |  -7.5508     +7.5508  |paral   |2020yCat.1350....0G
3098|BD+01 4616                                                                                               |Star                                  |22 29 39.7726178352 +02 35 07.567840392|068.3026795451424 -44.7288884846069|-26.144 -17.024   |10.50    |G0                 |    ~     ~    |    1|  193.603   pc  |  -1.0757     +1.0757  |paral   |2020yCat.1350....0G
3099|BD+01 4604b                                                                                              |Star                                  |22 23 06.7995075912 +02 07 34.607469720|066.2822030613750 -43.8370690877068| -3.112 -22.338   |10.25    |F8                 |    ~     ~    |    1|  206.007   pc  |  -0.9931     +0.9931  |paral   |2020yCat.1350....0G
3100|BD+01 4604a                                                                                              |Star                                  |22 21 37.1993914728 +01 51 20.606016348|065.6585397236594 -43.7385462510536|   10.898 5.449   |10.38    |G0                 |    ~     ~    |    1|  260.994   pc  |  -1.2329     +1.2329  |paral   |2020yCat.1350....0G
3101|BD+01 4605                                                                                               |Star                                  |22 23 41.5734069072 +02 14 03.846762240|066.5279990767441 -43.8722579830648|-17.024 -20.343   |9.75     |K5                 |    ~     ~    |    1|  756.430   pc  | -13.0458    +13.0458  |paral   |2020yCat.1350....0G
3102|HD 212559                                                                                                |Star                                  |22 25 12.2953893576 +01 52 37.679111544|066.5116398488994 -44.3920743301087|  -9.012 -8.265   |9.32     |G8IV               |    ~     ~    |    1|  487.852   pc  |  -3.9984     +3.9984  |paral   |2020yCat.1350....0G
3103|BD+01 4611                                                                                               |Star                                  |22 26 03.5991348912 +01 58 31.244512296|066.8145743891037 -44.4842993334475| -5.201 -10.760   |9.90     |K0                 |    ~     ~    |    1|  583.192   pc  |  -6.2581     +6.2581  |paral   |2020yCat.1350....0G
3104|HD 212715                                                                                                |Star                                  |22 26 24.7015285680 +01 58 10.579080864|066.8916603820992 -44.5531023105615|    4.825 3.863   |8.56     |F2V                |    ~     ~    |    1|  439.309   pc  | -15.8640    +15.8640  |paral   |2020yCat.1350....0G
3105|HD 212849                                                                                                |Star                                  |22 27 09.0604847112 +02 04 32.211030360|067.1766019869169 -44.6177071401358|  7.081 -10.476   |9.09     |M2(III)            |    ~     ~    |    1| 1269.519   pc  | -56.4087    +56.4087  |paral   |2020yCat.1350....0G
3106|TYC 560-148-1                                                                                            |Star                                  |22 27 58.4867897760 +01 58 08.289809904|067.2623425035688 -44.8413639648155|   15.826 3.232   |10.20    |F                  |    ~     ~    |    1|  572.312   pc  |  -6.6163     +6.6163  |paral   |2020yCat.1350....0G
3107|BD+00 4859                                                                                               |Star                                  |22 21 26.2476731232 +01 28 59.378461032|065.2289100514007 -43.9503764659099|   5.293 -7.018   |10.15    |G0                 |    ~     ~    |    1|  741.125   pc  | -13.2373    +13.2373  |paral   |2020yCat.1350....0G
3108|BD+00 4860                                                                                               |Star                                  |22 21 34.2347725824 +01 15 39.934171548|065.0266347729613 -44.1214762398994| 12.452 -13.155   |10.75    |F8                 |    ~     ~    |    1|  288.326   pc  |  -1.6709     +1.6709  |paral   |2020yCat.1350....0G
3109|BD+00 4861                                                                                               |Spectroscopic Binary                  |22 22 01.8871182504 +00 46 46.285265208|064.6233606557076 -44.5238988034956|-52.431 -32.702   |9.20     |F0                 |    ~     ~    |    1|  139.688   pc  |  -1.6781     +1.6781  |paral   |2020yCat.1350....0G
3110|BD+00 4862                                                                                               |Star                                  |22 22 04.5775800336 +00 44 53.542111488|064.6003483885657 -44.5528364485259| 22.284 -10.428   |8.52     |K5                 |    ~     ~    |    1|  469.153   pc  |  -6.0749     +6.0749  |paral   |2020yCat.1350....0G
3111|BD+00 4864                                                                                               |Star                                  |22 22 10.8174722256 +01 37 34.582672524|065.5485553833020 -43.9953794745596| 35.032 -23.752   |9.99     |F8                 |    ~     ~    |    1|  218.598   pc  |  -0.9748     +0.9748  |paral   |2020yCat.1350....0G
3112|HD 212227                                                                                                |High Proper Motion Star               |22 22 45.2697730848 +00 49 15.451116780|064.8333197855845 -44.6335324785656| 53.234 -39.686   |9.11     |K0(III)            |    ~     ~    |    1|  286.074   pc  |  -1.3585     +1.3585  |paral   |2020yCat.1350....0G
3113|BD+00 4866                                                                                               |High Proper Motion Star               |22 23 10.6942357800 +01 09 34.013583540|065.2891217714518 -44.4909506039582| 41.351 -35.476   |10.29    |G0                 |    ~     ~    |    1|  238.362   pc  |  -1.2329     +1.2329  |paral   |2020yCat.1350....0G
3114|HD 212355                                                                                                |Star                                  |22 23 39.2702719248 +00 58 56.275126032|065.2121326543548 -44.6972229350717|   36.213 8.677   |9.38     |F0V                |    ~     ~    |    1|  253.286   pc  |  -4.8629     +4.8629  |paral   |2020yCat.1350....0G
3115|BD+00 4869                                                                                               |Star                                  |22 23 56.4701659896 +01 25 33.834189000|065.7461133161939 -44.4576541101433|   -3.759 1.941   |10.34    |K0                 |    ~     ~    |    1|  725.005   pc  | -12.0896    +12.0896  |paral   |2020yCat.1350....0G
3116|HD 212457                                                                                                |High Proper Motion Star               |22 24 25.0199796744 +01 11 26.203808328|065.6092784203762 -44.7027715307158|  64.718 13.953   |9.88     |G8                 |    ~     ~    |    1| 1192.890   pc  | -30.3096    +30.3096  |paral   |2020yCat.1350....0G
3117|HD 212527                                                                                                |Star                                  |22 24 52.8646557000 +01 15 34.445723364|065.7901764082383 -44.7438720921950|   -1.609 3.309   |9.95     |G8/K0(IV)          |    ~     ~    |    1|  250.181   pc  |  -2.6351     +2.6351  |paral   |2020yCat.1350....0G
3118|HD 212473                                                                                                |Star                                  |22 24 31.3346463744 +00 50 51.725675148|065.2708530700759 -44.9490769030273|  27.797 17.295   |9.70     |K0/1(III)          |    ~     ~    |    1|  548.456   pc  | -16.2735    +16.2735  |paral   |2020yCat.1350....0G
3119|HD 212737                                                                                                |Star                                  |22 26 32.7481557936 +01 21 15.944542452|066.2811207084573 -44.9909458438679|   8.858 20.033   |9.93     |G8/K0              |    ~     ~    |    1|  340.171   pc  |  -1.9209     +1.9209  |paral   |2020yCat.1350....0G
3120|HD 212811                                                                                                |Star                                  |22 27 02.0492100312 +00 26 44.569748328|065.4306453973324 -45.6861476647751|     24.7 -21.7   |10.52    |F8                 |    ~     ~    |    0|                |                       |        |                   
3121|HD 212835                                                                                                |Star                                  |22 27 09.6692761176 +01 13 14.345356440|066.2858730564113 -45.1947578859350|-27.872 -33.277   |10.37    |F2/3(V)            |    ~     ~    |    1|  249.863   pc  |  -1.3797     +1.3797  |paral   |2020yCat.1350....0G
3122|HD 212884                                                                                                |Star                                  |22 27 33.0614022408 +01 11 19.789210752|066.3448587671966 -45.2884769142908|  6.221 -14.547   |9.48     |F2V                |    ~     ~    |    1|  176.744   pc  |  -0.5373     +0.5373  |paral   |2020yCat.1350....0G
3123|HD 212924                                                                                                |Star                                  |22 27 49.5931181928 +01 39 26.369866656|066.9025806842582 -45.0247458296748|   27.251 3.307   |8.23     |F0/2V              |    ~     ~    |    1|  137.395   pc  |  -1.5857     +1.5857  |paral   |2020yCat.1350....0G
3124|HD 212990                                                                                                |High Proper Motion Star               |22 28 19.1678038248 +00 58 10.896437820|066.2958863129552 -45.5778436006140| 114.860 28.072   |9.59     |K0(III)            |    ~     ~    |    1|  129.217   pc  |  -0.3106     +0.3106  |paral   |2020yCat.1350....0G
3125|BD+00 4878                                                                                               |Star                                  |22 28 53.0588271864 +01 19 43.721409648|066.8109692707296 -45.4414472484269|   8.974 -0.371   |9.76     |K2                 |    ~     ~    |    1|  810.045   pc  | -10.6956    +10.6956  |paral   |2020yCat.1350....0G
3126|HD 213092                                                                                                |Double or Multiple Star               |22 29 01.316 +01 18 17.87              |066.818877 -45.482932              |      0.0 -49.0   |10.0     |F7V                |    ~     ~    |    0|                |                       |        |                   
3127|BD+00 4880C                                                                                              |Star                                  |22 29 00.7962221568 +01 16 48.899599968|066.7907399448299 -45.4979786205111| 21.824 -14.395   |10.23    |~                  |    ~     ~    |    1|  330.415   pc  |  -2.2162     +2.2162  |paral   |2020yCat.1350....0G
3128|HD 213180                                                                                                |High Proper Motion Star               |22 29 38.8356488664 +01 17 37.838374476|066.9576437855758 -45.6058373790479|-34.127 -44.077   |9.64     |K1(III)            |    ~     ~    |    1|  384.778   pc  |  -2.6650     +2.6650  |paral   |2020yCat.1350....0G
3129|HD 213211                                                                                                |Star                                  |22 29 50.7520947360 +01 39 05.674561596|067.3812533261820 -45.4001934186178|-18.351 -13.673   |10.25    |F8/G0V             |    ~     ~    |    1|  158.574   pc  |  -2.4064     +2.4064  |paral   |2020yCat.1350....0G
3130|HD 212079                                                                                                |Star                                  |22 21 41.0909526384 +00 38 36.163087620|064.3992906438695 -44.5469619904616|-30.745 -20.005   |7.82     |A0III/IV           |    ~     ~    |    1|  138.639   pc  |  -0.5497     +0.5497  |paral   |2020yCat.1350....0G
3131|HD 212318                                                                                                |Variable Star                         |22 23 27.6122557680 +00 36 31.011520608|064.7699225517185 -44.9059035173307| -17.963 -3.413   |6.942    |A5V                |    ~     ~    |    1|   97.945   pc  |  -1.3133     +1.3133  |paral   |2020yCat.1350....0G
3132|HD 212368                                                                                                |Star                                  |22 23 43.5563504483 +00 33 26.827591703|064.7766942202112 -44.9896148327859| 22.009 -12.435   |8.36     |A5IV/V             |    ~     ~    |    1|  163.763   pc  |  -2.9982     +2.9982  |paral   |2018yCat.1345....0G
3133|HD 212779                                                                                                |Star                                  |22 26 49.5768510528 +00 29 58.505245224|065.4393705066247 -45.6115461515857|  11.738 -3.149   |10.47    |F8                 |    ~     ~    |    1|  206.633   pc  |  -0.8241     +0.8241  |paral   |2020yCat.1350....0G
3134|HD 212778                                                                                                |Star                                  |22 26 51.9230112864 +00 43 12.764846460|065.6847286832619 -45.4728323132338|   4.380 -1.876   |9.08     |K2(III)            |    ~     ~    |    1|  687.758   pc  | -10.4535    +10.4535  |paral   |2020yCat.1350....0G
3135|HD 212885                                                                                                |Star                                  |22 27 30.3342515880 +00 26 46.805985312|065.5429513301955 -45.7741453658389|  -5.998 -7.558   |9.85     |G3/5V              |    ~     ~    |    1|  210.575   pc  |  -0.7183     +0.7183  |paral   |2020yCat.1350....0G
3136|HD 212902                                                                                                |Star                                  |22 27 35.3295775436 +00 40 22.233515451|065.8055295676568 -45.6395503336576| -10.812 -2.819   |9.873    |G8/K0(III)         |    ~     ~    |    1|  686.955   pc  | -11.6089    +11.6089  |paral   |2020yCat.1350....0G
3137|HD 212925                                                                                                |Star                                  |22 27 53.2710854400 +00 32 18.894217668|065.7328127718095 -45.7845872837176| -0.374 -12.252   |10.34    |G5                 |    ~     ~    |    1|  713.674   pc  | -10.1357    +10.1357  |paral   |2020yCat.1350....0G
3138|HD 212991                                                                                                |Star                                  |22 28 21.6857301288 +00 22 40.121262624|065.6727850128984 -45.9798235758176| -6.459 -10.507   |9.81     |K2                 |    ~     ~    |    1|  620.270   pc  |  -6.6559     +6.6559  |paral   |2020yCat.1350....0G
3139|HD 213064                                                                                                |Star                                  |22 28 54.2183451912 +00 27 33.980753844|065.8902329291126 -46.0269690288730|  19.013 -0.867   |9.42     |A8/9V              |    ~     ~    |    1|  218.288   pc  |  -4.9746     +4.9746  |paral   |2020yCat.1350....0G
3140|ADS 15912 B                                                                                              |Star                                  |22 24 52.9284716280 +01 15 40.573309068|065.7922169054760 -44.7429407616894|   -1.255 3.699   |10.8     |~                  |    ~     ~    |    1|  260.119   pc  |  -1.5021     +1.5021  |paral   |2020yCat.1350....0G
3141|LP 640-74                                                                                                |High Proper Motion Star               |22 29 05.8628181864 +01 39 48.171230856|067.2132640152470 -45.2547813603208|40.865 -195.854   |10.499   |M1V                |    ~     ~    |    1|   22.210   pc  |  -0.0120     +0.0120  |paral   |2020yCat.1350....0G
3142|TYC 560-1089-1                                                                                           |Star                                  |22 22 00.9404753904 +00 42 35.711988660|064.5457540031057 -44.5663372181658|   5.834 13.579   |10.84    |~                  |    ~     ~    |    1|  358.963   pc  |  -2.1905     +2.1905  |paral   |2020yCat.1350....0G
3143|TYC 560-700-1                                                                                            |High Proper Motion Star               |22 22 20.2474323816 +01 02 38.833594656|064.9737983914752 -44.4085072378285| 56.730 -16.430   |10.58    |~                  |    ~     ~    |    1|  195.909   pc  |  -1.8269     +1.8269  |paral   |2020yCat.1350....0G
3144|TYC 560-1160-1                                                                                           |Star                                  |22 23 25.6155205392 +01 01 19.329436776|065.2015143763494 -44.6282443604647| -9.706 -38.415   |10.98    |~                  |    ~     ~    |    1|  184.047   pc  |  -0.6436     +0.6436  |paral   |2020yCat.1350....0G
3145|TYC 560-1266-1                                                                                           |High Proper Motion Star               |22 23 47.0770257000 +00 35 14.896946328|064.8223541607498 -44.9810486399862|  84.678 36.570   |10.48    |~                  |    ~     ~    |    1|   98.212   pc  |  -0.1823     +0.1823  |paral   |2020yCat.1350....0G
3146|TYC 560-870-1                                                                                            |Star                                  |22 27 46.7261205600 +01 00 05.441003064|066.2007446353467 -45.4560462207908|    7.359 3.597   |10.20    |~                  |    ~     ~    |    1| 1247.505   pc  | -37.5061    +37.5061  |paral   |2020yCat.1350....0G
3147|TYC 560-716-1                                                                                            |Star                                  |22 28 49.2892746672 +01 02 06.627637212|066.4855117435579 -45.6271783768442|   9.725 -4.289   |10.88    |~                  |    ~     ~    |    1|  919.033   pc  | -12.5004    +12.5004  |paral   |2020yCat.1350....0G
3148|TYC 560-998-1                                                                                            |Star                                  |22 29 47.5823996040 +00 45 27.161741988|066.4235144330641 -45.9934988336475|  -0.538 -6.520   |10.79    |~                  |    ~     ~    |    1|   74.934   pc  |  -0.1039     +0.1039  |paral   |2020yCat.1350....0G
3149|TYC 559-1713-1                                                                                           |Star                                  |22 19 35.8134493656 +01 30 25.388085636|064.8355770049425 -43.5877735772558| -4.097 -10.438   |10.76    |~                  |    ~     ~    |    1|  295.902   pc  |  -2.0401     +2.0401  |paral   |2020yCat.1350....0G
3150|TYC 560-10-1                                                                                             |High Proper Motion Star               |22 29 58.1050329960 +01 50 15.296764380|067.6049504606754 -45.2961742400249|  64.169 41.682   |10.68    |~                  |    ~     ~    |    1|  200.819   pc  |  -0.7501     +0.7501  |paral   |2020yCat.1350....0G
3151|TYC 560-56-1                                                                                             |Star                                  |22 29 33.2457392856 +02 14 09.880315692|067.9176967023203 -44.9485848555188| 11.600 -41.821   |10.44    |~                  |    ~     ~    |    1|  263.797   pc  |  -3.6952     +3.6952  |paral   |2020yCat.1350....0G
3152|TYC 560-58-1                                                                                             |Star                                  |22 22 47.5377247032 +02 20 29.490486108|066.4294109220550 -43.6334793555164|  2.493 -35.266   |10.98    |~                  |    ~     ~    |    1|  286.058   pc  |  -1.6939     +1.6939  |paral   |2020yCat.1350....0G
3153|TYC 560-167-1                                                                                            |High Proper Motion Star               |22 20 08.9293013592 +00 29 12.093681912|063.8833700157635 -44.3562690466235|  80.631 56.074   |10.43    |~                  |    ~     ~    |    1|  135.665   pc  |  -0.4933     +0.4933  |paral   |2020yCat.1350....0G
3154|TYC 560-168-1                                                                                            |Star                                  |22 20 20.6009308488 +02 00 36.154665396|065.5268662079998 -43.3972843750870|   2.201 -1.133   |10.99    |~                  |    ~     ~    |    1|  912.492   pc  | -15.4039    +15.4039  |paral   |2020yCat.1350....0G
3155|TYC 560-376-1                                                                                            |Star                                  |22 21 17.0929607328 +02 12 52.080174180|065.9522643726494 -43.4378064641948|   20.358 0.579   |10.90    |~                  |    ~     ~    |    1|  365.390   pc  |  -2.1495     +2.1495  |paral   |2020yCat.1350....0G
3156|TYC 560-462-1                                                                                            |Star                                  |22 25 43.8421668816 +02 18 19.091746152|067.0775775880456 -44.2009961986981|   5.015 -3.319   |10.40    |~                  |    ~     ~    |    1|  629.604   pc  | -10.7425    +10.7425  |paral   |2020yCat.1350....0G
3157|TYC 560-688-1                                                                                            |Star                                  |22 23 14.7613811952 +01 17 57.997606200|065.4521245022393 -44.4112865826808| -44.419 -2.360   |10.93    |~                  |    ~     ~    |    1|  253.229   pc  |  -1.2953     +1.2953  |paral   |2020yCat.1350....0G
3158|TYC 560-702-1                                                                                            |Star                                  |22 22 02.7214703640 +01 18 46.019449692|065.1896463728650 -44.1769043216117|-11.779 -41.912   |10.97    |~                  |    ~     ~    |    1|  135.601   pc  |  -0.3641     +0.3641  |paral   |2020yCat.1350....0G
3159|TYC 560-749-1                                                                                            |Star                                  |22 28 21.7705041768 +01 21 21.865475520|066.7147591179443 -45.3267146119480|    2.675 7.198   |10.90    |~                  |    ~     ~    |    1|  683.340   pc  | -21.1063    +21.1063  |paral   |2020yCat.1350....0G
3160|TYC 560-814-1                                                                                            |Star                                  |22 27 35.6127199128 +02 12 11.167269372|067.4135513440020 -44.6125653072286|  -7.038 -7.264   |10.72    |~                  |    ~     ~    |    1|  446.748   pc  |  -9.4403     +9.4403  |paral   |2020yCat.1350....0G
3161|TYC 560-852-1                                                                                            |Star                                  |22 22 12.5366218056 +01 33 27.105633108|065.4834219991219 -44.0462055372231| 31.495 -26.039   |10.41    |~                  |    ~     ~    |    1|  195.998   pc  |  -0.8643     +0.8643  |paral   |2020yCat.1350....0G
3162|TYC 560-931-1                                                                                            |Star                                  |22 20 10.3302138744 +01 50 33.348212772|065.3147732727845 -43.4756996767634|  15.115 -9.598   |10.96    |~                  |    ~     ~    |    1|  950.119   pc  | -16.5199    +16.5199  |paral   |2020yCat.1350....0G
3163|TYC 560-1050-1                                                                                           |Star                                  |22 25 22.6046235888 +00 43 49.529860716|065.3454886941011 -45.1869889166331|   -4.543 6.815   |10.67    |~                  |    ~     ~    |    1|  380.706   pc  |  -2.4060     +2.4060  |paral   |2020yCat.1350....0G
3164|TYC 560-1058-1                                                                                           |Star                                  |22 20 00.8242564440 +00 44 03.815648952|064.1165441959083 -44.1702263922003|   6.552 15.645   |10.98    |~                  |    ~     ~    |    1|  289.017   pc  |  -1.6957     +1.6957  |paral   |2020yCat.1350....0G
3165|TYC 560-1179-1                                                                                           |Star                                  |22 28 49.8248593560 +01 58 32.437723296|067.4741853843582 -44.9938254727669| 28.325 -11.828   |10.80    |~                  |    ~     ~    |    1|  498.058   pc  | -32.5208    +32.5208  |paral   |2020yCat.1350....0G
3166|TYC 563-3-1                                                                                              |Star                                  |22 29 53.7137064504 +02 33 31.600035144|068.3315849099240 -44.7893596920056| 13.085 -34.335   |10.98    |~                  |    ~     ~    |    1|  246.463   pc  |  -1.2513     +1.2513  |paral   |2020yCat.1350....0G
3167|* pi. Aqr                                                                                                |Be Star                               |22 25 16.6228499 +01 22 38.634579      |066.0067275055 -44.7394374784      |     17.83 2.41   |4.64     |B1III-IVe          |    ~     ~    |    0|                |                       |        |                   
3168|BD+01 4609                                                                                               |Star                                  |22 25 42.8642004624 +01 52 27.840976212|066.6284597840627 -44.4882847390370|   2.252 -4.645   |10.21    |M3III:             |    ~     ~    |    1|  827.472   pc  | -32.4553    +32.4553  |paral   |2020yCat.1350....0G
3169|BD+02 4489                                                                                               |Star                                  |22 18 24.2159270784 +02 43 45.337751976|065.8247459158668 -42.5579151835892|  32.448 12.251   |10.17    |F8                 |    ~     ~    |    1|  207.207   pc  |  -3.9457     +3.9457  |paral   |2020yCat.1350....0G
3170|V* UW Peg                                                                                                |Long-Period Variable                  |22 18 10.6981993944 +02 43 50.284886016|065.7754985448765 -42.5149004880322|    0.048 1.372   |9.65     |M7                 |    ~     ~    |    1|  697.983   pc  | -21.6308    +21.6308  |paral   |2020yCat.1350....0G
3171|BD+04 4838                                                                                               |Star                                  |22 17 50.2151520216 +04 44 28.963554828|067.6981048395228 -41.1017157609467|   1.582 17.438   |10.96    |G0                 |    ~     ~    |    1|  109.789   pc  |  -0.1627     +0.1627  |paral   |2020yCat.1350....0G
3172|HD 211231                                                                                                |Star                                  |22 15 38.6285986416 +04 16 17.014133244|066.7488907063645 -41.0159415609100|-29.341 -22.178   |7.36     |A9(V)              |    ~     ~    |    1|  101.727   pc  |  -2.7920     +2.7920  |paral   |2020yCat.1350....0G
3173|BD+03 4693                                                                                               |Star                                  |22 17 56.5249182744 +03 56 18.553235568|066.9335116038468 -41.6640533756044|   20.005 3.822   |10.71    |F8                 |    ~     ~    |    1|  196.259   pc  |  -0.9052     +0.9052  |paral   |2020yCat.1350....0G
3174|HD 211305                                                                                                |Star                                  |22 16 05.3817221256 +03 14 44.621824524|065.8291621491771 -41.7830272308151|  -36.093 0.118   |8.78     |G8IV               |    ~     ~    |    1|  358.307   pc  |  -6.0726     +6.0726  |paral   |2020yCat.1350....0G
3175|BD+02 4484                                                                                               |Star                                  |22 16 25.9247140968 +03 42 04.109732280|066.3602812820230 -41.5437194640406|   39.228 4.147   |10.76    |G5                 |    ~     ~    |    1|  137.519   pc  |  -0.3688     +0.3688  |paral   |2020yCat.1350....0G
3176|BD+02 4485                                                                                               |Star                                  |22 16 54.4694658168 +03 02 14.869333356|065.8016551169469 -42.0739964612123| -3.664 -12.887   |8.89     |M0                 |    ~     ~    |    1|  933.620   pc  | -36.8706    +36.8706  |paral   |2020yCat.1350....0G
