C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |HD 212247                                                                                                |Star                                  |22 21 58.2617015832 +43 44 41.715531960|096.3744136832812 -11.2859658553710|-24.865 -26.186   |7.96     |K2                 |    ~     ~    |    1|  242.002   pc  |  -0.9839     +0.9839  |paral   |2020yCat.1350....0G
33  |BD+43 4179                                                                                               |Star                                  |22 22 08.9105988000 +43 49 42.591718704|096.4485898290318 -11.2338238789078|  -3.504 -3.983   |9.76     |A0                 |    ~     ~    |    1| 1641.767   pc  | -50.1344    +50.1344  |paral   |2020yCat.1350....0G
34  |BD+43 4191                                                                                               |Double or Multiple Star               |22 24 14.248392 +44 02 48.81300        |096.891369335 -11.256636228        |      -3.7 -3.5   |9.212    |F8                 |    ~     ~    |    0|                |                       |        |                   
35  |BD+43 4199                                                                                               |Pulsating Variable                    |22 25 44.6104666056 +43 53 41.208685260|097.0397461015724 -11.5312388579017|   0.026 -1.677   |9.42     |B8                 |    ~     ~    |    1| 1249.844   pc  | -31.0860    +31.0860  |paral   |2020yCat.1350....0G
36  |BD+42 4354                                                                                               |High Proper Motion Star               |22 19 20.4864918288 +43 18 30.024258804|095.7229035827312 -11.3845762843201|  58.988 24.933   |8.84     |G5                 |    ~     ~    |    1|  181.994   pc  |  -0.4173     +0.4173  |paral   |2020yCat.1350....0G
37  |BD+42 4355                                                                                               |Star                                  |22 19 32.8373893800 +43 37 24.141146448|095.9339476824922 -11.1441591081425|  19.272 -1.441   |9.46     |K2                 |    ~     ~    |    1|  464.080   pc  |  -2.6921     +2.6921  |paral   |2020yCat.1350....0G
38  |BD+42 4364                                                                                               |Star                                  |22 21 52.0714496808 +42 49 33.298750812|095.8407108315108 -12.0420943539182|  -7.738 -7.331   |9.42     |K                  |    ~     ~    |    1|  901.063   pc  | -10.2301    +10.2301  |paral   |2020yCat.1350....0G
39  |BD+42 4365                                                                                               |Star                                  |22 21 52.3730140152 +43 12 58.329862056|096.0617614729335 -11.7172378030158| 10.385 -41.014   |8.50     |K0                 |    ~     ~    |    1|  523.341   pc  |  -4.8752     +4.8752  |paral   |2020yCat.1350....0G
40  |BD+42 4367                                                                                               |Star                                  |22 21 55.4891636544 +43 21 19.678574988|096.1482697261159 -11.6063064867994|   1.868 -3.409   |8.94     |G5                 |    ~     ~    |    1|  383.980   pc  |  -2.0494     +2.0494  |paral   |2020yCat.1350....0G
41  |BD+42 4370                                                                                               |Star                                  |22 22 41.3806544688 +42 57 04.276887948|096.0397353885683 -12.0205694459484|  -0.802 -4.811   |9.29     |B8                 |    ~     ~    |    1|  618.582   pc  |  -6.6963     +6.6963  |paral   |2020yCat.1350....0G
