C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:51:28

Vmag< 11&dec< 0&rah >=20.0&rah< 20.25
-------------------------------------

Number of objects : 4696

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
748 |TYC 6917-1238-1                                                                                          |Star                                  |20 06 49.5856170648 -29 34 58.042714620|012.2150573306376 -28.3683122945844|  -6.915 -5.760    |10.847   |~              |    ~     ~    
749 |TYC 6918-783-1                                                                                           |Star                                  |20 13 57.7237639152 -28 29 43.384149456|013.9198571339743 -29.5472590711657|   0.820 -6.303    |10.97    |~              |    ~     ~    
750 |CD-25 14504                                                                                              |Star                                  |20 01 31.8712041264 -24 50 44.659955760|016.8563411822875 -25.7700911066117|   3.703 -4.744    |9.58     |~              |    ~     ~    
751 |CD-25 14517                                                                                              |Star                                  |20 03 27.5922537312 -25 08 17.038263336|016.7110946411203 -26.2794136162071|    2.598 1.243    |10.090   |~              |    ~     ~    
752 |HD 189363                                                                                                |Star                                  |20 00 36.8329291368 -25 42 09.823130676|015.8818422190149 -25.8587774546323|      17.8 -5.1    |8.69     |F5             |    ~     ~    
753 |HD 189326                                                                                                |Star                                  |20 00 24.6929844864 -25 53 51.545976432|015.6606058341391 -25.8797871747951| -0.297 -25.807    |8.85     |K1III          |    ~     ~    
754 |HD 189364                                                                                                |Star                                  |20 00 38.6056705776 -25 56 34.140266268|015.6321479637044 -25.9438422406424| 19.247 -27.997    |8.98     |K3III          |    ~     ~    
755 |HD 189419                                                                                                |Star                                  |20 00 54.9330673008 -26 13 25.213380816|015.3588570615161 -26.0931611691819|   16.836 5.636    |7.94     |A9V            |    ~     ~    
756 |HD 189466                                                                                                |Star                                  |20 01 04.6929581976 -26 03 55.279391040|015.5387616598944 -26.0761892054002| 34.006 -16.273    |9.77     |A1V            |    ~     ~    
757 |CD-26 14717                                                                                              |Double or Multiple Star               |20 01 10.9539 -26 35 58.158            |014.9840651 -26.2711815            |   1.700 -8.907    |9.99     |~              |    ~     ~    
758 |HD 189829                                                                                                |Star                                  |20 03 00.9365316504 -26 02 29.780781324|015.7213696292407 -26.4800373330563|  20.015 -3.544    |8.27     |A1V            |    ~     ~    
759 |HD 189872                                                                                                |Star                                  |20 03 15.4454383944 -26 37 59.369325492|015.1142822634771 -26.7213050713008|   13.842 6.041    |9.18     |K1/2III        |    ~     ~    
760 |HD 189400B                                                                                               |Star                                  |20 00 53.5612148616 -27 10 57.975011904|014.3443067205414 -26.3962666788654|  14.340 -6.525    |9.48     |A7/9           |    ~     ~    
761 |CD-26 14745                                                                                              |Star                                  |20 03 11.8571014128 -26 29 40.117521876|015.2566059013576 -26.6643606692826|    7.215 0.993    |10.49    |~              |    ~     ~    
762 |CD-25 14496                                                                                              |Star                                  |20 01 04.6567907160 -25 08 50.074798344|016.5026420598700 -25.7737795790243|  4.458 -20.194    |10.005   |~              |    ~     ~    
763 |CD-25 14501                                                                                              |Star                                  |20 01 24.9345538632 -25 04 59.996417232|016.5978576514867 -25.8246563600040|  10.034 -7.827    |10.158   |~              |    ~     ~    
764 |CD-27 14471                                                                                              |Star                                  |20 01 34.7791081680 -27 11 47.724082512|014.3837402077567 -26.5455370397484|    5.086 6.345    |10.448   |~              |    ~     ~    
765 |CD-25 14506                                                                                              |Star                                  |20 02 06.4864114656 -25 38 03.697786932|016.0767349950594 -26.1543362666805|   8.017 -7.343    |9.65     |~              |    ~     ~    
766 |CD-27 14479                                                                                              |Star                                  |20 02 32.5495590600 -26 57 52.081422696|014.7059102121590 -26.6753266795141|  -3.192 -9.937    |10.828   |~              |    ~     ~    
767 |CD-27 14491                                                                                              |Long-Period Variable Candidate        |20 03 27.2587925808 -26 51 43.888477032|014.8866575828517 -26.8357285438886|  -6.681 -9.204    |10.30    |~              |    ~     ~    
768 |TYC 6896-620-1                                                                                           |Star                                  |20 03 27.8455443648 -25 58 24.700430388|015.8297968537119 -26.5533551438648|  11.241 -1.826    |10.894   |~              |    ~     ~    
769 |TYC 6900-294-1                                                                                           |Star                                  |20 02 50.4844034712 -26 41 23.672031468|015.0209256542020 -26.6512908731390|  -0.438 -1.710    |10.962   |~              |    ~     ~    
770 |TYC 6900-536-1                                                                                           |Star                                  |20 01 55.5760373568 -26 45 58.106052396|014.8672675160881 -26.4819457272801|   5.495 -0.129    |10.64    |~              |    ~     ~    
771 |HD 190304                                                                                                |Star                                  |20 05 14.0401336080 -25 03 28.797073992|016.9432941090745 -26.6322916802838|   2.995 10.489    |8.82     |K1/2III        |    ~     ~    
772 |HD 190456                                                                                                |Star                                  |20 05 54.7760936568 -25 14 43.052445780|016.8014938173274 -26.8388010409163| 17.019 -19.191    |9.81     |A5III          |    ~     ~    
773 |HD 190577                                                                                                |Star                                  |20 06 36.4502720544 -25 34 35.749252200|016.5070500077211 -27.0947184991101|  27.048 -5.909    |8.74     |K5(III)        |    ~     ~    
774 |HD 190102                                                                                                |High Proper Motion Star               |20 04 18.0998562336 -26 19 46.344871488|015.5201464531135 -26.8458389390943| 32.795 -77.409    |8.16     |G1V            |    ~     ~    
775 |CD-26 14759                                                                                              |Star                                  |20 04 33.2731417824 -26 26 44.085279732|015.4171065866245 -26.9365436030936|  -5.038 -6.195    |10.41    |~              |    ~     ~    
776 |CD-26 14771                                                                                              |Star                                  |20 05 47.8564795296 -26 12 49.267661904|015.7635102058565 -27.1266503899061|    8.910 1.344    |10.51    |~              |    ~     ~    
777 |HD 190503                                                                                                |Star                                  |20 06 11.1424338744 -26 28 40.772486820|015.5127388569741 -27.2930230032503|   3.031 -1.729    |9.12     |K0III          |    ~     ~    
778 |HD 190618                                                                                                |Star                                  |20 06 46.6995258768 -26 26 05.424115056|015.6060246725418 -27.4052265159123|   8.466 -2.334    |8.01     |K3V            |    ~     ~    
779 |HD 190285                                                                                                |Star                                  |20 05 12.0095308512 -26 48 47.754087084|015.0767557448089 -27.1898219506163|  10.734 -8.837    |7.22     |A1V            |    ~     ~    
780 |CD-27 14527                                                                                              |Star                                  |20 06 29.2654729368 -26 39 36.626977692|015.3420595077172 -27.4145572396257| -0.617 -19.861    |9.75     |~              |    ~     ~    
781 |CD-25 14522                                                                                              |Star                                  |20 03 46.7971308576 -25 24 20.077296444|016.4557046826380 -26.4357167485400|   2.972 -4.609    |10.735   |~              |    ~     ~    
782 |CD-26 14752                                                                                              |Star                                  |20 04 10.7652626424 -25 56 04.606842156|015.9291386096725 -26.6929356942196|  3.344 -10.635    |10.39    |~              |    ~     ~    
783 |CD-26 14755                                                                                              |Star                                  |20 04 20.7632162832 -26 04 04.829361060|015.8012695293689 -26.7713829936036|  0.142 -13.723    |10.85    |~              |    ~     ~    
784 |CD-25 14537                                                                                              |Star                                  |20 04 51.3357180480 -25 37 37.455579660|016.3100636389184 -26.7373644469040|   11.426 4.552    |10.635   |~              |    ~     ~    
785 |CD-26 14769                                                                                              |Star                                  |20 05 29.2686133416 -25 57 15.633550224|016.0143960881407 -26.9777431295218|  -2.618 -3.018    |9.7      |~              |    ~     ~    
786 |CD-25 14544                                                                                              |Star                                  |20 05 31.5676708104 -25 15 02.216202984|016.7638535787874 -26.7578722687216| 20.783 -41.080    |10.395   |~              |    ~     ~    
787 |CD-26 14776                                                                                              |Star                                  |20 05 56.6479675512 -26 23 02.468615100|015.5937337661746 -27.2119607169052|    3.035 3.223    |10.30    |~              |    ~     ~    
788 |CD-25 14551                                                                                              |Star                                  |20 05 59.5218726168 -25 09 46.073255868|016.8954207977625 -26.8287611292408|   8.718 -0.447    |10.334   |~              |    ~     ~    
789 |CD-25 14552                                                                                              |Star                                  |20 06 15.7768828416 -24 54 41.667631272|017.1839039204607 -26.8043832471195|  -3.353 -8.259    |9.97     |~              |    ~     ~    
790 |HD 190950                                                                                                |Double or Multiple Star               |20 08 21.1933 -24 35 21.187            |017.7005731 -27.1465909            |     19.9 -14.3    |9.51     |F3V            |    ~     ~    
791 |HD 191537                                                                                                |Star                                  |20 11 15.9082090776 -24 34 04.617790860|017.9674868249218 -27.7651553254699|   7.803 -3.063    |10.011   |F5V            |    ~     ~    
792 |HD 191579                                                                                                |Star                                  |20 11 28.6994562216 -24 13 36.829007184|018.3495312881917 -27.6994221382041| 13.837 -26.867    |8.33     |A4/5IV         |    ~     ~    
793 |HD 191679                                                                                                |Star                                  |20 12 00.7086440328 -24 16 41.439832752|018.3398610304050 -27.8311158703277|  20.584 -4.914    |9.05     |K0III/IV       |    ~     ~    
794 |CD-25 14558                                                                                              |Double or Multiple Star               |20 07 03.2956634952 -25 09 05.742390852|016.9953637501476 -27.0524496971969|  8.091 -11.819    |10.299   |~              |    ~     ~    
795 |HD 190705                                                                                                |Star                                  |20 07 06.8078346984 -24 46 25.930757784|017.4008050714662 -26.9413491451430|   4.852 -9.303    |9.679    |F0V            |    ~     ~    
796 |CD-25 14561                                                                                              |Star                                  |20 07 18.0696912744 -25 23 27.865767912|016.7612023270879 -27.1828711957961|  17.793 -0.866    |9.80     |~              |    ~     ~    
797 |CD-25 14568                                                                                              |High Proper Motion Star               |20 08 25.9199152704 -25 30 18.241449984|016.7324304081675 -27.4612747983568|12.006 -164.423    |10.039   |~              |    ~     ~    
798 |HD 191005                                                                                                |Star                                  |20 08 30.8858915520 -24 41 50.005992552|017.5994424078984 -27.2167294443227| 12.192 -25.382    |9.43     |K0III          |    ~     ~    
799 |HD 191088                                                                                                |Star                                  |20 09 05.9838483888 -25 30 35.176786524|016.7819498731324 -27.6054725681958|   3.630 -4.135    |9.49     |A5IV           |    ~     ~    
800 |HD 191165                                                                                                |Star                                  |20 09 28.6230336648 -25 25 21.679864032|016.9058834932181 -27.6582047286731|-19.400 -11.669    |10.005   |F5/6V          |    ~     ~    
801 |HD 191213                                                                                                |Spectroscopic Binary                  |20 09 39.1640940312 -25 31 49.280783232|016.8050406156749 -27.7302570920616|  41.053 -9.740    |9.90     |G1V            |    ~     ~    
802 |HD 191288                                                                                                |Star                                  |20 10 02.8538112072 -24 57 00.569304756|017.4577882015084 -27.6279786668642|    3.478 4.902    |10.096   |A9V+F/G        |    ~     ~    
803 |HD 191300                                                                                                |Star                                  |20 10 06.4619549328 -25 11 34.026099432|017.2034838782671 -27.7192584989134|    8.188 0.957    |8.65     |K2/3           |    ~     ~    
804 |HD 191392                                                                                                |Star                                  |20 10 27.2936465784 -24 55 27.439555476|017.5192028648232 -27.7069543231181|   -6.199 9.938    |8.32     |K0III          |    ~     ~    
805 |HD 191661                                                                                                |Star                                  |20 11 51.2686952352 -24 52 44.584934016|017.6836662877789 -27.9926512970654| 27.238 -22.641    |10.10    |G5V            |    ~     ~    
806 |HD 191845                                                                                                |Star                                  |20 12 47.3089906704 -24 48 15.858889128|017.8412108462626 -28.1691481652537|    3.802 1.775    |8.46     |K2III          |    ~     ~    
807 |HD 191934                                                                                                |Star                                  |20 13 08.9092913280 -24 52 03.383254164|017.8031374655316 -28.2668214977836|  3.235 -15.947    |8.95     |B9.5/A0V       |    ~     ~    
808 |CD-25 14627                                                                                              |High Proper Motion Star               |20 14 10.3016069520 -25 08 54.982334148|017.5846486422055 -28.5763014282945| 79.813 -52.927    |10.22    |~              |    ~     ~    
809 |HD 192054                                                                                                |Star                                  |20 13 51.8238799152 -25 44 38.353962264|016.9159425030777 -28.6981869636936|  30.981 29.134    |9.46     |G6/8IV         |    ~     ~    
810 |CD-26 14801                                                                                              |Star                                  |20 07 46.3043526339 -26 23 20.373875163|015.7341721388725 -27.6018416550251|  4.748 -47.449    |9.730    |~              |    ~     ~    
811 |HD 191052                                                                                                |High Proper Motion Star               |20 08 51.4676102112 -25 55 58.365500736|016.3096390869396 -27.6888110121879|-16.656 -72.681    |8.73     |G6V            |    ~     ~    
812 |HD 191269                                                                                                |Star                                  |20 10 00.4054662288 -25 52 20.969925636|016.4669818858369 -27.9147266557654| -13.624 24.715    |8.54     |G6/8IVCNIII    |    ~     ~    
813 |HD 191484                                                                                                |Star                                  |20 11 04.3076503152 -26 25 52.008873996|015.9505421412736 -28.3168495075693| -8.879 -21.347    |9.36     |K1III          |    ~     ~    
814 |HD 191680                                                                                                |Star                                  |20 12 02.5433010600 -26 21 45.746427132|016.1011504320043 -28.5022452504058| -9.946 -40.024    |9.51     |G3V            |    ~     ~    
815 |CD-26 14857                                                                                              |Star                                  |20 12 48.9347735016 -26 33 31.997242224|015.9494332612010 -28.7273981855791|-32.134 -26.263    |9.76     |~              |    ~     ~    
816 |HD 191863                                                                                                |Star                                  |20 12 55.9833908952 -26 11 26.629894032|016.3578320505827 -28.6387105111969|   5.542 -4.890    |9.04     |K1III          |    ~     ~    
817 |HD 191908                                                                                                |Star                                  |20 13 07.9711872984 -26 03 15.513600636|016.5214531819234 -28.6389283350339| 25.080 -20.234    |9.41     |G8IV           |    ~     ~    
818 |HD 192069                                                                                                |Star                                  |20 13 55.7630583912 -26 30 47.207589840|016.0864365659770 -28.9504496275895|  10.700 -0.755    |9.67     |A8V            |    ~     ~    
819 |CD-26 14874                                                                                              |Star                                  |20 14 13.9750537944 -26 01 23.833093224|016.6426860057245 -28.8641494472754|   6.990 -7.188    |10.180   |~              |    ~     ~    
820 |HD 192214                                                                                                |Star                                  |20 14 37.7748715272 -26 18 11.397773124|016.3698885962167 -29.0352397380120| 13.533 -18.245    |9.782    |F5/6V+(G)      |    ~     ~    
821 |CD-26 14790                                                                                              |Star                                  |20 06 54.5185856400 -26 13 05.324509704|015.8479228177028 -27.3643100259196|  23.045 -8.068    |10.849   |~              |    ~     ~    
822 |CD-26 14792                                                                                              |Star                                  |20 07 10.1047205544 -26 14 48.766223688|015.8380403010085 -27.4286694648275|  -2.571 -5.480    |10.06    |~              |    ~     ~    
823 |CD-25 14562                                                                                              |Star                                  |20 07 22.4566339944 -25 22 20.755908912|016.7870406565124 -27.1924625545845|  6.744 -11.264    |10.138   |~              |    ~     ~    
824 |CD-27 14547                                                                                              |Star                                  |20 07 36.8369249376 -26 40 07.528138752|015.4218570423330 -27.6561602520020|   7.498 -2.289    |10.874   |~              |    ~     ~    
825 |CD-26 14804                                                                                              |Star                                  |20 08 12.2106349920 -25 50 57.364757016|016.3462561727033 -27.5227032633416|   6.779 -4.119    |10.665   |~              |    ~     ~    
826 |CD-24 15830                                                                                              |Double or Multiple Star               |20 09 00.4135757832 -24 34 12.598246992|017.7757218315049 -27.2806859483541|  1.704 -12.522    |10.734   |~              |    ~     ~    
827 |CD-26 14824                                                                                              |Star                                  |20 09 29.9315669592 -26 26 53.909895012|015.8076218732645 -27.9876187690961| -0.753 -10.027    |10.72    |~              |    ~     ~    
828 |CD-26 14836                                                                                              |Star                                  |20 10 58.2428673840 -26 34 40.785464856|015.7839325436437 -28.3408870550597|    6.038 1.535    |10.750   |~              |    ~     ~    
829 |CD-24 15865                                                                                              |Star                                  |20 11 31.3072170936 -24 34 16.447867860|017.9854643241427 -27.8213954858272|   10.393 0.959    |10.568   |~              |    ~     ~    
830 |CD-26 14849                                                                                              |Star                                  |20 12 16.0283409480 -25 42 31.182327720|016.8255169582436 -28.3457160789462| 16.737 -33.985    |10.469   |~              |    ~     ~    
831 |CD-24 15885                                                                                              |Star                                  |20 12 46.8933743328 -24 36 01.709946360|018.0594806785489 -28.1017519486216| -29.900 17.907    |10.44    |~              |    ~     ~    
832 |CD-24 15888                                                                                              |Star                                  |20 13 04.7186764104 -24 18 03.480458868|018.4054349873426 -28.0683100507148|   12.415 0.589    |10.888   |~              |    ~     ~    
833 |CD-25 14620                                                                                              |Star                                  |20 13 15.7971169440 -25 19 54.794762976|017.3126296868437 -28.4397332612386|   5.408 -4.903    |10.26    |~              |    ~     ~    
834 |CD-25 14621                                                                                              |Star                                  |20 13 15.8981396568 -24 58 21.810761184|017.6996919804013 -28.3255664725170| -2.521 -11.862    |10.05    |~              |    ~     ~    
835 |CD-25 14629                                                                                              |Star                                  |20 14 17.5556815248 -25 12 58.174984800|017.5215818476069 -28.6236895374143|  -1.261 -3.601    |10.571   |~              |    ~     ~    
836 |CD-25 14635                                                                                              |Star                                  |20 14 53.6013756216 -25 09 17.564976216|017.6369523177869 -28.7331541686155| -0.288 -12.756    |10.323   |~              |    ~     ~    
837 |TYC 6909-516-1                                                                                           |Star                                  |20 13 06.9975579000 -24 51 10.563355260|017.8162730191740 -28.2552608292877|   3.865 -7.309    |10.92    |~              |    ~     ~    
838 |CD-24 15797                                                                                              |Star                                  |20 05 51.7817588232 -24 34 56.899928712|017.4980954505049 -26.6100230624006|  8.741 -15.376    |10.91    |~              |    ~     ~    
839 |TYC 6896-576-1                                                                                           |Star                                  |20 04 01.9713382416 -25 30 10.860189804|016.3736947869186 -26.5215361973782|  8.151 -22.084    |10.94    |~              |    ~     ~    
840 |TYC 6896-745-1                                                                                           |Star                                  |20 05 05.4375863184 -26 10 12.848694528|015.7528564831757 -26.9624830506956|  5.121 -19.620    |10.77    |~              |    ~     ~    
841 |IRAS 20012-2537                                                                                          |Star                                  |20 04 17.5866286416 -25 28 57.640916244|016.4166184336448 -26.5704066436075|   -0.010 2.681    |10.07    |~              |    ~     ~    
842 |TYC 6905-1842-1                                                                                          |Star                                  |20 12 05.8965200520 -24 20 30.831685512|018.2790510976514 -27.8705811338661|   14.186 3.771    |10.649   |~              |    ~     ~    
843 |TYC 6909-137-1                                                                                           |Star                                  |20 08 41.7892090944 -25 58 45.720402672|016.2468645311482 -27.6691782254157|-11.611 -15.624    |9.940    |~              |    ~     ~    
844 |GSC 06909-00179                                                                                          |Double or Multiple Star               |20 11 15.5231549088 -25 32 45.244686012|016.9190631994139 -28.0785774832677|   12.475 0.344    |10.536   |~              |    ~     ~    
845 |TYC 6909-461-1                                                                                           |Star                                  |20 07 07.2839244720 -25 31 43.451932836|016.6000059604231 -27.1889661202450|  -13.649 5.156    |10.88    |~              |    ~     ~    
846 |TYC 6909-785-1                                                                                           |Star                                  |20 13 33.5133512112 -26 03 26.895635748|016.5519285069461 -28.7307779297743|  4.561 -11.090    |10.93    |~              |    ~     ~    
847 |TYC 6909-1235-1                                                                                          |Star                                  |20 06 40.1466144816 -25 31 59.592356508|016.5582034451279 -27.0938524321101|   -1.774 0.704    |10.618   |~              |    ~     ~    
848 |TYC 6909-1245-1                                                                                          |Star                                  |20 08 55.4858626776 -26 13 46.135544592|015.9970744280991 -27.7968528002594|   3.267 -1.356    |10.735   |~              |    ~     ~    
849 |TYC 6909-1710-1                                                                                          |Star                                  |20 08 24.4679821272 -24 51 51.027535800|017.4130824415368 -27.2484214654165|   33.282 3.084    |10.988   |~              |    ~     ~    
850 |TYC 6913-1222-1                                                                                          |Star                                  |20 09 11.3379439560 -26 48 41.894986824|015.3920975962710 -28.0348103422111| 18.802 -25.704    |10.580   |~              |    ~     ~    
851 |TYC 6913-1646-1                                                                                          |High Proper Motion Star               |20 05 37.4825738400 -26 20 59.667065232|015.6045475872333 -27.1332829096507| 55.016 -15.659    |10.63    |~              |    ~     ~    
852 |TYC 6913-1687-1                                                                                          |Star                                  |20 05 54.4489 -26 27 46.182            |015.5067549 -27.2291599            |  23.066 -3.879    |10.71    |~              |    ~     ~    
853 |GSC 06913-01872                                                                                          |Double or Multiple Star               |20 06 45.5075220624 -26 20 23.316146124|015.7059739038011 -27.3709535142799| 12.810 -12.985    |10.229   |~              |    ~     ~    
854 |TYC 6913-1978-1                                                                                          |Star                                  |20 11 19.5399355776 -26 25 23.836969344|015.9790430259082 -28.3684468911697| -0.132 -11.205    |10.515   |~              |    ~     ~    
855 |TYC 6913-1979-1                                                                                          |Star                                  |20 05 56.1711135528 -26 28 26.289647940|015.4971570723992 -27.2387805493554|  -0.796 -5.552    |10.526   |~              |    ~     ~    
856 |HD 189439                                                                                                |Star                                  |20 00 48.2935344504 -22 38 15.029625480|019.0879888163872 -24.8566610586896| 10.591 -27.106    |8.04     |K0III          |    ~     ~    
857 |BD-22 5316                                                                                               |Star                                  |20 03 18.8701322976 -22 15 36.131704272|019.7030828882148 -25.2668651622937|   2.854 -2.595    |9.98     |G5             |    ~     ~    
858 |HD 190009                                                                                                |Star                                  |20 03 44.3100162600 -22 35 44.150285868|019.3932004836953 -25.4761617500088| -38.301 22.435    |6.428    |F7V            |    ~     ~    
859 |CD-23 15918                                                                                              |Star                                  |20 00 05.8107052800 -23 14 01.798831536|018.4092841648632 -24.9123527181893|  22.637 -6.339    |10.170   |~              |    ~     ~    
860 |HD 189399                                                                                                |Star                                  |20 00 37.3938167328 -22 50 11.657165388|018.8663182049857 -24.8872407780574|    1.496 0.124    |9.68     |A0V            |    ~     ~    
861 |CD-23 15932                                                                                              |Star                                  |20 01 15.7732520856 -23 12 00.049116960|018.5469701927079 -25.1518371769661|  -3.518 -9.434    |10.05    |~              |    ~     ~    
862 |HD 189561                                                                                                |Red Giant Branch star                 |20 01 23.8467090408 -22 44 14.312051448|019.0377680335811 -25.0196539320747|  8.497 -12.827    |5.999    |K0III          |    ~     ~    
863 |HD 189642                                                                                                |Star                                  |20 01 50.0387966928 -23 07 05.414959380|018.6821228547067 -25.2465711746660|  5.522 -32.701    |9.40     |G8IV           |    ~     ~    
864 |HD 189717                                                                                                |Star                                  |20 02 19.0299198552 -23 28 48.739629036|018.3485103302235 -25.4756988284998| -11.525 -4.861    |9.941    |F3/5V          |    ~     ~    
865 |HD 189802                                                                                                |Star                                  |20 02 38.2091563632 -22 50 01.597882632|019.0480606926556 -25.3210224767874|   2.262 -2.588    |9.03     |M2III          |    ~     ~    
866 |HD 189870                                                                                                |Double or Multiple Star               |20 03 00.953592 -23 14 20.48712        |018.660577847 -25.543233338        |      18.3 -0.5    |10.019   |A9/F0V         |    ~     ~    
867 |HD 189909                                                                                                |Star                                  |20 03 13.9619461512 -23 39 01.016506152|018.2510386004344 -25.7310688840573|    8.517 3.450    |9.864    |G3V            |    ~     ~    
868 |HD 189965                                                                                                |Star                                  |20 03 29.2949169648 -22 57 21.257092836|018.9966442720509 -25.5473182872692|    5.327 1.231    |7.95     |G8/K0III       |    ~     ~    
869 |CD-23 15959                                                                                              |Star                                  |20 03 41.7972899616 -23 28 06.774558960|018.4810080326624 -25.7688252543499|   2.054 -2.477    |10.826   |K5             |    ~     ~    
870 |HD 189325                                                                                                |Double or Multiple Star               |20 00 20.33603 -23 57 22.4452          |017.68189000 -25.21366290          |   18.19 -26.89    |8.32     |F0V            |    ~     ~    
871 |CD-24 15739                                                                                              |Star                                  |20 00 50.5830089064 -24 36 10.635182352|017.0518448036086 -25.5413859545489|   1.623 -6.353    |10.069   |~              |    ~     ~    
872 |HD 189418                                                                                                |High Proper Motion Star               |20 00 50.2327968792 -24 11 07.063043532|017.4866470622559 -25.3987314280028|  166.364 9.471    |9.27     |G5V            |    ~     ~    
873 |CD-24 15751                                                                                              |Star                                  |20 01 41.2381714176 -24 24 23.808872664|017.3286243350070 -25.6559620714689|  12.983 -1.430    |10.292   |~              |    ~     ~    
874 |HD 189817                                                                                                |Star                                  |20 02 45.7396694376 -24 03 00.635416056|017.7929247041710 -25.7660152592687|   2.168 -8.135    |10.09    |A0V            |    ~     ~    
875 |CD-24 15766                                                                                              |Star                                  |20 02 51.9356461776 -24 24 59.024503440|017.4187477041002 -25.9118174341249|   -4.413 1.139    |9.993    |~              |    ~     ~    
876 |CD-24 15774                                                                                              |Star                                  |20 03 24.1529013792 -23 56 49.603599780|017.9557128799662 -25.8686232408545|    3.921 3.962    |9.72     |~              |    ~     ~    
877 |HD 189966                                                                                                |Star                                  |20 03 35.4256084152 -24 34 40.757815848|017.3108389085666 -26.1213380781629|  6.893 -14.014    |9.74     |A7IV(+F/G)     |    ~     ~    
878 |CD-23 15916                                                                                              |Star                                  |20 00 02.7098944272 -22 40 38.396628948|018.9790640430577 -24.7065716912157|  -7.638 -4.925    |10.24    |~              |    ~     ~    
879 |CD-23 15917                                                                                              |Star                                  |20 00 04.6069803864 -22 49 56.661380400|018.8220159516528 -24.7678552925082|  -8.915 -9.344    |10.68    |~              |    ~     ~    
880 |BD-22 5301                                                                                               |Star                                  |20 00 45.0442163544 -22 29 40.201518840|019.2306372656374 -24.7946446530275|   9.020 24.068    |10.21    |~              |    ~     ~    
881 |CPD-22 7616                                                                                              |Star                                  |20 01 47.3629820328 -22 16 05.046266640|019.5575015375354 -24.9394640059974| 33.689 -12.009    |10.24    |~              |    ~     ~    
882 |CPD-22 7618                                                                                              |Star                                  |20 01 58.0644170520 -22 13 15.248561700|019.6222435995366 -24.9614239878389|   7.468 -2.344    |10.84    |~              |    ~     ~    
883 |CD-23 15922                                                                                              |Star                                  |20 00 29.8617311184 -23 07 44.978807388|018.5528529351623 -24.9623013235353|   2.772 -2.777    |10.43    |~              |    ~     ~    
884 |CD-23 15927                                                                                              |Star                                  |20 00 46.4113606104 -23 06 18.813947112|018.6019605688753 -25.0134257871683|  -2.601 -0.961    |10.29    |~              |    ~     ~    
885 |BD-22 5302                                                                                               |Star                                  |20 01 05.8488817608 -22 28 48.657980532|019.2764884170324 -24.8645629109023|  -0.904 -8.443    |10.98    |~              |    ~     ~    
886 |CD-24 15747                                                                                              |Star                                  |20 01 18.3153686400 -23 57 08.428840524|017.7694169525865 -25.4198081585183|  -3.171 -9.791    |10.256   |~              |    ~     ~    
887 |TYC 6892-1261-1                                                                                          |Star                                  |20 01 28.3462616424 -23 15 59.399557488|018.4964814528836 -25.2200305453005|  0.995 -14.493    |10.876   |~              |    ~     ~    
888 |CD-24 15761                                                                                              |High Proper Motion Star               |20 02 21.3982697448 -24 31 11.048508264|017.2673155747653 -25.8374723819054| 64.695 -39.313    |10.76    |~              |    ~     ~    
889 |TYC 6326-1654-1                                                                                          |Star                                  |20 00 01.0243539360 -22 17 26.985519528|019.3743580535739 -24.5640224476243|   -1.576 3.635    |10.92    |~              |    ~     ~    
890 |TYC 6892-770-1                                                                                           |Star                                  |20 03 07.1619 -23 45 48.112            |018.1232080 -25.7452629            |  -1.594 -0.880    |10.754   |~              |    ~     ~    
891 |BD-22 5319                                                                                               |High Proper Motion Star               |20 03 51.9504162336 -22 27 00.218420676|019.5556212881348 -25.4528845083055|  2.877 -55.380    |9.62     |G5             |    ~     ~    
892 |HD 190177                                                                                                |High Proper Motion Star               |20 04 26.3767443504 -22 11 28.288713192|019.8756812922498 -25.4864518332824| -6.307 -87.508    |7.50     |F3V            |    ~     ~    
893 |BD-22 5324                                                                                               |Star                                  |20 04 31.7764369944 -22 08 46.156258212|019.9305023749913 -25.4901417991788|  -2.931 -0.501    |9.33     |K7             |    ~     ~    
894 |HD 190350                                                                                                |Star                                  |20 05 22.2716324256 -22 37 55.509962448|019.5006749656102 -25.8421106582495|  11.060 12.880    |9.13     |A6III          |    ~     ~    
895 |CD-22 14474                                                                                              |Star                                  |20 05 38.1026908584 -22 35 28.630593312|019.5666819737870 -25.8850604165335|  -9.885 43.217    |10.057   |~              |    ~     ~    
896 |HD 190419                                                                                                |Star                                  |20 05 37.9407783144 -22 26 41.668436112|019.7189645767240 -25.8335953372518|  -33.380 6.153    |10.009   |F5/6V          |    ~     ~    
897 |HD 190010                                                                                                |Star                                  |20 03 45.4831557888 -23 34 17.192012736|018.3789684544414 -25.8172470778445|  1.297 -17.215    |9.964    |A7II           |    ~     ~    
898 |HD 190078                                                                                                |High Proper Motion Star               |20 04 01.7224605432 -23 13 32.380363020|018.7633704532106 -25.7570754794482|-107.031 -16.279   |8.55     |F8V            |    ~     ~    
899 |HD 190284                                                                                                |Star                                  |20 05 04.6735657992 -22 43 03.199507392|019.3855475619119 -25.8082942955879|  7.682 -11.262    |10.10    |A8III          |    ~     ~    
