C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1550|BD+62 557                                                                                                                                   |High Proper Motion Star             |03 23 45.1906509288 +62 44 47.739776604|139.3974931086783 +04.8505630022927| 59.064 -50.552  |9.38     |F5                |    ~     ~    |    1|  179.163   pc  |  -0.4783     +0.4783  |paral   |2020yCat.1350....0G
1551|TYC 4053-1700-1                                                                                                                             |Star                                |03 24 40.8338344368 +62 16 16.541177988|139.7503569637194 +04.5133516059822|  -1.839 -2.145  |10.79    |B9                |    ~     ~    |    1|  626.841   pc  |  -5.7368     +5.7368  |paral   |2020yCat.1350....0G
1552|HD 20890                                                                                                                                    |Star                                |03 25 31.6215432792 +62 56 47.320238112|139.4555668203212 +05.1290687310206|  -2.459 -0.342  |8.09     |K5                |    ~     ~    |    1|  819.403   pc  | -12.9584    +12.9584  |paral   |2020yCat.1350....0G
1553|BD+62 563                                                                                                                                   |Star                                |03 25 50.2347237360 +62 50 31.792076484|139.5433616946538 +05.0621148908418|   3.652 -6.025  |9.20     |K2                |    ~     ~    |    1|  576.635   pc  |  -5.7856     +5.7856  |paral   |2020yCat.1350....0G
1554|TYC 4066-336-1                                                                                                                              |Star                                |03 26 00.8749290864 +62 16 20.219988036|139.8792236990838 +04.6004013321757|   -0.270 0.041  |10.8     |A0                |    ~     ~    |    1| 1037.129   pc  | -20.6522    +20.6522  |paral   |2020yCat.1350....0G
1555|HD 20984                                                                                                                                    |Star                                |03 26 34.8139616232 +63 11 42.531400932|139.4155114150828 +05.4019517592396| 21.188 -20.168  |7.28     |G5                |    ~     ~    |    1|  278.365   pc  |  -1.5885     +1.5885  |paral   |2020yCat.1350....0G
1556|BD+62 567                                                                                                                                   |Star                                |03 27 25.1792887344 +62 40 30.751690404|139.7878197815473 +05.0251437518314|  4.630 -12.402  |9.93     |K0                |    ~     ~    |    1|  515.783   pc  |  -3.3254     +3.3254  |paral   |2020yCat.1350....0G
1557|BD+61 543                                                                                                                                   |Star                                |03 17 00.7664637312 +62 26 20.995009260|138.9093102988150 +04.1728622752152|   7.418 -0.276  |10.55    |F5                |    ~     ~    |    1|  405.548   pc  |  -2.7795     +2.7795  |paral   |2020yCat.1350....0G
1558|HD 20161                                                                                                                                    |High Proper Motion Star             |03 17 42.1707651024 +62 21 11.226348036|139.0230199765779 +04.1423325366040| 72.670 -89.627  |8.45     |F5                |    ~     ~    |    1|   91.188   pc  |  -0.1572     +0.1572  |paral   |2020yCat.1350....0G
1559|BD+61 548                                                                                                                                   |Star                                |03 17 42.0 +62 21 00                   |139.0244 +04.1395                  |            ~ ~  |10.01    |A0V               |    ~     ~    |    0|                |                       |        |                   
1560|BD+61 550                                                                                                                                   |Star                                |03 18 34.8269727576 +62 18 26.939191896|139.1338401520978 +04.1580209846813|  -3.528 -0.335  |10.44    |A0                |    ~     ~    |    1|  618.123   pc  |  -6.8010     +6.8010  |paral   |2020yCat.1350....0G
1561|BD+61 557                                                                                                                                   |Pulsating Variable                  |03 20 11.4319676784 +62 28 22.486830132|139.2025804641991 +04.3977450363679|  -5.475 -0.709  |9.37     |B8                |    ~     ~    |    1|  602.519   pc  |  -5.8448     +5.8448  |paral   |2020yCat.1350....0G
1562|BD+61 558                                                                                                                                   |Star                                |03 20 16.5458531712 +62 31 10.774455204|139.1855860117004 +04.4424101522661|   4.950 -5.038  |9.01     |K2                |    ~     ~    |    1|  595.344   pc  |  -6.6634     +6.6634  |paral   |2020yCat.1350....0G
1563|BD+61 565                                                                                                                                   |Star                                |03 23 19.1170751088 +62 21 18.487271016|139.5715765051658 +04.4960997858624|   -1.230 0.046  |9.38     |K0                |    ~     ~    |    1|  569.541   pc  |  -4.9954     +4.9954  |paral   |2020yCat.1350....0G
1564|BD+61 566                                                                                                                                   |Star                                |03 23 22.5270517608 +62 14 19.378133844|139.6412560616309 +04.4024459531727|  -2.242 -1.194  |9.81     |B5                |    ~     ~    |    1| 1110.248   pc  | -20.9550    +20.9550  |paral   |2020yCat.1350....0G
1565|HD 20712                                                                                                                                    |Star                                |03 23 25.4569665624 +62 22 38.927851320|139.5695307054400 +04.5215013722268|    3.893 7.463  |8.81     |K                 |    ~     ~    |    1|  489.596   pc  |  -4.6742     +4.6742  |paral   |2020yCat.1350....0G
1566|HD 20881                                                                                                                                    |Star                                |03 25 21.6184476576 +62 29 05.704151064|139.6972602484323 +04.7348366097680|-16.192 -18.285  |8.03     |A2                |    ~     ~    |    1|  227.941   pc  |  -1.1379     +1.1379  |paral   |2020yCat.1350....0G
1567|BD+61 578                                                                                                                                   |Star                                |03 26 35.9156051184 +62 16 37.471629468|139.9330676376293 +04.6423115806114|   22.754 1.540  |9.60     |F8                |    ~     ~    |    1|  178.900   pc  |  -0.4865     +0.4865  |paral   |2020yCat.1350....0G
1568|BD+61 579                                                                                                                                   |Star                                |03 26 37.4213068320 +62 15 40.596235164|139.9443624723076 +04.6308493745063|   22.488 0.295  |10.08    |G                 |    ~     ~    |    1|  180.200   pc  |  -0.4449     +0.4449  |paral   |2020yCat.1350....0G
1569|BD+61 583                                                                                                                                   |Star                                |03 27 27.5025582072 +62 14 57.415413444|140.0318108513133 +04.6753898944264|   5.025 -1.338  |9.18     |K5                |    ~     ~    |    1|  362.950   pc  |  -1.9760     +1.9760  |paral   |2020yCat.1350....0G
1570|V* CR Cam                                                                                                                                   |Be Star                             |03 28 39.1930568952 +62 29 34.799241840|140.0086825813805 +04.9547747338804|   -0.420 0.103  |8.13     |B1.5IV:[n]e+      |    ~     ~    |    1| 1043.623   pc  | -37.5757    +37.5757  |paral   |2020yCat.1350....0G
1571|BD+61 590                                                                                                                                   |Star                                |03 29 14.9539293600 +62 23 56.415698412|140.1191518116543 +04.9163962998279| -1.238 -11.859  |10.23    |F5                |    ~     ~    |    1|  455.166   pc  |  -2.5690     +2.5690  |paral   |2020yCat.1350....0G
1572|BD+61 549                                                                                                                                   |Star                                |03 18 30.3157275120 +61 55 33.643295004|139.3306405627483 +03.8308282246358|   0.204 -1.348  |10.05    |B5V               |    ~     ~    |    1|  745.823   pc  | -16.7988    +16.7988  |paral   |2020yCat.1350....0G
1573|TYC 4053-1477-1                                                                                                                             |Star                                |03 19 06.0968579160 +62 07 25.933202184|139.2837855416682 +04.0354100762618|   7.034 -8.590  |10.60    |B9                |    ~     ~    |    1|  708.215   pc  | -18.3574    +18.3574  |paral   |2020yCat.1350....0G
1574|BD+61 554                                                                                                                                   |Star                                |03 19 48.6626096016 +61 56 09.707435088|139.4552345739878 +03.9216119304143|  -2.775 -0.345  |9.61     |B8                |    ~     ~    |    1|  636.173   pc  |  -7.2039     +7.2039  |paral   |2020yCat.1350....0G
1575|BD+61 555                                                                                                                                   |Star                                |03 19 48.5214174072 +61 44 44.481552576|139.5576280650180 +03.7610123447953| -0.258 -14.167  |9.08     |K0                |    ~     ~    |    1|  592.839   pc  |  -6.0451     +6.0451  |paral   |2020yCat.1350....0G
1576|HD 20536                                                                                                                                    |Star                                |03 21 19.0517611464 +61 59 57.041618856|139.5703175181635 +04.0703977153038|  7.394 -12.260  |6.77     |B8                |    ~     ~    |    1|  357.615   pc  | -11.5228    +11.5228  |paral   |2020yCat.1350....0G
1577|BD+61 568                                                                                                                                   |Star                                |03 23 23.3883694440 +62 02 57.424728768|139.7470179174465 +04.2450765745702|  -0.537 -0.656  |10.48    |B8                |    ~     ~    |    1| 1043.841   pc  | -15.4724    +15.4724  |paral   |2020yCat.1350....0G
1578|BD+61 571                                                                                                                                   |Star                                |03 25 09.1896324000 +62 05 33.895176504|139.8956102985856 +04.3953028898119|  -0.181 -1.013  |10.08    |~                 |    ~     ~    |    1| 1154.734   pc  | -21.4679    +21.4679  |paral   |2020yCat.1350....0G
1579|HD 20882                                                                                                                                    |Star                                |03 25 10.6991569896 +62 07 16.992920856|139.8821286233048 +04.4207612120000|  -23.775 5.904  |9.20     |F5                |    ~     ~    |    1|  221.533   pc  |  -0.7754     +0.7754  |paral   |2020yCat.1350....0G
1580|IRAS 03149+6333                                                                                                                             |Star                                |03 19 15.2887329840 +63 44 21.143354820|138.4287195813323 +05.4078043515181|   -7.078 8.443  |10.64    |~                 |    ~     ~    |    1|  950.480   pc  | -28.0058    +28.0058  |paral   |2020yCat.1350....0G
1581|BD+64 381                                                                                                                                   |Star                                |03 17 29.8935842352 +64 42 49.288649364|137.7425564370961 +06.1289228587823| 12.328 -27.823  |9.46     |F5                |    ~     ~    |    1|  158.020   pc  |  -0.3296     +0.3296  |paral   |2020yCat.1350....0G
1582|TYC 4049-175-1                                                                                                                              |Star                                |03 17 28.6112007000 +61 50 26.143415484|139.2734052897558 +03.6940255834098|  -3.773 -0.920  |9.96     |~                 |    ~     ~    |    1|  763.825   pc  | -62.3102    +62.3102  |paral   |2020yCat.1350....0G
1583|TYC 4049-199-1                                                                                                                              |Star                                |03 16 00.9706331256 +61 43 54.351674904|139.1841373919303 +03.5104206236389|  2.215 -10.259  |10.76    |~                 |    ~     ~    |    1|  698.227   pc  |  -6.5328     +6.5328  |paral   |2020yCat.1350....0G
1584|TYC 4049-243-1                                                                                                                              |Star                                |03 15 00.7727627725 +61 43 06.303263047|139.0897880610121 +03.4367572700240|   3.779 -8.443  |10.65    |~                 |    ~     ~    |    0|                |                       |        |                   
1585|TYC 4049-317-1                                                                                                                              |High Proper Motion Star             |03 17 10.5689360112 +61 49 59.458194228|139.2471952124712 +03.6689303138835|  100.831 3.833  |10.81    |~                 |    ~     ~    |    1|  135.785   pc  |  -0.2378     +0.2378  |paral   |2020yCat.1350....0G
1586|TYC 4049-393-1                                                                                                                              |Star                                |03 16 56.5039597632 +61 46 50.427191748|139.2515037912372 +03.6097252217118|   4.922 -1.954  |10.77    |~                 |    ~     ~    |    1|  777.363   pc  |  -7.9162     +7.9162  |paral   |2020yCat.1350....0G
1587|TYC 4049-653-1                                                                                                                              |Star                                |03 18 53.0528918400 +61 48 34.160213556|139.4308928192130 +03.7562192782742|   4.001 -7.177  |9.93     |~                 |    ~     ~    |    1|  782.350   pc  |  -7.2224     +7.2224  |paral   |2020yCat.1350....0G
1588|TYC 4053-276-1                                                                                                                              |High Proper Motion Star             |03 25 31.2319687392 +63 24 08.494982748|139.2000735912356 +05.5073715977464| 103.339 52.829  |9.71     |~                 |    ~     ~    |    1|  120.566   pc  |  -0.1875     +0.1875  |paral   |2020yCat.1350....0G
1589|TYC 4053-290-1                                                                                                                              |Star                                |03 22 40.3363703664 +63 20 37.010151384|138.9654605860546 +05.2821171114132|   -3.106 3.576  |10.68    |~                 |    ~     ~    |    1|  608.643   pc  |  -5.1862     +5.1862  |paral   |2020yCat.1350....0G
1590|TYC 4053-292-1                                                                                                                              |Star                                |03 19 22.1576770248 +62 20 59.560111896|139.1886203875708 +04.2428754362628|   -0.094 0.611  |10.71    |~                 |    ~     ~    |    1|  839.208   pc  | -11.8317    +11.8317  |paral   |2020yCat.1350....0G
1591|TYC 4053-415-1                                                                                                                              |Star                                |03 17 23.5832565816 +63 30 14.235918228|138.3794395844269 +05.0984533468704| -2.526 -21.396  |10.69    |~                 |    ~     ~    |    1|  404.514   pc  |  -2.2254     +2.2254  |paral   |2020yCat.1350....0G
1592|TYC 4053-422-1                                                                                                                              |Star                                |03 24 25.8699732912 +63 29 18.226163004|139.0503527892915 +05.5113354037810|   -3.368 2.935  |9.94     |~                 |    ~     ~    |    1|  582.751   pc  |  -5.1619     +5.1619  |paral   |2020yCat.1350....0G
1593|TYC 4053-432-1                                                                                                                              |Star                                |03 18 40.9923584880 +62 56 19.370250168|138.8053197211188 +04.6977527149219|   3.963 -8.551  |10.52    |~                 |    ~     ~    |    1|  672.088   pc  |  -5.8721     +5.8721  |paral   |2020yCat.1350....0G
1594|TYC 4053-440-1                                                                                                                              |Star                                |03 15 17.8793444760 +63 01 13.802425140|138.4346809344192 +04.5634558129767|   -2.511 3.345  |10.38    |~                 |    ~     ~    |    1|  711.288   pc  |  -9.4609     +9.4609  |paral   |2020yCat.1350....0G
1595|TYC 4053-487-1                                                                                                                              |Star                                |03 25 08.8852719600 +63 22 13.725166728|139.1830673654377 +05.4576763991336|   -4.718 5.591  |10.76    |~                 |    ~     ~    |    1|  919.287   pc  | -11.3242    +11.3242  |paral   |2020yCat.1350....0G
1596|TYC 4053-550-1                                                                                                                              |Star                                |03 15 30.0751006176 +62 30 38.324519352|138.7227382484715 +04.1415623132140|  3.236 -13.210  |10.95    |~                 |    ~     ~    |    1|  327.654   pc  |  -1.3956     +1.3956  |paral   |2020yCat.1350....0G
1597|TYC 4053-564-1                                                                                                                              |Pulsating Variable                  |03 24 26.9214224832 +63 27 49.802977620|139.0656487226132 +05.4919626308441|   -2.474 3.478  |9.70     |~                 |    ~     ~    |    1|  617.627   pc  |  -8.2015     +8.2015  |paral   |2020yCat.1350....0G
1598|TYC 4053-575-1                                                                                                                              |Star                                |03 22 44.9015363616 +62 18 54.801132480|139.5380078851032 +04.4264258898882|    2.906 4.028  |10.59    |~                 |    ~     ~    |    1|  645.203   pc  |  -5.9113     +5.9113  |paral   |2020yCat.1350....0G
1599|TYC 4053-593-1                                                                                                                              |High Proper Motion Star             |03 20 33.8680399680 +63 33 21.147022584|138.6509676133330 +05.3318339326082|  80.803 -7.406  |10.37    |~                 |    ~     ~    |    1|  198.271   pc  |  -0.5425     +0.5425  |paral   |2020yCat.1350....0G
1600|TYC 4053-659-1                                                                                                                              |Star                                |03 20 16.2496129800 +63 10 07.903514352|138.8333323680442 +04.9885063958215|   5.091 -6.917  |10.92    |~                 |    ~     ~    |    1|  636.213   pc  |  -7.1644     +7.1644  |paral   |2020yCat.1350....0G
1601|TYC 4053-668-1                                                                                                                              |Star                                |03 21 14.9638329792 +63 21 12.019488876|138.8258581539211 +05.2031961096006|   -4.634 0.549  |10.41    |~                 |    ~     ~    |    1|  556.948   pc  |  -6.1728     +6.1728  |paral   |2020yCat.1350....0G
1602|TYC 4053-684-1                                                                                                                              |Star                                |03 21 39.5258971776 +63 18 06.365309292|138.8927365276857 +05.1849213517698|   3.546 -1.824  |9.44     |~                 |    ~     ~    |    1|  420.539   pc  |  -2.3875     +2.3875  |paral   |2020yCat.1350....0G
1603|TYC 4053-698-1                                                                                                                              |Star                                |03 18 02.7167735448 +62 55 19.429032972|138.7526774020058 +04.6449168138654|   -5.229 2.726  |10.43    |~                 |    ~     ~    |    1|  682.454   pc  |  -7.5450     +7.5450  |paral   |2020yCat.1350....0G
1604|TYC 4053-747-1                                                                                                                              |Star                                |03 18 33.3244349208 +63 07 03.423831996|138.6970023414237 +04.8411577572411|    2.767 3.311  |10.67    |~                 |    ~     ~    |    1|  724.428   pc  |  -7.8195     +7.8195  |paral   |2020yCat.1350....0G
1605|TYC 4053-792-1                                                                                                                              |Star                                |03 16 01.2253674864 +63 05 26.806335432|138.4674806606544 +04.6662553122623|   1.363 -7.238  |9.35     |~                 |    ~     ~    |    1|  424.953   pc  |  -2.8352     +2.8352  |paral   |2020yCat.1350....0G
1606|TYC 4053-848-1                                                                                                                              |Star                                |03 16 21.9197090040 +62 56 38.811308424|138.5784061230910 +04.5622531607902|   6.551 -6.495  |10.72    |~                 |    ~     ~    |    1|  720.825   pc  |  -8.0017     +8.0017  |paral   |2020yCat.1350....0G
1607|TYC 4053-852-1                                                                                                                              |Star                                |03 20 52.2712950192 +63 30 59.881893912|138.7011675593827 +05.3173724753512| 24.135 -37.063  |9.99     |~                 |    ~     ~    |    1|  256.029   pc  |  -1.3569     +1.3569  |paral   |2020yCat.1350....0G
1608|TYC 4053-876-1                                                                                                                              |High Proper Motion Star             |03 22 46.5563293272 +63 02 37.025276280|139.1403334540592 +05.0375747869966|  60.361 -9.175  |10.53    |~                 |    ~     ~    |    1|  151.586   pc  |  -0.3148     +0.3148  |paral   |2020yCat.1350....0G
1609|TYC 4053-917-1                                                                                                                              |Star                                |03 15 16.2076048896 +63 18 54.038353140|138.2770372512832 +04.8125753139135| 12.840 -15.717  |10.31    |~                 |    ~     ~    |    1|  438.462   pc  |  -2.9799     +2.9799  |paral   |2020yCat.1350....0G
1610|TYC 4053-926-1                                                                                                                              |High Proper Motion Star             |03 19 06.7418292336 +62 50 57.171530976|138.8948420668461 +04.6483676078916| 56.077 -74.322  |9.79     |~                 |    ~     ~    |    1|  104.937   pc  |  -0.1586     +0.1586  |paral   |2020yCat.1350....0G
1611|TYC 4053-965-1                                                                                                                              |Star                                |03 20 11.0305220736 +62 52 43.967287668|138.9821557131824 +04.7391113232996|  -0.689 -5.571  |10.02    |~                 |    ~     ~    |    1|  629.882   pc  |  -6.4274     +6.4274  |paral   |2020yCat.1350....0G
1612|TYC 4053-979-1                                                                                                                              |Star                                |03 17 29.5252716864 +63 21 14.450411772|138.4688524384521 +04.9773262675187|   4.003 -9.818  |10.31    |~                 |    ~     ~    |    1|  555.833   pc  |  -5.4993     +5.4993  |paral   |2020yCat.1350....0G
1613|TYC 4053-987-1                                                                                                                              |High Proper Motion Star             |03 19 32.1432475248 +62 12 49.855406652|139.2782438171957 +04.1385252954474| 38.830 -46.052  |10.99    |~                 |    ~     ~    |    1|  128.753   pc  |  -0.2487     +0.2487  |paral   |2020yCat.1350....0G
1614|TYC 4053-1029-1                                                                                                                             |Star                                |03 20 57.6990825792 +62 42 47.255060916|139.1471377109259 +04.6477889989550|  -2.862 -7.317  |9.74     |~                 |    ~     ~    |    1|  639.264   pc  |  -6.8246     +6.8246  |paral   |2020yCat.1350....0G
1615|TYC 4053-1047-1                                                                                                                             |Star                                |03 22 45.8761407672 +62 33 19.007215560|139.4077297927108 +04.6283278468596| -18.415 22.321  |10.47    |~                 |    ~     ~    |    1|  264.417   pc  |  -1.0767     +1.0767  |paral   |2020yCat.1350....0G
1616|TYC 4053-1064-1                                                                                                                             |Star                                |03 24 49.4336618616 +62 32 01.912216056|139.6183324884318 +04.7412088345998| -1.597 -17.949  |10.59    |~                 |    ~     ~    |    1|  442.556   pc  |  -2.5461     +2.5461  |paral   |2020yCat.1350....0G
1617|TYC 4053-1090-1                                                                                                                             |Star                                |03 21 24.7506988224 +62 33 08.011522260|139.2784085025497 +04.5407732206016|   4.034 -1.263  |10.92    |~                 |    ~     ~    |    1|  901.876   pc  | -12.1194    +12.1194  |paral   |2020yCat.1350....0G
1618|TYC 4053-1093-1                                                                                                                             |Star                                |03 20 15.2178262608 +63 14 33.638521092|138.7916643265353 +05.0495761489552|  8.759 -11.289  |10.96    |~                 |    ~     ~    |    1|  552.395   pc  |  -4.4550     +4.4550  |paral   |2020yCat.1350....0G
1619|TYC 4053-1103-1                                                                                                                             |Star                                |03 24 11.8868304216 +62 08 17.417805432|139.7771157117032 +04.3713499985573|   5.333 -2.752  |10.47    |~                 |    ~     ~    |    1|  884.486   pc  |  -9.9354     +9.9354  |paral   |2020yCat.1350....0G
1620|TYC 4053-1126-1                                                                                                                             |Star                                |03 19 54.8541963576 +62 56 37.342355604|138.9211352288645 +04.7771456912188|  -2.335 -0.529  |10.67    |~                 |    ~     ~    |    1|  624.259   pc  |  -7.5602     +7.5602  |paral   |2020yCat.1350....0G
1621|TYC 4053-1127-1                                                                                                                             |Star                                |03 18 02.4434879832 +62 28 53.874298344|138.9876467802657 +04.2719506966754|  5.149 -20.367  |10.52    |~                 |    ~     ~    |    1|  238.265   pc  |  -0.7040     +0.7040  |paral   |2020yCat.1350....0G
1622|2MASS J03200878+6250498                                                                                                                     |Red Giant Branch star               |03 20 08.8002151200 +62 50 49.861601556|138.9957396722027 +04.7101400900887|   8.129 -2.581  |10.49    |~                 |    ~     ~    |    1|  668.852   pc  | -10.1104    +10.1104  |paral   |2020yCat.1350....0G
1623|TYC 4053-1299-1                                                                                                                             |Star                                |03 22 38.6389029744 +62 08 47.809971816|139.6203386530194 +04.2786511478239|  -10.827 4.643  |10.14    |~                 |    ~     ~    |    1|  390.549   pc  |  -2.2269     +2.2269  |paral   |2020yCat.1350....0G
1624|TYC 4053-1353-1                                                                                                                             |Star                                |03 19 22.0314825096 +62 37 31.142577252|139.0400896582722 +04.4751104799104|  7.446 -19.511  |10.33    |~                 |    ~     ~    |    1|  297.407   pc  |  -1.2206     +1.2206  |paral   |2020yCat.1350....0G
1625|TYC 4053-1381-1                                                                                                                             |Pulsating Variable                  |03 17 11.8200640464 +63 05 23.643425508|138.5813366907095 +04.7358757255646|   -2.063 2.897  |10.47    |~                 |    ~     ~    |    1|  799.744   pc  | -12.6639    +12.6639  |paral   |2020yCat.1350....0G
1626|TYC 4053-1416-1                                                                                                                             |Star                                |03 25 22.4652069744 +62 10 59.207461392|139.8668579368972 +04.4848142427603| 21.604 -25.060  |10.34    |~                 |    ~     ~    |    1|  231.011   pc  |  -0.9019     +0.9019  |paral   |2020yCat.1350....0G
1627|TYC 4053-1439-1                                                                                                                             |Star                                |03 19 38.3518942296 +62 15 24.634209564|139.2652630730356 +04.1812582716003|  -13.733 4.342  |10.71    |~                 |    ~     ~    |    1|  220.746   pc  |  -0.6530     +0.6530  |paral   |2020yCat.1350....0G
1628|TYC 4053-1568-1                                                                                                                             |Star                                |03 18 52.9040348904 +62 35 06.671083524|139.0143985321940 +04.4112924083068| 16.921 -15.208  |10.65    |~                 |    ~     ~    |    1|  341.134   pc  |  -1.6758     +1.6758  |paral   |2020yCat.1350....0G
1629|TYC 4053-1620-1                                                                                                                             |Star                                |03 17 29.1932035416 +62 07 45.675778656|139.1207878833362 +03.9393706845363|   -1.902 1.999  |10.66    |~                 |    ~     ~    |    1|  954.563   pc  | -15.9458    +15.9458  |paral   |2020yCat.1350....0G
1630|TYC 4053-1671-1                                                                                                                             |Spectroscopic Binary                |03 23 09.8825611464 +63 13 09.249821148|139.0804572129031 +05.2084973888975|  -7.738 -5.247  |10.41    |~                 |    ~     ~    |    1|  188.747   pc  | -12.4867    +12.4867  |paral   |2020yCat.1350....0G
1631|TYC 4053-1674-1                                                                                                                             |Star                                |03 16 58.3329710688 +61 54 22.109328972|139.1880583063897 +03.7181045354065| 15.108 -23.194  |10.51    |~                 |    ~     ~    |    1|  231.423   pc  |  -0.7069     +0.7069  |paral   |2020yCat.1350....0G
1632|TYC 4053-1721-1                                                                                                                             |Star                                |03 20 31.1407013112 +61 53 07.474715196|139.5529419030681 +03.9239067449273| 23.133 -17.916  |10.84    |~                 |    ~     ~    |    1|  319.489   pc  |  -1.2759     +1.2759  |paral   |2020yCat.1350....0G
1633|TYC 4053-1991-1                                                                                                                             |Spectroscopic Binary                |03 22 21.5539314216 +63 42 06.397977744|138.7391369488203 +05.5627119179049| 47.278 -41.220  |10.93    |~                 |    ~     ~    |    1|  167.811   pc  |  -0.9406     +0.9406  |paral   |2020yCat.1350....0G
1634|TYC 4057-136-1                                                                                                                              |Star                                |03 15 19.3202625912 +64 23 49.687489932|137.7114877710938 +05.7366372793084|   3.010 -2.688  |10.59    |~                 |    ~     ~    |    1|  642.921   pc  |  -5.7455     +5.7455  |paral   |2020yCat.1350....0G
1635|TYC 4057-340-1                                                                                                                              |Star                                |03 15 41.2259604432 +64 27 19.295698428|137.7143859628323 +05.8068808919703|  30.334 -9.453  |9.77     |~                 |    ~     ~    |    1|  181.133   pc  |  -0.5873     +0.5873  |paral   |2020yCat.1350....0G
1636|TYC 4057-529-1                                                                                                                              |Spectroscopic Binary                |03 15 39.9320099760 +63 59 22.139365056|137.9587963290468 +05.4095385098186| -0.815 -17.402  |10.75    |~                 |    ~     ~    |    1|  386.922   pc  |  -3.0241     +3.0241  |paral   |2020yCat.1350....0G
1637|TYC 4057-632-1                                                                                                                              |Star                                |03 15 02.9663152944 +64 04 00.310719612|137.8603728008627 +05.4398654068885|  -1.022 -0.129  |10.45    |~                 |    ~     ~    |    1| 1183.712   pc  | -23.3996    +23.3996  |paral   |2020yCat.1350....0G
1638|TYC 4057-814-1                                                                                                                              |Pulsating Variable                  |03 16 45.0563274048 +64 37 08.769768240|137.7250021928716 +06.0063158214997|   2.197 -4.062  |10.12    |~                 |    ~     ~    |    1|  619.272   pc  |  -5.9442     +5.9442  |paral   |2020yCat.1350....0G
1639|TYC 4057-826-1                                                                                                                              |Star                                |03 16 23.0910003480 +63 48 13.252708260|138.1247172849071 +05.2933813406432| -3.919 -34.512  |10.70    |~                 |    ~     ~    |    1|  229.563   pc  |  -0.9064     +0.9064  |paral   |2020yCat.1350....0G
1640|TYC 4057-878-1                                                                                                                              |Star                                |03 16 18.5081374728 +63 47 22.204936680|138.1250493802341 +05.2768872621106|   3.568 -2.461  |10.77    |~                 |    ~     ~    |    1|  956.938   pc  | -13.8275    +13.8275  |paral   |2020yCat.1350....0G
1641|TYC 4057-883-1                                                                                                                              |Star                                |03 16 40.6737946896 +64 02 15.737048844|138.0278456313305 +05.5090275093435|  -5.507 -0.539  |10.56    |~                 |    ~     ~    |    1|  620.194   pc  | -11.0776    +11.0776  |paral   |2020yCat.1350....0G
1642|TYC 4057-886-1                                                                                                                              |Star                                |03 16 49.2762375792 +63 45 39.236286708|138.1885253050392 +05.2825755832600|    5.057 1.393  |9.33     |~                 |    ~     ~    |    1|  358.346   pc  |  -1.9390     +1.9390  |paral   |2020yCat.1350....0G
1643|TYC 4057-1089-1                                                                                                                             |Star                                |03 23 22.7866113600 +63 53 53.349751608|138.7254423151618 +05.7886901684846|  -2.661 -3.207  |10.89    |~                 |    ~     ~    |    0|                |                       |        |                   
1644|TYC 4057-1179-1                                                                                                                             |Star                                |03 22 37.6527278760 +63 59 10.023926064|138.6074840069277 +05.8168019755533|   -7.037 6.602  |10.83    |~                 |    ~     ~    |    1|  547.315   pc  |  -7.7884     +7.7884  |paral   |2020yCat.1350....0G
1645|TYC 4057-1302-1                                                                                                                             |Star                                |03 18 54.1952408592 +63 59 40.014054816|138.2582183530738 +05.6023393854081|   -8.025 2.187  |10.87    |~                 |    ~     ~    |    1|  359.893   pc  |  -1.9817     +1.9817  |paral   |2020yCat.1350....0G
1646|TYC 4057-1305-1                                                                                                                             |Star                                |03 19 09.8069538336 +64 05 42.219070944|138.2280637843890 +05.7025038916971| 27.929 -39.722  |10.43    |~                 |    ~     ~    |    1|  252.449   pc  |  -1.1726     +1.1726  |paral   |2020yCat.1350....0G
1647|TYC 4057-1537-1                                                                                                                             |Star                                |03 17 29.7026732160 +63 59 43.770420672|138.1265611770829 +05.5207524681611|  -0.917 -0.156  |10.60    |~                 |    ~     ~    |    1| 1175.226   pc  | -21.4079    +21.4079  |paral   |2020yCat.1350....0G
1648|TYC 4057-1665-1                                                                                                                             |Pulsating Variable                  |03 21 52.7703847176 +63 59 24.723131064|138.5362341564077 +05.7753500217024|   -9.384 7.186  |10.87    |~                 |    ~     ~    |    1|  511.928   pc  |  -3.5117     +3.5117  |paral   |2020yCat.1350....0G
1649|TYC 4057-1759-1                                                                                                                             |Star                                |03 21 22.7416022664 +63 54 10.159684632|138.5378000204987 +05.6721388744464| -5.451 -29.457  |10.72    |~                 |    ~     ~    |    1|  169.494   pc  |  -0.6981     +0.6981  |paral   |2020yCat.1350....0G
1650|TYC 4057-1885-1                                                                                                                             |Star                                |03 20 55.3781239608 +64 08 10.854299544|138.3680680282414 +05.8409877638230|  -3.571 -1.416  |10.32    |~                 |    ~     ~    |    1|  521.594   pc  |  -3.9993     +3.9993  |paral   |2020yCat.1350....0G
