C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
53  |HD 275073                                                                                                                                   |Star                                |03 18 23.3004912168 +40 22 22.658382660|150.9917027545968 -14.3589160287858|  14.833 -6.454  |10.76    |F8                |    ~     ~    |    1|  637.836   pc  | -29.2108    +29.2108  |paral   |2020yCat.1350....0G
54  |HD 275072                                                                                                                                   |Star                                |03 18 55.8603017040 +40 25 09.959990916|151.0543458246957 -14.2632579486333|  13.213 -7.138  |10.74    |F2                |    ~     ~    |    1|  468.757   pc  |  -4.5045     +4.5045  |paral   |2020yCat.1350....0G
55  |HD 275178                                                                                                                                   |Star                                |03 20 57.7417067592 +40 29 57.950823948|151.3403798836930 -13.9826196714927|   2.223 -5.014  |10.40    |G5                |    ~     ~    |    1|  784.806   pc  |  -9.9163     +9.9163  |paral   |2020yCat.1350....0G
56  |HD 275082                                                                                                                                   |Star                                |03 17 18.1648306248 +40 02 00.639653244|151.0048791027915 -14.7564450734321|  17.074 -5.446  |9.50     |K7                |    ~     ~    |    1| 1247.972   pc  | -67.1254    +67.1254  |paral   |2020yCat.1350....0G
57  |HD 20476                                                                                                                                    |Star                                |03 19 09.5765176200 +40 10 21.433193040|151.2324075988192 -14.4450805511314|   0.421 -4.246  |9.38     |~                 |    ~     ~    |    1|  558.472   pc  | -10.6979    +10.6979  |paral   |2020yCat.1350....0G
58  |HD 275085                                                                                                                                   |Star                                |03 15 03.2881538208 +39 50 56.872004640|150.7344169857626 -15.1455060963083|  -5.893 -3.581  |10.58    |F8                |    ~     ~    |    1|  527.565   pc  |  -5.2325     +5.2325  |paral   |2020yCat.1350....0G
59  |HD 275086                                                                                                                                   |Star                                |03 15 09.2109968784 +39 49 33.877383600|150.7638478581201 -15.1546476406496| -14.582 -8.382  |10.40    |F5                |    ~     ~    |    1|  326.339   pc  |  -2.3855     +2.3855  |paral   |2020yCat.1350....0G
60  |HD 275083                                                                                                                                   |Star                                |03 16 27.8844423696 +39 59 09.784493016|150.8925931704111 -14.8837952359175|   8.933 -0.444  |10.57    |K5                |    ~     ~    |    1| 1384.658   pc  | -49.6575    +49.6575  |paral   |2020yCat.1350....0G
61  |NGC 1250                           NGC 1250                                                                                                 |Galaxy towards a Group of Galaxies  |03 15 21.0989489712 +41 21 19.361106144|149.9439360958293 -13.8469386769969|            ~ ~  |     ~   |~                 |1.090 0.523    |    1|   81.63    Mpc |                       |redshift|2007ApJ...655..790C
62  |HD 275058                                                                                                                                   |Star                                |03 16 54.2835764088 +40 57 57.511534968|150.4143248260926 -14.0161781884804|-41.071 -17.991  |10.34    |G0                |    ~     ~    |    1|  203.384   pc  |  -0.7198     +0.7198  |paral   |2020yCat.1350....0G
63  |HD 275064                                                                                                                                   |Star                                |03 18 42.1921003152 +40 51 33.793672536|150.7675497461205 -13.9196725470025|   3.214 -0.588  |10.24    |K7                |    ~     ~    |    1| 1545.834   pc  | -39.6674    +39.6674  |paral   |2020yCat.1350....0G
64  |HD 275065                                                                                                                                   |Star                                |03 17 57.8514673968 +40 52 13.751208516|150.6408859234576 -13.9870073543365| 23.672 -13.192  |10.93    |G5                |    ~     ~    |    1|  293.186   pc  |  -3.3954     +3.3954  |paral   |2020yCat.1350....0G
