C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:25:35

dec >=0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4688

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2070|BD+33 1653                                                                                                                                                                     |Star                              |08 11 12.8739422688 +32 54 48.940006860|188.8305556706746 +30.1735661937971|    -29.8 -20.4    |10.32    |F8               |    ~     ~    |    0|                |                       |        |                   
2071|BD+33 1653B                                                                                                                                                                    |Red Giant Branch star             |08 11 11.6236171752 +32 55 04.895477580|188.8243197797950 +30.1704507105272|  -0.183 -2.671    |10.60    |G0               |    ~     ~    |    1| 1725.923   pc  | -47.6610    +47.6610  |paral   |2020yCat.1350....0G
2072|BD+33 1656                                                                                                                                                                     |Star                              |08 13 30.2367276744 +33 16 50.442956112|188.5560878136120 +30.7291441880784|   -1.454 8.615    |8.89     |K2               |    ~     ~    |    1|  683.901   pc  |  -8.8867     +8.8867  |paral   |2020yCat.1350....0G
2073|BD+33 1657                                                                                                                                                                     |Star                              |08 13 29.2188221256 +32 36 47.344402080|189.3067899081305 +30.5604138507162|   0.092 -3.032    |9.32     |K0               |    ~     ~    |    1|  527.315   pc  |  -4.4490     +4.4490  |paral   |2020yCat.1350....0G
2074|HD 68563                                                                                                                                                                       |High Proper Motion Star           |08 14 17.1893199600 +33 33 14.296764600|188.2933490629127 +30.9537890420886| 47.486 -73.282    |7.96     |K0               |    ~     ~    |    1|  177.955   pc  |  -4.4747     +4.4747  |paral   |2020yCat.1350....0G
2075|BD+33 1660                                                                                                                                                                     |Double or Multiple Star           |08 14 40.79219 +33 10 42.8873          |188.74122586 +30.94274498          |    48.33 -2.54    |9.247    |G0               |    ~     ~    |    0|                |                       |        |                   
2076|BD+33 1662                                                                                                                                                                     |Double or Multiple Star           |08 14 53.1270498120 +32 44 32.765650872|189.2463763579265 +30.8776165419096|  -3.091 -3.359    |10.56    |F7V              |    ~     ~    |    1|  235.178   pc  |  -1.2832     +1.2832  |paral   |2020yCat.1350....0G
2077|HD 66978                                                                                                                                                                       |Star                              |08 07 03.6479185800 +32 24 53.674721460|189.1255752807699 +29.2003100021807|   0.774 -0.862    |7.83     |K2               |    ~     ~    |    1|  217.557   pc  |  -1.0034     +1.0034  |paral   |2020yCat.1350....0G
2078|HD 67501                                                                                                                                                                       |Double or Multiple Star           |08 09 30.36348 +32 13 16.0887          |189.49603053 +29.64788929          |   34.56 -10.12    |6.7      |F5V+F8IV/V       |    ~     ~    |    0|                |                       |        |                   
2079|HD 67501B                                                                                                                                                                      |Star                              |08 09 30.458 +32 13 18.74              |189.495313 +29.648403              |      32.7 -8.4    |7.931    |F8IV/V           |    ~     ~    |    0|                |                       |        |                   
2080|BD+32 1692                                                                                                                                                                     |Star                              |08 10 29.3476318728 +32 24 04.831969500|189.3577116891899 +29.8952829017495| -17.535 15.643    |9.41     |F7V              |    ~     ~    |    1|  224.876   pc  |  -0.8394     +0.8394  |paral   |2020yCat.1350....0G
2081|BD+32 1696                                                                                                                                                                     |Red Giant Branch star             |08 12 23.9983547184 +32 05 09.330635292|189.8301713962174 +30.2043011027149|   2.397 -9.793    |10.09    |K0               |    ~     ~    |    1|  839.772   pc  | -11.3540    +11.3540  |paral   |2020yCat.1350....0G
2082|BD+32 1699                                                                                                                                                                     |Star                              |08 14 56.8939329720 +32 08 57.252298416|189.9189756271397 +30.7421513748581|-19.706 -15.831    |9.23     |F2               |    ~     ~    |    1|  160.126   pc  |  -1.2256     +1.2256  |paral   |2020yCat.1350....0G
2083|HD 67501A                                                                                                                                                                      |Double or Multiple Star           |08 09 30.363 +32 13 16.11              |189.496023 +29.647889              |      32.7 -8.4    |7.139    |F5V              |    ~     ~    |    0|                |                       |        |                   
2084|BD+34 1777                                                                                                                                                                     |High Proper Motion Star           |08 13 48.1459107528 +33 46 01.441484328|188.0240252848310 +30.9070639462973| 35.445 -38.494    |10.19    |~                |    ~     ~    |    1|  172.724   pc  |  -0.5221     +0.5221  |paral   |2020yCat.1350....0G
2085|TYC 2477-1480-2                                                                                                                                                                |High Proper Motion Star           |08 13 48.4143180552 +33 45 56.050962516|188.0259788893725 +30.9076087856894| 31.577 -41.993    |10.47    |~                |    ~     ~    |    1|  166.185   pc  |  -3.3804     +3.3804  |paral   |2020yCat.1350....0G
2086|NGC 2532                           NGC 2532                                                                                                                                    |Galaxy                            |08 10 15.1864372560 +33 57 23.768999208|187.6038127917908 +30.2377834545512|            ~ ~    |     ~   |~                |1.077 0.689    |    1|   77.6     Mpc |                       |T-F     |2011PASP..123.1011A
2087|TYC 2469-806-1                                                                                                                                                                 |Star                              |08 14 30.1056932400 +31 48 27.191139156|190.2749933143282 +30.5635191485204|-30.616 -22.845    |10.43    |~                |    ~     ~    |    1|  223.879   pc  |  -0.8621     +0.8621  |paral   |2020yCat.1350....0G
2088|TYC 2472-693-1                                                                                                                                                                 |Star                              |08 05 19.6941982776 +33 39 51.101409564|187.6356803831965 +29.1741838482472|  -2.451 -3.347    |10.7     |~                |    ~     ~    |    1|  207.572   pc  |  -0.7411     +0.7411  |paral   |2020yCat.1350....0G
2089|TYC 2472-969-1                                                                                                                                                                 |Star                              |08 04 42.9953592528 +33 32 52.793877156|187.7267872257797 +29.0212678525705|  -0.153 -4.166    |10.81    |~                |    ~     ~    |    1|  920.895   pc  | -28.4944    +28.4944  |paral   |2020yCat.1350....0G
2090|TYC 2472-985-1                                                                                                                                                                 |Star                              |08 05 35.9872898592 +33 43 17.153397660|187.5887849425319 +29.2434011911039|-12.675 -19.361    |9.76     |~                |    ~     ~    |    1|  237.603   pc  |  -1.0388     +1.0388  |paral   |2020yCat.1350....0G
2091|TYC 2472-993-1                                                                                                                                                                 |Star                              |08 05 11.1108505392 +33 23 33.860021928|187.9272192824643 +29.0756096911297| -1.561 -21.782    |10.62    |~                |    ~     ~    |    1|  405.285   pc  |  -3.1044     +3.1044  |paral   |2020yCat.1350....0G
2092|TYC 2472-1042-1                                                                                                                                                                |Star                              |08 05 15.1152183576 +33 12 07.770246516|188.1419278550219 +29.0396887176048|  13.865 -7.305    |10.70    |~                |    ~     ~    |    1|  380.460   pc  |  -2.0265     +2.0265  |paral   |2020yCat.1350....0G
2093|TYC 2472-1376-1                                                                                                                                                                |Star                              |08 04 14.4145856232 +32 54 29.628432144|188.4024353543287 +28.7580579809955|-27.155 -10.656    |9.88     |~                |    ~     ~    |    1|  557.227   pc  |  -3.7881     +3.7881  |paral   |2020yCat.1350....0G
2094|TYC 2472-1447-1                                                                                                                                                                |Star                              |08 04 28.6564294104 +32 53 05.658517680|188.4431256278349 +28.7999473869867| -8.697 -16.681    |10.29    |~                |    ~     ~    |    1|  365.805   pc  |  -2.1276     +2.1276  |paral   |2020yCat.1350....0G
2095|TYC 2472-1486-1                                                                                                                                                                |Star                              |08 04 57.7300254480 +33 00 36.007540056|188.3358695710075 +28.9309455718188| -2.002 -17.441    |10.74    |~                |    ~     ~    |    1|  404.678   pc  |  -2.3582     +2.3582  |paral   |2020yCat.1350....0G
2096|2MASS J08093034+3221455                                                                                                                                                        |Red Giant Branch star             |08 09 30.3484712232 +32 21 45.662214420|189.3387513733770 +29.6847540175797|    3.665 1.472    |10.58    |~                |    ~     ~    |    1|  898.957   pc  | -15.5968    +15.5968  |paral   |2020yCat.1350....0G
2097|TYC 2473-73-1                                                                                                                                                                  |Star                              |08 09 16.6498993032 +32 22 32.545322220|189.3098406528276 +29.6415968199977| -10.440 -1.737    |10.03    |~                |    ~     ~    |    1|  245.984   pc  |  -1.0770     +1.0770  |paral   |2020yCat.1350....0G
2098|TYC 2473-92-1                                                                                                                                                                  |Star                              |08 07 54.7251640872 +32 24 22.295075544|189.1894350760557 +29.3713514639205|  4.437 -46.920    |10.71    |~                |    ~     ~    |    1|  244.672   pc  |  -0.9219     +0.9219  |paral   |2020yCat.1350....0G
2099|TYC 2473-127-1                                                                                                                                                                 |Star                              |08 06 44.9731586544 +32 35 56.589221580|188.9022906531619 +29.1854957306595|-14.717 -21.651    |10.45    |~                |    ~     ~    |    1|  303.601   pc  |  -1.8435     +1.8435  |paral   |2020yCat.1350....0G
2100|TYC 2473-129-1                                                                                                                                                                 |Star                              |08 09 08.4295828656 +32 34 32.806016904|189.0788778832951 +29.6656332941183|  -4.474 -3.404    |9.48     |~                |    ~     ~    |    1|  503.601   pc  |  -4.4636     +4.4636  |paral   |2020yCat.1350....0G
2101|TYC 2473-196-1                                                                                                                                                                 |Star                              |08 08 41.7365405520 +32 29 03.790650948|189.1523926187879 +29.5513501935695|-16.362 -16.819    |10.54    |G0V              |    ~     ~    |    1|  150.360   pc  |  -0.4725     +0.4725  |paral   |2020yCat.1350....0G
2102|TYC 2473-275-1                                                                                                                                                                 |Star                              |08 14 02.8252717320 +32 55 23.184409080|188.9918757135860 +30.7515885211204|-32.759 -23.615    |10.84    |G1V              |    ~     ~    |    1|  177.157   pc  |  -0.5492     +0.5492  |paral   |2020yCat.1350....0G
2103|TYC 2473-299-1                                                                                                                                                                 |Star                              |08 08 50.8346322984 +33 36 55.712667672|187.9024860214778 +29.8705444139547|   -4.366 1.646    |10.37    |~                |    ~     ~    |    1|  230.888   pc  |  -0.9809     +0.9809  |paral   |2020yCat.1350....0G
2104|TYC 2473-470-1                                                                                                                                                                 |Star                              |08 09 16.6416899448 +33 13 50.334003552|188.3580169669715 +29.8608125864159|    2.156 4.586    |10.62    |~                |    ~     ~    |    1|  931.966   pc  | -12.6810    +12.6810  |paral   |2020yCat.1350....0G
2105|TYC 2473-583-1                                                                                                                                                                 |Star                              |08 12 40.7590023408 +32 51 18.586473840|188.9854733461426 +30.4565738324215|    9.662 1.117    |10.11    |~                |    ~     ~    |    1|  336.587   pc  | -10.0262    +10.0262  |paral   |2020yCat.1350....0G
2106|TYC 2473-607-1                                                                                                                                                                 |Star                              |08 06 20.1051364704 +32 48 13.187955276|188.6499767815156 +29.1550019176584|  10.347 11.821    |10.88    |~                |    ~     ~    |    1|  198.448   pc  |  -0.4962     +0.4962  |paral   |2020yCat.1350....0G
2107|TYC 2473-795-1                                                                                                                                                                 |Star                              |08 10 55.2711687408 +32 52 33.387858408|188.8547099049367 +30.1044705858680|-38.496 -19.526    |10.60    |~                |    ~     ~    |    1|  211.171   pc  |  -0.7090     +0.7090  |paral   |2020yCat.1350....0G
2108|TYC 2473-822-1                                                                                                                                                                 |Star                              |08 10 11.9589648648 +33 09 28.045699200|188.4954716530002 +30.0291096596640|  -6.769 -6.980    |10.71    |~                |    ~     ~    |    1| 1011.429   pc  | -13.7081    +13.7081  |paral   |2020yCat.1350....0G
2109|TYC 2473-851-1                                                                                                                                                                 |Star                              |08 12 34.4534090208 +32 57 52.085539908|188.8562931512136 +30.4624868895535| -5.621 -11.692    |10.99    |~                |    ~     ~    |    1|  560.475   pc  | -26.9840    +26.9840  |paral   |2020yCat.1350....0G
2110|TYC 2473-859-1                                                                                                                                                                 |Star                              |08 14 52.1060790312 +33 43 13.850105772|188.1383830412763 +31.1111923051722| -12.462 -3.177    |9.79     |~                |    ~     ~    |    1|  631.034   pc  |  -7.6853     +7.6853  |paral   |2020yCat.1350....0G
2111|TYC 2473-883-1                                                                                                                                                                 |Red Giant Branch star             |08 14 24.4498775760 +33 05 15.556125552|188.8277856609273 +30.8652679766251| -2.148 -41.537    |10.14    |~                |    ~     ~    |    1|  504.847   pc  |  -5.0719     +5.0719  |paral   |2020yCat.1350....0G
2112|TYC 2473-944-1                                                                                                                                                                 |Star                              |08 09 22.9821852816 +32 50 33.118000764|188.7971719147346 +29.7835840855423|  -8.167 -5.719    |10.71    |~                |    ~     ~    |    1|  633.232   pc  |  -7.0573     +7.0573  |paral   |2020yCat.1350....0G
2113|TYC 2473-1030-1                                                                                                                                                                |Star                              |08 06 13.3764598656 +33 08 24.105440580|188.2709523232876 +29.2198166945676|   2.253 -5.524    |10.20    |~                |    ~     ~    |    1|  751.654   pc  | -10.4522    +10.4522  |paral   |2020yCat.1350....0G
2114|TYC 2473-1057-1                                                                                                                                                                |Star                              |08 07 22.1123575296 +32 58 18.357174480|188.5285356586906 +29.4081992428386|-10.113 -15.953    |10.25    |~                |    ~     ~    |    1|  336.157   pc  |  -3.3109     +3.3109  |paral   |2020yCat.1350....0G
2115|TYC 2473-1095-1                                                                                                                                                                |Star                              |08 14 50.7222666576 +32 30 07.583636592|189.5150827756591 +30.8097559100331|-21.061 -18.500    |10.45    |F7V              |    ~     ~    |    1|  227.977   pc  |  -2.5415     +2.5415  |paral   |2020yCat.1350....0G
2116|TYC 2473-1278-1                                                                                                                                                                |Star                              |08 11 40.4993350608 +32 21 46.695775284|189.4749074910682 +30.1273506077502| -13.004 -0.047    |10.78    |F9V              |    ~     ~    |    1|  265.189   pc  |  -2.0254     +2.0254  |paral   |2020yCat.1350....0G
2117|2MASS J08113013+3205338                                                                                                                                                        |Red Giant Branch star             |08 11 30.1299716280 +32 05 33.904804812|189.7657208443258 +30.0223693701591|   1.021 -6.281    |10.54    |~                |    ~     ~    |    1|  443.066   pc  |  -3.3176     +3.3176  |paral   |2020yCat.1350....0G
2118|2MASS J08131536+3213343                                                                                                                                                        |Red Giant Branch star             |08 13 15.3641864184 +32 13 34.330780632|189.7269225036331 +30.4154022205270|   -1.455 0.132    |10.18    |~                |    ~     ~    |    1|  789.453   pc  | -12.2154    +12.2154  |paral   |2020yCat.1350....0G
2119|TYC 2473-1438-1                                                                                                                                                                |Star                              |08 06 21.9686148864 +32 19 17.478710040|189.1841734684484 +29.0341299804652| -13.147 -2.864    |10.15    |~                |    ~     ~    |    1|  256.233   pc  |  -1.0177     +1.0177  |paral   |2020yCat.1350....0G
2120|TYC 2476-856-1                                                                                                                                                                 |Star                              |08 04 26.6178299064 +34 56 49.587361044|186.1597766539938 +29.3188255733758| -0.946 -12.995    |9.45     |~                |    ~     ~    |    1|  763.709   pc  |  -9.6236     +9.6236  |paral   |2020yCat.1350....0G
2121|TYC 2476-880-1                                                                                                                                                                 |Star                              |08 03 53.9927093760 +34 40 43.838687928|186.4260096429173 +29.1443409278632|  -0.472 -1.331    |10.27    |~                |    ~     ~    |    1| 2079.434   pc  | -95.1290    +95.1290  |paral   |2020yCat.1350....0G
2122|TYC 2476-956-1                                                                                                                                                                 |Star                              |08 05 51.7278088200 +34 12 32.051391768|187.0634259154647 +29.4189442537943|   -5.311 2.821    |10.34    |~                |    ~     ~    |    1|  806.387   pc  |  -8.6484     +8.6484  |paral   |2020yCat.1350....0G
2123|TYC 2476-1167-1                                                                                                                                                                |Star                              |08 04 20.2360345968 +34 02 43.691365572|187.1536222871857 +29.0723899148591|  -4.344 -8.871    |10.36    |~                |    ~     ~    |    1|  298.811   pc  |  -3.4733     +3.4733  |paral   |2020yCat.1350....0G
2124|TYC 2476-1386-1                                                                                                                                                                |Star                              |08 05 17.8962372216 +34 21 15.479771580|186.8684939516003 +29.3424285632220|  -3.461 -9.366    |9.76     |~                |    ~     ~    |    1|  681.942   pc  | -12.4167    +12.4167  |paral   |2020yCat.1350....0G
2125|TYC 2476-1439-1                                                                                                                                                                |Star                              |08 04 21.5124999240 +33 48 49.720097988|187.4111309282589 +29.0175774007114|  6.804 -25.524    |9.84     |~                |    ~     ~    |    1|  637.633   pc  |  -5.7327     +5.7327  |paral   |2020yCat.1350....0G
2126|TYC 2477-10-1                                                                                                                                                                  |Star                              |08 14 07.7210022384 +33 59 15.904988088|187.7927977805471 +31.0252828292448|  -3.401 -3.740    |10.77    |~                |    ~     ~    |    1|  356.710   pc  |  -1.9595     +1.9595  |paral   |2020yCat.1350....0G
2127|TYC 2477-34-1                                                                                                                                                                  |Star                              |08 09 12.9071369520 +34 37 41.023838892|186.7898711129547 +30.1919328896847|-23.962 -15.721    |10.87    |~                |    ~     ~    |    1|  352.547   pc  |  -2.0881     +2.0881  |paral   |2020yCat.1350....0G
2128|TYC 2477-312-1                                                                                                                                                                 |High Proper Motion Star           |08 11 55.5932819976 +33 48 41.850074772|187.8646526212306 +30.5394718850507|-83.255 -32.142    |10.06    |~                |    ~     ~    |    1|  126.317   pc  |  -0.8808     +0.8808  |paral   |2020yCat.1350....0G
2129|TYC 2477-316-1                                                                                                                                                                 |Spectroscopic Binary              |08 14 32.3024181480 +34 11 07.968426504|187.5915516612585 +31.1541922799523|   6.935 -4.553    |10.62    |~                |    ~     ~    |    1| 1220.405   pc  | -70.0013    +70.0013  |paral   |2020yCat.1350....0G
2130|TYC 2477-430-1                                                                                                                                                                 |High Proper Motion Star           |08 11 54.9250235280 +34 17 45.531752352|187.3177189531404 +30.6533445025366|-89.319 -66.055    |10.92    |~                |    ~     ~    |    1|   78.567   pc  |  -0.1043     +0.1043  |paral   |2020yCat.1350....0G
2131|TYC 2477-528-1                                                                                                                                                                 |High Proper Motion Star           |08 11 32.4916626768 +34 25 20.141070708|187.1538829889834 +30.6083252674023|-28.174 -82.254    |10.90    |~                |    ~     ~    |    1|  153.518   pc  |  -1.1454     +1.1454  |paral   |2020yCat.1350....0G
2132|TYC 2477-670-1                                                                                                                                                                 |Star                              |08 06 51.0506537208 +34 36 40.040106588|186.6731677526990 +29.7158425349583| -6.049 -21.839    |9.90     |~                |    ~     ~    |    1|  308.842   pc  |  -1.5738     +1.5738  |paral   |2020yCat.1350....0G
2133|TYC 2477-728-1                                                                                                                                                                 |Spectroscopic Binary              |08 12 02.8316835864 +34 15 15.748961112|187.3722190526123 +30.6699095949624|  -22.893 4.309    |10.99    |~                |    ~     ~    |    1|  403.356   pc  |  -2.7333     +2.7333  |paral   |2020yCat.1350....0G
2134|TYC 2477-756-1                                                                                                                                                                 |Star                              |08 08 02.8048661856 +33 51 00.770422788|187.5926505450021 +29.7678763794591|-28.903 -22.623    |10.01    |~                |    ~     ~    |    1|  287.679   pc  |  -1.7876     +1.7876  |paral   |2020yCat.1350....0G
2135|TYC 2477-812-1                                                                                                                                                                 |Star                              |08 12 32.2175504832 +33 48 18.896294916|187.9074214419996 +30.6609743934674| -10.050 -8.542    |10.80    |~                |    ~     ~    |    1|  918.021   pc  | -13.0628    +13.0628  |paral   |2020yCat.1350....0G
2136|TYC 2477-916-1                                                                                                                                                                 |Chemically Peculiar Star          |08 10 06.7635598992 +33 51 17.988710040|187.7095848537227 +30.1847068809505| 36.223 -60.275    |10.38    |~                |    ~     ~    |    1|  346.861   pc  |  -1.9250     +1.9250  |paral   |2020yCat.1350....0G
2137|TYC 2477-1117-1                                                                                                                                                                |Star                              |08 06 04.3239806208 +34 52 44.671919232|186.3292264354654 +29.6259304068983|   8.711 -5.933    |10.62    |~                |    ~     ~    |    1|  226.665   pc  |  -1.1149     +1.1149  |paral   |2020yCat.1350....0G
2138|TYC 2477-1202-1                                                                                                                                                                |Star                              |08 14 40.4929411200 +34 19 02.382852756|187.4494162996629 +31.2122943226364|-12.859 -38.663    |9.71     |~                |    ~     ~    |    1|  343.879   pc  |  -8.3486     +8.3486  |paral   |2020yCat.1350....0G
2139|TYC 2477-1280-1                                                                                                                                                                |Star                              |08 12 33.4447479120 +34 09 49.975950852|187.5035997358928 +30.7508864600467|   -0.827 0.042    |10.37    |~                |    ~     ~    |    1| 1157.943   pc  | -17.2967    +17.2967  |paral   |2020yCat.1350....0G
2140|TYC 2477-1336-1                                                                                                                                                                |Star                              |08 12 17.5979450592 +34 25 34.083474204|187.1920718766588 +30.7598853966016|   -5.854 0.869    |10.52    |~                |    ~     ~    |    1|  941.708   pc  | -13.3909    +13.3909  |paral   |2020yCat.1350....0G
2141|TYC 2477-1426-1                                                                                                                                                                |Star                              |08 07 25.0577942256 +34 19 48.806211576|187.0197617122055 +29.7603420778202|   -6.873 2.832    |9.51     |~                |    ~     ~    |    1| 1166.725   pc  | -21.2355    +21.2355  |paral   |2020yCat.1350....0G
2142|TYC 2477-1479-1                                                                                                                                                                |Star                              |08 13 59.5893484224 +33 55 39.415626192|187.8532047920687 +30.9837457788139| -3.503 -13.354    |10.44    |~                |    ~     ~    |    1|  255.500   pc  |  -0.9596     +0.9596  |paral   |2020yCat.1350....0G
2143|BD+29 1695                                                                                                                                                                     |Double or Multiple Star           |08 09 07.395744 +29 27 58.64328        |192.506075823 +28.813195021        |     -14.4 -6.9    |9.590    |G5               |    ~     ~    |    0|                |                       |        |                   
2144|BD+32 1671                                                                                                                                                                     |Star                              |08 05 14.6605360944 +31 56 01.858336080|189.5377288542034 +28.7012150362893|-31.448 -27.053    |9.25     |F0               |    ~     ~    |    1|  170.468   pc  |  -0.7672     +0.7672  |paral   |2020yCat.1350....0G
2145|HD 66572                                                                                                                                                                       |Star                              |08 05 26.6554575480 +31 59 27.610905480|189.4880879291590 +28.7575139183086|-24.625 -20.408    |8.67     |A3               |    ~     ~    |    1|  175.273   pc  |  -0.8233     +0.8233  |paral   |2020yCat.1350....0G
2146|BD+32 1673                                                                                                                                                                     |Star                              |08 05 30.3675722760 +32 10 14.838825108|189.2945772062843 +28.8186074396573|-18.328 -17.183    |9.99     |F8               |    ~     ~    |    1|  240.304   pc  |  -2.7256     +2.7256  |paral   |2020yCat.1350....0G
2147|BD+32 1675                                                                                                                                                                     |Star                              |08 05 35.9023821696 +32 10 23.247592500|189.2979957373444 +28.8380379112705| 14.355 -14.672    |10.90    |G0               |    ~     ~    |    1|  198.768   pc  |  -0.6993     +0.6993  |paral   |2020yCat.1350....0G
2148|HD 66872                                                                                                                                                                       |High Proper Motion Star           |08 06 39.9492585720 +32 09 55.126123812|189.3757030800932 +29.0535946897810| -9.860 -63.137    |8.99     |F8               |    ~     ~    |    1|  120.036   pc  |  -0.2392     +0.2392  |paral   |2020yCat.1350....0G
2149|HD 66611                                                                                                                                                                       |Star                              |08 05 36.1604088792 +31 18 56.673548856|190.2389852198692 +28.6053766554541|   3.801 -1.505    |8.19     |K0               |    ~     ~    |    1|  480.931   pc  |  -7.1701     +7.1701  |paral   |2020yCat.1350....0G
2150|BD+31 1727                                                                                                                                                                     |Star                              |08 06 24.5906813832 +31 35 15.455828220|189.9946851319140 +28.8454983762001| 25.144 -20.482    |10.29    |F8               |    ~     ~    |    1|  192.883   pc  |  -0.8557     +0.8557  |paral   |2020yCat.1350....0G
2151|BD+31 1728                                                                                                                                                                     |Star                              |08 06 21.6813383016 +30 49 46.414969860|190.8224267711994 +28.6264332070796|  5.936 -17.691    |9.11     |K0               |    ~     ~    |    1|  511.797   pc  |  -3.7457     +3.7457  |paral   |2020yCat.1350....0G
2152|BD+30 1635                                                                                                                                                                     |Star                              |08 03 55.6880722152 +30 34 22.455774984|190.9344299960927 +28.0522123181201|-11.030 -24.894    |10.26    |F8               |    ~     ~    |    1|  192.998   pc  |  -0.7785     +0.7785  |paral   |2020yCat.1350....0G
2153|BD+30 1639                                                                                                                                                                     |Star                              |08 05 31.3557821784 +30 07 03.981177948|191.5406538347004 +28.2516745501972| -13.306 -4.733    |9.26     |K0               |    ~     ~    |    1|  460.893   pc  |  -5.6080     +5.6080  |paral   |2020yCat.1350....0G
2154|BD+30 1640                                                                                                                                                                     |Star                              |08 06 06.2999223168 +29 46 35.691688092|191.9528593369138 +28.2743236210356|  -28.111 0.446    |10.74    |F8               |    ~     ~    |    1|  307.257   pc  |  -2.3413     +2.3413  |paral   |2020yCat.1350....0G
2155|BD+31 1722                                                                                                                                                                     |Star                              |08 04 13.7919966192 +31 35 31.919985636|189.8446450398542 +28.4003124604317| -5.902 -11.035    |10.27    |~                |    ~     ~    |    1| 1156.203   pc  | -22.4583    +22.4583  |paral   |2020yCat.1350....0G
2156|BD+32 1689                                                                                                                                                                     |Star                              |08 09 22.9917614304 +31 45 53.337328848|189.9942485156675 +29.5024452083301|   6.657 -0.879    |9.70     |G5               |    ~     ~    |    1|  232.818   pc  |  -0.9269     +0.9269  |paral   |2020yCat.1350....0G
2157|HD 67087                                                                                                                                                                       |Star                              |08 07 39.7559315184 +31 33 04.740976332|190.1174522840152 +29.0924496908675|-16.332 -37.521    |8.04     |F8V              |    ~     ~    |    1|   76.487   pc  |  -0.1691     +0.1691  |paral   |2020yCat.1350....0G
2158|BD+31 1737                                                                                                                                                                     |Star                              |08 07 54.5138970888 +31 10 45.436741608|190.5433726748022 +29.0417263806934|   2.428 -3.477    |9.88     |F8               |    ~     ~    |    1|  398.375   pc  |  -2.9043     +2.9043  |paral   |2020yCat.1350....0G
2159|BD+31 1745                                                                                                                                                                     |Star                              |08 10 14.5526654160 +31 03 41.534067996|190.8291481290934 +29.4903191387082| -11.634 -5.041    |9.90     |F6V              |    ~     ~    |    1|  505.510   pc  | -13.5181    +13.5181  |paral   |2020yCat.1350....0G
2160|HD 67936                                                                                                                                                                       |Star                              |08 11 31.0508284416 +31 18 16.428981276|190.6441112643921 +29.8182887391352| -5.404 -12.610    |8.01     |K0               |    ~     ~    |    1|  376.733   pc  | -10.3181    +10.3181  |paral   |2020yCat.1350....0G
2161|BD+31 1754                                                                                                                                                                     |Star                              |08 11 33.8292148872 +31 24 28.835844156|190.5321880349283 +29.8553417350917|  12.494 15.517    |9.15     |K0               |    ~     ~    |    1|  311.429   pc  |  -1.7943     +1.7943  |paral   |2020yCat.1350....0G
2162|HD 68120                                                                                                                                                                       |Star                              |08 12 14.4605320536 +30 50 47.332464072|191.2007116068301 +29.8447085584666|  16.683 -6.261    |8.56     |K0               |    ~     ~    |    1|  444.247   pc  |  -5.4075     +5.4075  |paral   |2020yCat.1350....0G
2163|BD+31 1759                                                                                                                                                                     |Star                              |08 12 26.7077370096 +31 06 06.419265696|190.9305520523386 +29.9553595186490| -5.359 -13.838    |9.87     |M0               |    ~     ~    |    1| 1187.790   pc  | -24.5487    +24.5487  |paral   |2020yCat.1350....0G
2164|BD+31 1760                                                                                                                                                                     |High Proper Motion Star           |08 12 28.4286241344 +31 15 02.645054712|190.7666877082335 +30.0009304783951| 33.375 -52.433    |8.90     |G5               |    ~     ~    |    1|  403.682   pc  |  -3.2918     +3.2918  |paral   |2020yCat.1350....0G
2165|BD+31 1763                                                                                                                                                                     |Star                              |08 12 49.4309931312 +30 39 40.699864044|191.4453427029191 +29.9152649486386|  -7.051 -6.371    |10.09    |F0               |    ~     ~    |    1|  506.022   pc  |  -3.6360     +3.6360  |paral   |2020yCat.1350....0G
2166|BD+31 1765                                                                                                                                                                     |Horizontal Branch Star            |08 14 20.7699759696 +30 55 38.180310564|191.2504258190887 +30.3015079524649|-11.228 -23.888    |10.21    |K0               |    ~     ~    |    1|  704.970   pc  |  -8.8463     +8.8463  |paral   |2020yCat.1350....0G
2167|BD+31 1766                                                                                                                                                                     |Star                              |08 14 51.9105481464 +31 17 38.590334412|190.8741040167201 +30.5052790127184|-42.240 -25.784    |9.34     |F8               |    ~     ~    |    1|  103.311   pc  |  -0.1868     +0.1868  |paral   |2020yCat.1350....0G
2168|BD+30 1644                                                                                                                                                                     |Star                              |08 07 38.4062056512 +30 00 22.963189896|191.8108996352929 +28.6589494885654|  -25.973 3.954    |10.92    |G5               |    ~     ~    |    1|  200.292   pc  |  -0.6740     +0.6740  |paral   |2020yCat.1350....0G
2169|HD 67149                                                                                                                                                                       |High Proper Motion Star           |08 07 51.4831462248 +30 26 11.788598472|191.3553458725231 +28.8256030503299|-13.801 -110.174   |8.68     |G0               |    ~     ~    |    1|   65.586   pc  |  -0.0843     +0.0843  |paral   |2020yCat.1350....0G
