C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:25:35

dec >=0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4688

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |BD+81 258                                                                                                                                                                      |Star                              |08 02 11.2007125056 +81 14 59.472135492|132.5138364032262 +29.4596797869184|    5.921 8.321    |9.13     |K2               |    ~     ~    |    1|  648.340   pc  |  -5.2123     +5.2123  |paral   |2020yCat.1350....0G
44  |BD+81 259                                                                                                                                                                      |Double or Multiple Star           |08 01 44.466072 +80 43 37.18812        |133.103873952 +29.559722623        |     -7.7 -12.8    |10.077   |F8               |    ~     ~    |    0|                |                       |        |                   
45  |BD+81 260                                                                                                                                                                      |Star                              |08 08 37.3356519552 +81 13 37.286577804|132.4714173743794 +29.7030239906467| -11.605 -0.022    |10.47    |K0               |    ~     ~    |    1|  965.531   pc  | -11.0938    +11.0938  |paral   |2020yCat.1350....0G
46  |BD+81 261                                                                                                                                                                      |Star                              |08 08 34.1349939432 +80 40 52.047833412|133.0806506602456 +29.8385037497918| -5.622 -22.382    |10.36    |K0               |    ~     ~    |    1|  738.662   pc  |  -6.3838     +6.3838  |paral   |2020yCat.1350....0G
47  |BD+81 262                                                                                                                                                                      |Spectroscopic Binary              |08 09 11.4318952032 +80 57 39.214614168|132.7613991114164 +29.7920314407363| 13.245 -33.130    |10.47    |F0               |    ~     ~    |    1|  506.380   pc  | -10.4363    +10.4363  |paral   |2020yCat.1350....0G
48  |HD 65625                                                                                                                                                                       |Star                              |08 11 55.9188896568 +81 03 07.380217836|132.6277496728713 +29.8716917911224| -10.954 -1.325    |8.37     |G5               |    ~     ~    |    1|  358.835   pc  |  -2.6911     +2.6911  |paral   |2020yCat.1350....0G
49  |BD+81 264                                                                                                                                                                      |Star                              |08 14 09.1170016392 +81 13 43.547313252|132.4047747666508 +29.9057663371442|  -2.209 -3.184    |10.16    |K0               |    ~     ~    |    1|  788.519   pc  |  -8.3938     +8.3938  |paral   |2020yCat.1350....0G
50  |HD 64555                                                                                                                                                                       |High Proper Motion Star           |08 05 53.3824680360 +80 13 07.458397356|133.6288659763170 +29.8422472584074|-27.822 -50.287    |9.10     |G5               |    ~     ~    |    1|  129.264   pc  |  -0.9140     +0.9140  |paral   |2020yCat.1350....0G
51  |TYC 4546-560-1                                                                                                                                                                 |Star                              |08 07 20.4078211320 +80 31 52.967899848|133.2621822642040 +29.8267250121756|   -1.835 0.548    |9.44     |~                |    ~     ~    |    1|  474.024   pc  |  -2.5391     +2.5391  |paral   |2020yCat.1350....0G
52  |TYC 4546-613-1                                                                                                                                                                 |Star                              |08 09 53.4733291776 +80 02 42.325541412|133.7756336259655 +30.0505046854175|   -3.594 0.261    |10.37    |~                |    ~     ~    |    1|  634.598   pc  |  -8.0543     +8.0543  |paral   |2020yCat.1350....0G
53  |TYC 4546-830-1                                                                                                                                                                 |Star                              |08 00 07.4377520352 +80 32 45.885943212|133.3232616641719 +29.5346036358225| -4.687 -14.945    |10.19    |~                |    ~     ~    |    1|  522.685   pc  |  -4.5351     +4.5351  |paral   |2020yCat.1350....0G
54  |TYC 4546-943-1                                                                                                                                                                 |Spectroscopic Binary              |08 02 26.0077409160 +82 16 16.400672868|131.3718733298806 +29.2307625146577|   5.217 13.999    |10.78    |~                |    ~     ~    |    1|  285.274   pc  |  -4.6225     +4.6225  |paral   |2020yCat.1350....0G
55  |TYC 4546-1945-1                                                                                                                                                                |Star                              |08 01 11.0740411800 +80 51 35.280137268|132.9605986612992 +29.5088054202950| -9.085 -15.468    |10.79    |~                |    ~     ~    |    1|  408.547   pc  |  -2.1698     +2.1698  |paral   |2020yCat.1350....0G
56  |TYC 4631-2494-1                                                                                                                                                                |Star                              |08 04 18.2093489304 +82 31 45.275647368|131.0678535710887 +29.2280430762140|  34.433 15.294    |10.72    |~                |    ~     ~    |    1|  292.278   pc  |  -1.0337     +1.0337  |paral   |2020yCat.1350....0G
57  |TYC 4631-2790-1                                                                                                                                                                |Star                              |08 08 05.9898909120 +83 04 46.126494768|130.4236745089973 +29.2004956774570|  0.156 -12.852    |10.98    |~                |    ~     ~    |    1|  956.480   pc  |  -8.8741     +8.8741  |paral   |2020yCat.1350....0G
58  |BD+80 245                                                                                                                                                                      |Chemically Peculiar Star          |08 11 06.2398198478 +79 54 29.556322137|133.9134837232878 +30.1359193125214|136.700 -367.493   |9.96     |G0               |    ~     ~    |    1|  231.922   pc  |  -0.6508     +0.6508  |paral   |2020yCat.1350....0G
59  |HD 64321                                                                                                                                                                       |Star                              |08 04 10.6368077808 +79 37 35.805850860|134.3135057981382 +29.9036704215951|   17.474 2.879    |8.56     |G5               |    ~     ~    |    1|  155.422   pc  |  -0.3937     +0.3937  |paral   |2020yCat.1350....0G
60  |BD+79 262                                                                                                                                                                      |High Proper Motion Star           |08 00 27.2232926880 +79 04 59.407250340|134.9678870139170 +29.8495971141355|-23.307 -49.544    |10.10    |F5               |    ~     ~    |    1|  326.605   pc  |  -1.3761     +1.3761  |paral   |2020yCat.1350....0G
61  |HD 64486                                                                                                                                                                       |High Proper Motion Star           |08 04 47.0588749680 +79 28 46.609833972|134.4719161435605 +29.9630017676746|-28.922 -50.085    |5.387    |B9.5IVs          |    ~     ~    |    1|  104.493   pc  |  -0.9565     +0.9565  |paral   |2020yCat.1350....0G
62  |NSV 3853                                                                                                                                                                       |Variable Star                     |08 05 36.8791830720 +79 26 21.659449272|134.5074421613835 +30.0090054452072|    0.597 0.249    |9.68     |G5               |    ~     ~    |    1|  723.956   pc  |  -6.3942     +6.3942  |paral   |2020yCat.1350....0G
63  |TYC 4543-1417-1                                                                                                                                                                |High Proper Motion Star           |08 06 55.2647152872 +79 31 49.460286972|134.3893424598663 +30.0462733785290|-45.665 -44.699    |10.03    |F8               |    ~     ~    |    1|  137.807   pc  |  -0.2355     +0.2355  |paral   |2020yCat.1350....0G
64  |TYC 4543-1753-1                                                                                                                                                                |High Proper Motion Star           |08 07 31.7047740408 +79 47 23.212389156|134.0906978347599 +30.0121234524415| 31.595 -41.183    |10.13    |~                |    ~     ~    |    1|  214.929   pc  |  -1.7462     +1.7462  |paral   |2020yCat.1350....0G
65  |TYC 4543-1810-1                                                                                                                                                                |Star                              |08 03 16.4176765920 +79 34 52.545535428|134.3748160220285 +29.8737874133467|  -0.699 -1.602    |9.98     |~                |    ~     ~    |    1|  805.283   pc  |  -6.7442     +6.7442  |paral   |2020yCat.1350....0G
66  |2MASS J08032832+7918565                                                                                                                                                        |Red Giant Branch star             |08 03 28.3252631952 +79 18 56.483942616|134.6717437043782 +29.9398390716590|   1.034 -4.277    |10.91    |~                |    ~     ~    |    1|  891.822   pc  |  -8.8283     +8.8283  |paral   |2020yCat.1350....0G
67  |TYC 4543-2257-1                                                                                                                                                                |Spectroscopic Binary              |08 01 34.9449847800 +79 26 30.936915276|134.5506188004720 +29.8280886740824| -2.410 -43.324    |10.29    |~                |    ~     ~    |    1|  212.712   pc  |  -6.7779     +6.7779  |paral   |2020yCat.1350....0G
68  |TYC 4546-816-1                                                                                                                                                                 |Star                              |08 01 30.6960921672 +80 09 15.047405496|133.7494235902927 +29.6748698335309|  1.088 -12.640    |10.75    |~                |    ~     ~    |    1|  411.049   pc  |  -2.0782     +2.0782  |paral   |2020yCat.1350....0G
69  |BD+79 263                                                                                                                                                                      |High Proper Motion Star           |08 02 14.7137009040 +78 52 07.589675424|135.1901582243667 +29.9768002967370| 16.149 -62.327    |9.35     |G0               |    ~     ~    |    1|  144.119   pc  |  -1.0261     +1.0261  |paral   |2020yCat.1350....0G
70  |BD+79 264                                                                                                                                                                      |Star                              |08 02 33.0195046632 +78 39 59.260181580|135.4153302475651 +30.0327325520105|  14.478 16.491    |9.41     |F8               |    ~     ~    |    1|  223.299   pc  |  -0.5784     +0.5784  |paral   |2020yCat.1350....0G
71  |TYC 4543-2037-1                                                                                                                                                                |Star                              |08 08 01.3754709432 +79 08 17.002220100|134.8169120291004 +30.1867985061803|-18.257 -32.759    |10.85    |F8               |    ~     ~    |    1|  170.538   pc  |  -0.3054     +0.3054  |paral   |2020yCat.1350....0G
72  |TYC 4543-2651-1                                                                                                                                                                |Star                              |08 09 31.1902500336 +79 03 46.405944072|134.8822174698596 +30.2732467239120|    9.237 8.032    |10.86    |F5               |    ~     ~    |    1|  396.024   pc  |  -3.3406     +3.3406  |paral   |2020yCat.1350....0G
73  |HD 66239                                                                                                                                                                       |Star                              |08 12 44.6692117272 +79 13 15.791595996|134.6613911555882 +30.3816201532480| -6.768 -10.912    |9.19     |A2               |    ~     ~    |    1|  468.187   pc  | -14.7302    +14.7302  |paral   |2020yCat.1350....0G
74  |BD+79 266                                                                                                                                                                      |Star                              |08 10 37.0208476848 +78 51 30.673643112|135.0975416811382 +30.3731435112835| -7.276 -13.106    |9.18     |K0               |    ~     ~    |    1|  536.136   pc  |  -3.6792     +3.6792  |paral   |2020yCat.1350....0G
75  |BD+78 274                                                                                                                                                                      |Star                              |08 04 03.7047002088 +78 12 25.909060068|135.9169876934571 +30.2011329765148|   6.271 11.274    |9.50     |F5               |    ~     ~    |    1|  244.272   pc  |  -1.2113     +1.2113  |paral   |2020yCat.1350....0G
76  |HD 65017                                                                                                                                                                       |High Proper Motion Star           |08 06 13.6393346784 +78 16 06.147422112|135.8207821246056 +30.2960847045557|-16.071 -70.536    |8.37     |K0               |    ~     ~    |    1|  249.975   pc  |  -0.9811     +0.9811  |paral   |2020yCat.1350....0G
77  |BD+78 276                                                                                                                                                                      |Star                              |08 07 27.6162308280 +77 59 36.414958452|136.1157903000062 +30.4177468498861|   13.737 8.365    |9.31     |K0               |    ~     ~    |    1|  613.911   pc  | -16.4700    +16.4700  |paral   |2020yCat.1350....0G
78  |HIP 40095                                                                                                                                                                      |Red Giant Branch star             |08 11 23.6869469568 +78 15 31.624597512|135.7623867722325 +30.5541658284035|    1.111 2.597    |10.4     |K0               |    ~     ~    |    1| 1676.165   pc  | -32.5905    +32.5905  |paral   |2020yCat.1350....0G
79  |HD 63855                                                                                                                                                                       |High Proper Motion Star           |08 00 05.1709749288 +77 38 45.055450284|136.6005867279213 +30.1067158834860| 14.572 -53.788    |7.73     |K0               |    ~     ~    |    1|  163.324   pc  |  -0.4348     +0.4348  |paral   |2020yCat.1350....0G
80  |BD+77 304                                                                                                                                                                      |Star                              |08 01 06.0134717616 +77 32 37.679340948|136.7048678383902 +30.1791550870676|    4.993 7.682    |9.52     |K0               |    ~     ~    |    1|  558.191   pc  |  -3.5520     +3.5520  |paral   |2020yCat.1350....0G
81  |BD+77 307                                                                                                                                                                      |Star                              |08 03 38.9119467096 +77 29 44.077453836|136.7289950381567 +30.3235337489344|  4.162 -12.532    |9.56     |K2               |    ~     ~    |    1| 1679.261   pc  | -34.6850    +34.6850  |paral   |2020yCat.1350....0G
82  |BD+77 310                                                                                                                                                                      |Star                              |08 06 44.6916087768 +77 30 57.245704452|136.6662612396703 +30.4833150710056| 12.279 -21.520    |9.75     |F5               |    ~     ~    |    1|  149.145   pc  |  -0.5450     +0.5450  |paral   |2020yCat.1350....0G
83  |HD 65300                                                                                                                                                                       |Star                              |08 06 35.7095481672 +77 06 00.491705496|137.1402767143847 +30.5620218808599|   20.517 3.450    |8.93     |F5               |    ~     ~    |    1|  189.530   pc  |  -0.4562     +0.4562  |paral   |2020yCat.1350....0G
84  |HD 65541                                                                                                                                                                       |Star                              |08 07 55.0559116200 +77 22 04.889400780|136.8182584079463 +30.5770690222293|  10.005 -8.485    |8.83     |K2               |    ~     ~    |    1|  308.109   pc  |  -1.3385     +1.3385  |paral   |2020yCat.1350....0G
85  |HD 66525                                                                                                                                                                       |Star                              |08 12 32.0225117520 +77 17 03.841356732|136.8470696911033 +30.8425565898640|-27.330 -14.290    |9.26     |K0               |    ~     ~    |    1|  466.853   pc  |  -2.3757     +2.3757  |paral   |2020yCat.1350....0G
86  |BD+77 318                                                                                                                                                                      |Star                              |08 14 33.7847478048 +76 48 00.098272152|137.3647802003648 +31.0671502604905|  -14.037 5.244    |10.60    |K5               |    ~     ~    |    1|  285.853   pc  |  -1.2175     +1.2175  |paral   |2020yCat.1350....0G
87  |TYC 4540-1044-1                                                                                                                                                                |High Proper Motion Star           |08 12 59.0907842640 +76 55 40.206023508|137.2443703703976 +30.9499987945859|  61.857 57.441    |10.81    |~                |    ~     ~    |    1|  132.705   pc  |  -0.2149     +0.2149  |paral   |2020yCat.1350....0G
88  |TYC 4540-1360-1                                                                                                                                                                |Star                              |08 06 21.5092621728 +77 23 56.112581724|136.8040950731974 +30.4873250457059| -4.783 -14.738    |10.89    |~                |    ~     ~    |    1|  288.334   pc  |  -1.1722     +1.1722  |paral   |2020yCat.1350....0G
