C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
38  |BD-00 2254                                                                                               |Star                              |09 50 06.8431342560 -00 47 57.604228548|238.0211955590196 +38.2612985606437| -6.351 -18.074    |9.98     |K0             |    ~     ~    |    1|  282.678   pc  |  -1.5981     +1.5981  |paral   |2020yCat.1350....0G
39  |HD 85169                                                                                                 |Star                              |09 50 09.2497806192 -01 05 07.054263996|238.3216549906625 +38.0997705952553|  -8.368 -1.307    |9.72     |A9V            |    ~     ~    |    1|  511.587   pc  |  -8.8462     +8.8462  |paral   |2020yCat.1350....0G
40  |HD 85219                                                                                                 |Star                              |09 50 23.9341760688 -01 25 20.038888164|238.7113681938666 +37.9480374099940| -18.497 -0.668    |7.80     |K0III          |    ~     ~    |    1|  423.944   pc  |  -5.4638     +5.4638  |paral   |2020yCat.1350....0G
41  |HD 85272                                                                                                 |Star                              |09 50 42.6400887528 -00 47 50.327726316|238.1317117950008 +38.3826618914798|  17.523 -7.801    |9.01     |K3III          |    ~     ~    |    1|  526.537   pc  |  -7.7905     +7.7905  |paral   |2020yCat.1350....0G
42  |HD 85273                                                                                                 |Star                              |09 50 43.7510111784 -01 10 34.011129792|238.5231984269920 +38.1611916373951|  2.629 -11.755    |8.53     |K0III          |    ~     ~    |    1|  330.349   pc  |  -2.8156     +2.8156  |paral   |2020yCat.1350....0G
43  |HD 85676                                                                                                 |Star                              |09 53 24.6957434952 -00 47 11.834332872|238.6351915290857 +38.9316514493992|  -17.858 9.310    |8.13     |K2III          |    ~     ~    |    1|  538.358   pc  |  -7.7674     +7.7674  |paral   |2020yCat.1350....0G
44  |HD 85710                                                                                                 |Star                              |09 53 32.6790642720 -01 36 56.714180688|239.5097657375604 +38.4597862922826|   -6.883 4.798    |8.73     |K1III          |    ~     ~    |    1|  379.983   pc  | -17.1820    +17.1820  |paral   |2020yCat.1350....0G
45  |BD-00 2265                                                                                               |Star                              |09 54 06.1664616864 -01 27 05.692032432|239.4504172656601 +38.6701531592508| -14.052 -9.350    |9.61     |K0             |    ~     ~    |    1|  533.220   pc  |  -5.2600     +5.2600  |paral   |2020yCat.1350....0G
46  |HD 85834                                                                                                 |Be Star                           |09 54 30.4770959184 -01 16 14.752280136|239.3440564158656 +38.8600787976183|  -0.864 -4.237    |8.50     |B5IVe          |    ~     ~    |    1|  413.035   pc  |  -4.3332     +4.3332  |paral   |2020yCat.1350....0G
47  |HD 85917                                                                                                 |Spectroscopic Binary              |09 55 06.4628876976 -01 23 10.192328016|239.5785765264477 +38.9096965491067|   -0.051 1.159    |8.91     |G5V            |    ~     ~    |    1|  478.446   pc  | -13.8491    +13.8491  |paral   |2020yCat.1350....0G
48  |HD 85990                                                                                                 |High Proper Motion Star           |09 55 35.1488646000 -01 07 34.701412908|239.4052599326669 +39.1620500217899| 25.653 -66.017    |7.99     |K0III          |    ~     ~    |    1|  249.563   pc  |  -1.5197     +1.5197  |paral   |2020yCat.1350....0G
49  |BD-00 2271                                                                                               |Star                              |09 55 44.6613733944 -00 52 10.897176396|239.1718102916276 +39.3484456625660|-22.973 -10.199    |10.8     |G0             |    ~     ~    |    1|  429.074   pc  |  -4.9708     +4.9708  |paral   |2020yCat.1350....0G
50  |TYC 4895-1622-1                                                                                          |Star                              |09 48 22.3538825304 -01 55 03.895588704|238.8302316503354 +37.2458444175836|   -4.356 2.928    |10.66    |K2             |    ~     ~    |    1| 1037.237   pc  | -19.9034    +19.9034  |paral   |2020yCat.1350....0G
51  |BD-01 2304                                                                                               |Star                              |09 49 05.0926611720 -02 11 14.073121680|239.2351374153979 +37.2263802787974|  -2.146 -2.588    |9.75     |K2             |    ~     ~    |    1|  596.588   pc  |  -8.4352     +8.4352  |paral   |2020yCat.1350....0G
