C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2709|HD 84742                                                                                                 |High Proper Motion Star           |09 46 13.3346664600 -40 38 08.269839564|269.1013754355327 +09.7656373790241| 91.512 115.341    |7.94     |F8/G0V         |    ~     ~    |    1|   48.763   pc  |  -0.0404     +0.0404  |paral   |2020yCat.1350....0G
2710|HD 84788                                                                                                 |Star                              |09 46 28.0232311608 -41 07 38.157260052|269.4621763630966 +09.4231670816255| -15.950 10.923    |8.85     |G8II/III       |    ~     ~    |    1|  447.063   pc  | -10.3900    +10.3900  |ST-L    |2020AJ....160...83S
2711|HD 84805                                                                                                 |High Proper Motion Star           |09 46 34.6123211280 -40 40 45.805444032|269.1820661478882 +09.7763577332226| -74.974 23.310    |7.56     |A0V            |    ~     ~    |    1|  150.998   pc  |  -0.8140     +0.8140  |paral   |2020yCat.1350....0G
2712|HD 84845                                                                                                 |High Proper Motion Star           |09 46 58.6791139512 -41 23 27.947794128|269.7100750711846 +09.2853395261036| -37.946 33.470    |8.61     |K1III          |    ~     ~    |    1|  281.544   pc  |  -4.6390     +4.6390  |ST-L    |2020AJ....160...83S
2713|CD-41 5316                                                                                               |High Proper Motion Star           |09 45 05.7465250992 -42 08 03.449761260|269.9309589281510 +08.4929365317700| 24.422 -43.521    |10.18    |F2             |    ~     ~    |    1|  216.071   pc  |  -0.5789     +0.5789  |paral   |2020yCat.1350....0G
2714|CD-41 5321                                                                                               |Pulsating Variable                |09 45 22.8372526152 -42 11 13.590000240|270.0062536143005 +08.4874312260421| -16.482 -2.349    |10.41    |A5             |    ~     ~    |    1|  338.730   pc  |  -1.3310     +1.3310  |paral   |2020yCat.1350....0G
2715|CD-41 5325B                                                                                              |Star                              |09 45 43.8692988984 -41 39 53.203813308|269.7112779796926 +08.9256807553479|  -13.331 2.769    |9.25     |~              |    ~     ~    |    1|  341.845   pc  |  -1.8697     +1.8697  |paral   |2020yCat.1350....0G
2716|HD 84673                                                                                                 |Double or Multiple Star           |09 45 43.89189 -41 40 01.1132          |269.71278349 +08.92406211          |    -14.65 2.12    |7.9      |B9IV           |    ~     ~    |    0|                |                       |        |                   
2717|CD-41 5327                                                                                               |Star                              |09 45 51.4181 -42 06 39.488            |270.0236979 +08.6027350            |      -23.4 0.2    |10.21    |F5             |    ~     ~    |    0|                |                       |        |                   
2718|HD 84728                                                                                                 |Star                              |09 46 03.0553624776 -41 46 13.414275588|269.8267867670908 +08.8845416502728|   2.930 17.989    |9.26     |G8/K0(III)+F/G |    ~     ~    |    1|  137.588   pc  |  -0.2366     +0.2366  |paral   |2020yCat.1350....0G
2719|CD-41 5332                                                                                               |Star                              |09 46 31.7004577896 -41 58 32.672641188|270.0303499630764 +08.7865276897762|   -9.060 7.157    |10.56    |A0             |    ~     ~    |    1|  729.235   pc  |  -8.8276     +8.8276  |paral   |2020yCat.1350....0G
2720|CD-41 5333                                                                                               |Star                              |09 46 32.5162857456 -41 46 09.811288992|269.8964615574856 +08.9449151447835|  -0.098 -1.566    |10.39    |B8             |    ~     ~    |    1| 1117.818   pc  | -38.3602    +38.3602  |paral   |2020yCat.1350....0G
2721|HD 84815                                                                                                 |Double or Multiple Star           |09 46 33.7510 -41 49 09.724            |269.9323167 +08.9094518            |  -10.371 5.890    |9.72     |A1/2V          |    ~     ~    |    0|                |                       |        |                   
2722|CD-39 5928                                                                                               |Star                              |09 53 25.6196162568 -40 29 20.463736272|270.0692393372910 +10.7590325962506|  -12.483 7.754    |9.66     |K5             |    ~     ~    |    1|  536.021   pc  |  -3.2180     +3.2180  |paral   |2020yCat.1350....0G
2723|HD 84903                                                                                                 |Chemically Peculiar Star          |09 47 19.2015403296 -41 27 04.199867280|269.7990106109636 +09.2813100817782| -19.640 -4.561    |8.04     |GwA/F(V)       |    ~     ~    |    1| 1383.892   pc  | -42.1334    +42.1334  |paral   |2020yCat.1350....0G
2724|HD 84977                                                                                                 |Double or Multiple Star           |09 47 43.67914 -40 51 17.3478          |269.46584550 +09.78487157          |    -28.53 4.10    |8.53     |F0IV           |    ~     ~    |    0|                |                       |        |                   
2725|HD 85045                                                                                                 |Double or Multiple Star           |09 48 11.90562 -41 25 37.6354          |269.91030195 +09.40629181          |    -11.51 6.15    |8.49     |A7V            |    ~     ~    |    0|                |                       |        |                   
2726|CD-40 5525                                                                                               |High Proper Motion Star           |09 48 19.5083419944 -40 48 52.948170432|269.5267579581893 +09.8886254030344| -53.342 11.228    |9.89     |F5             |    ~     ~    |    1|  224.311   pc  |  -0.7698     +0.7698  |paral   |2020yCat.1350....0G
2727|CD-40 5530                                                                                               |Star                              |09 48 52.8666131064 -41 32 52.852535916|270.0883820905477 +09.3965768573830|   -8.004 1.315    |9.89     |K0             |    ~     ~    |    1|  639.144   pc  | -98.2100    +98.2100  |ST-L    |2020AJ....160...83S
2728|CD-40 5531                                                                                               |Star                              |09 49 02.7940102320 -40 47 11.008884660|269.6139141069029 +09.9984983772589|  -3.730 -3.523    |9.45     |K5             |    ~     ~    |    1|  773.754   pc  |  -7.9028     +7.9028  |paral   |2020yCat.1350....0G
2729|CD-40 5532                                                                                               |Star                              |09 49 09.9203500704 -40 46 44.188601556|269.6264677561264 +10.0187016521374|  -9.749 -5.980    |9.07     |K7             |    ~     ~    |    1|  480.054   pc  |  -4.1251     +4.1251  |paral   |2020yCat.1350....0G
2730|HD 85184                                                                                                 |Star                              |09 49 12.2012001072 -40 38 51.320948424|269.5459521473537 +10.1236814311311| 16.474 -32.843    |8.99     |F3/5V          |    ~     ~    |    1|  104.971   pc  |  -0.1510     +0.1510  |paral   |2020yCat.1350....0G
2731|CD-40 5536                                                                                               |Star                              |09 49 20.9941789104 -40 46 53.360701428|269.6552469530635 +10.0392951645935|   -0.436 7.014    |9.99     |A2             |    ~     ~    |    1|  332.579   pc  |  -1.4158     +1.4158  |paral   |2020yCat.1350....0G
2732|HD 85311                                                                                                 |Star                              |09 49 50.8980010200 -40 58 49.671824844|269.8585558377774 +09.9477736378043| -16.839 -1.010    |9.42     |F0V            |    ~     ~    |    1|  273.883   pc  |  -0.9151     +0.9151  |paral   |2020yCat.1350....0G
2733|HD 85369                                                                                                 |High Proper Motion Star           |09 50 19.3053200592 -40 51 34.728042456|269.8492592489827 +10.0978148343029| -52.973 40.866    |8.77     |K0III          |    ~     ~    |    1|  281.278   pc  |  -1.3371     +1.3371  |paral   |2020yCat.1350....0G
2734|HD 85406                                                                                                 |Star                              |09 50 30.2170133568 -41 19 55.002163872|270.1836348647750 +09.7575850464157|-22.110 -20.469    |9.45     |F3V            |    ~     ~    |    1|  174.338   pc  |  -0.4407     +0.4407  |paral   |2020yCat.1350....0G
2735|CD-40 5550                                                                                               |Star                              |09 51 01.5845496456 -40 52 50.185113780|269.9667366857472 +10.1671794732759|  -14.529 9.658    |9.88     |F0             |    ~     ~    |    1|  198.306   pc  |  -0.4798     +0.4798  |paral   |2020yCat.1350....0G
2736|CD-40 5551                                                                                               |Star                              |09 51 04.7377914768 -40 56 07.515794076|270.0101449546992 +10.1314385813916|   -9.856 2.042    |10.59    |A0             |    ~     ~    |    1|  761.093   pc  |  -9.6158     +9.6158  |paral   |2020yCat.1350....0G
2737|CD-40 5554                                                                                               |Double or Multiple Star           |09 51 14.211600 -41 08 55.47408        |270.172020930 +09.986565710        |     -68.0 25.8    |9.93     |G0             |    ~     ~    |    0|                |                       |        |                   
2738|CD-40 5559                                                                                               |Star                              |09 51 35.1670 -41 32 35.466            |270.4789589 +09.7249728            |   -6.151 0.451    |10.64    |F0             |    ~     ~    |    0|                |                       |        |                   
2739|CD-40 5560                                                                                               |Star                              |09 51 40.4285410296 -41 05 32.601505704|270.1997284910087 +10.0824989654506| -15.869 -3.523    |9.95     |F2             |    ~     ~    |    1|  276.045   pc  |  -1.0287     +1.0287  |paral   |2020yCat.1350....0G
2740|CD-40 5565                                                                                               |Star                              |09 52 07.5768061200 -40 57 41.314382424|270.1816235147786 +10.2377500451762| -23.773 18.202    |10.31    |G5             |    ~     ~    |    1|  148.825   pc  |  -0.2769     +0.2769  |paral   |2020yCat.1350....0G
2741|CD-40 5582                                                                                               |Star                              |09 53 09.4926118320 -40 40 36.837109164|270.1505697242289 +10.5815052844616|   -9.742 3.702    |10.01    |A2             |    ~     ~    |    1|  312.793   pc  |  -1.3306     +1.3306  |paral   |2020yCat.1350....0G
2742|CD-40 5590                                                                                               |Star                              |09 53 43.7816146488 -40 48 20.685667644|270.3188453880562 +10.5506093500841|  -36.130 9.722    |9.47     |~              |    ~     ~    |    1|  371.747   pc  |  -1.7689     +1.7689  |paral   |2020yCat.1350....0G
2743|HD 86050                                                                                                 |High Proper Motion Star           |09 55 02.3335624534 -40 45 33.343818994|270.4843635080695 +10.7432726135799|-305.216 128.708   |8.16     |F7V            |    ~     ~    |    1|   64.8143  pc  |  -0.0693     +0.0693  |paral   |2020yCat.1350....0G
2744|CD-41 5345                                                                                               |Star                              |09 47 12.0393074520 -41 50 07.138704372|270.0342970020715 +08.9745496243404|    1.213 0.122    |10.00    |F8             |    ~     ~    |    1|  197.278   pc  |  -1.2921     +1.2921  |paral   |2020yCat.1350....0G
2745|HD 85102                                                                                                 |Double or Multiple Star           |09 48 29.4537 -42 02 53.496            |270.3589422 +08.9674739            |       -6.1 4.4    |9.94     |A7/9(V)        |    ~     ~    |    0|                |                       |        |                   
2746|CD-41 5361                                                                                               |Star                              |09 48 34.1924483376 -41 54 50.436131400|270.2826314403646 +09.0794583349457|  -12.013 5.073    |9.25     |M0             |    ~     ~    |    1| 1067.464   pc  | -19.3711    +19.3711  |paral   |2020yCat.1350....0G
2747|CD-41 5364                                                                                               |Star                              |09 48 43.4308577640 -41 39 17.105601312|270.1353948068743 +09.2960521918854|  -12.306 8.430    |9.61     |K0             |    ~     ~    |    1|  653.959   pc  | -32.5500    +32.5500  |ST-L    |2020AJ....160...83S
2748|CD-41 5369                                                                                               |Star                              |09 49 08.9643283776 -41 57 37.755855792|270.3964243717314 +09.1133766054137|   -2.061 1.452    |10.07    |~              |    ~     ~    |    1|  536.021   pc  |  -4.8557     +4.8557  |paral   |2020yCat.1350....0G
2749|CD-41 5371                                                                                               |Star                              |09 49 14.8351181568 -41 42 34.139585016|270.2468579868516 +09.3171879651362| -35.790 13.198    |9.97     |F5             |    ~     ~    |    1|  235.877   pc  |  -0.6843     +0.6843  |paral   |2020yCat.1350....0G
2750|HD 85388                                                                                                 |Star                              |09 50 23.3929481760 -41 46 32.360278980|270.4555016590709 +09.4033706170702|   0.128 -1.398    |7.42     |K2/3III        |    ~     ~    |    1|  396.024   pc  |  -2.3368     +2.3368  |paral   |2020yCat.1350....0G
2751|V* CE Vel                                                                                                |Long-Period Variable              |09 49 00.9351471672 -41 49 24.618046332|270.2877751800711 +09.2021394375119|  -9.848 -5.127    |10.04    |M4             |    ~     ~    |    1|  739.973   pc  | -19.5479    +19.5479  |paral   |2020yCat.1350....0G
2752|HD 84569                                                                                                 |Star                              |09 45 01.2864047232 -42 16 00.232441500|270.0079448083895 +08.3837093027185|   -8.883 9.520    |8.82     |G8III          |    ~     ~    |    1|  397.994   pc  |  -1.9800     +1.9800  |paral   |2020yCat.1350....0G
2753|CD-41 5346                                                                                               |Star                              |09 47 12.3925709184 -42 20 56.900817348|270.3722694203775 +08.5840996990920| -18.084 11.711    |10.28    |F5             |    ~     ~    |    1|  284.301   pc  |  -1.0992     +1.0992  |paral   |2020yCat.1350....0G
2754|IRAS 09477-4110                                                                                          |Star                              |09 49 46.7458662384 -41 24 36.957761604|270.1289236891562 +09.6102693054722|   -6.198 1.720    |9.77     |~              |    ~     ~    |    1| 1377.031   pc  | -33.3734    +33.3734  |paral   |2020yCat.1350....0G
2755|CD-39 5869                                                                                               |Star                              |09 49 56.2670159256 -40 13 04.297810476|269.3728325561619 +10.5422411002194|  -14.608 6.554    |9.88     |~              |    ~     ~    |    1|  520.264   pc  |  -7.7142     +7.7142  |paral   |2020yCat.1350....0G
2756|CD-39 5901                                                                                               |Star                              |09 51 39.9303762912 -40 23 50.040778092|269.7468896694054 +10.6161662678002|   -9.222 4.508    |9.12     |~              |    ~     ~    |    1|  559.409   pc  |  -4.8818     +4.8818  |paral   |2020yCat.1350....0G
2757|CD-41 5317                                                                                               |Star                              |09 45 12.4785360288 -41 46 15.384334404|269.7066580240598 +08.7815251347340|  -24.221 0.197    |9.63     |~              |    ~     ~    |    1|  606.722   pc  |  -5.2272     +5.2272  |paral   |2020yCat.1350....0G
2758|CD-40 5479                                                                                               |Star                              |09 45 25.0807674912 -40 54 37.045065564|269.1666239665642 +09.4582567588261|   -8.330 1.862    |10.07    |~              |    ~     ~    |    1| 1530.456   pc  | -35.8371    +35.8371  |paral   |2020yCat.1350....0G
2759|CD-40 5509                                                                                               |Star                              |09 47 04.5004676856 -40 38 33.998993448|269.2306045977856 +09.8656739298532|   -3.273 0.550    |10.07    |~              |    ~     ~    |    1|  703.532   pc  |  -5.7415     +5.7415  |paral   |2020yCat.1350....0G
2760|CD-40 5519                                                                                               |Star                              |09 47 46.7308609008 -40 45 06.272659260|269.4053987241759 +09.8695475500045|  -2.741 -6.592    |10.441   |~              |    ~     ~    |    1|  652.054   pc  | -23.8500    +23.8500  |ST-L    |2020AJ....160...83S
2761|CD-41 5360                                                                                               |Eclipsing Binary                  |09 48 33.3917895648 -42 05 29.058756936|270.3965852152317 +08.9423150627599|   -5.393 8.458    |9.77     |K5:III+A7/F0:V |    ~     ~    |    1|  929.368   pc  | -14.2515    +14.2515  |paral   |2020yCat.1350....0G
2762|CD-40 5528                                                                                               |Star                              |09 48 50.7010453368 -41 02 35.991207780|269.7528125107990 +09.7777180417510|  -6.245 12.402    |10.016   |~              |    ~     ~    |    1|  279.977   pc  |  -3.3100     +3.3100  |ST-L    |2020AJ....160...83S
2763|CD-40 5542                                                                                               |Star                              |09 49 54.8936606880 -40 35 27.645566028|269.6137778455360 +10.2539735629158|  -11.611 6.155    |10.15    |~              |    ~     ~    |    1|  658.415   pc  |  -8.4534     +8.4534  |paral   |2020yCat.1350....0G
2764|CD-39 5890                                                                                               |Star                              |09 50 53.6026750296 -40 27 12.494325096|269.6687543534163 +10.4788521928879| -25.675 17.897    |9.47     |~              |    ~     ~    |    1|  749.674   pc  | -28.8600    +28.8600  |ST-L    |2020AJ....160...83S
2765|CD-40 5567                                                                                               |Star                              |09 52 15.9772207344 -41 19 36.090037560|270.4386109761147 +09.9730467289448|  -11.770 7.209    |9.72     |~              |    ~     ~    |    1|  673.265   pc  |  -4.7595     +4.7595  |paral   |2020yCat.1350....0G
2766|CD-40 5573                                                                                               |Star                              |09 52 40.9103062176 -41 09 37.723202028|270.3924112393478 +10.1509775985363| -4.191 -21.332    |10.00    |~              |    ~     ~    |    1|  471.431   pc  |  -2.7559     +2.7559  |paral   |2020yCat.1350....0G
2767|CD-40 5598                                                                                               |Star                              |09 54 08.8174910280 -41 00 50.942092464|270.5150795943820 +10.4391764519090|   -5.262 1.919    |10.00    |~              |    ~     ~    |    1| 1194.743   pc  | -15.9870    +15.9870  |paral   |2020yCat.1350....0G
2768|CD-40 5597                                                                                               |Star                              |09 54 09.0392271288 -40 53 55.508207100|270.4414139665508 +10.5290113497247| -16.668 11.850    |10.25    |~              |    ~     ~    |    1|  931.706   pc  | -26.7367    +26.7367  |paral   |2020yCat.1350....0G
2769|CD-40 5605                                                                                               |Star                              |09 54 36.8552166744 -40 51 54.367459992|270.4888710515267 +10.6104637061806|   -4.026 1.135    |10.50    |~              |    ~     ~    |    1| 1602.564   pc  | -29.7913    +29.7913  |paral   |2020yCat.1350....0G
2770|CD-39 5798                                                                                               |High Proper Motion Star           |09 45 22.2774463320 -40 08 49.074167076|268.6524085497467 +10.0291356515264| -79.174 48.922    |9.10     |F5             |    ~     ~    |    1|  104.771   pc  |  -0.1548     +0.1548  |paral   |2020yCat.1350....0G
2771|CD-39 5818                                                                                               |delta Sct Variable                |09 46 23.2965641688 -39 56 56.835323664|268.6702868475624 +10.3061051524205| -10.053 -2.546    |9.73     |~              |    ~     ~    |    1|  468.450   pc  |  -4.8497     +4.8497  |paral   |2020yCat.1350....0G
2772|CD-39 5883                                                                                               |Star                              |09 50 28.2829238496 -40 16 46.317300852|269.4924750602584 +10.5605653374341| -18.442 15.383    |9.77     |K0V            |    ~     ~    |    1| 1224.740   pc  | -38.2497    +38.2497  |paral   |2020yCat.1350....0G
2773|CD-39 5797                                                                                               |Spectroscopic Binary              |09 45 19.5165963912 -40 20 43.844012628|268.7778495425059 +09.8734675340383|-10.730 -15.146    |10.07    |~              |    ~     ~    |    1|  280.883   pc  |  -0.9783     +0.9783  |paral   |2020yCat.1350....0G
2774|GSC 07697-00795                                                                                          |Double or Multiple Star           |09 46 46.521408 -41 10 58.66608        |269.543585465 +09.418687752        |    -21.8 -11.2    |10.619   |~              |    ~     ~    |    0|                |                       |        |                   
2775|TYC 7697-852-1                                                                                           |Star                              |09 48 01.1378091792 -41 09 22.068681228|269.7064068811674 +09.5910386409516|   -9.348 4.595    |10.95    |~              |    ~     ~    |    1|  445.971   pc  |  -2.6452     +2.6452  |paral   |2020yCat.1350....0G
2776|GSC 07697-00908                                                                                          |Double or Multiple Star           |09 47 05.366136 -41 12 49.05108        |269.609294044 +09.433818520        |       -8.9 7.7    |10.978   |~              |    ~     ~    |    0|                |                       |        |                   
2777|TYC 7697-970-1                                                                                           |Star                              |09 46 21.2112793896 -41 14 37.549087980|269.5226999975121 +09.3208830333094|  -20.761 6.139    |10.82    |~              |    ~     ~    |    1|  414.010   pc  |  -2.1597     +2.1597  |paral   |2020yCat.1350....0G
2778|IRAS 09449-4052                                                                                          |Long-Period Variable              |09 46 59.3453112120 -41 06 58.102668828|269.5304932441902 +09.4956123149909|  -13.152 6.224    |10.91    |~              |    ~     ~    |    1| 1265.983   pc  | -47.4403    +47.4403  |paral   |2020yCat.1350....0G
2779|TYC 7697-1105-1                                                                                          |High Proper Motion Star           |09 45 00.9739158816 -40 58 47.388121464|269.1546784867855 +09.3560160382587|  2.389 -51.589    |10.75    |~              |    ~     ~    |    1|  232.342   pc  |  -0.6208     +0.6208  |paral   |2020yCat.1350....0G
2780|TYC 7697-1146-1                                                                                          |Star                              |09 47 45.6773201568 -41 05 11.345690256|269.6231478503200 +09.6126306165305| -20.951 11.282    |10.60    |~              |    ~     ~    |    1|  525.061   pc  | -14.2600    +14.2600  |ST-L    |2020AJ....160...83S
2781|TYC 7697-1272-1                                                                                          |Star                              |09 48 34.1161137888 -40 30 56.862047232|269.3659965790481 +10.1463426966013| -34.661 12.507    |10.97    |~              |    ~     ~    |    1|  137.622   pc  |  -0.7954     +0.7954  |paral   |2018yCat.1345....0G
2782|TYC 7697-1295-1                                                                                          |Star                              |09 47 12.5200931616 -40 41 40.834356612|269.2844112989794 +09.8427505037202|   -4.027 2.586    |10.75    |~              |    ~     ~    |    1|  979.720   pc  | -10.1744    +10.1744  |paral   |2020yCat.1350....0G
2783|GSC 07697-01498                                                                                          |Double or Multiple Star           |09 48 11.6916622776 -40 51 09.301765320|269.5325932888858 +09.8438058748803|  -33.672 7.563    |10.874   |~              |    ~     ~    |    1|  320.328   pc  |  -1.3955     +1.3955  |paral   |2020yCat.1350....0G
2784|TYC 7697-1687-1                                                                                          |Star                              |09 49 34.5320071632 -40 22 46.109086212|269.4250767205510 +10.3741626230166|   -7.731 4.888    |10.818   |~              |    ~     ~    |    1|  977.510   pc  | -36.9800    +36.9800  |ST-L    |2020AJ....160...83S
2785|TYC 7697-1699-1                                                                                          |Star                              |09 45 57.8489421264 -40 26 46.096161792|268.9380481114805 +09.8770474709634|  -14.373 7.196    |10.66    |~              |    ~     ~    |    1|  843.455   pc  |  -8.6081     +8.6081  |paral   |2020yCat.1350....0G
2786|TYC 7697-1711-1                                                                                          |Star                              |09 47 57.0142371216 -40 11 40.368532056|269.0632244107318 +10.3145664136926| -31.783 35.628    |10.162   |~              |    ~     ~    |    1|  285.188   pc  |  -6.2090     +6.2090  |ST-L    |2020AJ....160...83S
2787|TYC 7697-1738-1                                                                                          |Star                              |09 48 01.3937905584 -40 22 03.574634376|269.1881751530134 +10.1919131275653|  -17.196 1.958    |10.90    |~              |    ~     ~    |    1|  374.097   pc  |  -1.7074     +1.7074  |paral   |2020yCat.1350....0G
2788|TYC 7697-1843-1                                                                                          |Spectroscopic Binary              |09 45 40.1224080096 -40 14 02.058909000|268.7538318513058 +10.0006897273474| -18.313 10.276    |10.663   |~              |    ~     ~    |    1|  837.206   pc  | -38.2800    +38.2800  |ST-L    |2020AJ....160...83S
2789|TYC 7697-1879-1                                                                                          |Star                              |09 48 04.5982990296 -40 27 07.433032428|269.2516644460939 +10.1342746431778|   -8.730 4.945    |10.84    |~              |    ~     ~    |    1|  450.714   pc  |  -3.1284     +3.1284  |paral   |2020yCat.1350....0G
2790|TYC 7697-1917-1                                                                                          |Star                              |09 47 05.1379233672 -40 19 52.754489184|269.0262759394087 +10.1034014191868|   -5.935 3.154    |10.523   |~              |    ~     ~    |    1| 1634.000   pc  |-144.3000   +144.3000  |ST-L    |2020AJ....160...83S
2791|TYC 7697-1971-1                                                                                          |Star                              |09 48 03.3142603128 -40 18 27.776138796|269.1533685597966 +10.2414823228132|  -37.192 7.598    |10.42    |~              |    ~     ~    |    1|  299.491   pc  |  -1.1929     +1.1929  |paral   |2020yCat.1350....0G
2792|TYC 7697-2136-1                                                                                          |Star                              |09 45 38.4630721272 -40 17 28.720845528|268.7879559891917 +09.9538517820065| -2.688 -11.340    |10.342   |~              |    ~     ~    |    1|  696.737   pc  | -19.3000    +19.3000  |ST-L    |2020AJ....160...83S
2793|TYC 7697-2150-1                                                                                          |High Proper Motion Star           |09 48 36.7662472704 -40 15 15.663955104|269.2005032748321 +10.3510440770326|-111.043 45.153    |10.66    |~              |    ~     ~    |    1|  192.241   pc  |  -0.4435     +0.4435  |paral   |2020yCat.1350....0G
2794|TYC 7697-2157-1                                                                                          |High Proper Motion Star           |09 45 01.0906702608 -40 17 00.824436780|268.6917495205944 +09.8818208301305| -68.518 26.687    |10.87    |~              |    ~     ~    |    1|  221.936   pc  |  -0.6305     +0.6305  |paral   |2020yCat.1350....0G
2795|TYC 7697-2404-1                                                                                          |Star                              |09 48 08.2554842880 -40 00 17.074550592|268.9656459860693 +10.4821903908300|  -10.691 5.894    |10.40    |~              |    ~     ~    |    1|  735.781   pc  |  -6.4423     +6.4423  |paral   |2020yCat.1350....0G
2796|TYC 7697-2771-1                                                                                          |Star                              |09 46 02.5324649400 -40 20 41.307696060|268.8822049766436 +09.9634348426412|  -16.431 7.058    |10.57    |~              |    ~     ~    |    1|  756.430   pc  |  -8.5828     +8.5828  |paral   |2020yCat.1350....0G
2797|TYC 7697-2812-1                                                                                          |Star                              |09 47 04.8954364032 -40 05 57.475352256|268.8721105394252 +10.2789345422772| -14.134 11.000    |10.150   |~              |    ~     ~    |    1|  728.045   pc  | -31.7800    +31.7800  |ST-L    |2020AJ....160...83S
2798|TYC 7697-2951-1                                                                                          |Star                              |09 45 01.6604 -41 03 54.269            |269.2129430 +09.2930424            |  -2.961 -4.102    |10.41    |~              |    ~     ~    |    0|                |                       |        |                   
2799|TYC 7697-3044-1                                                                                          |Star                              |09 45 41.6653020432 -40 11 36.307750956|268.7306738930629 +10.0345007971410| -16.731 23.844    |10.19    |~              |    ~     ~    |    1|  197.582   pc  |  -0.4880     +0.4880  |paral   |2020yCat.1350....0G
2800|TYC 7697-3105-1                                                                                          |Star                              |09 47 28.7406436848 -41 07 01.227753012|269.6021903720454 +09.5549035833093|  -16.653 4.256    |10.63    |~              |    ~     ~    |    1|  455.913   pc  |  -5.4666     +5.4666  |paral   |2020yCat.1350....0G
2801|TYC 7697-3184-1                                                                                          |Star                              |09 49 39.8178918936 -40 12 43.491330936|269.3283469676111 +10.5129202356582| -8.452 -11.193    |10.346   |~              |    ~     ~    |    1|  640.065   pc  | -23.4200    +23.4200  |ST-L    |2020AJ....160...83S
2802|TYC 7697-3196-1                                                                                          |Star                              |09 46 41.7781084656 -40 35 34.683432108|269.1423260185275 +09.8566627380746|  -2.510 -2.128    |10.16    |~              |    ~     ~    |    1| 1140.381   pc  | -20.5474    +20.5474  |paral   |2020yCat.1350....0G
2803|TYC 7697-3226-1                                                                                          |Star                              |09 45 13.3781729376 -40 16 35.319276624|268.7169491261653 +09.9127967488523|   -5.081 0.597    |9.97     |~              |    ~     ~    |    1|  721.501   pc  | -11.9730    +11.9730  |paral   |2020yCat.1350....0G
2804|TYC 7697-3277-1                                                                                          |Star                              |09 45 07.0632280800 -40 38 03.626594340|268.9397546874234 +09.6295045026072| -24.898 -9.739    |10.60    |~              |    ~     ~    |    1|  262.082   pc  |  -0.8242     +0.8242  |paral   |2020yCat.1350....0G
2805|TYC 7697-3297-1                                                                                          |Star                              |09 47 03.3100978488 -40 25 03.508072932|269.0788972651076 +10.0341156756522|  -10.378 3.750    |10.58    |~              |    ~     ~    |    1| 1013.274   pc  | -42.4037    +42.4037  |paral   |2020yCat.1350....0G
2806|TYC 7697-3305-1                                                                                          |Star                              |09 49 35.5150264704 -40 48 15.994818756|269.7058383797919 +10.0512712262640|  -10.355 8.223    |10.273   |~              |    ~     ~    |    1|  869.571   pc  | -45.1000    +45.1000  |ST-L    |2020AJ....160...83S
2807|TYC 7698-38-1                                                                                            |Star                              |09 50 31.3100491872 -40 25 24.332661444|269.5940190565871 +10.4565007540501|   -6.984 2.966    |9.29     |~              |    ~     ~    |    1|  867.378   pc  | -11.5861    +11.5861  |paral   |2020yCat.1350....0G
2808|TYC 7698-531-1                                                                                           |Star                              |09 52 10.2258 -40 47 40.057            |270.0799143 +10.3717286            |  -15.707 3.251    |10.90    |~              |    ~     ~    |    0|                |                       |        |                   
2809|TYC 7698-749-1                                                                                           |Star                              |09 54 10.6239821616 -40 48 38.699261172|270.3887269236160 +10.6003329561684|  -14.431 9.661    |10.72    |~              |    ~     ~    |    1|  680.828   pc  |  -5.3769     +5.3769  |paral   |2020yCat.1350....0G
2810|TYC 7698-1197-1                                                                                          |Star                              |09 54 28.5848088912 -40 45 58.957702020|270.4048531607734 +10.6705339824108| -12.655 14.433    |10.26    |~              |    ~     ~    |    1|  532.907   pc  |  -3.4647     +3.4647  |paral   |2020yCat.1350....0G
2811|TYC 7698-1305-1                                                                                          |Star                              |09 53 42.9083021184 -41 01 52.948391592|270.4620449074963 +10.3742973907728|   -5.624 1.220    |10.61    |~              |    ~     ~    |    1| 1151.941   pc  | -17.6487    +17.6487  |paral   |2020yCat.1350....0G
2812|TYC 7698-1818-1                                                                                          |Star                              |09 51 02.0009689032 -40 19 31.898046900|269.6060775840441 +10.5941034745756|  -14.578 7.254    |10.88    |~              |    ~     ~    |    1|  640.738   pc  |  -9.0320     +9.0320  |paral   |2020yCat.1350....0G
2813|TYC 7698-1952-1                                                                                          |Spectroscopic Binary              |09 51 14.7120034416 -40 24 41.804517492|269.6937192816321 +10.5538976041265| -39.054 19.692    |9.74     |~              |    ~     ~    |    1|  110.860   pc  |  -2.2306     +2.2306  |paral   |2020yCat.1350....0G
