C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
51  |BD+80 247                                                                                                |High Proper Motion Star        |08 23 57.9145138368 +80 07 14.475728064|133.4955635297536 +30.6111833789574|-58.850 -15.507   |9.97     |G5                   |    ~     ~    
52  |BD+80 248                                                                                                |Star                           |08 27 29.7719981688 +80 31 54.978320280|132.9876991804159 +30.6207327922310|  -1.605 -2.441   |9.80     |K0                   |    ~     ~    
53  |HD 69309                                                                                                 |Star                           |08 27 30.4238092320 +80 29 58.711554276|133.0229857566618 +30.6317443957976|   -4.317 4.128   |9.54     |A5                   |    ~     ~    
54  |BD+80 251                                                                                                |Spectroscopic Binary           |08 28 46.2905702424 +80 08 26.654320068|133.3969299338913 +30.7999260732098| -9.479 -39.654   |9.95     |F0                   |    ~     ~    
55  |TYC 4543-445-1                                                                                           |Star                           |08 19 41.5030400232 +79 46 48.757512036|133.9376248332299 +30.5349607744245|    7.510 8.178   |10.45    |~                    |    ~     ~    
56  |TYC 4546-61-1                                                                                            |Star                           |08 27 55.3237751304 +80 10 54.047407188|133.3657740344537 +30.7522130492018|  -1.989 -6.027   |10.67    |~                    |    ~     ~    
57  |TYC 4546-271-1                                                                                           |Star                           |08 29 05.6527773288 +80 25 50.015981100|133.0735092755305 +30.7166210206007|  -0.178 -0.684   |10.43    |~                    |    ~     ~    
58  |TYC 4546-592-1                                                                                           |Star                           |08 24 37.3004767056 +80 23 58.706557368|133.1776563374577 +30.5505271602468| -24.261 -9.650   |10.70    |~                    |    ~     ~    
59  |TYC 4546-834-1                                                                                           |Star                           |08 29 46.0455353064 +80 25 53.466200148|133.0615495950739 +30.7426592401551|  -3.715 -5.810   |10.91    |~                    |    ~     ~    
60  |BD+76 312                                                                                                |Star                           |08 20 38.7662025600 +76 20 22.824350484|137.7841212492329 +31.5234871968680|  -4.973 -9.547   |10.57    |F8                   |    ~     ~    
61  |HD 68769                                                                                                 |Star                           |08 21 38.5918468080 +76 21 54.251876016|137.7373444305996 +31.5736394063092|  -9.995 -3.642   |8.11     |G5                   |    ~     ~    
62  |TYC 4540-1021-1                                                                                          |High Proper Motion Star        |08 26 42.8360688552 +76 05 19.216924800|137.9533374602256 +31.9393467281859| 78.132 -30.884   |9.67     |K0                   |    ~     ~    
63  |BD+80 246                                                                                                |Red Giant Branch star          |08 18 10.4025286968 +79 36 08.610074604|134.1579530466677 +30.5203287147188|   1.911 -0.126   |9.61     |K0                   |    ~     ~    
64  |HD 66822                                                                                                 |Star                           |08 15 29.4123083736 +79 20 11.177852712|134.4937195446968 +30.4749856519109|-28.102 -19.751   |8.69     |K0                   |    ~     ~    
65  |BD+79 269B                                                                                               |Spectroscopic Binary           |08 16 32.9781453696 +79 30 23.595640164|134.2884335523227 +30.4760450834545|-48.453 -66.114   |8.57     |F7V                  |    ~     ~    
66  |BD+79 269A                                                                                               |High Proper Motion Star        |08 16 31.0619661504 +79 30 03.507398136|134.2951230658725 +30.4761633783086|-51.903 -65.505   |8.34     |F4V                  |    ~     ~    
67  |TYC 4543-2493-1                                                                                          |Star                           |08 16 35.4379405776 +79 03 53.195658408|134.7816896329594 +30.5972039757712|   0.288 -5.471   |10.54    |F2                   |    ~     ~    
68  |BD+79 270                                                                                                |Star                           |08 20 09.5739321552 +78 49 29.340025212|134.9954375926278 +30.8275904853498|  -2.412 -2.188   |10.06    |G0                   |    ~     ~    
69  |TYC 4543-1941-1                                                                                          |Star                           |08 21 28.7101102848 +78 51 22.108615308|134.9393469003553 +30.8798892361002|   -1.310 0.569   |10.49    |F8                   |    ~     ~    
70  |AG+79 268                                                                                                |Horizontal Branch Star         |08 22 46.4599518360 +78 51 21.610012644|134.9183685696421 +30.9398591933479|   0.116 -8.959   |10.72    |K                    |    ~     ~    
