C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
2593|TYC 795-460-1                                                                                            |Star                           |08 20 03.7307678328 +08 22 04.667445264|215.4698938923563 +23.4799311344928|   2.781 -9.448   |10.47    |~                    |    ~     ~    
2594|TYC 795-769-1                                                                                            |Star                           |08 25 13.4200121016 +08 53 38.063879736|215.5631067921242 +24.8572227635225|  -4.617 -6.437   |10.43    |~                    |    ~     ~    
2595|TYC 795-790-1                                                                                            |High Proper Motion Star        |08 21 20.3174424480 +09 07 21.512753544|214.8782185343411 +24.0930308955887| 67.016 -57.013   |10.68    |~                    |    ~     ~    
2596|TYC 795-816-1                                                                                            |Star                           |08 21 59.8498187760 +09 11 40.674864768|214.8844681423472 +24.2707798541480|   2.413 -6.882   |10.86    |~                    |    ~     ~    
2597|TYC 795-856-1                                                                                            |High Proper Motion Star        |08 22 32.3291972808 +09 00 20.715176016|215.1348005915004 +24.3091027247182| 37.472 -34.487   |10.44    |~                    |    ~     ~    
2598|TYC 795-1086-1                                                                                           |Star                           |08 20 59.6099680536 +08 30 25.567631172|215.4435562841739 +23.7479235306611| -11.122 -3.440   |10.57    |~                    |    ~     ~    
2599|TYC 795-1102-1                                                                                           |High Proper Motion Star        |08 24 41.7982365984 +08 41 39.733884240|215.6981438816838 +24.6529403956585|-41.558 -54.574   |9.93     |~                    |    ~     ~    
2600|TYC 795-1206-1                                                                                           |Star                           |08 21 08.5582020576 +09 03 07.426985796|214.9248302554624 +24.0187974123869|   -3.774 0.204   |9.85     |~                    |    ~     ~    
2601|TYC 795-1214-1                                                                                           |Star                           |08 23 51.1399022976 +08 42 15.911818812|215.5878985384897 +24.4696893584805|   -8.633 4.724   |9.65     |~                    |    ~     ~    
2602|TYC 795-1216-1                                                                                           |Star                           |08 24 14.1023613192 +08 44 44.831200272|215.5924320915178 +24.5728281025500|-15.690 -19.649   |10.37    |~                    |    ~     ~    
2603|TYC 795-1236-1                                                                                           |Star                           |08 24 31.0181730528 +08 45 15.749226612|215.6174140385608 +24.6392411044317|  -6.288 -4.440   |10.75    |~                    |    ~     ~    
2604|TYC 795-1314-1                                                                                           |Star                           |08 22 44.0417974296 +08 04 32.158129368|216.0742078417824 +23.9451119969151|   0.167 -2.768   |10.29    |~                    |    ~     ~    
2605|TYC 795-1423-1                                                                                           |Star                           |08 23 38.3751035472 +08 03 00.478528632|216.2074946013917 +24.1350463706227|  -6.569 -8.329   |10.95    |~                    |    ~     ~    
2606|TYC 795-1436-1                                                                                           |Star                           |08 24 30.3817792968 +08 03 58.208430744|216.2955500369632 +24.3346551391216|  -2.548 -0.709   |10.94    |~                    |    ~     ~    
2607|TYC 795-1444-1                                                                                           |Star                           |08 21 39.0842038416 +08 18 09.831827988|215.7222371539161 +23.8045133720628| -36.162 -7.582   |10.58    |~                    |    ~     ~    
2608|TYC 795-1461-1                                                                                           |Star                           |08 24 46.0550648760 +07 59 24.094878288|216.4018793288944 +24.3590461618881|  -14.713 0.275   |9.70     |~                    |    ~     ~    
2609|TYC 795-1472-1                                                                                           |Star                           |08 23 54.8584275480 +08 01 09.342318396|216.2707537632755 +24.1824431120572|    3.465 0.861   |9.64     |~                    |    ~     ~    
2610|TYC 795-1493-1                                                                                           |Star                           |08 24 40.7153701800 +08 12 44.646331608|216.1720754738828 +24.4373867014720|   -4.560 2.006   |10.88    |~                    |    ~     ~    
2611|TYC 795-1811-1                                                                                           |Star                           |08 20 43.2465710040 +07 56 39.994534176|215.9626620317803 +23.4399643990239|   -4.951 1.610   |10.52    |~                    |    ~     ~    
2612|TYC 795-1831-1                                                                                           |Star                           |08 23 49.0408741344 +08 03 31.684554792|216.2202490410666 +24.1783581703108|  -0.695 -3.222   |10.56    |~                    |    ~     ~    
2613|TYC 795-1880-1                                                                                           |High Proper Motion Star        |08 22 02.6385066552 +07 47 43.042819884|216.2665883332976 +23.6680067457788|-43.670 -60.490   |10.62    |~                    |    ~     ~    
2614|TYC 796-1149-1                                                                                           |High Proper Motion Star        |08 25 35.8039976184 +07 56 12.441086592|216.5540341800876 +24.5196364012645| -33.071 47.153   |10.73    |~                    |    ~     ~    
2615|TYC 796-1294-1                                                                                           |Star                           |08 26 09.5870446872 +07 54 51.067558296|216.6441732214912 +24.6346531167678|    9.848 4.437   |9.50     |~                    |    ~     ~    
2616|BD+07 1953                                                                                               |Star                           |08 17 07.4570322264 +06 42 27.850121820|216.7340685119933 +22.0913493344531|  -2.930 -5.082   |10.31    |K                    |    ~     ~    
2617|HD 69245                                                                                                 |Star                           |08 16 18.5253186768 +06 06 50.463018684|217.2075064233873 +21.6435725641815|  -10.701 4.182   |9.30     |G0                   |    ~     ~    
2618|HD 69244                                                                                                 |Star                           |08 16 20.7564667056 +06 17 14.486287632|217.0454347131953 +21.7298961222394| -4.374 -19.704   |8.84     |G5                   |    ~     ~    
2619|HD 69523                                                                                                 |Star                           |08 17 37.8620472240 +06 14 41.854740072|217.2411472131470 +21.9959652046286|-11.770 -10.992   |7.35     |K2                   |    ~     ~    
2620|BD+06 1909                                                                                               |Star                           |08 15 47.9802408792 +05 50 12.350816484|217.4119847818751 +21.4054361724841| -17.231 23.875   |10.35    |G0                   |    ~     ~    
2621|BD+05 1917                                                                                               |Star                           |08 15 06.7298289360 +05 25 45.117455304|217.7185767137349 +21.0682405365714| -1.231 -12.234   |8.95     |M0                   |    ~     ~    
2622|HD 69033                                                                                                 |Star                           |08 15 15.8202422472 +05 33 28.907934732|217.6138669117256 +21.1603136984082|   -0.669 6.242   |8.77     |A0                   |    ~     ~    
2623|BD+05 1919                                                                                               |Star                           |08 15 34.7415272424 +05 07 33.214098720|218.0646401232511 +21.0336860554629|  -1.715 -7.931   |10.81    |K0                   |    ~     ~    
2624|HD 69223                                                                                                 |Star                           |08 16 11.9503614816 +05 01 58.471906368|218.2288405372094 +21.1286622454164| -10.481 -5.708   |8.73     |K0                   |    ~     ~    
2625|BD+05 1921                                                                                               |Star                           |08 16 32.3711096424 +04 41 18.670631172|218.5986075862264 +21.0464205794677| -14.599 -3.456   |10.13    |F2                   |    ~     ~    
2626|BD+05 1922                                                                                               |Star                           |08 16 39.2094463488 +05 08 58.298475588|218.1729365495194 +21.2825525775287|  -12.236 1.181   |9.82     |F2                   |    ~     ~    
2627|BD+05 1924                                                                                               |Star                           |08 17 09.4306148856 +05 33 11.298003552|217.8481916812632 +21.5779156184127|  -9.237 -6.572   |9.82     |K0                   |    ~     ~    
2628|BD+05 1925                                                                                               |Star                           |08 17 12.0086260152 +04 57 54.104890752|218.4158403057112 +21.3193651353288|   -3.404 0.411   |9.39     |K0                   |    ~     ~    
2629|HD 69846                                                                                                 |High Proper Motion Star        |08 19 12.1922398776 +06 47 30.499826100|216.9026721983299 +22.5904844612587| -48.566 27.451   |8.81     |G0                   |    ~     ~    
2630|BD+07 1966                                                                                               |Star                           |08 21 51.2248527792 +06 40 38.603831520|217.3339545180091 +23.1273315002591| -18.002 -3.425   |10.12    |F8                   |    ~     ~    
2631|HD 70493                                                                                                 |Star                           |08 22 33.2816791488 +06 42 43.534729008|217.3852877853910 +23.2984137929676| -11.110 -5.682   |8.15     |K2                   |    ~     ~    
2632|HD 69553                                                                                                 |Star                           |08 17 41.3521615752 +06 01 19.735558212|217.4625720450979 +21.9083487887896|  -5.796 -2.671   |9.81     |A2                   |    ~     ~    
2633|BD+06 1922                                                                                               |Star                           |08 17 56.5609979088 +06 28 07.676851728|217.0630176863863 +22.1658291934418|  -17.833 9.066   |9.97     |F0                   |    ~     ~    
2634|HD 69632                                                                                                 |Star                           |08 17 59.3565350712 +06 14 02.807294892|217.2948701065805 +22.0705573398567|  -0.916 17.432   |6.99     |K0                   |    ~     ~    
2635|V* MQ Hya                                                                                                |Long-Period Variable           |08 18 22.9549522176 +05 58 18.182735076|217.5951126314079 +22.0393313317124|   -3.236 8.102   |8.53     |K5                   |    ~     ~    
2636|BD+06 1930                                                                                               |Star                           |08 19 38.0815050888 +06 05 48.692993460|217.6265603386152 +22.3735707277758|   1.472 -7.317   |10.34    |K0                   |    ~     ~    
2637|HD 70206                                                                                                 |Star                           |08 20 56.7849957768 +06 30 12.946569372|217.3925345428044 +22.8479191109427|  -8.286 -2.998   |8.94     |F0                   |    ~     ~    
2638|HD 70207                                                                                                 |Star                           |08 20 58.0264575072 +06 28 10.448633964|217.4280163242778 +22.8371937308717|   -1.836 0.580   |9.08     |A0                   |    ~     ~    
2639|HD 70457                                                                                                 |High Proper Motion Star        |08 22 15.6316245456 +05 57 44.641877832|218.0766832074604 +22.8947821799231| 76.416 -39.981   |9.24     |K2                   |    ~     ~    
2640|HD 70572                                                                                                 |Star                           |08 22 57.9843077448 +06 09 28.716033564|217.9736449629964 +23.1398346925363|  -11.766 4.174   |8.83     |K5                   |    ~     ~    
2641|BD+06 1947                                                                                               |High Proper Motion Star        |08 24 03.0735247848 +05 55 06.564419112|218.3389597251301 +23.2715836724180| -9.535 -48.420   |10.46    |G0                   |    ~     ~    
2642|BD+06 1948                                                                                               |Star                           |08 24 44.0780956704 +06 08 40.744037148|218.2034075124162 +23.5256317863893|  -4.409 -2.668   |9.89     |K2                   |    ~     ~    
2643|HD 71135                                                                                                 |Star                           |08 25 53.7544323816 +06 15 58.101585624|218.2279669302972 +23.8379670032858| -21.815 11.286   |8.58     |K2                   |    ~     ~    
2644|BD+06 1921                                                                                               |Star                           |08 17 54.5070017808 +05 40 11.694158724|217.8275446906205 +21.7974768238965|  -9.971 -3.387   |10.91    |K2                   |    ~     ~    
2645|HD 69869                                                                                                 |Star                           |08 19 09.5841783816 +05 42 10.229331240|217.9482459535661 +22.0897891700646| 16.201 -11.679   |8.78     |K0                   |    ~     ~    
2646|HD 69963                                                                                                 |Star                           |08 19 34.1090399640 +05 39 06.395437080|218.0472147005197 +22.1571835372510| -5.142 -10.758   |8.92     |K0                   |    ~     ~    
2647|HD 70109                                                                                                 |Star                           |08 20 22.4465 +05 39 38.816            |218.1369810 +22.3397997            | -3.267 -11.825   |9.60     |A0                   |    ~     ~    
2648|BD+06 1937                                                                                               |Star                           |08 21 01.3606569048 +05 44 39.041836044|218.1359555308022 +22.5214162205844|   3.821 12.516   |9.11     |K0                   |    ~     ~    
2649|BD+06 1939                                                                                               |Star                           |08 21 08.4647157960 +05 42 22.789877580|218.1869450898022 +22.5304471385263|  -13.284 1.058   |10.39    |A2                   |    ~     ~    
2650|BD+06 1946                                                                                               |Star                           |08 24 01.4985953712 +05 47 57.788516724|218.4511710626820 +23.2116021963708| -15.608 -8.467   |10.65    |G5                   |    ~     ~    
2651|BD+06 1950                                                                                               |Star                           |08 24 53.8920045432 +05 41 05.503219080|218.6698970697258 +23.3527732039651|  6.008 -11.620   |10.734   |G5                   |    ~     ~    
2652|BD+05 1926                                                                                               |Star                           |08 17 55.2380577456 +05 01 58.050049944|218.4392658732278 +21.5099273977189|  -6.826 -0.102   |9.86     |A5                   |    ~     ~    
2653|HD 69720                                                                                                 |Star                           |08 18 21.3273581424 +05 04 26.932615824|218.4529602755486 +21.6251373181000|-19.618 -15.528   |8.27     |K0                   |    ~     ~    
2654|HD 69752                                                                                                 |High Proper Motion Star        |08 18 32.6306217360 +05 11 05.007364800|218.3701896764173 +21.7173913003758|-49.829 -52.615   |8.03     |F5                   |    ~     ~    
2655|BD+05 1930                                                                                               |Star                           |08 19 03.4373001312 +05 21 59.823515124|218.2586692601394 +21.9141227313764|   -7.095 3.501   |10.20    |A5                   |    ~     ~    
2656|BD+05 1933                                                                                               |Star                           |08 19 30.6377296752 +05 07 04.609194312|218.5526667584083 +21.9009762502966| -15.499 -1.787   |10.43    |F0                   |    ~     ~    
2657|HD 70012                                                                                                 |Variable Star                  |08 19 52.5115641144 +04 44 34.510923852|218.9566162581682 +21.8097147975356|   -9.471 4.011   |9.19     |A2                   |    ~     ~    
2658|BD+05 1935                                                                                               |Star                           |08 19 55.0044370872 +05 08 23.746812396|218.5814618423809 +22.0009536909894| -10.451 -5.644   |10.50    |G5                   |    ~     ~    
2659|HD 70032                                                                                                 |Star                           |08 19 59.7466642584 +05 05 27.235212072|218.6381945371845 +21.9960168145101|  -2.191 -4.996   |8.99     |F8                   |    ~     ~    
2660|V* MT Hya                                                                                                |Carbon Star                    |08 20 41.3472380640 +05 11 21.703830792|218.6289653812885 +22.1945767224704|   -7.592 0.483   |9.86     |C-J:4                |    ~     ~    
2661|BD+05 1938                                                                                               |Spectroscopic Binary           |08 20 52.6954842288 +05 20 04.078739616|218.5127763719234 +22.3027786704728|   -5.184 1.358   |10.37    |K0                   |    ~     ~    
2662|BD+05 1939                                                                                               |High Proper Motion Star        |08 21 02.3085277296 +04 59 30.494737284|218.8616583912169 +22.1814122371578|-61.506 -89.886   |9.96     |K0                   |    ~     ~    
2663|TYC 204-1740-1                                                                                           |Star                           |08 21 01.3556354424 +04 59 53.806608312|218.8534851610678 +22.1808676419332|   21.236 0.049   |10.30    |K                    |    ~     ~    
2664|BD+05 1940                                                                                               |Star                           |08 21 01.967 +05 20 25.32              |218.526092 +22.339691              |     -12.8 -7.6   |10.05    |G5                   |    ~     ~    
2665|HD 70279                                                                                                 |Star                           |08 21 16.5675029016 +05 11 02.966646156|218.7062243414305 +22.3221480170451| -15.520 -5.364   |8.83     |A3                   |    ~     ~    
2666|HD 70355                                                                                                 |Star                           |08 21 40.8695017608 +04 49 16.274091864|219.1047835370548 +22.2452469183424|-10.819 -13.538   |9.44     |A2                   |    ~     ~    
2667|BD+05 1944                                                                                               |Star                           |08 21 50.0979795768 +05 12 54.469646028|218.7453176311732 +22.4600300987226| -19.191 -5.664   |10.31    |F2                   |    ~     ~    
2668|BD+05 1947                                                                                               |Star                           |08 22 11.0363616096 +04 55 09.242059944|219.0728992571185 +22.4015435071523| -10.230 -0.464   |10.27    |G5                   |    ~     ~    
2669|HD 70473                                                                                                 |Star                           |08 22 22.1023683072 +05 21 35.210503908|218.6718030385219 +22.6442741541012|  24.803 -8.253   |9.17     |F8                   |    ~     ~    
2670|HD 70494                                                                                                 |Star                           |08 22 27.1823163888 +05 00 57.867346296|219.0131333078807 +22.5055584403209| -2.575 -14.355   |7.38     |K5                   |    ~     ~    
2671|BD+05 1951                                                                                               |Double or Multiple Star        |08 22 37.301448 +04 48 36.96516        |219.231827395 +22.448250007        |      1.7 -69.3   |9.879    |G5                   |    ~     ~    
2672|BD+05 1953                                                                                               |Star                           |08 23 03.3988292232 +04 52 21.059174856|219.2259886073967 +22.5730928114361|    1.149 1.583   |10.40    |G5                   |    ~     ~    
2673|BD+05 1955                                                                                               |Star                           |08 23 11.0160320208 +04 34 40.467903060|219.5247848103952 +22.4653363204961| -14.542 -5.457   |9.79     |F0                   |    ~     ~    
2674|HD 70665                                                                                                 |High Proper Motion Star        |08 23 26.6573604216 +05 31 43.064729184|218.6415570996176 +22.9596006944164| 32.847 -51.571   |9.20     |K0                   |    ~     ~    
2675|HD 70756                                                                                                 |Star                           |08 23 50.6097968544 +05 09 28.498393800|219.0487913306008 +22.8782817137314|   6.062 -5.375   |7.72     |K5                   |    ~     ~    
2676|BD+05 1960                                                                                               |Star                           |08 23 57.6463108320 +05 04 58.608797088|219.1356283856972 +22.8698074016926| -9.148 -11.632   |9.66     |K                    |    ~     ~    
2677|HD 70900                                                                                                 |Star                           |08 24 37.5753754248 +05 11 57.643966392|219.1059457559472 +23.0704534687293|  -27.289 1.082   |9.14     |F5                   |    ~     ~    
2678|HD 70936                                                                                                 |Star                           |08 24 53.4016210200 +05 21 02.297328444|218.9924780117118 +23.1981781629018|  -1.866 -8.831   |8.23     |K5                   |    ~     ~    
2679|BD+05 1965                                                                                               |Star                           |08 25 06.0835042056 +04 39 29.118860964|219.6870706527267 +22.9261978051326|-13.783 -34.564   |9.95     |G0                   |    ~     ~    
2680|V* FZ Hya                                                                                                |Long-Period Variable           |08 21 33.3029607696 +04 57 30.246288984|218.9574990209208 +22.2803956174425|-18.790 -10.439   |9.078    |M                    |    ~     ~    
2681|BD+07 1960                                                                                               |Star                           |08 20 35.5481902704 +06 38 25.349670168|217.2170829388386 +22.8308819186924|  -3.212 -0.956   |9.59     |~                    |    ~     ~    
2682|HD 70180                                                                                                 |Star                           |08 20 50.4207231984 +06 50 00.667203180|217.0596523273159 +22.9725178663214| -3.569 -11.599   |8.31     |K0                   |    ~     ~    
2683|HD 70689                                                                                                 |Star                           |08 23 30.1633738968 +06 48 47.531000772|217.4020106167017 +23.5541112852488|  2.196 -14.167   |7.36     |K5                   |    ~     ~    
2684|TYC 209-723-1                                                                                            |Star                           |08 23 36.9063701160 +06 49 00.685668504|217.4121105495196 +23.5806802616543|  -14.254 6.533   |10.07    |F5                   |    ~     ~    
2685|TYC 204-37-1                                                                                             |Star                           |08 19 44.8986507606 +05 14 50.005075970|218.4578589772036 +22.0127017230255|   -2.151 0.412   |10.96    |~                    |    ~     ~    
2686|TYC 204-121-1                                                                                            |Star                           |08 17 58.4183907888 +05 05 40.881550092|218.3865722844759 +21.5499634897156|   -3.003 0.235   |9.91     |~                    |    ~     ~    
2687|TYC 204-146-1                                                                                            |Star                           |08 19 21.5033431728 +05 30 32.467575888|218.1587751394406 +22.0457001470918|  -5.481 -9.536   |10.56    |~                    |    ~     ~    
2688|TYC 204-154-1                                                                                            |Star                           |08 16 54.0882821400 +05 26 07.180776420|217.9299090005083 +21.4676910138116|  -4.107 -8.601   |10.66    |~                    |    ~     ~    
2689|TYC 204-181-1                                                                                            |Star                           |08 19 18.6588044088 +05 30 07.151263272|218.1597367914207 +22.0319946200734| -7.045 -10.256   |10.77    |~                    |    ~     ~    
2690|TYC 204-370-1                                                                                            |Star                           |08 15 47.9098363212 +05 35 00.260657160|217.6543629986483 +21.2904211292508|  -0.103 13.136   |9.78     |~                    |    ~     ~    
2691|TYC 204-407-1                                                                                            |Star                           |08 17 25.7142597192 +05 15 16.617669804|218.1670176990630 +21.5022146235453| -29.482 20.267   |10.60    |~                    |    ~     ~    
2692|TYC 204-450-1                                                                                            |Star                           |08 20 08.7220546704 +05 16 23.490961896|218.4816510472533 +22.1124950882481|  -2.009 -1.036   |10.43    |~                    |    ~     ~    
2693|TYC 204-499-1                                                                                            |Spectroscopic Binary           |08 19 16.6052761800 +05 05 33.415120932|218.5482339128464 +21.8376021811367|   7.350 -9.270   |10.99    |~                    |    ~     ~    
2694|TYC 204-534-1                                                                                            |Star                           |08 17 06.7773989232 +05 20 10.656628116|218.0504092707683 +21.4694944993236|-14.015 -10.119   |10.36    |~                    |    ~     ~    
2695|TYC 204-884-1                                                                                            |Star                           |08 17 29.2341358272 +04 41 48.089040072|218.7069912753401 +21.2599838431065|-22.165 -15.087   |10.90    |~                    |    ~     ~    
2696|TYC 204-1094-1                                                                                           |Star                           |08 19 12.6355568592 +04 53 54.849421572|218.7258732549281 +21.7340828286396|  6.245 -11.654   |9.77     |~                    |    ~     ~    
2697|TYC 204-1206-1                                                                                           |Star                           |08 21 09.2273330784 +05 08 50.242562088|218.7265810121303 +22.2781899725820|   -6.049 4.790   |10.32    |~                    |    ~     ~    
2698|TYC 204-1228-1                                                                                           |Star                           |08 22 05.7251415912 +04 39 58.808929176|219.3046549851017 +22.2655698536431|  3.953 -10.978   |10.08    |~                    |    ~     ~    
2699|TYC 204-1476-1                                                                                           |Star                           |08 21 20.3110703232 +04 56 09.282333516|218.9523343804085 +22.2221588035504|  1.864 -16.189   |10.18    |~                    |    ~     ~    
2700|TYC 204-1708-1                                                                                           |Star                           |08 21 54.5530221888 +04 43 21.603349380|219.2275364691113 +22.2503479840829|  -1.973 -3.976   |10.50    |~                    |    ~     ~    
2701|TYC 204-1756-1                                                                                           |Star                           |08 21 42.2261748768 +04 52 26.939410500|219.0567611444975 +22.2745988421372|   1.807 -4.381   |10.50    |~                    |    ~     ~    
2702|TYC 204-1772-1                                                                                           |Star                           |08 22 07.5992339928 +05 24 31.178591928|218.5949153080026 +22.6130925266738|   0.508 -4.988   |9.95     |~                    |    ~     ~    
2703|TYC 204-1888-1                                                                                           |Star                           |08 20 37.3249203816 +04 58 02.141417532|218.8338510037324 +22.0780021689660|   2.172 -1.362   |10.58    |~                    |    ~     ~    
2704|TYC 204-1923-1                                                                                           |Spectroscopic Binary           |08 22 18.9813700128 +04 36 15.620173992|219.3915385222716 +22.2858291699950|  46.650 15.353   |10.54    |~                    |    ~     ~    
2705|TYC 205-163-1                                                                                            |Star                           |08 24 21.4556038680 +04 55 56.946935712|219.3299726574564 +22.8883772262430| -26.205 -4.309   |10.04    |~                    |    ~     ~    
2706|TYC 205-513-1                                                                                            |Chemically Peculiar Star       |08 23 22.7370910848 +05 22 51.925365660|218.7759731810741 +22.8777204205089|  -7.255 -2.431   |10.84    |A2mF3                |    ~     ~    
2707|TYC 205-635-1                                                                                            |Chemically Peculiar Star       |08 23 12.4899284544 +05 13 08.352901236|218.9112168743886 +22.7657124599625|  -5.382 -0.644   |10.33    |A6mF2                |    ~     ~    
2708|TYC 205-683-1                                                                                            |Star                           |08 23 56.5379006376 +05 09 52.885753884|219.0545102350004 +22.9032478335487|   6.544 -1.462   |10.62    |~                    |    ~     ~    
2709|TYC 205-743-1                                                                                            |Star                           |08 23 06.5784433992 +05 37 05.313645264|218.5138090417389 +22.9263396171486|  -4.847 -1.819   |10.45    |~                    |    ~     ~    
2710|TYC 205-1041-1                                                                                           |Star                           |08 25 29.3435422176 +04 46 24.758810760|219.6243157483268 +23.0652021916329| -8.362 -30.577   |10.59    |~                    |    ~     ~    
2711|TYC 205-1058-1                                                                                           |Star                           |08 24 45.2863472736 +05 35 40.768968444|218.7395628562673 +23.2798549591741| -8.619 -10.872   |10.42    |~                    |    ~     ~    
2712|TYC 205-1109-1                                                                                           |Star                           |08 24 53.1502033128 +05 29 06.749170980|218.8617593360379 +23.2588473120807|   -3.615 0.088   |10.41    |~                    |    ~     ~    
2713|TYC 205-1255-1                                                                                           |Star                           |08 23 36.1001086800 +05 14 11.247079308|218.9430751491655 +22.8607929447435|  -6.632 -0.919   |9.98     |~                    |    ~     ~    
2714|TYC 205-1344-1                                                                                           |Star                           |08 25 15.9975697224 +04 56 18.295724364|219.4375232661178 +23.0920843887348|  -4.144 -4.972   |10.16    |~                    |    ~     ~    
2715|TYC 205-1436-1                                                                                           |Star                           |08 24 01.8742486824 +04 51 07.497527292|219.3667901997046 +22.7791914964605|  -5.187 -0.702   |10.10    |~                    |    ~     ~    
2716|TYC 205-1565-1                                                                                           |Star                           |08 24 48.4877584680 +05 12 55.594988892|219.1129869375197 +23.1180718708802|   -5.835 0.325   |10.14    |~                    |    ~     ~    
2717|TYC 208-157-1                                                                                            |Star                           |08 15 04.9772455344 +06 06 13.167858240|217.0698265006833 +21.3669008146938|  5.381 -16.180   |10.35    |~                    |    ~     ~    
2718|TYC 208-211-1                                                                                            |Star                           |08 15 30.8619111912 +06 05 28.939618356|217.1335227660688 +21.4570974551752|    6.347 6.718   |10.40    |~                    |    ~     ~    
2719|TYC 208-358-1                                                                                            |Star                           |08 20 30.8441475552 +06 24 16.318533528|217.4360298878289 +22.7074184916450|  4.158 -11.123   |9.95     |~                    |    ~     ~    
2720|TYC 208-447-1                                                                                            |Star                           |08 18 58.9720971600 +06 44 49.438680792|216.9194553013327 +22.5215391986218|   -1.582 2.451   |9.89     |~                    |    ~     ~    
2721|TYC 208-489-1                                                                                            |Spectroscopic Binary           |08 18 55.6565395296 +06 40 50.641150044|216.9769820415116 +22.4795439976434|    0.152 2.758   |10.28    |~                    |    ~     ~    
2722|TYC 208-490-1                                                                                            |Star                           |08 16 49.6710076536 +06 06 37.978360596|217.2734656438811 +21.7571793100040| -16.275 -6.685   |10.46    |~                    |    ~     ~    
2723|GSC 00208-00520                                                                                          |Double or Multiple Star        |08 19 31.5528006648 +06 41 53.930926140|217.0320933353921 +22.6202047210193| -20.053 -0.562   |10.447   |~                    |    ~     ~    
2724|IRAS 08140+0621                                                                                          |Star                           |08 16 46.6391836728 +06 12 02.265347520|217.1807845037675 +21.7865741632823| -12.790 14.600   |9.18     |~                    |    ~     ~    
2725|TYC 208-618-1                                                                                            |Star                           |08 18 48.9657211128 +06 22 01.882622172|217.2664957582535 +22.3139323920738|   -8.035 3.249   |10.23    |~                    |    ~     ~    
2726|TYC 208-642-1                                                                                            |Star                           |08 19 03.8291990976 +05 54 42.480061128|217.7355186338534 +22.1632725403622|  -2.893 -4.889   |9.82     |~                    |    ~     ~    
2727|TYC 208-664-1                                                                                            |Star                           |08 20 18.6798877872 +06 40 45.581246364|217.1453250862294 +22.7859883546558|   -5.893 0.779   |10.55    |~                    |    ~     ~    
2728|TYC 208-705-1                                                                                            |Star                           |08 16 17.6793461160 +05 42 51.159536568|217.5892519852222 +21.4597447626629| -19.472 -6.282   |9.89     |~                    |    ~     ~    
2729|TYC 208-903-1                                                                                            |Star                           |08 15 55.3382033952 +05 42 18.539925588|217.5528541177717 +21.3730639816246| 30.701 -32.359   |10.69    |~                    |    ~     ~    
2730|TYC 208-909-1                                                                                            |High Proper Motion Star        |08 20 26.2767349392 +05 54 36.280761336|217.9045159998659 +22.4671191875596| 52.586 -11.788   |10.81    |~                    |    ~     ~    
2731|TYC 208-949-1                                                                                            |Star                           |08 18 42.4016663832 +05 51 37.411585200|217.7415744018253 +22.0608097092715| -6.727 -10.155   |10.63    |~                    |    ~     ~    
2732|TYC 208-1343-1                                                                                           |Star                           |08 22 01.4891848392 +06 31 46.565197824|217.4982496842982 +23.0988204006573|   7.169 11.239   |10.23    |~                    |    ~     ~    
2733|TYC 208-1418-1                                                                                           |Star                           |08 20 54.7044780912 +05 46 05.412955620|218.0992481402327 +22.5077343474094| 21.678 -37.899   |10.56    |~                    |    ~     ~    
2734|TYC 208-1468-1                                                                                           |Spectroscopic Binary           |08 21 06.9597526176 +05 50 04.557236100|218.0601419498115 +22.5831610416205|   7.096 -1.587   |10.72    |~                    |    ~     ~    
2735|TYC 208-1732-1                                                                                           |Star                           |08 21 30.0133872168 +06 36 09.929066976|217.3635415603307 +23.0153684090344|   -4.080 0.082   |10.37    |~                    |    ~     ~    
2736|TYC 208-1768-1                                                                                           |Star                           |08 20 57.6690598608 +06 41 16.997712756|217.2154544795438 +22.9340908400933|  -1.458 -4.103   |10.20    |~                    |    ~     ~    
2737|TYC 209-315-1                                                                                            |Star                           |08 22 31.4964125280 +06 35 05.621892036|217.5053472487183 +23.2346271179727|-43.136 -19.453   |10.77    |~                    |    ~     ~    
2738|BD+06 1951B                                                                                              |Star                           |08 25 46.7525079168 +05 57 06.132456252|218.5196858258258 +23.6693868198555| -41.675 -2.383   |10.36    |~                    |    ~     ~    
2739|TYC 209-1065-1                                                                                           |Star                           |08 23 03.9200236440 +06 17 55.586011524|217.8491340822475 +23.2254377697950|  -4.915 -6.233   |10.93    |~                    |    ~     ~    
2740|TYC 209-1464-1                                                                                           |Star                           |08 24 01.4063777040 +06 08 21.409908180|218.1212962185365 +23.3656177940983|  -3.671 -3.478   |10.28    |~                    |    ~     ~    
2741|TYC 209-1548-1                                                                                           |Star                           |08 22 54.7354926456 +05 48 54.398483712|218.2990886141568 +22.9722953481949|-30.457 -24.155   |10.94    |~                    |    ~     ~    
2742|TYC 209-1633-1                                                                                           |Star                           |08 22 56.4364775760 +05 44 17.941794360|218.3768436942144 +22.9436430659010|  -30.982 3.428   |10.36    |~                    |    ~     ~    
