C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
2060|CD-25 2144                                                                                               |Star                                  |04 59 35.5229428584 -25 28 44.849141184|226.3246203843582 -34.9503465743248|   -9.580 3.782   |10.731   |~               |    ~     ~    
2061|TYC 6466-1557-1                                                                                          |Star                                  |04 52 37.2561103224 -24 59 21.385116168|225.1985882488852 -36.3243052401455| 12.312 -20.449   |10.913   |~               |    ~     ~    
2062|TYC 6466-1904-1                                                                                          |Star                                  |04 53 31.9302346200 -24 49 18.608259720|225.0720932286481 -36.0787253497647|  -4.094 -7.872   |10.68    |~               |    ~     ~    
2063|TYC 6466-1949-1                                                                                          |Star                                  |04 52 59.4335164248 -24 48 32.602851576|225.0136426637569 -36.1929157048444|  -5.741 21.196   |10.739   |~               |    ~     ~    
2064|TYC 6469-168-1                                                                                           |Star                                  |04 55 08.3318130192 -25 38 40.147534860|226.1743949267657 -35.9608105218896|  -3.425 20.693   |10.958   |~               |    ~     ~    
2065|TYC 6469-220-1                                                                                           |Star                                  |04 54 08.6681350008 -25 16 54.088661820|225.6663576451673 -36.0754649269080|   0.286 -0.444   |10.783   |~               |    ~     ~    
2066|TYC 6469-367-1                                                                                           |Star                                  |04 57 36.2599564632 -26 13 10.009430868|227.0434188295625 -35.5856899404005|  -14.182 4.989   |10.98    |~               |    ~     ~    
2067|TYC 6469-601-1                                                                                           |Star                                  |04 59 57.7518928056 -26 27 05.272983720|227.4937750565435 -35.1405889366579|   4.063 -2.852   |10.576   |~               |    ~     ~    
2068|TYC 6469-624-1                                                                                           |Star                                  |04 56 20.9474623488 -25 52 55.106107968|226.5488215299975 -35.7644103746728|  20.944 14.555   |10.92    |~               |    ~     ~    
2069|TYC 6469-627-1                                                                                           |Star                                  |04 54 19.3596430488 -26 06 08.461813356|226.6573957544383 -36.2626247622808|  -6.316 10.849   |10.963   |~               |    ~     ~    
2070|TYC 6469-797-1                                                                                           |Star                                  |04 59 07.8628735680 -26 01 07.504664988|226.9221335721510 -35.2010500622317|  13.101 25.399   |10.85    |~               |    ~     ~    
2071|TYC 6469-1286-1                                                                                          |Star                                  |04 54 07.9304551848 -25 42 18.036891504|226.1689984292673 -36.1955304356231|    6.756 0.547   |10.553   |~               |    ~     ~    
2072|TYC 6469-1536-1                                                                                          |Star                                  |04 57 55.9202178360 -26 40 26.176153800|227.6060470322003 -35.6378583896305|    9.149 3.559   |10.608   |~               |    ~     ~    
2073|TYC 6469-1657-1                                                                                          |Spectroscopic Binary                  |04 59 12.6692338344 -26 55 09.331992408|227.9902285726298 -35.4282900964526|   9.433 -1.870   |10.567   |~               |    ~     ~    
2074|TYC 6469-1705-1                                                                                          |Star                                  |04 55 15.9190913232 -26 31 36.055247952|227.2343271393801 -36.1729963507023|  29.554 15.358   |10.950   |~               |    ~     ~    
2075|TYC 6469-1833-1                                                                                          |Star                                  |04 56 53.9506044552 -26 23 50.518378716|227.2015008290417 -35.7860453184429|   9.025 14.643   |10.869   |~               |    ~     ~    
2076|CD-30 2053                                                                                               |Long-Period Variable                  |04 52 56.6927650608 -29 48 14.059302624|231.0475212987600 -37.4716246957399|    0.557 7.866   |9.98     |~               |    ~     ~    
2077|CD-29 1925                                                                                               |Star                                  |04 52 38.8419618696 -29 44 19.458133656|230.9492919703673 -37.5200092490181|  -0.055 -0.747   |10.60    |~               |    ~     ~    
2078|CD-30 2094                                                                                               |Star                                  |04 57 50.5934687976 -29 53 20.619273624|231.4519636714580 -36.4562421948913|    4.979 0.595   |10.80    |~               |    ~     ~    
2079|CPD-30 740                                                                                               |Eclipsing Binary                      |04 58 03.6062749728 -29 55 58.837592604|231.5185272654829 -36.4205665377055|    6.327 3.781   |10.853   |~               |    ~     ~    
2080|CD-30 2105                                                                                               |High Proper Motion Star               |04 58 32.1614045688 -29 54 43.810532352|231.5227319133817 -36.3154163811503|  50.510 61.498   |10.753   |~               |    ~     ~    
2081|HD 31332                                                                                                 |Star                                  |04 53 43.2978425760 -27 42 05.193223956|228.5355488348839 -36.8083933152380|   -1.135 1.850   |8.01     |K0III           |    ~     ~    
2082|HD 31369                                                                                                 |High Proper Motion Star               |04 54 06.8661219552 -27 32 41.059735296|228.3735874495319 -36.6847643209822|  9.306 -57.785   |9.37     |F5V             |    ~     ~    
2083|CD-27 1958                                                                                               |Star                                  |04 54 14.8966708416 -27 33 22.705081092|228.3968910931669 -36.6589853942864|   21.355 4.095   |10.037   |~               |    ~     ~    
2084|CD-27 1959                                                                                               |Star                                  |04 54 28.5238927896 -27 16 27.019180524|228.0730355201496 -36.5384031745719| -25.933 30.876   |10.010   |~               |    ~     ~    
2085|HD 31185                                                                                                 |Star                                  |04 52 30.9915662832 -28 22 49.852001460|229.2783479262063 -37.2328048609018|  13.382 21.647   |10.23    |A3V             |    ~     ~    
2086|CD-28 1815                                                                                               |High Proper Motion Star               |04 53 03.3756105552 -28 41 11.910950484|229.6871608481183 -37.1908047451819| 69.805 -73.861   |9.90     |~               |    ~     ~    
2087|HD 31289                                                                                                 |Star                                  |04 53 09.8119843080 -29 41 56.157019368|230.9320537605687 -37.4018708835491|    0.719 8.891   |10.20    |A0V             |    ~     ~    
2088|CD-29 1932                                                                                               |Star                                  |04 53 26.6787354216 -28 52 26.610992328|229.9409441007188 -37.1524159994792| -21.503 13.538   |10.124   |~               |    ~     ~    
2089|HD 31348                                                                                                 |Spectroscopic Binary                  |04 53 48.4401828888 -28 59 05.434421640|230.0993949219846 -37.1013194423436| -5.642 -75.322   |9.378    |F3V             |    ~     ~    
2090|CD-29 1938                                                                                               |Star                                  |04 54 02.5225285656 -29 31 32.140770132|230.7741831478289 -37.1766390681987|-15.610 -20.130   |9.73     |~               |    ~     ~    
2091|CPD-27 668                                                                                               |Double or Multiple Star               |04 52 32.986872 -27 47 00.43332        |228.554113916 -37.079934989        |        4.2 3.9   |10.189   |~               |    ~     ~    
2092|CD-28 1812                                                                                               |Star                                  |04 52 35.6462465040 -28 30 54.363043404|229.4476130080748 -37.2484949373781|  -5.010 -0.393   |10.84    |~               |    ~     ~    
2093|CD-27 1951                                                                                               |Star                                  |04 53 37.7893268904 -27 45 13.309485012|228.5924116880687 -36.8411268805079|  17.700 20.644   |10.724   |~               |    ~     ~    
2094|CD-27 1953                                                                                               |Star                                  |04 53 56.2695290400 -27 15 53.180909820|228.0235983675044 -36.6514645868871|  22.582 -0.840   |10.29    |~               |    ~     ~    
2095|CD-27 1946                                                                                               |Spectroscopic Binary                  |04 53 18.8372151408 -27 36 46.457027856|228.4001781363983 -36.8735956103722| -9.692 -50.664   |10.55    |~               |    ~     ~    
2096|CD-27 1950                                                                                               |High Proper Motion Star               |04 53 35.7616851384 -27 40 39.420007860|228.4980371007636 -36.8293457213822|  41.531 36.302   |10.69    |~               |    ~     ~    
2097|CPD-28 694                                                                                               |Long-Period Variable                  |04 54 25.6862355264 -28 09 58.648692564|229.1461939717068 -36.7724866294619|   8.226 -4.995   |10.496   |~               |    ~     ~    
2098|V* SU Cae                                                                                                |Long-Period Variable Candidate        |04 55 49.9596976200 -27 42 16.497669456|228.6857743642013 -36.3569619698182|  5.603 -15.869   |8.44     |K2IICNIVp       |    ~     ~    
2099|HD 31957                                                                                                 |Star                                  |04 58 41.1622925424 -27 26 18.003003144|228.5680139388670 -35.6775075395650|  -1.720 -5.788   |8.33     |A5V             |    ~     ~    
2100|HD 32102                                                                                                 |Star                                  |04 59 36.3672872904 -27 36 34.387704972|228.8364405523061 -35.5248934356402|   -3.069 8.638   |9.636    |G5III           |    ~     ~    
2101|HD 31560                                                                                                 |High Proper Motion Star               |04 55 41.9105353704 -28 33 50.082813720|229.7120668134710 -36.5984709607828|187.891 -226.512  |8.122    |K3.5Vk:         |    ~     ~    
2102|CD-28 1840                                                                                               |Star                                  |04 55 48.7579028640 -28 04 05.162349036|229.1216249579391 -36.4524080534476|  -0.229 -3.641   |10.028   |~               |    ~     ~    
2103|HD 31718                                                                                                 |High Proper Motion Star               |04 56 59.1547699848 -27 59 53.962055412|229.1180207441954 -36.1842792031037|  55.926 21.456   |9.532    |G5III/IV        |    ~     ~    
2104|CD-28 1860                                                                                               |Spectroscopic Binary                  |04 57 40.3729273104 -28 08 21.753296916|229.3340945303821 -36.0729094054353|  55.294 13.515   |9.92     |~               |    ~     ~    
2105|HD 31869                                                                                                 |Star                                  |04 58 11.2603297512 -28 02 08.402208468|229.2452456993180 -35.9369650812660|    2.673 3.860   |10.00    |G8/K1IIICNVp    |    ~     ~    
2106|HD 31938                                                                                                 |Star                                  |04 58 37.8980332632 -28 00 03.282640992|229.2342808813119 -35.8333817258582|  6.247 -35.535   |9.39     |F8/G0(V)        |    ~     ~    
2107|CD-28 1869                                                                                               |Star                                  |04 58 39.2957415168 -28 04 06.840257808|229.3166317620678 -35.8455016509329|  -4.894 -5.147   |9.19     |~               |    ~     ~    
2108|HD 32009                                                                                                 |Spectroscopic Binary                  |04 59 05.8093014864 -28 01 44.321736360|229.2997966084551 -35.7411627789489|-13.259 -31.951   |9.67     |F5V             |    ~     ~    
2109|HD 32030                                                                                                 |Star                                  |04 59 08.7357610008 -28 26 26.463711876|229.7944158603735 -35.8340713329766|  -3.035 39.593   |7.60     |G5IV            |    ~     ~    
2110|HD 31445                                                                                                 |High Proper Motion Star               |04 54 40.7394060816 -28 52 51.894243696|230.0294618432831 -36.8915126657738|  19.611 48.777   |7.76     |K0/1III         |    ~     ~    
2111|HD 31447                                                                                                 |Star                                  |04 54 40.8008515392 -29 02 37.370555880|230.2271767275220 -36.9296917619603|   -7.894 4.750   |10.21    |G5IV/V          |    ~     ~    
2112|HD 31446                                                                                                 |High Proper Motion Star               |04 54 45.3793906776 -29 01 07.197268224|230.2016353902669 -36.9075860160018|  40.051 70.947   |9.32     |G5              |    ~     ~    
2113|V* ST Cae                                                                                                |Long-Period Variable Candidate        |04 54 49.4323723584 -29 33 41.540759388|230.8667736366446 -37.0193075507660| 24.778 -29.955   |9.228    |G9IIIe          |    ~     ~    
2114|HD 31639                                                                                                 |Star                                  |04 56 08.8970216040 -29 27 47.900050128|230.8302825980169 -36.7162842071454| 13.476 -23.599   |9.31     |K1III           |    ~     ~    
2115|CD-29 1968                                                                                               |Star                                  |04 57 35.5028216736 -29 31 15.424460040|230.9910937332400 -36.4242210244949| -3.574 -25.726   |9.78     |~               |    ~     ~    
2116|HD 31939                                                                                                 |Star                                  |04 58 33.2214789000 -28 53 15.868982256|230.2904041119773 -36.0696791879436|   0.070 -4.517   |7.37     |K5III           |    ~     ~    
2117|HD 32103                                                                                                 |Star                                  |04 59 30.2769240048 -29 20 06.864427032|230.8892116896181 -35.9756466257390|    4.783 5.408   |9.24     |K2III           |    ~     ~    
2118|HD 32181                                                                                                 |Star                                  |04 59 59.2056969600 -28 52 06.439949364|230.3616343425379 -35.7607097442821|   9.855 19.940   |9.302    |K1III/IVCNII    |    ~     ~    
2119|HD 32182                                                                                                 |Star                                  |04 59 56.5344961728 -29 34 34.303632096|231.2063141947842 -35.9402745423251|   -2.447 8.921   |8.06     |K1III           |    ~     ~    
2120|CD-27 1960                                                                                               |Star                                  |04 54 32.3990173776 -27 09 21.393549072|227.9354730142359 -36.4941151033245|  6.132 -33.761   |9.935    |~               |    ~     ~    
2121|CD-28 1829                                                                                               |Star                                  |04 55 00.0425963616 -27 50 45.814397496|228.7984610484841 -36.5706612265785|   6.262 10.590   |10.51    |~               |    ~     ~    
2122|CD-28 1831                                                                                               |Star                                  |04 55 16.6189050072 -27 52 59.821442076|228.8623353192981 -36.5208549288889|   3.224 24.132   |10.142   |~               |    ~     ~    
2123|CD-28 1851                                                                                               |Star                                  |04 56 42.4848104616 -28 08 04.210315080|229.2624955781987 -36.2776605734309|  2.419 -13.489   |10.85    |~               |    ~     ~    
2124|CD-28 1855                                                                                               |Star                                  |04 56 59.6255470296 -28 03 48.664047240|229.1967638150001 -36.1989375422074|  -11.712 1.789   |10.718   |~               |    ~     ~    
2125|CD-27 1975                                                                                               |High Proper Motion Star               |04 57 15.3000392160 -27 44 19.583721924|228.8257253591861 -36.0611617690320|  80.845 40.930   |10.290   |~               |    ~     ~    
2126|CD-29 1965                                                                                               |Eclipsing Binary                      |04 57 28.8430397088 -29 09 46.425012516|230.5517133562783 -36.3634131602314|-20.331 -13.513   |9.66     |~               |    ~     ~    
2127|CPD-27 696                                                                                               |Star                                  |04 58 53.0082401736 -27 46 59.076171372|228.9920684945367 -35.7241321853814|   14.842 1.646   |10.874   |~               |    ~     ~    
2128|CD-30 2108                                                                                               |Star                                  |04 58 57.0254497920 -29 54 00.382435164|231.5338363699911 -36.2252480190359|  -3.247 -7.530   |10.32    |~               |    ~     ~    
2129|CD-29 1985                                                                                               |Spectroscopic Binary                  |04 59 09.2338041720 -29 26 52.348914204|231.0020670678256 -36.0766025054468|   9.916 14.143   |10.11    |~               |    ~     ~    
2130|CD-29 1942                                                                                               |Spectroscopic Binary                  |04 54 42.1315585344 -28 55 45.955430040|230.0897033596285 -36.8980293593679| -12.422 10.666   |10.362   |~               |    ~     ~    
2131|CD-28 1858                                                                                               |Star                                  |04 57 28.8906085728 -28 00 18.589986396|229.1602457458616 -36.0801111136196| -11.281 -9.556   |10.39    |~               |    ~     ~    
2132|CD-28 1866                                                                                               |Star                                  |04 58 27.8734370088 -28 31 47.699146452|229.8554276513927 -36.0011503859231|   5.785 -4.058   |10.981   |~               |    ~     ~    
2133|CPD-28 715                                                                                               |Star                                  |04 58 28.4549079360 -27 48 48.262449672|228.9997117561896 -35.8193765686919|   -2.136 8.670   |10.786   |~               |    ~     ~    
2134|CPD-29 727                                                                                               |Star                                  |04 59 27.0035136600 -29 30 50.001240204|231.1002500914804 -36.0295780944027|   3.073 -7.536   |10.78    |~               |    ~     ~    
2135|CD-29 1989                                                                                               |Star                                  |04 59 34.5243046872 -28 57 22.362098148|230.4395210796942 -35.8694107211073|  0.324 -11.430   |10.354   |~               |    ~     ~    
2136|CD-28 1886                                                                                               |High Proper Motion Star               |04 59 45.8935769448 -28 37 11.777857500|230.0500710948063 -35.7467287437228| 34.036 -87.921   |10.43    |~               |    ~     ~    
2137|TYC 6469-1629-1                                                                                          |Star                                  |04 52 37.6616246424 -27 15 59.863881852|227.9330856555171 -36.9334447574824|  -4.010 -9.628   |10.960   |~               |    ~     ~    
2138|CD-27 1947                                                                                               |Star                                  |04 53 29.1170 -27 11 41.613            |227.9072307 -36.7308124            |   -3.086 6.282   |10.88    |~               |    ~     ~    
2139|TYC 6472-194-1                                                                                           |Star                                  |04 55 41.4539645904 -27 48 15.895331532|228.7959421563699 -36.4124971618791|  -2.798 -5.667   |10.545   |~               |    ~     ~    
2140|TYC 6472-287-1                                                                                           |Star                                  |04 55 38.3410301232 -27 48 44.398038204|228.8018790011122 -36.4255923337174|    7.673 7.078   |10.69    |~               |    ~     ~    
2141|TYC 6472-361-1                                                                                           |High Proper Motion Star               |04 59 04.5006976104 -27 50 17.408565456|229.0710015755336 -35.6972750352857| -17.096 56.908   |10.905   |~               |    ~     ~    
2142|TYC 6472-869-1                                                                                           |Star                                  |04 56 16.7867682312 -28 40 10.577521092|229.8781688511219 -36.5002942763910|  -4.335 -1.920   |10.576   |~               |    ~     ~    
2143|TYC 6472-1008-1                                                                                          |Star                                  |04 56 49.3821186960 -28 11 08.022462972|229.3316530027606 -36.2658184090084| 15.434 -20.181   |10.55    |~               |    ~     ~    
2144|TYC 6472-1016-1                                                                                          |Star                                  |04 52 47.9690080512 -28 14 20.427415800|229.1248582195503 -37.1382015543876|   10.602 9.838   |10.684   |~               |    ~     ~    
2145|TYC 6472-1096-1                                                                                          |Spectroscopic Binary                  |04 56 04.9170077496 -28 28 39.720544572|229.6334705608593 -36.4958074639415|  5.250 -23.015   |10.67    |~               |    ~     ~    
2146|TYC 6472-1157-1                                                                                          |Star                                  |04 58 55.6375838112 -28 53 32.291464128|230.3204116791756 -35.9914530475575|   7.606 -3.676   |10.87    |~               |    ~     ~    
2147|TYC 6472-1243-1                                                                                          |Star                                  |04 55 54.8490658296 -29 18 09.408346380|230.6204983293954 -36.7284737497061|    0.421 8.493   |10.864   |~               |    ~     ~    
2148|TYC 6472-1456-1                                                                                          |Star                                  |04 55 56.1568356624 -29 53 42.997816932|231.3421182328619 -36.8601742729649| -0.910 -27.689   |10.60    |~               |    ~     ~    
2149|TYC 6472-1474-1                                                                                          |Star                                  |04 58 17.6961707472 -28 52 17.158276596|230.2538361640806 -36.1206830266734|   6.603 -7.600   |10.947   |~               |    ~     ~    
2150|GSC 06472-01705                                                                                          |Double or Multiple Star               |04 54 38.4768195456 -28 47 20.438260296|229.9151947666398 -36.8776544895117|   9.144 -0.669   |10.228   |~               |    ~     ~    
2151|TYC 6472-1795-1                                                                                          |Star                                  |04 52 57.8396740608 -29 30 15.006285108|230.6808869139240 -37.4001497813097|    3.730 8.252   |10.95    |~               |    ~     ~    
2152|TYC 6472-1859-1                                                                                          |Star                                  |04 57 25.1113 -29 45 55.075            |231.2758285 -36.5174603            |  2.656 -11.966   |10.99    |~               |    ~     ~    
2153|TYC 6472-1869-1                                                                                          |Star                                  |04 55 34.0807101048 -28 50 08.894463936|230.0323966473564 -36.6916753622921|    1.714 6.151   |10.378   |~               |    ~     ~    
2154|TYC 6472-1888-1                                                                                          |Star                                  |04 55 58.4367576648 -29 42 31.830409584|231.1176335447458 -36.8097276125411|   12.492 1.139   |10.755   |~               |    ~     ~    
2155|TYC 6472-1905-1                                                                                          |Star                                  |04 55 40.1982847200 -29 13 32.827624320|230.5117324601226 -36.7622769715981|    8.233 3.361   |10.505   |~               |    ~     ~    
2156|HD 32080                                                                                                 |Star                                  |04 59 17.4554061960 -32 48 21.032442000|235.0849288192769 -36.7738933577576|  -2.872 -9.759   |10.02    |F2V             |    ~     ~    
2157|CD-32 2053                                                                                               |Star                                  |04 57 03.1684182744 -32 42 07.582521348|234.8431188788015 -37.2153596164676|   -5.347 6.424   |10.381   |~               |    ~     ~    
2158|CD-32 2041                                                                                               |Star                                  |04 54 39.7453903440 -32 31 36.501907872|234.5047986557703 -37.6757494450703|    3.928 3.868   |10.28    |~               |    ~     ~    
2159|HD 31215                                                                                                 |Star                                  |04 52 38.1621147936 -30 39 37.893728520|232.0845437413980 -37.7229141112203| -8.718 -11.497   |7.69     |A5IV            |    ~     ~    
2160|CD-30 2066                                                                                               |Star                                  |04 54 25.6951892040 -30 15 55.614097188|231.7032205897383 -37.2606384563545|  29.401 11.437   |10.614   |G2              |    ~     ~    
2161|CD-31 2076                                                                                               |Star                                  |04 52 45.7590568104 -31 15 14.745107988|232.8261975270280 -37.8197453738535|  23.687 15.340   |10.469   |F8              |    ~     ~    
2162|HD 31360                                                                                                 |Star                                  |04 53 44.0321089392 -31 44 46.461139224|233.4888056589504 -37.7162604062591| -20.229 16.160   |9.50     |F6V             |    ~     ~    
2163|CD-32 2026                                                                                               |High Proper Motion Star               |04 52 41.1887499072 -32 22 52.157688060|234.2233185728092 -38.0573103198943| 17.234 -60.622   |10.251   |F8              |    ~     ~    
2164|CD-32 2031                                                                                               |Star                                  |04 53 08.7382308168 -32 25 55.545411432|234.3100953409420 -37.9717943268368|   5.501 -2.436   |10.295   |~               |    ~     ~    
2165|CD-32 2034                                                                                               |Star                                  |04 53 38.3719422744 -32 27 07.380677376|234.3599898648029 -37.8732678254856|   10.015 6.951   |9.92     |G5              |    ~     ~    
2166|HD 31377                                                                                                 |Double or Multiple Star               |04 54 02.86376 -32 00 07.5270          |233.82248009 -37.70159496          |    -4.06 -8.09   |9.85     |F5V             |    ~     ~    
2167|CD-30 2061                                                                                               |Star                                  |04 54 07.7196819192 -29 53 26.551440060|231.2260988679919 -37.2408100832586|   -2.942 4.057   |10.03    |~               |    ~     ~    
2168|CD-31 2075                                                                                               |Star                                  |04 52 34.1090232072 -31 43 06.886735464|233.3921857771213 -37.9536290572183|  47.569 13.577   |10.30    |~               |    ~     ~    
2169|CD-32 2038                                                                                               |Star                                  |04 54 05.4222994416 -31 55 37.280980992|233.7317303286695 -37.6779325532490|   7.320 35.922   |10.48    |~               |    ~     ~    
2170|CD-30 2067                                                                                               |Star                                  |04 54 27.1174579320 -30 17 16.080403560|231.7320310867398 -37.2605470899557|-11.720 -14.385   |9.85     |G0              |    ~     ~    
2171|HD 31506                                                                                                 |Star                                  |04 55 08.2704707712 -30 17 10.123851372|231.7708419370705 -37.1157349491579|  -0.063 10.645   |7.61     |A0V             |    ~     ~    
2172|HD 31602                                                                                                 |Star                                  |04 55 49.8957491400 -30 19 15.897240624|231.8549175977708 -36.9773881992870|  1.890 -10.098   |8.85     |K4(III)         |    ~     ~    
2173|HD 31670                                                                                                 |High Proper Motion Star               |04 56 25.5844687800 -30 14 26.201592672|231.7924152090330 -36.8343216173501|-74.069 -109.067  |8.85     |F6V             |    ~     ~    
2174|CD-30 2083                                                                                               |Star                                  |04 56 36.2899367760 -30 21 26.236486332|231.9452291083088 -36.8226979282826|  45.246 -4.491   |9.84     |G5              |    ~     ~    
2175|CD-30 2091                                                                                               |Star                                  |04 57 19.0524775920 -30 39 39.462501348|232.3572896438073 -36.7398568332363|  23.512 -7.819   |9.87     |F8              |    ~     ~    
2176|CD-30 2093                                                                                               |Variable Star                         |04 57 45.4704182472 -30 14 05.920238724|231.8658483051150 -36.5527876864183|  24.629 21.909   |10.14    |F5              |    ~     ~    
2177|CD-30 2097                                                                                               |Star                                  |04 57 57.8702098416 -30 14 02.935108644|231.8773455987953 -36.5091085407303|    8.816 1.156   |9.74     |K2              |    ~     ~    
2178|HD 31928                                                                                                 |Star                                  |04 58 20.2677895032 -30 25 01.780286088|232.1216638083848 -36.4716757117250| -2.703 -19.899   |9.07     |F2/3IV/V        |    ~     ~    
2179|CD-30 2119                                                                                               |Spectroscopic Binary                  |04 59 32.5477515264 -30 39 21.411441756|232.4826073221267 -36.2720715520915|  0.091 -13.814   |10.18    |F0              |    ~     ~    
2180|CD-30 2120                                                                                               |Star                                  |04 59 46.1601519648 -30 22 07.996806912|232.1494752590195 -36.1600263363061|   15.532 5.457   |9.73     |G5              |    ~     ~    
2181|CD-31 2091                                                                                               |Star                                  |04 54 25.2611251248 -31 10 53.294087748|232.8286628445351 -37.4578288660738|    4.438 5.087   |9.37     |K0              |    ~     ~    
2182|HD 31460                                                                                                 |High Proper Motion Star               |04 54 42.5396968392 -31 26 01.579017336|233.1556345684039 -37.4497145565317| 1.397 -270.891   |8.04     |G0V             |    ~     ~    
2183|CD-31 2097                                                                                               |Star                                  |04 54 58.1194466088 -30 59 40.832615256|232.6296966293144 -37.3040668319282|  -1.299 -4.758   |10.28    |~               |    ~     ~    
2184|HD 31528                                                                                                 |Star                                  |04 55 18.7287671280 -30 47 46.991910768|232.4059699869899 -37.1899136258693|   1.723 15.672   |9.618    |K0III/IV        |    ~     ~    
2185|CD-31 2107                                                                                               |Double or Multiple Star               |04 55 56.6924324400 -30 51 31.157972639|232.5187548056221 -37.0705718717584| 103.56 -209.63   |10.07    |K5              |0.0033  0.0    
2186|HD 31658                                                                                                 |Star                                  |04 56 17.6788699944 -31 35 28.862778048|233.4367406228848 -37.1513168935750|   1.285 -4.747   |9.44     |A2V             |    ~     ~    
2187|HD 31686                                                                                                 |Star                                  |04 56 33.0452937552 -31 42 24.538498200|233.5925239618102 -37.1216560602717|  22.455 19.916   |8.89     |K0IIICNII       |    ~     ~    
2188|HD 31730                                                                                                 |Star                                  |04 56 51.4695088488 -31 15 42.700272804|233.0642466593629 -36.9652128778006|  11.474 -9.455   |9.30     |F7/G0           |    ~     ~    
2189|HD 31904                                                                                                 |Star                                  |04 58 14.7084109632 -30 57 33.795444168|232.7745380369488 -36.6104802267654|    2.529 6.909   |8.85     |G8IV            |    ~     ~    
2190|CD-31 2124                                                                                               |Double or Multiple Star               |04 58 36.2700336960 -31 38 05.618832252|233.6175229184136 -36.6792540523422|   7.455 -0.580   |10.174   |~               |    ~     ~    
2191|CD-31 2125                                                                                               |Star                                  |04 58 38.1361941024 -31 07 25.544879292|232.9969206984201 -36.5643300262765|   10.799 1.957   |9.62     |K0              |    ~     ~    
2192|HD 31972                                                                                                 |Double or Multiple Star               |04 58 39.0788 -31 38 32.189            |233.6291179 -36.6710524            |  24.013 11.717   |9.53     |F7V             |    ~     ~    
2193|HD 31772                                                                                                 |High Proper Motion Star               |04 57 15.1558445712 -31 53 06.669461580|233.8494996851041 -37.0120656866685|-73.098 -32.821   |9.81     |G5V             |    ~     ~    
2194|HD 31687                                                                                                 |Double or Multiple Star               |04 56 30.8802711840 -32 34 02.559031752|234.6495315489645 -37.3004884952444|       19.0 2.4   |9.919    |F3V             |    ~     ~    
2195|CD-32 2063                                                                                               |Star                                  |04 58 04.8746171160 -32 06 55.670853564|234.1762416871636 -36.8867340785343|    5.927 6.831   |10.132   |G5              |    ~     ~    
2196|CD-32 2069                                                                                               |Star                                  |04 58 34.4688914400 -32 06 42.766449912|234.1982818594168 -36.7837296415809|  29.524 -6.813   |10.210   |~               |    ~     ~    
2197|HD 32079                                                                                                 |Star                                  |04 59 19.2109725528 -32 14 21.060311280|234.3937220668229 -36.6550321287420|  28.528 31.203   |6.71     |K2III           |    ~     ~    
2198|HD 32166                                                                                                 |Star                                  |04 59 47.1470067 -32 04 41.650136      |234.2225304915 -36.5257214754      |   -5.47 -23.10   |9.87     |G3V             |    ~     ~    
2199|CD-30 2107                                                                                               |Star                                  |04 58 41.5043118312 -30 14 46.420990440|231.9360369849368 -36.3588196879494|    3.633 3.770   |10.22    |~               |    ~     ~    
2200|CD-31 2092                                                                                               |Star                                  |04 54 27.7974235896 -31 28 31.789048908|233.1935959548333 -37.5095409556165| -5.148 -20.248   |10.05    |~               |    ~     ~    
2201|CD-32 2060                                                                                               |Star                                  |04 57 53.1236515224 -32 12 11.336842728|234.2732297819159 -36.9449898721728|   -2.175 0.361   |10.79    |~               |    ~     ~    
2202|CD-32 2064                                                                                               |Star                                  |04 58 08.6411 -32 30 22.962            |234.6586688 -36.9517858            |      -2.0 12.4   |10.633   |~               |    ~     ~    
2203|TYC 6472-991-1                                                                                           |Star                                  |04 53 36.3490682544 -29 56 19.125348288|231.2530815687708 -37.3619434923464|    9.401 1.922   |10.98    |~               |    ~     ~    
2204|TYC 7046-17-1                                                                                            |Star                                  |04 59 48.0352227120 -32 17 34.167783840|234.4848090563598 -36.5664612890696|   18.620 5.700   |10.83    |~               |    ~     ~    
2205|TYC 7046-219-1                                                                                           |Star                                  |04 57 33.7841720256 -32 16 42.480476436|234.3485642947236 -37.0268246556472|    4.185 9.262   |10.98    |~               |    ~     ~    
2206|TYC 7046-253-1                                                                                           |Star                                  |04 53 39.0450465744 -31 52 58.920220056|233.6539165530781 -37.7607064889829|    2.813 1.308   |10.805   |~               |    ~     ~    
2207|TYC 7046-316-1                                                                                           |Star                                  |04 58 35.9141823504 -32 17 30.392313000|234.4196050048620 -36.8150507883476|  15.652 24.720   |10.71    |~               |    ~     ~    
2208|TYC 7046-497-1                                                                                           |Star                                  |04 58 38.3075362176 -31 48 40.978166400|233.8346918693991 -36.7088800396856|    5.055 9.675   |10.973   |~               |    ~     ~    
2209|TYC 7046-563-1                                                                                           |High Proper Motion Star               |04 53 47.7025735392 -31 54 44.561244708|233.6979432662684 -37.7364749971660| 49.046 -43.751   |10.73    |~               |    ~     ~    
