C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
44  |TYC 4736-237-1                                                                                           |Star                                  |04 46 27.3301867488 -01 13 38.194122360|198.6614193487138 -28.1189842092650|    4.900 0.212   |10.78    |~               |    ~     ~    
45  |BD-02 1011                                                                                               |Star                                  |04 47 00.3219325056 -01 53 33.896020164|199.3926291207262 -28.3350271091311|   0.311 -6.270   |10.10    |~               |    ~     ~    
46  |BD-01 723                                                                                                |High Proper Motion Star               |04 47 32.249016 -01 43 27.38604        |199.302707916 -28.135560383        |    -17.1 -61.2   |10.324   |~               |    ~     ~    
47  |BD-00 772                                                                                                |Star                                  |04 47 44.0551495584 -00 11 48.427352088|197.8427753074721 -27.3196538669085| 25.937 -41.849   |9.79     |~               |    ~     ~    
48  |BD-02 1017                                                                                               |Star                                  |04 47 52.4599242096 -01 54 11.571654780|199.5261724748800 -28.1522387989543|  11.237 -0.006   |10.18    |~               |    ~     ~    
49  |BD-01 727                                                                                                |Star                                  |04 48 32.3239172688 -00 53 24.711052380|198.6304888669141 -27.4992904893844|  1.377 -19.029   |10.36    |~               |    ~     ~    
50  |BD-02 1024                                                                                               |Double or Multiple Star               |04 48 33.981120 -02 09 09.86112        |199.869219173 -28.126741711        |       15.5 6.2   |10.139   |~               |    ~     ~    
51  |BD-02 1029                                                                                               |High Proper Motion Star               |04 49 32.6197967688 -02 06 41.794028100|199.9662522636318 -27.8944351492974|  20.188 72.622   |9.98     |~               |    ~     ~    
52  |TYC 4736-203-1                                                                                           |Star                                  |04 50 00.9099848256 -01 39 39.994083648|199.5912271709163 -27.5678778801535|  10.758 -8.989   |10.78    |~               |    ~     ~    
53  |GSC 04736-00673                                                                                          |Spectroscopic Binary                  |04 50 21.163848 -01 09 44.70804        |199.152685015 -27.245016889        |        1.6 4.4   |10.62    |~               |    ~     ~    
54  |BD-02 1043                                                                                               |Star                                  |04 51 54.5926052304 -01 56 57.163932708|200.1382524572932 -27.3006051804587| 11.612 -43.114   |9.76     |~               |    ~     ~    
55  |TYC 4736-219-1                                                                                           |Star                                  |04 51 57.5530269384 -01 13 22.465949232|199.4376916817157 -26.9279971190608|  -2.175 -4.630   |9.80     |~               |    ~     ~    
56  |BD-01 740                                                                                                |High Proper Motion Star               |04 52 03.2032 -00 56 58.621            |199.1859293 -26.7705591            |    6.50 -68.60   |10.5     |~               |    ~     ~    
57  |BD-02 1047                                                                                               |Star                                  |04 52 07.3512386568 -01 58 57.157078188|200.2004574431696 -27.2709828438993| 12.716 -17.455   |9.91     |~               |    ~     ~    
58  |TYC 4736-56-1                                                                                            |Star                                  |04 52 23.4309244656 -01 36 20.704478292|199.8702975161728 -27.0257334821652|  3.708 -15.586   |10.92    |~               |    ~     ~    
59  |TYC 4736-57-1                                                                                            |Star                                  |04 51 13.7475251160 -01 50 09.300162228|199.9324519060812 -27.3919931950805|  -1.002 -7.214   |10.91    |~               |    ~     ~    
60  |TYC 4736-83-1                                                                                            |Star                                  |04 51 26.7832787928 -01 50 51.126559548|199.9741918679262 -27.3506632023750|   3.188 -4.327   |10.64    |~               |    ~     ~    
61  |TYC 4736-114-1                                                                                           |Star                                  |04 49 35.6933919192 -01 46 21.342625608|199.6410800947652 -27.7145349144098| -2.959 -26.469   |10.48    |~               |    ~     ~    
62  |TYC 4736-156-1                                                                                           |Star                                  |04 48 33.1348 -01 45 06.923            |199.4736554 -27.9299005            |   9.067 -9.990   |10.92    |~               |    ~     ~    
63  |TYC 4736-196-1                                                                                           |Star                                  |04 50 21.2828239248 -01 51 46.969333308|199.8364451872313 -27.5950218107691|  -1.076 -0.609   |10.609   |~               |    ~     ~    
64  |TYC 4736-318-1                                                                                           |Star                                  |04 48 48.5212831416 -01 25 48.339341940|199.1950629940930 -27.7131667736284|    2.417 2.546   |10.07    |~               |    ~     ~    
