C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
41  |TYC 4707-536-1                                                                                           |High Proper Motion Star               |03 01 03.3120505728 -01 47 10.278232872|179.2443110915003 -49.9295612899411|  73.888 -1.881   |10.18    |~               |    ~     ~    |    1|   87.171   pc  |  -0.4412     +0.4412    |ST-L    |2020AJ....160...83S
42  |TYC 4707-704-1                                                                                           |Star                                  |03 00 24.2508471192 -00 45 54.374052132|177.9149917413002 -49.3566998581376|  18.753 -7.016   |10.935   |~               |    ~     ~    |    1|  248.490   pc  |  -3.6150     +3.6150    |ST-L    |2020AJ....160...83S
43  |TYC 4707-793-1                                                                                           |Star                                  |03 04 27.5922374856 -01 32 11.254068060|179.8350773516119 -49.1300436085332|  -3.795 -9.930   |10.819   |~               |    ~     ~    |    1|  249.609   pc  |  -4.1070     +4.1070    |ST-L    |2020AJ....160...83S
44  |TYC 4707-858-1                                                                                           |Star                                  |03 03 39.4696725192 -00 03 13.505680440|177.9726082800228 -48.2768019835033|  -8.470 -1.759   |10.6     |~               |    ~     ~    |    1|  291.571   pc  |  -2.6864     +2.6864    |paral   |2020yCat.1350....0G
45  |TYC 4707-886-1                                                                                           |High Proper Motion Star               |03 04 42.3872669544 -01 57 29.665733220|180.3811457870208 -49.3637608004892|-34.140 -34.692   |10.186   |~               |    ~     ~    |    1|  130.579   pc  |  -1.9960     +1.9960    |ST-L    |2020AJ....160...83S
46  |TYC 4707-949-1                                                                                           |Star                                  |03 01 37.7671820952 -01 02 32.263173420|178.5466653993246 -49.3214882234679|  17.242 -5.113   |10.36    |~               |    ~     ~    |    1|  725.216   pc  | -11.0973    +11.0973    |paral   |2020yCat.1350....0G
47  |TYC 4707-968-1                                                                                           |Star                                  |03 08 27.6663327120 -01 37 53.507184636|180.9462767730405 -48.4423604708982| -2.329 -16.122   |10.10    |~               |    ~     ~    |    1|  550.085   pc  |  -5.5980     +5.5980    |paral   |2020yCat.1350....0G
48  |TYC 4707-971-1                                                                                           |Star                                  |03 02 51.7507080480 -01 11 41.158533516|179.0381046627200 -49.1975082342480|  -9.523 -1.112   |10.97    |~               |    ~     ~    |    1|  358.841   pc  | -10.2300    +10.2300    |ST-L    |2020AJ....160...83S
49  |TYC 4707-994-1                                                                                           |Star                                  |03 00 56.2539328848 -00 57 11.562845256|178.2658641904192 -49.3877538801011|  -8.400 -1.681   |10.875   |~               |    ~     ~    |    1|  255.997   pc  |  -8.3650     +8.3650    |ST-L    |2020AJ....160...83S
50  |TYC 4707-1175-1                                                                                          |Star                                  |03 04 54.8165912568 -00 01 56.945479584|178.2705805378249 -48.0328766692865| 20.770 -11.452   |10.234   |~               |    ~     ~    |    1|  373.699   pc  |  -8.2740     +8.2740    |ST-L    |2020AJ....160...83S
51  |TYC 4707-1198-1                                                                                          |High Proper Motion Star               |03 05 46.9544024592 -01 41 28.763137896|180.3466176592349 -48.9855560421735|11.915 -115.237   |10.70    |~               |    ~     ~    |    1|  150.089   pc  |  -0.4393     +0.4393    |paral   |2020yCat.1350....0G
52  |TYC 4707-1219-1                                                                                          |Star                                  |03 01 38.5345883688 -01 19 15.310112592|178.8652083449545 -49.5077525028252|  31.181 -6.165   |10.32    |~               |    ~     ~    |    1|  230.038   pc  |  -1.0689     +1.0689    |paral   |2020yCat.1350....0G
53  |TYC 4708-116-1                                                                                           |Star                                  |03 10 06.7093666392 -01 15 25.779087360|180.9280423060630 -47.8854048448260|   13.461 0.640   |10.88    |~               |    ~     ~    |    1|  390.564   pc  |  -2.7457     +2.7457    |paral   |2020yCat.1350....0G
