C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1417|CD-37 1167                                                                                               |Star                                  |03 07 58.5073311864 -37 13 45.829119036|240.9691766648695 -59.5894877727964|   3.726 30.573   |10.103   |G0              |    ~     ~    |    1|  215.421   pc  |  -2.5020     +2.5020    |ST-L    |2020AJ....160...83S
1418|CD-37 1174                                                                                               |Star                                  |03 08 50.0022210672 -37 10 28.075273356|240.8081258111392 -59.4296534565740| -9.122 -19.415   |10.078   |F5              |    ~     ~    |    1|  193.879   pc  |  -1.8790     +1.8790    |ST-L    |2020AJ....160...83S
1419|HD 19915                                                                                                 |Star                                  |03 10 51.6906030624 -37 10 59.719373472|240.7025626295035 -59.0292019462974| -6.704 -45.430   |9.27     |F8V             |    ~     ~    |    1|  204.956   pc  |  -0.8107     +0.8107    |paral   |2020yCat.1350....0G
1420|CD-37 1194                                                                                               |Double or Multiple Star               |03 11 59.667744 -37 04 55.17012        |240.443639708 -58.820916051        |      55.4 49.3   |10.05    |G5              |    ~     ~    |    1|  154.476   pc  | +22.904     +45         |ST-L    |2017AJ....153...75K
1421|HD 20050                                                                                                 |High Proper Motion Star               |03 12 06.0355926672 -36 39 59.330252952|239.6427107968845 -58.8576200741399| 5.667 -103.691   |9.56     |G5V             |    ~     ~    |    1|  127.778   pc  |  -0.8163     +0.8163    |ST-L    |2020AJ....160...83S
1422|CD-37 1201                                                                                               |Spectroscopic Binary                  |03 12 52.9786027632 -37 26 02.912582148|241.0636090142185 -58.5938188886118|  8.142 -33.389   |10.120   |F8              |    ~     ~    |    1|  179.636   pc  |  -4.6550     +4.6550    |ST-L    |2020AJ....160...83S
1423|HD 20157                                                                                                 |Spectroscopic Binary                  |03 13 01.7762727624 -36 57 57.523797432|240.1660607984107 -58.6328120816602|-58.522 -136.541  |8.26     |G0V             |    ~     ~    |    1|   77.855   pc  |  -0.7543     +0.7543    |ST-L    |2020AJ....160...83S
1424|CD-37 1215                                                                                               |Spectroscopic Binary                  |03 14 59.2278250152 -37 15 13.594455288|240.6067866575335 -58.2063506559352|   16.282 3.815   |10.279   |F8              |    ~     ~    |    1| 2073.620   pc  |-204.6000   +204.6000    |ST-L    |2020AJ....160...83S
1425|CD-38 1021                                                                                               |Double or Multiple Star               |03 05 32.4006645336 -37 37 51.876632748|241.9221295125903 -59.9959074764450|  24.316 22.432   |9.29     |K1              |0.0033  0.0    |    1|  332.259   pc  | -16.3607    +16.3607    |paral   |2020yCat.1350....0G
1426|CD-38 1024                                                                                               |High Proper Motion Star               |03 06 18.4514553744 -37 37 00.368556492|241.8388324303572 -59.8490804906301|  63.795 80.899   |9.40     |K2              |    ~     ~    |    1|   49.117   pc  |  -0.0326     +0.0326    |paral   |2020yCat.1350....0G
1427|CD-38 1047                                                                                               |Star                                  |03 10 23.3044420728 -37 46 53.392158660|241.8792476647615 -59.0254729794422|  16.046 25.134   |10.503   |F2              |    ~     ~    |    1|  232.322   pc  |  -2.8020     +2.8020    |ST-L    |2020AJ....160...83S
1428|CD-38 1052                                                                                               |Star                                  |03 11 37.1025787872 -37 37 16.179309444|241.4947806565002 -58.8121572428580|  14.208 -6.574   |10.47    |G0              |    ~     ~    |    1|  367.323   pc  |  -1.7945     +1.7945    |paral   |2020yCat.1350....0G
1429|CD-38 1066                                                                                               |Star                                  |03 13 59.9317597632 -37 47 07.279483668|241.6615265643849 -58.3211376577515|    7.611 5.767   |9.36     |K0              |    ~     ~    |    1|  667.067   pc  |  -5.0283     +5.0283    |paral   |2020yCat.1350....0G
1430|CD-38 1067                                                                                               |Star                                  |03 14 04.0408694568 -37 44 30.420522636|241.5755486436662 -58.3146079664377|  18.009 12.129   |9.48     |K5              |    ~     ~    |    1|  781.751   pc  | -30.3200    +30.3200    |ST-L    |2020AJ....160...83S
1431|HD 19641                                                                                                 |High Proper Motion Star               |03 08 26.4188184672 -37 51 08.048535732|242.1467606833009 -59.3919051089892|-25.024 114.795   |8.24     |G2V             |    ~     ~    |    1|   52.560   pc  |  -0.0597     +0.0597    |paral   |2020yCat.1350....0G
1432|CD-38 1042                                                                                               |Star                                  |03 08 58.6184023896 -37 56 46.069157832|242.2905211102807 -59.2708788529844|   13.121 6.866   |9.71     |K0              |    ~     ~    |    1|  589.797   pc  |  -3.9308     +3.9308    |paral   |2020yCat.1350....0G
1433|CD-38 1045                                                                                               |High Proper Motion Star               |03 09 28.1316062928 -37 58 01.868872044|242.2969756852876 -59.1717137770427|-32.823 -53.992   |10.52    |G5              |    ~     ~    |    1|  134.546   pc  |  -1.0720     +1.0720    |ST-L    |2020AJ....160...83S
1434|HD 19765                                                                                                 |High Proper Motion Star               |03 09 28.8400051320 -37 51 32.535269316|242.0884308423792 -59.1886081801542| -9.370 -87.689   |9.05     |K0/2(III)       |    ~     ~    |    1|  159.495   pc  |  -0.3612     +0.3612    |paral   |2020yCat.1350....0G
1435|CD-38 1046B                                                                                              |High Proper Motion Star               |03 09 28.0827882840 -37 51 40.893277320|242.0937484037373 -59.1906518992604|-10.697 -87.977   |10.23    |~               |    ~     ~    |    1|  159.027   pc  |  -1.3290     +1.3290    |ST-L    |2020AJ....160...83S
1436|HD 19988                                                                                                 |Star                                  |03 11 21.8586371376 -38 01 07.544854308|242.2677753317042 -58.7950251576593|  27.659 14.551   |8.78     |G8III           |    ~     ~    |    1|  382.234   pc  |  -2.4399     +2.4399    |paral   |2020yCat.1350....0G
1437|CD-38 1054                                                                                               |High Proper Motion Star               |03 11 50.2238783712 -37 55 57.338059944|242.0733055610611 -58.7180148705558|  86.346 57.621   |10.42    |G2              |    ~     ~    |    1|  172.652   pc  |  -0.3935     +0.3935    |paral   |2020yCat.1350....0G
1438|CD-38 1059                                                                                               |High Proper Motion Star               |03 12 27.3491627184 -38 06 05.167809612|242.3530521949366 -58.5691220988589| 82.794 -23.703   |9.88     |G5              |    ~     ~    |    1|  131.036   pc  |  -0.8910     +0.8910    |ST-L    |2020AJ....160...83S
1439|CD-38 1060                                                                                               |Star                                  |03 12 27.6262451640 -38 11 01.769249832|242.5083292506991 -58.5539735143581| -8.764 -13.962   |9.84     |K0              |    ~     ~    |    1|  579.609   pc  |  -3.9978     +3.9978    |paral   |2020yCat.1350....0G
1440|HD 20108                                                                                                 |Star                                  |03 12 34.7603454048 -37 49 04.482164136|241.8090373224733 -58.5926734838047|-12.909 -23.335   |8.34     |K0III           |    ~     ~    |    1|  349.441   pc  |  -5.4500     +5.4500    |ST-L    |2020AJ....160...83S
1441|CD-38 1064                                                                                               |Double or Multiple Star               |03 12 50.54849 -38 07 26.7632          |242.37084044 -58.49030697          |     79.42 0.40   |9.69     |F8              |    ~     ~    |    1|  141.65    pc  | +22.197      +2         |ST-L    |2017AJ....153...75K
1442|HD 20232                                                                                                 |High Proper Motion Star               |03 13 50.1585921216 -38 48 33.807422376|243.5890222749489 -58.1764921474002|-37.382 -44.652   |6.88     |A2/3III/IV      |    ~     ~    |    1|   79.004   pc  |  -0.1323     +0.1323    |paral   |2020yCat.1350....0G
1443|CD-38 1010                                                                                               |Star                                  |03 04 00.9233836848 -37 33 06.339809592|241.8780418832370 -60.3073967888313|   10.907 3.373   |10.29    |~               |    ~     ~    |    1|  825.696   pc  |  -7.9767     +7.9767    |paral   |2020yCat.1350....0G
1444|CD-37 1161                                                                                               |Star                                  |03 07 00.8472822408 -37 17 40.785220644|241.1594923582228 -59.7672204204172|   29.533 7.552   |10.54    |~               |    ~     ~    |    1| 1149.425   pc  | -17.7038    +17.7038    |paral   |2020yCat.1350....0G
1445|CPD-38 268                                                                                               |Double or Multiple Star               |03 08 49.2534374952 -37 50 20.018588496|242.0946839870527 -59.3203627757280|   17.873 4.289   |10.264   |~               |    ~     ~    |    1|  794.640   pc  | -22.7200    +22.7200    |ST-L    |2020AJ....160...83S
1446|CD-38 1055                                                                                               |High Proper Motion Star               |03 11 54.7198442112 -38 03 01.012733964|242.2916511563306 -58.6833539484572| 30.636 -49.583   |10.41    |~               |    ~     ~    |    1|  116.229   pc  |  -0.8446     +0.8446    |ST-L    |2020AJ....160...83S
1447|CD-38 1057                                                                                               |High Proper Motion Star               |03 12 17.3795121192 -38 16 27.989841756|242.6906641867632 -58.5710682309070|  52.036 14.141   |10.822   |~               |    ~     ~    |    1|  245.649   pc  |  -3.1410     +3.1410    |ST-L    |2020AJ....160...83S
1448|CD-38 1061                                                                                               |Star                                  |03 12 32.8595883744 -38 02 00.867489000|242.2189215270466 -58.5629003309429|  17.872 13.597   |10.689   |~               |    ~     ~    |    1|  366.196   pc  |  -8.6390     +8.6390    |ST-L    |2020AJ....160...83S
1449|CD-37 1200                                                                                               |Star                                  |03 12 51.5871271152 -36 54 27.118858932|240.0637590997996 -58.6744682709013|  -14.169 4.981   |10.974   |~               |    ~     ~    |    1|  246.705   pc  |  -3.0470     +3.0470    |ST-L    |2020AJ....160...83S
1450|CD-37 1208                                                                                               |Star                                  |03 13 39.3385956336 -37 26 04.545894948|241.0202740192356 -58.4421129452232|   -5.629 5.956   |10.932   |~               |    ~     ~    |    1|  396.120   pc  |  -7.7140     +7.7140    |ST-L    |2020AJ....160...83S
1451|CD-38 1068                                                                                               |Star                                  |03 14 13.5402800040 -38 06 48.391790760|242.2634403350139 -58.2239408739752|    7.570 6.348   |10.28    |~               |    ~     ~    |    1|  836.221   pc  | -25.5500    +25.5500    |ST-L    |2020AJ....160...83S
1452|CD-38 1025                                                                                               |Star                                  |03 06 25.0920301344 -37 55 00.373861200|242.4171363931558 -59.7721907404813| 18.303 -11.070   |10.41    |~               |    ~     ~    |    1|  874.279   pc  |  -8.1023     +8.1023    |paral   |2020yCat.1350....0G
1453|CD-39 928                                                                                                |Star                                  |03 10 40.0454174424 -38 43 16.121822664|243.6489450126702 -58.7996199048464|  0.228 -25.696   |10.86    |~               |    ~     ~    |    1|  654.579   pc  |  -4.8417     +4.8417    |paral   |2020yCat.1350....0G
1454|CD-37 1203                                                                                               |Star                                  |03 13 07.5602866704 -37 17 02.431783896|240.7650026757647 -58.5684797943289|    2.918 7.284   |10.516   |~               |    ~     ~    |    1|  782.019   pc  | -24.7500    +24.7500    |ST-L    |2020AJ....160...83S
1455|TYC 7025-661-1                                                                                           |Star                                  |03 06 26.6377409808 -37 29 14.753517036|241.5758713872143 -59.8455414974715|    7.055 4.796   |10.70    |~               |    ~     ~    |    1|  933.445   pc  |  -9.3231     +9.3231    |paral   |2020yCat.1350....0G
1456|TYC 7025-839-1                                                                                           |Star                                  |03 07 03.5530219920 -37 14 14.551143756|241.0443391613611 -59.7679791436904|   13.752 2.060   |10.972   |~               |    ~     ~    |    1| 1050.230   pc  | -56.4400    +56.4400    |ST-L    |2020AJ....160...83S
1457|TYC 7560-109-1                                                                                           |Star                                  |03 03 11.4495415584 -37 40 48.417476052|242.1958823559370 -60.4432403589927|-12.215 -16.293   |10.439   |~               |    ~     ~    |    1|  805.031   pc  | -31.7700    +31.7700    |ST-L    |2020AJ....160...83S
1458|TYC 7560-607-1                                                                                           |Star                                  |03 05 40.3889666544 -38 27 48.652080552|243.5398392007814 -59.8073929274126|  0.824 -15.486   |10.72    |~               |    ~     ~    |    1|  417.267   pc  | -10.0500    +10.0500    |ST-L    |2020AJ....160...83S
1459|TYC 7561-561-1                                                                                           |High Proper Motion Star               |03 08 51.2232723960 -37 30 38.209402476|241.4583145587053 -59.3707366985447|  82.397 37.521   |10.904   |~               |    ~     ~    |    1|  197.112   pc  |  -1.9000     +1.9000    |ST-L    |2020AJ....160...83S
1460|TYC 7561-619-1                                                                                           |Star                                  |03 08 07.6967487048 -37 31 40.082360088|241.5396493337031 -59.5095780542145|   20.025 8.500   |10.797   |~               |    ~     ~    |    1|  865.654   pc  | -34.1600    +34.1600    |ST-L    |2020AJ....160...83S
1461|TYC 7561-620-1                                                                                           |Star                                  |03 11 45.1403823432 -37 44 31.743668508|241.7168139237060 -58.7662931683191|   -4.870 4.659   |10.91    |~               |    ~     ~    |    1|  563.444   pc  | -44.1599    +44.1599    |paral   |2020yCat.1350....0G
1462|TYC 7561-942-1                                                                                           |Star                                  |03 12 39.3511550040 -38 05 24.132940836|242.3186023945278 -58.5323019174577|  16.679 -5.448   |10.814   |~               |    ~     ~    |    1|  431.229   pc  |  -8.0920     +8.0920    |ST-L    |2020AJ....160...83S
1463|CD-38 992                                                                                                |Spectroscopic Binary                  |03 00 16.0319680800 -37 44 16.974096972|242.5488980879148 -60.9981371469382|   11.757 2.129   |9.76     |F5              |    ~     ~    |    1|  295.972   pc  |  -8.9789     +8.9789    |paral   |2020yCat.1350....0G
1464|CD-36 1133                                                                                               |Star                                  |03 00 46.5504346656 -35 31 06.769943328|237.9819125418852 -61.2794507068647|   4.616 15.203   |10.97    |F8              |    ~     ~    |    1|  344.092   pc  |  -4.4163     +4.4163    |paral   |2020yCat.1350....0G
1465|HD 18838                                                                                                 |High Proper Motion Star               |03 00 41.9385282384 -35 56 15.412020216|238.8490162164784 -61.2347628046853| 252.854 75.120   |9.20     |G6V             |    ~     ~    |    1|   57.882   pc  |  -0.0392     +0.0392    |paral   |2020yCat.1350....0G
1466|CD-36 1135                                                                                               |Star                                  |03 01 13.5473645448 -36 16 51.191942268|239.5179395011233 -61.0765940345167|  22.918 29.459   |10.398   |G0              |    ~     ~    |    1|  222.430   pc  |  -2.6430     +2.6430    |ST-L    |2020AJ....160...83S
1467|HD 18809                                                                                                 |Spectroscopic Binary                  |03 00 19.7161789752 -37 27 16.169834880|241.9706678362092 -61.0436394997221|  14.916 27.024   |8.47     |G4V             |    ~     ~    |    1|   48.827   pc  |  -0.2221     +0.2221    |ST-L    |2020AJ....160...83S
1468|HD 18828                                                                                                 |Star                                  |03 00 33.6360215208 -36 34 06.913924788|240.1510658119167 -61.1612476754475| -5.658 -27.280   |9.64     |F5V             |    ~     ~    |    1|  223.870   pc  |  -8.6420     +8.6420    |ST-L    |2020AJ....160...83S
1469|CD-37 1125                                                                                               |Star                                  |03 01 10.3289525160 -36 36 41.246196732|240.1953785589790 -61.0329968912691|  30.930 27.669   |9.42     |K0              |    ~     ~    |    1|  418.480   pc  |  -2.1190     +2.1190    |paral   |2020yCat.1350....0G
1470|CD-36 1144                                                                                               |Star                                  |03 03 08.9929380192 -36 09 30.104425440|239.1464609114568 -60.7119573562540|   7.002 27.833   |10.194   |F8              |    ~     ~    |    1|  342.810   pc  |  -6.1020     +6.1020    |ST-L    |2020AJ....160...83S
1471|HD 19182                                                                                                 |High Proper Motion Star               |03 03 56.4923878104 -35 54 46.798053444|238.6042322218752 -60.5887282220270|  22.547 46.787   |9.40     |F5V             |    ~     ~    |    1|  134.657   pc  |  -0.2539     +0.2539    |paral   |2020yCat.1350....0G
1472|CD-36 1176                                                                                               |Star                                  |03 08 49.1395111584 -36 18 44.351016876|239.1287623565802 -59.5585113354240|  40.716 -6.665   |10.06    |G2              |    ~     ~    |    1|  118.026   pc  |  -0.7183     +0.7183    |ST-L    |2020AJ....160...83S
1473|HD 18998                                                                                                 |High Proper Motion Star               |03 02 09.3047897064 -36 54 05.026182840|240.7132824368324 -60.7892148469424|-41.998 -64.263   |9.48     |F5V             |    ~     ~    |    1|  171.202   pc  |  -1.3920     +1.3920    |ST-L    |2020AJ....160...83S
1474|CD-37 1139                                                                                               |Star                                  |03 03 29.1902013408 -36 39 21.447600876|240.1275741805314 -60.5677463486518|    8.905 7.636   |10.03    |K2              |    ~     ~    |    1|  559.674   pc  | -15.5200    +15.5200    |ST-L    |2020AJ....160...83S
1475|CD-37 1144                                                                                               |Star                                  |03 04 37.8724854792 -36 57 48.717483372|240.6657761688377 -60.2910574734139|   12.917 9.906   |9.58     |G2              |    ~     ~    |    1|  179.746   pc  |  -0.4071     +0.4071    |paral   |2020yCat.1350....0G
1476|HD 19385                                                                                                 |Star                                  |03 05 46.1447429184 -36 55 36.396193584|240.5175149187625 -60.0728741659055|   7.113 -6.181   |8.51     |K2III           |    ~     ~    |    1|  621.581   pc  |  -8.4227     +8.4227    |paral   |2020yCat.1350....0G
1477|CD-37 1156                                                                                               |Star                                  |03 06 26.1215843880 -36 46 35.224584096|240.1781434975130 -59.9651550494430|   19.317 9.779   |10.14    |F5              |    ~     ~    |    1|  301.750   pc  |  -1.2110     +1.2110    |paral   |2020yCat.1350....0G
1478|CD-37 1160                                                                                               |Star                                  |03 06 38.9419979568 -36 59 41.212936212|240.5948534528079 -59.8884111282045|  3.034 -46.890   |9.78     |F8              |    ~     ~    |    1|  217.742   pc  |  -0.6021     +0.6021    |paral   |2020yCat.1350....0G
1479|CD-37 1171                                                                                               |High Proper Motion Star               |03 08 09.6985099656 -36 34 29.867152476|239.6790819728207 -59.6530324308929|  4.165 -61.359   |10.00    |G0              |    ~     ~    |    1|  124.653   pc  |  -0.7787     +0.7787    |ST-L    |2020AJ....160...83S
1480|CD-38 1004                                                                                               |High Proper Motion Star               |03 02 26.2539186552 -37 32 31.568805636|241.9792676675521 -60.6162866802657|  41.722 39.553   |9.910    |K1              |    ~     ~    |    1|  492.290   pc  | -11.9300    +11.9300    |ST-L    |2020AJ....160...83S
1481|CD-35 1041                                                                                               |Star                                  |03 00 34.2807323856 -35 21 36.466158348|237.6666068163977 -61.3420580437697|   20.275 4.743   |10.08    |~               |    ~     ~    |    1|  737.844   pc  |  -7.1318     +7.1318    |paral   |2020yCat.1350....0G
1482|CD-37 1123                                                                                               |Rotating Variable                     |03 00 46.8644321640 -37 08 01.755110040|241.2852217667537 -61.0170112165039|  -3.699 15.600   |10.46    |G9V             |    ~     ~    |    1|   97.860   pc  |  -0.1379     +0.1379    |paral   |2020yCat.1350....0G
1483|CD-37 1129                                                                                               |Star                                  |03 01 32.0179613232 -37 16 56.846955252|241.5278934364411 -60.8419602110678| 21.563 -25.559   |10.748   |~               |    ~     ~    |    1|  272.243   pc  |  -3.4530     +3.4530    |ST-L    |2020AJ....160...83S
1484|CD-37 1130                                                                                               |Star                                  |03 02 02.7284175600 -36 32 36.973255740|239.9974111066041 -60.8714236502535|   3.759 -4.015   |10.827   |~               |    ~     ~    |    1|  472.534   pc  | -11.6600    +11.6600    |ST-L    |2020AJ....160...83S
1485|CD-37 1133                                                                                               |High Proper Motion Star               |03 02 17.5428286368 -37 15 29.315186172|241.4213145351774 -60.6981942259984| 89.368 -66.276   |10.585   |~               |    ~     ~    |    1|  136.227   pc  |  -0.9178     +0.9178    |ST-L    |2020AJ....160...83S
1486|CD-37 1140                                                                                               |Star                                  |03 03 45.4205004240 -36 59 24.922931856|240.7788754416199 -60.4586039838303|-11.378 -31.030   |10.36    |~               |    ~     ~    |    1|  678.196   pc  |  -5.5194     +5.5194    |paral   |2020yCat.1350....0G
1487|CD-37 1149                                                                                               |High Proper Motion Star               |03 05 15.8189431152 -36 40 41.085594048|240.0567569104548 -60.2124084584378|  60.049 23.026   |10.09    |~               |    ~     ~    |    1|  194.585   pc  |  -1.8020     +1.8020    |ST-L    |2020AJ....160...83S
1488|CD-37 1154                                                                                               |Star                                  |03 06 16.8109203864 -37 02 04.700594184|240.6971756261602 -59.9545938484673|   -7.674 6.401   |10.96    |~               |    ~     ~    |    1|  291.273   pc  |  -3.5294     +3.5294    |paral   |2020yCat.1350....0G
1489|CD-36 1141                                                                                               |Star                                  |03 02 40.0551653424 -36 11 23.991951624|239.2403212665642 -60.8034544199422|   10.133 9.590   |10.277   |~               |    ~     ~    |    1|  898.941   pc  | -42.0900    +42.0900    |ST-L    |2020AJ....160...83S
1490|CD-37 1182                                                                                               |Star                                  |03 10 39.1598700216 -36 35 35.177946684|239.5772355863488 -59.1553338735430|    8.373 5.897   |10.36    |~               |    ~     ~    |    1| 1917.913   pc  | -50.3940    +50.3940    |paral   |2020yCat.1350....0G
1491|TYC 7025-718-1                                                                                           |Star                                  |03 02 36.7968335280 -37 00 34.311311676|240.8982350145277 -60.6801396915027|  18.809 13.254   |10.810   |~               |    ~     ~    |    1|  381.418   pc  |  -7.5560     +7.5560    |ST-L    |2020AJ....160...83S
1492|HD 19337                                                                                                 |Double or Multiple Star               |03 05 18.2711112384 -40 59 03.243132960|248.3970350569613 -59.2620375070083|  28.364 11.329   |7.60     |F5V             |0.0017  0.0    |    1|   77.116   pc  |  -0.7975     +0.7975    |paral   |2020yCat.1350....0G
1493|CD-42 1038                                                                                               |Star                                  |03 10 36.7870069958 -41 56 10.905668777|249.6171598348551 -58.0402054605492|  43.714 13.051   |9.22     |~               |    ~     ~    |    0|                |                         |        |                   
1494|CD-41 903                                                                                                |Star                                  |03 08 00.2769108888 -41 20 34.417671252|248.7909086437209 -58.6741128059612|   17.870 8.035   |10.865   |~               |    ~     ~    |    1|  380.297   pc  |  -7.3220     +7.3220    |ST-L    |2020AJ....160...83S
1495|CD-41 882                                                                                                |Star                                  |03 03 53.3141251776 -41 05 14.707152456|248.7399397880749 -59.4888195987134|   -2.988 1.388   |10.78    |~               |    ~     ~    |    1|  697.350   pc  |  -6.6136     +6.6136    |paral   |2020yCat.1350....0G
1496|CD-42 1028                                                                                               |Star                                  |03 09 25.8934731048 -41 38 22.135455024|249.1938262652043 -58.3349070986370|  2.370 -13.344   |10.826   |~               |    ~     ~    |    1|  908.741   pc  | -40.1500    +40.1500    |ST-L    |2020AJ....160...83S
1497|HD 20035                                                                                                 |Spectroscopic Binary                  |03 11 57.7055570088 -39 21 57.119733072|244.7637901453446 -58.4232128104884| 80.065 -16.553   |6.99     |K0III           |    ~     ~    |    1|   81.799   pc  |  -2.2428     +2.2428    |paral   |2020yCat.1350....0G
1498|CD-40 831                                                                                                |High Proper Motion Star               |03 13 26.2881437376 -39 44 01.006546236|245.3330298119807 -58.0675627745688| -0.902 -58.769   |9.862    |G0              |    ~     ~    |    1|  168.650   pc  |  -1.3930     +1.3930    |ST-L    |2020AJ....160...83S
1499|CD-40 808                                                                                                |Star                                  |03 07 16.0581661632 -40 07 26.030632152|246.5845241253958 -59.1289615433320|  -2.155 -1.871   |9.80     |K7              |    ~     ~    |    1|  445.236   pc  |  -2.2202     +2.2202    |paral   |2020yCat.1350....0G
1500|HD 19777                                                                                                 |Star                                  |03 09 34.8213599664 -40 26 11.898104028|246.9598552090466 -58.6242546098141|  19.551 -4.821   |9.566    |G8III/IV        |    ~     ~    |    1|  538.652   pc  | -14.7600    +14.7600    |ST-L    |2020AJ....160...83S
1501|CD-40 821                                                                                                |Star                                  |03 10 10.3936700856 -40 20 33.779217084|246.7322403321097 -58.5377274472262|   9.029 11.821   |9.65     |K7              |    ~     ~    |    1|  997.506   pc  | -10.5472    +10.5472    |paral   |2020yCat.1350....0G
1502|CD-40 824                                                                                                |High Proper Motion Star               |03 11 58.4187163224 -39 52 43.875289452|245.7180037599349 -58.3105105037108| 70.233 -91.380   |10.45    |~               |    ~     ~    |    1|  454.876   pc  |  -2.5036     +2.5036    |paral   |2020yCat.1350....0G
1503|CD-40 825                                                                                                |Star                                  |03 12 00.3133872072 -39 49 48.402313752|245.6249598652117 -58.3153980852802|   -7.190 1.272   |10.68    |~               |    ~     ~    |    1|  539.025   pc  |  -5.8981     +5.8981    |paral   |2020yCat.1350....0G
1504|HD 20081                                                                                                 |Star                                  |03 12 14.6027657568 -40 24 33.518324376|246.6762398185509 -58.1389600818684|  34.413 26.515   |7.19     |A5IV/V          |    ~     ~    |    1|  220.347   pc  |  -1.0487     +1.0487    |paral   |2020yCat.1350....0G
1505|CD-40 827                                                                                                |High Proper Motion Star               |03 12 19.5373976640 -40 02 27.385188000|245.9896172891905 -58.2085105981028|  35.998 77.752   |10.73    |~               |    ~     ~    |    1|  131.426   pc  |  -0.9064     +0.9064    |ST-L    |2020AJ....160...83S
1506|CD-40 830                                                                                                |Spectroscopic Binary                  |03 13 19.6868205408 -40 16 26.678345520|246.3371982793576 -57.9691681900964|  60.779 55.684   |10.786   |~               |    ~     ~    |    1|  319.698   pc  |  -5.3100     +5.3100    |ST-L    |2020AJ....160...83S
1507|HD 20270                                                                                                 |Star                                  |03 14 11.1354891000 -40 15 20.238007788|246.2339568894214 -57.8139682203966|  11.213 11.888   |7.36     |G8/K0III        |    ~     ~    |    1|  334.638   pc  |  -1.5454     +1.5454    |paral   |2020yCat.1350....0G
1508|CD-41 897                                                                                                |Star                                  |03 05 53.2551550800 -40 53 30.297747948|248.1638084056351 -59.1818160594327|   17.968 6.212   |9.848    |~               |    ~     ~    |    1|  583.127   pc  | -15.2900    +15.2900    |ST-L    |2020AJ....160...83S
1509|HD 19669                                                                                                 |Star                                  |03 08 34.0567415208 -41 20 16.644574680|248.7257410894594 -58.5739119117641|  37.908 18.681   |8.32     |A3/4V           |    ~     ~    |    1|  247.359   pc  |  -1.0157     +1.0157    |paral   |2020yCat.1350....0G
1510|CD-41 905                                                                                                |Double or Multiple Star               |03 08 41.0980991496 -41 21 50.798164968|248.7623354104382 -58.5455441434463|-17.253 -52.037   |9.33     |~               |    ~     ~    |    1|  273.478   pc  | -36.7400    +36.7400    |ST-L    |2020AJ....160...83S
1511|CD-41 907                                                                                                |Star                                  |03 09 24.8638780560 -40 46 28.709854896|247.6028897103517 -58.5696954036337| -12.458 -8.854   |9.667    |~               |    ~     ~    |    1|  603.167   pc  | -19.8600    +19.8600    |ST-L    |2020AJ....160...83S
1512|CD-41 918                                                                                                |Star                                  |03 12 24.5856 -40 43 30.994            |247.2422831 -58.0327054            |    2.335 0.766   |9.91     |~               |    ~     ~    |    1|  284.903   pc  |  -3.0670     +3.0670    |ST-L    |2020AJ....160...83S
1513|HD 20200                                                                                                 |Star                                  |03 13 15.7709701872 -41 22 47.347311432|248.3585192959842 -57.7134349133976|   5.656 -2.350   |7.11     |K4III           |    ~     ~    |    1|  404.309   pc  |  -7.9660     +7.9660    |ST-L    |2020AJ....160...83S
1514|CD-41 905B                                                                                               |High Proper Motion Star               |03 08 41.153756 -41 21 51.38559        |248.762544276 -58.545331918        |    -18.8 -51.1   |10.06    |~               |    ~     ~    |    0|                |                         |        |                   
1515|CD-41 898                                                                                                |Star                                  |03 06 05.9513262528 -40 40 03.822767544|247.7215566336334 -59.2039129160776|   -1.829 6.779   |10.94    |~               |    ~     ~    |    1|  496.870   pc  |  -3.8760     +3.8760    |paral   |2020yCat.1350....0G
1516|CD-41 908                                                                                                |Star                                  |03 09 30.8962305168 -40 34 07.966967484|247.2117358900954 -58.6034180522402|   37.296 4.201   |10.736   |~               |    ~     ~    |    1|  213.738   pc  |  -2.2610     +2.2610    |ST-L    |2020AJ....160...83S
1517|CD-40 820                                                                                                |Star                                  |03 10 05.5360525152 -40 10 03.468752400|246.4133923694635 -58.5946810102952|  32.623 10.729   |10.732   |~               |    ~     ~    |    1|  846.946   pc  | -34.8200    +34.8200    |ST-L    |2020AJ....160...83S
1518|CD-41 912                                                                                                |Star                                  |03 11 05.5836207024 -40 36 39.110739120|247.1475062332627 -58.3027617627460|   3.915 11.829   |10.76    |~               |    ~     ~    |    1|  317.612   pc  | -24.4223    +24.4223    |paral   |2020yCat.1350....0G
1519|CD-41 915                                                                                                |Star                                  |03 11 23.6092937520 -40 40 06.026087172|247.2268482480189 -58.2334049625401|   21.829 6.740   |10.89    |~               |    ~     ~    |    1|  346.825   pc  |  -1.5998     +1.5998    |paral   |2020yCat.1350....0G
