C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
50   |HD 292986                                                                                                                                                                      |Star                                  |07 01 55.5929441520 -01 23 46.729530348|215.3711996060044 +01.6957973998165|  -0.830 -3.220   |10.50    |A0               |    ~     ~    
51   |HD 52744                                                                                                                                                                       |Star                                  |07 02 22.2120829584 -02 00 41.966621712|215.9693861512590 +01.5130621148021|-21.215 -19.457   |8.32     |K1III            |    ~     ~    
52   |HD 293126                                                                                                                                                                      |Star                                  |07 02 29.5482276648 -01 38 58.688249784|215.6612839213047 +01.7057825074753|  -0.163 -1.396   |9.07     |K5               |    ~     ~    
53   |HD 52869                                                                                                                                                                       |Star                                  |07 02 45.9848116632 -01 49 14.403177228|215.8447695820280 +01.6884487948919|  -0.701 -0.285   |9.48     |B9V              |    ~     ~    
54   |HD 293125                                                                                                                                                                      |Star                                  |07 02 53.2524162504 -01 35 04.244014896|215.6485047644520 +01.8233628858911|   -1.533 1.064   |10.41    |B5               |    ~     ~    
55   |HD 52916                                                                                                                                                                       |Star                                  |07 02 57.6045656208 -02 01 51.108425580|216.0539088470964 +01.6353328726575|  -8.769 -4.868   |8.40     |A3V              |    ~     ~    
56   |HD 293144                                                                                                                                                                      |Star                                  |07 03 10.6137722424 -02 04 22.464739452|216.1161028624928 +01.6642669047084|   -2.717 0.978   |10.21    |F0               |    ~     ~    
57   |HD 53005                                                                                                                                                                       |Star                                  |07 03 18.9823630344 -02 03 29.695528944|216.1190138125111 +01.7019586882229| -3.034 -16.193   |8.76     |F2IV             |    ~     ~    
58   |HD 53084                                                                                                                                                                       |Star                                  |07 03 39.5580883752 -01 53 11.791741596|216.0055420084797 +01.8566782282872|   -2.652 1.363   |9.82     |B9V              |    ~     ~    
59   |HD 293133                                                                                                                                                                      |Star                                  |07 04 29.8234116552 -01 44 28.326199164|215.9720180127916 +02.1093467267049|  -2.002 -2.208   |9.62     |G                |    ~     ~    
60   |HD 53316                                                                                                                                                                       |Star                                  |07 04 30.7233712032 -01 47 21.103862820|216.0164362544327 +02.0907155312864|   -1.107 0.821   |9.58     |B9/A0V           |    ~     ~    
61   |HD 53317                                                                                                                                                                       |Eclipsing Binary                      |07 04 30.9768408192 -01 54 22.056838632|216.1209528832303 +02.0381368960603|  -6.476 -8.707   |9.07     |B9IV/V           |    ~     ~    
62   |HD 53361                                                                                                                                                                       |Star                                  |07 04 45.6606842400 -01 40 20.099307216|215.9408728568844 +02.1995484654533| -10.959 -4.679   |8.75     |B9V              |    ~     ~    
63   |HD 53392                                                                                                                                                                       |Star                                  |07 04 46.0021501848 -01 49 10.301656044|216.0725660035271 +02.1334072519167|   3.725 -4.999   |8.49     |B9/A0IV          |    ~     ~    
64   |HD 53425                                                                                                                                                                       |Double or Multiple Star               |07 04 58.588 -01 47 04.17              |216.065402 +02.196046              |      9.0 -15.0   |9.0      |A0V              |    ~     ~    
65   |HD 53542                                                                                                                                                                       |Star                                  |07 05 19.7578781808 -01 33 36.494202384|215.9061568001742 +02.3771272527315|   -6.024 0.205   |9.46     |B9/A0V           |    ~     ~    
66   |HD 53647                                                                                                                                                                       |Star                                  |07 05 43.9574284992 -01 30 41.554373292|215.9090876245329 +02.4889866298519|  -0.233 -1.289   |9.17     |B9II/III         |    ~     ~    
67   |HD 53688                                                                                                                                                                       |Star                                  |07 05 54.8141344416 -01 27 02.584591776|215.8756744793842 +02.5570333179358|  -2.300 -1.149   |9.91     |A0V              |    ~     ~    
68   |HD 53720                                                                                                                                                                       |Star                                  |07 06 02.2718765784 -01 18 13.112674956|215.7590044612602 +02.6519672969013|  -1.860 -1.921   |9.01     |B9IV             |    ~     ~    
69   |HD 53753                                                                                                                                                                       |Star                                  |07 06 10.9479392136 -01 52 26.093190396|216.2830564315091 +02.4230031021036|  -10.691 1.545   |8.91     |A9/F0V           |    ~     ~    
70   |HD 293275                                                                                                                                                                      |Star                                  |07 06 28.6234738632 -01 39 18.614505024|216.1221614030216 +02.5886236053599|  -7.655 11.985   |9.21     |K0               |    ~     ~    
71   |BD-01 1553                                                                                                                                                                     |Star                                  |07 06 42.7659526248 -01 43 25.980250980|216.2103110093597 +02.6095145926440|   -0.555 0.681   |10.18    |~                |    ~     ~    
72   |HD 53945                                                                                                                                                                       |Star                                  |07 06 55.7231239320 -01 33 06.677369208|216.0819628876157 +02.7362772319338|  -9.461 -9.854   |9.02     |F5V              |    ~     ~    
73   |HD 293248                                                                                                                                                                      |Star                                  |07 07 19.5901074672 -01 23 33.766401552|215.9858993377683 +02.8975322136536|   -2.547 0.513   |10.08    |B9               |    ~     ~    
74   |HD 54054                                                                                                                                                                       |Star                                  |07 07 23.1409454688 -01 32 12.649583760|216.1209719702079 +02.8446683712203| -6.646 -14.797   |8.71     |K0III            |    ~     ~    
75   |HD 293291                                                                                                                                                                      |Star                                  |07 07 21.8608352880 -01 51 49.692632688|216.4094889799409 +02.6901337626455|  -0.792 -3.715   |10.73    |A2               |    ~     ~    
76   |HD 54080                                                                                                                                                                       |Star                                  |07 07 25.3386176208 -01 49 31.876667868|216.3820692822939 +02.7205496707554|   3.286 -0.564   |8.62     |A0IV/V           |    ~     ~    
