C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
4951 |HD 56040                                                                                                                                                                       |Star                                  |07 14 51.6783255168 -16 08 58.253899776|229.9373069314532 -02.2701228140148|   -0.395 0.540   |9.05     |G6III            |    ~     ~    
4952 |BD-15 1711                                                                                                                                                                     |Star                                  |07 14 09.6560160816 -16 04 29.478144864|229.7930927515331 -02.3846089325218|  -0.337 -2.684   |10.39    |~                |    ~     ~    
4953 |IRAS 07092-1753                                                                                                                                                                |Star                                  |07 11 29.1894231288 -17 58 16.689205596|231.1834894287708 -03.8260540846919|   -0.632 1.102   |10.46    |M2/3             |    ~     ~    
4954 |TYC 5965-1637-1                                                                                                                                                                |Star                                  |07 14 18.1144798320 -16 05 55.820500296|229.8300620202916 -02.3656988111726|   6.239 14.899   |9.72     |~                |    ~     ~    
4955 |BD-16 1846                                                                                                                                                                     |Star                                  |07 14 54.6431843760 -16 45 42.602636736|230.4858683411660 -02.5434114046701| -16.253 17.743   |10.08    |~                |    ~     ~    
4956 |TYC 5964-108-1                                                                                                                                                                 |Star                                  |07 11 17.9429500752 -16 22 20.589309408|229.7400037823283 -03.1313702841217|  -0.667 -0.103   |10.88    |~                |    ~     ~    
4957 |TYC 5964-120-1                                                                                                                                                                 |Star                                  |07 09 14.512752 -16 47 45.18528        |229.890507334 -03.763612157        |      -3.2 -1.1   |10.557   |~                |    ~     ~    
4958 |TYC 5964-136-1                                                                                                                                                                 |Star                                  |07 10 49.4979530280 -16 09 42.680756304|229.5003761391172 -03.1356210123102|    5.900 0.012   |10.81    |~                |    ~     ~    
4959 |TYC 5964-144-1                                                                                                                                                                 |Star                                  |07 10 03.9652455240 -16 35 02.649498504|229.7924085801244 -03.4911484256277| -7.457 -10.397   |10.47    |~                |    ~     ~    
4960 |TYC 5964-180-1                                                                                                                                                                 |Star                                  |07 09 35.4115947384 -16 30 06.982880148|229.6669071276392 -03.5548764318460| -12.896 -1.836   |10.63    |~                |    ~     ~    
4961 |TYC 5964-202-1                                                                                                                                                                 |Star                                  |07 10 06.4714784472 -16 11 08.082383208|229.4422887505426 -03.2994676182702|   3.151 -2.526   |10.53    |~                |    ~     ~    
4962 |TYC 5964-214-1                                                                                                                                                                 |Star                                  |07 11 18.4793707680 -16 37 46.164165780|229.9696591798963 -03.2476837119420|  -8.743 36.379   |10.11    |~                |    ~     ~    
4963 |TYC 5964-232-1                                                                                                                                                                 |Star                                  |07 10 31.9275087912 -16 50 48.165092340|230.0775099887015 -03.5124411859931|   -3.936 2.430   |10.97    |~                |    ~     ~    
4964 |TYC 5964-258-1                                                                                                                                                                 |Star                                  |07 10 21.8545585944 -16 10 45.822006192|229.4650859165031 -03.2419399569348|  -4.323 -1.703   |10.65    |~                |    ~     ~    
4965 |TYC 5964-304-1                                                                                                                                                                 |Star                                  |07 11 07.5762466224 -16 42 49.972024296|230.0246995467891 -03.3251198730997|   -2.874 3.789   |10.59    |~                |    ~     ~    
4966 |TYC 5964-342-1                                                                                                                                                                 |Star                                  |07 09 17.0369130816 -16 28 14.173578048|229.6053104292990 -03.6057894486667| -19.719 38.155   |10.44    |~                |    ~     ~    
4967 |TYC 5964-372-1                                                                                                                                                                 |Star                                  |07 09 53.9425756032 -16 08 15.571203864|229.3765965855478 -03.3220358588390|   -0.743 8.086   |10.74    |~                |    ~     ~    
4968 |TYC 5964-520-1                                                                                                                                                                 |Star                                  |07 11 17.4404731560 -16 36 24.534495756|229.9475800252870 -03.2409435979224|  -2.640 -2.118   |10.76    |~                |    ~     ~    
4969 |TYC 5964-578-1                                                                                                                                                                 |Star                                  |07 09 45.5190879456 -16 20 51.240218748|229.5479843565057 -03.4482322764226|  2.016 -37.097   |10.71    |~                |    ~     ~    
4970 |TYC 5964-1628-1                                                                                                                                                                |Star                                  |07 08 49.9234283784 -16 21 42.226541136|229.4586193305314 -03.6523191907601|   -3.268 6.822   |10.86    |~                |    ~     ~    
4971 |TYC 5964-1650-1                                                                                                                                                                |Star                                  |07 08 26.8771116768 -16 20 07.945225692|229.3930575215870 -03.7222888843742| -11.134 10.306   |10.08    |~                |    ~     ~    
4972 |TYC 5964-1898-1                                                                                                                                                                |Star                                  |07 08 05.7785526192 -16 24 31.316066928|229.4196538858497 -03.8307422098996|  -4.225 -2.444   |10.28    |~                |    ~     ~    
4973 |IRAS 07055-1618                                                                                                                                                                |Star                                  |07 07 50.7390747024 -16 22 56.734391424|229.3687166236438 -03.8722310587826|   -2.128 1.898   |10.51    |M3               |    ~     ~    
4974 |TYC 5964-2314-1                                                                                                                                                                |Spectroscopic Binary                  |07 07 33.7368628368 -16 41 48.322073976|229.6180549037221 -04.0760553388725|-23.652 -95.088   |10.69    |~                |    ~     ~    
4975 |TYC 5964-2617-1                                                                                                                                                                |Star                                  |07 08 20.4567441240 -16 27 59.404522140|229.4980422301554 -03.8049632571845|   -3.569 2.689   |10.95    |~                |    ~     ~    
4976 |TYC 5964-3036-1                                                                                                                                                                |Star                                  |07 08 20.8885107168 -16 47 08.024391564|229.7833204312402 -03.9491555280793|   -1.341 1.344   |10.76    |~                |    ~     ~    
4977 |TYC 5964-3146-1                                                                                                                                                                |Star                                  |07 07 44.1518091432 -16 51 08.488545192|229.7758902067552 -04.1100137452487|   -0.774 2.639   |10.78    |~                |    ~     ~    
4978 |TYC 5965-104-1                                                                                                                                                                 |Star                                  |07 14 12.9639102072 -16 35 57.981437052|230.2646816657578 -02.6156737710978|   -1.607 2.687   |10.95    |~                |    ~     ~    
4979 |TYC 5965-167-1                                                                                                                                                                 |Star                                  |07 14 40.0742869584 -16 43 38.020014660|230.4282153571198 -02.5789000332366|-16.955 -16.702   |10.97    |~                |    ~     ~    
4980 |TYC 5965-497-1                                                                                                                                                                 |Spectroscopic Binary                  |07 14 24.3063649656 -16 48 56.368215396|230.4775323172028 -02.6755947366414|   -0.487 0.598   |10.94    |~                |    ~     ~    
4981 |TYC 5965-600-1                                                                                                                                                                 |Star                                  |07 14 14.1513442368 -16 41 00.947314752|230.3415638211882 -02.6504086594117|  -7.915 -6.497   |10.75    |~                |    ~     ~    
4982 |TYC 5965-646-1                                                                                                                                                                 |Star                                  |07 12 36.8721780816 -16 35 38.428091736|230.0824272504725 -02.9534879025578|   -2.114 0.765   |9.78     |~                |    ~     ~    
4983 |TYC 5965-1886-1                                                                                                                                                                |Star                                  |07 13 18.4502201208 -16 16 19.355273580|229.8732399444203 -02.6574852040047| 10.723 -13.058   |9.55     |~                |    ~     ~    
4984 |TYC 5965-2437-1                                                                                                                                                                |Star                                  |07 14 52.4729642616 -16 01 49.948237776|229.8332893242655 -02.2121420548572|   -6.338 4.875   |10.58    |~                |    ~     ~    
4985 |TYC 5968-14-1                                                                                                                                                                  |Star                                  |07 11 29.9081184216 -17 04 46.853271084|230.3911395003246 -03.4141273683679| 17.225 -17.759   |10.86    |~                |    ~     ~    
4986 |TYC 5968-19-1                                                                                                                                                                  |Star                                  |07 09 54.5497880616 -17 39 13.975304544|230.7282958266636 -04.0143868045983|  -7.705 -2.299   |10.69    |~                |    ~     ~    
4987 |TYC 5968-22-1                                                                                                                                                                  |Star                                  |07 11 41.8142568432 -16 59 18.471645096|230.3318320732674 -03.3300725464633|   -2.800 3.742   |10.84    |~                |    ~     ~    
4988 |TYC 5968-25-1                                                                                                                                                                  |Star                                  |07 10 45.0534874944 -17 20 07.605048444|230.5366915354410 -03.6901415767726|   -1.103 4.481   |10.18    |~                |    ~     ~    
4989 |TYC 5968-30-1                                                                                                                                                                  |Star                                  |07 09 32.4699126504 -17 00 52.886204028|230.1183180601779 -03.8000662424361|   -2.140 1.950   |10.37    |~                |    ~     ~    
4990 |TYC 5968-71-1                                                                                                                                                                  |Star                                  |07 11 59.5496294160 -17 43 30.767191140|231.0198130219891 -03.6060955055743|  -4.556 -3.018   |10.38    |~                |    ~     ~    
4991 |TYC 5968-100-1                                                                                                                                                                 |Star                                  |07 11 06.5247285336 -17 11 10.364623080|230.4431016284770 -03.5457619741785|  -5.591 -9.683   |10.36    |~                |    ~     ~    
4992 |TYC 5968-127-1                                                                                                                                                                 |Star                                  |07 10 43.4678414328 -17 19 49.268142912|230.5292576681655 -03.6934107625150|  -3.651 -1.719   |10.76    |~                |    ~     ~    
4993 |TYC 5968-135-1                                                                                                                                                                 |Star                                  |07 09 59.9572 -17 38 35.329            |230.7285712 -03.9903837            |  -8.299 -2.414   |10.79    |~                |    ~     ~    
4994 |TYC 5968-136-1                                                                                                                                                                 |Star                                  |07 09 55.1458908360 -17 14 06.955851372|230.3562870109407 -03.8207351779183|   -3.226 3.092   |10.15    |~                |    ~     ~    
4995 |TYC 5968-138-1                                                                                                                                                                 |Star                                  |07 10 20.9719386024 -17 14 56.983820856|230.4158382687173 -03.7357388405483|  -0.949 13.296   |9.61     |~                |    ~     ~    
4996 |TYC 5968-169-1                                                                                                                                                                 |Star                                  |07 10 22.8913884613 -17 48 16.118662460|230.9141207232074 -03.9832727954717|   -0.286 0.472   |10.61    |~                |    ~     ~    
4997 |TYC 5968-202-1                                                                                                                                                                 |Star                                  |07 09 42.3002820744 -17 00 37.929770568|230.1325808482154 -03.7633400938119|   -3.423 6.788   |10.15    |~                |    ~     ~    
4998 |TYC 5968-219-1                                                                                                                                                                 |Star                                  |07 10 10.5043714296 -18 01 25.138416900|231.0869753770832 -04.1272136336990|   8.775 -3.007   |9.96     |~                |    ~     ~    
4999 |TYC 5968-234-1                                                                                                                                                                 |Star                                  |07 10 09.0532966944 -16 58 01.856994564|230.1428889442224 -03.6487161076573|   -2.564 1.651   |10.76    |~                |    ~     ~    
5000 |TYC 5968-240-1                                                                                                                                                                 |Star                                  |07 11 52.5205839768 -17 14 31.492285908|230.5770758408239 -03.4088280992516|   -6.832 4.123   |10.70    |~                |    ~     ~    
5001 |TYC 5968-254-1                                                                                                                                                                 |Star                                  |07 09 17.9612148432 -17 11 38.528114712|230.2516819435595 -03.9334754263963|  -0.161 -9.526   |10.19    |~                |    ~     ~    
5002 |TYC 5968-257-1                                                                                                                                                                 |Star                                  |07 11 56.3819975784 -17 30 18.387142812|230.8181587626210 -03.5161112843609|   -0.474 5.159   |10.65    |~                |    ~     ~    
5003 |TYC 5968-291-1                                                                                                                                                                 |Star                                  |07 11 37.8507308784 -17 40 24.178848204|230.9340377258049 -03.6587954723083|   -0.028 1.224   |10.47    |~                |    ~     ~    
5004 |TYC 5968-299-1                                                                                                                                                                 |Star                                  |07 11 47.5158430272 -17 38 14.580675528|230.9196551326913 -03.6081740062576|   -2.184 2.022   |10.75    |~                |    ~     ~    
5005 |TYC 5968-309-1                                                                                                                                                                 |Spectroscopic Binary                  |07 09 23.4581679336 -17 48 31.021310088|230.8097430538819 -04.1948567454398| -10.941 36.142   |10.53    |~                |    ~     ~    
5006 |TYC 5968-313-1                                                                                                                                                                 |Star                                  |07 09 24.1832887104 -17 52 58.948067280|230.8774510565787 -04.2262821764151|   -7.708 4.191   |10.94    |~                |    ~     ~    
5007 |TYC 5968-325-1                                                                                                                                                                 |Star                                  |07 09 22.0426419312 -17 25 56.377471692|230.4715751964666 -04.0279551377427|   -5.328 4.566   |10.76    |~                |    ~     ~    
5008 |TYC 5968-349-1                                                                                                                                                                 |Star                                  |07 10 01.2854130672 -17 27 14.928588468|230.5625382240331 -03.8992112689728|   -5.374 3.014   |10.24    |~                |    ~     ~    
5009 |TYC 5968-357-1                                                                                                                                                                 |Star                                  |07 09 39.2826750360 -18 14 58.155786960|231.2317757863107 -04.3403653725812|       -4.1 8.8   |10.41    |~                |    ~     ~    
5010 |TYC 5968-394-1                                                                                                                                                                 |Star                                  |07 10 38.6610733224 -17 40 42.834653976|230.8306469944031 -03.8699801947040| -17.531 10.620   |10.65    |~                |    ~     ~    
5011 |TYC 5968-470-1                                                                                                                                                                 |Star                                  |07 09 06.6311482128 -17 26 00.732364620|230.4445933644163 -04.0830050656767|   -7.480 3.629   |10.76    |~                |    ~     ~    
5012 |TYC 5968-567-1                                                                                                                                                                 |Star                                  |07 08 52.7180432952 -17 28 37.838644140|230.4582039185962 -04.1521317322604|   -0.116 0.914   |10.64    |~                |    ~     ~    
5013 |TYC 5968-694-1                                                                                                                                                                 |Star                                  |07 08 57.5958063096 -17 39 03.143023128|230.6220332698088 -04.2141671471642|   2.246 -5.944   |10.80    |~                |    ~     ~    
5014 |TYC 5968-903-1                                                                                                                                                                 |Star                                  |07 08 38.2558472712 -18 00 57.730691808|230.9128711955616 -04.4489536878028| -18.180 35.799   |10.90    |~                |    ~     ~    
5015 |TYC 5968-929-1                                                                                                                                                                 |Star                                  |07 07 59.4751194336 -16 56 56.429878416|229.8900566470981 -04.0997162045218|  -17.959 8.281   |10.59    |~                |    ~     ~    
5016 |TYC 5968-1118-1                                                                                                                                                                |Star                                  |07 08 51.1743535896 -17 29 47.092388784|230.4725580583490 -04.1663706296131| -12.749 19.820   |10.51    |~                |    ~     ~    
5017 |TYC 5968-1218-1                                                                                                                                                                |Star                                  |07 07 58.8649854720 -16 58 36.537006180|229.9137560142711 -04.1145618418296|  -0.441 -4.115   |10.56    |~                |    ~     ~    
5018 |TYC 5968-1285-1                                                                                                                                                                |Star                                  |07 09 05.4902555760 -16 57 27.704324736|230.0182367057198 -03.8696047014756|   -3.430 4.017   |10.32    |~                |    ~     ~    
5019 |TYC 5968-1490-1                                                                                                                                                                |Pulsating Variable                    |07 08 26.4118338288 -17 06 00.425721240|230.0739525850794 -04.0731570510154|   -1.292 3.175   |10.77    |~                |    ~     ~    
5020 |TYC 5968-1715-1                                                                                                                                                                |Star                                  |07 10 50.8503422112 -18 22 33.422883420|231.4743166130290 -04.1463741537941|   -3.418 0.496   |10.61    |~                |    ~     ~    
5021 |TYC 5968-1951-1                                                                                                                                                                |Star                                  |07 08 36.2823738336 -18 23 03.905710548|231.2382952573152 -04.6236763062217|  -1.634 -0.337   |10.89    |~                |    ~     ~    
5022 |TYC 5968-2237-1                                                                                                                                                                |Star                                  |07 11 43.4130750600 -18 22 38.365535316|231.5710012939875 -03.9622564534781|    4.229 6.844   |10.98    |~                |    ~     ~    
5023 |TYC 5968-2659-1                                                                                                                                                                |Star                                  |07 10 02.5115585088 -18 32 39.399366624|231.5368654496696 -04.3932394645013|  -1.862 -0.487   |9.97     |~                |    ~     ~    
5024 |TYC 5968-2834-1                                                                                                                                                                |Pulsating Variable                    |07 10 09.4611450120 -18 36 03.544247700|231.6000346303372 -04.3947141075451|   -3.521 0.446   |10.60    |~                |    ~     ~    
5025 |TYC 5968-2874-1                                                                                                                                                                |Star                                  |07 08 13.3179632640 -18 07 30.566228808|230.9652040106428 -04.5865896449609|   -0.288 0.006   |10.84    |~                |    ~     ~    
5026 |TYC 5968-2972-1                                                                                                                                                                |Star                                  |07 10 32.3679957120 -18 18 58.045442508|231.3874461109483 -04.1839982137402|   -2.741 3.610   |10.35    |~                |    ~     ~    
5027 |TYC 5968-3036-1                                                                                                                                                                |Star                                  |07 10 45.1541636568 -18 38 35.472239988|231.7022699541877 -04.2886412353962|   -0.197 0.994   |10.56    |~                |    ~     ~    
5028 |TYC 5968-3531-1                                                                                                                                                                |Star                                  |07 10 38.9217892224 -18 42 32.660736336|231.7497537217726 -04.3406429618231|   -3.617 0.365   |10.83    |~                |    ~     ~    
5029 |TYC 5968-3615-1                                                                                                                                                                |Star                                  |07 08 36.5554128912 -17 40 53.978380608|230.6112964085315 -04.3025478193692|   -3.626 1.142   |9.87     |~                |    ~     ~    
5030 |TYC 5968-3712-1                                                                                                                                                                |Star                                  |07 11 49.1633953680 -18 24 52.693423632|231.6146904600714 -03.9591679173290|   -3.813 1.215   |10.67    |~                |    ~     ~    
5031 |TYC 5968-3737-1                                                                                                                                                                |Star                                  |07 10 52.8119604624 -18 21 47.307299148|231.4664569195886 -04.1336144449629|    9.129 2.121   |10.76    |~                |    ~     ~    
5032 |TYC 5969-196-1                                                                                                                                                                 |Spectroscopic Binary                  |07 12 48.1274750160 -17 45 49.221090468|231.1428619235308 -03.4526063585772|    0.938 0.048   |10.85    |~                |    ~     ~    
5033 |GSC 05969-00249                                                                                                                                                                |Double or Multiple Star               |07 12 34.2815532840 -17 18 41.404603608|230.7153999863362 -03.2932519988819|  -3.764 -0.569   |10.379   |~                |    ~     ~    
5034 |TYC 5969-253-1                                                                                                                                                                 |Star                                  |07 13 10.3906933008 -16 53 27.605906160|230.4080640710780 -02.9718084326460|   -2.653 2.274   |10.42    |~                |    ~     ~    
5035 |TYC 5969-441-1                                                                                                                                                                 |Star                                  |07 13 08.8070101344 -17 19 57.020413404|230.7974510891743 -03.1810456487682|  -5.208 -2.988   |10.44    |~                |    ~     ~    
5036 |TYC 5969-492-1                                                                                                                                                                 |Star                                  |07 14 53.1866401056 -18 08 46.217604480|231.7118654681523 -03.1892671097136| 12.080 -11.955   |10.42    |~                |    ~     ~    
5037 |TYC 5969-585-1                                                                                                                                                                 |Star                                  |07 13 56.9894860704 -17 23 09.227502636|230.9334427583808 -03.0356907954102|   -2.920 0.826   |10.75    |~                |    ~     ~    
5038 |TYC 5969-593-1                                                                                                                                                                 |Star                                  |07 14 53.4070419024 -17 23 25.686691008|231.0413645619558 -02.8388947791475|    1.362 0.574   |10.54    |~                |    ~     ~    
5039 |TYC 5969-595-1                                                                                                                                                                 |Star                                  |07 12 03.4562347368 -17 09 23.423258304|230.5210119718598 -03.3308191804133|   -2.778 3.462   |10.99    |~                |    ~     ~    
5040 |TYC 5969-723-1                                                                                                                                                                 |Star                                  |07 12 00.4381362240 -17 20 22.060076964|230.6782139265027 -03.4256348544946|  -6.023 16.712   |10.59    |~                |    ~     ~    
5041 |TYC 5969-772-1                                                                                                                                                                 |Star                                  |07 13 13.9301037768 -17 38 57.850125648|231.0885196045589 -03.3090648840069|  -11.100 5.337   |10.82    |~                |    ~     ~    
5042 |TYC 5969-789-1                                                                                                                                                                 |Star                                  |07 12 09.1093542264 -17 16 10.077079836|230.6318473762583 -03.3628104562876|   8.554 -9.029   |10.94    |~                |    ~     ~    
5043 |TYC 5969-826-1                                                                                                                                                                 |Star                                  |07 12 13.2529700568 -17 48 13.337405172|231.1147015177953 -03.5938791140365|   -2.334 3.717   |10.93    |~                |    ~     ~    
5044 |TYC 5969-856-1                                                                                                                                                                 |Eclipsing Binary                      |07 13 57.4364808936 -18 01 46.054857936|231.5060293554629 -03.3312125248661|   -3.721 0.652   |10.98    |~                |    ~     ~    
5045 |TYC 5969-994-1                                                                                                                                                                 |Star                                  |07 12 05.0203077936 -18 02 41.561581236|231.3143151671012 -03.7336894991461| -11.582 -1.950   |10.70    |~                |    ~     ~    
5046 |TYC 5969-1068-1                                                                                                                                                                |Spectroscopic Binary                  |07 12 28.4568081024 -17 48 32.111066412|231.1471296066214 -03.5427172023713|   -0.621 0.110   |10.75    |~                |    ~     ~    
5047 |TYC 5969-1074-1                                                                                                                                                                |Star                                  |07 14 13.2078059496 -18 06 30.428827200|231.6051050068910 -03.3122463271734|   -0.979 0.827   |10.94    |~                |    ~     ~    
5048 |TYC 5969-1156-1                                                                                                                                                                |Star                                  |07 12 26.8782289776 -18 13 31.378755324|231.5148320729205 -03.7397479676698| -11.518 15.326   |10.70    |~                |    ~     ~    
5049 |TYC 5969-1175-1                                                                                                                                                                |Star                                  |07 13 52.6414878744 -17 27 41.827612032|230.9927085929557 -03.0859920890489|   -1.545 0.905   |10.96    |~                |    ~     ~    
5050 |TYC 5969-1183-1                                                                                                                                                                |Star                                  |07 12 55.7956594872 -17 13 47.775235440|230.6823904924274 -03.1797006446291|   -3.518 2.597   |10.80    |~                |    ~     ~    
5051 |TYC 5969-1283-1                                                                                                                                                                |Star                                  |07 13 24.5834771400 -17 26 51.716247252|230.9287951327397 -03.1785065052006|   -2.267 2.096   |10.55    |~                |    ~     ~    
5052 |TYC 5969-1342-1                                                                                                                                                                |Star                                  |07 13 21.5273805984 -17 32 26.234627208|231.0057638213106 -03.2321375962682|   -3.242 4.211   |10.86    |~                |    ~     ~    
5053 |TYC 5969-1355-1                                                                                                                                                                |Star                                  |07 12 56.2913908296 -18 31 21.638026920|231.8330009702987 -03.7731273156037|   -2.793 8.297   |10.71    |~                |    ~     ~    
5054 |TYC 5969-1484-1                                                                                                                                                                |Star                                  |07 12 36.3191310912 -18 21 02.581259472|231.6435866245215 -03.7641796843356|   -7.054 3.578   |10.32    |~                |    ~     ~    
5055 |TYC 5969-1570-1                                                                                                                                                                |Star                                  |07 14 10.3433416152 -18 24 53.052396264|231.8720627407763 -03.4636433221601|  -23.668 2.010   |9.47     |~                |    ~     ~    
5056 |TYC 5969-1686-1                                                                                                                                                                |Star                                  |07 12 07.2626334048 -18 30 53.035846632|231.7367377549300 -03.9415359089756|   -7.169 5.915   |10.50    |~                |    ~     ~    
5057 |GSC 05969-01913                                                                                                                                                                |Double or Multiple Star               |07 12 45.0325995792 -18 22 33.516867180|231.6819416177766 -03.7451909356950|   -3.754 6.641   |10.732   |~                |    ~     ~    
5058 |ASAS J071407-1827.3                                                                                                                                                            |Spectroscopic Binary                  |07 14 07.7833009032 -18 27 30.753640404|231.9063250409058 -03.4928284880356| -11.496 33.054   |9.492    |~                |    ~     ~    
5059 |TYC 5969-2068-1                                                                                                                                                                |Star                                  |07 13 36.9559754088 -18 42 14.687785908|232.0684474626193 -03.7140345757612|    4.844 8.085   |10.65    |~                |    ~     ~    
5060 |TYC 5969-2124-1                                                                                                                                                                |Star                                  |07 13 51.1400960184 -18 33 11.267664120|231.9600441006441 -03.5947918263160|  -10.653 9.892   |10.72    |~                |    ~     ~    
5061 |TYC 5972-171-1                                                                                                                                                                 |Star                                  |07 11 04.431888 -18 45 00.90720        |231.832643904 -04.269954952        |      -0.7 -4.1   |10.449   |~                |    ~     ~    
5062 |TYC 5972-1597-1                                                                                                                                                                |Star                                  |07 08 27.9038662008 -18 49 05.005642080|231.6106966626826 -04.8503932676145|   -3.794 2.338   |10.30    |~                |    ~     ~    
5063 |TYC 5973-662-1                                                                                                                                                                 |Star                                  |07 12 15.8372695704 -18 46 35.785415136|231.9855479786019 -04.0316311088455|   -4.847 4.258   |10.84    |~                |    ~     ~    
5064 |HD 54834                                                                                                                                                                       |Star                                  |07 09 52.1646534864 -16 14 05.011091988|229.4597311663662 -03.3728763158112|  -39.656 0.930   |6.62     |A9V              |    ~     ~    
5065 |MSB 53                                                                                                                                                                         |Carbon Star                           |07 14 42.1404657432 -17 25 40.935975564|231.0539556367565 -02.8959892726979|  -0.854 -1.043   |10.33    |C5,4             |    ~     ~    
5066 |HD 54518                                                                                                                                                                       |Long-Period Variable Candidate        |07 08 20.1888326976 -19 01 25.561036668|231.7807552144069 -04.9709472455205|   1.012 -6.026   |8.42     |M3               |    ~     ~    
5067 |HD 54814                                                                                                                                                                       |Star                                  |07 09 35.1339680208 -19 06 55.906773660|231.9974869305615 -04.7498377405613|   -4.508 4.199   |8.00     |B5II/III         |    ~     ~    
5068 |BD-19 1703                                                                                                                                                                     |Star                                  |07 08 27.1882820976 -19 37 48.651773628|232.3358015932773 -05.2216471270155|   -2.827 1.716   |9.733    |K7               |    ~     ~    
5069 |HD 54603                                                                                                                                                                       |Star                                  |07 08 37.8979032504 -19 20 03.419033028|232.0902363307720 -05.0498730677633|   1.048 -2.085   |9.41     |A1V              |    ~     ~    
5070 |HD 54625                                                                                                                                                                       |Star                                  |07 08 46.7061563256 -19 32 37.395163032|232.2933516207206 -05.1141372174509|   -4.866 5.361   |9.70     |B9V              |    ~     ~    
5071 |HD 54639                                                                                                                                                                       |Star                                  |07 08 49.2933182640 -19 55 23.757990996|232.6375825513960 -05.2773378513891|   -1.583 6.488   |9.088    |K2/3III          |    ~     ~    
5072 |HD 54667                                                                                                                                                                       |Star                                  |07 08 57.8670667368 -19 30 47.038156488|232.2859161531174 -05.0611672619004|  1.690 -10.704   |9.25     |A3III/IV         |    ~     ~    
5073 |HD 54767                                                                                                                                                                       |Star                                  |07 09 20.7669405768 -19 34 07.078359828|232.3766284958632 -05.0063222517140|   -6.742 4.017   |9.99     |A1V              |    ~     ~    
5074 |BD-19 1711                                                                                                                                                                     |Star                                  |07 08 58.4436359400 -20 11 48.887333412|232.8988392821050 -05.3695210932533|  -2.071 -0.194   |8.99     |K2               |    ~     ~    
5075 |HD 54815                                                                                                                                                                       |Star                                  |07 09 31.7597674296 -20 11 38.000312484|232.9555041535941 -05.2520504039954|   -1.399 7.548   |9.19     |K2III(+G)        |    ~     ~    
