C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:43:54

Vmag< 11&dec >=0&rah >=13.25&rah< 13.5
--------------------------------------

Number of objects : 2069

 #  |                                                                                                                     identifier                                                                                                                      |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
45  |BD+82 389                                                                                                                                                                                                                                            |Star                            |13 15 06.5109942096 +82 11 00.575750220|121.9523353869274 +34.8996868660859|   0.581 -0.121    |10.21    |K2               |    ~     ~    
46  |HD 116126                                                                                                                                                                                                                                            |High Proper Motion Star         |13 16 32.8738435800 +81 30 14.124363768|121.7939439244558 +35.5687756611389| -60.738 13.803    |8.37     |F5               |    ~     ~    
47  |TYC 4633-756-1                                                                                                                                                                                                                                       |Star                            |13 25 52.8151014912 +83 42 08.227945116|121.8053623978383 +33.3504578909380| -19.475 10.336    |10.88    |~                |    ~     ~    
48  |TYC 4633-999-1                                                                                                                                                                                                                                       |Star                            |13 20 45.5709850824 +83 06 21.817980756|121.8739041968550 +33.9618559336915|  2.537 -18.789    |10.95    |~                |    ~     ~    
49  |BD+81 424                                                                                                                                                                                                                                            |Star                            |13 21 26.1897891864 +80 53 37.350835152|121.4660350286111 +36.1490009134880|   7.929 -7.626    |9.67     |K0               |    ~     ~    
50  |BD+81 430                                                                                                                                                                                                                                            |High Proper Motion Star         |13 28 30.0554473944 +80 45 32.725667052|121.0948836388186 +36.2365833017782| -57.778 31.845    |9.59     |F8               |    ~     ~    
51  |BD+81 431                                                                                                                                                                                                                                            |Star                            |13 29 37.8871545792 +80 46 29.847304416|121.0431379407404 +36.2127990968743|  6.537 -30.173    |10.05    |G5               |    ~     ~    
52  |BD+81 419                                                                                                                                                                                                                                            |Spectroscopic Binary            |13 17 07.7749227960 +80 30 52.460385696|121.6170036827978 +36.5479952022593| 17.934 -18.533    |9.63     |F5               |    ~     ~    
53  |BD+81 420                                                                                                                                                                                                                                            |Double or Multiple Star         |13 19 02.6598 +80 17 30.272            |121.4826084 +36.7586985            |  -19.90 -12.60    |9.47     |G0               |    ~     ~    
54  |BD+81 421                                                                                                                                                                                                                                            |Star                            |13 20 20.2932077760 +80 15 45.566747964|121.4100914846785 +36.7800471887606|  -2.651 -7.332    |9.41     |K0               |    ~     ~    
55  |HD 116633                                                                                                                                                                                                                                            |Star                            |13 20 11.3713817088 +80 37 27.769500660|121.4803663821711 +36.4226975634458| -12.668 11.506    |8.84     |K0               |    ~     ~    
56  |BD+81 423                                                                                                                                                                                                                                            |Star                            |13 21 47.1134301672 +80 17 11.906377332|121.3388843535524 +36.7475605396266| -31.442 -3.366    |9.64     |G5               |    ~     ~    
57  |HD 117494                                                                                                                                                                                                                                            |Star                            |13 25 44.3039589120 +80 27 18.204358032|121.1680862307146 +36.5554336196250|   -2.156 8.669    |9.68     |A2               |    ~     ~    
58  |BD+80 408                                                                                                                                                                                                                                            |Star                            |13 19 12.7946251824 +80 10 59.320583040|121.4555706243899 +36.8653575085686|   0.427 19.035    |10.58    |F8               |    ~     ~    
59  |HD 117950                                                                                                                                                                                                                                            |Star                            |13 28 50.8757173296 +80 05 34.176833628|120.9285227194331 +36.8894698940856|  6.954 -11.104    |8.50     |K                |    ~     ~    
60  |HD 116580                                                                                                                                                                                                                                            |Star                            |13 20 17.1067178880 +79 26 12.956275428|121.2674944348079 +37.5979244639517| -41.743 -9.543    |8.81     |G5               |    ~     ~    
61  |HD 115676                                                                                                                                                                                                                                            |Star                            |13 15 03.2820756312 +78 42 04.721211468|121.4591504207286 +38.3593220099567|  -31.473 1.736    |7.57     |K0               |    ~     ~    
62  |HD 116473                                                                                                                                                                                                                                            |Star                            |13 20 09.8580950352 +78 19 05.817303660|121.0731222991567 +38.7060987369156|-20.300 -19.334    |8.62     |F5               |    ~     ~    
63  |BD+79 420                                                                                                                                                                                                                                            |Star                            |13 21 47.2824846576 +79 02 50.967244464|121.1082181919389 +37.9730733109259|  19.334 28.838    |10.91    |G5               |    ~     ~    
64  |SAO 7804                                                                                                                                                                                                                                             |Star                            |13 21 32.6961943320 +79 02 55.671372744|121.1229493557144 +37.9734955235982| -12.389 -8.165    |10.39    |G5               |    ~     ~    
65  |HD 116910                                                                                                                                                                                                                                            |Star                            |13 22 49.0416445752 +78 32 48.075976320|120.9483720156653 +38.4604439660510| -14.947 15.056    |9.04     |K2               |    ~     ~    
66  |HD 117566                                                                                                                                                                                                                                            |High Proper Motion Star         |13 26 56.8034835936 +78 38 37.932441360|120.7119633670997 +38.3308940011240|-140.497 30.403    |5.742    |G3IIIbFe-1CH1    |    ~     ~    
