C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2223|BD+70 1295                                                                                               |Star                                |22 59 56.9163634152 +70 52 43.433311836|113.9868912353476 +09.9689236219219|    7.112 4.943    |9.77     |A5                  |    ~     ~    |    1|  560.790   pc  |  -4.0254     +4.0254  |paral   |2020yCat.1350....0G
2224|HD 217438                                                                                                |Double or Multiple Star             |22 59 01.7132 +70 45 50.839            |113.8680815 +09.8971655            |    -9.00 -2.30    |8.81     |A2                  |    ~     ~    |    0|                |                       |        |                   
2225|BD+69 1293                                                                                               |Star                                |22 59 54.0286022568 +70 16 01.796015028|113.7212780703816 +09.4162221616749|  -1.569 -1.252    |10.22    |B5                  |    ~     ~    |    1| 1246.572   pc  | -80.1834    +80.1834  |paral   |2020yCat.1350....0G
2226|BD+69 1291                                                                                               |Double or Multiple Star             |22 58 35.47781 +69 50 21.7838          |113.43506217 +09.07613705          |    -5.37 -3.39    |9.94     |B8                  |    ~     ~    |    0|                |                       |        |                   
2227|HD 216327                                                                                                |Double or Multiple Star             |22 50 00.8069113584 +72 08 42.127539504|113.8353245679917 +11.4524727371363|  -9.067 -3.445    |8.43     |A2                  |0.0033  0.0    |    1|  464.878   pc  | -36.5013    +36.5013  |paral   |2020yCat.1350....0G
2228|BD+71 1167                                                                                               |Star                                |22 50 51.6084394200 +72 06 12.858032700|113.8749205633557 +11.3858812697419|   -2.092 0.607    |9.64     |K0                  |    ~     ~    |    1|  488.400   pc  | -13.9543    +13.9543  |paral   |2020yCat.1350....0G
2229|HD 216522                                                                                                |Star                                |22 51 35.8988466336 +71 48 03.715982640|113.7866810517691 +11.0904016572945|    1.602 0.355    |8.92     |F0                  |    ~     ~    |    1|  327.815   pc  |  -1.3970     +1.3970  |paral   |2020yCat.1350....0G
2230|BD+70 1285                                                                                               |Star                                |22 55 52.2905209632 +70 53 56.445590004|113.6897072129835 +10.1306129355305|   0.740 -2.750    |9.52     |F0                  |    ~     ~    |    1|  321.089   pc  |  -1.0928     +1.0928  |paral   |2020yCat.1350....0G
2231|TYC 4481-150-1                                                                                           |Star                                |22 59 31.3098517848 +69 44 37.625466516|113.4676598453792 +08.9554703728150|   15.220 9.679    |10.19    |~                   |    ~     ~    |    1|  748.503   pc  |  -8.0677     +8.0677  |paral   |2020yCat.1350....0G
2232|TYC 4481-601-1                                                                                           |Star                                |22 56 26.7188094432 +71 14 30.865229484|113.8842141751791 +10.4189058179461|-16.776 -11.696    |10.21    |~                   |    ~     ~    |    1|  388.515   pc  |  -1.5396     +1.5396  |paral   |2020yCat.1350....0G
2233|TYC 4481-737-1                                                                                           |Star                                |22 59 30.6594547992 +71 00 29.523799872|114.0096819172951 +10.1013421395810|    6.278 0.418    |10.85    |~                   |    ~     ~    |    1|  927.902   pc  |  -9.2127     +9.2127  |paral   |2020yCat.1350....0G
2234|TYC 4481-770-1                                                                                           |Star                                |22 57 41.6089226952 +70 16 05.954119644|113.5509025016021 +09.4965879727308|   2.119 -0.773    |10.45    |~                   |    ~     ~    |    1|  859.771   pc  | -10.4967    +10.4967  |paral   |2020yCat.1350....0G
2235|TYC 4481-817-1                                                                                           |Star                                |22 59 24.0014246016 +71 05 30.249556476|114.0374094117693 +10.1808044990009|   26.829 4.900    |10.06    |~                   |    ~     ~    |    1|  283.326   pc  |  -1.5814     +1.5814  |paral   |2020yCat.1350....0G
2236|TYC 4481-954-1                                                                                           |Star                                |22 58 35.0362010808 +70 32 14.470668096|113.7361888663133 +09.7077215018894|   32.976 2.450    |10.91    |~                   |    ~     ~    |    1|  303.352   pc  |  -0.9662     +0.9662  |paral   |2020yCat.1350....0G
2237|TYC 4481-996-1                                                                                           |Star                                |22 59 26.1112274928 +70 08 49.234372548|113.6336238414062 +09.3239759206971|  -7.350 -5.267    |10.39    |~                   |    ~     ~    |    1|  532.425   pc  |  -3.9970     +3.9970  |paral   |2020yCat.1350....0G
2238|TYC 4481-1050-1                                                                                          |Star                                |22 58 18.0028110792 +70 10 34.626799668|113.5579144306518 +09.3914429417388|    9.626 3.402    |9.97     |~                   |    ~     ~    |    1|  237.338   pc  |  -0.6816     +0.6816  |paral   |2020yCat.1350....0G
2239|TYC 4481-1210-1                                                                                          |Star                                |22 57 26.0488788744 +70 00 38.298490488|113.4184425512618 +09.2734150762739|  -5.026 -5.237    |10.32    |~                   |    ~     ~    |    1|  611.172   pc  |  -4.0341     +4.0341  |paral   |2020yCat.1350....0G
2240|TYC 4481-1399-1                                                                                          |Star                                |22 55 39.1119579312 +70 54 29.685242376|113.6773951542807 +10.1467710685361|  24.019 43.348    |10.72    |~                   |    ~     ~    |    1|  333.444   pc  |  -1.2897     +1.2897  |paral   |2020yCat.1350....0G
2241|TYC 4481-1718-1                                                                                          |Star                                |22 58 41.3454759384 +69 50 25.309992120|113.4432049629656 +09.0734346981813|  -4.092 -1.673    |10.96    |~                   |    ~     ~    |    1|  800.384   pc  |  -9.8014     +9.8014  |paral   |2020yCat.1350....0G
2242|TYC 4485-45-1                                                                                            |Star                                |22 54 06.9178841088 +71 42 59.667959016|113.9274419125507 +10.9265824131633| -6.483 -15.689    |10.98    |~                   |    ~     ~    |    1|  297.168   pc  |  -1.1568     +1.1568  |paral   |2020yCat.1350....0G
2243|TYC 4485-348-1                                                                                           |Star                                |22 55 33.9663021480 +72 23 32.231002956|114.3340542349174 +11.4833426437551|   1.815 -8.923    |10.74    |~                   |    ~     ~    |    1|  342.009   pc  |  -1.3218     +1.3218  |paral   |2020yCat.1350....0G
2244|TYC 4485-413-1                                                                                           |Star                                |22 52 08.2032978240 +71 48 19.791934452|113.8269454771701 +11.0753868076737|   26.461 9.359    |10.57    |~                   |    ~     ~    |    1|  263.296   pc  |  -0.8596     +0.8596  |paral   |2020yCat.1350....0G
2245|GSC 04485-00427                                                                                          |Double or Multiple Star             |22 55 41.8711866360 +71 23 26.170318500|113.8954743825823 +10.5788157194767|  -5.807 -5.374    |10.804   |~                   |    ~     ~    |    1|  643.170   pc  |  -5.2536     +5.2536  |paral   |2020yCat.1350....0G
2246|TYC 4485-701-1                                                                                           |Star                                |22 54 40.2731064240 +71 39 33.979183920|113.9415325378034 +10.8560148493780|   -1.743 2.793    |10.35    |~                   |    ~     ~    |    1|  757.002   pc  |  -5.9597     +5.9597  |paral   |2020yCat.1350....0G
2247|TYC 4485-759-1                                                                                           |Star                                |22 51 38.1172746072 +71 31 02.840403504|113.6585743769454 +10.8362237621980|  -6.564 -2.154    |10.99    |~                   |    ~     ~    |    1|  961.169   pc  |  -8.8689     +8.8689  |paral   |2020yCat.1350....0G
2248|TYC 4485-841-1                                                                                           |Spectroscopic Binary                |22 51 07.4565232800 +71 44 40.572423060|113.7269335204162 +11.0569326683510|  -6.608 -5.462    |10.61    |~                   |    ~     ~    |    1|  402.868   pc  |  -2.1424     +2.1424  |paral   |2020yCat.1350....0G
2249|TYC 4485-957-1                                                                                           |Star                                |22 53 40.8721840632 +71 31 20.550712476|113.8083133141179 +10.7678520071940|  -7.024 -6.284    |10.91    |~                   |    ~     ~    |    1|  982.704   pc  | -15.8376    +15.8376  |paral   |2020yCat.1350....0G
2250|V* V915 Cep                                                                                              |Eclipsing Binary                    |22 51 27.9691976928 +71 43 20.947395720|113.7410265239146 +11.0250650611904|  -2.725 -1.038    |10.72    |~                   |    ~     ~    |    1| 1153.004   pc  | -17.6812    +17.6812  |paral   |2020yCat.1350....0G
2251|TYC 4485-1144-1                                                                                          |Star                                |22 55 14.9291299488 +72 07 24.819092580|114.1912519352572 +11.2526968369323|  31.375 -3.133    |9.76     |~                   |    ~     ~    |    1|  130.400   pc  |  -0.1887     +0.1887  |paral   |2020yCat.1350....0G
2252|TYC 4485-1326-1                                                                                          |Star                                |22 54 09.3667188624 +72 08 54.691756332|114.1258887218465 +11.3121669529320|    1.077 1.562    |10.65    |~                   |    ~     ~    |    1|  733.676   pc  |  -5.4366     +5.4366  |paral   |2020yCat.1350....0G
2253|TYC 4485-1566-1                                                                                          |Star                                |22 57 40.6960617360 +72 05 12.958456056|114.3461439255569 +11.1383174840599|    -5.60 -6.90    |9.87     |~                   |    ~     ~    |    0|                |                       |        |                   
2254|TYC 4484-1005-1                                                                                          |Star                                |22 46 20.3500376952 +72 35 26.013143364|113.7957043242596 +11.9762956565079|-13.800 -10.058    |9.72     |~                   |    ~     ~    |    1|  262.082   pc  |  -0.8792     +0.8792  |paral   |2020yCat.1350....0G
2255|HD 216368                                                                                                |Star                                |22 50 16.0923202248 +72 35 28.406335884|114.0618387139322 +11.8400791991354|  11.128 -8.175    |8.14     |G0                  |    ~     ~    |    1|  153.537   pc  |  -0.4196     +0.4196  |paral   |2020yCat.1350....0G
2256|HD 216628                                                                                                |Star                                |22 52 27.9891182136 +72 35 33.998419140|114.2121476670141 +11.7666779092582| -15.782 -9.744    |8.45     |K0                  |    ~     ~    |    1|  324.149   pc  |  -1.7967     +1.7967  |paral   |2020yCat.1350....0G
2257|HD 216978                                                                                                |Spectroscopic Binary                |22 55 26.4043715640 +72 35 53.969815752|114.4179523435071 +11.6725154390307|  42.989 37.360    |8.04     |F5                  |    ~     ~    |    1|  120.747   pc  |  -0.7917     +0.7917  |paral   |2020yCat.1350....0G
2258|BD+71 1176                                                                                               |Spectroscopic Binary                |22 59 17.5380591240 +72 40 50.793043872|114.7188215256112 +11.6221333446523|  -1.969 -5.425    |9.98     |G                   |    ~     ~    |    1|  320.277   pc  |  -9.8474     +9.8474  |paral   |2020yCat.1350....0G
2259|HD 217523                                                                                                |High Proper Motion Star             |22 59 25.3650890280 +72 42 43.516782360|114.7414240435590 +11.6463086467154|-51.237 -82.947    |7.86     |F5                  |    ~     ~    |    1|   60.755   pc  |  -0.0624     +0.0624  |paral   |2020yCat.1350....0G
2260|HD 215805                                                                                                |Young Stellar Object                |22 45 08.0665810008 +74 56 11.359518468|114.8667348023989 +14.0790957794032|    7.072 0.289    |9.07     |A0                  |    ~     ~    |    1|  344.661   pc  |  -1.7106     +1.7106  |paral   |2020yCat.1350....0G
2261|HD 216367                                                                                                |Young Stellar Object                |22 49 54.6158008512 +75 09 44.175543156|115.2566242225235 +14.1326069451816|    7.190 0.914    |7.78     |A0                  |    ~     ~    |    1|  347.138   pc  |  -2.8439     +2.8439  |paral   |2020yCat.1350....0G
2262|** HJ 1826C                                                                                              |Star                                |22 49 52.8 +75 09 15                   |115.2510 +14.1264                  |            ~ ~    |10.8     |~                   |    ~     ~    |    0|                |                       |        |                   
2263|HD 217347                                                                                                |High Proper Motion Star             |22 57 52.1853964248 +75 08 27.647174544|115.7160523097960 +13.8841149370874|  61.406 13.020    |9.11     |G0                  |    ~     ~    |    1|  106.770   pc  |  -0.1300     +0.1300  |paral   |2020yCat.1350....0G
2264|HD 215855                                                                                                |Star                                |22 45 37.5793133832 +74 33 14.724040140|114.7071922274282 +13.7279670608689|  -5.952 -3.481    |7.42     |K5                  |    ~     ~    |    1|  899.685   pc  | -11.4940    +11.4940  |paral   |2020yCat.1350....0G
2265|HD 216171                                                                                                |Star                                |22 48 15.5654750328 +74 40 02.561367540|114.9208098050533 +13.7450176187687|   23.295 4.784    |8.53     |A2                  |    ~     ~    |    1|  314.525   pc  |  -1.5136     +1.5136  |paral   |2020yCat.1350....0G
2266|HD 216848                                                                                                |Star                                |22 54 06.7098301512 +74 36 43.096735296|115.2489971520132 +13.5179950466758|  2.225 -12.558    |7.51     |F5                  |    ~     ~    |    1|  125.609   pc  |  -0.2414     +0.2414  |paral   |2020yCat.1350....0G
2267|BD+73 999                                                                                                |Star                                |22 54 14.8883599824 +74 32 39.721749144|115.2261760270158 +13.4534972900189|    6.971 1.490    |9.29     |A                   |    ~     ~    |    1|  344.412   pc  |  -1.6370     +1.6370  |paral   |2020yCat.1350....0G
2268|HD 217553                                                                                                |Star                                |22 59 23.5845224160 +74 30 22.169388132|115.5259310232638 +13.2686295264518|   8.904 10.875    |8.89     |A3                  |    ~     ~    |    1|  195.852   pc  |  -0.8707     +0.8707  |paral   |2020yCat.1350....0G
2269|BD+73 1004                                                                                               |Star                                |22 59 57.4839095784 +74 37 46.489997064|115.6151803841836 +13.3640384256411|  -27.070 8.567    |9.31     |G5                  |    ~     ~    |    1|  433.915   pc  |  -2.4288     +2.4288  |paral   |2020yCat.1350....0G
2270|HD 217540                                                                                                |Star                                |22 59 25.6331584680 +73 55 24.937479660|115.2716296947420 +12.7413791464383|    8.190 0.544    |8.50     |K0                  |    ~     ~    |    1|  330.306   pc  |  -1.6693     +1.6693  |paral   |2020yCat.1350....0G
2271|BD+72 1062                                                                                               |Star                                |22 47 31.9250845152 +73 22 30.699657696|114.2526485806752 +12.6274092497582|  18.874 10.750    |9.52     |F5                  |    ~     ~    |    1|  202.696   pc  | -10.6987    +10.6987  |paral   |2020yCat.1350....0G
2272|BD+72 1064                                                                                               |High Proper Motion Star             |22 48 31.6561580256 +72 56 25.431152208|114.1098588106617 +12.2093168132345|  87.338 69.605    |10.08    |G0                  |    ~     ~    |    1|  219.231   pc  | -19.4796    +19.4796  |paral   |2020yCat.1350....0G
2273|BD+72 1066                                                                                               |Star                                |22 49 08.1273098496 +73 36 27.430217172|114.4671289905995 +12.7797821309073|   17.451 8.197    |9.96     |F0                  |    ~     ~    |    1|  291.639   pc  |  -0.9526     +0.9526  |paral   |2020yCat.1350....0G
2274|BD+72 1071                                                                                               |Star                                |22 52 55.8535411728 +73 27 58.631615316|114.6459328189445 +12.5310950787822|  -7.576 -5.852    |10.41    |A0                  |    ~     ~    |    1|  572.967   pc  |  -4.6289     +4.6289  |paral   |2020yCat.1350....0G
2275|BD+72 1072                                                                                               |Star                                |22 53 55.2207047832 +72 52 17.322717900|114.4384490303705 +11.9673453464986|   -3.019 2.032    |8.98     |K2                  |    ~     ~    |    1|  991.965   pc  | -19.2863    +19.2863  |paral   |2020yCat.1350....0G
2276|HD 217049B                                                                                               |Star                                |22 55 46.2734248632 +72 50 33.489587940|114.5503583849530 +11.8810616475644|   17.740 9.520    |9.36     |~                   |    ~     ~    |    1|  247.844   pc  |  -0.9644     +0.9644  |paral   |2020yCat.1350....0G
2277|BD+72 1077                                                                                               |Star                                |22 57 45.9903807840 +72 56 48.962054508|114.7317754863932 +11.9108925777546|  33.695 10.137    |9.09     |K0                  |    ~     ~    |    1|  170.567   pc  |  -0.3462     +0.3462  |paral   |2020yCat.1350....0G
2278|HD 217295                                                                                                |Star                                |22 57 48.0695851848 +73 08 00.615846336|114.8166803890554 +12.0779776867937|-25.062 -28.646    |6.528    |K0                  |    ~     ~    |    1|  156.123   pc  |  -0.4071     +0.4071  |paral   |2020yCat.1350....0G
2279|IRAS 22546+7436                                                                                          |Star                                |22 56 02.9654541312 +74 53 01.467431052|115.4908831278218 +13.7046155507915| -10.088 -9.241    |10.12    |~                   |    ~     ~    |    1| 1054.630   pc  | -26.9163    +26.9163  |paral   |2020yCat.1350....0G
2280|IRAS 22460+7236                                                                                          |Star                                |22 47 28.8522164520 +72 52 45.935746284|114.0111541796897 +12.1913204681388|  -4.897 -1.828    |10.79    |~                   |    ~     ~    |    1| 1556.905   pc  | -48.2367    +48.2367  |paral   |2020yCat.1350....0G
2281|TYC 4484-643-1                                                                                           |Star                                |22 46 06.7935408696 +72 57 23.467133016|113.9576828353163 +12.3066436615596|    1.470 3.962    |9.98     |~                   |    ~     ~    |    1|  321.048   pc  |  -2.0511     +2.0511  |paral   |2020yCat.1350....0G
2282|TYC 4485-46-1                                                                                            |Star                                |22 52 56.4584613504 +72 42 32.595890436|114.2979020940670 +11.8545744173058|  -9.848 -0.256    |10.70    |~                   |    ~     ~    |    1|  477.168   pc  |  -4.7587     +4.7587  |paral   |2020yCat.1350....0G
2283|TYC 4485-80-1                                                                                            |Star                                |22 50 40.0063614168 +72 37 31.519403544|114.1048948046412 +11.8568383904806|  -6.848 -9.590    |10.70    |~                   |    ~     ~    |    1|  318.847   pc  |  -1.1895     +1.1895  |paral   |2020yCat.1350....0G
2284|TYC 4485-542-1                                                                                           |Star                                |22 52 23.4456318096 +73 00 59.346192960|114.4025703361639 +12.1472765140893|  22.538 -8.489    |10.79    |~                   |    ~     ~    |    1|  295.046   pc  |  -0.8618     +0.8618  |paral   |2020yCat.1350....0G
2285|TYC 4485-570-1                                                                                           |Star                                |22 59 52.9891835112 +72 45 45.783341748|114.7949958035016 +11.6775709390751|   7.317 -5.772    |10.15    |~                   |    ~     ~    |    1|  608.717   pc  |  -5.0763     +5.0763  |paral   |2020yCat.1350....0G
2286|TYC 4485-586-1                                                                                           |Star                                |22 52 40.0552135656 +72 34 39.618635376|114.2189147076558 +11.7464124367092|   -5.111 1.411    |10.57    |~                   |    ~     ~    |    1|  647.417   pc  | -31.3104    +31.3104  |paral   |2020yCat.1350....0G
2287|TYC 4485-1216-1                                                                                          |Spectroscopic Binary                |22 53 04.5232228128 +72 29 35.386034640|114.2080326294015 +11.6571689813881|   0.757 12.414    |9.94     |~                   |    ~     ~    |    1|  410.458   pc  |  -2.1902     +2.1902  |paral   |2020yCat.1350....0G
2288|TYC 4485-1276-1                                                                                          |Star                                |22 48 17.2508356896 +72 44 50.378251884|114.0018983769827 +12.0466865121153|-33.345 -22.997    |10.89    |~                   |    ~     ~    |    1|  237.857   pc  |  -0.6450     +0.6450  |paral   |2020yCat.1350....0G
2289|TYC 4485-1539-1                                                                                          |Star                                |22 56 03.2189012904 +72 53 30.610095864|114.5915420687821 +11.9161227915485|  -4.278 -1.742    |9.73     |~                   |    ~     ~    |    1| 2424.242   pc  | -75.8127    +75.8127  |paral   |2020yCat.1350....0G
2290|TYC 4488-45-1                                                                                            |Star                                |22 46 34.7750179056 +74 52 04.480373172|114.9181589641581 +13.9738860588368|   4.740 -1.786    |10.39    |~                   |    ~     ~    |    1|  662.910   pc  |  -5.0537     +5.0537  |paral   |2020yCat.1350....0G
2291|TYC 4488-183-1                                                                                           |Star                                |22 46 02.3508691848 +74 43 48.456830640|114.8184784423471 +13.8695868129252|   11.208 0.787    |10.24    |~                   |    ~     ~    |    1|  521.105   pc  |  -2.6612     +2.6612  |paral   |2020yCat.1350....0G
2292|TYC 4488-208-1                                                                                           |Star                                |22 45 48.7679221752 +73 38 59.329524336|114.2755057065144 +12.9270731158747| -3.055 -13.129    |10.50    |~                   |    ~     ~    |    1|  367.296   pc  |  -1.5110     +1.5110  |paral   |2020yCat.1350....0G
2293|TYC 4488-392-1                                                                                           |Star                                |22 45 42.7385559000 +73 45 20.727110664|114.3209050058168 +13.0235956318993| -30.805 -5.940    |9.76     |~                   |    ~     ~    |    1|  258.618   pc  |  -0.6555     +0.6555  |paral   |2020yCat.1350....0G
2294|TYC 4489-276-1                                                                                           |Star                                |22 56 50.0992021896 +74 33 19.719499104|115.3900097398934 +13.3870968218809|  -7.873 -3.955    |10.36    |~                   |    ~     ~    |    1|  317.753   pc  |  -1.1106     +1.1106  |paral   |2020yCat.1350....0G
2295|TYC 4489-290-1                                                                                           |Star                                |22 54 56.7593613912 +74 37 01.585345044|115.3022607081780 +13.4978620653343|  -1.539 -1.049    |10.56    |~                   |    ~     ~    |    1|  630.756   pc  |  -5.0129     +5.0129  |paral   |2020yCat.1350....0G
2296|TYC 4489-350-1                                                                                           |Star                                |22 53 58.9898546832 +74 29 48.654567456|115.1880283299281 +13.4189440331162|    9.032 0.557    |10.25    |~                   |    ~     ~    |    1|  277.832   pc  |  -1.0421     +1.0421  |paral   |2020yCat.1350....0G
2297|TYC 4489-448-1                                                                                           |Star                                |22 59 06.3996900384 +74 34 37.430120352|115.5395564753013 +13.3408517129578|  35.125 17.103    |10.61    |~                   |    ~     ~    |    1|  342.395   pc  |  -1.3013     +1.3013  |paral   |2020yCat.1350....0G
2298|TYC 4489-647-1                                                                                           |Star                                |22 57 36.9133721016 +73 35 59.225795448|115.0113726648105 +12.5038971374439| 19.684 -14.332    |9.48     |~                   |    ~     ~    |    1|  277.570   pc  |  -0.8552     +0.8552  |paral   |2020yCat.1350....0G
2299|TYC 4489-654-1                                                                                           |Star                                |22 49 52.0881892512 +74 55 37.259129604|115.1416204572421 +13.9254754546735| -24.807 -9.206    |9.82     |~                   |    ~     ~    |    1|  179.211   pc  |  -0.9282     +0.9282  |paral   |2020yCat.1350....0G
2300|TYC 4489-658-1                                                                                           |Star                                |22 55 01.2071301168 +74 10 13.703663136|115.1026449138397 +13.0956580099615|    2.610 0.739    |10.10    |~                   |    ~     ~    |    1|  593.683   pc  |  -3.8771     +3.8771  |paral   |2020yCat.1350....0G
2301|GSC 04489-00713                                                                                          |Double or Multiple Star             |22 48 34.9207862592 +73 35 25.940041116|114.4235200624908 +12.7828346244729|  -20.916 1.570    |10.447   |~                   |    ~     ~    |    1|  349.272   pc  |  -1.6225     +1.6225  |paral   |2020yCat.1350....0G
2302|TYC 4489-737-1                                                                                           |Star                                |22 50 57.1482246192 +73 28 52.374799200|114.5244576872258 +12.6082953551458|    2.064 1.082    |10.58    |~                   |    ~     ~    |    1|  637.592   pc  |  -5.9353     +5.9353  |paral   |2020yCat.1350....0G
2303|TYC 4489-831-1                                                                                           |High Proper Motion Star             |22 51 08.4657490056 +73 37 41.036286756|114.6054786076062 +12.7327730729136|  69.375 39.898    |9.91     |~                   |    ~     ~    |    1|  142.786   pc  |  -4.0225     +4.0225  |paral   |2020yCat.1350....0G
2304|TYC 4489-857-1                                                                                           |Star                                |22 49 06.2897221224 +73 18 22.236703128|114.3217948754561 +12.5137690992624|   -7.977 2.760    |10.51    |~                   |    ~     ~    |    1|  676.224   pc  |  -5.5788     +5.5788  |paral   |2020yCat.1350....0G
2305|TYC 4489-871-1                                                                                           |Star                                |22 48 19.7488165560 +73 26 50.958146544|114.3388525452475 +12.6646641844036|  16.843 37.736    |10.21    |~                   |    ~     ~    |    1|  134.795   pc  |  -0.1962     +0.1962  |paral   |2020yCat.1350....0G
2306|TYC 4489-893-1                                                                                           |Star                                |22 49 36.8965351728 +73 11 32.777109276|114.3012470685251 +12.3959352052568|   -1.428 0.533    |10.20    |~                   |    ~     ~    |    1|  873.362   pc  |  -8.0090     +8.0090  |paral   |2020yCat.1350....0G
2307|TYC 4489-913-1                                                                                           |Star                                |22 52 49.0703773920 +73 12 31.058253216|114.5196165961007 +12.3047412846521|  -8.584 -7.008    |10.69    |~                   |    ~     ~    |    1|  352.448   pc  |  -1.2795     +1.2795  |paral   |2020yCat.1350....0G
2308|TYC 4489-949-1                                                                                           |Star                                |22 55 45.4778067360 +73 20 27.256989552|114.7737753781540 +12.3288928907809| -28.665 -9.842    |9.80     |~                   |    ~     ~    |    1|  181.462   pc  |  -1.9625     +1.9625  |paral   |2020yCat.1350....0G
2309|TYC 4489-966-1                                                                                           |Star                                |22 58 26.9103172944 +74 04 56.535984408|115.2792694039237 +12.9137203532255|  -7.689 13.945    |10.63    |~                   |    ~     ~    |    1|  175.852   pc  |  -0.6803     +0.6803  |paral   |2020yCat.1350....0G
2310|TYC 4489-1007-1                                                                                          |High Proper Motion Star             |22 58 13.1298037296 +74 13 49.909815516|115.3305515508622 +13.0540764589487|  32.783 40.785    |10.94    |~                   |    ~     ~    |    1|  107.694   pc  |  -0.1241     +0.1241  |paral   |2020yCat.1350....0G
2311|TYC 4489-1036-1                                                                                          |Star                                |22 53 21.9220572168 +74 10 33.679036092|115.0015839724987 +13.1510960981545|  -3.507 -1.304    |10.93    |~                   |    ~     ~    |    1|  879.353   pc  | -13.4547    +13.4547  |paral   |2020yCat.1350....0G
2312|TYC 4489-1087-1                                                                                          |Star                                |22 59 48.6887690328 +74 05 09.368684088|115.3673970191912 +12.8767861731991|   -0.097 4.588    |10.13    |~                   |    ~     ~    |    1|  724.428   pc  |  -6.0876     +6.0876  |paral   |2020yCat.1350....0G
2313|TYC 4601-3283-1                                                                                          |Star                                |22 49 57.6794411520 +75 06 16.223826960|115.2319778908057 +14.0799183419927|  14.418 -5.336    |10.27    |~                   |    ~     ~    |    1|  261.616   pc  |  -3.0389     +3.0389  |paral   |2020yCat.1350....0G
2314|TYC 4601-3292-1                                                                                          |Star                                |22 57 09.1882897320 +75 11 33.209873052|115.6967766889375 +13.9505258823964|  -6.004 -4.822    |10.06    |~                   |    ~     ~    |    1|  595.238   pc  |  -5.7752     +5.7752  |paral   |2020yCat.1350....0G
2315|TYC 4601-3305-1                                                                                          |Spectroscopic Binary                |22 59 10.2559778016 +75 01 43.629918240|115.7436495559779 +13.7466858373830|   16.448 7.815    |9.83     |~                   |    ~     ~    |    1|  310.955   pc  | -10.1334    +10.1334  |paral   |2020yCat.1350....0G
2316|TYC 4601-3306-1                                                                                          |Young Stellar Object                |22 46 03.3376287000 +75 03 00.558720756|114.9768466301057 +14.1503157717347|    6.838 1.068    |10.033   |~                   |    ~     ~    |    1|  338.226   pc  |  -1.2927     +1.2927  |paral   |2020yCat.1350....0G
2317|TYC 4601-3385-1                                                                                          |Star                                |22 51 03.7583456712 +75 08 30.062037984|115.3143199933189 +14.0802333134955|  -0.787 -4.737    |10.48    |~                   |    ~     ~    |    1|  709.371   pc  |  -6.2901     +6.2901  |paral   |2020yCat.1350....0G
2318|HD 216868                                                                                                |Star                                |22 54 07.4028004920 +75 34 50.242400688|115.6980350603274 +14.3830817817203|   0.215 -2.512    |9.04     |G5                  |    ~     ~    |    1|  681.338   pc  |  -6.2670     +6.2670  |paral   |2020yCat.1350....0G
2319|TYC 4605-2622-1                                                                                          |Star                                |22 46 08.7000487680 +77 46 58.690303536|116.3419558754451 +16.5452355221519|  14.905 -1.965    |9.97     |G                   |    ~     ~    |    1|  847.386   pc  |  -9.4784     +9.4784  |paral   |2020yCat.1350....0G
2320|TYC 4605-3254-1                                                                                          |Star                                |22 46 17.5392887280 +77 34 43.403353932|116.2464459512829 +16.3625116068220|    5.577 3.098    |10.08    |K0                  |    ~     ~    |    1|  847.099   pc  |  -7.3193     +7.3193  |paral   |2020yCat.1350....0G
2321|BD+77 875                                                                                                |High Proper Motion Star             |22 47 23.6213210160 +77 52 49.234776996|116.4509834704327 +16.5990064134353|-51.065 -32.745    |9.97     |F0                  |    ~     ~    |    1|  141.387   pc  |  -0.2179     +0.2179  |paral   |2020yCat.1350....0G
2322|HD 216977                                                                                                |Star                                |22 54 31.1961503736 +77 50 33.413780220|116.7783747351010 +16.3911406196275|-13.546 -16.648    |7.98     |K0                  |    ~     ~    |    1|  156.355   pc  |  -0.4034     +0.4034  |paral   |2020yCat.1350....0G
2323|HD 215952                                                                                                |Star                                |22 45 44.2246439064 +77 20 35.025544464|116.1005196307621 +16.1706254263578|  -9.960 -2.122    |8.77     |A0                  |    ~     ~    |    1|  449.863   pc  | -11.1712    +11.1712  |paral   |2020yCat.1350....0G
2324|TYC 4601-2344-1                                                                                          |Star                                |22 49 16.6704030144 +76 24 34.702222608|115.8226368443680 +15.2540726427032|   9.384 14.502    |10.67    |F8                  |    ~     ~    |    1|  745.268   pc  |  -5.7764     +5.7764  |paral   |2020yCat.1350....0G
2325|HD 216486                                                                                                |Star                                |22 50 25.4067386400 +77 03 44.733164076|116.1995851561288 +15.8004599437952|    0.089 1.525    |8.97     |A3                  |    ~     ~    |    1|  381.2283  pc  | -34.4153    +34.4153  |paral   |2018yCat.1345....0G
