C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
40  |BD+43 4304                                                                                               |Star                                |22 46 35.6752727160 +44 18 15.874282764|100.5544515690309 -13.0756067195512|   1.020 -2.416    |10.69    |~                   |    ~     ~    |    1| 1193.033   pc  | -36.2948    +36.2948  |paral   |2020yCat.1350....0G
41  |TYC 3226-330-1                                                                                           |Spectroscopic Binary                |22 46 05.3504121936 +43 32 50.402456736|100.1025260464516 -13.6986304587494|    7.153 5.747    |10.46    |~                   |    ~     ~    |    1|  635.243   pc  | -47.4153    +47.4153  |paral   |2020yCat.1350....0G
42  |TYC 3226-904-1                                                                                           |Star                                |22 49 10.3308464064 +43 57 09.724161420|100.8044211215068 -13.6033152806867|  -6.511 -5.943    |10.77    |~                   |    ~     ~    |    1|  600.817   pc  |  -5.4869     +5.4869  |paral   |2020yCat.1350....0G
43  |TYC 3226-958-1                                                                                           |Star                                |22 48 30.5695187760 +43 56 56.997528108|100.6942068433579 -13.5507719600499|  3.261 -11.335    |10.59    |~                   |    ~     ~    |    1|  211.649   pc  | -11.0779    +11.0779  |paral   |2020yCat.1350....0G
44  |TYC 3226-1354-1                                                                                          |High Proper Motion Star             |22 49 29.3016127296 +44 20 26.438420904|101.0414701674445 -13.2861588459092|125.704 -65.549    |10.72    |~                   |    ~     ~    |    1|   70.766   pc  |  -0.0626     +0.0626  |paral   |2020yCat.1350....0G
45  |TYC 3226-1442-1                                                                                          |Star                                |22 46 36.1600436232 +44 51 12.720025728|100.8221355538893 -12.5924708264250|   15.957 1.231    |10.45    |~                   |    ~     ~    |    1|  214.611   pc  |  -0.8843     +0.8843  |paral   |2020yCat.1350....0G
46  |TYC 3226-1554-1                                                                                          |Star                                |22 46 18.8348947512 +44 59 19.493662200|100.8414978666568 -12.4491581618252|  -8.711 -5.396    |10.70    |~                   |    ~     ~    |    1|  754.318   pc  | -13.0869    +13.0869  |paral   |2020yCat.1350....0G
47  |TYC 3226-1575-1                                                                                          |Star                                |22 46 04.9101680136 +44 48 21.489717384|100.7157183555232 -12.5906511300186|   0.379 -1.696    |10.33    |~                   |    ~     ~    |    1|  635.405   pc  |  -5.3697     +5.3697  |paral   |2020yCat.1350....0G
48  |TYC 3226-1589-1                                                                                          |Star                                |22 45 59.5630596912 +44 54 03.938797008|100.7477007158506 -12.4994175664552| -10.532 -2.371    |10.01    |~                   |    ~     ~    |    1|  426.203   pc  |  -2.3069     +2.3069  |paral   |2020yCat.1350....0G
49  |TYC 3226-1732-1                                                                                          |Star                                |22 47 18.3129924600 +43 40 32.384123580|100.3646231500582 -13.6900623996581|   8.004 11.535    |10.39    |~                   |    ~     ~    |    1|  315.179   pc  |  -1.3709     +1.3709  |paral   |2020yCat.1350....0G
50  |TYC 3226-1844-1                                                                                          |Star                                |22 49 22.3649318928 +43 44 58.533503532|100.7400441209995 -13.7999080171547|  34.212 -0.937    |10.40    |~                   |    ~     ~    |    1|  287.455   pc  |  -1.5287     +1.5287  |paral   |2020yCat.1350....0G
51  |TYC 3226-2025-1                                                                                          |Star                                |22 49 59.4242642592 +43 47 26.494289412|100.8613914110767 -13.8152790889890|  -5.637 -8.391    |10.98    |~                   |    ~     ~    |    1| 1057.306   pc  | -18.5571    +18.5571  |paral   |2020yCat.1350....0G
52  |TYC 3227-116-1                                                                                           |Star                                |22 51 52.2012093672 +43 43 09.208165296|101.1379599718613 -14.0349349971093|  7.269 -13.776    |10.44    |~                   |    ~     ~    |    1| 1238.697   pc  | -24.2430    +24.2430  |paral   |2020yCat.1350....0G
53  |TYC 3227-628-1                                                                                           |Star                                |22 50 55.1401371000 +44 19 21.399780936|101.2661523078237 -13.4202838961921|  -0.047 -0.581    |10.45    |~                   |    ~     ~    |    1|  747.831   pc  |  -7.7736     +7.7736  |paral   |2020yCat.1350....0G
54  |TYC 3621-25-1                                                                                            |Star                                |22 45 42.0907221144 +45 51 36.896445036|101.1667124868986 -11.6306850147566| -7.386 -16.987    |10.84    |~                   |    ~     ~    |    1|  714.694   pc  | -15.8344    +15.8344  |paral   |2020yCat.1350....0G
