C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1263|BD-01 281                          |Star                                  |02 03 08.4476324304 -00 18 53.340370596|158.5918963954618 -58.1331657271980| 24.402 -10.455   |10.14    |K0             |    ~     ~    
1264|BD-01 282                          |High Proper Motion Star               |02 03 20.9763190872 -01 05 09.534312528|159.4494964533028 -58.7624947937873|158.944 -134.426  |9.48     |K0             |    ~     ~    
1265|BD-01 283                          |High Proper Motion Star               |02 03 34.1267041056 -00 38 04.731042912|159.0824518789752 -58.3501309044743| 33.381 -74.217   |10.9     |G5             |    ~     ~    
1266|BD-01 284                          |Star                                  |02 03 37.6995447864 -01 03 37.542561732|159.5371957780596 -58.7038885511649|-16.938 -27.594   |9.68     |F8             |    ~     ~    
1267|BD-02 336                          |Star                                  |02 00 15.5955364728 -01 39 28.564002180|158.7530315252450 -59.6548667767309|   8.387 -3.249   |10.00    |F              |    ~     ~    
1268|BD-02 338B                         |Star                                  |02 00 16.6027699488 -01 37 56.993942136|158.7338966632738 -59.6309695739807|-12.221 -39.927   |10.26    |~              |    ~     ~    
1269|HD 12261                           |Star                                  |02 00 16.7515804152 -01 38 02.227614036|158.7364409737516 -59.6318877755516|-13.300 -39.202   |9.77     |F7/8(V)        |    ~     ~    
1270|HD 12344                           |Star                                  |02 01 01.0985266248 -01 39 40.331038356|159.0756572117943 -59.5585124378185|   10.938 6.038   |9.38     |F2V            |    ~     ~    
1271|BD-02 341                          |Star                                  |02 01 20.0461848984 -01 39 23.910894900|159.2033103140068 -59.5131277050853|  14.499 -0.778   |9.88     |F5             |    ~     ~    
1272|HD 12514                           |High Proper Motion Star               |02 02 40.3749347832 -01 37 28.682803812|159.7274893413562 -59.3086574552383| 21.388 -56.720   |8.64     |G1V            |    ~     ~    
1273|BD-02 346                          |Star                                  |02 02 54.1481787360 -01 45 19.107415908|159.9596325282176 -59.3884037197325| -0.571 -11.168   |9.34     |K5             |    ~     ~    
1274|BD-02 347                          |Star                                  |02 02 54.3095469984 -01 52 26.331051180|160.0860815156061 -59.4881531375401| 26.397 -14.436   |9.91     |G0             |    ~     ~    
1275|BD-02 344                          |Star                                  |02 02 29.4426610512 -02 04 11.353693296|160.1218279100157 -59.7089441161933|  33.345 -8.311   |9.30     |~              |    ~     ~    
1276|BD-02 337                          |Star                                  |02 00 15.8347520568 -01 33 46.631817252|158.6569814152807 -59.5732457830185|  3.482 -10.713   |10.26    |~              |    ~     ~    
1277|TYC 4689-391-1                     |High Proper Motion Star               |02 00 20.4473266200 -01 45 08.737865856|158.8849072268294 -59.7249212615106|-17.186 -56.924   |10.54    |~              |    ~     ~    
1278|BD-02 339                          |Star                                  |02 00 55.9245760464 -01 51 37.433717532|159.2468499309090 -59.7392339862065|  13.872 -2.148   |9.89     |~              |    ~     ~    
1279|BD-01 275                          |Star                                  |02 01 00.5436377424 -00 22 03.343226880|157.7734969193392 -58.4522019473258|-12.598 -14.958   |10.2     |~              |    ~     ~    
1280|TYC 4689-193-1                     |Star                                  |02 00 26.2042314552 -02 20 14.064795744|159.5413834824913 -60.2093112771232|  37.439 11.754   |10.89    |~              |    ~     ~    
1281|TYC 4689-576-1                     |Star                                  |02 01 19.6675509816 -01 47 13.379544456|159.3365053354055 -59.6247405162822|  15.206 22.698   |10.97    |~              |    ~     ~    
1282|TYC 4689-707-1                     |Star                                  |02 03 35.6031744912 -00 46 19.931843352|159.2305452409494 -58.4638862046771|  14.406 -8.694   |10.7     |~              |    ~     ~    
1283|BD-03 313                          |Star                                  |02 06 09.5654526672 -02 23 12.848180352|161.9786333378814 -59.4699094931100|    4.611 3.286   |10.641   |~              |    ~     ~    
1284|HD 12924                           |Star                                  |02 06 28.0884553032 -02 14 08.180929320|161.9373762840368 -59.3013980179147| 12.305 -38.992   |8.50     |K0III          |    ~     ~    
1285|BD-02 365                          |High Proper Motion Star               |02 07 52.3255443504 -02 17 16.076383800|162.5607783496867 -59.1465594184770|  49.022 16.245   |9.878    |K0             |    ~     ~    
1286|BD-02 366                          |High Proper Motion Star               |02 07 59.9417140704 -02 17 34.737517572|162.6173810045983 -59.1327997295799| -16.792 66.028   |9.46     |G0             |    ~     ~    
1287|HD 13598                           |Star                                  |02 12 41.5981407504 -02 13 41.174480172|164.3883964624527 -58.4005556056290| 12.271 -20.326   |7.29     |K1III          |    ~     ~    
1288|* 62 Cet                           |High Proper Motion Star               |02 09 09.1308987792 -02 19 55.062536268|163.1204663937873 -59.0000717349605|-91.586 -45.316   |7.12     |F5V            |    ~     ~    
1289|BD-02 382                          |Star                                  |02 14 01.8434664216 -02 14 21.031575036|164.9130665789071 -58.2114443745427| 23.479 -39.141   |10.552   |~              |    ~     ~    
1290|BD-02 384                          |Star                                  |02 14 36.8463813624 -02 10 23.600715492|165.0601118233613 -58.0715683847730|    8.577 7.945   |9.64     |~              |    ~     ~    
1291|BD-03 316                          |Star                                  |02 07 44.2518840336 -02 18 54.814633524|162.5371939088982 -59.1882245553336| -2.854 -41.969   |10.11    |~              |    ~     ~    
1292|HD 12764                           |Star                                  |02 05 10.2797835264 -00 00 03.158074152|159.0978074928863 -57.6003959153179|  0.962 -24.760   |9.13     |K2III          |    ~     ~    
1293|* 61 Cet                           |Spectroscopic Binary                  |02 03 48.1635791160 -00 20 24.873842976|158.8843076674701 -58.0687086204450| 83.085 -45.554   |5.942    |G5IIIb+F5:IV   |    ~     ~    
1294|* 61 Cet B                         |High Proper Motion Star               |02 03 47.4896410848 -00 21 06.742153404|158.8912732287480 -58.0800917504182| 77.193 -44.559   |10.72    |~              |    ~     ~    
1295|BD-01 289                          |High Proper Motion Star               |02 05 38.6884410840 -00 56 43.279757124|160.2346915896580 -58.3369498108766|219.767 -66.833   |10.1     |G0             |    ~     ~    
1296|G 159-33                           |High Proper Motion Star               |02 03 50.9800794696 -00 32 21.031325808|159.1007528002513 -58.2320077862186|-34.782 -252.731  |10.78    |~              |    ~     ~    
1297|HD 12666                           |Star                                  |02 03 58.4921054064 -02 03 16.068998844|160.7212035145301 -59.4950588706745|   0.555 -1.148   |8.94     |F3V            |    ~     ~    
1298|BD-02 356                          |High Proper Motion Star               |02 05 05.1575452320 -01 58 56.094379464|161.0994982275543 -59.2825250398789|139.296 -12.729   |9.81     |G5             |    ~     ~    
1299|HD 12765                           |Star                                  |02 05 03.6081032064 -02 02 18.192640092|161.1495060195167 -59.3329394006487| -12.203 -8.008   |7.90     |K2III          |    ~     ~    
1300|BD-02 354                          |Star                                  |02 04 33.6694060584 -02 05 04.071960996|160.9948222323069 -59.4399871623242|    9.956 8.429   |9.51     |~              |    ~     ~    
1301|BD-02 352                          |Star                                  |02 04 06.5806040112 -01 24 05.991802848|160.0856893887907 -58.9280753538120|  1.694 -10.014   |10.22    |~              |    ~     ~    
1302|BD-00 320                          |Star                                  |02 07 14.9099447688 -00 12 19.710088236|160.1202268490604 -57.4976357264120| 14.870 -27.435   |10.02    |K0             |    ~     ~    
1303|HD 13043B                          |High Proper Motion Star               |02 07 32.3000558638 -00 35 49.219745754|160.6299307405556 -57.7876910015264|-248.540 -345.154 |10.447   |K7V            |    ~     ~    
1304|HD 13346                           |High Proper Motion Star               |02 10 24.3258612120 -00 05 32.178191208|161.2292080096555 -56.9727338353814|-25.566 -60.320   |9.071    |K0III          |    ~     ~    
1305|TYC 4690-174-1                     |High Proper Motion Star               |02 10 41.0134380360 -00 40 44.161294512|161.9378705644676 -57.4217571593940|  64.045 11.545   |10.7     |G0             |    ~     ~    
1306|BD-00 335                          |Star                                  |02 13 32.6484669816 -00 01 06.278910924|162.3405271079560 -56.4733482580371|  7.032 -33.535   |9.27     |K0             |    ~     ~    
1307|BD-01 291                          |Star                                  |02 07 05.6629592688 -01 17 34.845112680|161.1756825063926 -58.4308236033637| -12.771 -2.749   |10.67    |F8             |    ~     ~    
1308|HD 13043                           |High Proper Motion Star               |02 07 34.2728076780 -00 37 02.709423012|160.6637206945140 -57.8003386096962|-249.688 -344.629 |6.90     |G2V            |    ~     ~    
1309|HD 13139                           |Star                                  |02 08 27.2864036592 -00 25 09.478300764|160.8077089339563 -57.5137971369361|  15.920 16.897   |7.71     |K3/4III/IV     |    ~     ~    
1310|** STF 218B                        |Star                                  |02 08 42.1200324216 -00 26 14.859064716|160.9225015278452 -57.4951837421598|-42.989 -13.318   |9.2      |~              |    ~     ~    
1311|HD 13179                           |Star                                  |02 08 42.483 -00 26 13.35              |160.924429 -57.494005              |       4.5 -7.0   |7.8      |F0V            |    ~     ~    
1312|BD-01 299                          |Star                                  |02 09 48.3621840408 -00 58 03.129945348|161.9003135892250 -57.7837020292218|   11.287 5.533   |10.148   |K0             |    ~     ~    
1313|BD-01 300                          |Star                                  |02 10 28.0815374016 -00 39 01.779586776|161.8253739025204 -57.4283325206210|    6.562 9.160   |10.514   |F8             |    ~     ~    
1314|BD-01 301                          |Double or Multiple Star               |02 12 10.0223788920 -00 22 07.847277168|162.1827107830543 -56.9569059401827|   26.141 4.718   |9.872    |K0             |    ~     ~    
1315|BD-01 302                          |Chemically Peculiar Star              |02 12 10.9565751144 -01 04 35.731512444|162.9312240273673 -57.5373723563934|  6.693 -15.272   |10.03    |K0             |    ~     ~    
1316|BD-01 305                          |Star                                  |02 13 59.9126436600 -00 56 40.946899812|163.4787222392753 -57.1683214752661|   43.799 0.512   |10.631   |G5             |    ~     ~    
1317|BD-01 306                          |High Proper Motion Star               |02 14 40.2989460555 -01 12 05.123909214|164.0073807531060 -57.2792423980834|995.507 -80.301   |9.066    |G0             |    ~     ~    
1318|BD-02 371                          |Double or Multiple Star               |02 09 28.4350 -01 42 08.948            |162.5549204 -58.4375094            |   10.335 4.788   |10.730   |F8             |    ~     ~    
1319|BD-02 372                          |High Proper Motion Star               |02 09 34.7202395640 -01 40 11.032033404|162.5605480777358 -58.3956834796492|-34.966 -53.998   |9.94     |K0             |    ~     ~    
1320|BD-02 374                          |Star                                  |02 11 21.4661158032 -01 34 21.212707620|163.1480837339749 -58.0619002483422| -14.745 -9.636   |9.724    |F8             |    ~     ~    
1321|BD-02 376                          |Star                                  |02 11 40.5490616472 -01 35 41.650132776|163.2951935297751 -58.0344089372728| 22.397 -12.223   |10.615   |F5             |    ~     ~    
1322|BD-02 378                          |Star                                  |02 11 42.4927751688 -01 42 16.218330912|163.4273738900877 -58.1192202180912| 22.398 -44.789   |10.068   |F5             |    ~     ~    
1323|BD-02 381                          |Star                                  |02 13 37.5421419120 -01 29 17.198527524|163.9244972675037 -57.6646525020359|  -3.200 -4.994   |9.65     |K0             |    ~     ~    
1324|HD 12956                           |Star                                  |02 06 48.1759094280 -01 56 01.542042528|161.7433167023923 -59.0044045637693| 42.844 -19.658   |8.97     |F5V            |    ~     ~    
1325|HD 12974                           |Star                                  |02 06 56.0618492016 -01 49 25.264944228|161.6771429287837 -58.8947211685856| -18.821 -9.166   |7.48     |G8III/IV       |    ~     ~    
1326|BD-02 364                          |Double or Multiple Star               |02 07 15.329 -02 08 04.88              |162.144458 -59.107409              |      10.5 -1.0   |9.1      |F5             |    ~     ~    
1327|HD 13405                           |Star                                  |02 10 58.7341855872 -01 54 52.722309204|163.3755308779900 -58.3960324989074|  14.553 34.861   |9.32     |F2V            |    ~     ~    
1328|* 63 Cet                           |Horizontal Branch Star                |02 11 35.8349680056 -01 49 31.536924240|163.5172116552670 -58.2338798719620|-11.171 -31.922   |5.933    |K0III          |    ~     ~    
1329|HD 13486                           |High Proper Motion Star               |02 11 37.5530792568 -02 01 26.315475024|163.7477946386755 -58.3913688857023|-81.035 -98.259   |8.79     |F5/7           |    ~     ~    
1330|BD-02 367                          |Star                                  |02 08 02.8923696792 -02 03 21.593919816|162.3757770590219 -58.9306683721285|  48.131 -3.023   |10.46    |~              |    ~     ~    
1331|BD-02 370                          |Star                                  |02 09 10.4727333600 -01 57 54.408012300|162.7234354579528 -58.6960554330991| -1.778 -18.740   |9.948    |~              |    ~     ~    
1332|G 159-40                           |High Proper Motion Star               |02 08 40.0879459127 -00 21 35.618611805|160.8303953424022 -57.4348970876709|447.060 -98.408   |10.897   |K5V            |    ~     ~    
1333|BD-02 363                          |Star                                  |02 07 04.2372057168 -01 33 34.646499504|161.4485946040780 -58.6562875287129| 21.251 -26.776   |10.42    |~              |    ~     ~    
1334|BD-01 294                          |Star                                  |02 07 49.9528601496 -01 04 57.532415340|161.2477939963963 -58.1535915167901|  4.708 -14.108   |10.11    |~              |    ~     ~    
1335|TYC 4689-746-1                     |High Proper Motion Star               |02 09 07.9153418136 -00 36 24.679882872|161.2632838845993 -57.5775616832862|   68.105 3.491   |10.24    |~              |    ~     ~    
1336|TYC 4689-80-1                      |Star                                  |02 06 01.1054639016 -01 14 10.294778292|160.6858427623792 -58.5306816704044| 17.168 -30.238   |10.68    |~              |    ~     ~    
1337|TYC 4689-281-1                     |Star                                  |02 09 03.0120643536 -02 18 56.982588336|163.0619850562141 -59.0014992109785|   -2.270 5.904   |10.58    |~              |    ~     ~    
1338|TYC 4689-299-1                     |Star                                  |02 08 12.2040872064 -02 05 22.251624648|162.4744874748190 -58.9363292252786| 41.267 -17.296   |10.910   |~              |    ~     ~    
1339|TYC 4689-325-1                     |Star                                  |02 06 17.7464719368 -01 42 39.898840068|161.2992595151246 -58.8896104370764|   24.709 6.226   |10.80    |~              |    ~     ~    
1340|TYC 4689-390-1                     |Star                                  |02 08 18.5493405744 -01 43 09.805371024|162.1133167151623 -58.6159579478742|   23.373 4.816   |9.942    |~              |    ~     ~    
1341|TYC 4689-418-1                     |Star                                  |02 05 13.1171551464 -01 50 05.293399776|160.9952672782461 -59.1411312719817|  6.577 -20.552   |10.17    |~              |    ~     ~    
1342|TYC 4689-568-1                     |Star                                  |02 04 38.0040034896 -01 58 10.718704776|160.9007932949441 -59.3340781053357|   8.899 -6.033   |10.78    |~              |    ~     ~    
1343|TYC 4689-609-1                     |Star                                  |02 04 10.1625136536 -01 40 56.891745732|160.4047100219364 -59.1564257693714|   11.076 2.531   |10.02    |~              |    ~     ~    
1344|TYC 4689-738-1                     |Star                                  |02 03 52.7098393368 -00 17 25.483861716|158.8656409920182 -58.0163226994547|   7.679 -6.086   |9.96     |~              |    ~     ~    
1345|TYC 4689-810-1                     |Star                                  |02 05 05.3367979656 -00 54 51.062508216|159.9794246510086 -58.3854035098163|   25.161 9.390   |10.9     |~              |    ~     ~    
1346|TYC 4689-812-1                     |Star                                  |02 04 41.8593938784 -00 00 14.342613228|158.9124539246065 -57.6650981055333|   4.161 -7.533   |10.8     |~              |    ~     ~    
1347|TYC 4689-863-1                     |High Proper Motion Star               |02 07 39.3012075888 -00 01 31.127143908|160.0994178471799 -57.2910897267901| 53.519 -28.559   |10.814   |~              |    ~     ~    
1348|TYC 4689-975-1                     |Star                                  |02 08 23.8558375872 -00 24 06.542354736|160.7676421356687 -57.5069597124535|   6.576 -8.375   |10.8     |~              |    ~     ~    
1349|TYC 4689-1174-1                    |Star                                  |02 04 03.1180745664 -01 07 41.680598232|159.7792606726329 -58.7049322254541|  20.178 14.393   |10.31    |~              |    ~     ~    
1350|TYC 4689-1186-1                    |High Proper Motion Star               |02 04 50.0885724936 -00 15 43.401406464|159.2211034532643 -57.8667783697155|-17.259 -64.218   |10.45    |~              |    ~     ~    
1351|TYC 4690-144-1                     |Star                                  |02 11 57.9988826376 -00 39 12.816039348|162.4023791873402 -57.2202041997980|  -2.057 19.072   |10.8     |~              |    ~     ~    
1352|TYC 4690-878-1                     |High Proper Motion Star               |02 12 39.3338268240 -02 12 54.771989184|164.3593635720519 -58.3957011892978|-59.240 -79.448   |10.9     |~              |    ~     ~    
1353|HD 13361                           |High Proper Motion Star               |02 09 30.2420139048 -41 23 14.231376960|259.6301483212214 -68.5643023681051|  88.219 40.246   |8.25     |G3IV           |    ~     ~    
1354|HD 13601                           |Star                                  |02 11 35.9310765384 -41 52 10.429418064|260.0741251589092 -67.9653060806707| -23.209 -0.221   |9.35     |F6V            |    ~     ~    
1355|CD-41 579                          |Star                                  |02 04 49.6016174904 -40 44 01.536142812|259.5966540434740 -69.6617108904805|  -5.309 -7.988   |10.950   |~              |    ~     ~    
1356|CD-41 582                          |High Proper Motion Star               |02 06 29.2659960912 -40 51 14.151822048|259.3460065441134 -69.3367899021386|  78.043 -3.161   |10.39    |~              |    ~     ~    
1357|CD-42 753                          |Star                                  |02 13 20.4033838656 -42 18 01.054756800|260.5000049513822 -67.4516911930847| -4.416 -24.541   |10.616   |~              |    ~     ~    
1358|CD-42 756                          |Double or Multiple Star               |02 13 44.553960 -42 04 30.42732        |259.907887483 -67.521406667        |      49.3 32.7   |10.328   |~              |    ~     ~    
1359|CD-42 744                          |Star                                  |02 10 58.9323738816 -42 01 49.204383276|260.6004365268971 -67.9638631853664| -12.370 -0.117   |10.774   |~              |    ~     ~    
1360|HD 13444                           |Star                                  |02 10 23.6882882160 -40 21 20.199357036|257.0116691758267 -69.0060128410942|    8.030 6.279   |9.63     |G3V            |    ~     ~    
1361|HD 13753                           |High Proper Motion Star               |02 13 00.1313692752 -40 00 20.490561828|255.4547631781942 -68.7693684384257|56.809 -206.135   |8.69     |K1IV           |    ~     ~    
1362|CD-40 571                          |Star                                  |02 13 55.3211069184 -40 16 35.283302796|255.8403778881717 -68.4787332740161| -9.383 -37.694   |10.471   |~              |    ~     ~    
1363|CD-40 573                          |High Proper Motion Star               |02 14 27.0860681424 -39 48 43.908909408|254.6069636920875 -68.6285525500760|   63.394 7.974   |10.770   |K0             |    ~     ~    
1364|HD 13387                           |Spectroscopic Binary                  |02 09 48.4694051712 -40 51 59.392401516|258.3652193102059 -68.8156792616531| 48.613 -21.406   |6.49     |F3V            |    ~     ~    
1365|HD 13587                           |Double or Multiple Star               |02 11 32.554 -41 08 25.61              |258.481277 -68.390975              |       18.1 1.0   |10.1     |F7/8V          |    ~     ~    
1366|CD-41 609                          |Star                                  |02 12 43.5172020072 -40 32 10.265776080|256.7705908753352 -68.5352935479368|  20.719 30.621   |10.476   |G5             |    ~     ~    
1367|HD 13742                           |Star                                  |02 12 50.5424942064 -41 15 54.669065148|258.3913878622725 -68.1185326602072|  23.058 19.573   |8.50     |K0III          |    ~     ~    
1368|HD 13940                           |Star                                  |02 14 31.9450100712 -41 10 00.346250820|257.7046806774507 -67.9073432133512|-21.652 -25.234   |5.907    |G8III          |    ~     ~    
1369|HD 13947                           |Star                                  |02 14 44.8584542832 -40 42 00.032735880|256.5938038751369 -68.1231535491833|-14.326 -41.331   |8.97     |G8III          |    ~     ~    
1370|HD 13981                           |Spectroscopic Binary                  |02 14 48.9266258880 -41 23 37.925654316|258.1316908542040 -67.7387467347997|   21.309 1.004   |10.15    |F8/G0V         |    ~     ~    
1371|HD 13754                           |Spectroscopic Binary                  |02 12 57.5988733728 -41 26 56.235928596|258.7659950570770 -67.9974373201013|  23.254 41.066   |9.02     |F7V            |    ~     ~    
1372|HD 13850                           |Star                                  |02 13 50.8343223336 -41 44 34.570198536|259.1622787867210 -67.6947628630542|  29.109 25.230   |9.22     |K1III          |    ~     ~    
1373|HD 13889                           |High Proper Motion Star               |02 14 10.7237344392 -41 42 46.886459076|259.0054584853795 -67.6605244557328|47.955 -169.849   |9.820    |F8IV           |    ~     ~    
1374|HD 14006                           |Star                                  |02 14 59.4348841176 -41 38 07.115329788|258.6137914176380 -67.5781681627585|-26.473 -33.485   |9.73     |G8/K0III       |    ~     ~    
1375|HD 13838                           |Variable Star                         |02 13 46.0704526416 -41 46 31.755882360|259.2550598407655 -67.6885598170091|    5.322 6.244   |9.54     |A6V            |    ~     ~    
1376|CD-41 589                          |Double or Multiple Star               |02 08 31.1894843448 -40 28 17.656952088|257.8358133061141 -69.2396076604309|-19.199 -10.915   |10.944   |~              |    ~     ~    
1377|CD-40 562                          |Star                                  |02 11 41.8143776736 -40 05 50.701590564|256.0330425243366 -68.9345386439521|  5.100 -42.224   |10.934   |~              |    ~     ~    
1378|CD-41 610                          |Star                                  |02 12 45.0785944776 -41 01 37.715756124|257.8833821450768 -68.2646187050940|  17.759 24.401   |10.866   |~              |    ~     ~    
1379|CD-41 612                          |Star                                  |02 12 45.4459600944 -41 24 51.150234780|258.7461942011661 -68.0483658738180|   14.923 1.694   |10.71    |~              |    ~     ~    
1380|CD-41 614                          |Spectroscopic Binary                  |02 12 56.2257367536 -40 46 27.343697916|257.2580089128105 -68.3732635627634|  24.552 15.509   |10.59    |~              |    ~     ~    
1381|CD-41 615                          |Star                                  |02 13 10.4586973152 -40 40 01.489866384|256.9471897333177 -68.3931825171216|-13.303 -12.744   |10.870   |~              |    ~     ~    
1382|CD-41 616                          |Star                                  |02 13 37.6081451136 -40 49 46.458951060|257.1931963156748 -68.2335454539909|-14.661 -12.524   |10.89    |~              |    ~     ~    
1383|CD-40 570                          |Spectroscopic Binary                  |02 13 38.5495440840 -40 21 57.276907056|256.1241453953127 -68.4775024850750|  9.195 -12.197   |10.517   |~              |    ~     ~    
1384|CD-41 617                          |Star                                  |02 13 51.5838697896 -41 07 36.639508872|257.7995202562631 -68.0352697818283|  28.103 -5.063   |10.919   |~              |    ~     ~    
1385|CD-41 620                          |Spectroscopic Binary                  |02 14 24.7869904776 -41 11 58.280763048|257.8102376421957 -67.9083301763194|  35.144 20.782   |10.48    |~              |    ~     ~    
1386|CD-42 750                          |Star                                  |02 12 55.1289252576 -41 28 02.848793016|258.8184096173889 -67.9934135882443|   -5.487 2.328   |10.01    |~              |    ~     ~    
1387|TYC 7554-506-1                     |Star                                  |02 14 35.7568287864 -41 57 01.505728944|259.4040758810835 -67.4624152544599|  10.756 14.707   |10.79    |~              |    ~     ~    
1388|CD-46 659                          |Star                                  |02 14 40.0845395040 -46 02 33.123141060|267.3622795759799 -64.9195482607442|   0.326 26.311   |10.43    |~              |    ~     ~    
1389|TYC 8042-1068-1                    |Star                                  |02 13 43.5433241520 -45 43 14.873521656|267.0511812010458 -65.2560584395438|  42.340 17.326   |10.734   |~              |    ~     ~    
1390|HD 12688                           |Star                                  |02 03 10.9841190792 -43 36 27.824152464|266.2831156407969 -68.0640786344809|  16.133 16.131   |9.30     |F5V            |    ~     ~    
1391|HD 12808                           |High Proper Motion Star               |02 04 24.5798837904 -43 30 27.686418768|265.6853988633927 -67.9675157643928|  54.513 -5.318   |7.80     |G0V            |    ~     ~    
1392|HD 13234                           |High Proper Motion Star               |02 08 04.4072990064 -44 21 17.187010200|266.1781446516881 -66.9106709323562| 58.024 -16.943   |9.67     |G3V            |    ~     ~    
1393|HD 13290                           |Star                                  |02 08 41.7570885312 -44 29 30.938916264|266.2494202867895 -66.7363801117144|  24.506 -1.969   |8.45     |K3III          |    ~     ~    
1394|HD 13489                           |Star                                  |02 10 34.2275552952 -44 47 54.960575460|266.2682363763797 -66.2834388388039|-25.164 -36.875   |9.40     |F7/8V          |    ~     ~    
1395|HD 13602                           |Spectroscopic Binary                  |02 11 28.7815490208 -45 21 03.583290420|267.0195130658689 -65.7957580647669| 218.923 26.830   |8.52     |F6V            |    ~     ~    
1396|HD 13711                           |High Proper Motion Star               |02 12 22.8518263944 -45 07 48.701396136|266.3595893920174 -65.8239498728807| 107.344 11.844   |9.11     |G8III          |    ~     ~    
1397|HD 13756                           |Star                                  |02 12 47.8726870344 -45 12 56.660992812|266.3982372750770 -65.7122905170376|-11.807 -11.858   |9.17     |K2III          |    ~     ~    
1398|CD-44 611                          |High Proper Motion Star               |02 06 22.1049204168 -44 05 34.234225404|266.2035371008104 -67.3129389871755|  64.293 -8.889   |10.43    |~              |    ~     ~    
1399|CD-45 708                          |Star                                  |02 12 07.8619817880 -45 11 58.163460468|266.5575808644218 -65.8111867432462| 20.053 -16.328   |10.10    |~              |    ~     ~    
1400|HD 13280                           |Star                                  |02 08 38.6115098472 -43 16 02.409821364|263.8763068494264 -67.5426791884107|  -4.451 -6.933   |8.78     |K1/2II         |    ~     ~    
1401|HD 13695                           |Star                                  |02 12 19.5041761488 -42 57 41.902301304|262.1666499650113 -67.2075136730865|-37.612 -23.443   |9.873    |F7V            |    ~     ~    
1402|HD 13948                           |High Proper Motion Star               |02 14 34.8339857376 -42 57 54.513894888|261.5379448050375 -66.8756334806055|  36.869 43.223   |9.81     |G6III/IV       |    ~     ~    
1403|HD 13336                           |High Proper Motion Star               |02 09 09.2923630368 -43 30 59.742871920|264.2207871409044 -67.3118651129830|-47.740 -52.006   |5.830    |K1III          |    ~     ~    
1404|CD-44 647p                         |Star                                  |02 11 40.4 -43 34 33                   |263.5943 -66.9215                  |            ~ ~   |8.6      |~              |    ~     ~    
1405|CD-44 647s                         |Star                                  |02 11 40.4 -43 34 36                   |263.5959 -66.9209                  |            ~ ~   |9.3      |~              |    ~     ~    
1406|HD 13617                           |Star                                  |02 11 40.3845823296 -43 34 39.223343280|263.5977672604407 -66.9204078846672|  -1.858 -5.662   |8.91     |K1/2III        |    ~     ~    
1407|HD 13640                           |Star                                  |02 11 52.5994906272 -43 28 21.662435856|263.3299412653642 -66.9572167423133|   4.532 -3.556   |8.83     |K1/2II         |    ~     ~    
1408|HD 14007                           |High Proper Motion Star               |02 14 59.4579990216 -43 33 17.429668344|262.6148995844560 -66.4616035535434|  54.390 21.530   |8.73     |K0III          |    ~     ~    
1409|HD 13423                           |High Proper Motion Star               |02 10 04.8109402296 -43 48 56.068648524|264.5345935356719 -66.9916407122069|  53.699 -8.827   |6.322    |G8III          |    ~     ~    
1410|HD 13537                           |Star                                  |02 10 55.1981111928 -43 48 25.322577516|264.2702842756829 -66.8807152726667|  10.017 -2.138   |8.91     |K0III          |    ~     ~    
1411|HD 13710                           |Spectroscopic Binary                  |02 12 25.1564373024 -44 22 05.682216540|264.9225145534682 -66.3147296408538|  -5.005 -6.616   |8.32     |K4/5III        |    ~     ~    
1412|HD 13877                           |Star                                  |02 13 53.4443429880 -44 16 17.601041352|264.3214782188625 -66.1733255960761|-16.494 -13.295   |9.900    |F0V            |    ~     ~    
1413|V* CV Phe                          |delta Sct Variable                    |02 12 47.0859332544 -44 29 20.456479752|265.0482454591331 -66.1871391793814|    9.281 8.911   |7.83     |F1VkA8mA8(_lB) |    ~     ~    
1414|HD 13964                           |Spectroscopic Binary                  |02 14 38.9273135256 -44 33 40.439971080|264.6630874525592 -65.8852709654892|  71.667 44.045   |8.92     |F5V            |    ~     ~    
1415|CD-43 641                          |Star                                  |02 06 39.4326253032 -43 17 20.435605224|264.5330927942245 -67.8052130274935|   17.917 9.004   |10.15    |~              |    ~     ~    
1416|CD-44 627                          |Star                                  |02 08 38.3392063536 -43 48 12.445502940|264.9430211915927 -67.1977522474448| 31.421 -25.877   |10.715   |~              |    ~     ~    
1417|CD-43 653                          |Star                                  |02 08 45.9681403464 -43 05 13.751877372|263.4740290773947 -67.6398831740620|  7.561 -16.051   |10.737   |~              |    ~     ~    
1418|CD-44 631                          |High Proper Motion Star               |02 08 55.5544217112 -43 59 51.596052000|265.2347262212330 -67.0318613456897| 43.296 -52.058   |10.426   |~              |    ~     ~    
1419|CD-45 697                          |Star                                  |02 10 41.8932435768 -44 27 00.578398464|265.5760264559903 -66.4957277898388|   14.062 5.745   |10.27    |~              |    ~     ~    
1420|CD-45 715                          |Star                                  |02 13 02.9088659256 -44 45 33.198746616|265.4828367981482 -65.9769748499374|    7.312 8.436   |10.802   |~              |    ~     ~    
