C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
49  |HD 13536                           |Spectroscopic Binary                  |02 11 13.3665760632 -38 04 53.372471916|251.1625921444632 -70.0112003903995| 162.950 62.576   |9.78     |G3V            |    ~     ~    
50  |HD 13769                           |High Proper Motion Star               |02 13 11.6337501720 -37 46 18.435769176|249.8500241829504 -69.8022043306384|-44.013 -108.413  |9.64     |F7V            |    ~     ~    
51  |HD 13849                           |Star                                  |02 13 59.4212258040 -38 11 06.772996464|250.7176426595697 -69.4790202338091|   8.684 10.155   |10.18    |G6/8(III)      |    ~     ~    
52  |HD 13146                           |Star                                  |02 07 35.0471755752 -39 23 34.335291156|255.5207646370775 -69.9781230572485|   11.610 0.368   |8.95     |K1III          |    ~     ~    
53  |CD-39 635                          |Star                                  |02 09 54.2469358656 -39 06 10.305749952|254.1246688913296 -69.7439880452381|  31.900 -7.339   |10.44    |F5             |    ~     ~    
54  |HD 13396                           |Star                                  |02 09 59.7759088176 -39 15 31.429705284|254.4855706169205 -69.6494815053027|  -3.762 -5.840   |9.43     |G8IV           |    ~     ~    
55  |HD 13487                           |Star                                  |02 10 50.8340245824 -39 08 12.675437592|253.9446371917982 -69.5687752259570|   18.424 1.818   |8.84     |K5III          |    ~     ~    
56  |HD 13514                           |Star                                  |02 11 01.2946654536 -39 19 34.753771596|254.3638059467961 -69.4442697520072|   19.404 1.175   |9.67     |G0V            |    ~     ~    
57  |HD 13525                           |Star                                  |02 11 05.0353152720 -38 34 20.711600544|252.4618768194343 -69.8049368393992|  -1.616 -6.901   |10.382   |F3IV           |    ~     ~    
58  |HD 13694                           |Star                                  |02 12 35.1438112320 -38 41 11.969776284|252.3492654424615 -69.4926181131444|   15.195 2.140   |9.99     |G8IV           |    ~     ~    
59  |HD 13795                           |High Proper Motion Star               |02 13 25.1176377240 -38 37 24.148426476|251.9727672667507 -69.3787920175461|  80.755 80.559   |10.378   |G0/1V          |    ~     ~    
60  |HD 13861                           |Star                                  |02 14 05.8623041880 -38 26 55.587580260|251.3595661613443 -69.3413768734171|-34.003 -28.590   |10.05    |F7V            |    ~     ~    
61  |HD 13924                           |Star                                  |02 14 30.1580288880 -39 21 21.412256040|253.4991019260048 -68.8450014684818|  -14.807 4.586   |9.89     |K1/2           |    ~     ~    
62  |HD 13980                           |High Proper Motion Star               |02 14 54.5869951608 -39 04 19.065004320|252.7024935169067 -68.9118380875209|  51.007 26.457   |9.52     |G0V            |    ~     ~    
63  |V* CF Phe                          |Long-Period Variable                  |02 06 14.3629960992 -39 32 20.025540852|256.2902790634813 -70.1186067863534| -0.245 -10.243   |7.10     |M3III          |    ~     ~    
64  |HD 13888                           |Star                                  |02 14 16.8931579464 -39 31 32.390372604|253.9666834725262 -68.7992682719778| -7.660 -17.521   |10.50    |F2V            |    ~     ~    
65  |CD-40 556                          |Star                                  |02 09 24.9584645280 -39 57 41.898363804|256.3636172817086 -69.3764093525848|    8.424 0.803   |10.713   |~              |    ~     ~    
66  |CD-39 634                          |High Proper Motion Star               |02 09 23.3601455334 -39 00 26.979317836|254.0324514370348 -69.8784113475430|54.593 -420.237   |10.92    |~              |    ~     ~    
67  |CD-40 549                          |Star                                  |02 07 20.9711682432 -39 50 49.479581832|256.7036936998707 -69.7714972474047|  1.783 -27.513   |10.460   |~              |    ~     ~    
68  |CD-39 627                          |Star                                  |02 07 29.4517777176 -39 04 25.314200796|254.7516490438960 -70.1610540948583|   11.436 8.657   |10.23    |~              |    ~     ~    
69  |CD-38 720                          |High Proper Motion Star               |02 09 43.2271757592 -38 06 13.906452636|251.6251377536371 -70.2625440431034|-21.638 -54.944   |10.298   |~              |    ~     ~    
70  |CD-38 750                          |Double or Multiple Star               |02 13 56.3311536336 -37 43 26.363017200|249.5415954368805 -69.6900861988952|   3.778 -3.834   |10.251   |~              |    ~     ~    
71  |CD-37 846                          |Star                                  |02 14 24.8533639872 -37 12 13.126876272|248.0613444452973 -69.8217096863267|   3.912 12.653   |10.79    |~              |    ~     ~    
72  |CD-39 629                          |Star                                  |02 07 37.6787663856 -39 16 32.287533600|255.2165036303795 -70.0328279450273|  -2.813 11.637   |10.79    |~              |    ~     ~    
73  |CD-38 722                          |Star                                  |02 10 04.1768236344 -38 13 21.989559792|251.8394363779752 -70.1459970914799|  7.228 -20.595   |9.82     |~              |    ~     ~    
74  |CD-38 724                          |Star                                  |02 10 41.5214217432 -37 36 00.262603224|250.0363857323886 -70.3222532292752|    1.658 3.459   |10.71    |~              |    ~     ~    
75  |CD-40 563                          |Star                                  |02 12 25.7447684304 -39 28 26.573635524|254.3370719875527 -69.1349699824382|   0.289 -0.359   |10.77    |~              |    ~     ~    
76  |CD-39 647                          |Star                                  |02 13 11.5705381176 -38 54 06.505140816|252.7271980722504 -69.2862584410568|  22.927 -6.394   |10.87    |~              |    ~     ~    
77  |CD-39 649                          |Star                                  |02 13 28.4988209544 -39 07 26.674570776|253.2021784167895 -69.1313981878021| 41.378 -11.049   |10.42    |~              |    ~     ~    
78  |CD-38 746                          |Spectroscopic Binary                  |02 13 39.5293671216 -37 29 01.429855224|248.9811101077897 -69.8424866957831|-50.210 -63.405   |10.50    |~              |    ~     ~    
79  |CD-38 751                          |Star                                  |02 13 58.3682294352 -37 35 24.131148468|249.1838466419389 -69.7411416819029|   18.833 1.101   |10.656   |~              |    ~     ~    
80  |CD-38 753                          |Star                                  |02 14 40.1514993312 -38 17 33.624902904|250.8218445029524 -69.3117763583438|   2.588 -7.234   |10.75    |~              |    ~     ~    
81  |CD-39 658                          |Star                                  |02 14 46.7185543464 -39 01 23.378499768|252.6162952177495 -68.9573353164524|   15.150 4.596   |10.678   |~              |    ~     ~    
82  |TYC 7550-506-1                     |Spectroscopic Binary                  |02 05 19.2612880776 -38 12 11.247212232|253.1531990398424 -70.9701877677466|  28.209 12.137   |10.85    |~              |    ~     ~    
83  |TYC 7550-820-1                     |Star                                  |02 08 38.5301906616 -38 35 07.064547144|253.1741661226376 -70.2155586089432|  13.652 -6.471   |10.92    |~              |    ~     ~    
84  |HD 12668                           |Star                                  |02 03 11.9144353320 -35 16 38.885783700|245.3757095757259 -72.6644724557458|   32.758 3.716   |10.06    |F3V            |    ~     ~    
85  |HD 12417                           |High Proper Motion Star               |02 00 55.0267845168 -35 39 24.781368312|247.1883766139753 -72.9336088713478|  55.287 28.813   |9.11     |F6V            |    ~     ~    
86  |HD 12487                           |High Proper Motion Star               |02 01 35.0633734416 -35 44 41.732808792|247.2636996428459 -72.7735767694455| 65.446 -59.557   |9.50     |G0/1V          |    ~     ~    
87  |CD-36 768                          |Star                                  |02 02 01.2011320008 -35 27 07.836648048|246.2391888668656 -72.8148543923556|  26.016 -9.840   |10.397   |K0             |    ~     ~    
88  |HD 12657                           |High Proper Motion Star               |02 03 08.0383450920 -35 55 34.395322008|247.3683404819114 -72.4122976375307| 66.894 -96.735   |10.10    |G3V            |    ~     ~    
89  |CD-37 779                          |Star                                  |02 01 36.0 -36 44 00                   |250.2090 -72.3294                  |            ~ ~   |9.94     |~              |    ~     ~    
90  |HD 12630                           |Star                                  |02 02 50.9449432200 -36 55 01.820768628|250.3578440650223 -72.0224963369025| 19.349 -16.943   |9.55     |G8III          |    ~     ~    
91  |HD 12644                           |Star                                  |02 02 57.9966070992 -36 48 21.848539536|250.0034127205729 -72.0533127044304|   17.488 1.768   |10.22    |G8(III)        |    ~     ~    
92  |HD 12704                           |Star                                  |02 03 32.6487994416 -37 11 59.632734192|250.9502306905354 -71.7670072748388|  6.842 -33.437   |8.28     |F2IV/V         |    ~     ~    
93  |CD-38 678                          |Star                                  |02 00 50.7995944032 -37 50 22.550770500|253.5842755075614 -71.9135037016751|   9.715 -9.422   |9.96     |~              |    ~     ~    
94  |CD-35 720                          |Star                                  |02 03 38.3479871688 -35 11 28.422264984|244.9922669814626 -72.6150691227401|  11.540 -4.283   |10.996   |~              |    ~     ~    
95  |CD-37 770                          |Star                                  |02 00 10.1766609456 -36 47 58.006692924|250.8524836230652 -72.5502110628676|   20.480 4.858   |10.59    |~              |    ~     ~    
96  |CD-37 776                          |Spectroscopic Binary                  |02 01 07.1074337544 -36 44 27.811835808|250.3812647912218 -72.4109481344060|70.341 -107.202   |10.65    |~              |    ~     ~    
97  |CD-37 782                          |Star                                  |02 02 53.3963 -37 22 14.549            |251.6293911 -71.7991220            | -15.613 -8.956   |10.91    |~              |    ~     ~    
98  |TYC 7008-885-1                     |Star                                  |02 01 57.8916400152 -35 19 43.970073492|245.8724380736983 -72.8750733872402|  37.977 14.170   |10.758   |~              |    ~     ~    
99  |TYC 7550-243-1                     |Star                                  |02 03 03.8053649880 -37 42 16.773515820|252.5015300485419 -71.6048689755028|  46.804 -1.422   |10.790   |~              |    ~     ~    
