C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
44   |HD 60085                                                                                                 |Star                                  |07 32 48.2786156112 -01 48 23.674095288|219.3079252951474 +08.3554807463545|  -22.792 6.181   |8.41     |F6V                  |    ~     ~          |    1|  130.261   pc  |  -0.3512     +0.3512    |paral   |2020yCat.1350....0G
45   |HD 60086                                                                                                 |Star                                  |07 32 49.3495871016 -02 02 03.745905540|219.5137169727281 +08.2532802508627|-27.429 -11.767   |6.82     |B9IV                 |    ~     ~          |    1|  134.720   pc  |  -0.6262     +0.6262    |paral   |2020yCat.1350....0G
46   |BD-01 1758                                                                                               |Star                                  |07 33 17.3095124424 -01 36 43.300421568|219.1907803175187 +08.5530699596444|   -0.263 8.557   |9.10     |F0                   |    ~     ~          |    1|  319.581   pc  |  -1.6545     +1.6545    |paral   |2020yCat.1350....0G
47   |BD-01 1764                                                                                               |Star                                  |07 34 05.0100004944 -01 20 44.599609392|219.0458725004843 +08.8528653808256|-16.864 -13.857   |8.83     |K0                   |    ~     ~          |    1|  416.441   pc  | -10.7349    +10.7349    |paral   |2020yCat.1350....0G
48   |HD 60442                                                                                                 |Star                                  |07 34 19.5529602624 -01 19 06.065292216|219.0498796902859 +08.9192229585057| -30.599 -3.526   |7.54     |K0III                |    ~     ~          |    1|  238.220   pc  |  -3.5127     +3.5127    |paral   |2020yCat.1350....0G
49   |BD-01 1770                                                                                               |Star                                  |07 35 20.4775304544 -01 47 22.102023228|219.5915253193398 +08.9242029812845|   -4.031 3.818   |9.64     |A2                   |    ~     ~          |    1|  539.374   pc  |  -6.7495     +6.7495    |paral   |2020yCat.1350....0G
50   |BD-01 1771                                                                                               |Star                                  |07 35 47.7018429864 -01 36 42.005473992|219.4858628720086 +09.1074519268986|  -0.990 -0.961   |9.70     |G5                   |    ~     ~          |    1|  626.135   pc  |  -6.1159     +6.1159    |paral   |2020yCat.1350....0G
51   |BD-01 1773                                                                                               |Star                                  |07 36 13.4587947960 -01 20 29.692891140|219.2944886573322 +09.3282973402691|   -3.076 2.301   |10.70    |A2                   |    ~     ~          |    1|  668.673   pc  | -13.3243    +13.3243    |paral   |2020yCat.1350....0G
52   |HD 60870                                                                                                 |Star                                  |07 36 29.2052130432 -01 54 03.233114532|219.8266407458711 +09.1252418321325|   -4.857 4.626   |8.99     |A1III/IV             |    ~     ~          |    1|  296.965   pc  |  -1.9578     +1.9578    |paral   |2020yCat.1350....0G
53   |BD-01 1776                                                                                               |Double or Multiple Star               |07 36 50.152464 -01 39 40.33332        |219.653236505 +09.314362882        |      -7.4 -4.5   |9.977    |A2                   |    ~     ~          |    0|                |                         |        |                   
