C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
4244 |IRAS 07308-3311                                                                                          |Long-Period Variable Candidate        |07 32 43.6394102904 -33 17 47.600673036|247.0378858425278 -06.7206261920835|   -1.737 1.213   |10.39    |M5                   |    ~     ~          |    1| 2403.85    pc  |-117.303    +117.303     |paral   |2020yCat.1350....0G
4245 |TYC 7109-1661-1                                                                                          |Star                                  |07 37 42.1629930456 -33 06 23.410759140|247.3691117627857 -05.7151773236975|   -2.115 4.530   |10.56    |~                    |    ~     ~          |    1|  835.911   pc  |  -9.3632     +9.3632    |paral   |2020yCat.1350....0G
4246 |TYC 7109-1676-1                                                                                          |Pulsating Variable                    |07 33 52.2835773312 -32 20 22.269642612|246.3043814585697 -06.0555469984340|   -3.692 7.024   |9.85     |~                    |    ~     ~          |    1|  837.100   pc  |  -8.4789     +8.4789    |paral   |2020yCat.1350....0G
4247 |TYC 7109-1699-1                                                                                          |Star                                  |07 32 54.9955129080 -33 07 10.720136424|246.8997070813065 -06.6021842572006|  -5.627 -4.998   |10.04    |~                    |    ~     ~          |    1|  430.849   pc  | -14.5534    +14.5534    |paral   |2020yCat.1350....0G
4248 |TYC 7109-1718-1                                                                                          |Star                                  |07 34 10.2409280304 -32 42 39.044916864|246.6630726993811 -06.1766435791542|   -8.382 3.935   |9.71     |~                    |    ~     ~          |    1|  895.736   pc  | -22.7866    +22.7866    |paral   |2020yCat.1350....0G
4249 |TYC 7109-1773-1                                                                                          |Star                                  |07 32 24.2273530080 -33 10 27.399374364|246.8971869354713 -06.7226006221042|   -5.424 2.607   |10.841   |~                    |    ~     ~          |    1| 1013.380   pc  | -50.2300    +50.2300    |ST-L    |2020AJ....160...83S
4250 |TYC 7109-1800-1                                                                                          |Star                                  |07 32 02.2196246760 -32 25 45.582120300|246.1993739533675 -06.4391505016320|   -7.060 7.651   |10.47    |~                    |    ~     ~          |    1|  601.938   pc  | -12.8989    +12.8989    |paral   |2020yCat.1350....0G
4251 |TYC 7109-1818-1                                                                                          |Star                                  |07 37 27.2895715704 -32 39 20.940509052|246.9470887824004 -05.5436047597231|   -4.699 4.622   |10.93    |~                    |    ~     ~          |    1| 1082.954   pc  | -18.9992    +18.9992    |paral   |2020yCat.1350....0G
4252 |TYC 7109-1819-1                                                                                          |Spectroscopic Binary                  |07 32 04.6649501064 -33 12 58.555294920|246.9021210244469 -06.8025464951270| -19.086 35.121   |10.66    |~                    |    ~     ~          |    1|  216.366   pc  |  -1.9990     +1.9990    |paral   |2020yCat.1350....0G
4253 |TYC 7109-1900-1                                                                                          |Star                                  |07 34 34.2661095768 -32 16 30.306672300|246.3182136841975 -05.8948567885471|   2.556 -6.782   |10.07    |~                    |    ~     ~          |    1|  794.597   pc  |  -7.1346     +7.1346    |paral   |2020yCat.1350....0G
4254 |TYC 7109-2010-1                                                                                          |Star                                  |07 37 28.0266522576 -32 24 08.630676828|246.7252996930377 -05.4191597744521| 13.994 -31.450   |10.3     |~                    |    ~     ~          |    1|  334.616   pc  |  -1.1981     +1.1981    |paral   |2020yCat.1350....0G
4255 |TYC 7109-2084-1                                                                                          |Star                                  |07 30 14.4831706368 -32 31 42.510160884|246.1082154013848 -06.8199862854433|  -10.208 0.042   |10.60    |~                    |    ~     ~          |    1|  558.503   pc  |  -3.5871     +3.5871    |paral   |2020yCat.1350....0G
4256 |TYC 7109-2103-1                                                                                          |High Proper Motion Star               |07 35 04.2454042728 -33 09 00.759398004|247.1421639407251 -06.2197543660487|  10.956 85.079   |10.67    |~                    |    ~     ~          |    1|  147.354   pc  |  -0.2866     +0.2866    |paral   |2020yCat.1350....0G
4257 |TYC 7109-2155-1                                                                                          |Spectroscopic Binary                  |07 33 06.8870204688 -33 04 56.822483172|246.8864693771025 -06.5480247792318|   -6.848 7.393   |10.97    |~                    |    ~     ~          |    1|  372.245   pc  |  -1.5935     +1.5935    |paral   |2020yCat.1350....0G
4258 |TYC 7109-2162-1                                                                                          |Star                                  |07 31 06.9995830824 -32 20 14.280650232|246.0255351212295 -06.5671742109742|   -6.105 4.959   |10.515   |~                    |    ~     ~          |    1|  935.038   pc  | -44.7100    +44.7100    |ST-L    |2020AJ....160...83S
4259 |TYC 7109-2180-1                                                                                          |Star                                  |07 33 09.0199145976 -32 06 40.374265212|246.0294996236298 -06.0812848136768|   -2.340 1.204   |10.02    |~                    |    ~     ~          |    1| 1282.545   pc  | -47.2092    +47.2092    |paral   |2020yCat.1350....0G
4260 |TYC 7109-2221-1                                                                                          |Star                                  |07 32 26.7814838712 -33 30 15.736342068|247.1946067433618 -06.8703206389727|   -0.193 2.220   |10.668   |~                    |    ~     ~          |    1| 1465.750   pc  |-109.0000   +109.0000    |ST-L    |2020AJ....160...83S
4261 |TYC 7109-2225-1                                                                                          |Star                                  |07 35 13.0246865328 -33 07 52.378991472|247.1400605514597 -06.1837737135395|   -0.997 3.803   |10.46    |~                    |    ~     ~          |    1|  827.952   pc  | -11.7907    +11.7907    |paral   |2020yCat.1350....0G
4262 |TYC 7109-2261-1                                                                                          |Star                                  |07 38 50.6882948664 -33 20 53.552704380|247.6976960699105 -05.6227000623726|   -1.905 1.138   |10.52    |~                    |    ~     ~          |    1| 1077.818   pc  | -14.2888    +14.2888    |paral   |2020yCat.1350....0G
4263 |TYC 7109-2451-1                                                                                          |Star                                  |07 37 37.1551330416 -33 01 22.178802864|247.2869564638258 -05.6901865559226|   -2.252 5.615   |10.74    |~                    |    ~     ~          |    1| 1336.720   pc  | -51.9964    +51.9964    |paral   |2020yCat.1350....0G
4264 |TYC 7109-2521-1                                                                                          |Star                                  |07 34 45.0205162344 -33 23 30.332841936|247.3237762502173 -06.3936680455301|   -8.152 6.082   |10.81    |~                    |    ~     ~          |    1|  450.491   pc  |  -2.3744     +2.3744    |paral   |2020yCat.1350....0G
4265 |TYC 7109-2529-1                                                                                          |Star                                  |07 31 56.3479857766 -33 01 30.658733654|246.7185975862085 -06.7381874363673|    0.112 9.879   |10.512   |~                    |    ~     ~          |    1|  867.227   pc  |  -8.3481     +8.3481    |paral   |2020yCat.1350....0G
4266 |TYC 7109-2563-1                                                                                          |Star                                  |07 31 38.9005672056 -33 01 07.316084964|246.6839524333696 -06.7889202013930|  -4.886 26.379   |9.70     |~                    |    ~     ~          |    1|  215.462   pc  |  -0.7799     +0.7799    |paral   |2020yCat.1350....0G
4267 |TYC 7109-2572-1                                                                                          |Star                                  |07 31 00.8328364992 -32 25 52.330625724|246.0986925026723 -06.6304769393556|   -1.307 1.385   |10.53    |~                    |    ~     ~          |    1| 2436.054   pc  |-112.7528   +112.7528    |paral   |2020yCat.1350....0G
4268 |TYC 7109-2584-1                                                                                          |Star                                  |07 38 28.1722483656 -32 23 18.843577800|246.8158398744741 -05.2272200368017|  -9.291 14.171   |10.647   |~                    |    ~     ~          |    1|  964.672   pc  | -49.7600    +49.7600    |ST-L    |2020AJ....160...83S
4269 |TYC 7109-2592-1                                                                                          |Star                                  |07 32 30.1740231936 -32 36 51.969940272|246.4102506944423 -06.4399990634093|   -5.135 3.840   |10.284   |~                    |    ~     ~          |    1| 1366.480   pc  | -96.9500    +96.9500    |ST-L    |2020AJ....160...83S
4270 |TYC 7109-2660-1                                                                                          |Star                                  |07 30 12.9480793896 -32 40 47.318189700|246.2403566278309 -06.8956113011475|  44.860 12.151   |10.228   |~                    |    ~     ~          |    1|  363.498   pc  |  -6.6510     +6.6510    |ST-L    |2020AJ....160...83S
4271 |TYC 7109-2663-1                                                                                          |Spectroscopic Binary                  |07 34 24.5755995336 -33 20 28.450039272|247.2450122203710 -06.4322414680144|  -7.397 17.110   |10.58    |~                    |    ~     ~          |    1| 1222.942   pc  | -17.4984    +17.4984    |paral   |2020yCat.1350....0G
4272 |TYC 7109-2676-1                                                                                          |Star                                  |07 34 49.9151618520 -32 16 45.094913148|246.3482894777862 -05.8483706813626|   0.479 12.571   |10.31    |~                    |    ~     ~          |    1|  421.567   pc  | -12.2804    +12.2804    |paral   |2020yCat.1350....0G
4273 |TYC 7109-2693-1                                                                                          |Star                                  |07 32 10.8653709984 -32 59 59.593333380|246.7201904010341 -06.6815285658547|   0.166 -0.383   |10.355   |~                    |    ~     ~          |    1|  814.298   pc  | -27.5000    +27.5000    |ST-L    |2020AJ....160...83S
4274 |TYC 7109-2714-1                                                                                          |Star                                  |07 35 26.8327245000 -32 10 37.247286252|246.3206176853794 -05.6852297866986|  -4.016 -0.207   |10.22    |~                    |    ~     ~          |    1|  599.916   pc  |  -4.4987     +4.4987    |paral   |2020yCat.1350....0G
4275 |TYC 7109-2768-1                                                                                          |Star                                  |07 38 23.0904382176 -32 15 40.939779060|246.6953893014665 -05.1812866293143|   -1.224 5.182   |10.068   |~                    |    ~     ~          |    1| 1533.600   pc  |-120.9000   +120.9000    |ST-L    |2020AJ....160...83S
4276 |TYC 7109-2827-1                                                                                          |Star                                  |07 30 30.9336565800 -33 00 52.217546400|246.5679914269226 -06.9966531186984| -12.576 10.252   |10.80    |~                    |    ~     ~          |    1|  213.849   pc  |  -0.4482     +0.4482    |paral   |2020yCat.1350....0G
4277 |TYC 7109-2828-1                                                                                          |Star                                  |07 36 41.8744415016 -32 41 07.185785532|246.8960647103062 -05.6974430786867|  -1.529 -0.939   |10.37    |~                    |    ~     ~          |    1|  564.239   pc  |  -5.0620     +5.0620    |paral   |2020yCat.1350....0G
4278 |TYC 7109-2836-1                                                                                          |Star                                  |07 38 16.0518850056 -32 10 17.458885380|246.6043836593465 -05.1594935577127|  -6.501 -2.825   |10.52    |~                    |    ~     ~          |    1|  322.914   pc  |  -1.4703     +1.4703    |paral   |2020yCat.1350....0G
4279 |TYC 7109-2912-1                                                                                          |Star                                  |07 35 53.2286486568 -32 26 44.453571144|246.6023810722116 -05.7323238591428| -15.577 15.648   |10.88    |~                    |    ~     ~          |    1|  402.706   pc  | -34.0886    +34.0886    |paral   |2020yCat.1350....0G
4280 |TYC 7109-2952-1                                                                                          |Star                                  |07 32 45.3626862024 -32 09 08.772946056|246.0261979972553 -06.1743237340009|   4.148 -1.092   |10.793   |~                    |    ~     ~          |    1| 2279.750   pc  |-282.4000   +282.4000    |ST-L    |2020AJ....160...83S
4281 |TYC 7109-2974-1                                                                                          |Star                                  |07 30 41.6865034200 -32 25 51.272720112|246.0665881732672 -06.6897826209780|   -4.656 7.697   |10.31    |~                    |    ~     ~          |    1|  555.648   pc  |  -5.2178     +5.2178    |paral   |2020yCat.1350....0G
4282 |TYC 7109-2993-1                                                                                          |Star                                  |07 33 36.9613621296 -32 58 34.480248096|246.8423985597515 -06.4051978361995|   -4.832 6.830   |10.47    |~                    |    ~     ~          |    1|  660.677   pc  | -13.3131    +13.3131    |paral   |2020yCat.1350....0G
4283 |TYC 7109-2996-1                                                                                          |Star                                  |07 34 08.5199211360 -32 11 30.189986916|246.2010524415055 -05.9348954583660|  -0.311 20.654   |10.53    |~                    |    ~     ~          |    1|  318.563   pc  |  -1.1569     +1.1569    |paral   |2020yCat.1350....0G
4284 |TYC 7109-2998-1                                                                                          |High Proper Motion Star               |07 32 49.3313222280 -32 03 36.266803344|245.9510684972217 -06.1182224868631|  93.913 80.435   |10.46    |~                    |    ~     ~          |    1|  148.300   pc  |  -2.0321     +2.0321    |paral   |2020yCat.1350....0G
4285 |TYC 7109-3010-1                                                                                          |Star                                  |07 32 23.6153000256 -32 04 53.638648248|245.9268589112868 -06.2083716635991|   -2.255 2.043   |10.879   |~                    |    ~     ~          |    1| 1055.150   pc  | -56.3900    +56.3900    |ST-L    |2020AJ....160...83S
4286 |TYC 7109-3039-1                                                                                          |Star                                  |07 31 13.5232178568 -33 28 16.590811584|247.0446630968867 -07.0794889751328| -18.843 20.261   |10.76    |~                    |    ~     ~          |    1|  412.831   pc  |  -3.2722     +3.2722    |paral   |2020yCat.1350....0G
4287 |TYC 7109-3049-1                                                                                          |Star                                  |07 36 21.0422437200 -33 07 42.135339504|247.2516530604615 -05.9739584151301|   -3.138 4.427   |9.95     |~                    |    ~     ~          |    1| 1081.666   pc  | -22.9320    +22.9320    |paral   |2020yCat.1350....0G
4288 |TYC 7109-3118-1                                                                                          |Star                                  |07 34 28.5070800528 -32 14 02.737596300|246.2722633328461 -05.8931443370170|-12.743 -13.264   |10.23    |~                    |    ~     ~          |    1|  327.439   pc  |  -1.5654     +1.5654    |paral   |2020yCat.1350....0G
4289 |TYC 7109-3151-1                                                                                          |Star                                  |07 35 46.5066705552 -33 34 20.130022920|247.5858950750861 -06.2918294835451|   -4.175 4.753   |10.85    |~                    |    ~     ~          |    1|  851.571   pc  | -19.7972    +19.7972    |paral   |2020yCat.1350....0G
4290 |TYC 7109-3157-1                                                                                          |Star                                  |07 34 35.0946007848 -33 24 58.355890272|247.3289004771863 -06.4356675842333|   -0.969 6.100   |9.79     |~                    |    ~     ~          |    1| 1011.225   pc  | -11.4528    +11.4528    |paral   |2020yCat.1350....0G
4291 |TYC 7109-3158-1                                                                                          |Pulsating Variable                    |07 35 45.1883777568 -32 09 37.202082372|246.3370713250466 -05.6204111003619|   -6.274 0.731   |10.98    |~                    |    ~     ~          |    1|  843.170   pc  |  -8.8867     +8.8867    |paral   |2020yCat.1350....0G
4292 |[DCT2018] F20a 25522                                                                                     |delta Sct Variable                    |07 30 25.9237364472 -32 03 25.464082968|245.7080360776805 -06.5633258581862|  -2.083 -1.064   |10.9     |~                    |    ~     ~          |    1| 1123.85    pc  | -45.0903    +45.0903    |paral   |2018yCat.1345....0G
4293 |TYC 7109-3188-1                                                                                          |Spectroscopic Binary                  |07 34 25.2387840120 -31 59 30.485267664|246.0526653233301 -05.7877181739926|  -4.860 28.234   |10.27    |~                    |    ~     ~          |    1|  720.461   pc  | -10.1737    +10.1737    |paral   |2020yCat.1350....0G
4294 |TYC 7109-3200-1                                                                                          |Star                                  |07 31 40.0097533272 -32 31 11.670378060|246.2427167908274 -06.5507084330257|   -4.665 6.081   |10.77    |~                    |    ~     ~          |    1|  597.300   pc  |  -8.3484     +8.3484    |paral   |2020yCat.1350....0G
4295 |TYC 7109-3225-1                                                                                          |Star                                  |07 30 41.6512606608 -33 37 52.392020376|247.1349060674309 -07.2521564106584| -14.219 39.301   |10.65    |~                    |    ~     ~          |    1|  231.524   pc  |  -0.6647     +0.6647    |paral   |2020yCat.1350....0G
4296 |TYC 7109-3286-1                                                                                          |Pulsating Variable                    |07 38 59.0550486360 -32 20 11.375652588|246.8230075246675 -05.1069092450628|   -0.317 0.399   |10.63    |~                    |    ~     ~          |    1| 1214.477   pc  | -33.7764    +33.7764    |paral   |2020yCat.1350....0G
4297 |TYC 7109-3300-1                                                                                          |Star                                  |07 32 22.1343342144 -32 00 19.890687420|245.8569866867586 -06.1769982561983|   -2.091 2.832   |10.195   |~                    |    ~     ~          |    1| 1624.290   pc  |-134.1000   +134.1000    |ST-L    |2020AJ....160...83S
4298 |TYC 7109-3342-1                                                                                          |Star                                  |07 36 53.7593294640 -32 06 10.564498800|246.4032856944173 -05.3806402857509|   -4.655 1.463   |10.28    |~                    |    ~     ~          |    1|  565.963   pc  |  -6.5024     +6.5024    |paral   |2020yCat.1350....0G
4299 |TYC 7109-3372-1                                                                                          |Star                                  |07 33 58.3088665416 -31 57 56.746532448|245.9840515556834 -05.8589769426679|   -0.411 2.754   |10.40    |~                    |    ~     ~          |    1| 1395.089   pc  | -49.2407    +49.2407    |paral   |2020yCat.1350....0G
4300 |TYC 7109-3374-1                                                                                          |Star                                  |07 33 18.6882749664 -32 00 51.411057336|245.9600073332493 -06.0052181609086|   -4.755 0.929   |10.99    |~                    |    ~     ~          |    1| 1013.377   pc  | -10.3720    +10.3720    |paral   |2020yCat.1350....0G
4301 |TYC 7109-3426-1                                                                                          |Star                                  |07 37 28.1808535728 -32 05 43.277305128|246.4554479394114 -05.2705415302019|   -3.203 4.385   |10.963   |~                    |    ~     ~          |    1|  786.338   pc  | -34.7100    +34.7100    |ST-L    |2020AJ....160...83S
4302 |TYC 7109-3453-1                                                                                          |Star                                  |07 36 58.7955507864 -32 58 07.892172300|247.1745796531210 -05.7817301552836|   -2.998 1.427   |10.67    |~                    |    ~     ~          |    1| 1374.004   pc  | -26.4304    +26.4304    |paral   |2020yCat.1350....0G
4303 |TYC 7109-3468-1                                                                                          |Star                                  |07 34 22.0497420096 -32 02 49.181858484|246.0960239620793 -05.8239468291249| -24.957 23.766   |10.92    |~                    |    ~     ~          |    1|  237.750   pc  |  -1.0175     +1.0175    |paral   |2020yCat.1350....0G
4304 |TYC 7109-3488-1                                                                                          |Star                                  |07 38 53.0425513392 -32 15 41.529393864|246.7468890209033 -05.0890561569028| -16.448 18.033   |10.89    |~                    |    ~     ~          |    1|  314.931   pc  |  -1.2894     +1.2894    |paral   |2020yCat.1350....0G
4305 |TYC 7109-3489-1                                                                                          |Star                                  |07 31 45.7946512416 -32 58 48.740996820|246.6611590463813 -06.7495528863934|   -3.150 2.708   |10.95    |~                    |    ~     ~          |    1| 1087.666   pc  | -12.6583    +12.6583    |paral   |2020yCat.1350....0G
4306 |GSC 07109-03520                                                                                          |Double or Multiple Star               |07 30 16.1379304272 -32 36 00.937041768|246.1748348987256 -06.8484744598330|   -9.885 4.542   |10.300   |~                    |    ~     ~          |    1|  357.488   pc  |  -1.6741     +1.6741    |paral   |2020yCat.1350....0G
4307 |TYC 7109-3592-1                                                                                          |Star                                  |07 36 10.0255906416 -32 12 12.048070752|246.4172109110773 -05.5641927456815|  2.059 -48.247   |10.80    |~                    |    ~     ~          |    1|  121.782   pc  |  -0.1631     +0.1631    |paral   |2020yCat.1350....0G
4308 |TYC 7109-3674-1                                                                                          |Star                                  |07 37 05.5276235928 -32 07 19.908069708|246.4403361767437 -05.3535247574571| -4.087 -16.217   |10.60    |~                    |    ~     ~          |    1|  283.583   pc  |  -1.0133     +1.0133    |paral   |2020yCat.1350....0G
4309 |TYC 7109-3694-1                                                                                          |Star                                  |07 38 08.1186369144 -32 04 48.545601024|246.5105057326459 -05.1397674642190|    0.294 0.458   |10.45    |~                    |    ~     ~          |    1|  889.442   pc  | -13.2115    +13.2115    |paral   |2020yCat.1350....0G
4310 |GSC 07109-03707                                                                                          |Double or Multiple Star               |07 36 00.1849246488 -31 55 43.847187852|246.1585369884236 -05.4628849279854| -11.172 17.201   |10.835   |~                    |    ~     ~          |    1|  420.468   pc  |  -2.0508     +2.0508    |paral   |2020yCat.1350....0G
4311 |TYC 7109-3747-1                                                                                          |Spectroscopic Binary                  |07 32 38.6213588328 -31 56 03.541231608|245.8216609743053 -06.0919505845169|   -2.707 1.988   |10.530   |~                    |    ~     ~          |    1| 1524.290   pc  |-119.9000   +119.9000    |ST-L    |2020AJ....160...83S
4312 |TYC 7109-3749-1                                                                                          |Star                                  |07 30 43.7384600976 -31 54 58.467392784|245.6126916367732 -06.4415740257773|   3.566 -3.515   |10.648   |~                    |    ~     ~          |    1| 1382.570   pc  |-101.3000   +101.3000    |ST-L    |2020AJ....160...83S
4313 |TYC 7109-3752-1                                                                                          |High Proper Motion Star               |07 37 41.0282931984 -32 04 35.860630080|246.4609733586630 -05.2217826675362| 11.630 -52.779   |10.96    |~                    |    ~     ~          |    1|  176.106   pc  |  -0.9800     +0.9800    |paral   |2020yCat.1350....0G
4314 |TYC 7109-3765-1                                                                                          |Spectroscopic Binary                  |07 37 38.8871310936 -32 00 02.991730896|246.3906650729896 -05.1917856254203|   -3.133 3.986   |10.88    |~                    |    ~     ~          |    1| 1282.874   pc  | -30.1175    +30.1175    |paral   |2020yCat.1350....0G
4315 |TYC 7109-3802-1                                                                                          |Spectroscopic Binary                  |07 35 07.7288946072 -32 28 47.946668880|246.5557258731747 -05.8891962375207|  -4.144 -2.198   |10.74    |~                    |    ~     ~          |    1|  567.795   pc  |  -4.0299     +4.0299    |paral   |2020yCat.1350....0G
4316 |TYC 7109-3817-1                                                                                          |Star                                  |07 33 34.5598143648 -32 02 15.088075836|246.0073599310541 -05.9669315288962|   -5.249 0.511   |10.27    |~                    |    ~     ~          |    1| 1189.910   pc  | -76.1746    +76.1746    |paral   |2020yCat.1350....0G
4317 |TYC 7109-3900-1                                                                                          |Pulsating Variable                    |07 38 40.2982494552 -32 08 06.941016780|246.6141463745407 -05.0671055586469|   -5.404 3.913   |10.07    |~                    |    ~     ~          |    1| 1238.237   pc  | -40.3240    +40.3240    |paral   |2020yCat.1350....0G
4318 |TYC 7109-3912-1                                                                                          |Star                                  |07 36 12.4332259224 -32 10 01.430581080|246.3893298189197 -05.5393244094920|   -3.001 2.280   |10.84    |~                    |    ~     ~          |    1|  436.433   pc  |  -2.1714     +2.1714    |paral   |2020yCat.1350....0G
4319 |TYC 7109-4048-1                                                                                          |Pulsating Variable                    |07 36 03.4312342560 -31 54 25.356004272|246.1448633922050 -05.4423443752421|   -1.310 1.244   |10.26    |~                    |    ~     ~          |    1| 1333.867   pc  | -35.7619    +35.7619    |paral   |2020yCat.1350....0G
4320 |TYC 7109-4074-1                                                                                          |Star                                  |07 33 42.5155693176 -31 54 43.495798536|245.9098701170313 -05.8825307701796|   -3.383 4.703   |9.97     |~                    |    ~     ~          |    1|  705.567   pc  |  -7.8656     +7.8656    |paral   |2020yCat.1350....0G
4321 |TYC 7109-4191-1                                                                                          |Star                                  |07 35 11.0832607176 -33 27 17.486629308|247.4230265214703 -06.3440008315465| -1.065 -11.236   |10.95    |~                    |    ~     ~          |    1|  369.645   pc  |  -2.2955     +2.2955    |paral   |2020yCat.1350....0G
4322 |TYC 7110-25-1                                                                                            |Star                                  |07 39 11.6526946296 -33 37 14.669802156|247.9727915024496 -05.6908139038996|   -1.260 3.850   |10.778   |~                    |    ~     ~          |    1| 1230.330   pc  |-100.1000   +100.1000    |ST-L    |2020AJ....160...83S
4323 |TYC 7110-29-1                                                                                            |Spectroscopic Binary                  |07 39 13.0471581480 -33 19 11.903507472|247.7107305020965 -05.5409243948275|   -3.706 7.437   |9.99     |~                    |    ~     ~          |    1|  466.461   pc  |  -3.5902     +3.5902    |paral   |2020yCat.1350....0G
4324 |TYC 7110-35-1                                                                                            |Star                                  |07 40 01.9941877176 -33 44 50.796481992|248.1691747754238 -05.5995764144584| -4.436 -30.889   |10.95    |~                    |    ~     ~          |    1|  240.454   pc  |  -1.3529     +1.3529    |paral   |2020yCat.1350....0G
4325 |TYC 7110-40-1                                                                                            |Spectroscopic Binary                  |07 39 06.0085684008 -32 30 09.377532648|246.9807521293478 -05.1661319840082|  17.116 -9.337   |10.11    |~                    |    ~     ~          |    1| 1287.996   pc  | -34.8376    +34.8376    |paral   |2020yCat.1350....0G
4326 |TYC 7110-69-1                                                                                            |Star                                  |07 40 16.2050122464 -33 33 50.509171080|248.0321741743299 -05.4673836291886|   -4.183 3.868   |9.60     |~                    |    ~     ~          |    1| 1386.578   pc  | -31.3384    +31.3384    |paral   |2020yCat.1350....0G
4327 |TYC 7110-233-1                                                                                           |Star                                  |07 39 02.9406777192 -33 25 50.644898040|247.7909918326725 -05.6253271709832|   -4.601 5.032   |10.68    |~                    |    ~     ~          |    1|  988.045   pc  | -12.2029    +12.2029    |paral   |2020yCat.1350....0G
4328 |TYC 7110-399-1                                                                                           |Star                                  |07 40 38.3807653704 -32 56 46.608164808|247.5281011896916 -05.0990750973890|   -0.582 1.758   |10.72    |~                    |    ~     ~          |    1|  755.230   pc  |  -8.8408     +8.8408    |paral   |2020yCat.1350....0G
4329 |TYC 7110-487-1                                                                                           |Star                                  |07 39 59.7472326792 -33 44 50.727584400|248.1653605057874 -05.6063728937332|  -8.440 12.727   |10.27    |~                    |    ~     ~          |    1|  788.022   pc  |  -6.8308     +6.8308    |paral   |2020yCat.1350....0G
4330 |TYC 7110-519-1                                                                                           |Star                                  |07 39 19.8291506592 -33 31 14.044189584|247.8985298742025 -05.6174702038298| -1.931 -10.233   |10.13    |~                    |    ~     ~          |    1|  623.169   pc  |  -5.7863     +5.7863    |paral   |2020yCat.1350....0G
4331 |TYC 7110-558-1                                                                                           |Star                                  |07 39 24.5349284016 -32 18 03.007741572|246.8354608283787 -05.0111636235914|  -1.349 -0.022   |10.032   |~                    |    ~     ~          |    1| 1417.560   pc  |-103.7000   +103.7000    |ST-L    |2020AJ....160...83S
4332 |TYC 7110-704-1                                                                                           |Star                                  |07 40 59.7776051040 -32 15 15.898121748|246.9589889396762 -04.6956029396164|  -4.277 10.105   |10.86    |~                    |    ~     ~          |    1|  791.578   pc  |  -7.6445     +7.6445    |paral   |2020yCat.1350....0G
4333 |TYC 7110-796-1                                                                                           |Star                                  |07 40 31.6740837864 -32 33 54.275601564|247.1825427969452 -04.9336336892676|   -1.786 0.827   |10.96    |~                    |    ~     ~          |    1| 1389.854   pc  | -54.6669    +54.6669    |paral   |2020yCat.1350....0G
4334 |TYC 7110-1063-1                                                                                          |Star                                  |07 39 22.7787473952 -33 26 00.906588456|247.8270671024864 -05.5663562762883| -18.195 18.338   |10.77    |~                    |    ~     ~          |    1|  288.450   pc  |  -2.8372     +2.8372    |paral   |2020yCat.1350....0G
4335 |TYC 7110-1135-1                                                                                          |Star                                  |07 40 01.1069276904 -33 44 01.370862312|248.1556149415272 -05.5955982488732|   -8.168 4.253   |10.64    |~                    |    ~     ~          |    1|  435.597   pc  |  -2.3339     +2.3339    |paral   |2020yCat.1350....0G
4336 |TYC 7110-1408-1                                                                                          |High Proper Motion Star               |07 39 50.5293014952 -32 31 54.349562928|247.0826558137576 -05.0435927311418|-18.117 -73.440   |9.06     |~                    |    ~     ~          |    1|   91.694   pc  |  -0.5289     +0.5289    |paral   |2020yCat.1350....0G
4337 |GSC 07110-01731                                                                                          |Double or Multiple Star               |07 39 12.0142179720 -33 25 09.327310860|247.7962516446901 -05.5921617139759|   -3.252 4.163   |10.470   |~                    |    ~     ~          |    1| 1209.775   pc  | -19.4653    +19.4653    |paral   |2020yCat.1350....0G
4338 |TYC 7110-1746-1                                                                                          |Star                                  |07 39 41.8013065704 -32 11 23.304147648|246.7677986280757 -04.9039916712669|   -0.951 6.799   |10.92    |~                    |    ~     ~          |    1|  652.273   pc  |  -5.4884     +5.4884    |paral   |2020yCat.1350....0G
4339 |TYC 7110-1873-1                                                                                          |Star                                  |07 39 33.1866416640 -33 01 54.427331820|247.4917809910957 -05.3397345105297|  -4.104 -1.120   |10.94    |~                    |    ~     ~          |    1|  924.556   pc  | -14.7881    +14.7881    |paral   |2020yCat.1350....0G
4340 |TYC 7110-1933-1                                                                                          |Star                                  |07 39 41.9769523512 -32 51 40.136188320|247.3569838390563 -05.2299830718079|   -4.503 2.667   |10.763   |~                    |    ~     ~          |    1| 1423.250   pc  |-102.6000   +102.6000    |ST-L    |2020AJ....160...83S
4341 |TYC 7110-1954-1                                                                                          |Spectroscopic Binary                  |07 39 07.4971070472 -32 18 32.462838144|246.8133761723256 -05.0675843152773|    0.128 5.117   |10.25    |~                    |    ~     ~          |    1|  791.891   pc  | -21.8855    +21.8855    |paral   |2020yCat.1350....0G
4342 |TYC 7110-2197-1                                                                                          |Star                                  |07 40 43.5344274336 -32 46 47.718045300|247.3911533048968 -05.0021675061847|  -0.546 -3.984   |10.04    |~                    |    ~     ~          |    1|  420.027   pc  |  -2.5581     +2.5581    |paral   |2020yCat.1350....0G
