C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
3334|HD 39925                                                                                                 |Star                           |05 57 00.2318248728 +30 36 34.723296828|179.8221657289363 +02.9782808877145|  7.940 -11.348  |7.68     |K5               |    ~     ~    
3335|HD 249417                                                                                                |Emission-line Star             |05 57 14.6910460680 +30 48 18.978053508|179.6783546359813 +03.1208632649141|  -0.126 -1.621  |10.52    |B8e              |    ~     ~    
3336|HD 249695                                                                                                |Be Star                        |05 58 35.3209295640 +30 12 25.924861008|180.3420955329501 +03.0739211284205|   0.956 -3.209  |9.16     |B1:V:nnpe        |    ~     ~    
3337|BD+30 1073                                                                                               |Star                           |05 58 53.9035 +30 04 15.287            |180.4938577 +03.0643090            |       0.3 -7.6  |10.93    |A2               |    ~     ~    
3338|HD 249962                                                                                                |Double or Multiple Star        |05 59 54.9944177136 +30 11 09.508488864|180.5030726166589 +03.3125499458136|  -0.167 -1.826  |9.29     |F0               |0.0017  0.0    
3339|HD 40366                                                                                                 |Star                           |05 59 36.6147839760 +30 00 18.529550136|180.6275807024770 +03.1654584568791|  0.555 -12.949  |8.47     |A3m              |    ~     ~    
3340|TYC 2406-2204-1                                                                                          |Star                           |05 53 03.3302428368 +30 38 33.524200716|179.3656049109342 +02.2609554485595|   2.029 -8.218  |10.54    |~                |    ~     ~    
3341|BD+30 1066                                                                                               |Star                           |05 57 50.8665786648 +30 37 30.785711664|179.8993744316504 +03.1433996211093|  -7.906 -6.466  |9.74     |~                |    ~     ~    
3342|HD 39199                                                                                                 |Star                           |05 52 06.9343217808 +29 22 40.029902652|180.3521052423125 +01.4429575569280|  -1.555 -1.561  |9.40     |A                |    ~     ~    
3343|HD 39200                                                                                                 |Star                           |05 52 10.8587097960 +29 54 59.359211928|179.8955017546267 +01.7294464152027|  -1.536 -0.438  |9.28     |~                |    ~     ~    
3344|HD 39208                                                                                                 |Star                           |05 52 15.8154579648 +29 31 04.808577756|180.2477901697364 +01.5420773622585| -9.167 -11.488  |7.93     |K2               |    ~     ~    
3345|HD 39275                                                                                                 |High Proper Motion Star        |05 52 47.3979651201 +29 46 12.792296172|180.0886856704487 +01.7687955806096| 24.108 -59.669  |9.11     |G0               |    ~     ~    
3346|HD 39274                                                                                                 |High Proper Motion Star        |05 52 46.3383885792 +29 46 04.470804768|180.0887303813682 +01.7643203653955| 23.120 -58.978  |9.05     |G0               |    ~     ~    
3347|HD 39303                                                                                                 |Double or Multiple Star        |05 52 56.9027470449 +29 06 42.966852934|180.6735002361720 +01.4641756694896| -9.296 -14.986  |7.90     |G5               |0.0033  0.0    
3348|HD 248691                                                                                                |Star                           |05 53 24.8581970208 +30 00 20.584267776|179.9543134915292 +02.0048798908189|  -0.780 -6.335  |10.00    |A0               |    ~     ~    
3349|HD 248811                                                                                                |Star                           |05 53 56.1192831168 +29 10 04.692994284|180.7344768664804 +01.6783433629932|   0.708 -1.664  |9.44     |G5               |    ~     ~    
3350|LS V +29 15                                                                                              |Star                           |05 54 42.4563063336 +29 29 52.944797868|180.5345978741690 +01.9903785669995|   0.222 -0.664  |10.79    |OB-              |    ~     ~    
3351|HD 39677                                                                                                 |Star                           |05 55 22.2681522432 +29 57 50.256577620|180.2044768748079 +02.3495543795842|  -8.301 -9.659  |7.08     |F0               |    ~     ~    
3352|HD 249089                                                                                                |Star                           |05 55 29.8028289264 +29 42 09.117475848|180.4443066874458 +02.2415729067997|   0.618 -2.386  |9.44     |B8               |    ~     ~    
3353|HD 39713                                                                                                 |Star                           |05 55 29.1225667608 +29 10 26.150214648|180.9001843411901 +01.9734624977779|  8.835 -14.111  |7.65     |G5III            |    ~     ~    
3354|HD 249103                                                                                                |Star                           |05 55 32.5653371640 +29 38 39.439404924|180.4997185025333 +02.2209196391279|  -0.465 -1.288  |9.34     |F8               |    ~     ~    
3355|HD 249118                                                                                                |Star                           |05 55 38.9205042312 +29 57 24.922199628|180.2408199634805 +02.3979747774218|  -0.265 -2.441  |9.18     |B8               |    ~     ~    
3356|LS V +29 17                                                                                              |Star                           |05 55 46.0056725592 +29 05 00.908755656|181.0092428310861 +01.9811194651020|   0.158 -1.242  |10.97    |B                |    ~     ~    
3357|HD 249241                                                                                                |Star                           |05 56 17.3046865800 +29 55 43.843084068|180.3347658084075 +02.5037335554800|  -3.572 -3.076  |10.05    |A0               |    ~     ~    
3358|HD 39865                                                                                                 |Star                           |05 56 30.8180777184 +29 45 07.197470928|180.5124348784072 +02.4573360472841|  3.738 -12.419  |8.62     |~                |    ~     ~    
3359|HD 249566                                                                                                |Star                           |05 57 50.6859093096 +29 48 45.404188560|180.6044361496314 +02.7377800400023|  16.203 16.851  |9.31     |G0               |    ~     ~    
3360|HD 249650                                                                                                |Star                           |05 58 14.5976162400 +29 24 42.153132384|180.9955806759478 +02.6130184419996|  10.141 -9.560  |8.83     |K5               |    ~     ~    
3361|HD 249664                                                                                                |Star                           |05 58 15.9032864448 +29 08 54.166880544|181.2264781084739 +02.4859088973746|   1.835 -8.644  |10.63    |~                |    ~     ~    
3362|LS V +29 18                                                                                              |Star                           |05 58 17.0241685920 +29 00 42.447366612|181.3470378744464 +02.4213710758293|   0.166 -2.035  |10.68    |OB-              |    ~     ~    
3363|HD 40163                                                                                                 |Double or Multiple Star        |05 58 24.03741 +29 37 37.1731          |180.82576038 +02.74992195          |   -10.98 -3.99  |8.31     |B9               |    ~     ~    
3364|HD 249750                                                                                                |Star                           |05 58 49.5936213840 +29 10 41.468965284|181.2616939584567 +02.6070572523935|  -0.115 -5.017  |9.05     |G5               |    ~     ~    
3365|HD 40255                                                                                                 |Star                           |05 58 55.8775962672 +29 59 01.776209748|180.5730926835803 +03.0272376646851| 14.805 -36.839  |7.10     |A3               |    ~     ~    
3366|HD 39226                                                                                                 |Spectroscopic Binary           |05 52 21.4297060440 +28 37 56.654129244|181.0206977600018 +01.1089042196445|  9.028 -21.725  |8.80     |A3III            |    ~     ~    
3367|HD 39304                                                                                                 |Pulsating Variable             |05 52 58.6386893664 +28 27 39.099339108|181.2377015035045 +01.1389373467930|   0.143 -2.893  |9.22     |B8III            |    ~     ~    
3368|BD+28 929                                                                                                |Emission-line Star             |05 53 16.6293038760 +28 18 02.727030708|181.4091511109310 +01.1144617324404|  -2.370 -1.977  |9.69     |M2/3?            |    ~     ~    
3369|HD 39356                                                                                                 |Star                           |05 53 19.0457929032 +28 16 31.364106168|181.4355233486165 +01.1092224244542|   5.314 -8.585  |8.27     |K5               |    ~     ~    
3370|HD 248767                                                                                                |Star                           |05 53 41.6884 +28 40 37.129            |181.1313568 +01.3843364            |  -0.945 -6.767  |10.21    |~                |    ~     ~    
3371|HD 39451                                                                                                 |Double or Multiple Star        |05 53 53.3887749192 +28 57 23.719275228|180.9118192429967 +01.5627755591567|  -1.750 -3.970  |8.85     |B8V              |    ~     ~    
3372|HD 248788                                                                                                |Spectroscopic Binary           |05 53 57.3795406800 +28 24 28.457291700|181.3925281582492 +01.2975773162249|   7.450 -5.184  |10.16    |K0               |    ~     ~    
3373|HD 248964                                                                                                |Star                           |05 54 39.6093328152 +28 40 54.033107520|181.2344370055317 +01.5693582521844|  -6.416 -6.074  |8.60     |K2               |    ~     ~    
3374|HD 39611                                                                                                 |Star                           |05 54 57.7878663672 +28 23 18.917293416|181.5211384448986 +01.4788662662456|   0.132 -2.898  |8.67     |B8III            |    ~     ~    
3375|HD 249018                                                                                                |Star                           |05 55 02.3653523232 +28 11 36.166080804|181.6982124350971 +01.3948840794275|   0.417 -1.870  |9.73     |OB-              |    ~     ~    
3376|HD 249090                                                                                                |Star                           |05 55 26.5096560072 +28 18 56.192706108|181.6372995784895 +01.5330315985819|   5.718 -4.911  |10.56    |F0               |    ~     ~    
3377|HD 249140                                                                                                |Star                           |05 55 45.6937932672 +28 36 02.011653036|181.4263766528258 +01.7371950256932|  -0.740 -4.531  |9.93     |B9               |    ~     ~    
3378|HD 249218                                                                                                |Double or Multiple Star        |05 56 05.6979966456 +29 01 09.584524920|181.1008990133672 +02.0108375359188|  3.426 -23.612  |9.45     |B8               |0.0100  0.0    
3379|HD 249279                                                                                                |Star                           |05 56 21.1518111816 +28 44 08.688466680|181.3746117951750 +01.9172032937599|       2.9 -3.9  |9.85     |~                |    ~     ~    
3380|HD 39866                                                                                                 |Star                           |05 56 33.7678235616 +28 56 32.156125080|181.2189780626400 +02.0606525639123|   0.290 -1.697  |6.336    |A2II             |    ~     ~    
3381|HD 40038                                                                                                 |Star                           |05 57 41.0582904912 +28 17 27.083853456|181.9065112841798 +01.9475711718910|   -1.278 0.625  |8.55     |B9.5III          |    ~     ~    
3382|HD 40110                                                                                                 |Star                           |05 58 07.4233135608 +28 11 12.759367992|182.0450116904221 +01.9794788601022|  -0.557 -1.604  |8.67     |B9II             |    ~     ~    
3383|HD 249679                                                                                                |Star                           |05 58 24.3583574760 +28 58 37.497190008|181.3904883624284 +02.4272487317318|   1.212 -2.966  |9.70     |B5               |    ~     ~    
3384|HD 249826                                                                                                |Star                           |05 59 14.5496913480 +28 17 23.217332352|182.0785474135007 +02.2443981912151|   4.259 -7.390  |9.79     |M2/3             |    ~     ~    
3385|HD 249912                                                                                                |Star                           |05 59 40.4720533656 +28 14 26.248239240|182.1685404505337 +02.3025400702603|  5.889 -19.153  |9.66     |G0               |    ~     ~    
3386|V* SV Tau                                                                                                |Eclipsing Binary               |05 52 08.1793187904 +28 06 40.312338840|181.4445615433220 +00.8016495552191|   0.204 -2.999  |9.80     |B9               |    ~     ~    
3387|BD+29 1026                                                                                               |Carbon Star                    |05 52 46.7371623720 +29 54 21.681136152|179.9704302449027 +01.8357096976100|   0.443 -0.366  |10.00    |C7,3             |    ~     ~    
3388|Case 361                                                                                                 |Carbon Star                    |05 54 06.5533288224 +28 38 46.935457944|181.2038029431955 +01.4472342317783|  -0.929 -1.278  |10.93    |C4,4             |    ~     ~    
3389|BD+28 935                                                                                                |Star                           |05 54 00.3043742016 +28 36 42.683445180|181.2220124050858 +01.4100566432259|  5.080 -17.897  |10.02    |~                |    ~     ~    
3390|BD+28 960                                                                                                |Star                           |05 58 34.5659366016 +28 34 06.727593468|181.7636107152803 +02.2560389597254|   1.400 -2.212  |10.59    |~                |    ~     ~    
3391|BD+29 1047                                                                                               |Star                           |05 56 39.2718952584 +29 52 08.787555840|180.4263149536755 +02.5424591523632|  -2.150 -5.680  |10.17    |~                |    ~     ~    
3392|HD 248619                                                                                                |Pulsating Variable             |05 53 02.8522316592 +28 33 18.647622540|181.1642755002640 +01.2001333479686|   1.083 -4.262  |10.94    |~                |    ~     ~    
3393|HD 248943                                                                                                |Star                           |05 54 33.1751414256 +28 54 03.505195548|181.0332140573800 +01.6598293406056|   0.705 -2.585  |10.64    |~                |    ~     ~    
3394|HD 249478                                                                                                |Star                           |05 57 26.0777261136 +29 53 16.782895392|180.4946053935659 +02.6983388853940|  -0.897 -6.370  |10.43    |~                |    ~     ~    
3395|HD 248526                                                                                                |Star                           |05 52 35.9410061160 +29 36 24.830606232|180.2083366185240 +01.6500920502814|   1.419 -5.949  |10.46    |A2m              |    ~     ~    
3396|HD 248635                                                                                                |Star                           |05 53 11.5927544040 +29 20 43.809306792|180.4993093067627 +01.6287554920822|   2.360 -5.753  |10.43    |A5m              |    ~     ~    
3397|HD 248874                                                                                                |gamma Dor Variable             |05 54 22.7550732840 +30 54 01.898726184|179.2868566555672 +02.6366748511251|   0.441 -1.874  |10.13    |B8III            |    ~     ~    
3398|HD 248904                                                                                                |Star                           |05 54 32.8315210608 +30 27 41.055689376|179.6846335981029 +02.4463655444741| -1.711 -14.030  |10.03    |A1m              |    ~     ~    
3399|HD 249278                                                                                                |delta Sct Variable             |05 56 28.7966122488 +29 59 32.371238544|180.3005997064181 +02.5714508700653| -1.557 -13.211  |10.17    |~                |    ~     ~    
3400|IRAS 05487+2833                                                                                          |Long-Period Variable           |05 51 56.1461035392 +28 34 10.193039292|181.0277122087109 +00.9972666191235|   0.330 -2.179  |10.80    |M3               |    ~     ~    
3401|IRAS 05495+3019                                                                                          |Star                           |05 52 43.0424984400 +30 20 20.417373204|179.5904536217067 +02.0441187627154|   2.063 -2.758  |10.35    |~                |    ~     ~    
3402|IRAS 05543+2933                                                                                          |Star                           |05 57 31.4572151952 +29 33 48.079479312|180.7858830959239 +02.5530622181923|   3.083 -6.370  |9.74     |M2/3?            |    ~     ~    
3403|BD+30 1067                                                                                               |Star                           |05 57 53.9929536696 +30 27 19.339343064|180.0524564709918 +03.0685110324551|   0.380 -4.803  |9.50     |M2/3?            |    ~     ~    
3404|Case 368                                                                                                 |Carbon Star                    |05 58 11.3385726648 +28 28 04.095721632|181.8085731858882 +02.1321054075115|  -0.375 -1.548  |10.97    |C4,4             |    ~     ~    
3405|BD+28 936                                                                                                |Emission-line Star             |05 54 27.0279668904 +29 01 21.833382108|180.9167622445287 +01.7019936078335|  -0.474 -2.793  |10.76    |OBe              |    ~     ~    
3406|TYC 1875-1748-1                                                                                          |Chemically Peculiar Star       |05 54 00.2985501072 +29 01 12.322174404|180.8697817644277 +01.6166344997855|  -0.395 -4.023  |10.90    |B7III-IVHgMn     |    ~     ~    
3407|HD 249401                                                                                                |Star                           |05 57 02.0460663648 +29 32 45.601348668|180.7475867204756 +02.4520610705466|   2.183 -9.366  |10.83    |~                |    ~     ~    
3408|TYC 1875-1838-1                                                                                          |Star                           |05 52 42.7819090128 +28 46 16.560821028|180.9408263741312 +01.2467295381437|   1.218 -3.103  |10.86    |A3m              |    ~     ~    
3409|HD 249039                                                                                                |Star                           |05 55 09.0111434208 +28 14 47.786450388|181.6645463168455 +01.4427988646317|  -2.395 -3.321  |10.76    |A1m              |    ~     ~    
3410|TYC 1875-2410-1                                                                                          |Star                           |05 56 15.4081381224 +29 06 56.474437428|181.0352836179341 +02.0898033444516|  4.198 -10.585  |10.83    |A3m              |    ~     ~    
3411|HD 249628                                                                                                |Spectroscopic Binary           |05 58 15.4510910952 +30 31 47.775903600|180.0261056540539 +03.1724503440487|   8.325 -8.741  |10.38    |A2m              |    ~     ~    
3412|HIP 27825                                                                                                |Star                           |05 53 16.6455569496 +30 32 56.397904152|179.4706181343624 +02.2546606765172|  -2.674 -4.291  |10.77    |~                |    ~     ~    
3413|TYC 1874-14-1                                                                                            |Star                           |05 50 37.1044148904 +28 18 18.201792960|181.1070470368905 +00.6132019017416|  -4.087 -8.963  |10.24    |~                |    ~     ~    
3414|TYC 1874-57-1                                                                                            |Star                           |05 49 04.0524100128 +29 54 14.417898588|179.5608191040690 +01.1434286062263|  5.774 -26.335  |10.21    |~                |    ~     ~    
3415|TYC 1874-162-1                                                                                           |High Proper Motion Star        |05 49 09.3154287024 +29 41 32.225052624|179.7521835140822 +01.0507966134631| 67.049 -56.143  |9.60     |~                |    ~     ~    
3416|TYC 1874-244-1                                                                                           |Star                           |05 51 20.3272994568 +29 53 09.533744016|179.8286857919807 +01.5568666235997|   0.858 -3.509  |10.93    |~                |    ~     ~    
3417|TYC 1874-254-1                                                                                           |Star                           |05 51 20.0694440664 +29 45 58.547625732|179.9311879980521 +01.4949464728801|   0.182 -3.272  |10.51    |~                |    ~     ~    
3418|TYC 1874-401-1                                                                                           |Star                           |05 49 27.3694065384 +28 20 43.984165488|180.9410234996463 +00.4144608445768|   0.883 -2.121  |10.89    |~                |    ~     ~    
3419|TYC 1874-450-1                                                                                           |Star                           |05 51 06.7972698216 +29 38 43.343612412|180.0106110493740 +01.3919049278360|  -1.050 -3.803  |10.91    |~                |    ~     ~    
3420|TYC 1874-479-1                                                                                           |Star                           |05 49 01.8239111112 +28 20 51.808437420|180.8909537522853 +00.3352576779925|   2.939 -5.761  |9.23     |~                |    ~     ~    
3421|TYC 1874-541-1                                                                                           |High Proper Motion Star        |05 51 10.1007320280 +28 16 32.199675636|181.1942980204425 +00.7021488361441|-22.283 -47.804  |10.35    |~                |    ~     ~    
3422|TYC 1874-569-1                                                                                           |Star                           |05 49 50.7833861352 +28 19 24.340939356|181.0041303102510 +00.4767573575441|  8.060 -12.759  |9.90     |~                |    ~     ~    
3423|TYC 1874-622-1                                                                                           |Star                           |05 50 26.8249032936 +29 33 50.320276020|180.0064619888516 +01.2258397745537| -2.025 -16.531  |10.62    |~                |    ~     ~    
3424|TYC 1874-625-1                                                                                           |Star                           |05 49 02.2672477752 +28 23 15.495673308|180.8575760435136 +00.3572046244009|       2.4 -6.8  |10.88    |~                |    ~     ~    
3425|TYC 1874-647-1                                                                                           |Star                           |05 49 06.0539725152 +28 21 55.401135444|180.8837970072857 +00.3576495134634|  -0.757 -0.666  |10.39    |~                |    ~     ~    
3426|TYC 1874-739-1                                                                                           |Star                           |05 50 39.4439538648 +28 17 14.553240396|181.1266295098483 +00.6115193824985|   -1.459 2.594  |10.07    |~                |    ~     ~    
3427|TYC 1874-1150-1                                                                                          |Star                           |05 49 11.4128273856 +29 23 20.917326012|180.0160678457831 +00.9013389261718| 16.558 -24.989  |10.52    |~                |    ~     ~    
3428|TYC 1874-1237-1                                                                                          |Star                           |05 48 59.1880371264 +28 50 18.837939408|180.4652241687232 +00.5797664756397|  1.295 -19.302  |9.77     |~                |    ~     ~    
3429|TYC 1874-1245-1                                                                                          |Pulsating Variable             |05 49 33.6264955464 +29 11 14.863978392|180.2305776154978 +00.8668642919201|  -0.411 -2.549  |9.93     |~                |    ~     ~    
3430|TYC 1874-1288-1                                                                                          |Star                           |05 49 03.3192475104 +28 49 02.805629952|180.4910955445805 +00.5818181539279|   -7.338 0.753  |10.49    |~                |    ~     ~    
3431|TYC 1874-1403-1                                                                                          |Star                           |05 50 28.6479748464 +28 43 54.014900088|180.7247694160175 +00.8051524079891|   3.193 -2.738  |10.24    |~                |    ~     ~    
3432|TYC 1874-1474-1                                                                                          |Star                           |05 48 50.4940190016 +28 48 43.878798216|180.4714847250653 +00.5389768708000|   -5.440 1.925  |10.01    |~                |    ~     ~    
3433|TYC 1874-1551-1                                                                                          |Star                           |05 49 05.0332202736 +29 16 59.782054764|180.0949252243117 +00.8269846430267|   1.520 -5.312  |10.47    |~                |    ~     ~    
3434|TYC 1874-1640-1                                                                                          |Star                           |05 48 48.8613279360 +28 36 51.125163984|180.6380941323881 +00.4318423609210|  -2.046 -6.872  |10.84    |~                |    ~     ~    
3435|TYC 1875-87-1                                                                                            |Star                           |05 58 32.1902407872 +29 58 43.852333908|180.5348705654213 +02.9505796726539|   0.155 -3.910  |10.6     |~                |    ~     ~    
3436|TYC 1875-189-1                                                                                           |Star                           |05 58 20.0907885432 +29 55 13.606688820|180.5638312277056 +02.8836294214126|   12.592 8.021  |10.12    |~                |    ~     ~    
3437|TYC 1875-246-1                                                                                           |Star                           |05 54 35.9032368576 +29 39 50.403817044|180.3792371150062 +02.0536236121455|   3.104 -4.860  |10.65    |~                |    ~     ~    
3438|TYC 1875-307-1                                                                                           |Star                           |05 57 45.1970195304 +29 52 26.810919300|180.5411638749164 +02.7512635414618| -10.583 -2.671  |10.54    |~                |    ~     ~    
3439|2MASS J05515809+2917461                                                                                  |Red Giant Branch star          |05 51 58.0964028168 +29 17 46.232023164|180.4059965988338 +01.3737600642206|    0.540 1.962  |10.24    |~                |    ~     ~    
3440|TYC 1875-437-1                                                                                           |Star                           |05 54 30.1972673088 +29 13 39.633047940|180.7456317473852 +01.8154713895407|  -0.455 -2.350  |10.63    |~                |    ~     ~    
3441|TYC 1875-482-1                                                                                           |Star                           |05 54 04.6056781512 +29 29 05.979724224|180.4764831617978 +01.8653128713535|   0.896 -6.669  |10.58    |~                |    ~     ~    
3442|TYC 1875-545-1                                                                                           |Star                           |05 53 57.1781489688 +29 23 12.904623240|180.5474903982905 +01.7924531004018|    0.508 0.928  |10.56    |~                |    ~     ~    
3443|TYC 1875-546-1                                                                                           |Star                           |05 57 36.5688145272 +29 48 53.079467004|180.5770934892913 +02.6946142929917|-18.863 -15.731  |10.77    |~                |    ~     ~    
3444|TYC 1875-615-1                                                                                           |Star                           |05 56 09.0570527832 +29 42 51.009913944|180.5056719236277 +02.3702473868289|   -2.526 4.644  |10.06    |~                |    ~     ~    
3445|TYC 1875-616-1                                                                                           |Star                           |05 59 09.1351492704 +29 21 02.355192144|181.1472165122214 +02.7544152119657| -1.770 -10.936  |9.43     |~                |    ~     ~    
3446|TYC 1875-623-1                                                                                           |Star                           |05 51 42.8874477048 +29 15 47.206203372|180.4062625302580 +01.3093523370161|   3.871 -3.394  |9.52     |~                |    ~     ~    
3447|TYC 1875-642-1                                                                                           |Star                           |05 56 37.2693329856 +29 23 13.085747592|180.8403122496320 +02.2946230831970|   0.229 -2.014  |10.15    |~                |    ~     ~    
3448|TYC 1875-687-1                                                                                           |Star                           |05 57 37.0013074368 +29 21 08.433222012|180.9789245035424 +02.4650995471327|   1.308 -7.585  |9.86     |~                |    ~     ~    
3449|TYC 1875-688-1                                                                                           |Star                           |05 55 31.7770077024 +29 09 12.386589372|180.9227642615421 +01.9714963700607|   2.138 -3.079  |10.90    |~                |    ~     ~    
3450|TYC 1875-710-1                                                                                           |Star                           |05 55 13.2992368200 +29 11 16.301911992|180.8591394068506 +01.9307444161701|    8.551 8.122  |10.86    |~                |    ~     ~    
3451|TYC 1875-778-1                                                                                           |Star                           |05 56 26.4731939904 +28 58 23.825144496|181.1787777811724 +02.0532050854188| -10.573 -3.654  |10.35    |~                |    ~     ~    
3452|TYC 1875-781-1                                                                                           |Star                           |05 53 44.5758678024 +29 07 36.766345548|180.7486527673475 +01.6213149335713|  -0.624 -5.847  |10.24    |~                |    ~     ~    
3453|TYC 1875-803-1                                                                                           |Star                           |05 53 26.7580537392 +29 24 28.512190584|180.4734237780036 +01.7078657792558|   3.487 -6.614  |10.88    |~                |    ~     ~    
3454|TYC 1875-808-1                                                                                           |Star                           |05 53 07.2275675736 +29 16 45.749789076|180.5482636865835 +01.5815353862385|  -0.860 -2.689  |10.93    |~                |    ~     ~    
3455|TYC 1875-922-1                                                                                           |Star                           |05 52 41.9411114112 +29 51 05.338731024|180.0086277383032 +01.7930808929604|-16.429 -14.849  |10.83    |~                |    ~     ~    
3456|TYC 1875-952-1                                                                                           |Star                           |05 56 56.4277477344 +29 41 27.691338084|180.6117137109071 +02.5070109232293|   2.867 -5.809  |10.42    |~                |    ~     ~    
3457|TYC 1875-1155-1                                                                                          |Emission-line Star             |05 54 14.2199766432 +28 54 56.725538040|180.9854986052563 +01.6076396268607|   0.870 -3.793  |10.91    |~                |    ~     ~    
3458|TYC 1875-1228-1                                                                                          |Star                           |05 53 15.3080634072 +28 59 42.020091384|180.8083188590932 +01.4625823877210|  -0.713 -4.170  |10.32    |~                |    ~     ~    
3459|TYC 1875-1282-1                                                                                          |Star                           |05 52 35.5269220704 +29 16 10.749767916|180.4980943075462 +01.4773514991153|   -7.250 6.094  |9.00     |~                |    ~     ~    
3460|TYC 1875-1341-1                                                                                          |Star                           |05 52 11.9725154088 +29 01 34.068530460|180.6641687290184 +01.2796508201528|  -2.541 -2.954  |10.37    |~                |    ~     ~    
3461|TYC 1875-1345-1                                                                                          |Star                           |05 56 04.5587112600 +29 00 14.556190716|181.1120378346031 +01.9995697284297|-17.836 -16.502  |10.99    |~                |    ~     ~    
3462|TYC 1875-1369-1                                                                                          |Emission-line Star             |05 55 21.3337394376 +28 22 44.767529256|181.5728672980461 +01.5486230282012|  -0.362 -2.683  |10.88    |~                |    ~     ~    
3463|TYC 1875-1421-1                                                                                          |Star                           |05 55 16.0594391688 +28 47 18.809496960|181.2093108675524 +01.7382602004815|   0.049 -5.079  |10.46    |~                |    ~     ~    
3464|TYC 1875-1446-1                                                                                          |Pulsating Variable             |05 52 28.3995798408 +28 30 44.037533844|181.1371419253700 +01.0696962620730|  2.996 -11.403  |10.42    |~                |    ~     ~    
3465|TYC 1875-1494-1                                                                                          |Star                           |05 52 50.1871358904 +28 20 30.421596588|181.3245359306328 +01.0517511354819| -0.505 -48.357  |10.09    |~                |    ~     ~    
3466|TYC 1875-1526-1                                                                                          |Star                           |05 51 41.5328198304 +28 47 23.932303224|180.8107791734767 +01.0637620074164|  -1.438 -4.373  |10.86    |~                |    ~     ~    
3467|TYC 1875-1586-1                                                                                          |Star                           |05 56 01.8107655912 +28 28 11.030046888|181.5691925788239 +01.7224031176829|   1.081 -2.289  |10.48    |~                |    ~     ~    
3468|TYC 1875-1702-1                                                                                          |Star                           |05 52 06.2223398520 +28 37 56.531438544|180.9923988970847 +01.0610238134075|  -0.494 -1.912  |10.71    |~                |    ~     ~    
3469|TYC 1875-1793-1                                                                                          |Star                           |05 52 37.6892513304 +28 24 19.923352308|181.2463313762542 +01.0447106662898| 14.509 -23.568  |10.94    |~                |    ~     ~    
3470|TYC 1875-1861-1                                                                                          |Star                           |05 56 28.1733973296 +28 09 34.711261056|181.8860332714834 +01.6502568744250|  4.831 -10.069  |10.42    |~                |    ~     ~    
3471|TYC 1875-1916-1                                                                                          |Star                           |05 57 10.3991503416 +28 34 22.836292752|181.6058235708771 +01.9914352687880|  -4.398 -7.919  |9.80     |~                |    ~     ~    
3472|TYC 1875-1981-1                                                                                          |Star                           |05 52 10.4085024768 +28 14 09.498987996|181.3413577746914 +00.8722672902744| -5.758 -22.168  |10.83    |~                |    ~     ~    
3473|TYC 1875-2003-1                                                                                          |Star                           |05 52 33.3473577216 +28 20 37.761155556|181.2913719395546 +00.9996140625999|  -0.002 -0.954  |10.95    |~                |    ~     ~    
3474|TYC 1875-2150-1                                                                                          |Star                           |05 59 37.8315920856 +28 17 03.076233972|182.1258790926927 +02.3157548396399|  -0.449 -3.494  |10.26    |~                |    ~     ~    
3475|TYC 1875-2160-1                                                                                          |Star                           |05 53 48.6726629472 +28 16 09.780960288|181.4958252753082 +01.1998916838057|  1.068 -15.218  |10.89    |~                |    ~     ~    
3476|TYC 1875-2200-1                                                                                          |Star                           |05 57 40.2398852328 +28 14 06.107778492|181.9533884957089 +01.9170643605069|   0.145 -3.306  |10.65    |~                |    ~     ~    
3477|TYC 1875-2322-1                                                                                          |Star                           |05 58 41.0788029288 +29 31 31.285044804|180.9447857257589 +02.7529094880813| 14.928 -35.166  |9.82     |~                |    ~     ~    
3478|TYC 1875-2323-1                                                                                          |Star                           |05 58 40.1066117952 +29 32 50.081534844|180.9240205893053 +02.7607394656679|  4.911 -10.765  |9.86     |~                |    ~     ~    
3479|TYC 1875-2418-1                                                                                          |Star                           |05 59 35.4119967360 +28 31 19.839409356|181.9147037180150 +02.4262042395364|   6.174 -9.045  |10.32    |~                |    ~     ~    
3480|TYC 2405-486-1                                                                                           |High Proper Motion Star        |05 48 55.6492438704 +30 27 34.859010816|179.0686954900029 +01.4034835482322| 29.840 -44.779  |10.01    |~                |    ~     ~    
3481|TYC 2405-506-1                                                                                           |Star                           |05 49 17.4819344328 +30 25 41.130109632|179.1361511815149 +01.4544874461873|  -2.406 -3.171  |10.72    |~                |    ~     ~    
3482|TYC 2405-620-1                                                                                           |Star                           |05 50 08.1373457112 +30 29 39.596371404|179.1726981556431 +01.6446247457819|   5.688 -5.292  |10.03    |~                |    ~     ~    
3483|TYC 2405-674-1                                                                                           |Star                           |05 50 33.2757157128 +30 34 51.718382616|179.1444131086829 +01.7665114225439|  -1.970 -2.861  |10.49    |~                |    ~     ~    
