C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
129 |BD+77 214                                                                                                |Star                           |05 50 48.6679369368 +77 07 29.101259028|136.4564435485915 +23.1206016965284| 20.818 -30.179  |10.30    |F8               |    ~     ~    
130 |HD 38103                                                                                                 |Spectroscopic Binary           |05 53 08.0529804912 +77 09 59.700450024|136.4634095502724 +23.2562593665112| 18.862 -12.997  |9.19     |G5               |    ~     ~    
131 |TYC 4528-1701-1                                                                                          |Star                           |05 54 00.4057414368 +77 29 11.408371836|136.1544027741106 +23.4116085990017|  -21.812 0.559  |10.38    |F8               |    ~     ~    
132 |BD+77 216                                                                                                |High Proper Motion Star        |05 55 15.1911920136 +77 50 18.532036680|135.8178917989177 +23.5935168605098| 10.905 -49.316  |9.97     |~                |    ~     ~    
133 |HD 38373                                                                                                 |Double or Multiple Star        |05 55 39.1463246592 +77 55 26.913246780|135.7374166607137 +23.6418924683932|  -2.479 -7.869  |8.30     |G5               |0.0117  0.0    
134 |TYC 4528-2183-1                                                                                          |Star                           |05 58 21.7823633616 +77 07 57.932828724|136.6051347501123 +23.5184477265801| -3.912 -11.982  |10.48    |F8               |    ~     ~    
135 |BD+77 218                                                                                                |Double or Multiple Star        |05 59 10.76839 +77 49 14.3875          |135.91031337 +23.78318934          |   -5.08 -10.59  |10.45    |~                |    ~     ~    
136 |BD+77 219                                                                                                |Star                           |05 59 21.8785389048 +77 50 35.778858000|135.8903087585614 +23.7996605967601|  -0.674 -4.993  |9.52     |~                |    ~     ~    
137 |BD+77 220                                                                                                |Star                           |05 59 03.0954212088 +77 24 14.884660116|136.3386559287929 +23.6426921905072|   4.028 13.235  |10.09    |G5               |    ~     ~    
138 |HD 37028                                                                                                 |Star                           |05 45 11.5744555536 +76 58 01.853150160|136.4895584080977 +22.7698517797174|  1.973 -15.754  |8.28     |G5               |    ~     ~    
139 |HD 37108                                                                                                 |Star                           |05 45 23.4787740336 +76 22 57.437820660|137.0799734697240 +22.5577004987788|   41.534 9.377  |8.69     |G0               |    ~     ~    
140 |TYC 4524-825-1                                                                                           |Star                           |05 45 39.2481111384 +76 18 29.959535592|137.1607356782025 +22.5436378804991| 16.719 -19.761  |10.06    |F5               |    ~     ~    
141 |BD+76 209                                                                                                |Spectroscopic Binary           |05 48 40.4806139616 +76 42 49.226431284|136.8249953403469 +22.8589097592592| -14.356 -4.851  |10.34    |G0               |    ~     ~    
142 |TYC 4524-327-1                                                                                           |Star                           |05 48 43.4348992440 +76 45 35.787902112|136.7794261018776 +22.8785484203033|   1.360 -9.559  |10.73    |~                |    ~     ~    
143 |BD+76 210                                                                                                |Star                           |05 52 15.7605064056 +76 35 41.977804200|137.0264130379121 +23.0090569635378|   2.490 -0.451  |9.63     |K0               |    ~     ~    
144 |HIP 27909                                                                                                |High Proper Motion Star        |05 54 19.8284304864 +76 27 45.904501152|137.2069481888154 +23.0753175497051|  55.573 -9.014  |10.59    |K                |    ~     ~    
145 |HD 38399                                                                                                 |High Proper Motion Star        |05 55 09.7815075456 +76 52 09.694116300|136.8098454888657 +23.2606601847072| 12.165 -86.672  |8.08     |F5               |    ~     ~    
146 |TYC 4524-305-1                                                                                           |Star                           |05 55 03.0444815880 +76 49 38.869464864|136.8503071721952 +23.2403128846189|   6.997 -7.774  |10.26    |F5               |    ~     ~    
