C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
3004|TYC 1287-1098-1                                                                                          |Star                                  |05 19 12.3564456288 +18 28 51.834392220|185.5755525648433 -10.7226847934724| -14.899 16.064  |10.60    |~                 |    ~     ~    
3005|TYC 1287-1113-1                                                                                          |Star                                  |05 19 10.2040481472 +18 40 56.737961292|185.4000290338080 -10.6184412050892|   -0.248 6.361  |10.06    |~                 |    ~     ~    
3006|TYC 1287-1119-1                                                                                          |Star                                  |05 17 52.0903154088 +18 40 41.488679064|185.2297184037787 -10.8774531965174| 25.967 -20.861  |10.30    |~                 |    ~     ~    
3007|TYC 1287-1161-1                                                                                          |Star                                  |05 17 51.9989753280 +18 38 55.484481588|185.2544563815256 -10.8940974818551|   3.685 -7.581  |10.17    |~                 |    ~     ~    
3008|TYC 1287-1225-1                                                                                          |Star                                  |05 17 04.9008651024 +18 36 23.237297604|185.1850297043177 -11.0722133044119|   8.537 -6.369  |10.07    |~                 |    ~     ~    
3009|TYC 1287-1234-1                                                                                          |Star                                  |05 19 59.8834075560 +18 35 40.935232536|185.5846282082817 -10.5033999925835| -35.974 -9.954  |10.20    |~                 |    ~     ~    
3010|TYC 1287-1350-1                                                                                          |Star                                  |05 15 09.6652962288 +17 10 31.426297140|186.1404042849066 -12.2474897632677|   1.785 -5.971  |10.84    |~                 |    ~     ~    
3011|TYC 1287-1351-1                                                                                          |Star                                  |05 19 09.7515031824 +17 10 30.964685088|186.6800817348077 -11.4509426999387|  -9.948 -7.780  |10.46    |~                 |    ~     ~    
3012|TYC 1287-1458-1                                                                                          |Star                                  |05 16 31.5272614320 +17 09 29.302560864|186.3398999880573 -11.9858394869080|  8.842 -12.857  |9.75     |~                 |    ~     ~    
3013|TYC 1287-1494-1                                                                                          |Star                                  |05 17 19.0072294128 +17 03 56.299973508|186.5255012922094 -11.8793935372475| -4.064 -10.839  |10.27    |~                 |    ~     ~    
3014|TYC 1287-1589-1                                                                                          |Horizontal Branch Star                |05 19 46.3453162128 +17 15 28.295817372|186.6912710646437 -11.2838715562645|   -8.422 6.090  |10.44    |~                 |    ~     ~    
3015|TYC 1287-1768-1                                                                                          |Star                                  |05 19 26.6315806896 +17 07 42.339833292|186.7576793184912 -11.4205136249624| -2.104 -10.338  |10.62    |~                 |    ~     ~    
3016|TYC 1291-1024-1                                                                                          |Star                                  |05 19 13.2725898768 +19 05 23.836451352|185.0616622850810 -10.3827810446482| 33.166 -37.427  |10.67    |~                 |    ~     ~    
3017|TYC 1291-1025-1                                                                                          |Star                                  |05 17 53.1200562792 +19 05 08.097566892|184.8872118698798 -10.6477479571106|  -3.055 -8.759  |10.80    |~                 |    ~     ~    
3018|TYC 1291-1083-1                                                                                          |Star                                  |05 19 27.8825420568 +18 48 58.087777392|185.3259540775883 -10.4863801924841|   -0.747 3.184  |10.85    |~                 |    ~     ~    
3019|TYC 1291-1193-1                                                                                          |Star                                  |05 16 52.1853321024 +18 51 31.961964456|184.9429269902099 -10.9733993593686|  -2.861 -3.967  |10.30    |~                 |    ~     ~    
3020|TYC 1291-1296-1                                                                                          |Star                                  |05 16 00.5832344832 +19 01 08.885738604|184.6918443064733 -11.0527675218175|  1.270 -18.262  |10.48    |~                 |    ~     ~    
3021|TYC 1291-1297-1                                                                                          |Star                                  |05 16 45.6705783000 +18 54 43.366028724|184.8833787788515 -10.9651011891119| 15.266 -38.280  |9.80     |~                 |    ~     ~    
3022|TYC 1291-1315-1                                                                                          |Star                                  |05 18 28.2062057640 +18 54 36.950761908|185.1136683033036 -10.6301604480025|   11.626 5.188  |9.39     |~                 |    ~     ~    
3023|TYC 1296-23-1                                                                                            |Star                                  |05 25 03.2907799032 +16 52 10.259214060|187.7229950464197 -10.4365302999425|  -1.658 -4.349  |10.57    |~                 |    ~     ~    
3024|TYC 1296-131-1                                                                                           |Spectroscopic Binary                  |05 20 07.2613142928 +16 40 47.406633672|187.2311457813334 -11.5308496738553|  -3.320 -8.887  |10.53    |~                 |    ~     ~    
3025|TYC 1296-237-1                                                                                           |Star                                  |05 21 55.7806713288 +16 49 29.389283580|187.3482576126566 -11.0889195258293|-16.931 -28.892  |10.35    |~                 |    ~     ~    
3026|TYC 1296-445-1                                                                                           |Star                                  |05 25 58.0005495768 +16 45 37.800588060|187.9360055715266 -10.3116370712109|   -1.618 4.226  |10.62    |~                 |    ~     ~    
3027|TYC 1296-500-1                                                                                           |Star                                  |05 23 30.4018193952 +16 45 15.073316316|187.6176014243473 -10.8104784752807|   5.025 -5.640  |10.20    |~                 |    ~     ~    
3028|TYC 1296-502-1                                                                                           |Star                                  |05 24 41.8761126312 +16 45 04.686410952|187.7771998543700 -10.5722870326731|   7.121 -9.120  |10.5     |~                 |    ~     ~    
3029|TYC 1300-42-1                                                                                            |Spectroscopic Binary                  |05 24 16.6237463952 +16 52 32.695262796|187.6152938681686 -10.5896628319861|  -2.301 -3.849  |10.10    |~                 |    ~     ~    
3030|TYC 1300-140-1                                                                                           |Star                                  |05 23 12.7689647976 +16 58 00.794686332|187.3968969486248 -10.7540911231728| -15.542 -6.382  |10.86    |~                 |    ~     ~    
3031|TYC 1300-171-1                                                                                           |Star                                  |05 20 52.0668865584 +17 03 47.397815748|187.0034658051965 -11.1716422208051|  -1.023 -7.719  |10.66    |~                 |    ~     ~    
3032|TYC 1300-187-1                                                                                           |Star                                  |05 23 09.1286463792 +16 59 48.896132928|187.3632142583936 -10.7499563633535| -1.323 -19.749  |10.11    |~                 |    ~     ~    
3033|TYC 1300-200-1                                                                                           |Star                                  |05 25 01.8138162792 +17 00 10.566383832|187.6056351335437 -10.3693668036991|  5.330 -17.210  |9.27     |~                 |    ~     ~    
3034|TYC 1300-321-1                                                                                           |Star                                  |05 20 03.4089267960 +17 07 20.696356848|186.8447495667377 -11.3013701933221|   1.389 -3.155  |10.64    |~                 |    ~     ~    
3035|TYC 1300-327-1                                                                                           |Star                                  |05 23 07.7958897696 +17 31 54.193213740|186.9037298049729 -10.4634745447891| -3.254 -10.174  |10.60    |~                 |    ~     ~    
3036|TYC 1300-433-1                                                                                           |Star                                  |05 19 59.9998568448 +17 08 20.410870452|186.8230138260372 -11.3036299853546|  2.919 -20.829  |10.44    |~                 |    ~     ~    
3037|TYC 1300-481-1                                                                                           |Star                                  |05 20 17.7063955608 +17 12 38.499617736|186.8012694396557 -11.2053787462874|  -0.951 -2.781  |10.36    |~                 |    ~     ~    
3038|TYC 1300-528-1                                                                                           |Star                                  |05 20 32.0249530296 +17 28 38.382025116|186.6058148351060 -11.0115943280108|  -4.232 -7.670  |10.99    |~                 |    ~     ~    
3039|TYC 1300-569-1                                                                                           |Star                                  |05 22 01.5610557168 +17 21 48.398900400|186.9011999426114 -10.7759286854095| -10.219 11.902  |9.84     |~                 |    ~     ~    
3040|TYC 1300-631-1                                                                                           |Star                                  |05 22 55.2808129272 +17 11 14.468866584|187.1700299477867 -10.6926918339668|  -4.314 -6.317  |10.61    |~                 |    ~     ~    
3041|TYC 1300-657-1                                                                                           |Star                                  |05 22 44.7915435816 +17 26 05.408702412|186.9357058901458 -10.5929216518032|   0.330 -4.822  |10.58    |~                 |    ~     ~    
3042|TYC 1300-712-1                                                                                           |Star                                  |05 21 18.4674194856 +17 09 59.186298636|186.9738984088394 -11.0271557872776|   4.952 -4.676  |10.46    |~                 |    ~     ~    
3043|TYC 1300-733-1                                                                                           |Star                                  |05 22 09.4393038624 +17 25 02.734174380|186.8725632715610 -10.7202168261118|-22.372 -42.663  |10.06    |~                 |    ~     ~    
3044|TYC 1300-754-1                                                                                           |Star                                  |05 21 30.2633956008 +17 16 59.317013604|186.9004665989138 -10.9240698985259|  -1.214 -4.362  |9.93     |~                 |    ~     ~    
3045|TYC 1300-788-1                                                                                           |Star                                  |05 22 20.0204612339 +17 23 14.566087311|186.9215510096391 -10.7013543486569|  -6.33 -11.404  |9.76     |~                 |    ~     ~    
3046|TYC 1300-804-1                                                                                           |Star                                  |05 24 29.3830935768 +17 10 12.014373036|187.3917435809154 -10.3875446372792|   1.025 -4.830  |10.23    |~                 |    ~     ~    
3047|TYC 1300-815-1                                                                                           |Star                                  |05 24 51.5151662736 +18 34 18.804712908|186.2449766953929 -09.5524647368973|  -1.032 -5.007  |10.57    |~                 |    ~     ~    
3048|TYC 1300-836-1                                                                                           |Star                                  |05 20 46.8279716976 +18 35 41.713979568|185.6883254478475 -10.3485806031142|   0.115 -5.035  |10.95    |~                 |    ~     ~    
3049|TYC 1300-838-1                                                                                           |Star                                  |05 25 21.4644183816 +18 34 55.847771112|186.3014628272007 -09.4476132681154|   0.601 -6.327  |10.67    |~                 |    ~     ~    
3050|TYC 1300-843-1                                                                                           |Star                                  |05 25 59.4692654280 +18 35 08.099721420|186.3811981172002 -09.3197387565136| -13.011 -2.216  |10.14    |~                 |    ~     ~    
3051|TYC 1300-931-1                                                                                           |Star                                  |05 20 33.2291970600 +18 41 12.054989796|185.5804112730572 -10.3428540795432|   3.839 -6.031  |10.24    |~                 |    ~     ~    
3052|TYC 1300-993-1                                                                                           |Star                                  |05 24 39.3951893376 +18 44 09.346765416|186.0790545699200 -09.5032464867815| -10.883 -6.024  |10.90    |~                 |    ~     ~    
3053|TYC 1300-1032-1                                                                                          |Star                                  |05 20 37.7394177384 +18 03 30.488657436|186.1238883733624 -10.6736522188879| -8.939 -12.028  |10.66    |~                 |    ~     ~    
3054|TYC 1300-1042-1                                                                                          |Star                                  |05 24 05.8676516208 +18 19 21.031215996|186.3574649676507 -09.8396049831281| -2.846 -28.862  |9.44     |~                 |    ~     ~    
3055|TYC 1300-1111-1                                                                                          |Star                                  |05 24 38.4153668400 +18 19 53.666873148|186.4208876521433 -09.7266934348421|   0.057 -2.773  |10.74    |~                 |    ~     ~    
3056|TYC 1300-1123-1                                                                                          |Star                                  |05 22 42.0259300032 +18 05 06.315274572|186.3755932767391 -10.2472551041796|   3.854 -3.221  |10.74    |~                 |    ~     ~    
3057|TYC 1300-1125-1                                                                                          |Star                                  |05 21 37.2786222888 +18 32 40.364134656|185.8424340291390 -10.2098301759276| -1.510 -21.718  |10.28    |~                 |    ~     ~    
3058|TYC 1300-1200-1                                                                                          |Star                                  |05 21 33.5936545248 +18 06 30.209566104|186.2049597093904 -10.4613229244771|  6.193 -14.767  |10.37    |~                 |    ~     ~    
3059|TYC 1300-1580-1                                                                                          |Star                                  |05 25 09.4052496384 +18 11 05.390864988|186.6134766941622 -09.7035456376781|  0.803 -26.245  |10.83    |~                 |    ~     ~    
3060|TYC 1300-1582-1                                                                                          |Star                                  |05 23 39.1755640392 +18 24 39.623660388|186.2237469451942 -09.8798141980641|   11.640 4.882  |10.39    |~                 |    ~     ~    
3061|TYC 1300-1599-1                                                                                          |Star                                  |05 21 53.2909446864 +18 24 58.004652960|185.9868156978333 -10.2274124866789| 21.624 -36.628  |10.09    |~                 |    ~     ~    
3062|TYC 1300-1601-1                                                                                          |Star                                  |05 24 12.9465920088 +18 11 40.778135268|186.4817757623291 -09.8857562047117|    2.046 0.373  |10.77    |~                 |    ~     ~    
3063|TYC 1300-1653-1                                                                                          |High Proper Motion Star               |05 20 14.9528469144 +17 49 33.317203512|186.2711376910065 -10.8769077882777| 10.458 -55.905  |10.46    |~                 |    ~     ~    
3064|TYC 1300-1672-1                                                                                          |Star                                  |05 23 58.7592837576 +17 49 25.918316688|186.7665774186357 -10.1347297585610|   5.113 -9.734  |10.64    |~                 |    ~     ~    
3065|TYC 1300-1675-1                                                                                          |Spectroscopic Binary                  |05 20 01.9280667960 +17 49 18.555576996|186.2457046769087 -10.9223212453277|   1.170 -4.133  |10.38    |~                 |    ~     ~    
3066|TYC 1300-1702-1                                                                                          |Star                                  |05 25 41.7237171864 +17 33 51.303810060|187.2132340372647 -09.9322260395526|-10.910 -14.388  |10.55    |~                 |    ~     ~    
3067|TYC 1300-1770-1                                                                                          |Star                                  |05 25 19.9280 +18 00 50.303            |186.7820218 -09.7612825            |  1.463 -15.304  |9.89     |~                 |    ~     ~    
3068|TYC 1300-1892-1                                                                                          |Star                                  |05 21 37.7331504264 +17 59 23.448327540|186.3149406321355 -10.5125743515424|  3.648 -35.501  |10.18    |~                 |    ~     ~    
3069|TYC 1300-2014-1                                                                                          |Star                                  |05 23 16.7928996000 +17 44 57.640425864|186.7379758153669 -10.3149630357991|  -0.328 -7.052  |10.54    |~                 |    ~     ~    
3070|TYC 1300-2047-1                                                                                          |Star                                  |05 22 14.5154835408 +17 44 37.914344592|186.6055311955929 -10.5250606591636|   3.925 -4.827  |10.54    |~                 |    ~     ~    
3071|TYC 1300-2054-1                                                                                          |Star                                  |05 20 03.9420404400 +17 53 28.685857416|186.1910790285993 -10.8774426338904| 17.926 -25.319  |10.63    |~                 |    ~     ~    
3072|TYC 1300-2058-1                                                                                          |Star                                  |05 21 49.0785320352 +17 56 59.277056964|186.3740661045272 -10.4968846796616|  5.447 -22.314  |10.26    |~                 |    ~     ~    
3073|TYC 1300-2156-1                                                                                          |Star                                  |05 24 59.3264574168 +17 40 57.364963932|187.0196319512297 -10.0096551976779|  -2.982 -4.861  |10.83    |~                 |    ~     ~    
3074|TYC 1300-2158-1                                                                                          |Star                                  |05 21 18.6325541688 +17 43 17.746851576|186.5010526430293 -10.7228955227066|   0.098 -4.838  |10.21    |~                 |    ~     ~    
3075|TYC 1300-2203-1                                                                                          |Star                                  |05 22 21.0025366368 +17 42 20.916956196|186.6522568007444 -10.5242840847145|  -0.961 -6.098  |10.62    |~                 |    ~     ~    
3076|TYC 1304-34-1                                                                                            |Star                                  |05 22 06.0972577728 +19 06 36.543641832|185.4259225271600 -09.8041410704330|  -0.061 -4.726  |10.20    |~                 |    ~     ~    
3077|TYC 1304-81-1                                                                                            |Star                                  |05 25 27.9991209720 +19 14 49.208278524|185.7505541585443 -09.0642010373122|  -0.136 -3.906  |10.60    |~                 |    ~     ~    
3078|TYC 1304-87-1                                                                                            |Star                                  |05 22 49.9599376536 +18 58 09.601192020|185.6415877981744 -09.7370257109100| -6.933 -13.128  |10.86    |~                 |    ~     ~    
3079|TYC 1304-96-1                                                                                            |Star                                  |05 22 24.1359785952 +19 05 39.565039560|185.4789348229096 -09.7534903905665|   1.048 -5.294  |10.75    |~                 |    ~     ~    
3080|TYC 1304-125-1                                                                                           |Star                                  |05 20 09.2032062336 +19 15 00.075277368|185.0499767682294 -10.1108574066784|  -1.485 -5.552  |10.74    |~                 |    ~     ~    
3081|TYC 1304-126-1                                                                                           |Star                                  |05 22 45.8601506880 +19 14 49.294383072|185.3970758721510 -09.5981960173471|  -0.167 -9.046  |9.68     |~                 |    ~     ~    
3082|TYC 1304-172-1                                                                                           |Star                                  |05 23 38.5173111360 +19 07 05.621878956|185.6214886206925 -09.4954617866504|-13.059 -10.314  |10.51    |~                 |    ~     ~    
3083|TYC 1304-173-1                                                                                           |Star                                  |05 26 10.7342619984 +18 58 12.112697676|186.0785861196336 -09.0736891205451|   0.665 -5.678  |10.47    |~                 |    ~     ~    
3084|IRAS 05222+1856                                                                                          |Star                                  |05 25 19.8087119928 +18 58 41.818734696|185.9610404869347 -09.2375963745961|    0.624 0.239  |10.02    |~                 |    ~     ~    
3085|TYC 1304-268-1                                                                                           |Star                                  |05 21 28.9687886112 +19 18 03.481055100|185.1826445776569 -09.8211238135884|  3.870 -12.043  |10.18    |~                 |    ~     ~    
3086|TYC 1304-471-1                                                                                           |High Proper Motion Star               |05 24 58.5055803600 +19 11 34.161332316|185.7324937764570 -09.1910189401339|   66.792 7.097  |10.02    |~                 |    ~     ~    
3087|TYC 1304-507-1                                                                                           |Star                                  |05 24 49.0341525672 +19 10 25.331954700|185.7281280251455 -09.2326872273875|    1.153 3.374  |9.91     |~                 |    ~     ~    
3088|TYC 1304-557-1                                                                                           |Star                                  |05 20 01.2801755472 +19 22 04.049052060|184.9328161729100 -10.0716735118508| -2.265 -19.542  |10.36    |~                 |    ~     ~    
3089|TYC 1304-644-1                                                                                           |Star                                  |05 22 36.6288196824 +18 51 33.971916564|185.7056193873154 -09.8412227619258| 16.436 -16.455  |9.71     |~                 |    ~     ~    
3090|GSC 01304-00718                                                                                          |Double or Multiple Star               |05 21 14.9920654512 +18 47 25.455202080|185.5846324716320 -10.1481845079066| 10.261 -12.537  |10.140   |~                 |    ~     ~    
3091|TYC 1304-844-1                                                                                           |Star                                  |05 26 07.8195513696 +19 27 28.049577732|185.6578620336885 -08.8181243259680|  2.267 -11.460  |9.87     |~                 |    ~     ~    
3092|HD 242574                                                                                                |Star                                  |05 19 12.1644577080 +13 52 44.581441332|189.5142084347872 -13.2400299151589|   3.727 -9.585  |10.47    |A3V               |    ~     ~    
3093|HD 34304                                                                                                 |Star                                  |05 17 05.6098121760 +16 21 05.730815196|187.1046567283889 -12.3176141498799|  3.408 -26.156  |7.42     |G8III             |    ~     ~    
3094|HD 242071                                                                                                |Star                                  |05 15 42.5892703728 +16 03 59.467469544|187.1608219539164 -12.7518909914719|   20.868 3.428  |10.39    |F8V               |    ~     ~    
3095|HD 242090                                                                                                |High Proper Motion Star               |05 15 50.3900296272 +16 08 57.291560160|187.1077501657582 -12.6802037259743|-18.809 -59.969  |10.20    |K0IV              |    ~     ~    
3096|HD 241973                                                                                                |Star                                  |05 15 00.5606322864 +15 21 21.427498512|187.6739657664922 -13.2842153293007|  1.988 -10.320  |10.95    |G5V               |    ~     ~    
3097|HD 34080                                                                                                 |Star                                  |05 15 25.7849743176 +15 37 48.426262716|187.4962494211878 -13.0486715510104|  -5.718 -5.781  |9.09     |A0V               |    ~     ~    
3098|HD 242036                                                                                                |Spectroscopic Binary                  |05 15 30.9422965800 +15 41 55.900096656|187.4490652785104 -12.9935322215651|  8.433 -34.871  |10.12    |G0V               |    ~     ~    
3099|HD 242150                                                                                                |Star                                  |05 16 12.4400888064 +15 34 54.545105892|187.6433664891874 -12.9189139540893| 12.681 -10.316  |9.58     |K2III             |    ~     ~    
3100|HD 242186                                                                                                |Star                                  |05 16 24.0 +15 49 00                   |187.4683 -12.7511                  |            ~ ~  |10.5     |K2IV              |    ~     ~    
3101|HD 242225                                                                                                |Star                                  |05 16 37.1609883840 +15 42 47.453395932|187.5867044657296 -12.7638582136328|   8.078 -1.908  |10.61    |A7V               |    ~     ~    
3102|HD 242240                                                                                                |Star                                  |05 16 40.1410333896 +15 25 02.662648536|187.8470006591384 -12.9162331034590| -2.892 -10.678  |9.46     |F5V               |    ~     ~    
3103|HD 34305                                                                                                 |Star                                  |05 17 07.8317120664 +15 15 50.230342944|188.0412466404555 -12.9072501839445| -8.134 -13.103  |8.28     |K0III             |    ~     ~    
3104|HD 242359                                                                                                |Star                                  |05 17 39.0966673488 +15 58 59.475317700|187.4951417054344 -12.4081216357041|   1.230 -6.182  |9.69     |B9V               |    ~     ~    
3105|HD 242376                                                                                                |Star                                  |05 17 43.9545653448 +15 39 23.038386012|187.7860126016772 -12.5709737363531|  -1.648 -5.923  |8.88     |K0IV              |    ~     ~    
3106|HD 242375                                                                                                |Star                                  |05 17 48.2558 +15 48 33.228            |187.6647226 -12.4728157            |  5.393 -14.970  |10.11    |K2IV              |    ~     ~    
3107|HD 34054                                                                                                 |Be Star                               |05 15 09.0365492520 +15 03 45.199295964|187.9450411311876 -13.4171787107572|   0.648 -4.260  |7.47     |B9IIe             |    ~     ~    
3108|HD 242072                                                                                                |Star                                  |05 15 36.8956420776 +14 18 07.362741960|188.6627031412275 -13.7401916014289|  -2.878 -7.551  |10.46    |F5V               |    ~     ~    
3109|HD 242124                                                                                                |Star                                  |05 15 56.2948197264 +14 19 05.810639736|188.6927714594425 -13.6657299013712|  -3.017 -0.194  |10.70    |F0V               |    ~     ~    
3110|HD 242226                                                                                                |Star                                  |05 16 35.8806479760 +14 19 12.125523252|188.7810229744216 -13.5308719485255|    9.713 0.382  |10.8     |F8III             |    ~     ~    
3111|HD 242266                                                                                                |Star                                  |05 16 47.9628383184 +14 39 28.978647660|188.5172039180878 -13.3055337285136|  4.441 -15.842  |9.32     |F2III             |    ~     ~    
3112|HD 242285                                                                                                |Star                                  |05 17 03.0623649648 +14 15 47.735329824|188.8914983423289 -13.4698042382447|   1.686 -4.341  |10.84    |A0V               |    ~     ~    
3113|HD 242337                                                                                                |Star                                  |05 17 22.5296012760 +14 23 07.389103848|188.8302099976754 -13.3373768483087| -6.698 -14.405  |10.42    |F8III             |    ~     ~    
3114|HD 34386                                                                                                 |High Proper Motion Star               |05 17 30.7413927456 +14 30 50.545481148|188.7378913322331 -13.2395128465786| 13.777 -75.156  |8.51     |G5III             |    ~     ~    
3115|HD 242378                                                                                                |Star                                  |05 17 36.6873740304 +14 13 53.496189516|188.9948497160773 -13.3731542643664|  1.903 -22.843  |10.35    |F6V               |    ~     ~    
3116|HD 242396                                                                                                |High Proper Motion Star               |05 17 43.1706923520 +14 43 01.950551292|188.5909875835776 -13.0867810183081|  -8.188 55.085  |10.34    |F8V               |    ~     ~    
3117|HD 242207                                                                                                |Star                                  |05 16 30.2510420952 +14 08 48.746084244|188.9176007361651 -13.6443520533518|   1.134 -9.871  |9.27     |F6V               |    ~     ~    
3118|HD 242277                                                                                                |Star                                  |05 17 02.4588629496 +14 02 39.456680748|189.0790556215423 -13.5910479037020|  8.450 -11.314  |9.74     |A0V               |    ~     ~    
3119|HD 242303                                                                                                |Star                                  |05 17 16.3011263688 +13 53 23.274136248|189.2437782730330 -13.6280650946567|  17.063 -4.523  |9.75     |F6V               |    ~     ~    
3120|HD 242345                                                                                                |Star                                  |05 17 29.6556238056 +13 54 09.262501236|189.2629276476183 -13.5757734921908|  -1.433 -2.294  |10.06    |A4V               |    ~     ~    
3121|IRAS 05126+1415                                                                                          |Long-Period Variable Candidate        |05 15 27.4317480840 +14 18 33.257298096|188.6349898742538 -13.7682476662834|   1.977 -3.835  |10.81    |~                 |    ~     ~    
3122|IRAS 05140+1418                                                                                          |Star                                  |05 16 54.9462109320 +14 21 23.607555228|188.7927001121784 -13.4464406834683|   1.376 -3.553  |10.77    |~                 |    ~     ~    
3123|IRAS 05148+1623                                                                                          |Star                                  |05 17 46.2988644696 +16 26 58.394923836|187.1124957581891 -12.1279052168788|   1.472 -4.569  |9.30     |~                 |    ~     ~    
3124|HD 242433                                                                                                |Star                                  |05 18 13.6680105144 +16 11 46.544201268|187.3905106170798 -12.1755163844068|   17.230 7.233  |9.73     |K0IV              |    ~     ~    
3125|HD 242507                                                                                                |Star                                  |05 18 52.9245780000 +16 15 43.126006932|187.4223177790354 -12.0081351206564|  -2.297 -5.400  |10.06    |K5IV              |    ~     ~    
3126|HD 242604                                                                                                |Star                                  |05 19 29.2269595752 +16 22 04.709528400|187.4128673126176 -11.8286259300424| -16.376 11.635  |9.43     |G8IV              |    ~     ~    
3127|HD 242769                                                                                                |Star                                  |05 20 40.1062157472 +16 24 12.319436520|187.5406079557274 -11.5719378849081|   5.699 -8.643  |10.56    |F0V               |    ~     ~    
3128|BD+16 758                                                                                                |Star                                  |05 21 12.0 +16 13 00                   |187.7714 -11.5667                  |            ~ ~  |10.3     |M0III             |    ~     ~    
3129|HD 242862                                                                                                |Star                                  |05 21 23.3462219904 +16 19 58.069418484|187.6971705287455 -11.4654687472000|   3.411 -9.287  |10.41    |A7V               |    ~     ~    
3130|HD 242879                                                                                                |Spectroscopic Binary                  |05 21 25.7028999480 +16 13 20.993274156|187.7968398497878 -11.5175744595181|  14.363 12.393  |10.65    |F8III             |    ~     ~    
3131|HD 35190                                                                                                 |Star                                  |05 23 41.7404300664 +16 29 49.800922908|187.8625371890329 -10.9116970836459|-45.092 -16.854  |8.12     |G0                |    ~     ~    
3132|HD 35269                                                                                                 |Be Star                               |05 24 09.3870216528 +16 33 45.592699356|187.8673068625926 -10.7833868326551|   0.366 -7.701  |7.88     |A0                |    ~     ~    
3133|BD+16 768                                                                                                |High Proper Motion Star               |05 24 08.7926389608 +16 30 56.653834392|187.9061819990624 -10.8107653312098| -5.191 -68.082  |9.52     |G5                |    ~     ~    
3134|HD 243529                                                                                                |Star                                  |05 25 39.5681987544 +16 38 09.627587700|188.0023155547521 -10.4406932480051|  -11.416 5.595  |8.43     |M0                |    ~     ~    
3135|* 113 Tau                                                                                                |Star                                  |05 26 05.7221338104 +16 42 00.574883100|188.0045483762349 -10.3181813880957|  -0.116 -5.498  |6.230    |B2Vn              |    ~     ~    
3136|HD 243614                                                                                                |Star                                  |05 26 14.0259604008 +16 41 53.864736540|188.0242803215882 -10.2912583551472| 15.738 -29.734  |9.38     |G0                |    ~     ~    
3137|HD 242701                                                                                                |Pulsating Variable                    |05 20 03.6792989280 +16 07 18.823710324|187.7003861442854 -11.8476368174934|   5.911 -9.457  |9.38     |A0V               |    ~     ~    
3138|HD 34977                                                                                                 |Star                                  |05 21 59.9836200792 +16 05 32.892185760|187.9843054167677 -11.4730549376030|  7.297 -11.332  |8.69     |A0V               |    ~     ~    
3139|HD 35036                                                                                                 |Star                                  |05 22 23.4667658136 +16 07 21.866256660|188.0103996120561 -11.3776657332787|  6.542 -47.345  |7.49     |A0V               |    ~     ~    
3140|HD 243138                                                                                                |Star                                  |05 23 14.9692733880 +16 03 29.844114516|188.1795430010417 -11.2392547737724|  6.873 -11.175  |10.10    |B9V               |    ~     ~    
3141|HD 242419                                                                                                |Star                                  |05 18 01.9187500200 +15 27 36.519463044|187.9947588497462 -12.6180109927190|  1.962 -10.182  |10.53    |A8V               |    ~     ~    
3142|HD 242508                                                                                                |Star                                  |05 18 51.1669415736 +15 42 41.720007672|187.8897223682849 -12.3150697131440|  -6.938 -6.242  |9.93     |A7V               |    ~     ~    
3143|HD 242541                                                                                                |Star                                  |05 18 58.1910132384 +15 12 11.323054980|188.3418662058558 -12.5687752756725| -1.166 -19.388  |10.59    |A2V               |    ~     ~    
3144|HD 242605                                                                                                |Star                                  |05 19 23.7694361376 +15 17 00.463655616|188.3302165363242 -12.4387950153118| 13.211 -13.706  |10.84    |G5IV              |    ~     ~    
3145|HD 34636                                                                                                 |Star                                  |05 19 38.9871848184 +15 47 09.592373508|187.9330200301153 -12.1137685513945| -13.105 -1.266  |8.36     |A2V               |    ~     ~    
3146|BD+15 788                                                                                                |Star                                  |05 20 00.9312779040 +15 36 51.958926144|188.1292178995831 -12.1334343085588|  4.734 -14.566  |10.94    |K0III             |    ~     ~    
3147|HD 34811                                                                                                 |Star                                  |05 20 43.2467689368 +15 38 12.912820800|188.2043579607584 -11.9787170630396|   2.397 -5.816  |8.24     |A3V               |    ~     ~    
3148|HD 242806                                                                                                |Star                                  |05 20 52.1862342792 +15 55 40.843286508|187.9746158466852 -11.7903654234114|   4.720 -3.315  |10.19    |A1V               |    ~     ~    
3149|HD 242851                                                                                                |Double or Multiple Star               |05 21 23.7310099224 +15 48 53.932821228|188.1417177455933 -11.7456680086635|   -5.023 3.677  |9.98     |F5V               |0.0033  0.0    
3150|HD 34906                                                                                                 |Be Star                               |05 21 25.4506431960 +16 01 43.986145332|187.9621458757491 -11.6236891221131|   4.618 -8.883  |9.20     |B9V               |    ~     ~    
3151|HD 242880                                                                                                |Star                                  |05 21 26.9527482168 +15 24 35.494668576|188.4966470164109 -11.9545421674372| -4.522 -15.135  |9.87     |F2V               |    ~     ~    
