C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
78  |TYC 3366-1897-1                                                                                          |Star                                  |05 20 13.0052079960 +48 57 44.446645044|160.4815705411907 +06.7451606647620| -6.986 -12.002  |10.99    |~                 |    ~     ~    
79  |TYC 3366-2171-1                                                                                          |Star                                  |05 20 18.2354116824 +48 56 50.399006928|160.5021791756499 +06.7485256789777|   -0.516 2.079  |10.70    |~                 |    ~     ~    
80  |TYC 3366-2182-1                                                                                          |High Proper Motion Star               |05 17 56.0065571640 +48 52 40.838739888|160.3376516928015 +06.3882749814155|  5.956 -49.525  |9.77     |~                 |    ~     ~    
81  |V* IM Aur                                                                                                |Eclipsing Binary                      |05 15 29.7441759312 +46 24 21.453397632|162.1346501343751 +04.6331816961820|  -4.424 -5.663  |8.11     |B7V               |    ~     ~    
82  |BD+45 1075                                                                                               |Star                                  |05 15 09.8257704264 +46 04 01.938022104|162.3783946600435 +04.3902700254152|  -6.166 -9.432  |9.51     |A0                |    ~     ~    
83  |HD 33842                                                                                                 |Star                                  |05 15 17.1798441408 +44 41 58.611228900|163.5078159381536 +03.6147638335493|  -0.948 -3.203  |8.66     |K0                |    ~     ~    
84  |LS V +44 35                                                                                              |Emission-line Star                    |05 15 26.0578036512 +44 34 01.927372152|163.6311811248764 +03.5593875687902|  -0.725 -1.379  |10.43    |OB-e              |    ~     ~    
85  |BD+44 1148                                                                                               |Star                                  |05 15 57.0464847333 +44 51 37.912347053|163.4448476482658 +03.8040999693928|  -0.558 -1.719  |10.49    |B                 |    ~     ~    
86  |BD+44 1152                                                                                               |Star                                  |05 16 19.2504 +44 47 00.674            |163.5458450 +03.8131216            |       7.6 -8.3  |9.62     |A2                |    ~     ~    
87  |HD 34131                                                                                                 |Star                                  |05 17 16.3077937128 +45 01 35.432802804|163.4441213313989 +04.0907875339254|  -0.140 -2.066  |9.43     |A0                |    ~     ~    
88  |BD+44 1157                                                                                               |Spectroscopic Binary                  |05 17 43.3123661712 +44 43 44.800229964|163.7340302679206 +03.9850882932611|   1.391 -6.513  |9.36     |K2                |    ~     ~    
89  |HD 34236                                                                                                 |Star                                  |05 18 03.8944786608 +44 49 04.700204688|163.6961078539372 +04.0859429417372|   0.025 -0.512  |9.03     |A0                |    ~     ~    
90  |BD+44 1159                                                                                               |Star                                  |05 18 14.5904813016 +44 43 26.970576384|163.7913528823155 +04.0580828656293|   0.735 -9.264  |9.45     |K0                |    ~     ~    
91  |BD+46 984                                                                                                |Star                                  |05 15 24.0126145344 +47 08 19.661945136|161.5250492810602 +05.0434837562120|   5.386 -6.262  |9.18     |K0                |    ~     ~    
92  |BD+46 986                                                                                                |Star                                  |05 15 44.7243273024 +47 09 03.133258056|161.5491764600033 +05.0983786673694| 14.165 -26.746  |9.24     |F8                |    ~     ~    
93  |* 12 Aur                                                                                                 |Be Star                               |05 16 27.0829839192 +46 24 57.811759128|162.2217667785318 +04.7735312725676|  -3.321 -1.106  |6.95     |B2Ve              |    ~     ~    
94  |BD+46 990                                                                                                |Star                                  |05 16 31.3669457832 +46 23 08.265873624|162.2538435674381 +04.7660703999483|   1.390 -2.207  |9.85     |A0                |    ~     ~    
95  |HD 34248                                                                                                 |Star                                  |05 18 24.3045924744 +47 02 53.487226572|161.8944078945108 +05.4101930546736|   -0.331 0.008  |7.720    |G5                |    ~     ~    
96  |BD+45 1076                                                                                               |High Proper Motion Star               |05 16 31.8052843464 +46 08 27.431275740|162.4552697240567 +04.6261863337509|  7.343 -54.961  |8.06     |F0                |    ~     ~    
97  |HD 34130                                                                                                 |Star                                  |05 17 26.2825573224 +46 08 06.907544124|162.5506809730404 +04.7516006558316|    0.396 1.002  |9.36     |A                 |    ~     ~    
