C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
2796|HD 10795                                                                                                 |Star                                |01 45 43.8320592336 +03 40 02.005524696|148.0632442002751 -56.5320880311659| -17.224 -9.112  |6.99     |A3IV           |    ~     ~            |    1|  128.393   pc  |  -0.4847     +0.4847  |paral   |2020yCat.1350....0G
2797|BD+02 267                                                                                                |Star                                |01 45 45.1328815872 +03 10 31.221098256|148.4143571788546 -56.9847874446701|  11.770 -3.996  |8.25     |K5             |    ~     ~            |    1|  665.247   pc  | -13.1439    +13.1439  |paral   |2020yCat.1350....0G
2798|HD 10809                                                                                                 |Star                                |01 45 54.9961938096 +03 25 03.189587592|148.3140592575024 -56.7453190696828| -13.212 -9.930  |6.82     |F2II/III       |    ~     ~            |    1|  169.503   pc  |  -0.8217     +0.8217  |paral   |2020yCat.1350....0G
2799|HD 11037                                                                                                 |Star                                |01 48 26.0194155048 +03 41 07.618785792|149.1742467727150 -56.2545764602520|  -7.933 19.223  |5.904    |K0III          |    ~     ~            |    1|  113.239   pc  |  -0.6694     +0.6694  |paral   |2020yCat.1350....0G
2800|HD 11157                                                                                                 |Star                                |01 49 48.5359843368 +03 01 16.542758676|150.2266945043789 -56.7250701705390|   35.895 9.451  |8.87     |A9V            |    ~     ~            |    1|  221.675   pc  |  -1.1499     +1.1499  |paral   |2020yCat.1350....0G
2801|BD+02 277                                                                                                |Star                                |01 50 25.2163626840 +03 21 03.513014064|150.2348105129507 -56.3617830062092| 17.129 -19.310  |9.44     |K0             |    ~     ~            |    1|  228.781   pc  |  -0.9317     +0.9317  |paral   |2020yCat.1350....0G
2802|BD+02 283                                                                                                |Star                                |01 51 56.0219584944 +02 49 46.953009912|151.2506072802695 -56.6787509079113| -21.892 -4.030  |10.70    |F8             |    ~     ~            |    1|  285.209   pc  |  -1.6513     +1.6513  |paral   |2020yCat.1350....0G
2803|BD+02 263                                                                                                |Spectroscopic Binary                |01 45 13.8130 +03 30 49.253            |147.9586485 -56.7214244            |228.655 -10.021  |10.61    |sdF6           |    ~     ~            |    0|                |                       |        |                   
2804|CCDM J01519+0341A                                                                                        |Star                                |01 51 51.996 +03 40 53.47              |150.581110 -55.912032              |            ~ ~  |10.6     |~              |    ~     ~            |    0|                |                       |        |                   
2805|2MASS J01515334+0340489                                                                                  |Star                                |01 51 53.3449919520 +03 40 49.041639624|150.5911288443212 -55.9108302979108|   7.068 -8.666  |10.6     |~              |    ~     ~            |    1|  735.727   pc  |  -8.6607     +8.6607  |paral   |2020yCat.1350....0G
2806|TYC 32-6-1                                                                                               |Star                                |01 49 55.0223879328 +03 04 25.271012964|150.2325280609478 -56.6661936323137|  26.811 -3.589  |10.15    |~              |    ~     ~            |    1|  197.863   pc  |  -0.8026     +0.8026  |paral   |2020yCat.1350....0G
2807|TYC 32-42-1                                                                                              |Star                                |01 45 29.6502253992 +03 24 15.421575384|148.1454122097553 -56.7977513983956| -6.054 -19.001  |10.47    |~              |    ~     ~            |    1|  903.506   pc  | -15.5918    +15.5918  |paral   |2020yCat.1350....0G
2808|TYC 32-66-1                                                                                              |Star                                |01 45 41.3075680200 +02 34 19.661789964|148.8180429269879 -57.5473443401711|   10.724 1.743  |10.36    |~              |    ~     ~            |    1|  308.328   pc  |  -3.0421     +3.0421  |paral   |2020yCat.1350....0G
2809|TYC 32-98-1                                                                                              |Star                                |01 49 39.4672 +02 34 54.335            |150.4942480 -57.1413354            |-42.730 -21.080  |10.77    |~              |    ~     ~            |    0|                |                       |        |                   
2810|TYC 32-110-1                                                                                             |Star                                |01 49 17.9483063472 +02 30 46.205005392|150.3959321381820 -57.2410160542359|  2.828 -23.994  |10.52    |~              |    ~     ~            |    1|  298.855   pc  |  -1.6702     +1.6702  |paral   |2020yCat.1350....0G
2811|TYC 32-125-1                                                                                             |Star                                |01 47 21.9133431240 +02 40 53.901267564|149.4529000416529 -57.2819251599036|  46.623 -9.017  |10.61    |~              |    ~     ~            |    1|  477.008   pc  |  -3.9591     +3.9591  |paral   |2020yCat.1350....0G
2812|TYC 32-161-1                                                                                             |Star                                |01 48 30.6530569896 +02 58 33.051654804|149.7190597139128 -56.8978927040405|  4.657 -13.092  |10.99    |~              |    ~     ~            |    1|  220.580   pc  |  -0.8904     +0.8904  |paral   |2020yCat.1350....0G
2813|TYC 32-229-1                                                                                             |Star                                |01 49 38.8087555728 +02 38 26.720418012|150.4448927822950 -57.0887053348219| 16.766 -12.731  |9.50     |~              |    ~     ~            |    1|  482.137   pc  |  -3.6960     +3.6960  |paral   |2020yCat.1350....0G
2814|TYC 32-282-1                                                                                             |Star                                |01 46 37.3077636720 +03 02 18.139072128|148.8792450549435 -57.0271488218655| 19.625 -18.318  |10.23    |~              |    ~     ~            |    0|                |                       |        |                   
2815|TYC 32-317-1                                                                                             |Star                                |01 48 29.1704568768 +02 37 40.105159248|149.9668008112705 -57.2188630154434|    3.309 9.122  |10.06    |~              |    ~     ~            |    1|  245.972   pc  |  -1.0104     +1.0104  |paral   |2020yCat.1350....0G
2816|TYC 32-379-1                                                                                             |Star                                |01 49 14.6574816360 +02 34 24.866931900|150.3268277829824 -57.1912484827198|  8.832 -13.147  |10.81    |~              |    ~     ~            |    1|  469.991   pc  |  -3.7772     +3.7772  |paral   |2020yCat.1350....0G
2817|TYC 32-535-1                                                                                             |Star                                |01 46 52.0517761272 +04 47 57.364021428|147.7700247213464 -55.3766934238718|  35.265 -5.565  |10.36    |~              |    ~     ~            |    1|  708.717   pc  |  -9.0913     +9.0913  |paral   |2020yCat.1350....0G
2818|TYC 32-624-1                                                                                             |Star                                |01 47 14.1538367352 +03 45 54.926379324|148.6226369805063 -56.2977906203558|    -11.3 -25.4  |10.488   |~              |    ~     ~            |    0|                |                       |        |                   
2819|TYC 32-800-1                                                                                             |Star                                |01 48 07.9250057064 +04 49 00.849446832|148.2705672724921 -55.2410703778614| 14.305 -18.516  |10.48    |~              |    ~     ~            |    1|  307.863   pc  |  -1.8387     +1.8387  |paral   |2020yCat.1350....0G
2820|TYC 32-851-1                                                                                             |Star                                |01 45 10.0818881976 +04 25 46.998561972|147.3171009918173 -55.8772218549278|    2.869 2.449  |9.99     |~              |    ~     ~            |    1|  276.939   pc  |  -9.7863     +9.7863  |paral   |2020yCat.1350....0G
2821|TYC 32-925-1                                                                                             |Star                                |01 47 12.3129761832 +03 55 51.777611652|148.4948905179195 -56.1477860332165|  9.324 -18.638  |9.91     |~              |    ~     ~            |    1|  437.867   pc  |  -3.2977     +3.2977  |paral   |2020yCat.1350....0G
2822|TYC 32-970-1                                                                                             |Star                                |01 45 34.7448564888 +03 42 47.717027316|147.9682902004104 -56.5037599988384|  13.839 -2.799  |10.81    |~              |    ~     ~            |    1|  524.742   pc  |  -4.7912     +4.7912  |paral   |2020yCat.1350....0G
2823|TYC 32-985-1                                                                                             |Star                                |01 45 59.8377974256 +03 54 43.527558600|148.0071034668670 -56.2802482517402| -0.630 -13.213  |10.62    |~              |    ~     ~            |    1|  833.889   pc  | -14.1160    +14.1160  |paral   |2020yCat.1350....0G
2824|TYC 32-1135-1                                                                                            |Star                                |01 48 39.8867112384 +03 22 18.504510132|149.4945357647622 -56.5196445792890|  9.178 -39.073  |10.39    |~              |    ~     ~            |    1|  244.762   pc  |  -1.3060     +1.3060  |paral   |2020yCat.1350....0G
2825|TYC 32-1183-1                                                                                            |Star                                |01 48 58.4651261928 +03 28 11.735497200|149.5518956571013 -56.3988388986035|   3.970 -8.367  |10.50    |~              |    ~     ~            |    1|  694.059   pc  | -15.0296    +15.0296  |paral   |2020yCat.1350....0G
2826|TYC 33-30-1                                                                                              |Star                                |01 52 17.6615181000 +02 59 32.879206140|151.2737987670984 -56.4931827225183| 11.114 -18.556  |10.44    |~              |    ~     ~            |    1|  337.541   pc  |  -2.0964     +2.0964  |paral   |2020yCat.1350....0G
2827|TYC 33-111-1                                                                                             |Star                                |01 51 14.6636376336 +02 56 53.423800872|150.8758677855756 -56.6435626018575|    3.382 1.632  |10.27    |~              |    ~     ~            |    1|  169.515   pc  |  -0.5919     +0.5919  |paral   |2020yCat.1350....0G
2828|TYC 33-260-1                                                                                             |Star                                |01 51 33.4576235712 +02 42 20.593463796|151.1908360016153 -56.8307978002796|  29.275 -8.921  |10.51    |~              |    ~     ~            |    1|  401.623   pc  |  -2.8228     +2.8228  |paral   |2020yCat.1350....0G
2829|TYC 33-359-1                                                                                             |Star                                |01 51 57.0166466520 +03 09 28.153925892|151.0068915168972 -56.3794052922925|   3.304 -6.393  |9.88     |~              |    ~     ~            |    1|  933.271   pc  | -20.4684    +20.4684  |paral   |2020yCat.1350....0G
2830|TYC 33-375-1                                                                                             |Star                                |01 51 33.8984656608 +03 10 43.591729512|150.8332350196396 -56.4006032973708|  -4.456 -6.632  |10.70    |~              |    ~     ~            |    1|  567.859   pc  |  -6.1913     +6.1913  |paral   |2020yCat.1350....0G
2831|TYC 33-404-1                                                                                             |Star                                |01 50 14.8020852648 +03 58 07.392711648|149.7149081045499 -55.8146515806645| -2.849 -12.434  |10.94    |~              |    ~     ~            |    1|  290.478   pc  |  -1.6622     +1.6622  |paral   |2020yCat.1350....0G
2832|TYC 33-481-1                                                                                             |Star                                |01 51 41.9448334200 +04 03 44.622309924|150.2349496797573 -55.5821047517169|   17.065 1.744  |10.49    |~              |    ~     ~            |    1|  187.857   pc  |  -7.6862     +7.6862  |paral   |2020yCat.1350....0G
2833|TYC 33-538-1                                                                                             |Star                                |01 50 30.4240753296 +04 08 57.739196616|149.6915664884128 -55.6231367988013| 34.998 -27.121  |10.21    |~              |    ~     ~            |    1|  304.053   pc  |  -1.6363     +1.6363  |paral   |2020yCat.1350....0G
2834|TYC 33-736-1                                                                                             |High Proper Motion Star             |01 51 47.4296418120 +03 47 39.590161728|150.4672500467086 -55.8171399259889| 57.158 -95.965  |10.82    |~              |    ~     ~            |    1|  239.069   pc  |  -0.9087     +0.9087  |paral   |2020yCat.1350....0G
2835|TYC 33-805-1                                                                                             |Star                                |01 52 23.6875627752 +04 32 18.167532900|150.1709975297642 -55.0768139522317|   9.054 -7.236  |10.26    |~              |    ~     ~            |    1|  520.616   pc  |  -4.9059     +4.9059  |paral   |2020yCat.1350....0G
2836|HD 11456                                                                                                 |High Proper Motion Star             |01 52 38.3634503640 +02 29 53.769917976|151.7996997977650 -56.9034067418382| 67.280 -15.218  |7.52     |G8III/IV       |    ~     ~            |    1|  236.044   pc  |  -1.2703     +1.2703  |paral   |2020yCat.1350....0G
2837|BD+01 351                                                                                                |Star                                |01 56 39.1536379872 +02 31 10.109455320|153.4200143760368 -56.4422403053844|    4.872 8.591  |9.92     |K2             |    ~     ~            |    1|  750.920   pc  |  -8.6838     +8.6838  |paral   |2020yCat.1350....0G
2838|HD 11455                                                                                                 |Star                                |01 52 47.5732323768 +04 39 46.867771944|150.2399051735277 -54.9224962950909|  -2.075 -4.542  |7.96     |K0III          |    ~     ~            |    1|  304.229   pc  |  -2.4527     +2.4527  |paral   |2020yCat.1350....0G
2839|HD 11626                                                                                                 |Star                                |01 54 14.9884613568 +04 35 08.163332124|150.8701031158930 -54.8426696630911| -9.787 -38.376  |8.55     |K0III          |    ~     ~            |    1|  172.179   pc  |  -0.7589     +0.7589  |paral   |2020yCat.1350....0G
2840|V* AA Psc                                                                                                |Long-Period Variable                |01 54 35.3382763560 +04 42 42.943322016|150.9114700483464 -54.6925647993199| 29.352 -22.710  |10.82    |M7             |    ~     ~            |    1|  680.828   pc  | -43.8496    +43.8496  |paral   |2020yCat.1350....0G
2841|BD+03 259                                                                                                |High Proper Motion Star             |01 53 57.0866245056 +03 58 45.575066316|151.1978936503670 -55.4240384735623| 29.051 -41.244  |9.65     |G0             |    ~     ~            |    1|  203.774   pc  |  -0.7723     +0.7723  |paral   |2020yCat.1350....0G
2842|BD+03 261                                                                                                |Star                                |01 54 31.8895993032 +03 49 50.104384068|151.5403412849967 -55.4972358548319|  -0.309 -3.527  |10.12    |K5             |    ~     ~            |    1|  967.586   pc  | -16.0094    +16.0094  |paral   |2020yCat.1350....0G
2843|BD+03 263p                                                                                               |Star                                |01 54 54.6067300128 +03 47 04.780312152|151.7257342621698 -55.4982764998185|  12.922 13.316  |9.80     |~              |    ~     ~            |    1|  122.285   pc  |  -0.6011     +0.6011  |paral   |2020yCat.1350....0G
2844|TYC 33-768-1                                                                                             |High Proper Motion Star             |01 54 55.3324094880 +03 46 09.328275984|151.7422321138792 -55.5108886672712|  80.363 -2.878  |9.92     |~              |    ~     ~            |    1|   77.546   pc  |  -0.1191     +0.1191  |paral   |2020yCat.1350....0G
2845|BD+02 288                                                                                                |Star                                |01 53 06.5516191728 +03 16 44.414370408|151.3869643024272 -56.1474392396205|   13.806 4.672  |9.67     |K0             |    ~     ~            |    1|  691.372   pc  |  -8.0303     +8.0303  |paral   |2020yCat.1350....0G
2846|BD+02 289                                                                                                |Star                                |01 53 30.6886680960 +03 16 20.744175936|151.5549913352600 -56.1106254804560|  6.561 -10.072  |9.36     |A5             |    ~     ~            |    1|  229.901   pc  |  -0.9408     +0.9408  |paral   |2020yCat.1350....0G
2847|* ksi Psc                                                                                                |Spectroscopic Binary                |01 53 33.3369902664 +03 11 15.117021888|151.6380331841240 -56.1826587426227|  32.687 25.146  |4.604    |G8.5IIIb       |    ~     ~            |    1|   60.009   pc  |  -0.8700     +0.8700  |paral   |2020yCat.1350....0G
2848|BD+02 291                                                                                                |High Proper Motion Star             |01 53 53.7899055792 +03 16 13.451786220|151.7122192379673 -56.0713150987418| 36.713 -66.078  |10.03    |G0             |    ~     ~            |    1|  169.010   pc  |  -0.5599     +0.5599  |paral   |2020yCat.1350....0G
2849|HD 11690                                                                                                 |High Proper Motion Star             |01 54 48.2548712904 +03 23 37.440199680|151.9824906134947 -55.8623738088592|   92.230 5.470  |7.75     |F6V            |    ~     ~            |    1|   73.641   pc  |  -0.1448     +0.1448  |paral   |2020yCat.1350....0G
2850|NGC 718                            NGC 718                                                               |Galaxy towards a Cluster of Galaxies|01 53 13.2842245224 +04 11 44.843164296|150.7473826465887 -55.3038958261348|            ~ ~  |11.67    |~              |1.247 1.147            |    1|   24.6     Mpc |                       |redshift|2011MNRAS.413..813C
2851|BD+03 267                                                                                                |Star                                |01 56 58.2405333624 +04 43 56.316869076|151.8227138798655 -54.4217823074443|  3.174 -29.917  |10.21    |G5             |    ~     ~            |    1|  167.398   pc  |  -0.5156     +0.5156  |paral   |2020yCat.1350....0G
2852|BD+03 271                                                                                                |Star                                |01 59 47.4470265504 +04 32 02.229614016|153.0554398614740 -54.2908774582678|-21.657 -28.646  |10.02    |F8             |    ~     ~            |    1|  404.826   pc  |  -3.6710     +3.6710  |paral   |2020yCat.1350....0G
2853|HD 12195                                                                                                 |Star                                |01 59 48.8383173024 +04 35 30.998064372|153.0198205471388 -54.2364386522042|  25.025 19.145  |8.30     |G8/K0III/IV    |    ~     ~            |    1|  330.513   pc  |  -3.6158     +3.6158  |paral   |2020yCat.1350....0G
2854|BD+03 266                                                                                                |High Proper Motion Star             |01 56 27.0652044288 +03 53 37.758957108|152.2520901889550 -55.2333682539887|-50.133 -50.241  |10.24    |F5             |    ~     ~            |    1|  327.654   pc  | -13.6236    +13.6236  |paral   |2020yCat.1350....0G
2855|BD+03 268                                                                                                |Star                                |01 57 35.6544980304 +04 04 58.391906232|152.5546679813786 -54.9383517906220|   6.695 -9.578  |10.69    |G0             |    ~     ~            |    1|  426.203   pc  |  -4.3777     +4.3777  |paral   |2020yCat.1350....0G
2856|BD+03 269                                                                                                |Star                                |01 58 16.8101822400 +04 03 06.428548440|152.8454279196352 -54.8904616094330|-16.602 -17.919  |9.78     |F2             |    ~     ~            |    1|  211.779   pc  |  -0.7669     +0.7669  |paral   |2020yCat.1350....0G
2857|BD+03 270                                                                                                |Star                                |01 59 37.0755849096 +03 56 27.333837564|153.4499129811715 -54.8397258016965| -3.347 -20.001  |10.15    |K2             |    ~     ~            |    1|  787.402   pc  |  -9.7960     +9.7960  |paral   |2020yCat.1350....0G
2858|BD+02 296                                                                                                |Double or Multiple Star             |01 55 22.01763 +02 57 24.0596          |152.55017848 -56.19421717          |   -3.69 -55.47  |9.63     |K0             |    ~     ~            |    0|                |                       |        |                   
2859|BD+02 299                                                                                                |Star                                |01 57 22.6358420472 +02 48 26.675330112|153.4760909235514 -56.1035799068601|   16.769 6.837  |9.38     |K5             |    ~     ~            |    1| 1219.215   pc  | -24.9729    +24.9729  |paral   |2020yCat.1350....0G
2860|BD+02 302                                                                                                |Star                                |01 57 59.5832186304 +03 40 11.316891000|153.0311165618453 -55.2642723400740| -3.283 -17.740  |9.22     |K0             |    ~     ~            |    1|  532.425   pc  |  -7.5688     +7.5688  |paral   |2020yCat.1350....0G
2861|BD+02 308                                                                                                |High Proper Motion Star             |01 59 24.2805815208 +03 20 01.757946552|153.8507291640041 -55.4044183656669| 79.719 -21.902  |10.62    |G0             |    ~     ~            |    1|  224.321   pc  |  -1.6757     +1.6757  |paral   |2020yCat.1350....0G
2862|BD+02 310                                                                                                |Star                                |01 59 49.1158138800 +02 58 03.055166760|154.3112840456397 -55.6818309917287| 14.849 -20.784  |9.99     |K2             |    ~     ~            |    1|  572.246   pc  |  -6.2218     +6.2218  |paral   |2020yCat.1350....0G
2863|2MASS J01561426+0437076                                                                                  |Star                                |01 56 14.2542840048 +04 37 07.657314384|151.6227374176503 -54.6028227917376|  25.570 -7.075  |10.9     |~              |    ~     ~            |    1|  344.376   pc  |  -1.8145     +1.8145  |paral   |2020yCat.1350....0G
2864|StKM 1-215                                                                                               |High Proper Motion Star             |01 57 56.0291345712 +03 55 49.291746708|152.8047043153111 -55.0376316455927|-5.194 -107.648  |10.85    |K4             |    ~     ~            |    1|   59.938   pc  |  -0.0733     +0.0733  |paral   |2020yCat.1350....0G
2865|HD 11775                                                                                                 |Star                                |01 55 36.2969808578 +03 34 40.440646973|152.1601630736422 -55.6097210049555| -5.423 -14.180  |9.485    |F0V            |    ~     ~            |    1|  162.874   pc  |  -0.5119     +0.5119  |paral   |2020yCat.1350....0G
2866|IRAS 01548+0254                                                                                          |Star                                |01 57 26.4569012760 +03 09 33.750887976|153.2178673416073 -55.7822998588408|   5.328 -7.047  |9.87     |~              |    ~     ~            |    1| 1099.747   pc  | -25.6402    +25.6402  |paral   |2020yCat.1350....0G
2867|TYC 33-62-1                                                                                              |Star                                |01 58 03.6027647256 +03 02 06.224362008|153.5631094200153 -55.8233752317776| 34.883 -10.026  |10.76    |~              |    ~     ~            |    1|  146.203   pc  |  -0.3142     +0.3142  |paral   |2020yCat.1350....0G
2868|TYC 33-86-1                                                                                              |Star                                |01 59 23.5629 +02 59 15.894            |154.1274221 -55.7131060            | -9.551 -17.652  |10.15    |~              |    ~     ~            |    0|                |                       |        |                   
2869|TYC 33-223-1                                                                                             |High Proper Motion Star             |01 55 53.0424850296 +03 24 33.269235804|152.4019353964273 -55.7309858015894| 76.519 -51.359  |10.21    |~              |    ~     ~            |    1|   93.044   pc  |  -0.1541     +0.1541  |paral   |2020yCat.1350....0G
2870|TYC 33-302-1                                                                                             |Star                                |01 52 32.1748947120 +02 43 00.047705448|151.5861538258993 -56.7171229399807|   0.945 -7.400  |10.22    |~              |    ~     ~            |    1|  368.555   pc  |  -2.4178     +2.4178  |paral   |2020yCat.1350....0G
2871|TYC 33-446-1                                                                                             |Star                                |01 54 22.1680605864 +03 41 45.302784072|151.5774854169100 -55.6362603390681|   7.591 -6.972  |10.47    |~              |    ~     ~            |    1| 3944.773   pc  |-245.8675   +245.8675  |paral   |2020yCat.1350....0G
2872|TYC 33-524-1                                                                                             |Star                                |01 53 17.4414448824 +04 21 19.480923900|150.6585415816418 -55.1515467332465|-29.463 -13.918  |10.33    |~              |    ~     ~            |    1|  210.305   pc  |  -1.3313     +1.3313  |paral   |2020yCat.1350....0G
2873|TYC 33-648-1                                                                                             |Spectroscopic Binary                |01 54 08.8353669096 +03 38 10.288261896|151.5338447898438 -55.7139466579507| -6.442 -18.757  |10.05    |~              |    ~     ~            |    1|  291.766   pc  |  -3.1242     +3.1242  |paral   |2020yCat.1350....0G
2874|TYC 33-659-1                                                                                             |Star                                |01 56 08.5241043936 +04 10 10.223432220|151.9211380190614 -55.0185819042898|  19.254 -5.508  |9.85     |~              |    ~     ~            |    1| 1736.714   pc  | -82.3416    +82.3416  |paral   |2020yCat.1350....0G
2875|TYC 33-864-1                                                                                             |Star                                |01 58 35.2110416760 +03 32 03.060417660|153.3706119648206 -55.3188302889928|-14.397 -17.734  |10.89    |~              |    ~     ~            |    1|  285.331   pc  |  -1.4329     +1.4329  |paral   |2020yCat.1350....0G
2876|TYC 33-1142-1                                                                                            |Double or Multiple Star             |01 52 54.977376 +03 29 59.01504        |151.141582431 -55.967817171        |      5.8 -16.2  |10.613   |~              |    ~     ~            |    0|                |                       |        |                   
2877|TYC 33-1179-1                                                                                            |Star                                |01 54 49.1661023184 +03 25 53.444329896|151.9594553494723 -55.8266757538838|  -9.064 -3.776  |10.8     |~              |    ~     ~            |    1|  252.928   pc  |  -1.1771     +1.1771  |paral   |2020yCat.1350....0G
2878|TYC 33-1212-1                                                                                            |Star                                |01 52 44.0999255040 +03 33 59.261548032|151.0181592907235 -55.9263023565097|   8.178 -2.919  |10.06    |~              |    ~     ~            |    1| 1730.403   pc  | -75.4562    +75.4562  |paral   |2020yCat.1350....0G
2879|BD+06 266                                                                                                |Star                                |01 45 42.6124195104 +07 27 07.883650260|145.6741402008164 -53.0063352275611| -4.334 -15.667  |10.46    |G0             |    ~     ~            |    1|  397.125   pc  |  -4.8574     +4.8574  |paral   |2020yCat.1350....0G
2880|BD+06 268                                                                                                |High Proper Motion Star             |01 45 55.9611177840 +07 25 44.585112396|145.7734495834373 -53.0088542038304|   87.827 3.949  |9.79     |G5             |    ~     ~            |    1|   87.021   pc  |  -0.1424     +0.1424  |paral   |2020yCat.1350....0G
2881|HD 10846                                                                                                 |High Proper Motion Star             |01 46 25.0530681672 +07 04 50.362613868|146.1651553509051 -53.2928549171782| -58.742 73.733  |9.32     |K0             |    ~     ~            |    1|   76.824   pc  |  -0.1121     +0.1121  |paral   |2020yCat.1350....0G
2882|BD+06 271                                                                                                |Star                                |01 47 16.5269299752 +06 58 40.141053048|146.5593097126363 -53.3130345505856| -8.825 -30.604  |9.83     |F8             |    ~     ~            |    1|  260.247   pc  |  -1.5103     +1.5103  |paral   |2020yCat.1350....0G
2883|BD+06 276                                                                                                |High Proper Motion Star             |01 48 59.9712296472 +06 59 46.356973548|147.2137224831150 -53.1401548007450| 34.292 -93.882  |10.61    |K0             |    ~     ~            |    1|  103.950   pc  |  -0.2615     +0.2615  |paral   |2020yCat.1350....0G
2884|TYC 35-816-1                                                                                             |High Proper Motion Star             |01 49 17.4932951232 +06 38 52.711603440|147.5424235535228 -53.4366569144701| 118.980 -0.540  |10.54    |K0             |    ~     ~            |    1|   81.264   pc  |  -0.1242     +0.1242  |paral   |2020yCat.1350....0G
2885|HD 11170                                                                                                 |High Proper Motion Star             |01 49 55.9839658272 +07 13 24.744133812|147.4312307732435 -52.8432163898061|-18.339 -60.981  |7.40     |G1IV           |    ~     ~            |    1|   96.304   pc  |  -0.2550     +0.2550  |paral   |2020yCat.1350....0G
2886|BD+06 280                                                                                                |Star                                |01 50 07.4742319152 +06 57 55.999625184|147.6643517178978 -53.0647757217991|  -8.657 -5.593  |10.35    |G0             |    ~     ~            |    1|  421.425   pc  | -41.6648    +41.6648  |paral   |2020yCat.1350....0G
2887|BD+06 282                                                                                                |Spectroscopic Binary                |01 50 21.5521705248 +06 54 34.732071432|147.7891665322385 -53.0946879368382| 18.650 -11.107  |9.27     |K5             |    ~     ~            |    1|  875.657   pc  | -22.3898    +22.3898  |paral   |2020yCat.1350....0G
2888|BD+06 283                                                                                                |Star                                |01 50 23.0377533168 +07 17 31.183232928|147.5605797915892 -52.7379951505099|  -4.588 -9.702  |10.79    |K0             |    ~     ~            |    1| 1083.072   pc  | -20.8802    +20.8802  |paral   |2020yCat.1350....0G
2889|BD+06 285                                                                                                |Double or Multiple Star             |01 50 36.2817 +06 57 46.381            |147.8496243 -53.0224001            |    -51.4 -25.0  |10.38    |F8             |    ~     ~            |    0|                |                       |        |                   
2890|HD 11310                                                                                                 |Double or Multiple Star             |01 51 08.4942142968 +06 43 30.409315680|148.2055192151795 -53.1916533423675|-11.946 -14.229  |8.95     |K0             |0.0100  0.0            |    1|  357.513   pc  | -15.8875    +15.8875  |paral   |2020yCat.1350....0G
2891|HD 10822                                                                                                 |Star                                |01 46 13.9315543608 +06 32 10.162977396|146.4185078930186 -53.8181618398489|   47.795 1.284  |8.77     |G0             |    ~     ~            |    1|  124.002   pc  |  -0.2998     +0.2998  |paral   |2020yCat.1350....0G
2892|BD+05 245                                                                                                |Star                                |01 49 02.6017938360 +06 16 16.164962364|147.6836358691461 -53.8091875345817|-11.825 -12.017  |10.64    |K0             |    ~     ~            |    1|  831.186   pc  | -12.8502    +12.8502  |paral   |2020yCat.1350....0G
2893|BD+05 248                                                                                                |High Proper Motion Star             |01 50 48.4584219240 +06 24 41.784178788|148.2783331203377 -53.5130188987254|-23.054 -131.620 |10.08    |G5             |    ~     ~            |    1|  128.235   pc  |  -0.2680     +0.2680  |paral   |2020yCat.1350....0G
2894|HD 11271                                                                                                 |High Proper Motion Star             |01 50 52.0844025768 +06 31 42.722510628|148.2263974172620 -53.3992602256248|94.741 -115.121  |8.46     |G5             |    ~     ~            |    1|   78.986   pc  |  -0.1504     +0.1504  |paral   |2020yCat.1350....0G
2895|BD+05 250                                                                                                |Star                                |01 50 52.4225110944 +06 39 35.065886040|148.1445727908268 -53.2774811223590|   -0.629 9.718  |10.40    |K              |    ~     ~            |    1|  380.590   pc  |  -2.5059     +2.5059  |paral   |2020yCat.1350....0G
2896|BD+05 255                                                                                                |Star                                |01 52 21.4804485168 +06 33 03.966552864|148.7830713774102 -53.2353495927565| 13.048 -22.679  |9.64     |G0             |    ~     ~            |    1|  143.195   pc  |  -0.3752     +0.3752  |paral   |2020yCat.1350....0G
2897|HD 10836                                                                                                 |Star                                |01 46 21.7517838000 +06 09 29.747650608|146.7005968776583 -54.1592563156389|-16.342 -17.224  |9.23     |K2             |    ~     ~            |    1|  377.060   pc  |  -2.4454     +2.4454  |paral   |2020yCat.1350....0G
2898|HD 10855                                                                                                 |Star                                |01 46 30.5290407528 +05 57 12.626119008|146.8854930369524 -54.3369558199667|  15.962 -7.688  |8.93     |K2             |    ~     ~            |    1|  397.867   pc  |  -2.8335     +2.8335  |paral   |2020yCat.1350....0G
2899|HD 10854                                                                                                 |Star                                |01 46 32.2925389392 +06 08 58.574966352|146.7754709001921 -54.1515527688746| -2.039 -18.789  |8.26     |K2             |    ~     ~            |    1|  458.716   pc  |  -7.4068     +7.4068  |paral   |2020yCat.1350....0G
2900|BD+05 244                                                                                                |Star                                |01 48 57.2719832760 +05 54 21.994745652|147.8823526407078 -54.1557319628854|  23.304 -7.813  |10.45    |G5             |    ~     ~            |    1|  276.060   pc  |  -2.1872     +2.1872  |paral   |2020yCat.1350....0G
