C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
44  |HD 11244                                                                                                 |Star                                |01 51 25.1491772640 +42 45 49.319980344|134.5045511690358 -18.7561787073637| 28.805 -17.382  |8.92     |F5             |    ~     ~            |    1|  269.324   pc  |  -1.4942     +1.4942  |paral   |2020yCat.1350....0G
45  |HD 11419                                                                                                 |Hot Subdwarf Candidate              |01 53 19.2518006832 +43 23 21.992858520|134.6967340677195 -18.0641548616848|  -1.573 -5.823  |8.36     |A2             |    ~     ~            |    1|  359.118   pc  | -23.0591    +23.0591  |paral   |2020yCat.1350....0G
46  |BD+42 393                                                                                                |Star                                |01 53 34.2742102704 +43 16 32.643930828|134.7730546987924 -18.1628494462731|  15.087 11.436  |9.29     |F5             |    ~     ~            |    1|  210.988   pc  |  -0.9393     +0.9393  |paral   |2020yCat.1350....0G
47  |HD 11473                                                                                                 |Star                                |01 53 47.5765162200 +42 56 10.221559152|134.9042735425201 -18.4813190756378| 13.685 -19.383  |9.49     |A              |    ~     ~            |    1|  258.659   pc  |  -1.5388     +1.5388  |paral   |2020yCat.1350....0G
48  |BD+42 395                                                                                                |Star                                |01 53 49.4297086296 +43 22 27.707265552|134.7937641808792 -18.0558423927796|  -16.559 1.518  |9.40     |K0             |    ~     ~            |    1|  201.471   pc  |  -3.6085     +3.6085  |paral   |2020yCat.1350....0G
49  |BD+41 344                                                                                                |Star                                |01 47 36.9833294952 +42 17 43.811375604|133.9011936414695 -19.3765268991157| 14.741 -22.780  |9.68     |F5V            |    ~     ~            |    1|   60.974   pc  |  -0.0584     +0.0584  |paral   |2020yCat.1350....0G
50  |AG+42 176                                                                                                |Long-Period Variable Candidate      |01 47 43.8584465760 +42 33 24.675131664|133.8596041931637 -19.1172784521599|   4.405 -1.186  |10.25    |K0             |    ~     ~            |    1| 1266.46    pc  | -56.1376    +56.1376  |paral   |2020yCat.1350....0G
51  |BD+41 347                                                                                                |Star                                |01 47 45.5929374744 +42 25 20.946750564|133.8977030086974 -19.2468493314025|-22.870 -13.954  |8.92     |K0             |    ~     ~            |    1|  462.129   pc  |  -3.6519     +3.6519  |paral   |2020yCat.1350....0G
52  |BD+41 348                                                                                                |Star                                |01 47 50.5937123688 +42 39 19.043502444|133.8570061236376 -19.0167289636577|   6.992 -4.121  |10.48    |K0             |    ~     ~            |    1|  641.026   pc  |  -7.3964     +7.3964  |paral   |2020yCat.1350....0G
53  |BD+41 351                                                                                                |Star                                |01 48 50.5026537480 +42 15 12.135842496|134.1452714449705 -19.3650688706776| -12.950 -5.127  |9.75     |F5             |    ~     ~            |    1|  456.767   pc  | -19.7370    +19.7370  |paral   |2020yCat.1350....0G
