C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |HD 112324                                                                                                |Star                                |12 55 57.5006680752 -00 49 31.133638704|305.3414209419712 +62.0252824714576| -1.594 -29.643   |9.14     |G2/3V            |    ~     ~    |    1|  204.620   pc  |  -5.1081     +5.1081    |paral   |2020yCat.1350....0G
33  |BD-01 2730                                                                                               |Red Giant Branch star               |12 50 16.4638144176 -02 11 58.353178776|302.3385137280472 +60.6708644277016|  -14.255 9.123   |10.11    |G5               |    ~     ~    |    1|  750.137   pc  | -36.8100    +36.8100    |ST-L    |2020AJ....160...83S
34  |HD 111593                                                                                                |Star                                |12 50 23.8684559400 -01 49 30.156722652|302.3950734023728 +61.0456198627107| -25.583 -3.607   |8.83     |K3/4III          |    ~     ~    |    1|  667.646   pc  | -13.7737    +13.7737    |paral   |2020yCat.1350....0G
35  |HD 112154                                                                                                |Star                                |12 54 27.0271255464 -02 09 02.744941572|304.4705052270346 +60.7119851652361|  -16.407 2.909   |9.94     |A9V              |    ~     ~    |    1|  377.259   pc  |  -3.2450     +3.2450    |paral   |2020yCat.1350....0G
36  |BD-01 2728                                                                                               |Star                                |12 49 42.2525543184 -02 17 21.489021960|302.0502503757725 +60.5794771091029|-24.604 -10.669   |9.57     |M0               |    ~     ~    |    1|  916.590   pc  | -15.5425    +15.5425    |paral   |2020yCat.1350....0G
37  |BD-01 2739                                                                                               |Star                                |12 55 14.1048070944 -02 35 14.800805556|304.8444827008503 +60.2702013031228|  -5.690 -7.379   |10.849   |K2               |    ~     ~    |    1|  915.482   pc  | -42.9200    +42.9200    |ST-L    |2020AJ....160...83S
38  |NGC 4690                           NGC 4690                                                              |Galaxy towards a Group of Galaxies  |12 47 55.5227576592 -01 39 21.805729344|301.1094776427350 +61.2032605294761|   -0.044 0.364   |     ~   |~                |0.773 0.572    |    1|   40.2     Mpc |                         |redshift|2011MNRAS.413..813C
39  |NGC 4753                           NGC 4753                                                              |Galaxy towards a Group of Galaxies  |12 52 22.112 -01 11 58.88              |303.422107 +61.671173              |            ~ ~   |9.95     |~                | 6.03  2.82    |    1|   19.9526  Mpc |                         |redshift|2019A&A...631A..38L
40  |BD-00 2614                                                                                               |High Proper Motion Star             |12 49 25.3469242632 -01 24 54.654629256|301.8778417295548 +61.4524407008500|-68.222 -21.214   |10.22    |~                |    ~     ~    |    1|  177.154   pc  |  -0.7720     +0.7720    |paral   |2020yCat.1350....0G
41  |BD-01 2729                                                                                               |Red Giant Branch star               |12 49 59.7329701920 -02 00 24.961517892|302.1917847828734 +60.8627410008864|    7.546 3.832   |10.46    |~                |    ~     ~    |    1|  558.534   pc  | -12.9776    +12.9776    |paral   |2020yCat.1350....0G
42  |BD-00 2617                                                                                               |High Proper Motion Star             |12 50 29.6095442616 -01 01 50.399233320|302.4317080758651 +61.8401638624220|-35.750 -46.025   |10.33    |~                |    ~     ~    |    1|  109.330   pc  |  -0.2116     +0.2116    |paral   |2020yCat.1350....0G
43  |BD-01 2738                                                                                               |Star                                |12 54 39.2055080496 -01 51 10.373589576|304.5898117845546 +61.0085147525524|  -13.210 7.477   |10.34    |~                |    ~     ~    |    1|  661.813   pc  |  -9.4169     +9.4169    |paral   |2020yCat.1350....0G
