C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
2183|CD-67 1316                                                                                               |Star                                |12 55 15.9504913848 -68 29 59.775018576|303.2843479013642 -05.6308093439555| -20.499 -0.604   |10.06    |~                |    ~     ~    |    1|  414.010   pc  |  -1.9883     +1.9883    |paral   |2020yCat.1350....0G
2184|CD-68 1150                                                                                               |Star                                |12 55 22.3296610320 -69 04 02.687979504|303.2853730677704 -06.1983657539813| 23.400 -29.525   |10.08    |~                |    ~     ~    |    1|  115.825   pc  |  -3.9589     +3.9589    |paral   |2020yCat.1350....0G
2185|CD-68 1153                                                                                               |Star                                |12 56 41.5649252184 -69 24 40.983525792|303.3968929366832 -06.5443809585697| -26.748 -5.767   |10.18    |~                |    ~     ~    |    1|  354.522   pc  |  -5.0777     +5.0777    |paral   |2020yCat.1350....0G
2186|CD-68 1156                                                                                               |Star                                |12 57 53.4894726888 -69 14 46.432810212|303.5071341896286 -06.3816917751542|-12.186 -10.558   |10.03    |~                |    ~     ~    |    1|  212.820   pc  |  -0.5480     +0.5480    |paral   |2020yCat.1350....0G
2187|CD-68 1159                                                                                               |Star                                |12 58 52.3324456128 -69 04 53.993281116|303.5993317629825 -06.2195516477774|  -8.191 -0.476   |10.13    |~                |    ~     ~    |    1|  681.524   pc  | -10.4507    +10.4507    |paral   |2020yCat.1350....0G
2188|CD-66 1282                                                                                               |Star                                |12 45 25.6174155288 -67 37 55.742477520|302.3581268595859 -04.7671002509748|  -3.597 -0.991   |9.70     |~                |    ~     ~    |    1| 1452.855   pc  | -27.4402    +27.4402    |paral   |2020yCat.1350....0G
2189|TYC 9232-531-1                                                                                           |Star                                |12 45 28.9831124040 -69 41 31.046587728|302.4116035667852 -06.8262261184300|   2.224 -6.601   |10.46    |~                |    ~     ~    |    1| 1006.948   pc  | -41.5717    +41.5717    |paral   |2020yCat.1350....0G
2190|CD-66 1289                                                                                               |Star                                |12 46 21.6499251096 -67 32 46.607006256|302.4455567599783 -04.6793268456224| -6.347 -10.125   |10.07    |~                |    ~     ~    |    1|  975.895   pc  | -12.2856    +12.2856    |paral   |2020yCat.1350....0G
2191|CD-68 1130                                                                                               |Star                                |12 47 11.0635711728 -69 28 46.442401788|302.5566904008873 -06.6109188169130|   1.323 -6.625   |9.35     |~                |    ~     ~    |    1|  598.731   pc  | -12.7260    +12.7260    |paral   |2020yCat.1350....0G
2192|CD-67 1298                                                                                               |Star                                |12 49 24.8793476256 -68 19 59.439018972|302.7443246066341 -05.4621669051819|  13.108 -2.365   |9.801    |~                |    ~     ~    |    1|  510.876   pc  | -13.2500    +13.2500    |ST-L    |2020AJ....160...83S
2193|CD-69 1033                                                                                               |Star                                |12 49 44.6605444128 -69 52 17.804948520|302.7851322970410 -07.0003476050346| -34.592 -3.929   |9.756    |~                |    ~     ~    |    1|  475.444   pc  |  -9.6460     +9.6460    |ST-L    |2020AJ....160...83S
2194|CD-67 1309                                                                                               |Star                                |12 51 41.0124476808 -68 23 04.890118200|302.9546511604601 -05.5129549533061|   1.877 -0.380   |9.893    |~                |    ~     ~    |    1|  790.125   pc  | -33.2500    +33.2500    |ST-L    |2020AJ....160...83S
2195|CD-66 1305                                                                                               |Star                                |12 53 06.0550382424 -67 18 22.719048444|303.0928045399083 -04.4350827393567|   -1.241 2.069   |9.28     |~                |    ~     ~    |    1|  523.368   pc  | -22.6801    +22.6801    |paral   |2020yCat.1350....0G
2196|CD-67 1315                                                                                               |Star                                |12 54 28.9836237144 -67 46 39.966296520|303.2208962680420 -04.9077294228750|   7.052 -8.266   |10.40    |~                |    ~     ~    |    1|  742.832   pc  |  -7.1182     +7.1182    |paral   |2020yCat.1350....0G
2197|CD-68 1152                                                                                               |Star                                |12 55 40.4709854328 -69 14 23.644478760|303.3096619560097 -06.3712609838390| -12.409 -2.557   |9.30     |~                |    ~     ~    |    1|  825.630   pc  | -36.5100    +36.5100    |ST-L    |2020AJ....160...83S
2198|CD-67 1320                                                                                               |Star                                |12 55 56.0466988920 -68 39 22.446555516|303.3431112453559 -05.7880773205197| -12.386 -7.770   |9.70     |~                |    ~     ~    |    1| 1005.126   pc  | -14.7501    +14.7501    |paral   |2020yCat.1350....0G
2199|CPD-68 1798                                                                                              |Star                                |12 56 18.2127531552 -68 54 16.638109020|303.3721497664261 -06.0370331763494|    6.209 6.533   |9.56     |~                |    ~     ~    |    1|  536.625   pc  |  -2.9373     +2.9373    |paral   |2020yCat.1350....0G
2200|CD-67 1285                                                                                               |Star                                |12 45 13.4230695792 -67 47 49.421041908|302.3427372256707 -04.9324231167176|  -3.021 -1.254   |9.76     |~                |    ~     ~    |    1| 1998.401   pc  | -59.5048    +59.5048    |paral   |2020yCat.1350....0G
2201|CD-67 1302                                                                                               |Star                                |12 50 15.5118434688 -68 28 05.806656408|302.8231943434474 -05.5967810304878|   -7.345 1.895   |9.03     |~                |    ~     ~    |    1| 1130.454   pc  | -18.9133    +18.9133    |paral   |2020yCat.1350....0G
2202|CPD-67 2098                                                                                              |Star                                |12 51 37.2229942440 -67 44 36.185854344|302.9492659327310 -04.8716435184991| -16.031 -0.121   |10.40    |~                |    ~     ~    |    1| 1087.075   pc  | -14.0626    +14.0626    |paral   |2020yCat.1350....0G
2203|CD-68 1157                                                                                               |Star                                |12 58 12.9440674080 -69 18 36.301033512|303.5343261482121 -06.4462641087586|   -5.809 1.286   |9.26     |M4               |    ~     ~    |    1| 1255.808   pc  | -34.6952    +34.6952    |paral   |2020yCat.1350....0G
2204|CPD-68 1747                                                                                              |Star                                |12 45 22.4536604640 -69 01 40.129566060|302.3862567686593 -06.1624908877225| -29.702 -5.238   |10.68    |~                |    ~     ~    |    1|  365.417   pc  |  -1.4154     +1.4154    |paral   |2020yCat.1350....0G
2205|TYC 9000-885-1                                                                                           |Star                                |12 50 14.5139685432 -67 04 44.304417156|302.8151606981949 -04.2074970201558|  -7.196 -4.206   |10.64    |~                |    ~     ~    |    1| 1033.378   pc  | -79.9835    +79.9835    |paral   |2020yCat.1350....0G
2206|TYC 9000-1424-1                                                                                          |Star                                |12 48 26.9394363288 -67 13 13.028215008|302.6417768489440 -04.3502219060858|  21.405 14.582   |10.71    |~                |    ~     ~    |    1|  307.853   pc  |  -6.5015     +6.5015    |paral   |2020yCat.1350....0G
2207|TYC 9000-2027-1                                                                                          |Star                                |12 45 58.6733868192 -67 10 28.759774152|302.4009497425922 -04.3085371919569|   -3.380 2.588   |10.52    |~                |    ~     ~    |    1|  579.173   pc  |  -4.6291     +4.6291    |paral   |2020yCat.1350....0G
2208|TYC 9000-2065-1                                                                                          |Star                                |12 47 09.3395200152 -67 29 40.204330188|302.5208245429439 -04.6261718377154|  -8.756 -5.014   |10.80    |~                |    ~     ~    |    1|  549.964   pc  |  -5.0208     +5.0208    |paral   |2020yCat.1350....0G
2209|TYC 9000-2278-1                                                                                          |Star                                |12 45 15.2262495168 -67 29 40.475812776|302.3382720229892 -04.6299575628404| -18.132 -5.475   |10.41    |~                |    ~     ~    |    1|  686.012   pc  |  -6.3062     +6.3062    |paral   |2020yCat.1350....0G
2210|TYC 9001-414-1                                                                                           |Star                                |12 52 27.4403163528 -67 08 34.597541148|303.0311955845770 -04.2713926698854|   0.506 -7.540   |10.60    |~                |    ~     ~    |    1|  807.298   pc  |  -7.6904     +7.6904    |paral   |2020yCat.1350....0G
2211|TYC 9001-947-1                                                                                           |High Proper Motion Star             |12 51 34.1225285016 -67 06 17.644183632|302.9446815618465 -04.2331568169632|-51.983 -64.598   |10.48    |~                |    ~     ~    |    1|  159.114   pc  |  -0.2785     +0.2785    |paral   |2020yCat.1350....0G
2212|TYC 9001-1033-1                                                                                          |Star                                |12 53 27.0211628352 -67 09 49.470357780|303.1277289751821 -04.2927592798812|  -18.439 0.029   |10.43    |~                |    ~     ~    |    1|  675.402   pc  |  -6.2495     +6.2495    |paral   |2020yCat.1350....0G
2213|TYC 9001-1423-1                                                                                          |Star                                |12 53 13.9125351624 -66 58 18.506886672|303.1078165430211 -04.1006725599033|  -4.974 -2.320   |10.55    |~                |    ~     ~    |    1|  852.297   pc  |  -9.5160     +9.5160    |paral   |2020yCat.1350....0G
2214|TYC 9001-1475-1                                                                                          |Star                                |12 52 09.8296711728 -67 10 49.064819124|303.0025081346021 -04.3086476833259|   6.526 -9.622   |10.04    |~                |    ~     ~    |    1|  272.487   pc  |  -1.3291     +1.3291    |paral   |2020yCat.1350....0G
2215|TYC 9228-101-1                                                                                           |Star                                |12 47 52.8943559832 -67 32 56.818030308|302.5912675035448 -04.6797208656661|   4.201 -0.989   |10.48    |~                |    ~     ~    |    1|  538.242   pc  |  -3.4185     +3.4185    |paral   |2020yCat.1350....0G
2216|TYC 9228-602-1                                                                                           |Star                                |12 46 02.1564860472 -67 36 31.580888976|302.4157572662948 -04.7424389977212|   -7.201 0.606   |10.45    |~                |    ~     ~    |    1|  761.383   pc  | -29.1591    +29.1591    |paral   |2020yCat.1350....0G
2217|TYC 9228-1086-1                                                                                          |Star                                |12 46 21.8287629672 -67 41 48.164574768|302.4488266892328 -04.8297244722050|  -5.830 -1.580   |10.92    |~                |    ~     ~    |    1|  489.141   pc  |  -3.6846     +3.6846    |paral   |2020yCat.1350....0G
2218|TYC 9228-1212-1                                                                                          |Star                                |12 47 35.2676306976 -67 38 44.416632840|302.5645821455831 -04.7766698495045| -12.127 -1.817   |10.43    |~                |    ~     ~    |    1|  387.762   pc  |  -2.0750     +2.0750    |paral   |2020yCat.1350....0G
2219|TYC 9228-1217-1                                                                                          |Star                                |12 45 05.7474811872 -67 53 02.181999048|302.3327660674093 -05.0195703173096| -10.434 -3.239   |10.95    |~                |    ~     ~    |    1|  760.746   pc  |  -8.6810     +8.6810    |paral   |2020yCat.1350....0G
2220|TYC 9228-1359-1                                                                                          |Star                                |12 45 56.2770350880 -67 42 10.174550220|302.4084181478870 -04.8366693865938| -12.896 -2.934   |10.25    |~                |    ~     ~    |    1|  556.143   pc  | -28.5170    +28.5170    |paral   |2020yCat.1350....0G
2221|TYC 9228-2287-1                                                                                          |Star                                |12 45 47.8104526560 -69 17 03.245390124|302.4299662891181 -06.4179853802110|  -9.877 -6.910   |10.63    |~                |    ~     ~    |    1|  577.734   pc  |  -3.3711     +3.3711    |paral   |2020yCat.1350....0G
2222|TYC 9228-2302-1                                                                                          |Star                                |12 45 08.2317330360 -68 55 05.240288604|302.3622161036169 -06.0533447061755|  -4.433 -4.221   |10.64    |~                |    ~     ~    |    1|  445.871   pc  |  -2.6838     +2.6838    |paral   |2020yCat.1350....0G
2223|TYC 9228-2704-1                                                                                          |Star                                |12 46 09.4631603256 -69 19 32.396834460|302.4629340720794 -06.4587265769708|   -7.541 1.426   |9.52     |~                |    ~     ~    |    1|  546.777   pc  |  -8.5504     +8.5504    |paral   |2020yCat.1350....0G
2224|TYC 9228-2704-2                                                                                          |Star                                |12 46 08.8987031856 -69 19 26.521257612|302.4620646411419 -06.4571119695655|  -17.662 2.816   |10.55    |~                |    ~     ~    |    1|  843.980   pc  | -34.2000    +34.2000    |ST-L    |2020AJ....160...83S
2225|TYC 9228-2867-1                                                                                          |Star                                |12 46 39.5109271488 -68 41 38.548473396|302.4955521287398 -05.8263432619024|   1.624 -5.294   |10.122   |~                |    ~     ~    |    1|  652.971   pc  | -18.9700    +18.9700    |ST-L    |2020AJ....160...83S
2226|TYC 9228-2982-1                                                                                          |Star                                |12 46 32.5509770376 -68 57 42.160099500|302.4901058535544 -06.0941632187296|  6.006 -14.453   |10.47    |~                |    ~     ~    |    1|  272.020   pc  |  -0.9323     +0.9323    |paral   |2020yCat.1350....0G
2227|TYC 9228-2983-1                                                                                          |Star                                |12 46 55.8812257224 -68 42 57.776172660|302.5208496847490 -05.8478984068523|  -3.486 -2.468   |10.63    |~                |    ~     ~    |    1| 1011.736   pc  | -13.9211    +13.9211    |paral   |2020yCat.1350....0G
2228|TYC 9228-2989-1                                                                                          |Star                                |12 47 22.3385752440 -68 53 33.712110204|302.5638879549518 -06.0238555538356| -17.224 -1.087   |10.85    |~                |    ~     ~    |    1|  772.977   pc  |  -5.8554     +5.8554    |paral   |2020yCat.1350....0G
2229|TYC 9232-1623-1                                                                                          |Star                                |12 47 12.8448464256 -69 24 48.912692652|302.5582125989947 -06.5449042269085| -12.040 -3.770   |10.66    |~                |    ~     ~    |    1|  842.460   pc  | -10.2202    +10.2202    |paral   |2020yCat.1350....0G
2230|TYC 9232-1655-1                                                                                          |Star                                |12 47 57.8417047152 -69 28 13.526404788|302.6253384294115 -06.6007443930425| -17.696 -2.865   |10.43    |~                |    ~     ~    |    1|  731.048   pc  | -25.3320    +25.3320    |paral   |2020yCat.1350....0G
2231|TYC 9241-27-1                                                                                            |Star                                |12 51 37.6261213176 -67 33 52.894747764|302.9500366344362 -04.6929520537789|  -8.615 -0.378   |10.49    |~                |    ~     ~    |    1|  958.130   pc  | -12.5768    +12.5768    |paral   |2020yCat.1350....0G
2232|TYC 9241-129-1                                                                                           |Star                                |12 48 18.2325249624 -67 56 40.575500160|302.6365655169703 -05.0746540643876| -17.074 -5.699   |10.47    |~                |    ~     ~    |    1|  919.371   pc  | -11.3263    +11.3263    |paral   |2020yCat.1350....0G
2233|TYC 9241-135-1                                                                                           |Star                                |12 50 39.1105953528 -67 30 08.667442476|302.8564829097769 -04.6307751837158| -16.607 -9.288   |10.92    |~                |    ~     ~    |    1|  325.489   pc  |  -1.2819     +1.2819    |paral   |2020yCat.1350....0G
2234|TYC 9241-152-1                                                                                           |Star                                |12 51 49.1316000840 -68 15 09.617864508|302.9673681242094 -05.3809502602607|  -9.599 -0.446   |10.52    |~                |    ~     ~    |    1|  726.006   pc  |  -7.3792     +7.3792    |paral   |2020yCat.1350....0G
2235|TYC 9241-168-1                                                                                           |Spectroscopic Binary                |12 48 00.6645237552 -68 22 38.981078940|302.6147826870118 -05.5078573638944| -19.931 -3.783   |10.84    |~                |    ~     ~    |    1|  495.368   pc  | -37.9127    +37.9127    |paral   |2020yCat.1350....0G
2236|TYC 9241-173-1                                                                                           |Star                                |12 52 49.4517257976 -67 33 48.717000432|303.0646411905094 -04.6921421450900| -11.311 -2.653   |10.86    |~                |    ~     ~    |    1|  543.685   pc  | -12.3262    +12.3262    |paral   |2020yCat.1350....0G
2237|TYC 9241-188-1                                                                                           |Star                                |12 51 03.4683364200 -68 10 31.444764600|302.8964457133360 -05.3036799238214| -28.971 -6.932   |10.46    |~                |    ~     ~    |    1|  224.110   pc  |  -0.7232     +0.7232    |paral   |2020yCat.1350....0G
2238|TYC 9241-191-1                                                                                           |Star                                |12 50 36.3434113848 -67 55 02.807857776|302.8534074858057 -05.0458259130645|  -7.194 -3.382   |10.35    |~                |    ~     ~    |    1|  845.380   pc  | -10.7915    +10.7915    |paral   |2020yCat.1350....0G
2239|TYC 9241-212-1                                                                                           |Star                                |12 49 21.8421913416 -67 30 44.798883264|302.7329697283463 -04.6414976960784|   -9.851 0.996   |10.98    |~                |    ~     ~    |    1|  677.966   pc  |  -6.3430     +6.3430    |paral   |2020yCat.1350....0G
2240|TYC 9241-233-1                                                                                           |Star                                |12 52 48.6008576064 -68 22 00.475563972|303.0589694786693 -05.4953896481124|  -3.221 -2.772   |10.758   |~                |    ~     ~    |    1|  749.978   pc  | -26.3200    +26.3200    |ST-L    |2020AJ....160...83S
2241|TYC 9241-254-1                                                                                           |Star                                |12 51 02.0446458072 -67 38 38.782258836|302.8933912347669 -04.7723888129757|  -8.840 -1.123   |10.54    |~                |    ~     ~    |    1|  922.935   pc  | -56.9860    +56.9860    |paral   |2020yCat.1350....0G
2242|TYC 9241-298-1                                                                                           |Star                                |12 49 11.8583052528 -68 09 26.330332140|302.7226592837591 -05.2864766728600| -12.020 -5.775   |10.23    |~                |    ~     ~    |    1|  440.025   pc  |  -3.2722     +3.2722    |paral   |2020yCat.1350....0G
2243|TYC 9241-324-1                                                                                           |Star                                |12 48 57.9826364784 -68 06 00.394697412|302.7005039102879 -05.2294726191070| -24.161 -4.872   |9.89     |~                |    ~     ~    |    1|  303.933   pc  |  -1.2933     +1.2933    |paral   |2020yCat.1350....0G
2244|TYC 9241-356-1                                                                                           |Star                                |12 53 50.2311314400 -68 06 13.719731256|303.1565459422089 -05.2331098659229| -20.873 -7.161   |10.98    |~                |    ~     ~    |    1|  732.011   pc  |  -6.1086     +6.1086    |paral   |2020yCat.1350....0G
2245|TYC 9241-391-1                                                                                           |Star                                |12 48 17.5149277440 -67 30 12.988756908|302.6300121285117 -04.6337046370864| -6.597 -21.309   |10.81    |~                |    ~     ~    |    1|  247.353   pc  |  -0.7403     +0.7403    |paral   |2020yCat.1350....0G
2246|TYC 9241-400-1                                                                                           |Star                                |12 53 39.5292026784 -68 19 20.901586836|303.1379454316538 -05.4516134896201| -14.355 -2.300   |10.90    |~                |    ~     ~    |    1|  436.281   pc  |  -2.3031     +2.3031    |paral   |2020yCat.1350....0G
2247|TYC 9241-418-1                                                                                           |Star                                |12 48 47.7247560600 -67 47 16.557795672|302.6812675821715 -04.9174712234002|    4.057 0.648   |10.29    |~                |    ~     ~    |    1|  778.331   pc  |  -8.4812     +8.4812    |paral   |2020yCat.1350....0G
2248|TYC 9241-433-1                                                                                           |Star                                |12 53 56.0618904936 -67 57 54.916908012|303.1669978030391 -05.0946465732638|   4.593 28.082   |10.81    |~                |    ~     ~    |    1|  155.729   pc  |  -0.2692     +0.2692    |paral   |2020yCat.1350....0G
2249|TYC 9241-521-1                                                                                           |Pulsating Variable                  |12 56 30.5288752464 -68 10 59.651179572|303.4050642501652 -05.3161474682417| -16.643 -5.189   |10.72    |~                |    ~     ~    |    1|  837.731   pc  | -16.6325    +16.6325    |paral   |2020yCat.1350....0G
2250|TYC 9241-547-1                                                                                           |Star                                |12 55 54.3923772216 -68 29 08.725537068|303.3435776061501 -05.6175812918194|   -9.851 0.777   |10.35    |~                |    ~     ~    |    1|  775.134   pc  |  -9.0125     +9.0125    |paral   |2020yCat.1350....0G
2251|TYC 9241-622-1                                                                                           |Star                                |12 55 31.6155925368 -68 26 03.195106908|303.3094365683755 -05.5654705595662|  -3.997 -3.299   |10.59    |~                |    ~     ~    |    1| 1289.823   pc  | -28.6147    +28.6147    |paral   |2020yCat.1350....0G
2252|TYC 9241-646-1                                                                                           |High Proper Motion Star             |12 56 54.4199930376 -69 22 26.063084028|303.4166542763323 -06.5073063555580|-73.303 -24.192   |10.83    |~                |    ~     ~    |    1|  295.814   pc  |  -1.1726     +1.1726    |paral   |2020yCat.1350....0G
2253|TYC 9241-687-1                                                                                           |Star                                |12 57 13.2446678664 -68 33 48.226055148|303.4628649321231 -05.6976102669537|  -9.414 -2.777   |10.00    |~                |    ~     ~    |    1| 1169.454   pc  | -41.3022    +41.3022    |paral   |2020yCat.1350....0G
2254|TYC 9241-788-1                                                                                           |Star                                |12 57 16.6170759312 -69 21 21.685211280|303.4498487592189 -06.4901481879428|   26.151 3.891   |10.73    |~                |    ~     ~    |    1|  555.741   pc  |  -4.9416     +4.9416    |paral   |2020yCat.1350....0G
2255|TYC 9241-834-1                                                                                           |Star                                |12 57 15.9460182240 -68 19 20.716831992|303.4725029065667 -05.4567909642619| -6.568 -10.154   |10.64    |~                |    ~     ~    |    1|  225.489   pc  |  -0.7423     +0.7423    |paral   |2020yCat.1350....0G
2256|TYC 9241-845-1                                                                                           |Star                                |12 57 12.1542990504 -68 17 21.469238160|303.4673901827252 -05.4235430667014| -11.642 -2.174   |10.48    |~                |    ~     ~    |    1| 1289.158   pc  | -19.7770    +19.7770    |paral   |2020yCat.1350....0G
2257|TYC 9241-930-1                                                                                           |Star                                |12 49 58.1153624688 -69 16 07.250992896|302.8010813702903 -06.3973065336825|   -9.757 0.014   |10.782   |~                |    ~     ~    |    1| 2357.460   pc  |-277.9000   +277.9000    |ST-L    |2020AJ....160...83S
2258|TYC 9241-940-1                                                                                           |Star                                |12 53 49.0054945440 -69 20 00.338274276|303.1431552495168 -06.4626553682272| -19.139 -6.442   |10.13    |~                |    ~     ~    |    1|  605.840   pc  |  -3.5236     +3.5236    |paral   |2020yCat.1350....0G
2259|TYC 9241-941-1                                                                                           |Star                                |12 53 07.4432688648 -69 00 26.753565204|303.0838081097356 -06.1361812124218| -15.722 -4.064   |10.73    |~                |    ~     ~    |    1|  688.468   pc  |  -5.0717     +5.0717    |paral   |2020yCat.1350....0G
2260|TYC 9241-1123-1                                                                                          |High Proper Motion Star             |12 50 10.8264419688 -68 49 43.683777012|302.8177735216339 -05.9573321744851| -53.974 -8.941   |10.78    |~                |    ~     ~    |    1|  153.504   pc  |  -0.5749     +0.5749    |paral   |2020yCat.1350....0G
2261|TYC 9241-1157-1                                                                                          |Star                                |12 55 39.6905757096 -69 00 13.382941068|303.3124224317962 -06.1350903214032|-35.692 -26.322   |10.9     |~                |    ~     ~    |    1|  215.003   pc  |  -0.9014     +0.9014    |paral   |2020yCat.1350....0G
2262|TYC 9241-1272-1                                                                                          |Spectroscopic Binary                |12 52 55.9234375080 -69 15 43.630970976|303.0650182095543 -06.3907582478365|-15.767 -15.231   |10.85    |~                |    ~     ~    |    1|  556.390   pc  |  -9.1942     +9.1942    |paral   |2020yCat.1350....0G
2263|TYC 9241-1396-1                                                                                          |Star                                |12 48 40.3960819392 -69 05 10.696470864|302.6837537780704 -06.2158891797346|  -22.399 7.522   |10.17    |~                |    ~     ~    |    1|  606.061   pc  |  -4.6648     +4.6648    |paral   |2020yCat.1350....0G
2264|GSC 09241-01463                                                                                          |Double or Multiple Star             |12 50 59.2898177016 -69 11 21.946545060|302.8917346514012 -06.3177171076930|  -9.246 -0.160   |10.309   |~                |    ~     ~    |    1| 1104.606   pc  | -15.0079    +15.0079    |paral   |2020yCat.1350....0G
2265|TYC 9241-1498-1                                                                                          |Star                                |12 49 18.3075196032 -68 51 53.351669556|302.7386163975608 -05.9938728442697| -35.685 16.070   |10.10    |~                |    ~     ~    |    1|  629.723   pc  |  -4.3621     +4.3621    |paral   |2020yCat.1350....0G
2266|TYC 9241-1562-1                                                                                          |Star                                |12 54 53.0677157232 -69 01 23.379321936|303.2421607188695 -06.1534894598668| -10.622 -1.431   |10.83    |~                |    ~     ~    |    1|  548.787   pc  |  -3.6441     +3.6441    |paral   |2020yCat.1350....0G
2267|TYC 9241-1573-1                                                                                          |Star                                |12 56 49.2803908536 -68 48 53.947575828|303.4208859198847 -05.9483489849616| -13.677 -5.730   |10.61    |~                |    ~     ~    |    1|  262.888   pc  |  -0.8639     +0.8639    |paral   |2020yCat.1350....0G
2268|TYC 9241-1699-1                                                                                          |Star                                |12 50 29.5443188064 -68 52 42.816403236|302.8462778658513 -06.0069697626871|  -30.058 9.838   |10.76    |~                |    ~     ~    |    1|  280.261   pc  |  -0.9190     +0.9190    |paral   |2020yCat.1350....0G
2269|TYC 9241-1725-1                                                                                          |Star                                |12 54 26.5379115384 -69 09 37.793529288|303.2007406917383 -06.2903187605873|  -5.468 -2.728   |10.427   |~                |    ~     ~    |    1|  642.590   pc  | -20.5800    +20.5800    |ST-L    |2020AJ....160...83S
2270|TYC 9241-1760-1                                                                                          |Star                                |12 56 05.3433456744 -68 30 34.387790184|303.3599554230138 -05.6416701636115|    4.730 7.979   |10.15    |~                |    ~     ~    |    1|  632.271   pc  |  -4.3974     +4.3974    |paral   |2020yCat.1350....0G
2271|TYC 9245-152-1                                                                                           |Star                                |12 51 21.0178115376 -69 32 04.654586580|302.9242147490465 -06.6628800009569|  -6.868 -2.435   |10.83    |~                |    ~     ~    |    1| 1497.903   pc  | -32.5338    +32.5338    |paral   |2020yCat.1350....0G
2272|TYC 9245-290-1                                                                                           |Star                                |12 53 45.3273995448 -69 30 50.839790040|303.1360644736366 -06.6432931836379|  -9.067 -3.458   |10.91    |~                |    ~     ~    |    1|  647.291   pc  |  -4.9021     +4.9021    |paral   |2020yCat.1350....0G
2273|TYC 9245-296-1                                                                                           |Star                                |12 55 09.2674473528 -69 31 16.193585424|303.2591846683821 -06.6517789162719|  -2.286 -7.560   |10.327   |~                |    ~     ~    |    1| 1420.380   pc  | -97.9500    +97.9500    |ST-L    |2020AJ....160...83S
2274|TYC 9245-430-1                                                                                           |Star                                |12 48 33.8262034824 -69 26 17.468485908|302.6779015524131 -06.5678557184842|  -8.526 -2.793   |10.13    |~                |    ~     ~    |    1| 1059.322   pc  | -19.3012    +19.3012    |paral   |2020yCat.1350....0G
2275|TYC 9245-566-1                                                                                           |Star                                |12 51 28.6280733048 -69 40 32.687272452|302.9353552670243 -06.8039991410067|    0.515 0.978   |10.843   |~                |    ~     ~    |    1|  965.371   pc  | -39.9900    +39.9900    |ST-L    |2020AJ....160...83S
2276|TYC 9245-629-1                                                                                           |Star                                |12 51 57.4834800408 -69 22 54.480303876|302.9780133584391 -06.5100990460295|   1.886 -4.656   |10.43    |~                |    ~     ~    |    1|  136.457   pc  |  -0.2197     +0.2197    |paral   |2020yCat.1350....0G
2277|TYC 9245-718-1                                                                                           |High Proper Motion Star             |12 52 31.5532046952 -69 38 33.243949140|303.0272095294033 -06.7710214642778| -67.853 -7.266   |10.81    |~                |    ~     ~    |    1|  223.539   pc  |  -0.6096     +0.6096    |paral   |2020yCat.1350....0G
2278|HD 111232                                                                                                |High Proper Motion Star             |12 48 51.7525624903 -68 25 30.554783455|302.6940613541074 -05.5545959614284| 27.283 112.918   |7.61     |G8VFe-1.0        |    ~     ~    |    1|   28.8939  pc  |  -0.0199     +0.0199    |paral   |2020yCat.1350....0G
2279|HD 111828                                                                                                |High Proper Motion Star             |12 53 06.3367239696 -69 52 48.820693188|303.0764193952031 -07.0089482726679|-79.124 -24.220   |8.87     |F8V              |    ~     ~    |    1|  114.038   pc  |  -2.2433     +2.2433    |paral   |2020yCat.1350....0G
2280|V* EF Mus                                                                                                |Double or Multiple Star             |12 54 17.8890467208 -70 02 12.398606268|303.1779752998806 -07.1663962787293|    4.660 0.852   |6.90     |K1II/III         |0.0050  0.0    |    1|  356.062   pc  |  -9.0901     +9.0901    |paral   |2020yCat.1350....0G
2281|HD 112321                                                                                                |High Proper Motion Star             |12 57 09.0101667840 -69 49 03.654974676|303.4282231080084 -06.9514390858319| -61.178 24.934   |8.98     |G8/K0V           |    ~     ~    |    1|  596.481   pc  |  -5.3724     +5.3724    |paral   |2020yCat.1350....0G
2282|HD 112568                                                                                                |Star                                |12 59 05.5809672816 -70 09 46.867005576|303.5865568665466 -07.3010017679542|  -17.252 0.125   |9.01     |A3mA5-A7         |    ~     ~    |    1|  288.934   pc  | -15.7198    +15.7198    |paral   |2020yCat.1350....0G
2283|CD-69 1028                                                                                               |Star                                |12 46 47.6619685224 -70 38 54.231304200|302.5436986591221 -07.7801503883972| -14.267 -3.204   |9.94     |~                |    ~     ~    |    1|  297.415   pc  |  -2.8925     +2.8925    |paral   |2020yCat.1350....0G
2284|CD-69 1031                                                                                               |Star                                |12 48 08.9729492712 -70 19 30.445307112|302.6527906140195 -07.4551583665795|  -4.630 -2.226   |9.86     |~                |    ~     ~    |    1| 1064.396   pc  | -18.2403    +18.2403    |paral   |2020yCat.1350....0G
