C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:34:47

dec >=0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7139

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
38  |BD+35 4418                                                                                               |Star                              |21 09 33.7130600784 +36 31 21.928572732|081.0138357761773 -07.7033758051239| -4.644 -14.093   |9.12     |K0                |    ~     ~          |    1|  667.913   pc  |  -6.1563     +6.1563  |paral   |2020yCat.1350....0G
39  |HD 201703                                                                                                |Star                              |21 10 10.7337576456 +36 27 46.485067032|081.0534610464517 -07.8353537043808| -4.973 -18.060   |8.23     |K0                |    ~     ~          |    1|  326.733   pc  |  -1.9109     +1.9109  |paral   |2020yCat.1350....0G
40  |BD+35 4347                                                                                               |Star                              |21 00 07.4683276848 +35 48 45.201317544|079.2061188253125 -06.7463692280544|  -6.875 -4.987   |9.40     |A0                |    ~     ~          |    1|  455.789   pc  |  -8.0397     +8.0397  |paral   |2020yCat.1350....0G
41  |HD 200253                                                                                                |Star                              |21 01 12.8647634688 +36 01 33.642578532|079.5140146728530 -06.7741633566044|  -4.819 -5.156   |5.997    |G5III             |    ~     ~          |    1|  185.632   pc  |  -1.0062     +1.0062  |paral   |2020yCat.1350....0G
42  |BD+35 4358                                                                                               |Star                              |21 01 16.7367233640 +36 02 28.061433060|079.5341228570849 -06.7741404904817|    7.146 2.009   |8.69     |K5                |    ~     ~          |    1| 1103.387   pc  | -25.4450    +25.4450  |paral   |2020yCat.1350....0G
43  |BD+35 4361                                                                                               |Star                              |21 01 28.4122802208 +36 10 31.774863864|079.6623138647311 -06.7158962241296|  -2.922 -7.811   |8.70     |M0                |    ~     ~          |    1| 1000.700   pc  | -23.7332    +23.7332  |paral   |2020yCat.1350....0G
44  |BD+35 4368                                                                                               |Spectroscopic Binary              |21 02 41.1780427752 +36 02 25.745348436|079.7215689993184 -06.9893307889062|    6.089 7.852   |9.15     |F5                |    ~     ~          |    1|  535.017   pc  |  -8.5587     +8.5587  |paral   |2020yCat.1350....0G
45  |BD+35 4371                                                                                               |Star                              |21 02 55.1037098592 +35 38 21.329443428|079.4480067523751 -07.2885213177372|   0.881 -8.388   |9.90     |K2                |    ~     ~          |    1|  669.299   pc  |  -4.5692     +4.5692  |paral   |2020yCat.1350....0G
46  |BD+35 4376                                                                                               |Star                              |21 03 37.0099844448 +35 43 19.144799364|079.6049134573376 -07.3408599390587|   0.870 -0.264   |8.92     |K2                |    ~     ~          |    1|  954.563   pc  | -13.5767    +13.5767  |paral   |2020yCat.1350....0G
47  |BD+35 4381a                                                                                              |Star                              |21 04 07.1973822384 +36 09 02.244042576|079.9973450513328 -07.1345964767736|  -2.567 -5.747   |10.44    |G0                |    ~     ~          |    1|  857.559   pc  |  -8.4572     +8.4572  |paral   |2020yCat.1350....0G
48  |BD+35 4382                                                                                               |High Proper Motion Star           |21 04 13.3485833160 +35 46 22.307467188|079.7252053045172 -07.3996591788519|  53.439 29.269   |8.83     |K0                |    ~     ~          |    1|  315.000   pc  |  -1.3594     +1.3594  |paral   |2020yCat.1350....0G
49  |HD 200755                                                                                                |Star                              |21 04 19.1719418760 +36 08 57.333402600|080.0231431788013 -07.1657375758671|   0.803 -4.854   |9.11     |A0                |    ~     ~          |    1|  500.726   pc  |  -4.7137     +4.7137  |paral   |2020yCat.1350....0G
50  |BD+35 4414                                                                                               |Double or Multiple Star           |21 09 13.218 +36 20 50.00              |080.836080 -07.770522              |       0.5 -4.3   |9.771    |A0V               |    ~     ~          |    0|                |                       |        |                   
51  |TYC 2713-171-1                                                                                           |Star                              |21 00 14.1835226232 +35 43 22.909131408|079.1526302063416 -06.8219280867378| -8.801 -15.665   |10.52    |~                 |    ~     ~          |    1|  849.762   pc  |  -7.5098     +7.5098  |paral   |2020yCat.1350....0G
52  |CCDM J21010+3646A                                                                                        |Star                              |21 01 00.8210464800 +36 46 02.117813448|080.0515640467163 -06.2585693343095| -6.931 -32.145   |10.5     |~                 |    ~     ~          |    1|  571.755   pc  | -10.8205    +10.8205  |paral   |2020yCat.1350....0G
53  |BD+35 4369                                                                                               |Star                              |21 02 52.1797 +35 53 27.799            |079.6326937 -07.1155289            |  -5.324 -9.989   |9.834    |~                 |    ~     ~          |    0|                |                       |        |                   
54  |TYC 2713-1865-2                                                                                          |Star                              |21 02 52.396 +35 53 26.93              |079.632994 -07.116238              |     11.3 -15.7   |10.79    |~                 |    ~     ~          |    0|                |                       |        |                   
55  |BD+35 4375                                                                                               |Star                              |21 03 29.7877938888 +35 51 13.399108812|079.6886027584015 -07.2356961630297|    3.195 4.036   |9.20     |~                 |    ~     ~          |    1|  466.092   pc  |  -2.8241     +2.8241  |paral   |2020yCat.1350....0G
56  |CCDM J21050+3559A                                                                                        |Star                              |21 05 02.0746608192 +35 59 15.627579648|079.9973841111414 -07.3809947478780|  -3.460 -9.693   |10.2     |~                 |    ~     ~          |    1| 1218.175   pc  | -16.0267    +16.0267  |paral   |2020yCat.1350....0G
57  |CCDM J21065+3645A                                                                                        |Star                              |21 06 31.5782238384 +36 44 31.122703104|080.7667950070740 -07.1042776113365|            ~ ~   |10.5     |~                 |    ~     ~          |    0|                |                       |        |                   
58  |BD+35 4356                                                                                               |Star                              |21 01 00.0985576272 +35 40 16.455608148|079.2152106424605 -06.9734592143906|    3.210 0.238   |10.41    |~                 |    ~     ~          |    1|  598.408   pc  |  -9.7043     +9.7043  |paral   |2020yCat.1350....0G
59  |BD+36 4400                                                                                               |Chemically Peculiar Star          |21 05 28.0 +36 39 00                   |080.5552 -07.0069                  |            ~ ~   |9.5      |~                 |    ~     ~          |    0|                |                       |        |                   
60  |BD+36 4374                                                                                               |Star                              |21 01 40.3130 +36 45 32.889            |080.1323018 -06.3634670            |   2.064 -4.210   |10.21    |~                 |    ~     ~          |    0|                |                       |        |                   
61  |BD+34 4237                                                                                               |Star                              |21 00 32.0500915176 +35 20 50.895378672|078.9054665291561 -07.1126579109209| -3.935 -12.596   |9.57     |A2                |    ~     ~          |    1|  389.909   pc  |  -2.4173     +2.4173  |paral   |2020yCat.1350....0G
62  |BD+34 4238                                                                                               |Star                              |21 00 46.7066973600 +35 22 14.471391972|078.9559356952199 -07.1352739152422| -1.904 -32.979   |8.67     |K0                |    ~     ~          |    1|  342.372   pc  |  -1.6879     +1.6879  |paral   |2020yCat.1350....0G
63  |IRAS 20584+3513                                                                                          |Star                              |21 00 24.3249123408 +35 25 31.726792092|078.9478470359536 -07.0419107668089|  -3.099 -3.049   |10.76    |~                 |    ~     ~          |    1| 1742.464   pc  | -65.5815    +65.5815  |paral   |2020yCat.1350....0G
64  |BD+36 4396                                                                                               |Spectroscopic Binary              |21 05 13.7344389792 +36 47 58.828501680|080.6361047459442 -06.8718863672349|  15.182 25.895   |10.27    |~                 |    ~     ~          |    1|  275.133   pc  |  -4.3375     +4.3375  |paral   |2020yCat.1350....0G
65  |BD+36 4415                                                                                               |High Proper Motion Star           |21 07 11.0147614104 +36 47 24.773721864|080.8915185429019 -07.1701434369704|  62.188 38.051   |10.36    |~                 |    ~     ~          |    1|  195.492   pc  |  -0.8064     +0.8064  |paral   |2020yCat.1350....0G
66  |BD+36 4438                                                                                               |Star                              |21 09 54.7397897904 +36 39 14.426658648|081.1595549202192 -07.6670339695850|  -2.560 -4.519   |10.03    |B9III             |    ~     ~          |    1|  797.575   pc  | -15.0762    +15.0762  |paral   |2020yCat.1350....0G
67  |BD+35 4348                                                                                               |Star                              |21 00 04.7317349232 +36 27 00.315491904|079.6866874122327 -06.3237844669275|   0.129 -5.878   |9.65     |A1IV              |    ~     ~          |    1|  572.935   pc  |  -4.8910     +4.8910  |paral   |2020yCat.1350....0G
68  |BD+35 4353                                                                                               |Star                              |21 00 53.0180216064 +35 48 31.127735448|079.3042565230363 -06.8655678113773|   0.034 -6.081   |10.43    |B8V               |    ~     ~          |    1|  780.457   pc  | -11.5732    +11.5732  |paral   |2020yCat.1350....0G
69  |BD+35 4365                                                                                               |Star                              |21 01 58.1782329072 +35 56 42.673042320|079.5532730474587 -06.9425488621019|   4.895 -0.035   |10.30    |A0                |    ~     ~          |    1|  777.786   pc  |  -9.2558     +9.2558  |paral   |2020yCat.1350....0G
70  |BD+35 4393                                                                                               |Star                              |21 05 38.9351358144 +36 02 39.927786360|080.1232836785354 -07.4363659323708|  -4.681 -3.284   |10.40    |B8IV              |    ~     ~          |    1| 1586.043   pc  | -38.4876    +38.4876  |paral   |2020yCat.1350....0G
71  |TYC 2709-2481-1                                                                                          |Star                              |21 02 26.5872024768 +35 34 33.072947220|079.3358449512992 -07.2573198345477|  -2.875 -0.932   |10.99    |~                 |    ~     ~          |    1|  990.786   pc  | -11.4854    +11.4854  |paral   |2020yCat.1350....0G
72  |TYC 2709-2609-1                                                                                          |Star                              |21 01 34.9569198120 +35 30 37.627201332|079.1704298089266 -07.1679514793212|  -1.860 -4.882   |10.98    |~                 |    ~     ~          |    1|  521.458   pc  |  -9.6531     +9.6531  |paral   |2020yCat.1350....0G
73  |TYC 2713-8-1                                                                                             |High Proper Motion Star           |21 07 20.5276678416 +36 06 36.782593524|080.4025111614961 -07.6479119413358| 30.631 -61.332   |10.75    |~                 |    ~     ~          |    1|  138.496   pc  |  -0.2033     +0.2033  |paral   |2020yCat.1350....0G
74  |TYC 2713-61-1                                                                                            |Star                              |21 01 13.2391277688 +37 27 25.145043588|080.6027466882290 -05.8378538070153|  -1.182 -6.344   |10.98    |~                 |    ~     ~          |    1| 2253.267   pc  | -68.0347    +68.0347  |paral   |2020yCat.1350....0G
75  |TYC 2713-168-1                                                                                           |Star                              |21 01 43.7501178096 +35 42 36.430589916|079.3421938855937 -07.0597664756823|   0.057 -5.179   |10.21    |~                 |    ~     ~          |    1|  425.622   pc  |  -2.4275     +2.4275  |paral   |2020yCat.1350....0G
76  |TYC 2713-264-1                                                                                           |Star                              |21 02 12.3514311960 +35 42 37.645755300|079.4063597472284 -07.1326307422396|   -1.135 0.159   |10.45    |~                 |    ~     ~          |    1|  300.933   pc  |  -1.9923     +1.9923  |paral   |2020yCat.1350....0G
77  |BD+35 4355                                                                                               |Star                              |21 00 59.3592408264 +36 12 18.016477920|079.6204127513580 -06.6227090558172|  24.964 24.908   |10.01    |~                 |    ~     ~          |    1|   58.343   pc  |  -0.0473     +0.0473  |paral   |2020yCat.1350....0G
78  |TYC 2713-353-1                                                                                           |Star                              |21 03 15.9727941048 +36 20 47.308321932|080.0312128233502 -06.8760322547322|   7.410 -4.352   |10.44    |~                 |    ~     ~          |    1| 1229.105   pc  | -44.4146    +44.4146  |paral   |2020yCat.1350....0G
79  |TYC 2713-503-1                                                                                           |Star                              |21 06 11.3782092552 +36 23 05.629616628|080.4529046824738 -07.2916195038704|  16.988 16.716   |10.82    |~                 |    ~     ~          |    1|  176.389   pc  |  -0.3267     +0.3267  |paral   |2020yCat.1350....0G
80  |TYC 2713-527-1                                                                                           |Star                              |21 01 49.7617483704 +36 14 10.904163360|079.7559734196489 -06.7302262027973|  -4.833 -4.383   |10.57    |~                 |    ~     ~          |    1|  858.443   pc  |  -8.4746     +8.4746  |paral   |2020yCat.1350....0G
81  |TYC 2713-574-1                                                                                           |Star                              |21 04 11.0648961288 +37 13 22.061809632|080.8159192652954 -06.4352993311617|    1.357 1.140   |10.72    |~                 |    ~     ~          |    1|  791.014   pc  |  -7.6336     +7.6336  |paral   |2020yCat.1350....0G
82  |TYC 2713-607-1                                                                                           |Star                              |21 03 01.0078624968 +37 13 20.202394944|080.6610118636136 -06.2611552202846| -5.174 -21.683   |9.83     |~                 |    ~     ~          |    1|   50.795   pc  |  -0.0312     +0.0312  |paral   |2020yCat.1350....0G
83  |TYC 2713-617-1                                                                                           |Star                              |21 05 32.9432982408 +36 34 10.372913400|080.5056701082748 -07.0726732750659|  -1.723 -3.507   |10.66    |~                 |    ~     ~          |    1|  709.774   pc  |  -6.2469     +6.2469  |paral   |2020yCat.1350....0G
84  |TYC 2713-711-1                                                                                           |Star                              |21 02 28.1474235360 +35 46 25.587789780|079.4898383958741 -07.1313893584884|    7.087 2.499   |10.53    |~                 |    ~     ~          |    1|  424.214   pc  |  -4.1570     +4.1570  |paral   |2020yCat.1350....0G
85  |TYC 2713-746-1                                                                                           |Star                              |21 00 43.6938185952 +36 07 20.979785964|079.5228700922568 -06.6367494427013| -4.322 -11.734   |9.75     |~                 |    ~     ~          |    1|  604.668   pc  |  -4.8628     +4.8628  |paral   |2020yCat.1350....0G
86  |TYC 2713-841-1                                                                                           |Star                              |21 01 21.3790966872 +37 23 08.512957572|080.5664095594188 -05.9049416360726| -9.514 -13.517   |10.68    |~                 |    ~     ~          |    1|  722.387   pc  |  -6.4187     +6.4187  |paral   |2020yCat.1350....0G
