C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:30:16

dec< 0&rah >=2.25&rah< 2.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2419

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |HD 14498                                                                                                 |High Proper Motion Star           |02 19 25.8323340552 -38 58 38.710561008|251.3737397798705 -68.1745038958392|  90.055 -2.946   |7.67     |G8/K0III         |    ~     ~    |    1|  226.711   pc  |  -0.8018     +0.8018  |paral   |2020yCat.1350....0G
34  |HD 14629                                                                                                 |Spectroscopic Binary              |02 20 42.9272181144 -39 02 01.448539944|251.2152412682949 -67.9255611179222|213.292 -24.279   |8.74     |K3.5Vk:          |    ~     ~    |    1|   25.062   pc  |  -0.1046     +0.1046  |paral   |2020yCat.1350....0G
35  |HD 14639                                                                                                 |High Proper Motion Star           |02 20 51.3884371848 -38 55 18.506855568|250.9151753335793 -67.9495527198219|166.965 -84.236   |9.78     |G8V              |    ~     ~    |    1|   77.261   pc  |  -0.0770     +0.0770  |paral   |2020yCat.1350....0G
36  |HD 14672                                                                                                 |High Proper Motion Star           |02 21 03.8708340984 -39 10 12.601280460|251.4618296060077 -67.8048670528561|  43.495 54.508   |9.76     |F7IV/V           |    ~     ~    |    1|  241.103   pc  |  -8.5627     +8.5627  |paral   |2020yCat.1350....0G
37  |HD 14778                                                                                                 |Star                              |02 21 52.1977067520 -38 42 21.355918884|250.1723541955709 -67.8628404672583|  -0.954 10.620   |8.37     |K0III/IV         |    ~     ~    |    1|  213.488   pc  |  -0.8523     +0.8523  |paral   |2020yCat.1350....0G
38  |HD 14779                                                                                                 |Star                              |02 21 54.5366300736 -38 58 34.455909792|250.8118938776422 -67.7414222567310|-15.021 -11.064   |9.14     |A9V              |    ~     ~    |    1|  175.126   pc  |  -1.6380     +1.6380  |ST-L    |2020AJ....160...83S
39  |CD-39 700                                                                                                |Star                              |02 24 38.3943557760 -38 35 21.559373664|249.3107411277550 -67.4171176024828|  -0.940 -1.641   |10.19    |F2               |    ~     ~    |    1|  267.967   pc  |  -0.9335     +0.9335  |paral   |2020yCat.1350....0G
40  |HD 15110                                                                                                 |Star                              |02 24 59.5286778144 -38 41 17.234514276|249.4744517296094 -67.3145363640301| -9.003 -17.548   |9.27     |F3IV/V           |    ~     ~    |    1|  157.585   pc  |  -0.2930     +0.2930  |paral   |2020yCat.1350....0G
41  |CD-37 872                                                                                                |High Proper Motion Star           |02 17 45.6815419920 -37 03 23.985004536|246.9236117342942 -69.2661890292833|  53.311 -7.507   |10.863   |~                |    ~     ~    |    1|  290.593   pc  |  -4.5930     +4.5930  |ST-L    |2020AJ....160...83S
42  |CD-39 669                                                                                                |Star                              |02 17 59.2591122384 -38 54 14.010316668|251.5339692938527 -68.4584408215362|  8.690 -28.194   |10.684   |~                |    ~     ~    |    1|  257.246   pc  |  -5.6710     +5.6710  |ST-L    |2020AJ....160...83S
43  |CD-38 766                                                                                                |Star                              |02 18 20.4701121360 -37 58 18.506022924|249.1436598479169 -68.7974530056103|  41.447 21.738   |10.499   |~                |    ~     ~    |    1|  279.798   pc  |  -4.5080     +4.5080  |ST-L    |2020AJ....160...83S
44  |CD-37 875                                                                                                |Star                              |02 18 29.6222598888 -36 47 05.939482452|246.0580179521893 -69.2318461377165|    0.982 0.443   |9.921    |~                |    ~     ~    |    1| 1043.560   pc  | -53.0800    +53.0800  |ST-L    |2020AJ....160...83S
45  |CPD-39 188                                                                                               |Star                              |02 19 12.3889160784 -39 12 52.426047672|251.9955901032091 -68.1072671745051|   21.563 4.068   |10.562   |~                |    ~     ~    |    1|  192.950   pc  |  -2.1250     +2.1250  |ST-L    |2020AJ....160...83S
46  |CPD-37 222                                                                                               |Star                              |02 22 43.8086068584 -37 10 48.975255804|246.2295983460577 -68.3000982364675|  1.871 -19.783   |10.774   |~                |    ~     ~    |    1|  346.601   pc  |  -5.8880     +5.8880  |ST-L    |2020AJ....160...83S
47  |CD-37 902                                                                                                |Star                              |02 23 10.4375164968 -36 45 09.439610868|245.0602838697975 -68.3661626416948|  14.749 28.889   |10.12    |~                |    ~     ~    |    1|  249.369   pc  |  -3.1850     +3.1850  |ST-L    |2020AJ....160...83S
48  |CD-37 908                                                                                                |Star                              |02 23 57.6870 -37 15 18.524            |246.1828499 -68.0443728            |    2.40 -24.50   |10.91    |~                |    ~     ~    |    0|                |                       |        |                   
49  |CD-37 909                                                                                                |Star                              |02 24 06.9471230976 -36 32 24.562363740|244.3480115435789 -68.2586981730156|  22.658 17.282   |10.63    |~                |    ~     ~    |    1|  300.057   pc  |  -1.5936     +1.5936  |paral   |2020yCat.1350....0G
50  |CD-37 911                                                                                                |Star                              |02 24 12.4903487736 -36 57 30.016830024|245.3918805165113 -68.1015878737315|   0.302 -1.297   |10.89    |~                |    ~     ~    |    1|  341.775   pc  |  -1.6003     +1.6003  |paral   |2020yCat.1350....0G
51  |CD-37 914                                                                                                |High Proper Motion Star           |02 24 27.6089564496 -36 59 41.921963664|245.4380155805263 -68.0417692698452| 90.048 -39.484   |10.61    |~                |    ~     ~    |    1|  121.092   pc  |  -0.1877     +0.1877  |paral   |2020yCat.1350....0G
52  |CD-39 702                                                                                                |Star                              |02 24 59.5771391112 -38 48 28.047553992|249.7579569698999 -67.2661459706131|  16.644 -4.346   |10.60    |~                |    ~     ~    |    1|  228.688   pc  | -10.1700    +10.1700  |ST-L    |2020AJ....160...83S
53  |CD-38 761                                                                                                |High Proper Motion Star           |02 17 09.5400131688 -38 19 40.518630444|250.3092429868155 -68.8575629957567| 49.992 -13.924   |10.64    |~                |    ~     ~    |    1|  136.450   pc  |  -0.3277     +0.3277  |paral   |2020yCat.1350....0G
54  |CD-39 676                                                                                                |Star                              |02 19 00.8109437352 -39 10 12.030828708|251.9342599533698 -68.1607578285436|   10.805 2.052   |10.648   |~                |    ~     ~    |    1| 1042.880   pc  | -60.8700    +60.8700  |ST-L    |2020AJ....160...83S
55  |CD-38 774                                                                                                |Star                              |02 19 04.8033040008 -38 23 38.373845748|250.0299155880804 -68.4889706878161|   2.716 13.745   |10.415   |~                |    ~     ~    |    1|  436.080   pc  | -12.7700    +12.7700  |ST-L    |2020AJ....160...83S
56  |CD-39 678                                                                                                |Star                              |02 19 20.9888849064 -38 43 35.065851240|250.7838832054812 -68.2986956504088|   2.378 -5.928   |10.09    |~                |    ~     ~    |    1| 1160.631   pc  | -17.7813    +17.7813  |paral   |2020yCat.1350....0G
57  |CD-38 781                                                                                                |Star                              |02 21 07.1138000880 -37 59 15.958293792|248.5775415180431 -68.2905796016284| -0.685 -11.144   |10.66    |~                |    ~     ~    |    1|  984.252   pc  | -11.5281    +11.5281  |paral   |2020yCat.1350....0G
58  |CD-38 794                                                                                                |Star                              |02 22 17.8294764072 -38 18 40.590679932|249.1244506747544 -67.9488050521966|  -0.768 -9.079   |10.379   |~                |    ~     ~    |    1|  848.829   pc  | -31.8000    +31.8000  |ST-L    |2020AJ....160...83S
59  |TYC 7009-7-1                                                                                             |Star                              |02 23 44.8779605808 -37 29 37.982629608|246.8188366966782 -67.9981229310352|  36.540 -3.539   |10.88    |~                |    ~     ~    |    1|  272.636   pc  |  -1.0629     +1.0629  |paral   |2020yCat.1350....0G
60  |TYC 7016-549-1                                                                                           |High Proper Motion Star           |02 24 24.9113587104 -37 22 36.481191996|246.4005870831901 -67.9168009648143|-39.879 -38.662   |10.61    |~                |    ~     ~    |    1|   70.426   pc  |  -0.0709     +0.0709  |paral   |2020yCat.1350....0G
61  |TYC 7551-298-1                                                                                           |Star                              |02 22 16.4426926272 -38 54 40.280618376|250.5768488392959 -67.7049261762950|   -5.866 2.437   |10.700   |~                |    ~     ~    |    1|  587.045   pc  | -16.8900    +16.8900  |ST-L    |2020AJ....160...83S
62  |TYC 7551-438-1                                                                                           |High Proper Motion Star           |02 18 31.6192688976 -37 30 53.934712560|247.9428478623809 -68.9481640704187|   72.243 0.752   |10.66    |~                |    ~     ~    |    1|  247.476   pc  |  -1.0044     +1.0044  |paral   |2020yCat.1350....0G
63  |TYC 7551-898-1                                                                                           |Star                              |02 19 36.9626324712 -38 13 10.780867704|249.4783392145397 -68.4665818394992|-16.043 -21.103   |10.942   |~                |    ~     ~    |    1|  332.392   pc  |  -5.9250     +5.9250  |ST-L    |2020AJ....160...83S
64  |TYC 7551-1108-1                                                                                          |Star                              |02 20 09.9976829256 -38 53 09.436307388|250.9844285147744 -68.0860286004886|  17.986 35.445   |10.93    |~                |    ~     ~    |    1|  337.826   pc  |  -1.3125     +1.3125  |paral   |2020yCat.1350....0G
65  |HD 15309                                                                                                 |High Proper Motion Star           |02 26 55.1313523536 -36 15 06.391813608|243.1431514727028 -67.8134080015265| -5.732 -85.048   |9.10     |F7V              |    ~     ~    |    1|  103.202   pc  |  -0.1480     +0.1480  |paral   |2020yCat.1350....0G
66  |HD 15331                                                                                                 |Star                              |02 27 04.2689814984 -36 10 13.780468380|242.9134601855628 -67.8083725156833|  19.416 20.400   |9.21     |K2III            |    ~     ~    |    1|  455.311   pc  |  -2.7987     +2.7987  |paral   |2020yCat.1350....0G
67  |HD 15447                                                                                                 |Star                              |02 28 16.1905977408 -36 20 27.059023068|243.1525693648480 -67.5270149049422|  20.176 17.901   |7.17     |K5III            |    ~     ~    |    1|  513.954   pc  |  -4.0679     +4.0679  |paral   |2020yCat.1350....0G
68  |CD-37 926                                                                                                |High Proper Motion Star           |02 26 44.2728249864 -37 08 11.903506080|245.3835069416336 -67.5662694859751|  68.001 81.394   |10.176   |G0               |    ~     ~    |    1|  156.307   pc  |  -1.3120     +1.3120  |ST-L    |2020AJ....160...83S
69  |CD-37 928                                                                                                |Star                              |02 27 01.3280773152 -36 56 34.157649876|244.8549267729011 -67.5769092727962|  -2.367 -0.582   |9.916    |F8               |    ~     ~    |    1|  262.594   pc  |  -3.6970     +3.6970  |ST-L    |2020AJ....160...83S
70  |HD 15402                                                                                                 |Double or Multiple Star           |02 27 48.55125 -36 41 36.0862          |244.10427221 -67.50749465          |    47.99 21.80   |8.93     |F5V              |    ~     ~    |    0|                |                       |        |                   
71  |HD 15403                                                                                                 |High Proper Motion Star           |02 27 49.7216242512 -37 00 44.942758956|244.8898059237440 -67.4019161589446|142.825 -40.808   |9.60     |G6V              |    ~     ~    |    1|  100.554   pc  |  -0.5186     +0.5186  |ST-L    |2020AJ....160...83S
72  |HD 15370                                                                                                 |Star                              |02 27 22.1699463888 -38 20 41.630426052|248.1937414774364 -67.0194358343174| 28.966 -26.007   |10.04    |G3IV             |    ~     ~    |    1|  193.404   pc  |  -1.9660     +1.9660  |ST-L    |2020AJ....160...83S
73  |CD-38 822                                                                                                |Star                              |02 27 34.8236362944 -37 56 54.332520504|247.2083808366999 -67.1270031866440|-18.347 -16.236   |10.821   |F8               |    ~     ~    |    1|  380.083   pc  |  -7.6370     +7.6370  |ST-L    |2020AJ....160...83S
74  |CD-37 925                                                                                                |High Proper Motion Star           |02 26 33.3294389040 -36 30 18.878257836|243.8413103611843 -67.8053340897892|-36.178 -34.520   |10.68    |~                |    ~     ~    |    1|  269.680   pc  |  -1.0182     +1.0182  |paral   |2020yCat.1350....0G
75  |CPD-37 239                                                                                               |High Proper Motion Star           |02 27 42.2447039856 -36 57 50.621015628|244.7915568336018 -67.4411717514529| 104.714 39.506   |10.533   |~                |    ~     ~    |    1|  193.847   pc  |  -1.9070     +1.9070  |ST-L    |2020AJ....160...83S
76  |CD-38 818                                                                                                |Star                              |02 26 52.0581760224 -38 17 39.809584644|248.1687918327710 -67.1296447113188| -4.677 -11.866   |10.84    |~                |    ~     ~    |    1| 1850.139   pc  | -38.6801    +38.6801  |paral   |2020yCat.1350....0G
77  |HD 15576                                                                                                 |Star                              |02 29 21.7759017216 -35 56 29.623452576|241.9885511941278 -67.4302907900615|-28.041 -17.781   |7.75     |K2III            |    ~     ~    |    1|  351.074   pc  |  -2.1939     +2.1939  |paral   |2020yCat.1350....0G
78  |HD 15589                                                                                                 |Chemically Peculiar Star          |02 29 26.5529961768 -36 08 58.778355624|242.4963987182225 -67.3564370300754| 22.899 -50.305   |8.97     |G8II             |    ~     ~    |    1|  354.862   pc  |  -2.2541     +2.2541  |paral   |2020yCat.1350....0G
79  |HD 15543                                                                                                 |Star                              |02 29 02.1982589976 -36 46 56.293117068|244.1245771496838 -67.2461061366236|  45.956 17.049   |9.61     |F5/6V            |    ~     ~    |    1|  224.115   pc  |  -1.2406     +1.2406  |paral   |2020yCat.1350....0G
80  |HD 15611                                                                                                 |Star                              |02 29 38.5080496584 -37 48 32.804948772|246.5083612841614 -66.7956042400980|  6.566 -18.713   |9.69     |G8III/IV         |    ~     ~    |    1|  338.203   pc  |  -1.4641     +1.4641  |paral   |2020yCat.1350....0G
81  |CD-38 830                                                                                                |Star                              |02 29 49.2012529872 -38 04 31.560961404|247.1089536296683 -66.6696044750687|  10.077 -7.780   |10.849   |~                |    ~     ~    |    1|  504.111   pc  | -12.1700    +12.1700  |ST-L    |2020AJ....160...83S
82  |TYC 7552-1083-1                                                                                          |Star                              |02 29 35.6598302040 -37 48 33.819183900|246.5172513764049 -66.8043062197335|  18.523 26.210   |10.585   |~                |    ~     ~    |    1|  472.023   pc  | -11.4500    +11.4500  |ST-L    |2020AJ....160...83S
83  |TYC 7016-792-1                                                                                           |Star                              |02 27 33.7339439664 -36 40 33.840049800|244.1019305012827 -67.5599298599994| 24.388 -10.108   |10.903   |~                |    ~     ~    |    1| 1046.190   pc  | -40.2600    +40.2600  |ST-L    |2020AJ....160...83S
84  |HD 13992                                                                                                 |High Proper Motion Star           |02 15 11.3099404464 -35 07 03.905259312|242.1702524361444 -70.4285732386507|  190.439 4.802   |8.24     |G0V              |    ~     ~    |    1|   66.544   pc  |  -0.0890     +0.0890  |paral   |2020yCat.1350....0G
