C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
26  |BD-01 2372                                                            |Star                           |10 17 58.7656112640 -02 41 30.969162636|245.6915391278457 +42.5033507765718| -25.193 -1.072   |9.732    |F8             |    ~     ~    
27  |TYC 4907-901-1                                                        |Star                           |10 17 09.4408214832 -02 40 24.275699076|245.4887660217846 +42.3616092321211|  -30.213 0.661   |10.361   |~              |    ~     ~    
28  |BD-02 3106                                                            |Star                           |10 16 32.4074898048 -02 49 35.893294248|245.5067042491358 +42.1446815177548|  -9.528 -5.967   |9.33     |K5             |    ~     ~    
29  |HD 89114                                                              |High Proper Motion Star        |10 16 46.7369911320 -02 47 51.199519488|245.5303952695319 +42.2086639510450|-70.381 -24.414   |7.66     |K0/1III        |    ~     ~    
30  |HD 89226                                                              |Star                           |10 17 31.7157522408 -03 32 01.904161524|246.4384860116781 +41.8590300287723| -26.812 -1.660   |8.30     |A3/5mA7/8-F2   |    ~     ~    
31  |HD 89334                                                              |Double or Multiple Star        |10 18 17.7701906635 -03 26 25.991414380|246.5175973058399 +42.0638052170260|-126.233 -21.891  |9.25     |F8/G0V         |    ~     ~    
32  |HD 89032                                                              |High Proper Motion Star        |10 16 13.5438532512 -03 54 55.085776740|246.5268698746359 +41.3622683481923| -7.214 -61.327   |8.91     |F5V            |    ~     ~    
33  |BD-03 2881                                                            |Star                           |10 17 00.3801963216 -04 14 18.499345800|247.0198247760542 +41.2895443235701| 21.715 -13.390   |9.33     |K2             |    ~     ~    
34  |HD 89278                                                              |Star                           |10 17 57.9310698192 -03 49 26.439954132|246.8253136202126 +41.7453779785160|  5.519 -13.050   |8.41     |F2III/IV       |    ~     ~    
35  |HD 89335                                                              |Star                           |10 18 16.5587346768 -03 52 37.529383296|246.9477952086770 +41.7669674802400| -39.866 18.938   |8.39     |K2III          |    ~     ~    
36  |BD-03 2891                                                            |High Proper Motion Star        |10 18 36.8398202064 -03 49 23.956469472|246.9706423604840 +41.8655073919600| -79.658 32.877   |9.625    |F5             |    ~     ~    
37  |BD-03 2888                                                            |Star                           |10 18 07.8033829320 -04 28 18.673396752|247.5008847219235 +41.3383024631928|   7.580 21.785   |9.94     |K0             |    ~     ~    
38  |BD-04 2826                                                            |Star                           |10 15 30.9782931528 -04 56 24.674370864|247.3734046984727 +40.5419557015588|  -48.388 6.728   |10.25    |~              |    ~     ~    
39  |BD-03 2880                                                            |High Proper Motion Star        |10 16 49.7942585928 -04 36 18.888503796|247.3398147680522 +41.0095427952462|  -76.135 2.843   |10.34    |~              |    ~     ~    
40  |BD-02 3109                                                            |Star                           |10 17 11.7769026792 -03 24 55.703883024|246.2457902762884 +41.8763770214855|  -31.206 5.246   |10.62    |~              |    ~     ~    
41  |BD-03 2884                                                            |Star                           |10 17 35.9317589160 -03 59 00.864507372|246.9010757530393 +41.5703938182741|  -14.498 8.138   |10.21    |~              |    ~     ~    
42  |BD-03 2886                                                            |Star                           |10 17 52.5157775568 -04 24 52.372828620|247.3874492370130 +41.3304109440821| -12.719 -1.197   |10.87    |~              |    ~     ~    
43  |TYC 4907-1669-1                                                       |High Proper Motion Star        |10 15 30.9819120552 -04 06 09.241458300|246.5544598937483 +41.1054919952514|-44.673 -19.786   |10.61    |~              |    ~     ~    
44  |TYC 4907-1652-1                                                       |Star                           |10 17 00.4940695224 -04 30 28.571248296|247.2845692334047 +41.1080773025247| -25.651 27.685   |10.816   |~              |    ~     ~    
45  |BD-03 2882                                                            |High Proper Motion Star        |10 17 19.4169504360 -04 41 10.815430668|247.5293361940742 +41.0451600279539|  -59.729 1.761   |10.613   |~              |    ~     ~    
46  |BD-03 2885                                                            |Star                           |10 17 41.6013323352 -03 58 22.609489404|246.9117619430796 +41.5949783389246|  -8.573 -0.582   |10.341   |~              |    ~     ~    
47  |TYC 4907-1707-1                                                       |Star                           |10 16 11.7258723648 -03 54 49.294058112|246.5185393674341 +41.3577291149152| -15.214 19.358   |10.48    |~              |    ~     ~    
48  |BD-03 2878                                                            |Star                           |10 16 21.6191792448 -04 21 06.444511092|246.9870344635276 +41.0941743072312| -13.108 -8.395   |10.548   |~              |    ~     ~    
49  |TYC 4907-962-1                                                        |High Proper Motion Star        |10 17 43.9742732304 -02 35 33.527675472|245.5352759866174 +42.5228703553057|  -62.094 1.367   |10.602   |~              |    ~     ~    
50  |TYC 4907-995-1                                                        |Star                           |10 16 38.2977802800 -02 39 59.538699288|245.3661279217894 +42.2687370080030| -15.546 -7.684   |10.81    |~              |    ~     ~    
51  |HD 89012                                                              |Star                           |10 16 01.2382640760 -05 05 45.425020992|247.6361193266633 +40.5288418223329| -16.666 11.955   |7.84     |K0III          |    ~     ~    
52  |HD 89072                                                              |Star                           |10 16 23.4891131520 -05 15 30.622322736|247.8754893309471 +40.4861068548582| -11.309 -3.654   |8.52     |K0III          |    ~     ~    
53  |AKARI-IRC-V1 J1015252-051511                                          |Long-Period Variable Candidate |10 15 25.2591708432 -05 15 11.771506620|247.6548450688275 +40.3124234440452| -5.912 -11.713   |10.19    |~              |    ~     ~    
54  |BD-04 2832                                                            |Star                           |10 16 53.4023162304 -05 06 20.373005448|247.8392618883697 +40.6810766427635|  9.501 -16.982   |10.48    |~              |    ~     ~    
55  |HD 88951                                                              |Star                           |10 15 27.8544432984 -05 59 36.319029972|248.3721917467904 +39.8158910647635|  -47.027 5.261   |8.80     |K0III          |    ~     ~    
56  |BD-05 3026                                                            |Star                           |10 15 51.7266386064 -05 54 32.429359548|248.3802519709197 +39.9457943085926|-29.669 -11.834   |9.81     |F5             |    ~     ~    
57  |HD 89057                                                              |Star                           |10 16 16.9311151488 -05 49 44.480400492|248.3975461347330 +40.0766983754991|   -8.268 0.411   |7.80     |B8/9IV         |    ~     ~    
58  |HD 89146                                                              |Star                           |10 16 51.2319034368 -05 50 27.477680064|248.5363928449672 +40.1720180873906|  -4.308 -3.249   |9.13     |A2IV           |    ~     ~    
59  |BD-05 3033                                                            |Star                           |10 18 01.1271970704 -06 09 32.980422312|249.0993332831780 +40.1628630845426|  -31.855 9.904   |9.27     |K2             |    ~     ~    
60  |HD 88898                                                              |Star                           |10 15 07.5449684496 -06 25 24.946929264|248.7038686305663 +39.4596782014119| 22.980 -23.325   |8.85     |K1III          |    ~     ~    
61  |V* XX Sex                                                             |Eclipsing Binary               |10 16 02.1465461976 -06 18 26.363524824|248.7960203586447 +39.7038056695732| 17.059 -82.340   |9.47     |F2V            |    ~     ~    
62  |HD 89310                                                              |Star                           |10 18 05.1179792208 -06 25 22.751849028|249.3630950882402 +39.9921460062393|  -29.695 9.660   |8.71     |A1V            |    ~     ~    
63  |HD 88938                                                              |Star                           |10 15 20.6753127432 -07 10 58.609824024|249.4616040343964 +38.9749764275041| -40.524 20.520   |8.75     |K0III          |    ~     ~    
64  |BD-06 3121                                                            |Star                           |10 17 18.7915644816 -06 53 29.606558820|249.6286123484339 +39.5288352443857| -12.087 -8.665   |9.776    |K0             |    ~     ~    
65  |BD-06 3122                                                            |Star                           |10 17 42.8174191152 -07 21 38.195184600|250.1533050702940 +39.2729152998446| -1.418 -10.396   |9.959    |~              |    ~     ~    
66  |BD-06 3123                                                            |Star                           |10 17 56.5495181448 -06 54 45.126560412|249.7891872035011 +39.6263849838348|   -2.593 1.830   |9.84     |A5             |    ~     ~    
67  |HD 89378                                                              |Star                           |10 18 36.6527694312 -07 30 08.304789240|250.4854001187439 +39.3322017629401| -8.614 -34.005   |9.40     |G5V            |    ~     ~    
68  |BD-06 3118                                                            |High Proper Motion Star        |10 16 06.8785458144 -07 14 38.418864324|249.6888307091382 +39.0700639559708| -62.073 23.196   |10.31    |~              |    ~     ~    
69  |BD-06 3120                                                            |Star                           |10 16 31.0956884496 -07 06 10.243167444|249.6477200082902 +39.2401605777556|  10.426 -0.284   |10.268   |~              |    ~     ~    
70  |BD-05 3035                                                            |Star                           |10 18 05.5047386376 -05 51 55.304284320|248.8370872205858 +40.3787560101885|  -14.461 9.490   |10.26    |~              |    ~     ~    
71  |BD-05 3037                                                            |Star                           |10 18 16.8775244832 -06 39 52.789863600|249.6339246932172 +39.8593257145473|  0.468 -13.852   |10.189   |~              |    ~     ~    
72  |BD-05 3039                                                            |Star                           |10 18 35.7123760680 -06 27 15.218186940|249.5072785662334 +40.0616595649474|   -9.758 5.741   |10.735   |~              |    ~     ~    
73  |BD-04 2829                                                            |Star                           |10 16 22.8437422368 -05 35 54.332608272|248.1994000147918 +40.2523316069806|  9.097 -38.665   |10.76    |~              |    ~     ~    
74  |BD-05 3029                                                            |Star                           |10 16 34.0911934872 -05 54 35.706032028|248.5382335294335 +40.0730243832622| -14.442 11.826   |10.83    |~              |    ~     ~    
75  |BD-05 3030                                                            |Star                           |10 16 34.2316157136 -06 26 18.044640204|249.0384449119803 +39.7097878262131| -39.894 24.276   |10.98    |~              |    ~     ~    
76  |BD-05 3032                                                            |Star                           |10 16 58.6918501704 -06 25 51.074692824|249.1223691178232 +39.7882056223509|-20.447 -22.012   |10.341   |~              |    ~     ~    
77  |BD-06 3124                                                            |Star                           |10 18 08.5416072000 -06 44 13.622594496|249.6704363149246 +39.7841386600546| -20.841 15.085   |10.64    |~              |    ~     ~    
78  |TYC 4910-679-1                                                        |Star                           |10 15 03.7660470480 -05 59 48.345036900|248.2865195368189 +39.7407911414114|  -4.373 -8.303   |10.915   |~              |    ~     ~    
79  |TYC 4910-1055-1                                                       |Star                           |10 17 12.2372151312 -05 27 42.365189268|248.2523150443522 +40.4952575241890| -49.786 -1.272   |10.868   |~              |    ~     ~    
80  |TYC 4910-1082-1                                                       |Star                           |10 16 21.3171190920 -05 08 48.538754088|247.7597168460362 +40.5554658076890|  -17.005 1.276   |10.901   |~              |    ~     ~    
81  |TYC 4910-1123-1                                                       |Star                           |10 16 12.4053703464 -05 13 08.188145220|247.7962298163233 +40.4793141912568| -13.244 -0.678   |10.453   |~              |    ~     ~    
82  |TYC 4910-1188-1                                                       |Star                           |10 16 59.3569937184 -05 24 03.300066972|248.1458832331430 +40.4978537709744| -19.747 -9.216   |10.184   |~              |    ~     ~    
83  |TYC 4910-1452-1                                                       |Star                           |10 16 55.7511429408 -05 21 21.192990804|248.0891804558198 +40.5176721954626| -22.718 -0.153   |10.69    |~              |    ~     ~    
84  |TYC 4910-1696-1                                                       |High Proper Motion Star        |10 15 28.1101954512 -06 59 28.947476400|249.3110685044273 +39.1298290318118| -148.399 2.907   |10.98    |~              |    ~     ~    
85  |BD-06 3119                                                            |Star                           |10 16 28.7828347704 -07 37 01.343431848|250.1140365959647 +38.8749595616227| -25.606 -0.771   |10.25    |~              |    ~     ~    
86  |BD-07 2995                                                            |Star                           |10 15 39.3393304560 -08 11 10.922089848|250.4516445077644 +38.3307492437159| -7.511 -13.017   |10.44    |~              |    ~     ~    
87  |BD-07 2997                                                            |High Proper Motion Star        |10 16 37.5035885352 -07 57 03.781054404|250.4522724247633 +38.6668305728407|-66.859 -50.005   |9.90     |~              |    ~     ~    
88  |BD-07 2999                                                            |Star                           |10 16 54.4796775696 -08 00 10.073031912|250.5624616121973 +38.6804004111908|  -41.999 2.930   |10.41    |~              |    ~     ~    
89  |BD-07 3000                                                            |Rotating Variable              |10 17 30.8378756736 -08 09 06.813495396|250.8333676370926 +38.6820811021189|  -24.786 4.495   |9.817    |G7IV           |    ~     ~    
90  |* eps Sex                                                             |High Proper Motion Star        |10 17 37.8019973 -08 04 08.089800      |250.7838414830 +38.7609332635      |   -160.57 2.91   |5.240    |F0IV           |    ~     ~    
91  |HD 89293                                                              |Star                           |10 17 59.5037320752 -07 52 53.804272476|250.6940355620492 +38.9564084219425|  -8.079 -7.858   |9.63     |F7V            |    ~     ~    
92  |HD 89128                                                              |Star                           |10 16 48.8054506992 -08 38 54.479236848|251.1264341236500 +38.2088791412065| -20.692 -4.409   |9.56     |K0III          |    ~     ~    
93  |HD 89379                                                              |Star                           |10 18 42.3240297792 -08 39 36.436089420|251.5596699308125 +38.5304712269114|  4.428 -27.239   |8.69     |K0IV           |    ~     ~    
94  |HD 89147                                                              |High Proper Motion Star        |10 16 55.4369752512 -08 54 57.789832068|251.3913037540555 +38.0387869805499|15.315 -199.853   |9.52     |K0/1V          |    ~     ~    
95  |HD 89166                                                              |Star                           |10 17 00.3099881160 -09 02 30.870406752|251.5219416210324 +37.9636553431309| -15.125 16.927   |8.93     |K0III          |    ~     ~    
96  |BD-08 2889                                                            |Star                           |10 17 28.4137486008 -09 28 22.789522632|252.0096082728797 +37.7380029730722|   -0.849 3.279   |10.17    |~              |    ~     ~    
97  |BD-08 2890                                                            |Star                           |10 17 33.4420700688 -09 42 27.591970392|252.2356288666361 +37.5847674685817|  -23.006 5.136   |9.47     |K2             |    ~     ~    
98  |HD 89311                                                              |Star                           |10 18 07.8628644888 -09 01 05.656436652|251.7518344895748 +38.1759724620036|  -6.272 -9.628   |9.19     |K3III          |    ~     ~    
99  |BD-09 3030                                                            |Star                           |10 16 09.5683065984 -09 44 07.214331444|251.9502144356824 +37.3238452179687|   1.408 -0.443   |9.83     |K0             |    ~     ~    
100 |BD-09 3031                                                            |High Proper Motion Star        |10 16 21.8984448168 -09 54 37.641961080|252.1498277234858 +37.2343918607918| -4.516 -56.948   |10.631   |~              |    ~     ~    
101 |BD-09 3033                                                            |Star                           |10 16 42.4 -09 56 17                   |252.2496 +37.2735                  |            ~ ~   |9.6      |~              |    ~     ~    
102 |HD 89129                                                              |Double or Multiple Star        |10 16 48.1299 -09 45 53.105            |252.1182924 +37.4138306            | -93.965 24.003   |9.51     |G6V            |    ~     ~    
103 |BD-09 3036                                                            |Star                           |10 17 32.1872961480 -09 55 30.990337464|252.4224394776969 +37.4253350560391| -2.717 -15.894   |10.234   |K0             |    ~     ~    
104 |TYC 5490-1696-1                                                       |Star                           |10 17 33.8422712952 -09 45 17.052112332|252.2785957145699 +37.5522306085309|  -7.374 -7.322   |10.17    |G              |    ~     ~    
105 |TYC 5490-1697-1                                                       |Star                           |10 17 34.8482696520 -09 45 14.860174320|252.2817891894197 +37.5555512651341|  -9.299 -7.683   |9.97     |G              |    ~     ~    
106 |BD-07 2992                                                            |High Proper Motion Star        |10 15 02.7744596832 -07 48 08.236137996|249.9665272927655 +38.4913265843626| -48.237 28.125   |10.46    |~              |    ~     ~    
107 |BD-08 2885                                                            |Star                           |10 16 28.2985773000 -08 55 33.457085760|251.2997713203149 +37.9529155708969| -18.380 -2.030   |9.97     |~              |    ~     ~    
108 |BD-08 2891                                                            |Star                           |10 17 43.6476148176 -09 07 20.278168356|251.7545396745567 +38.0319187902471| -20.419 -1.121   |10.68    |~              |    ~     ~    
109 |BD-08 2893                                                            |Star                           |10 18 20.0054855688 -09 39 48.079513368|252.3695826900254 +37.7499830244777|    0.540 2.693   |10.598   |~              |    ~     ~    
110 |BD-07 2993                                                            |Star                           |10 15 12.4575232104 -08 30 31.670153856|250.6449822776049 +38.0255539519440| -5.137 -12.038   |10.360   |~              |    ~     ~    
111 |BD-07 2996                                                            |Star                           |10 16 26.1189255600 -08 20 27.489850548|250.7647047064329 +38.3594577407191|-47.807 -11.978   |10.44    |~              |    ~     ~    
112 |BD-07 3003                                                            |Star                           |10 18 29.3293442232 -08 25 34.921650828|251.3003846039161 +38.6586900723561|  -1.760 -5.742   |9.65     |~              |    ~     ~    
113 |TYC 5490-750-1                                                        |Star                           |10 18 21.3931152360 -09 23 09.869450280|252.1295849363721 +37.9524810632070| 21.485 -34.846   |10.99    |~              |    ~     ~    
114 |TYC 5490-812-1                                                        |Star                           |10 15 18.4219260960 -08 37 27.717333636|250.7712202118176 +37.9618148454787|-33.088 -12.189   |10.983   |~              |    ~     ~    
115 |TYC 5490-1160-1                                                       |Star                           |10 17 13.5354696216 -08 06 21.165775740|250.7271457219847 +38.6638233972743|  -2.576 -1.253   |10.91    |~              |    ~     ~    
116 |TYC 5490-1299-1                                                       |Star                           |10 17 23.5924778280 -08 13 10.783465932|250.8679481412355 +38.6131158675775|  -29.976 0.139   |10.746   |~              |    ~     ~    
117 |TYC 5490-1409-1                                                       |Star                           |10 15 31.8841981488 -08 17 37.984992792|250.5218292811090 +38.2334359912536|  18.154 -1.508   |10.75    |~              |    ~     ~    
118 |BD-09 3041                                                            |High Proper Motion Star        |10 18 03.2122634976 -10 19 58.517177592|252.8938853808613 +37.2208489595893| -57.255 21.964   |10.38    |~              |    ~     ~    
119 |HD 89294                                                              |Star                           |10 18 00.3795185736 -10 27 45.437340276|252.9961829814975 +37.1193003343043|  1.960 -23.493   |9.52     |F3V            |    ~     ~    
120 |HD 88972                                                              |High Proper Motion Star        |10 15 38.4217156272 -11 11 18.232578636|253.1009554188166 +36.1934483779026| 25.053 -60.334   |7.96     |F0IV           |    ~     ~    
121 |HD 89034                                                              |Star                           |10 16 07.7140239552 -11 27 59.862766572|253.4462828483734 +36.0753398646750|  5.531 -10.689   |8.92     |A7III          |    ~     ~    
122 |HD 89033                                                              |Star                           |10 16 08.9976827472 -11 12 12.303550872|253.2256040775654 +36.2691773308814| -24.115 -0.614   |6.075    |K0IIICNII/III  |    ~     ~    
123 |BD-10 3030                                                            |Star                           |10 16 38.7534453912 -10 43 07.720967064|252.9170321093365 +36.7028938202585| -46.815 -8.084   |9.83     |G0             |    ~     ~    
124 |HD 89130                                                              |Double or Multiple Star        |10 16 47.63792 -10 46 22.3154          |252.99646754 +36.68918902          |  -16.64 -13.89   |8.95     |A8/9IV         |    ~     ~    
125 |BD-10 3034                                                            |Star                           |10 18 26.9297272848 -11 40 33.255051996|254.1360951628433 +36.3137350959710|-28.389 -12.617   |9.27     |F5             |    ~     ~    
126 |BD-10 3035                                                            |High Proper Motion Star        |10 18 29.9039844600 -11 42 34.599523860|254.1756781411857 +36.2974289777704| 52.030 -70.712   |9.57     |G5             |    ~     ~    
127 |HD 88926                                                              |Star                           |10 15 12.8169361536 -11 47 23.765691912|253.5217305647128 +35.6867715576644|  -29.092 1.981   |7.50     |A0V            |    ~     ~    
128 |MCC 573                                                               |High Proper Motion Star        |10 16 45.9486335041 -11 57 42.405573294|254.0069804267538 +35.8233882817375|-417.614 -604.201 |10.998   |dM3.0          |    ~     ~    
129 |HD 89148                                                              |High Proper Motion Star        |10 16 48.0285808344 -11 43 34.082086368|253.8148548548845 +36.0005534036373|-52.467 -27.650   |8.57     |F3V            |    ~     ~    
130 |HD 89197                                                              |Star                           |10 17 12.0533746104 -12 07 34.253481216|254.2413653242084 +35.7764274100371|  -24.054 0.451   |8.51     |K1IIICNII      |    ~     ~    
131 |HD 89270                                                              |Star                           |10 17 43.7801453040 -12 04 43.569308892|254.3178150043223 +35.8993672677381| -31.820 -3.895   |7.86     |A1V            |    ~     ~    
132 |BD-11 2848                                                            |Star                           |10 18 33.1603575792 -12 03 42.881176908|254.4854484240995 +36.0489069107126|  -9.089 -2.060   |10.097   |~              |    ~     ~    
133 |BD-11 2834                                                            |Star                           |10 15 03.9254408280 -12 39 10.693215072|254.2174976978635 +35.0354695980463| -7.365 -25.327   |9.87     |F8             |    ~     ~    
134 |BD-09 3029                                                            |High Proper Motion Star        |10 15 27.4454961360 -10 33 00.381873996|252.5092547796971 +36.6208345590295| 34.184 -37.795   |10.84    |~              |    ~     ~    
135 |BD-11 2836                                                            |Star                           |10 15 49.1224490736 -12 26 05.276498424|254.1984022243845 +35.3203325976497|   -8.192 1.557   |10.15    |~              |    ~     ~    
136 |BD-11 2839                                                            |Star                           |10 16 57.3752239992 -11 50 56.369355864|253.9533329538199 +35.9374145770839|  -9.417 -5.833   |10.855   |~              |    ~     ~    
137 |BD-11 2840                                                            |Star                           |10 17 08.7019439208 -11 55 04.508378580|254.0532131708810 +35.9189055303496|  9.080 -14.857   |10.19    |~              |    ~     ~    
138 |BD-09 3035                                                            |Star                           |10 17 11.1322140024 -10 26 19.983699528|252.7934083005855 +36.9964250982619|  -3.538 -0.816   |10.177   |~              |    ~     ~    
139 |BD-10 3033                                                            |Star                           |10 17 47.5886493672 -11 16 05.143289700|253.6433199550754 +36.5003568623672|  -46.907 3.384   |10.55    |~              |    ~     ~    
140 |BD-11 2844                                                            |Star                           |10 18 00.4739588952 -12 40 13.786783464|254.8751252589613 +35.5121230340823| -2.939 -19.405   |9.96     |~              |    ~     ~    
141 |BD-09 3042                                                            |Star                           |10 18 19.1141217816 -10 40 00.264701352|253.2425831399523 +37.0249460687232|      -26.1 1.1   |10.41    |~              |    ~     ~    
142 |TYC 5493-1587-1                                                       |Star                           |10 15 37.5050061696 -11 33 25.533262080|253.4132618105271 +35.9247326525675| 27.639 -12.346   |10.653   |~              |    ~     ~    
143 |TYC 5493-1415-1                                                       |Star                           |10 15 41.2715448672 -10 38 24.459879768|252.6380127052620 +36.5957830916197| -24.655 -1.365   |10.78    |~              |    ~     ~    
144 |TYC 5493-1165-1                                                       |High Proper Motion Star        |10 16 15.6487638240 -11 22 11.206060932|253.3925062120528 +36.1677682859781| -85.772 30.390   |10.748   |~              |    ~     ~    
145 |TYC 5493-1047-1                                                       |Star                           |10 16 31.5592677600 -11 18 07.841995416|253.3929061813416 +36.2615492487541|   -3.522 1.047   |10.19    |~              |    ~     ~    
146 |TYC 5493-261-1                                                        |Star                           |10 16 40.0309151664 -10 26 13.763932548|252.6772747957553 +36.9090633216338| -10.182 -1.388   |10.45    |~              |    ~     ~    
147 |BD-11 2842                                                            |Star                           |10 17 24.3111738768 -11 57 31.656045744|254.1450426072410 +35.9326928169561| -1.546 -28.894   |10.51    |~              |    ~     ~    
148 |BD-11 2846                                                            |High Proper Motion Star        |10 18 08.9336250072 -12 36 36.175690440|254.8557680557636 +35.5798637844852| -92.990 22.519   |10.14    |~              |    ~     ~    
149 |BD-11 2847                                                            |Star                           |10 18 13.5633112560 -12 34 35.672768364|254.8448411480721 +35.6172259620342|   -9.573 4.572   |10.41    |~              |    ~     ~    
150 |TYC 5493-795-1                                                        |Star                           |10 16 02.5354757424 -12 12 36.304147368|254.0581662682662 +35.5213742795852| 11.405 -14.090   |10.85    |~              |    ~     ~    
151 |TYC 5493-1118-1                                                       |Star                           |10 17 47.2095440064 -10 40 00.435920268|253.1244436297270 +36.9346148293786|  -2.075 -2.778   |10.63    |~              |    ~     ~    
152 |TYC 5493-1437-1                                                       |Star                           |10 17 09.0437295936 -10 57 25.458334632|253.2342168941601 +36.6169160287555|  3.609 -17.789   |10.90    |~              |    ~     ~    
153 |BD-12 3128                                                            |Star                           |10 16 47.6822609568 -12 51 08.821822860|254.7605544818199 +35.1776453699049| -6.499 -16.227   |10.64    |~              |    ~     ~    
