C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
2781|CD-36 5717                                                                                               |Spectroscopic Binary              |09 29 29.9518193256 -37 12 18.672938244|264.3150324142795 +10.0968251072649|   -6.742 2.206   |10.384   |~              |    ~     ~          |    1|  865.584   pc  | -37.8600    +37.8600    |ST-L    |2020AJ....160...83S
2782|CD-37 5821                                                                                               |Star                              |09 29 36.7228709376 -37 40 54.258012768|264.6685028238347 +09.7706653260183|-36.772 -20.135   |9.97     |~              |    ~     ~          |    1|  183.719   pc  |  -0.4152     +0.4152    |paral   |2020yCat.1350....0G
2783|CD-36 5719                                                                                               |Star                              |09 29 40.6960267560 -37 06 27.554603148|264.2719278247716 +10.1916159316768| 36.626 -20.643   |10.31    |~              |    ~     ~          |    1|  174.514   pc  |  -0.3533     +0.3533    |paral   |2020yCat.1350....0G
2784|TYC 7161-57-1                                                                                            |Star                              |09 23 50.6719601760 -35 10 21.269772444|262.0352469967489 +10.7335192982675| -11.140 15.213   |9.80     |~              |    ~     ~          |    1|  830.841   pc  |  -8.5597     +8.5597    |paral   |2020yCat.1350....0G
2785|TYC 7161-786-1                                                                                           |Star                              |09 26 37.3343867856 -35 31 23.979882216|262.6949435549499 +10.8883031228480| -28.113 16.379   |10.66    |~              |    ~     ~          |    1|  202.220   pc  |  -1.8647     +1.8647    |paral   |2020yCat.1350....0G
2786|TYC 7161-847-1                                                                                           |Star                              |09 22 34.5421382472 -35 02 04.039920744|261.7500170063456 +10.6448279638670|   -9.528 2.672   |10.74    |~              |    ~     ~          |    1| 2205.072   pc  | -55.4307    +55.4307    |paral   |2020yCat.1350....0G
2787|TYC 7161-889-1                                                                                           |Star                              |09 25 45.2840768472 -35 22 46.815990816|262.4643058664127 +10.8648654698821| -28.638 14.274   |10.42    |~              |    ~     ~          |    1|  299.859   pc  |  -1.1779     +1.1779    |paral   |2020yCat.1350....0G
2788|TYC 7161-987-1                                                                                           |Star                              |09 25 26.3088471912 -35 25 37.173538488|262.4521651481161 +10.7858073944771|  -0.351 -2.324   |10.91    |~              |    ~     ~          |    1|  449.156   pc  |  -3.1270     +3.1270    |paral   |2020yCat.1350....0G
2789|TYC 7165-289-1                                                                                           |Star                              |09 26 36.5591410800 -37 11 59.189526924|263.8943467291072 +09.6975473406102|   -5.531 3.899   |10.693   |~              |    ~     ~          |    1| 1003.280   pc  | -47.4900    +47.4900    |ST-L    |2020AJ....160...83S
2790|TYC 7165-322-1                                                                                           |Star                              |09 24 07.7703991320 -37 18 28.814621184|263.6177007365229 +09.2723892997451|  -2.320 -3.647   |10.76    |~              |    ~     ~          |    1|  926.870   pc  | -14.0890    +14.0890    |paral   |2020yCat.1350....0G
2791|TYC 7165-404-1                                                                                           |Star                              |09 24 07.6628399568 -37 14 21.576902352|263.5681072924431 +09.3205697068165|   -3.101 4.357   |10.76    |~              |    ~     ~          |    1|  994.135   pc  | -24.7076    +24.7076    |paral   |2020yCat.1350....0G
2792|TYC 7165-770-1                                                                                           |Star                              |09 24 55.1564083248 -37 24 05.723721828|263.7971515568535 +09.3174176756966|   -6.204 5.441   |10.16    |~              |    ~     ~          |    1| 1081.550   pc  | -57.1400    +57.1400    |ST-L    |2020AJ....160...83S
2793|TYC 7165-811-1                                                                                           |Star                              |09 24 46.5603325776 -35 52 58.424445660|262.6846661921832 +10.3690076605689|    0.967 0.212   |10.94    |~              |    ~     ~          |    1|  467.705   pc  |  -3.3687     +3.3687    |paral   |2020yCat.1350....0G
2794|TYC 7165-819-1                                                                                           |Star                              |09 25 23.3585403384 -36 32 54.946643208|263.2525625662512 +09.9868760305895|   -0.744 1.321   |10.86    |~              |    ~     ~          |    1|  549.722   pc  |  -4.9560     +4.9560    |paral   |2020yCat.1350....0G
2795|TYC 7165-875-1                                                                                           |Star                              |09 24 40.4882867352 -35 47 25.427088996|262.6032201136948 +10.4195968588516|   2.642 -0.720   |10.49    |~              |    ~     ~          |    1| 1054.520   pc  | -60.6800    +60.6800    |ST-L    |2020AJ....160...83S
2796|TYC 7165-876-1                                                                                           |Star                              |09 24 57.5437028880 -36 28 50.331273744|263.1417243863585 +09.9736786136783|  -3.222 -0.389   |10.89    |~              |    ~     ~          |    1| 1006.847   pc  | -10.7456    +10.7456    |paral   |2020yCat.1350....0G
2797|TYC 7165-900-1                                                                                           |Star                              |09 22 49.0392176640 -36 29 16.711054476|262.8396303254665 +09.6625885551001|   -4.306 3.396   |10.70    |~              |    ~     ~          |    1| 1360.915   pc  | -28.7074    +28.7074    |paral   |2020yCat.1350....0G
2798|TYC 7165-995-1                                                                                           |Star                              |09 26 24.5207662416 -36 02 40.305173244|263.0382818530977 +10.4886768754526| 18.067 -20.519   |10.59    |~              |    ~     ~          |    1|  302.407   pc  |  -1.2803     +1.2803    |paral   |2020yCat.1350....0G
2799|TYC 7165-1179-1                                                                                          |Star                              |09 23 15.6994277976 -35 47 32.762411232|262.4000324297815 +10.2142557479013|  -0.294 -2.221   |10.83    |~              |    ~     ~          |    1|  448.632   pc  |  -2.9385     +2.9385    |paral   |2020yCat.1350....0G
2800|TYC 7165-1189-1                                                                                          |Star                              |09 24 36.2325887184 -36 00 51.807581172|262.7545879156552 +10.2516527864307|  -13.061 0.708   |10.98    |~              |    ~     ~          |    1|  566.444   pc  |  -4.2353     +4.2353    |paral   |2020yCat.1350....0G
2801|TYC 7165-1248-1                                                                                          |Star                              |09 23 49.3069321368 -36 59 13.369839864|263.3431135196722 +09.4550675677840|  -16.591 4.800   |10.730   |~              |    ~     ~          |    1|  736.174   pc  | -33.8400    +33.8400    |ST-L    |2020AJ....160...83S
2802|TYC 7165-1265-1                                                                                          |Star                              |09 26 21.4270157352 -36 06 43.562749464|263.0792870662505 +10.4334640107907|   -2.311 0.988   |10.24    |~              |    ~     ~          |    1| 1650.982   pc  | -34.6169    +34.6169    |paral   |2020yCat.1350....0G
2803|TYC 7165-1331-1                                                                                          |Star                              |09 26 54.9187993200 -35 37 29.742190212|262.8109597508995 +10.8584147354079|  -16.170 9.163   |10.94    |~              |    ~     ~          |    1|  390.992   pc  |  -2.2473     +2.2473    |paral   |2020yCat.1350....0G
2804|TYC 7165-1343-1                                                                                          |Star                              |09 23 23.6064233520 -36 03 29.253794616|262.6113999710730 +10.0468938010082|  -11.466 9.124   |10.53    |~              |    ~     ~          |    1|  403.112   pc  |  -3.7212     +3.7212    |paral   |2020yCat.1350....0G
2805|TYC 7165-1356-1                                                                                          |Star                              |09 25 51.6844149120 -36 41 45.217139172|263.4263008504721 +09.9496098431676|  -10.456 6.020   |10.28    |~              |    ~     ~          |    1|  545.405   pc  |  -4.1348     +4.1348    |paral   |2020yCat.1350....0G
2806|TYC 7165-1398-1                                                                                          |Star                              |09 23 55.5199676352 -36 47 42.824278104|263.2197841283614 +09.6048330300813| -20.156 20.006   |10.64    |~              |    ~     ~          |    1|  282.837   pc  |  -1.0160     +1.0160    |paral   |2020yCat.1350....0G
2807|TYC 7165-1432-1                                                                                          |Star                              |09 22 45.5783537415 -36 54 26.401351065|263.1344359533042 +09.3601680777038| -11.771 10.779   |10.830   |~              |    ~     ~          |    1|  440.762   pc  |  -4.0602     +4.0602    |paral   |2020yCat.1350....0G
2808|TYC 7165-1482-1                                                                                          |Star                              |09 24 08.3134883856 -36 56 36.734052768|263.3569984634690 +09.5306282526242| -35.988 -4.199   |10.97    |~              |    ~     ~          |    1|  283.487   pc  |  -1.2135     +1.2135    |paral   |2020yCat.1350....0G
2809|TYC 7165-1548-1                                                                                          |Star                              |09 24 55.3191255408 -36 32 42.224686548|263.1827113927423 +09.9229344039479|  -10.249 1.681   |10.81    |~              |    ~     ~          |    1|  543.626   pc  |  -8.7181     +8.7181    |paral   |2020yCat.1350....0G
2810|TYC 7165-1630-1                                                                                          |Star                              |09 26 30.6857570952 -36 21 00.872105724|263.2725210644343 +10.2866718584986| -29.138 22.042   |10.66    |~              |    ~     ~          |    1|  302.033   pc  |  -1.1403     +1.1403    |paral   |2020yCat.1350....0G
2811|TYC 7165-1634-1                                                                                          |Star                              |09 22 34.5419635488 -36 25 55.178148936|262.7645849562727 +09.6671791679553|  -13.149 6.845   |10.96    |~              |    ~     ~          |    1|  537.374   pc  | -22.1488    +22.1488    |paral   |2020yCat.1350....0G
2812|TYC 7165-1659-1                                                                                          |Star                              |09 24 56.3288631648 -37 00 25.388477064|263.5170143492404 +09.5990513535859| -2.976 -13.430   |10.966   |~              |    ~     ~          |    1|  988.456   pc  | -41.6100    +41.6100    |ST-L    |2020AJ....160...83S
2813|TYC 7165-1682-1                                                                                          |Star                              |09 22 59.5110439536 -36 56 01.530266316|263.1865309482176 +09.3746698058130|   -3.966 6.403   |10.74    |~              |    ~     ~          |    1|  945.001   pc  |  -9.1089     +9.1089    |paral   |2020yCat.1350....0G
2814|TYC 7165-1695-1                                                                                          |Star                              |09 24 04.5940183056 -36 47 08.132351100|263.2344725047528 +09.6331157901511|   -7.397 3.847   |10.55    |~              |    ~     ~          |    1| 1044.714   pc  | -19.9731    +19.9731    |paral   |2020yCat.1350....0G
2815|TYC 7165-1698-1                                                                                          |Star                              |09 22 33.9996267504 -36 30 05.884257420|262.8136915470198 +09.6170861743527|   -3.614 8.393   |10.37    |~              |    ~     ~          |    1| 1888.574   pc  | -45.2972    +45.2972    |paral   |2020yCat.1350....0G
2816|TYC 7165-1731-1                                                                                          |Star                              |09 23 43.5632966784 -36 36 55.012209912|263.0615909050094 +09.7030938567623|  -14.480 2.505   |10.82    |~              |    ~     ~          |    1|  431.165   pc  |  -2.5469     +2.5469    |paral   |2020yCat.1350....0G
2817|TYC 7165-1753-1                                                                                          |Star                              |09 25 50.8508819568 -36 37 02.931342348|263.3680740760955 +10.0031608942427|  -4.421 -2.381   |10.81    |B              |    ~     ~          |    1|  995.025   pc  | -17.5243    +17.5243    |paral   |2020yCat.1350....0G
2818|TYC 7165-1762-1                                                                                          |Star                              |09 22 33.9486513672 -36 48 55.455045228|263.0404659488656 +09.3970229335314| -14.831 -1.199   |10.79    |~              |    ~     ~          |    1|  378.329   pc  |  -2.2615     +2.2615    |paral   |2020yCat.1350....0G
2819|TYC 7165-1856-1                                                                                          |High Proper Motion Star           |09 26 44.2849376664 -36 50 01.995122328|263.6514998210405 +09.9755417588295|55.988 -121.971   |10.56    |~              |    ~     ~          |    1|  107.630   pc  |  -0.1367     +0.1367    |paral   |2020yCat.1350....0G
2820|TYC 7166-27-1                                                                                            |Star                              |09 28 25.0489266336 -37 13 00.983228196|264.1668754148428 +09.9379625525181|   1.631 15.933   |10.83    |~              |    ~     ~          |    1|  681.432   pc  | -27.7600    +27.7600    |ST-L    |2020AJ....160...83S
2821|TYC 7166-314-1                                                                                           |Star                              |09 27 51.1040886720 -37 27 25.393599108|264.2560175948696 +09.6877925101509|  -7.898 10.271   |10.98    |~              |    ~     ~          |    1|  537.895   pc  |  -3.8770     +3.8770    |paral   |2020yCat.1350....0G
2822|TYC 7166-456-1                                                                                           |Star                              |09 27 56.5990838736 -37 24 22.793811732|264.2331290407663 +09.7367242281342| -5.796 -12.131   |10.56    |~              |    ~     ~          |    1|  160.658   pc  |  -0.3588     +0.3588    |paral   |2020yCat.1350....0G
2823|TYC 7166-569-1                                                                                           |Star                              |09 27 14.1607889736 -37 17 23.571943728|264.0486019823595 +09.7211387708460|  -15.608 6.749   |10.729   |~              |    ~     ~          |    1|  636.306   pc  | -21.2700    +21.2700    |ST-L    |2020AJ....160...83S
2824|TYC 7166-581-1                                                                                           |Star                              |09 27 35.3258873304 -37 15 22.873574376|264.0754457104908 +09.7942749026492|   -5.161 8.267   |10.48    |~              |    ~     ~          |    1|  925.069   pc  | -10.1835    +10.1835    |paral   |2020yCat.1350....0G
2825|TYC 7166-618-1                                                                                           |Star                              |09 27 52.8822270312 -37 22 20.199911988|264.2000130326193 +09.7524028751243|  -13.170 6.294   |10.89    |~              |    ~     ~          |    1| 1016.157   pc  | -11.6681    +11.6681    |paral   |2020yCat.1350....0G
2826|TYC 7166-647-1                                                                                           |Star                              |09 28 15.3436272000 -37 23 40.225711272|264.2696779758725 +09.7886088440882|   -6.316 4.523   |10.87    |~              |    ~     ~          |    1| 1692.334   pc  | -37.5183    +37.5183    |paral   |2020yCat.1350....0G
2827|TYC 7166-658-1                                                                                           |Star                              |09 27 10.1855419704 -37 18 20.193326964|264.0502918045950 +09.7006884846042|    2.334 6.635   |10.74    |~              |    ~     ~          |    1|  416.597   pc  |  -9.1240     +9.1240    |ST-L    |2020AJ....160...83S
2828|GSC 07166-00765                                                                                          |Spectroscopic Binary              |09 29 13.0193670240 -36 27 06.150726540|263.7390937511099 +10.5967409455115|  -38.302 5.731   |10.686   |B              |    ~     ~          |    1|  337.576   pc  |  -1.2991     +1.2991    |paral   |2020yCat.1350....0G
2829|TYC 7166-867-1                                                                                           |Star                              |09 27 35.0945870256 -36 25 28.346444544|263.4816519433450 +10.3860083414813|   -3.961 3.178   |10.91    |~              |    ~     ~          |    0|                |                         |        |                   
2830|TYC 7166-1373-1                                                                                          |Star                              |09 27 24.3163732392 -36 37 03.507957156|263.5935034531462 +10.2232819175000|  -18.139 6.720   |10.22    |~              |    ~     ~          |    1|  256.634   pc  |  -0.8430     +0.8430    |paral   |2020yCat.1350....0G
2831|TYC 7166-1494-1                                                                                          |Star                              |09 28 42.7651612752 -35 40 28.702313904|263.1108934419600 +11.0800014468013|   -6.010 4.663   |10.499   |~              |    ~     ~          |    1| 1616.750   pc  |-141.2000   +141.2000    |ST-L    |2020AJ....160...83S
2832|TYC 7166-1545-1                                                                                          |Spectroscopic Binary              |09 27 37.8937747584 -36 42 00.972520632|263.6853051071197 +10.1963675280636|   -1.554 0.332   |10.91    |~              |    ~     ~          |    1| 2708.559   pc  | -98.3063    +98.3063    |paral   |2020yCat.1350....0G
2833|TYC 7166-2182-1                                                                                          |Star                              |09 29 05.8828095984 -35 55 06.344660604|263.3417613475173 +10.9609006166099|  -10.371 4.664   |10.63    |~              |    ~     ~          |    1|  878.889   pc  | -12.4364    +12.4364    |paral   |2020yCat.1350....0G
2834|TYC 7166-2249-1                                                                                          |Star                              |09 28 36.9212461608 -36 47 00.780629424|263.8874420212699 +10.2751701418693|  1.985 -11.000   |10.805   |~              |    ~     ~          |    1| 1057.240   pc  | -64.7100    +64.7100    |ST-L    |2020AJ....160...83S
2835|TYC 7166-2495-1                                                                                          |Star                              |09 28 43.7700650304 -37 27 10.803453552|264.3794244766771 +09.8125699374454|  -19.964 8.909   |10.23    |~              |    ~     ~          |    1|  199.477   pc  |  -0.7162     +0.7162    |paral   |2020yCat.1350....0G
2836|TYC 7166-2571-1                                                                                          |Star                              |09 28 20.0207773488 -37 26 31.285970448|264.3146368585470 +09.7654919153023|  -2.675 -2.933   |10.503   |~              |    ~     ~          |    1|  868.484   pc  | -28.2400    +28.2400    |ST-L    |2020AJ....160...83S
2837|TYC 7166-2752-1                                                                                          |Star                              |09 28 16.6656480024 -36 08 28.674437856|263.3804294537319 +10.6857057260739|   -6.338 1.944   |10.548   |~              |    ~     ~          |    1|  921.578   pc  | -39.2900    +39.2900    |ST-L    |2020AJ....160...83S
2838|TYC 7691-2071-1                                                                                          |Star                              |09 29 43.0000972488 -38 19 48.926651376|265.1410959428609 +09.3192232900473| -12.114 17.996   |10.53    |~              |    ~     ~          |    1|  166.739   pc  |  -0.4226     +0.4226    |paral   |2020yCat.1350....0G
2839|TYC 7691-2473-1                                                                                          |Star                              |09 28 21.7793162976 -38 14 13.663782744|264.8822943317460 +09.2009209628332|  -6.637 -0.889   |10.474   |~              |    ~     ~          |    1|  860.434   pc  | -36.5000    +36.5000    |ST-L    |2020AJ....160...83S
2840|TYC 7691-2565-1                                                                                          |Star                              |09 26 04.7377239024 -37 59 27.314287656|264.3829949421149 +09.0615321008872|   -5.285 6.921   |10.71    |~              |    ~     ~          |    1| 1298.701   pc  | -20.9142    +20.9142    |paral   |2020yCat.1350....0G
2841|GSC 07691-02899                                                                                          |Double or Multiple Star           |09 27 56.5896185880 -38 09 01.477770804|264.7611300217362 +09.2052931934983|   -4.269 8.791   |10.657   |~              |    ~     ~          |    1|  452.960   pc  | -34.4280    +34.4280    |paral   |2020yCat.1350....0G
2842|TYC 7691-3015-1                                                                                          |Star                              |09 28 03.5488270584 -38 06 02.040790176|264.7423345276395 +09.2568734885528|-42.096 -17.860   |10.68    |~              |    ~     ~          |    1|  193.836   pc  |  -0.4396     +0.4396    |paral   |2020yCat.1350....0G
2843|TYC 7691-3017-1                                                                                          |High Proper Motion Star           |09 27 42.1256322600 -38 07 49.855879920|264.7127234023366 +09.1863412293580| -4.613 -63.336   |10.39    |~              |    ~     ~          |    1|  152.795   pc  |  -0.3619     +0.3619    |paral   |2020yCat.1350....0G
2844|TYC 7691-3145-1                                                                                          |Star                              |09 24 22.6763879784 -37 40 39.964152144|263.9182545868973 +09.0463141066312|  -10.555 6.468   |10.637   |~              |    ~     ~          |    1| 1421.930   pc  | -99.6000    +99.6000    |ST-L    |2020AJ....160...83S
2845|TYC 7691-3241-1                                                                                          |Star                              |09 25 56.2248751416 -37 52 26.785640784|264.2795916305558 +09.1248005776102|   -9.851 5.685   |10.77    |~              |    ~     ~          |    1| 1054.852   pc  | -19.6950    +19.6950    |paral   |2020yCat.1350....0G
2846|TYC 7691-3563-1                                                                                          |Star                              |09 23 25.5854665128 -37 44 26.445392160|263.8290190402284 +08.8685387228170|   -6.245 1.629   |10.90    |~              |    ~     ~          |    1|  963.391   pc  | -14.0146    +14.0146    |paral   |2020yCat.1350....0G
2847|TYC 7691-3601-1                                                                                          |Star                              |09 24 01.6556589456 -37 44 48.759598896|263.9182799614568 +08.9484513625100|  8.145 -16.733   |9.85     |~              |    ~     ~          |    1|  424.317   pc  |  -9.2480     +9.2480    |ST-L    |2020AJ....160...83S
2848|TYC 7691-3751-1                                                                                          |Star                              |09 26 56.2604626368 -37 47 14.126835264|264.3600373899616 +09.3254819948376|  -2.244 -0.882   |10.643   |~              |    ~     ~          |    1| 1117.490   pc  | -58.9500    +58.9500    |ST-L    |2020AJ....160...83S
2849|TYC 7691-3893-1                                                                                          |Star                              |09 23 06.0206052408 -37 32 12.396502860|263.6364163938646 +08.9662065120515|  -9.587 10.825   |10.44    |~              |    ~     ~          |    1| 1098.418   pc  | -16.1674    +16.1674    |paral   |2020yCat.1350....0G
2850|TYC 7691-4047-1                                                                                          |Star                              |09 24 14.1850126752 -37 48 30.289406616|263.9918877634354 +08.9342352830061|  -10.813 3.480   |10.944   |~              |    ~     ~          |    1|  964.312   pc  | -33.1400    +33.1400    |ST-L    |2020AJ....160...83S
2851|TYC 7691-4234-1                                                                                          |Star                              |09 27 01.9137183792 -37 45 55.556870436|264.3579454375947 +09.3540950719512|  -15.890 4.553   |10.16    |~              |    ~     ~          |    1|  777.968   pc  |  -7.8075     +7.8075    |paral   |2020yCat.1350....0G
2852|TYC 7691-4244-1                                                                                          |Spectroscopic Binary              |09 26 33.2604375696 -37 53 43.898847324|264.3825282543475 +09.1952620470818|   0.833 10.512   |10.19    |~              |    ~     ~          |    1|  254.939   pc  |  -2.9312     +2.9312    |paral   |2020yCat.1350....0G
2853|TYC 7691-4284-1                                                                                          |Star                              |09 26 15.6929727048 -37 54 30.102620796|264.3500696316258 +09.1455240639140|   -3.127 1.233   |10.99    |~              |    ~     ~          |    1|  689.275   pc  |  -8.3618     +8.3618    |paral   |2020yCat.1350....0G
2854|TYC 7691-4307-1                                                                                          |Star                              |09 29 38.4263210064 -38 07 21.743524668|264.9838895435734 +09.4579507860825|   -1.386 0.536   |10.526   |~              |    ~     ~          |    1| 1031.360   pc  | -60.4200    +60.4200    |ST-L    |2020AJ....160...83S
2855|TYC 7691-4322-1                                                                                          |Star                              |09 26 32.2442357160 -37 37 57.097359012|264.1927596312644 +09.3799410292627|  -1.575 -5.351   |10.19    |B              |    ~     ~          |    1|  451.937   pc  |  -3.5743     +3.5743    |paral   |2020yCat.1350....0G
2856|TYC 7691-4336-1                                                                                          |Star                              |09 25 34.4039171208 -37 52 04.130435748|264.2235225822108 +09.0786941643667| -37.590 11.191   |10.69    |~              |    ~     ~          |    1|  581.632   pc  | -20.1286    +20.1286    |paral   |2020yCat.1350....0G
2857|TYC 7691-4352-1                                                                                          |Star                              |09 28 45.6700874040 -37 56 02.515810776|264.7246967430456 +09.4726251658808|  -11.992 3.011   |10.45    |~              |    ~     ~          |    1|  726.427   pc  |  -6.2796     +6.2796    |paral   |2020yCat.1350....0G
2858|TYC 7691-4374-1                                                                                          |Star                              |09 26 01.7365494672 -37 37 20.170690680|264.1129622900407 +09.3163715643029|  -14.444 9.374   |10.21    |B              |    ~     ~          |    1|  410.442   pc  |  -2.5943     +2.5943    |paral   |2020yCat.1350....0G
2859|TYC 7691-4314-1                                                                                          |Star                              |09 29 52.2214027176 -37 37 01.087596624|264.6599927300148 +09.8527570015476|   -8.069 3.540   |10.50    |B              |    ~     ~          |    1|  538.155   pc  |  -6.6321     +6.6321    |paral   |2020yCat.1350....0G
2860|TYC 7165-1294-1                                                                                          |Star                              |09 26 46.8317679120 -36 36 13.471753068|263.4930506558998 +10.1449502321527| -10.964 -1.902   |10.74    |B              |    ~     ~          |    1|  635.486   pc  |  -5.8557     +5.8557    |paral   |2020yCat.1350....0G
2861|HD 79816                                                                                                 |Star                              |09 15 04.7960145624 -37 08 26.532520008|262.2287925706684 +08.0941942907819|   -5.182 4.195   |9.79     |A5II/III       |    ~     ~          |    0|                |                         |        |                   
2862|HD 79939                                                                                                 |Star                              |09 15 45.6107956440 -37 13 59.310287004|262.3906247237167 +08.1292963699528| -14.981 -1.331   |8.63     |K1/2(III)      |    ~     ~          |    1|  477.350   pc  |  -3.6230     +3.6230    |paral   |2020yCat.1350....0G
2863|HD 80332                                                                                                 |High Proper Motion Star           |09 17 56.3343008472 -37 23 52.401269760|262.8129962275578 +08.3294264649849|-146.297 40.882   |7.06     |G3III/IV       |    ~     ~          |    1|   69.728   pc  |  -0.1337     +0.1337    |paral   |2020yCat.1350....0G
2864|HD 80466                                                                                                 |Star                              |09 18 45.9810238944 -37 24 34.036105284|262.9365202985451 +08.4398931915219|  4.171 -18.904   |8.57     |F2V            |    ~     ~          |    1|  137.122   pc  |  -0.2820     +0.2820    |paral   |2020yCat.1350....0G
2865|HD 79961                                                                                                 |Star                              |09 15 51.3988558920 -37 37 45.422924664|262.6944403288705 +07.8708787160616| -43.368 11.275   |7.06     |K1/2III        |    ~     ~          |    1|  285.339   pc  |  -1.5225     +1.5225    |paral   |2020yCat.1350....0G
2866|HD 80071                                                                                                 |Star                              |09 16 26.5744600632 -38 10 55.231569120|263.1791956604054 +07.5740059140399|  -21.762 8.086   |9.58     |F3IV/V         |    ~     ~          |    1|  512.978   pc  |  -3.5788     +3.5788    |paral   |2020yCat.1350....0G
2867|HD 80265                                                                                                 |Double or Multiple Star           |09 17 33.812 -38 01 05.14              |263.213317 +07.846640              |      2.8 -13.0   |9.26     |A8IV           |    ~     ~          |    0|                |                         |        |                   
2868|CD-37 5631                                                                                               |Star                              |09 18 20.0288447808 -37 49 39.399156192|263.1808555122485 +08.0881477477985|  -11.523 8.455   |10.55    |A5             |    ~     ~          |    1|  801.989   pc  |  -9.3905     +9.3905    |paral   |2020yCat.1350....0G
2869|CD-37 5636                                                                                               |Star                              |09 18 42.9405940296 -37 49 53.780429496|263.2366087851379 +08.1396741914768|   -5.085 2.693   |10.81    |A0             |    ~     ~          |    1| 1451.379   pc  | -36.2318    +36.2318    |paral   |2020yCat.1350....0G
2870|HD 80756                                                                                                 |Star                              |09 20 24.9704136048 -37 51 45.200224548|263.4951980565795 +08.3591289326190|   -9.723 3.147   |8.68     |K0III          |    ~     ~          |    1|  543.414   pc  | -16.2900    +16.2900    |ST-L    |2020AJ....160...83S
2871|HD 80774                                                                                                 |Star                              |09 20 29.6698812576 -37 34 54.081866712|263.3027586190382 +08.5662396964566|-17.920 -22.384   |6.027    |K3/4III        |    ~     ~          |    1|  168.121   pc  |  -0.8366     +0.8366    |paral   |2020yCat.1350....0G
2872|HD 79898                                                                                                 |Star                              |09 15 32.6403208200 -38 12 55.112999652|263.0808485088544 +07.4230392616877| -34.724 21.727   |9.50     |F0V            |    ~     ~          |    1|  257.467   pc  |  -0.9877     +0.9877    |paral   |2020yCat.1350....0G
2873|HD 80202                                                                                                 |Star                              |09 17 13.1817221040 -38 14 39.219671220|263.3309090582707 +07.6413807326520|  -4.953 -2.172   |10.33    |A2IV           |    ~     ~          |    1|  515.251   pc  |  -4.2212     +4.2212    |paral   |2020yCat.1350....0G
2874|* l Vel                                                                                                  |High Proper Motion Star           |09 15 36.7081382568 -38 34 11.794659636|263.3494887267636 +07.1886439313802|-71.038 -10.227   |4.94     |K1III          |    ~     ~          |    1|   70.742   pc  |  -0.2868     +0.2868    |paral   |2020yCat.1350....0G
2875|NGC 2845                           NGC 2845                                                              |Galaxy                            |09 18 36.7117531536 -38 00 36.363823236|263.3520019749110 +08.0010140672970|            ~ ~   |     ~   |~              |1.667 1.067          |    0|                |                         |        |                   
2876|* k Vel                                                                                                  |Star                              |09 15 45.0797665800 -37 24 47.317883724|262.5214779398020 +08.0043224770949|  13.859 -7.738   |4.62     |F3/5V          |    ~     ~          |    1|   49.489   pc  |  -0.2288     +0.2288    |paral   |2020yCat.1350....0G
2877|CD-37 5581                                                                                               |Star                              |09 15 08.7959771664 -38 27 21.658338000|263.2030460536514 +07.2009522488439| -25.305 23.975   |10.10    |~              |    ~     ~          |    1|  266.596   pc  |  -0.9382     +0.9382    |paral   |2020yCat.1350....0G
2878|CD-37 5598                                                                                               |Star                              |09 16 14.5567195656 -37 50 52.519424496|262.9075429818495 +07.7757269823536| -30.741 -0.525   |9.91     |~              |    ~     ~          |    1|  155.354   pc  |  -1.9887     +1.9887    |paral   |2020yCat.1350....0G
2879|CD-36 5521                                                                                               |Long-Period Variable Candidate    |09 16 24.0801220416 -37 14 42.015279984|262.4879917086976 +08.2137706970726|   -6.632 5.987   |10.50    |~              |    ~     ~          |    1| 4264.39    pc  |-300.053    +300.053     |paral   |2020yCat.1350....0G
2880|CD-37 5603                                                                                               |Star                              |09 16 26.9254284000 -37 35 02.651421120|262.7428392112259 +07.9870626819827|  -1.377 -3.736   |8.91     |~              |    ~     ~          |    1|  473.037   pc  |  -3.3565     +3.3565    |paral   |2020yCat.1350....0G
2881|CD-36 5526                                                                                               |Star                              |09 16 43.3522326456 -37 25 36.817837536|262.6656180459438 +08.1347333016122|  -0.810 -2.905   |10.38    |~              |    ~     ~          |    1| 1867.762   pc  | -54.4212    +54.4212    |paral   |2020yCat.1350....0G
2882|CD-36 5527                                                                                               |Star                              |09 16 46.5523633848 -37 18 06.315007068|262.5814178860847 +08.2286810013911| -17.787 14.618   |10.288   |~              |    ~     ~          |    1|  771.382   pc  | -27.5800    +27.5800    |ST-L    |2020AJ....160...83S
2883|CPD-37 3300                                                                                              |Star                              |09 17 21.0066671472 -37 51 24.069690360|263.0662484780683 +07.9278903190352|-14.348 -10.047   |10.23    |~              |    ~     ~          |    1|  251.709   pc  |  -3.1870     +3.1870    |ST-L    |2020AJ....160...83S
